dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-11-04,2020-07-27,2020-Q2,,,2025-05-10,0.000000,205000.000000,,,,,0.004000,0.000000,0.000000,0.000000,0.000000,-5000.000000,,9.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-5000.000000,-5000.000000,,-5000.000000,-5000.000000,-5000.000000,0.000000,0.000000,0.000000,20000.000000,,20000.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,20000.000000,,0.000000,0.000000,,,185000.000000,185000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5000.000000,-5000.000000,-5000.000000,0.000000,0.000000,,5000.000000,-5000.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-5000.000000,0.000000,0.000000,0.000000,,,,,0.000000,5000.000000,1.000000,25000000.000000,5000000.000000,5000000.000000,0.000000,205000.000000,0.000000,0.000000,0.000000,0.041000
ARQ,2020-09-30,2021-01-06,2020-09-30,2020-Q3,,372427500.000000,2025-05-10,0.000000,1384843.000000,,,,,0.003000,0.000000,948391.000000,948391.000000,0.000000,-5129.000000,,68.692000,300000.000000,300000.000000,0.000000,300000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5129.000000,-5129.000000,,-5129.000000,-5129.000000,-5129.000000,0.000000,0.000000,0.000000,19871.000000,,19871.000000,371779109.000000,,,-129.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,-628520.000000,,0.000000,0.000000,,,1364972.000000,1364972.000000,0.000000,948391.000000,0.000000,0.000000,1000000.000000,0.000000,948520.000000,0.000000,0.000000,-129.000000,0.000000,-5129.000000,-5129.000000,-5129.000000,0.000000,0.000000,,5129.000000,-5129.000000,0.000000,,18742.263000,,,0.000000,0.000000,10.795000,,,0.000000,-5129.000000,0.000000,0.000000,0.000000,,,,,0.000000,5129.000000,1.000000,34500000.000000,6900000.000000,6900000.000000,0.000000,1384843.000000,0.000000,0.000000,0.000000,0.201000
ARQ,2020-12-31,2021-03-30,2020-12-31,2020-Q4,1343428.000000,345345000.000000,2025-05-10,0.000000,280181921.000000,,1407275.000000,278774646.000000,,0.148000,,1144776.000000,1144776.000000,,,22.041000,1.945000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000008.000000,,5000008.000000,344200224.000000,-3121.000000,-3121.233000,,,1.000000,,,0.000000,,278973298.000000,,0.000000,278774646.000000,0.000000,278774646.000000,9723847.000000,63847.000000,9660000.000000,,,,,,,,,,,,,,,,,,,0.000000,,69.069000,-3131.614000,,0.000000,,10.010000,,,0.000000,-110277.000000,,,,,,,,,,1.000000,34500000.000000,33799367.000000,,,280181921.000000,0.000000,,0.000000,8.290000
ARQ,2021-03-31,2021-06-22,2021-03-31,2021-Q1,1158644.000000,348795000.000000,2025-05-10,0.000000,280064605.000000,,1258238.000000,278806367.000000,,0.145000,0.000000,1021837.000000,1021837.000000,0.000000,5572126.000000,12.634000,10.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5572126.000000,5572126.000000,,5572126.000000,5572126.000000,5572126.000000,0.000000,0.000000,0.000000,5000007.000000,,5000007.000000,347773163.000000,,,-96159.000000,-0.003000,1.000000,0.000000,,0.000000,0.000000,278943174.000000,,0.000000,278806367.000000,0.000000,278806367.000000,50024349.000000,99594.000000,49924755.000000,-122939.000000,0.000000,0.000000,0.000000,0.000000,-26780.000000,0.000000,0.000000,-96159.000000,0.000000,5572126.000000,5572126.000000,5572126.000000,0.000000,0.000000,,184784.000000,-184784.000000,0.000000,,69.759000,,,0.000000,0.000000,10.110000,,,0.000000,-15279297.000000,0.000000,0.000000,0.000000,,,,,0.000000,184784.000000,1.000000,34500000.000000,34500000.000000,34500000.000000,0.000000,280064605.000000,0.000000,0.000000,0.000000,8.118000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,508641.000000,348105000.000000,2025-05-10,0.000000,282613197.000000,,1043475.000000,281569722.000000,,0.145000,0.000000,803836.000000,803836.000000,0.000000,5425883.000000,1.951000,9.429000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5425883.000000,5425883.000000,,5425883.000000,5425883.000000,5425883.000000,0.000000,0.000000,0.000000,5000008.000000,,5000008.000000,347301164.000000,-35.000000,-35.265000,-218001.000000,-0.006000,1.000000,0.000000,,0.000000,0.000000,281274527.000000,,0.000000,281569722.000000,0.000000,281569722.000000,47147058.000000,534834.000000,46612224.000000,-218001.000000,0.000000,2760000.000000,0.000000,0.000000,2760000.000000,0.000000,0.000000,-218001.000000,0.000000,5425883.000000,5425883.000000,5425883.000000,0.000000,0.000000,,650003.000000,-650003.000000,0.000000,,69.621000,-35.346000,,0.000000,0.000000,10.090000,,,0.000000,-9853414.000000,0.000000,0.000000,0.000000,,,,,0.000000,650003.000000,1.000000,34500000.000000,34500000.000000,34500000.000000,0.000000,282613197.000000,0.000000,0.000000,0.000000,8.192000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,-158311.000000,351210000.000000,2025-05-10,0.000000,282104150.000000,,511400.000000,281592750.000000,,-0.992000,0.000000,337775.000000,337775.000000,0.000000,11830757.000000,0.764000,-1.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11830757.000000,11830757.000000,,11830757.000000,11830757.000000,11830757.000000,0.340000,0.340000,0.340000,-34223104.000000,,-34223104.000000,350872225.000000,,,-466061.000000,-0.014000,1.000000,0.000000,,0.000000,0.000000,281096664.000000,,0.000000,281592750.000000,0.000000,281592750.000000,34807254.000000,669711.000000,34137543.000000,-466061.000000,0.000000,-2760000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-466061.000000,0.000000,11830757.000000,11830757.000000,11830757.000000,0.000000,0.000000,,666952.000000,-666952.000000,0.000000,0.000000,-10.262000,,,0.000000,0.000000,10.180000,,,0.000000,-34223794.000000,0.000000,0.000000,0.000000,,,,,-79548.000000,666952.000000,1.000000,34500000.000000,34500000.000000,34500000.000000,0.000000,282104150.000000,0.000000,0.000000,0.000000,8.177000
ARQ,2021-09-30,2021-12-28,2021-09-30,2021-Q3,-158311.000000,349591950.000000,2025-05-10,0.000000,282104150.000000,,511400.000000,281592750.000000,,-0.992000,0.000000,337775.000000,337775.000000,0.000000,11830757.000000,0.764000,-1.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11830757.000000,11830757.000000,,11830757.000000,11830757.000000,11830757.000000,0.340000,0.340000,0.340000,-34223104.000000,,-34223104.000000,349254175.000000,,,-466061.000000,-0.014000,1.000000,0.000000,,0.000000,0.000000,281096664.000000,,0.000000,281592750.000000,0.000000,281592750.000000,34807254.000000,669711.000000,34137543.000000,-466061.000000,0.000000,-2760000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-466061.000000,0.000000,11830757.000000,11830757.000000,11830757.000000,0.000000,0.000000,,666952.000000,-666952.000000,0.000000,0.000000,-10.215000,,,0.000000,0.000000,10.133000,,,0.000000,-34223794.000000,0.000000,0.000000,0.000000,,,,,-79548.000000,666952.000000,1.000000,34500000.000000,34500000.000000,34500000.000000,0.000000,282104150.000000,0.000000,0.000000,0.000000,8.177000
ARQ,2021-12-31,2022-03-22,2021-12-31,2021-Q4,-417934.000000,353107500.000000,2025-05-10,0.000000,284521025.000000,,141249.000000,284379776.000000,,-1.049000,0.000000,17499.000000,17499.000000,0.000000,366139.000000,0.253000,-1.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,366139.000000,366139.000000,,366139.000000,366139.000000,366139.000000,0.010000,0.010000,0.010000,-36206221.000000,,-36206221.000000,353090001.000000,15.000000,15.223000,-320276.000000,-0.009000,1.000000,0.000000,,0.000000,0.000000,283944343.000000,,0.000000,284379776.000000,0.000000,284379776.000000,36447246.000000,559183.000000,35888063.000000,-320276.000000,0.000000,0.000000,0.000000,0.000000,2760000.000000,-2760000.000000,-2760000.000000,-320276.000000,0.000000,366139.000000,366139.000000,366139.000000,0.000000,0.000000,,259623.000000,-259623.000000,0.000000,0.000000,-9.753000,15.223000,15.276000,0.000000,0.000000,10.235000,,,0.000000,-36206911.000000,0.000000,0.000000,0.000000,,,,,79548.000000,259623.000000,1.000000,34500000.000000,34500000.000000,34500000.000000,0.000000,284521025.000000,0.000000,0.000000,0.000000,8.247000
ARQ,2021-12-31,2022-10-24,2021-12-31,2021-Q4,14019000.000000,1834464801.000000,2025-05-10,0.000000,449726000.000000,,43912000.000000,405814000.000000,,2.417000,-3797000.000000,17170000.000000,17170000.000000,37358000.000000,-17764766.000000,1.469000,0.708000,137119000.000000,3840000.000000,133279000.000000,137119000.000000,20077000.000000,43234000.000000,0.000000,0.000000,0.000000,2169234.000000,45403234.000000,0.311000,45403234.000000,2169234.000000,-16528766.000000,-0.610000,-0.610000,-0.610000,263237000.000000,,263237000.000000,1954413801.000000,78.000000,28.644000,31413221.000000,0.288000,1.000000,108475000.000000,0.744000,401964000.000000,18698000.000000,137818000.000000,,0.000000,0.000000,0.000000,0.000000,186489000.000000,29893000.000000,156596000.000000,,0.000000,,,,,-1037000.000000,2760000.000000,35210221.000000,,-17764766.000000,-17764766.000000,-17764766.000000,0.000000,0.000000,-0.122000,83263261.000000,25211739.000000,2437000.000000,0.000000,6.969000,362.256000,208.600000,2374000.000000,0.000000,10.430000,12.579000,7.790000,17885000.000000,-5895000.000000,145833000.000000,145833000.000000,10913000.000000,,,,,2681548.000000,29116261.000000,1.000000,175883490.000000,108922180.000000,108962336.000000,1.339000,47762000.000000,0.000000,1236000.000000,20912000.000000,0.438000
ARQ,2022-06-30,2022-10-31,2022-06-30,2022-Q2,16456000.000000,1834464801.000000,2025-05-10,0.000000,446067000.000000,,56100000.000000,389967000.000000,,1.778000,,26940000.000000,26940000.000000,12102000.000000,-4309000.000000,1.415000,1.261000,195660000.000000,5040000.000000,190620000.000000,195660000.000000,18992000.000000,,0.000000,0.000000,0.000000,-2053000.000000,,,,-2053000.000000,-5309000.000000,-0.040000,-0.040000,-0.040000,197292000.000000,,197292000.000000,2003184801.000000,96.000000,24.389000,,,1.000000,34453000.000000,0.740000,386206000.000000,3256000.000000,188937000.000000,,0.000000,0.000000,0.000000,0.000000,248775000.000000,39644000.000000,209131000.000000,,,,,,,,,,,-4309000.000000,-4309000.000000,-4309000.000000,0.000000,0.000000,-0.093000,36508000.000000,-2055000.000000,4206000.000000,0.000000,9.298000,-326.766000,208.600000,2245000.000000,0.000000,10.430000,7.776000,4.904000,15979000.000000,-5575000.000000,46555000.000000,46555000.000000,4175000.000000,,,,,,23241000.000000,1.000000,175883490.000000,110968385.000000,110968385.000000,0.420000,59861000.000000,0.000000,-1000000.000000,18342000.000000,0.539000
