dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1998-12-31,1999-05-03,1998-11-28,1998-Q4,,,2025-05-02,0.000000,217380000000.000000,,,,,13.700000,,10723000000.000000,10723000000.000000,,,,33.051000,134917000000.000000,,,134917000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,6384000000.000000,,6384000000.000000,,,,,,1.000000,,,0.000000,,341574000000.000000,,0.000000,163105000000.000000,,,210996000000.000000,,,,,,,,,,,,,,,,,,,,,36909000000.000000,,,,,0.000000,,,,,19274000000.000000,,,,,,,,,,,1.000000,466000000.000000,466000000.000000,,,217380000000.000000,0.000000,,0.000000,466.481000
ARQ,1999-06-30,1999-07-09,1999-05-28,1999-Q2,,31424035880.000000,2025-05-02,-66000000.000000,244632000000.000000,,,,,16.549000,,11252000000.000000,11252000000.000000,0.000000,340000000.000000,,30.140000,162282000000.000000,,,162282000000.000000,0.000000,,0.000000,0.000000,0.000000,-1487000000.000000,,,,-1487000000.000000,-1487000000.000000,0.720000,0.710000,0.720000,7856000000.000000,,7856000000.000000,182454035880.000000,,,,,1.000000,3469000000.000000,1.000000,0.000000,0.000000,395662000000.000000,,0.000000,179617000000.000000,,,236776000000.000000,,,,,,,,,,,,,340000000.000000,340000000.000000,340000000.000000,0.000000,0.000000,0.098000,4956000000.000000,-1487000000.000000,35095000000.000000,0.000000,4.000000,,,0.000000,0.000000,67.250000,,,26734000000.000000,-917000000.000000,3469000000.000000,3469000000.000000,0.000000,,,,,,4695000000.000000,1.000000,467271909.000000,474712271.000000,479908301.000000,7.308000,244632000000.000000,0.000000,-1827000000.000000,0.000000,515.327000
ARQ,1999-09-30,1999-10-07,1999-08-27,1999-Q3,,27883889214.000000,2025-05-02,-19000000.000000,236273000000.000000,,,,,18.111000,-172000000.000000,10845000000.000000,10845000000.000000,0.000000,638000000.000000,,26.483000,152445000000.000000,,,152445000000.000000,0.000000,71000000.000000,0.000000,0.002000,0.120000,1082000000.000000,1153000000.000000,0.338000,1153000000.000000,1082000000.000000,1082000000.000000,1.340000,1.320000,1.340000,8597000000.000000,,8597000000.000000,169483889214.000000,,,-3993000000.000000,-8.412000,1.000000,3408000000.000000,1.000000,0.000000,0.000000,377873000000.000000,,0.000000,166930000000.000000,,,227676000000.000000,,,-1642000000.000000,0.000000,0.000000,2428000000.000000,-53000000.000000,2375000000.000000,-196000000.000000,0.000000,-3821000000.000000,0.000000,638000000.000000,638000000.000000,638000000.000000,0.000000,0.000000,0.187000,2326000000.000000,1082000000.000000,38624000000.000000,0.090000,3.243000,,,0.000000,0.000000,63.190000,,,29419000000.000000,-279000000.000000,3408000000.000000,3408000000.000000,0.000000,,,,,2405000000.000000,2255000000.000000,1.000000,441270600.000000,474694245.000000,483892677.000000,7.179000,236273000000.000000,0.000000,444000000.000000,0.000000,497.737000
ARQ,1999-12-31,2000-02-14,1999-11-26,1999-Q4,,38183641716.000000,2025-05-02,37000000.000000,250491000000.000000,,,,,21.160000,-288000000.000000,12190000000.000000,12190000000.000000,0.000000,723000000.000000,,23.691000,143874000000.000000,,,143874000000.000000,0.000000,108000000.000000,0.000000,0.004000,0.120000,1209000000.000000,1317000000.000000,0.379000,1317000000.000000,1209000000.000000,1209000000.000000,1.510000,1.460000,1.510000,10145000000.000000,,10145000000.000000,169867641716.000000,85.000000,72.936000,-7570000000.000000,-15.789000,1.000000,3473000000.000000,1.000000,0.000000,0.000000,382175000000.000000,,0.000000,167714000000.000000,,,240346000000.000000,,,1155000000.000000,-187000000.000000,-6000000.000000,8902000000.000000,-54000000.000000,8842000000.000000,-405000000.000000,0.000000,-7282000000.000000,0.000000,723000000.000000,723000000.000000,723000000.000000,0.000000,0.000000,0.208000,2264000000.000000,1209000000.000000,59534000000.000000,0.079000,3.764000,14.100000,15.202000,0.000000,0.000000,86.500000,2.861000,3.085000,34630000000.000000,444000000.000000,3473000000.000000,3473000000.000000,0.000000,,,,,584000000.000000,2156000000.000000,1.000000,441429384.000000,479440634.000000,493777507.000000,7.244000,250491000000.000000,0.000000,486000000.000000,0.000000,522.465000
ARQ,1999-12-31,2000-04-05,1999-11-26,1999-Q4,,43012879177.000000,2025-05-02,37000000.000000,250491000000.000000,,,,,21.160000,-288000000.000000,12190000000.000000,12190000000.000000,0.000000,723000000.000000,,23.691000,143874000000.000000,,,143874000000.000000,0.000000,108000000.000000,0.000000,0.004000,0.120000,1209000000.000000,1317000000.000000,0.379000,1317000000.000000,1209000000.000000,1209000000.000000,1.510000,1.460000,1.510000,10145000000.000000,,10145000000.000000,174696879177.000000,88.000000,75.009000,-7570000000.000000,-15.789000,1.000000,3473000000.000000,1.000000,0.000000,0.000000,382175000000.000000,,0.000000,167714000000.000000,,,240346000000.000000,,,1155000000.000000,-187000000.000000,-6000000.000000,8902000000.000000,-54000000.000000,8842000000.000000,-405000000.000000,0.000000,-7282000000.000000,0.000000,723000000.000000,723000000.000000,723000000.000000,0.000000,0.000000,0.208000,2264000000.000000,1209000000.000000,59534000000.000000,0.079000,4.240000,15.884000,17.125000,0.000000,0.000000,97.440000,3.223000,3.475000,34630000000.000000,444000000.000000,3473000000.000000,3473000000.000000,0.000000,,,,,584000000.000000,2156000000.000000,1.000000,441429384.000000,479440634.000000,493777507.000000,7.244000,250491000000.000000,0.000000,486000000.000000,0.000000,522.465000
ARQ,2000-03-31,2000-04-07,2000-02-25,2000-Q1,,45252356308.000000,2025-05-02,-34000000.000000,276894000000.000000,,,,,22.898000,-292000000.000000,12541000000.000000,12541000000.000000,0.000000,887000000.000000,,23.954000,164436000000.000000,,,164436000000.000000,0.000000,101000000.000000,0.000000,0.004000,0.120000,1479000000.000000,1580000000.000000,0.352000,1580000000.000000,1479000000.000000,1479000000.000000,1.830000,1.760000,1.830000,11096000000.000000,,11096000000.000000,197147356308.000000,86.000000,,-5209000000.000000,-10.750000,1.000000,4493000000.000000,1.000000,0.000000,0.000000,428789000000.000000,,0.000000,190254000000.000000,,,265798000000.000000,,,-223000000.000000,0.000000,0.000000,4989000000.000000,-54000000.000000,4935000000.000000,-241000000.000000,0.000000,-4917000000.000000,0.000000,887000000.000000,887000000.000000,887000000.000000,0.000000,0.000000,0.197000,3014000000.000000,1479000000.000000,60622000000.000000,0.066000,4.078000,17.485000,18.981000,0.000000,0.000000,102.500000,3.049000,3.346000,34171000000.000000,1277000000.000000,4493000000.000000,4493000000.000000,0.000000,,,,,183000000.000000,2913000000.000000,1.000000,441486403.000000,484576498.000000,505387044.000000,9.272000,276894000000.000000,0.000000,592000000.000000,0.000000,571.414000
ARQ,2000-06-30,2000-07-05,2000-05-26,2000-Q2,,42901678322.000000,2025-05-02,-73000000.000000,278319000000.000000,,,,,24.578000,-291000000.000000,19486000000.000000,19486000000.000000,0.000000,755000000.000000,,22.378000,155291000000.000000,,,155291000000.000000,0.000000,102000000.000000,0.000000,0.005000,0.120000,1258000000.000000,1360000000.000000,0.327000,1360000000.000000,1258000000.000000,1258000000.000000,1.560000,1.480000,1.560000,11905000000.000000,,11905000000.000000,178706678322.000000,36.000000,33.033000,-5129000000.000000,-10.589000,1.000000,4155000000.000000,1.000000,0.000000,0.000000,414124000000.000000,,0.000000,185611000000.000000,,,266414000000.000000,,,1150000000.000000,0.000000,-55000000.000000,6269000000.000000,-54000000.000000,6160000000.000000,-172000000.000000,0.000000,-4838000000.000000,0.000000,755000000.000000,755000000.000000,755000000.000000,0.000000,0.000000,0.182000,2897000000.000000,1258000000.000000,64929000000.000000,0.077000,3.604000,14.286000,15.375000,0.000000,0.000000,95.940000,2.763000,2.993000,30575000000.000000,1978000000.000000,4155000000.000000,4155000000.000000,0.000000,,,,,201000000.000000,2795000000.000000,1.000000,447171965.000000,484380052.000000,510262727.000000,8.578000,278319000000.000000,0.000000,503000000.000000,0.000000,574.588000
ARQ,2000-09-30,2000-10-10,2000-08-25,2000-Q3,,46650036070.000000,2025-05-02,-89000000.000000,275004000000.000000,,,,,26.375000,-407000000.000000,17406000000.000000,17406000000.000000,0.000000,824000000.000000,,20.666000,156279000000.000000,,,156279000000.000000,0.000000,119000000.000000,0.000000,0.005000,0.120000,1373000000.000000,1492000000.000000,0.330000,1492000000.000000,1373000000.000000,1373000000.000000,1.710000,1.620000,1.710000,12693000000.000000,,12693000000.000000,185523036070.000000,35.000000,32.270000,4323000000.000000,8.983000,1.000000,4527000000.000000,1.000000,0.000000,0.000000,413877000000.000000,,0.000000,189574000000.000000,,,262311000000.000000,,,-946000000.000000,0.000000,-10000000.000000,-4916000000.000000,-55000000.000000,-4981000000.000000,-695000000.000000,0.000000,4730000000.000000,0.000000,824000000.000000,824000000.000000,824000000.000000,0.000000,0.000000,0.182000,3154000000.000000,1373000000.000000,61299000000.000000,0.070000,3.675000,14.628000,15.537000,0.000000,0.000000,102.700000,2.802000,2.969000,29162000000.000000,2747000000.000000,4527000000.000000,4527000000.000000,0.000000,,,,,192000000.000000,3035000000.000000,1.000000,454235989.000000,481252647.000000,508894645.000000,9.407000,275004000000.000000,0.000000,549000000.000000,0.000000,571.434000
ARQ,2000-12-31,2001-02-16,2000-11-24,2000-Q4,,48880109856.000000,2025-05-02,-130000000.000000,289760000000.000000,,,,,33.860000,-562000000.000000,21002000000.000000,21002000000.000000,0.000000,601000000.000000,,16.529000,141474000000.000000,,,141474000000.000000,0.000000,164000000.000000,0.000000,0.005000,0.120000,910000000.000000,1074000000.000000,0.314000,1074000000.000000,910000000.000000,910000000.000000,1.230000,1.150000,1.230000,16530000000.000000,,16530000000.000000,169352109856.000000,34.000000,30.758000,15598000000.000000,31.951000,1.000000,3415000000.000000,1.000000,0.000000,0.000000,410232000000.000000,,0.000000,184198000000.000000,,,273230000000.000000,,,834000000.000000,-1988000000.000000,-582000000.000000,-12142000000.000000,-54000000.000000,-12778000000.000000,-2548000000.000000,0.000000,16160000000.000000,0.000000,601000000.000000,601000000.000000,601000000.000000,0.000000,0.000000,0.176000,2505000000.000000,910000000.000000,82148000000.000000,0.098000,2.957000,15.937000,16.035000,0.000000,0.000000,101.500000,2.946000,2.965000,39286000000.000000,3294000000.000000,3415000000.000000,3415000000.000000,0.000000,,,,,769000000.000000,1913000000.000000,1.000000,481577437.000000,488190802.000000,521455584.000000,6.995000,289760000000.000000,0.000000,309000000.000000,0.000000,593.538000
ARQ,2001-03-31,2001-04-06,2001-02-23,2001-Q1,,40574695445.000000,2025-05-02,-115000000.000000,304812000000.000000,,,,,33.834000,-498000000.000000,24565000000.000000,24565000000.000000,0.000000,768000000.000000,,16.480000,185649000000.000000,,,185649000000.000000,0.000000,134000000.000000,0.000000,0.006000,0.120000,1259000000.000000,1393000000.000000,0.294000,1393000000.000000,1259000000.000000,1259000000.000000,1.490000,1.400000,1.490000,17438000000.000000,,17438000000.000000,201658695445.000000,42.000000,37.913000,-3946000000.000000,-7.656000,1.000000,4733000000.000000,1.000000,0.000000,0.000000,465896000000.000000,,0.000000,230742000000.000000,,,287374000000.000000,,,914000000.000000,0.000000,-373000000.000000,-1395000000.000000,-58000000.000000,4890000000.000000,-528000000.000000,0.000000,-3448000000.000000,0.000000,768000000.000000,768000000.000000,768000000.000000,0.000000,0.000000,0.162000,3474000000.000000,1259000000.000000,89174000000.000000,0.081000,2.327000,13.763000,14.057000,0.000000,0.000000,84.200000,2.411000,2.579000,38451000000.000000,4004000000.000000,4733000000.000000,4733000000.000000,0.000000,,,,,238000000.000000,3343000000.000000,1.000000,481884744.000000,515400000.000000,548600000.000000,9.183000,304812000000.000000,0.000000,491000000.000000,0.000000,591.409000
