dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2005-12-31,2006-03-03,2005-12-31,2005-Q4,3666000000.000000,143848755545.000000,2025-04-30,0.000000,27198000000.000000,,13177000000.000000,14021000000.000000,,3.422000,,4209000000.000000,7382643334.000000,,,1.385000,2.593000,6471000000.000000,1200000000.000000,5271000000.000000,11350222146.000000,0.000000,,0.000000,0.030000,0.610000,,,,,,,,,,7570000000.000000,,13277883116.000000,147816334357.000000,12.000000,11.943000,,,0.570000,,,4079000000.000000,,15870000000.000000,,2177000000.000000,1663000000.000000,1025000000.000000,638000000.000000,19628000000.000000,9511000000.000000,10117000000.000000,,,,,,,,,,,,,,,,,,,5147000000.000000,,10.834000,17.490000,17.953000,6652000000.000000,,65.025000,3.786000,3.786000,5348000000.000000,5579000000.000000,,,,,,,,,,0.500000,4424413858.000000,4424413858.000000,,,23119000000.000000,2630000000.000000,,2838000000.000000,10.451000
ARQ,2006-12-31,2007-03-02,2006-12-31,2006-Q4,3727000000.000000,147652260477.000000,2025-04-30,0.000000,25553000000.000000,,10992000000.000000,14561000000.000000,,4.460000,,2005000000.000000,3898798470.000000,,,1.513000,1.649000,5490000000.000000,718000000.000000,4772000000.000000,10675513018.000000,0.000000,,0.000000,0.033000,0.690000,,,,,,,,,,9648000000.000000,,18760901566.000000,154428975025.000000,10.000000,9.875000,,,0.514000,,,4051000000.000000,,17722000000.000000,,2437000000.000000,1771000000.000000,1035000000.000000,736000000.000000,15905000000.000000,7265000000.000000,8640000000.000000,,,,,,,,,,,,,,,,,,,4871000000.000000,,7.870000,14.090000,14.700000,6930000000.000000,,68.263000,3.269000,3.269000,5317000000.000000,6965000000.000000,,,,,,,,,,0.500000,4326013858.000000,4326013858.000000,,,21502000000.000000,2309000000.000000,,1216000000.000000,9.941000
ARQ,2007-12-31,2008-02-29,2007-12-31,2007-Q4,3281000000.000000,109867054417.000000,2025-04-30,0.000000,31003000000.000000,,13626000000.000000,17377000000.000000,,4.951000,,3379000000.000000,6708890918.000000,,,1.317000,2.128000,10571000000.000000,3504000000.000000,7067000000.000000,20988365167.000000,0.000000,,0.000000,0.049000,0.784000,,,,,,,,,,9910000000.000000,,19675971886.000000,124146528665.000000,8.000000,8.007000,,,0.504000,,,5826000000.000000,,22024000000.000000,,3062000000.000000,1999000000.000000,1153000000.000000,846000000.000000,21093000000.000000,10345000000.000000,10748000000.000000,,,,,,,,,,,,,,,,,,,4861000000.000000,,5.584000,10.613000,11.714000,7821000000.000000,,54.888000,2.436000,2.436000,5495000000.000000,6475000000.000000,,,,,,,,,,0.500000,4003354294.000000,4003354294.000000,,,25177000000.000000,2254000000.000000,,1713000000.000000,12.578000
ARQ,2008-12-31,2009-03-04,2008-12-31,2008-Q4,7252000000.000000,74979849652.000000,2025-04-30,0.000000,39393000000.000000,,17269000000.000000,22124000000.000000,,4.009000,,5623000000.000000,7948849163.000000,,,1.724000,3.736000,16187000000.000000,956000000.000000,15231000000.000000,22882450898.000000,0.000000,,0.000000,0.069000,0.619000,,,,,,,,,,8318000000.000000,,11758585690.000000,89913451387.000000,9.000000,8.605000,,,0.707000,,,7970000000.000000,,31970000000.000000,,4056000000.000000,1421000000.000000,391000000.000000,1030000000.000000,31075000000.000000,10017000000.000000,21058000000.000000,,,,,,,,,,,,,,,,,,,6075000000.000000,,6.377000,11.526000,11.541000,9678000000.000000,,36.138000,2.178000,2.178000,6265000000.000000,4622000000.000000,,,,,,,,,,0.500000,4149697663.000000,4149697663.000000,,,31423000000.000000,2836000000.000000,,1494000000.000000,15.145000
ARQ,2009-12-31,2010-03-01,2009-12-31,2009-Q4,5452000000.000000,96110146732.000000,2025-04-30,0.000000,42862000000.000000,,17570000000.000000,25292000000.000000,,5.173000,,6545000000.000000,9790209790.000000,,,1.450000,2.990000,16257000000.000000,1471000000.000000,14786000000.000000,24317714371.000000,0.000000,,0.000000,0.052000,0.718000,,,,,,,,,,10742000000.000000,,16068209865.000000,110637651312.000000,9.000000,8.665000,,,0.669000,,,11544000000.000000,,28912000000.000000,,4064000000.000000,1617000000.000000,268000000.000000,1349000000.000000,32120000000.000000,12118000000.000000,20002000000.000000,,,,,,,,,,,,,,,,,,,6772000000.000000,,5.981000,11.617000,11.343000,9374000000.000000,,46.288000,2.265000,2.265000,6492000000.000000,6321000000.000000,,,,,,,,,,0.500000,4152747361.000000,4152747361.000000,,,31318000000.000000,2432000000.000000,,2096000000.000000,15.083000
ARQ,2010-12-31,2011-03-04,2010-12-31,2010-Q4,3242000000.000000,99976119726.000000,2025-04-30,0.000000,42230000000.000000,,16036000000.000000,26194000000.000000,,4.276000,,6057000000.000000,9850302079.000000,,,1.253000,3.655000,15100000000.000000,291000000.000000,14809000000.000000,24556638830.000000,0.000000,,0.000000,0.053000,0.769000,,,,,,,,,,8887000000.000000,,14452639026.000000,114682456477.000000,19.000000,18.710000,,,0.615000,,,12138000000.000000,,26341000000.000000,,3837000000.000000,1976000000.000000,184000000.000000,1792000000.000000,32485000000.000000,12794000000.000000,19691000000.000000,,,,,,,,,,,,,,,,,,,6888000000.000000,,6.917000,37.623000,36.879000,9045000000.000000,,48.100000,2.165000,2.165000,5793000000.000000,4779000000.000000,,,,,,,,,,0.500000,4157011215.000000,4157011215.000000,,,30092000000.000000,2622000000.000000,,1754000000.000000,14.478000
ARQ,2011-12-31,2012-03-13,2011-12-31,2011-Q4,1157000000.000000,114764796737.000000,2025-04-30,0.000000,41080000000.000000,,16167000000.000000,24913000000.000000,,3.977000,,5714000000.000000,8959455095.000000,,,1.077000,4.016000,14901000000.000000,2698000000.000000,12203000000.000000,23364515289.000000,0.000000,,0.000000,0.053000,1.026000,,,,,,,,,,8032000000.000000,,12594039783.000000,129169856932.000000,10.000000,9.925000,,,0.638000,,,11556000000.000000,,23701000000.000000,,3873000000.000000,1334000000.000000,184000000.000000,1150000000.000000,32253000000.000000,15010000000.000000,17243000000.000000,,,,,,,,,,,,,,,,,,,7359000000.000000,,9.113000,13.912000,13.859000,8748000000.000000,,56.825000,2.673000,2.673000,5576000000.000000,3370000000.000000,,,,,,,,,,0.500000,4039236137.000000,4039236137.000000,,,29524000000.000000,2934000000.000000,,2465000000.000000,14.619000
ARQ,2012-03-31,2012-04-25,2012-03-31,2012-Q1,1745000000.000000,116128038933.000000,2025-04-30,0.000000,40802000000.000000,,16278000000.000000,24524000000.000000,,4.345000,-158000000.000000,5636000000.000000,9097820946.000000,1810000000.000000,1390000000.000000,1.120000,3.558000,14715000000.000000,2723000000.000000,11992000000.000000,23753448407.000000,0.000000,240000000.000000,0.000000,0.052000,1.026000,2048000000.000000,2288000000.000000,0.345000,3693366630.000000,3305950550.000000,1814000000.000000,0.667000,0.657000,1.077000,8776000000.000000,,14166514660.000000,130783666394.000000,,,854000000.000000,0.423000,0.619000,4830000000.000000,0.727000,11264000000.000000,234000000.000000,24084000000.000000,,4008000000.000000,1402000000.000000,203000000.000000,1199000000.000000,31226000000.000000,14533000000.000000,16693000000.000000,-90000000.000000,-6000000.000000,-106000000.000000,-18000000.000000,-847000000.000000,-1232000000.000000,130000000.000000,-28000000.000000,1012000000.000000,-26000000.000000,1325000000.000000,1325000000.000000,2138859608.000000,0.000000,65000000.000000,0.200000,2793000000.000000,2037000000.000000,7058000000.000000,0.953000,8.197000,,,8616000000.000000,0.000000,57.500000,,,5753000000.000000,3956000000.000000,6640000000.000000,10718511547.000000,971000000.000000,,,,,,2130000000.000000,0.500000,4039236137.000000,4039236137.000000,,5.307000,29538000000.000000,2809000000.000000,489000000.000000,2535000000.000000,14.626000
ARQ,2012-03-31,2012-05-02,2012-03-31,2012-Q1,1745000000.000000,117819469065.000000,2025-04-30,0.000000,40802000000.000000,,16278000000.000000,24524000000.000000,,4.345000,-158000000.000000,5636000000.000000,9121822293.000000,1810000000.000000,1390000000.000000,1.120000,3.558000,14715000000.000000,2723000000.000000,11992000000.000000,23816113385.000000,0.000000,240000000.000000,0.000000,0.052000,1.026000,2048000000.000000,2288000000.000000,0.345000,3703110257.000000,3314672118.000000,1814000000.000000,0.667000,0.657000,1.080000,8776000000.000000,,14203887942.000000,132513760158.000000,,,854000000.000000,0.423000,0.618000,4830000000.000000,0.727000,11264000000.000000,234000000.000000,24084000000.000000,,4008000000.000000,1402000000.000000,203000000.000000,1199000000.000000,31226000000.000000,14533000000.000000,16693000000.000000,-90000000.000000,-6000000.000000,-106000000.000000,-18000000.000000,-847000000.000000,-1232000000.000000,130000000.000000,-28000000.000000,1012000000.000000,-26000000.000000,1325000000.000000,1325000000.000000,2144502225.000000,0.000000,65000000.000000,0.200000,2793000000.000000,2037000000.000000,7058000000.000000,0.950000,8.295000,,,8616000000.000000,0.000000,58.337000,,,5753000000.000000,3956000000.000000,6640000000.000000,10746788507.000000,971000000.000000,,,,,,2130000000.000000,0.500000,4039236137.000000,4039236137.000000,,5.321000,29538000000.000000,2809000000.000000,489000000.000000,2535000000.000000,14.626000
ARQ,2012-06-30,2012-07-25,2012-06-30,2012-Q2,1862000000.000000,111735369634.000000,2025-04-30,0.000000,42457000000.000000,,17264000000.000000,25193000000.000000,,3.492000,-231000000.000000,7389000000.000000,11446248794.000000,1992000000.000000,1319000000.000000,1.121000,4.915000,17231000000.000000,3657000000.000000,13574000000.000000,26692422921.000000,0.000000,247000000.000000,0.000000,0.055000,0.686000,1678000000.000000,1925000000.000000,0.298000,2982004186.000000,2599378194.000000,1487000000.000000,0.635000,0.627000,0.984000,7052000000.000000,,10924204425.000000,126981543762.000000,,,1506000000.000000,0.746000,0.646000,4470000000.000000,0.692000,11396000000.000000,191000000.000000,25501000000.000000,,3959000000.000000,1574000000.000000,204000000.000000,1370000000.000000,34661000000.000000,15402000000.000000,19259000000.000000,1730000000.000000,-68000000.000000,-752000000.000000,2434000000.000000,-1291000000.000000,110000000.000000,-117000000.000000,-144000000.000000,1737000000.000000,-11000000.000000,1254000000.000000,1254000000.000000,1942562727.000000,0.000000,65000000.000000,0.194000,2734000000.000000,1736000000.000000,7160000000.000000,0.697000,10.228000,,,8663000000.000000,0.000000,55.325000,,,5519000000.000000,2051000000.000000,6462000000.000000,10010239505.000000,922000000.000000,,,,,,2187000000.000000,0.500000,4039236137.000000,4039236137.000000,,4.957000,31061000000.000000,3156000000.000000,233000000.000000,2477000000.000000,15.380000
