dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2022-12-31,2023-12-14,2022-12-31,2022-Q4,44318000.000000,,2025-05-14,0.000000,60956000.000000,,51629000.000000,9327000.000000,,-59.071000,,53524000.000000,53524000.000000,,,7.062000,-0.103000,19475000.000000,1250000.000000,18225000.000000,19475000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-252319000.000000,,-252319000.000000,,,,,,1.000000,,,0.000000,,19596000.000000,,0.000000,0.000000,0.000000,0.000000,25945000.000000,7311000.000000,18634000.000000,,,,,,,,,,,,,,,,,,,980000.000000,,,,,1647000.000000,,,,,0.000000,-269525000.000000,,,,,,,,,,1.000000,40273868.000000,4271489.000000,,,60956000.000000,0.000000,,0.000000,14.270000
ARQ,2023-09-30,2024-01-29,2023-09-30,2023-Q3,38414000.000000,,2025-05-14,0.000000,56782000.000000,,46811000.000000,9971000.000000,,-6.452000,,44815000.000000,44815000.000000,,,5.575000,-0.249000,55511000.000000,768000.000000,54743000.000000,55511000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-307175000.000000,,-307175000.000000,,,,,,1.000000,,,0.000000,,59081000.000000,,76000.000000,4255000.000000,0.000000,4255000.000000,76627000.000000,8397000.000000,68230000.000000,,,,,,,,,,,,,,,,,,,746000.000000,,,,,937000.000000,,,,,24000.000000,-327436000.000000,,,,,,,,,,1.000000,47607201.000000,47607201.000000,,,56782000.000000,0.000000,,0.000000,1.193000
ARQ,2023-12-31,2024-04-01,2023-12-31,2023-Q4,24460000.000000,356693104.000000,2025-05-14,0.000000,76212000.000000,,35648000.000000,40564000.000000,,-154.597000,-136000.000000,33524000.000000,33524000.000000,2000.000000,-19180000.000000,3.186000,-0.351000,86391000.000000,2731000.000000,83660000.000000,86391000.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-19180000.000000,-19142000.000000,-2734.571000,-19142000.000000,-19180000.000000,-19180000.000000,-11.180000,-11.180000,-11.180000,-325062000.000000,,-325062000.000000,409560104.000000,-5.000000,-5.332000,-10735000.000000,-5.105000,1.000000,5000.000000,0.714000,0.000000,0.000000,117891000.000000,,73000.000000,4255000.000000,0.000000,4255000.000000,113944000.000000,11188000.000000,102756000.000000,-11291000.000000,0.000000,17000.000000,-3000.000000,0.000000,-556000.000000,-136000.000000,0.000000,-10599000.000000,0.000000,-19180000.000000,-23510000.000000,-23510000.000000,0.000000,0.000000,-3358.571000,12986000.000000,-12981000.000000,553000.000000,0.000000,-1.097000,-3.784000,-0.164000,30772000.000000,4330000.000000,7.450000,2972.443000,129.216000,22000.000000,-346616000.000000,7000.000000,7000.000000,10166000.000000,,,,,1276000.000000,2820000.000000,1.000000,47878269.000000,2102643.000000,2102643.000000,0.003000,76212000.000000,0.000000,0.000000,0.000000,36.246000
ARQ,2024-03-31,2024-05-13,2024-03-31,2024-Q1,111200000.000000,292171139.000000,2025-05-14,0.000000,163519000.000000,,124472000.000000,39047000.000000,,2.831000,-1059000.000000,121756000.000000,121756000.000000,19000.000000,-3322000.000000,9.379000,0.943000,60533000.000000,3592000.000000,56941000.000000,60533000.000000,0.000000,722000.000000,0.000000,0.000000,0.000000,-3322000.000000,-2600000.000000,-78.788000,-2600000.000000,-3322000.000000,-3322000.000000,-0.170000,-0.170000,-0.170000,84178000.000000,,84178000.000000,230948139.000000,,,-12770000.000000,-0.429000,1.000000,14000.000000,0.424000,0.000000,0.000000,89024000.000000,,73000.000000,4255000.000000,0.000000,4255000.000000,79341000.000000,13272000.000000,66069000.000000,88232000.000000,0.000000,103858000.000000,-2000.000000,0.000000,101002000.000000,-1059000.000000,0.000000,-11711000.000000,0.000000,-3322000.000000,-5059000.000000,-5059000.000000,0.000000,0.000000,-153.303000,21556000.000000,-21542000.000000,1027000.000000,0.000000,3.471000,,,31515000.000000,1737000.000000,6.100000,,,15000.000000,-349938000.000000,33000.000000,33000.000000,14424000.000000,,,,,5217000.000000,7132000.000000,1.000000,47896908.000000,29736911.000000,29736911.000000,0.001000,163519000.000000,0.000000,0.000000,0.000000,5.499000
ARQ,2024-06-30,2024-08-14,2024-06-30,2024-Q2,92274000.000000,106877687.000000,2025-05-14,0.000000,146437000.000000,,106555000.000000,39882000.000000,,1.477000,-260000.000000,102754000.000000,102754000.000000,24000.000000,-17229000.000000,7.461000,1.070000,61224000.000000,4882000.000000,56342000.000000,61224000.000000,0.000000,654000.000000,0.000000,0.000000,0.000000,-17229000.000000,-16575000.000000,-385.465000,-16575000.000000,-17229000.000000,-17229000.000000,-0.360000,-0.360000,-0.360000,70755000.000000,,70755000.000000,65347687.000000,,,-18997000.000000,-0.397000,1.000000,19000.000000,0.442000,0.000000,0.000000,90626000.000000,,64000.000000,4255000.000000,0.000000,4255000.000000,75682000.000000,14281000.000000,61401000.000000,-19002000.000000,0.000000,16000.000000,-21000.000000,0.000000,-5000.000000,-260000.000000,0.000000,-18737000.000000,0.000000,-17229000.000000,-17229000.000000,-17229000.000000,0.000000,0.000000,-400.674000,23004000.000000,-22985000.000000,2287000.000000,0.000000,1.511000,,,32323000.000000,0.000000,2.230000,,,22000.000000,-367167000.000000,43000.000000,43000.000000,16762000.000000,,,,,3790000.000000,6242000.000000,1.000000,47927214.000000,47899349.000000,47899349.000000,0.001000,146437000.000000,0.000000,0.000000,0.000000,3.057000
ARQ,2024-09-30,2024-11-12,2024-09-30,2024-Q3,71934000.000000,116880434.000000,2025-05-14,0.000000,126924000.000000,,87651000.000000,39273000.000000,,1.049000,-213000.000000,84664000.000000,84664000.000000,7000.000000,-23173000.000000,5.577000,1.522000,62931000.000000,4920000.000000,58011000.000000,62931000.000000,0.000000,574000.000000,0.000000,0.000000,0.000000,-23173000.000000,-22599000.000000,-1614.214000,-22599000.000000,-23173000.000000,-23173000.000000,-0.480000,-0.480000,-0.480000,50322000.000000,,50322000.000000,95147434.000000,-2.000000,-1.562000,-18252000.000000,-0.380000,1.000000,7000.000000,0.500000,0.000000,0.000000,89474000.000000,,73000.000000,4255000.000000,0.000000,4255000.000000,76602000.000000,15717000.000000,60885000.000000,-18090000.000000,0.000000,220000.000000,-58000.000000,0.000000,162000.000000,-213000.000000,0.000000,-18039000.000000,0.000000,-23173000.000000,-23173000.000000,-23173000.000000,0.000000,0.000000,-1655.214000,23801000.000000,-23794000.000000,1767000.000000,0.000000,2.323000,-1.695000,-0.199000,31787000.000000,0.000000,2.430000,1204.953000,1201.822000,0.000000,-390340000.000000,14000.000000,14000.000000,19004000.000000,,,,,2520000.000000,4797000.000000,1.000000,48098944.000000,47973951.000000,47973951.000000,0.000000,126924000.000000,0.000000,0.000000,0.000000,2.646000
ARQ,2024-12-31,2025-03-03,2024-12-31,2024-Q4,51988000.000000,76315545.000000,2025-05-14,0.000000,108077000.000000,,71763000.000000,36314000.000000,,0.586000,-233000.000000,67464000.000000,67464000.000000,0.000000,-24970000.000000,3.629000,2.802000,62500000.000000,4956000.000000,57544000.000000,62500000.000000,0.000000,596000.000000,0.000000,0.000000,0.000000,-24970000.000000,-24374000.000000,-8124.667000,-24374000.000000,-24970000.000000,-24970000.000000,-0.530000,-0.530000,-0.530000,28424000.000000,,28424000.000000,71351545.000000,-1.000000,-1.079000,-17267000.000000,-0.356000,1.000000,3000.000000,1.000000,0.000000,0.000000,83338000.000000,,73000.000000,4255000.000000,0.000000,4255000.000000,79653000.000000,19775000.000000,59878000.000000,-17200000.000000,0.000000,173000.000000,-106000.000000,0.000000,67000.000000,-233000.000000,0.000000,-17034000.000000,0.000000,-24970000.000000,-24970000.000000,-24970000.000000,0.000000,0.000000,-8323.333000,25213000.000000,-25210000.000000,3240000.000000,0.000000,2.685000,-1.084000,-0.963000,31393000.000000,0.000000,1.560000,820.597000,730.375000,0.000000,-415310000.000000,3000.000000,3000.000000,20281000.000000,,,,,2899000.000000,4932000.000000,1.000000,48920221.000000,48489067.000000,48489067.000000,0.000000,108077000.000000,0.000000,0.000000,0.000000,2.229000
ARQ,2025-03-31,2025-05-13,2025-03-31,2025-Q1,28244000.000000,86688646.000000,2025-05-14,0.000000,83040000.000000,,47045000.000000,35995000.000000,,0.130000,-448000.000000,42108000.000000,42108000.000000,0.000000,-23735000.000000,2.502000,12.026000,61425000.000000,4992000.000000,56433000.000000,61425000.000000,0.000000,672000.000000,0.000000,0.000000,0.000000,-23735000.000000,-23063000.000000,,-23063000.000000,-23735000.000000,-23735000.000000,-0.490000,-0.490000,-0.490000,6375000.000000,,6375000.000000,106005646.000000,-1.000000,-1.224000,-25527000.000000,-0.522000,1.000000,0.000000,,0.000000,0.000000,83556000.000000,,0.000000,4255000.000000,0.000000,4255000.000000,76665000.000000,18801000.000000,57864000.000000,-25356000.000000,0.000000,280000.000000,-109000.000000,0.000000,171000.000000,-448000.000000,0.000000,-25079000.000000,0.000000,-23735000.000000,-23735000.000000,-23735000.000000,0.000000,0.000000,,24759000.000000,-24759000.000000,1479000.000000,0.000000,13.598000,-0.973000,-0.952000,31169000.000000,0.000000,1.770000,1444.811000,1441.532000,0.000000,-439045000.000000,0.000000,0.000000,19435000.000000,,,,,1406000.000000,5324000.000000,1.000000,48976636.000000,48865468.000000,48865468.000000,0.000000,83040000.000000,0.000000,0.000000,0.000000,1.699000
ART,2022-12-31,2023-12-14,2022-12-31,2022-Q4,44318000.000000,,2025-05-14,0.000000,60956000.000000,,51629000.000000,9327000.000000,,-59.071000,-56000.000000,53524000.000000,53524000.000000,0.000000,-46453000.000000,7.062000,-0.103000,19475000.000000,1250000.000000,18225000.000000,19475000.000000,0.000000,452000.000000,0.000000,,0.000000,-47250000.000000,-46798000.000000,,-46798000.000000,-47250000.000000,-46453000.000000,-14.900000,-14.900000,-14.900000,-252319000.000000,,-252319000.000000,,,,-46299000.000000,-10.839000,1.000000,0.000000,,0.000000,-797000.000000,19596000.000000,,0.000000,0.000000,0.000000,0.000000,25945000.000000,7311000.000000,18634000.000000,-41949000.000000,0.000000,321000.000000,4029000.000000,0.000000,4350000.000000,-56000.000000,0.000000,-46243000.000000,0.000000,-46453000.000000,-63633000.000000,-63633000.000000,0.000000,0.000000,,49385000.000000,-49385000.000000,980000.000000,0.000000,,,,1647000.000000,17180000.000000,,,,0.000000,-269525000.000000,0.000000,0.000000,34354000.000000,,,,,3138000.000000,15031000.000000,1.000000,40273868.000000,4271489.000000,4271489.000000,0.000000,60956000.000000,0.000000,0.000000,0.000000,14.270000
ART,2023-09-30,2024-01-29,2023-09-30,2023-Q3,38414000.000000,,2025-05-14,0.000000,56782000.000000,,46811000.000000,9971000.000000,,-6.452000,,44815000.000000,44815000.000000,,,5.575000,-0.249000,55511000.000000,768000.000000,54743000.000000,55511000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-307175000.000000,,-307175000.000000,,,,,,1.000000,,,0.000000,,59081000.000000,,76000.000000,4255000.000000,0.000000,4255000.000000,76627000.000000,8397000.000000,68230000.000000,,,,,,,,,,,,,,,,,,,746000.000000,,,,,937000.000000,,,,,24000.000000,-327436000.000000,,,,,,,,,,1.000000,47607201.000000,47607201.000000,,,56782000.000000,0.000000,,0.000000,1.193000
