dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2008-12-31,2009-11-02,2008-12-31,2008-Q4,404000000.000000,,2025-05-02,-60000000.000000,6119000000.000000,,1057000000.000000,5062000000.000000,,21.209000,,465000000.000000,465000000.000000,,,1.619000,0.709000,1247000000.000000,38000000.000000,1209000000.000000,1247000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,3564000000.000000,,3564000000.000000,,,,,,1.000000,,,376000000.000000,,5872000000.000000,,170000000.000000,614000000.000000,0.000000,614000000.000000,2527000000.000000,653000000.000000,1874000000.000000,,,,,,,,,,,,,,,,,,,318000000.000000,,,,,3495000000.000000,,,,,281000000.000000,1381000000.000000,,,,,,,,,,1.000000,168039995.000000,168039995.000000,,,5743000000.000000,195000000.000000,,23000000.000000,34.176000
ARQ,2009-12-31,2010-02-25,2009-12-31,2009-Q4,1494000000.000000,5650943512.000000,2025-05-02,-53000000.000000,7155000000.000000,,1989000000.000000,5166000000.000000,,28.848000,,1338000000.000000,1338000000.000000,,,4.018000,0.422000,852000000.000000,12000000.000000,840000000.000000,852000000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5016000000.000000,,5016000000.000000,5164943512.000000,1722.000000,18.919000,,,1.000000,,,397000000.000000,,5777000000.000000,,133000000.000000,608000000.000000,0.000000,608000000.000000,2115000000.000000,495000000.000000,1620000000.000000,,,,,,,,,,,,,,,,,,,196000000.000000,,1.127000,-131.417000,-116.071000,3605000000.000000,,32.500000,1.696000,1.696000,226000000.000000,1338000000.000000,,,,,,,,,,1.000000,173875185.000000,173875185.000000,,,6758000000.000000,182000000.000000,,5000000.000000,38.867000
ARQ,2010-03-31,2010-05-06,2010-03-31,2010-Q1,1682000000.000000,7162122060.000000,2025-05-02,-49000000.000000,7154000000.000000,,2162000000.000000,4992000000.000000,,28.905000,-37000000.000000,1433000000.000000,1433000000.000000,681000000.000000,5000000.000000,4.504000,0.419000,838000000.000000,0.000000,838000000.000000,838000000.000000,0.000000,70000000.000000,0.000000,0.000000,0.000000,34000000.000000,104000000.000000,0.124000,104000000.000000,34000000.000000,22000000.000000,0.030000,0.030000,0.030000,5026000000.000000,,5026000000.000000,6567122060.000000,,,24000000.000000,0.138000,1.000000,160000000.000000,0.190000,262000000.000000,12000000.000000,5817000000.000000,,130000000.000000,600000000.000000,0.000000,600000000.000000,2105000000.000000,480000000.000000,1625000000.000000,-19000000.000000,0.000000,0.000000,-3000000.000000,0.000000,-3000000.000000,-89000000.000000,-54000000.000000,61000000.000000,12000000.000000,5000000.000000,5000000.000000,5000000.000000,2000000.000000,0.000000,0.006000,139000000.000000,21000000.000000,196000000.000000,0.000000,1.425000,,,3454000000.000000,0.000000,41.190000,,,0.000000,1343000000.000000,841000000.000000,841000000.000000,0.000000,,,,,0.000000,69000000.000000,1.000000,173880118.000000,173880118.000000,,4.837000,6892000000.000000,0.000000,17000000.000000,0.000000,39.637000
ARQ,2010-06-30,2010-08-05,2010-06-30,2010-Q2,1648000000.000000,6779507080.000000,2025-05-02,-69000000.000000,7170000000.000000,,2211000000.000000,4959000000.000000,,28.973000,-53000000.000000,1215000000.000000,1215000000.000000,706000000.000000,24000000.000000,3.927000,0.419000,853000000.000000,59000000.000000,794000000.000000,853000000.000000,0.000000,66000000.000000,0.000000,0.000000,0.000000,37000000.000000,103000000.000000,0.116000,103000000.000000,37000000.000000,25000000.000000,0.140000,0.140000,0.140000,5039000000.000000,,5039000000.000000,6417507080.000000,,,70000000.000000,0.402000,1.000000,183000000.000000,0.206000,392000000.000000,12000000.000000,5853000000.000000,,129000000.000000,1027000000.000000,444000000.000000,583000000.000000,2109000000.000000,563000000.000000,1546000000.000000,-129000000.000000,0.000000,1000000.000000,-2000000.000000,0.000000,-2000000.000000,-259000000.000000,-295000000.000000,123000000.000000,9000000.000000,25000000.000000,25000000.000000,25000000.000000,-5000000.000000,-1000000.000000,0.028000,124000000.000000,59000000.000000,204000000.000000,0.000000,1.345000,,,3414000000.000000,0.000000,38.980000,,,232000000.000000,1368000000.000000,889000000.000000,889000000.000000,0.000000,,,,,0.000000,58000000.000000,1.000000,173922706.000000,173922706.000000,,5.111000,6778000000.000000,182000000.000000,0.000000,6000000.000000,38.971000
ARQ,2010-09-30,2010-11-03,2010-09-30,2010-Q3,1579000000.000000,7218706212.000000,2025-05-02,-39000000.000000,7232000000.000000,,2200000000.000000,5032000000.000000,,29.348000,-60000000.000000,1058000000.000000,1058000000.000000,731000000.000000,30000000.000000,3.543000,0.412000,808000000.000000,92000000.000000,716000000.000000,808000000.000000,0.000000,68000000.000000,0.000000,0.000000,0.000000,63000000.000000,131000000.000000,0.149000,131000000.000000,63000000.000000,47000000.000000,0.170000,0.170000,0.170000,5105000000.000000,,5105000000.000000,6968706212.000000,,,56000000.000000,0.322000,1.000000,148000000.000000,0.168000,395000000.000000,16000000.000000,5966000000.000000,,128000000.000000,1236000000.000000,604000000.000000,632000000.000000,2105000000.000000,621000000.000000,1484000000.000000,-173000000.000000,0.000000,-1000000.000000,-3000000.000000,0.000000,-3000000.000000,-263000000.000000,-222000000.000000,116000000.000000,-23000000.000000,30000000.000000,30000000.000000,30000000.000000,-1000000.000000,0.000000,0.034000,136000000.000000,12000000.000000,225000000.000000,0.000000,1.414000,,,3407000000.000000,0.000000,41.500000,,,231000000.000000,1398000000.000000,879000000.000000,879000000.000000,0.000000,,,,,0.000000,68000000.000000,1.000000,173944728.000000,173944728.000000,,5.053000,6837000000.000000,185000000.000000,17000000.000000,10000000.000000,39.306000
ARQ,2010-12-31,2011-02-17,2010-12-31,2010-Q4,1569000000.000000,8477470191.000000,2025-05-02,-38000000.000000,7243000000.000000,,2165000000.000000,5078000000.000000,,29.419000,73000000.000000,1216000000.000000,1216000000.000000,746000000.000000,-4000000.000000,3.633000,0.413000,771000000.000000,57000000.000000,714000000.000000,771000000.000000,0.000000,75000000.000000,0.000000,0.000000,0.000000,23000000.000000,98000000.000000,0.107000,98000000.000000,23000000.000000,9000000.000000,0.040000,0.040000,0.040000,5118000000.000000,,5118000000.000000,8032470191.000000,51.000000,18.423000,223000000.000000,1.282000,1.000000,172000000.000000,0.187000,382000000.000000,14000000.000000,5820000000.000000,,100000000.000000,1144000000.000000,524000000.000000,620000000.000000,2112000000.000000,596000000.000000,1516000000.000000,104000000.000000,0.000000,0.000000,-31000000.000000,0.000000,-31000000.000000,-25000000.000000,89000000.000000,150000000.000000,10000000.000000,6000000.000000,6000000.000000,6000000.000000,0.000000,-10000000.000000,0.007000,156000000.000000,16000000.000000,145000000.000000,0.000000,1.656000,128.447000,128.237000,3453000000.000000,0.000000,48.730000,2.404000,2.404000,199000000.000000,1404000000.000000,918000000.000000,918000000.000000,0.000000,,,,,0.000000,81000000.000000,1.000000,173968196.000000,173968196.000000,,5.277000,6861000000.000000,97000000.000000,3000000.000000,0.000000,39.438000
ARQ,2011-03-31,2011-05-03,2011-03-31,2011-Q1,1618000000.000000,7409150187.000000,2025-05-02,-15000000.000000,7278000000.000000,,2185000000.000000,5093000000.000000,,29.631000,-46000000.000000,1231000000.000000,1231000000.000000,717000000.000000,10000000.000000,3.854000,0.409000,768000000.000000,56000000.000000,712000000.000000,768000000.000000,0.000000,71000000.000000,0.000000,0.000000,0.000000,29000000.000000,100000000.000000,0.114000,100000000.000000,29000000.000000,16000000.000000,0.060000,0.060000,0.060000,5156000000.000000,,5156000000.000000,6946150187.000000,46.000000,16.079000,-5000000.000000,-0.029000,1.000000,158000000.000000,0.181000,387000000.000000,13000000.000000,5861000000.000000,,99000000.000000,1141000000.000000,527000000.000000,614000000.000000,2109000000.000000,567000000.000000,1542000000.000000,26000000.000000,0.000000,0.000000,24000000.000000,0.000000,24000000.000000,-39000000.000000,-16000000.000000,41000000.000000,0.000000,10000000.000000,10000000.000000,10000000.000000,0.000000,0.000000,0.011000,141000000.000000,17000000.000000,113000000.000000,0.000000,1.437000,104.354000,103.854000,3453000000.000000,0.000000,42.580000,2.081000,2.081000,215000000.000000,1414000000.000000,875000000.000000,875000000.000000,0.000000,,,,,0.000000,70000000.000000,1.000000,174005406.000000,174005406.000000,,5.029000,6891000000.000000,112000000.000000,6000000.000000,0.000000,39.602000
ARQ,2011-06-30,2011-08-02,2011-06-30,2011-Q2,1271000000.000000,6017342885.000000,2025-05-02,2000000.000000,6997000000.000000,,1898000000.000000,5099000000.000000,,29.201000,18000000.000000,923000000.000000,923000000.000000,738000000.000000,36000000.000000,3.027000,0.449000,769000000.000000,55000000.000000,714000000.000000,769000000.000000,0.000000,72000000.000000,0.000000,0.000000,0.000000,50000000.000000,122000000.000000,0.130000,122000000.000000,50000000.000000,36000000.000000,0.220000,0.220000,0.220000,4822000000.000000,,4822000000.000000,5863342885.000000,36.000000,13.001000,187000000.000000,1.132000,1.000000,198000000.000000,0.212000,384000000.000000,14000000.000000,5832000000.000000,,96000000.000000,1154000000.000000,521000000.000000,633000000.000000,2163000000.000000,627000000.000000,1536000000.000000,-260000000.000000,-77000000.000000,-396000000.000000,-2000000.000000,0.000000,-398000000.000000,-31000000.000000,-12000000.000000,169000000.000000,0.000000,37000000.000000,37000000.000000,37000000.000000,0.000000,-1000000.000000,0.040000,143000000.000000,55000000.000000,146000000.000000,0.000000,1.248000,72.498000,74.367000,3451000000.000000,0.000000,36.440000,1.668000,1.668000,233000000.000000,1451000000.000000,936000000.000000,936000000.000000,0.000000,,,,,0.000000,71000000.000000,1.000000,165130156.000000,165130156.000000,,5.668000,6613000000.000000,105000000.000000,-1000000.000000,0.000000,40.047000
ARQ,2011-09-30,2011-11-02,2011-09-30,2011-Q3,1122000000.000000,6218222758.000000,2025-05-02,-64000000.000000,7387000000.000000,,1688000000.000000,5699000000.000000,,28.918000,-98000000.000000,750000000.000000,750000000.000000,711000000.000000,13000000.000000,2.982000,0.544000,1225000000.000000,4000000.000000,1221000000.000000,1225000000.000000,0.000000,75000000.000000,0.000000,0.000000,0.000000,24000000.000000,99000000.000000,0.110000,99000000.000000,24000000.000000,9000000.000000,0.080000,0.080000,0.080000,4776000000.000000,,4776000000.000000,6693222758.000000,53.000000,15.974000,30000000.000000,0.182000,1.000000,186000000.000000,0.207000,458000000.000000,15000000.000000,6838000000.000000,,93000000.000000,1138000000.000000,506000000.000000,632000000.000000,2600000000.000000,566000000.000000,2034000000.000000,-186000000.000000,-611000000.000000,0.000000,443000000.000000,0.000000,430000000.000000,-735000000.000000,-13000000.000000,128000000.000000,-9000000.000000,14000000.000000,14000000.000000,14000000.000000,0.000000,-1000000.000000,0.016000,133000000.000000,53000000.000000,135000000.000000,0.000000,1.302000,92.809000,94.125000,3990000000.000000,0.000000,37.650000,1.715000,1.715000,218000000.000000,1465000000.000000,897000000.000000,897000000.000000,0.000000,,,,,0.000000,58000000.000000,1.000000,165158639.000000,165158639.000000,,5.431000,6929000000.000000,108000000.000000,-5000000.000000,0.000000,41.954000
ARQ,2011-12-31,2012-02-16,2011-12-31,2011-Q4,1023000000.000000,7076392039.000000,2025-05-02,-80000000.000000,7507000000.000000,,1591000000.000000,5916000000.000000,,29.168000,-115000000.000000,561000000.000000,561000000.000000,791000000.000000,52000000.000000,2.801000,0.556000,1225000000.000000,4000000.000000,1221000000.000000,1225000000.000000,0.000000,87000000.000000,0.000000,0.000000,0.000000,39000000.000000,126000000.000000,0.127000,126000000.000000,39000000.000000,24000000.000000,0.310000,0.310000,0.310000,4818000000.000000,,4818000000.000000,7740392039.000000,55.000000,17.316000,-60000000.000000,-0.363000,1.000000,199000000.000000,0.201000,461000000.000000,15000000.000000,7142000000.000000,,87000000.000000,1228000000.000000,588000000.000000,640000000.000000,2679000000.000000,568000000.000000,2111000000.000000,-156000000.000000,-28000000.000000,0.000000,0.000000,0.000000,0.000000,-210000000.000000,-89000000.000000,55000000.000000,-1000000.000000,52000000.000000,52000000.000000,52000000.000000,0.000000,0.000000,0.053000,171000000.000000,28000000.000000,144000000.000000,0.000000,1.469000,62.623000,63.940000,4043000000.000000,0.000000,42.840000,1.914000,1.914000,225000000.000000,1517000000.000000,990000000.000000,990000000.000000,0.000000,,,,,0.000000,84000000.000000,1.000000,165181887.000000,165181887.000000,,5.993000,7046000000.000000,249000000.000000,-28000000.000000,0.000000,42.656000
ARQ,2012-03-31,2012-05-03,2012-03-31,2012-Q1,1033000000.000000,6877347732.000000,2025-05-02,-60000000.000000,7562000000.000000,,1581000000.000000,5981000000.000000,,29.326000,-95000000.000000,580000000.000000,580000000.000000,772000000.000000,10000000.000000,2.885000,0.556000,1224000000.000000,4000000.000000,1220000000.000000,1224000000.000000,0.000000,86000000.000000,0.000000,0.000000,0.000000,32000000.000000,118000000.000000,0.123000,118000000.000000,32000000.000000,14000000.000000,0.060000,0.060000,0.060000,4854000000.000000,,4854000000.000000,7521347732.000000,52.000000,16.175000,-34000000.000000,-0.205000,1.000000,186000000.000000,0.194000,466000000.000000,18000000.000000,7192000000.000000,,86000000.000000,1170000000.000000,509000000.000000,661000000.000000,2698000000.000000,548000000.000000,2150000000.000000,8000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-49000000.000000,69000000.000000,61000000.000000,-4000000.000000,10000000.000000,10000000.000000,10000000.000000,0.000000,0.000000,0.010000,179000000.000000,7000000.000000,130000000.000000,0.000000,1.417000,60.861000,62.015000,4040000000.000000,0.000000,41.550000,1.819000,1.819000,267000000.000000,1527000000.000000,958000000.000000,958000000.000000,0.000000,,,,,0.000000,93000000.000000,1.000000,165519801.000000,165519801.000000,,5.788000,7096000000.000000,297000000.000000,4000000.000000,0.000000,42.871000
ARQ,2012-06-30,2012-08-01,2012-06-30,2012-Q2,829000000.000000,6097423945.000000,2025-05-02,-84000000.000000,7681000000.000000,,1440000000.000000,6241000000.000000,,29.402000,-62000000.000000,447000000.000000,447000000.000000,782000000.000000,39000000.000000,2.357000,0.574000,1224000000.000000,4000000.000000,1220000000.000000,1224000000.000000,0.000000,89000000.000000,0.000000,0.000000,0.000000,74000000.000000,163000000.000000,0.161000,163000000.000000,74000000.000000,57000000.000000,0.240000,0.240000,0.240000,4873000000.000000,,4873000000.000000,6874423945.000000,41.000000,13.586000,108000000.000000,0.652000,1.000000,232000000.000000,0.229000,508000000.000000,17000000.000000,7339000000.000000,,85000000.000000,1229000000.000000,502000000.000000,727000000.000000,2798000000.000000,611000000.000000,2187000000.000000,-138000000.000000,-179000000.000000,0.000000,0.000000,0.000000,-3000000.000000,-304000000.000000,-54000000.000000,170000000.000000,-1000000.000000,39000000.000000,39000000.000000,39000000.000000,0.000000,0.000000,0.038000,159000000.000000,73000000.000000,116000000.000000,0.000000,1.251000,53.021000,53.319000,4184000000.000000,0.000000,36.790000,1.580000,1.580000,280000000.000000,1566000000.000000,1014000000.000000,1014000000.000000,0.000000,,,,,0.000000,70000000.000000,1.000000,165735905.000000,165735905.000000,,6.118000,7173000000.000000,292000000.000000,18000000.000000,0.000000,43.280000
ARQ,2012-09-30,2012-10-31,2012-09-30,2012-Q3,1263000000.000000,5986087381.000000,2025-05-02,-55000000.000000,7736000000.000000,,1876000000.000000,5860000000.000000,,29.847000,-53000000.000000,495000000.000000,495000000.000000,774000000.000000,23000000.000000,3.060000,0.578000,1223000000.000000,4000000.000000,1219000000.000000,1223000000.000000,0.000000,88000000.000000,0.000000,0.000000,0.000000,38000000.000000,126000000.000000,0.129000,126000000.000000,38000000.000000,20000000.000000,0.140000,0.140000,0.140000,4895000000.000000,,4895000000.000000,6714087381.000000,37.000000,12.597000,82000000.000000,0.500000,1.000000,203000000.000000,0.208000,512000000.000000,18000000.000000,7339000000.000000,,82000000.000000,972000000.000000,542000000.000000,430000000.000000,2831000000.000000,613000000.000000,2218000000.000000,42000000.000000,-1000000.000000,-33000000.000000,0.000000,0.000000,-27000000.000000,-66000000.000000,0.000000,135000000.000000,0.000000,23000000.000000,23000000.000000,23000000.000000,0.000000,0.000000,0.024000,163000000.000000,40000000.000000,113000000.000000,0.000000,1.223000,48.275000,48.667000,4109000000.000000,0.000000,36.500000,1.520000,1.520000,542000000.000000,1589000000.000000,977000000.000000,977000000.000000,0.000000,,,,,0.000000,75000000.000000,1.000000,164002394.000000,164002394.000000,,5.957000,7224000000.000000,294000000.000000,-3000000.000000,0.000000,44.048000
