dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-12-31,2002-03-28,2001-12-31,2001-Q4,22838.000000,,2025-05-06,0.000000,26127.000000,,26127.000000,0.000000,,0.018000,,26127.000000,26127.000000,,,7.944000,0.144000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,22838.000000,,22838.000000,,,,,,1.000000,,,0.000000,,-3289.000000,,0.000000,0.000000,0.000000,0.000000,3289.000000,3289.000000,0.000000,,,,,,,,,,,,,,,,,,,3289.000000,,,,,0.000000,,,,,0.000000,-39652.000000,,,,,,,,,,1.000000,1282777.000000,1282777.000000,,,26127.000000,0.000000,,0.000000,0.020000
ARQ,2002-03-31,2002-05-15,2002-03-31,2002-Q1,32785.000000,,2025-05-06,0.000000,37867.000000,,37867.000000,0.000000,,0.026000,0.000000,13502.000000,13502.000000,2795.000000,9362.000000,7.451000,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,12362.000000,12362.000000,0.428000,12362.000000,12362.000000,12362.000000,,,,32785.000000,,32785.000000,,,,-12625.000000,-0.010000,1.000000,26073.000000,0.903000,0.000000,0.000000,19283.000000,,0.000000,0.000000,0.000000,0.000000,5082.000000,5082.000000,0.000000,-12625.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12625.000000,0.000000,9362.000000,9362.000000,9362.000000,0.000000,0.000000,0.324000,13715.000000,12358.000000,2882.000000,,,,,0.000000,0.000000,,,,24365.000000,-30290.000000,28868.000000,28868.000000,0.000000,,,,,0.000000,13715.000000,1.000000,1917277.000000,1282777.000000,1282777.000000,0.023000,37867.000000,0.000000,3000.000000,2200.000000,0.030000
ARQ,2002-06-30,2002-08-19,2002-06-30,2002-Q2,119196.000000,,2025-05-06,0.000000,147521.000000,,122521.000000,25000.000000,,0.088000,0.000000,122283.000000,122283.000000,7472.000000,-16074.000000,36.848000,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-18274.000000,-18274.000000,-2.335000,-18274.000000,-18274.000000,-18274.000000,,,,144196.000000,,144196.000000,,,,6881.000000,0.004000,1.000000,355.000000,0.045000,0.000000,0.000000,21913.000000,,0.000000,0.000000,0.000000,0.000000,3325.000000,3325.000000,0.000000,108781.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6881.000000,0.000000,-16074.000000,-16074.000000,-16074.000000,0.000000,0.000000,-2.054000,18629.000000,-18274.000000,3325.000000,,,,,25000.000000,0.000000,,,,238.000000,-46364.000000,7827.000000,7827.000000,0.000000,,,,,0.000000,18629.000000,1.000000,1917277.000000,1638400.000000,1638400.000000,0.005000,147521.000000,0.000000,-2200.000000,0.000000,0.090000
ARQ,2002-09-30,2002-11-14,2002-09-30,2002-Q3,107171.000000,,2025-05-06,0.000000,136796.000000,,111796.000000,25000.000000,,0.069000,0.000000,111796.000000,111796.000000,3623.000000,-12610.000000,24.172000,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-12610.000000,-12610.000000,-0.753000,-12610.000000,-12610.000000,-12610.000000,,,,132171.000000,,132171.000000,,,,-10487.000000,-0.005000,1.000000,13118.000000,0.784000,0.000000,0.000000,20375.000000,,0.000000,0.000000,0.000000,0.000000,4625.000000,4625.000000,0.000000,-10487.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10487.000000,0.000000,-12610.000000,-12610.000000,-12610.000000,0.000000,0.000000,-0.753000,25728.000000,-12610.000000,4625.000000,,,,,25000.000000,0.000000,,,,0.000000,-58974.000000,16741.000000,16741.000000,0.000000,,,,,0.000000,25728.000000,1.000000,1917277.000000,1917277.000000,1917277.000000,0.009000,136796.000000,0.000000,0.000000,0.000000,0.071000
ARQ,2002-12-31,2003-03-31,2002-12-31,2002-Q4,86815.000000,,2025-05-06,0.000000,97249.000000,,97249.000000,0.000000,,0.045000,0.000000,97249.000000,97249.000000,35784.000000,-45941.000000,9.320000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-45941.000000,-45941.000000,-1.338000,-45941.000000,-45941.000000,-45941.000000,,,,86815.000000,,86815.000000,,,,-39547.000000,-0.021000,1.000000,-1451.000000,-0.042000,0.000000,0.000000,-10434.000000,,0.000000,0.000000,0.000000,0.000000,10434.000000,10434.000000,0.000000,-14547.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39547.000000,0.000000,-45941.000000,-45941.000000,-45941.000000,0.000000,0.000000,-1.338000,19410.000000,-20861.000000,10434.000000,,,,,0.000000,0.000000,,,,0.000000,-104915.000000,34333.000000,34333.000000,0.000000,,,,,0.000000,19410.000000,1.000000,1917277.000000,1920200.000000,1920200.000000,0.018000,97249.000000,0.000000,0.000000,0.000000,0.051000
ARQ,2002-12-31,2003-05-02,2002-12-31,2002-Q4,86815.000000,,2025-05-06,0.000000,97249.000000,,97249.000000,0.000000,,0.045000,0.000000,97249.000000,97249.000000,35784.000000,-45941.000000,9.320000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-45941.000000,-45941.000000,-1.338000,-45941.000000,-45941.000000,-45941.000000,,,,86815.000000,,86815.000000,,,,-39547.000000,-0.021000,1.000000,-1451.000000,-0.042000,0.000000,0.000000,-10434.000000,,0.000000,0.000000,0.000000,0.000000,10434.000000,10434.000000,0.000000,-14547.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-39547.000000,0.000000,-45941.000000,-45941.000000,-45941.000000,0.000000,0.000000,-1.338000,19410.000000,-20861.000000,10434.000000,,,,,0.000000,0.000000,,,,0.000000,-104915.000000,34333.000000,34333.000000,0.000000,,,,,0.000000,19410.000000,1.000000,1917277.000000,1920200.000000,1920200.000000,0.018000,97249.000000,0.000000,0.000000,0.000000,0.051000
ARQ,2003-03-31,2003-05-19,2003-03-31,2003-Q1,77526.000000,,2025-05-06,0.000000,91972.000000,,91972.000000,0.000000,,0.040000,0.000000,73112.000000,73112.000000,817.000000,-8362.000000,6.367000,0.186000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-7562.000000,-7562.000000,-2.682000,-7562.000000,-7562.000000,-7562.000000,,,,77526.000000,,77526.000000,,,,-24137.000000,-0.013000,1.000000,2003.000000,0.710000,0.000000,0.000000,4414.000000,,0.000000,0.000000,0.000000,0.000000,14446.000000,14446.000000,0.000000,-24137.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-24137.000000,0.000000,-8362.000000,-8362.000000,-8362.000000,0.000000,0.000000,-2.965000,11077.000000,-9074.000000,14446.000000,,,,,0.000000,0.000000,,,,1695.000000,-114789.000000,2820.000000,2820.000000,0.000000,,,,,0.000000,11077.000000,1.000000,1917277.000000,1917277.000000,1917277.000000,0.001000,91972.000000,0.000000,800.000000,0.000000,0.048000
ARQ,2003-06-30,2003-08-14,2003-06-30,2003-Q2,67814.000000,,2025-05-06,0.000000,77026.000000,,72566.000000,4460.000000,,0.038000,0.000000,73719.000000,73719.000000,676.000000,-4849.000000,15.271000,0.066000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-4849.000000,-4849.000000,-0.609000,-4849.000000,-4849.000000,-4849.000000,,,,72274.000000,,72274.000000,,,,-3853.000000,-0.002000,1.000000,7284.000000,0.915000,0.000000,0.000000,-1445.000000,,0.000000,0.000000,0.000000,0.000000,4752.000000,4752.000000,0.000000,-3853.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3853.000000,0.000000,-4849.000000,-4849.000000,-4849.000000,0.000000,0.000000,-0.609000,12133.000000,-4849.000000,4752.000000,,,,,0.000000,0.000000,,,,3307.000000,-120626.000000,7960.000000,7960.000000,0.000000,,,,,0.000000,12133.000000,1.000000,1917277.000000,1917277.000000,1917277.000000,0.004000,77026.000000,0.000000,0.000000,0.000000,0.040000
ARQ,2003-09-30,2003-11-14,2003-09-30,2003-Q3,60937.000000,,2025-05-06,0.000000,68149.000000,,65689.000000,2460.000000,,0.033000,0.000000,65106.000000,65106.000000,9022.000000,-9462.000000,13.823000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-9462.000000,-9462.000000,-0.751000,-9462.000000,-9462.000000,-9462.000000,0.000000,0.000000,0.000000,63397.000000,,63397.000000,,,,-6613.000000,-0.003000,1.000000,3584.000000,0.284000,0.000000,0.000000,-1709.000000,,0.000000,0.000000,0.000000,0.000000,4752.000000,4752.000000,0.000000,-6613.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6613.000000,0.000000,-9462.000000,-9462.000000,-9462.000000,0.000000,0.000000,-0.751000,13046.000000,-9462.000000,4752.000000,,,,,0.000000,0.000000,,,,3043.000000,-130088.000000,12606.000000,12606.000000,0.000000,,,,,0.000000,13046.000000,1.000000,1917277.000000,1917277.000000,1917277.000000,0.007000,68149.000000,0.000000,0.000000,0.000000,0.036000
ARQ,2003-12-31,2004-03-30,2003-12-31,2003-Q4,10064.000000,175427482.000000,2025-05-06,0.000000,47517.000000,,47517.000000,0.000000,,0.001000,0.000000,47517.000000,47517.000000,13988.000000,-53918.000000,1.269000,3.721000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-54718.000000,-54718.000000,-23.596000,-54718.000000,-54718.000000,-54718.000000,0.000000,0.000000,0.000000,10064.000000,,10064.000000,175379965.000000,-2217.000000,-2217.445000,-15129.000000,-0.002000,1.000000,-11669.000000,-5.032000,0.000000,0.000000,-37453.000000,,0.000000,0.000000,0.000000,0.000000,37453.000000,37453.000000,0.000000,-15129.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15129.000000,0.000000,-53918.000000,-53918.000000,-53918.000000,0.000000,0.000000,-23.251000,43049.000000,-54718.000000,32701.000000,,17431.189000,-2218.046000,-445.000000,0.000000,0.000000,4.450000,6824.644000,1418.937000,0.000000,-184006.000000,2319.000000,2319.000000,0.000000,,,,,0.000000,43049.000000,1.000000,39421906.000000,8196362.000000,8196362.000000,0.000000,47517.000000,0.000000,-800.000000,0.000000,0.006000
ARQ,2004-03-31,2004-05-14,2004-03-31,2004-Q1,6795601.000000,167937320.000000,2025-05-06,0.000000,7732773.000000,,7568843.000000,163930.000000,,0.451000,-42015.000000,7452812.000000,7452812.000000,0.000000,-1284422.000000,9.788000,0.111000,0.000000,0.000000,0.000000,0.000000,0.000000,21497.000000,0.000000,0.000000,0.000000,-1284422.000000,-1262925.000000,,-1262925.000000,-1284422.000000,-1284422.000000,-0.080000,-0.080000,-0.080000,6959531.000000,,6959531.000000,160484508.000000,-119.000000,-120.488000,-920914.000000,-0.060000,1.000000,0.000000,,0.000000,0.000000,-493281.000000,,0.000000,0.000000,0.000000,0.000000,773242.000000,773242.000000,0.000000,6949232.000000,0.000000,0.000000,0.000000,0.000000,7870146.000000,-42015.000000,0.000000,-878899.000000,0.000000,-1284422.000000,-1284422.000000,-1284422.000000,0.000000,0.000000,,1207552.000000,-1207552.000000,637312.000000,0.000000,24.131000,-124.154000,,151422.000000,0.000000,4.260000,7338.314000,2874.358000,0.000000,-5264927.000000,0.000000,0.000000,696581.000000,,,,,0.000000,510971.000000,1.000000,39421906.000000,15441244.000000,15441244.000000,0.000000,7732773.000000,0.000000,0.000000,0.000000,0.501000
ARQ,2004-06-30,2004-08-16,2004-06-30,2004-Q2,4734069.000000,75088418.000000,2025-05-06,0.000000,6208553.000000,,6027789.000000,180764.000000,,0.125000,-46515.000000,5939882.000000,5939882.000000,0.000000,-2074697.000000,4.659000,0.263000,0.000000,0.000000,0.000000,0.000000,0.000000,29937.000000,0.000000,0.000000,0.000000,-2074697.000000,-2044760.000000,,-2044760.000000,-2074697.000000,-2074697.000000,-0.050000,-0.050000,-0.050000,4914833.000000,,4914833.000000,69148536.000000,-20.000000,-20.508000,-1542929.000000,-0.039000,1.000000,0.000000,,0.000000,0.000000,-1025049.000000,,0.000000,0.000000,0.000000,0.000000,1293720.000000,1293720.000000,0.000000,-1512930.000000,0.000000,29999.000000,0.000000,0.000000,29999.000000,-46515.000000,0.000000,-1496414.000000,0.000000,-2074697.000000,-2074697.000000,-2074697.000000,0.000000,0.000000,,2089126.000000,-2089126.000000,1191926.000000,0.000000,15.278000,-21.940000,-14.615000,168062.000000,0.000000,1.900000,5031.050000,5019.948000,0.000000,-7339624.000000,0.000000,0.000000,1521576.000000,,,,,0.000000,567550.000000,1.000000,39520220.000000,39432904.000000,39432904.000000,0.000000,6208553.000000,0.000000,0.000000,0.000000,0.157000
ARQ,2004-09-30,2004-11-12,2004-09-30,2004-Q3,1619260.000000,116694482.000000,2025-05-06,0.000000,3785119.000000,,3610691.000000,174428.000000,,0.045000,-23890.000000,3480301.000000,3480301.000000,0.000000,-3253145.000000,1.813000,1.110000,0.000000,0.000000,0.000000,0.000000,0.000000,32568.000000,0.000000,0.000000,0.000000,-3253145.000000,-3220577.000000,,-3220577.000000,-3253145.000000,-3253145.000000,-0.080000,-0.080000,-0.080000,1793688.000000,,1793688.000000,113214181.000000,-17.000000,-17.198000,-2558581.000000,-0.065000,1.000000,0.000000,,0.000000,0.000000,-1686613.000000,,0.000000,0.000000,0.000000,0.000000,1991431.000000,1991431.000000,0.000000,-2459581.000000,0.000000,99000.000000,0.000000,0.000000,99000.000000,-23890.000000,0.000000,-2534691.000000,0.000000,-3253145.000000,-3253145.000000,-3253145.000000,0.000000,0.000000,,3263231.000000,-3263231.000000,1923482.000000,0.000000,65.058000,-17.505000,-11.667000,159322.000000,0.000000,2.450000,50321.036000,41808.874000,0.000000,-10592769.000000,0.000000,0.000000,2598335.000000,,,,,0.000000,664896.000000,1.000000,47630401.000000,39573312.000000,39573312.000000,0.000000,3785119.000000,0.000000,0.000000,0.000000,0.096000
ARQ,2004-12-31,2005-03-11,2004-12-31,2004-Q4,14566209.000000,87618687.000000,2025-05-06,0.000000,16403671.000000,,16145622.000000,258049.000000,,0.419000,-115531.000000,16007714.000000,16007714.000000,0.000000,-2479112.000000,10.223000,0.107000,0.000000,0.000000,0.000000,0.000000,0.000000,39348.000000,0.000000,0.000000,0.000000,-2479112.000000,-2439764.000000,,-2439764.000000,-2479112.000000,-2479112.000000,-0.050000,-0.050000,-0.050000,14824258.000000,,14824258.000000,71610973.000000,-8.000000,-7.985000,-2923183.000000,-0.083000,1.000000,0.000000,,0.000000,0.000000,-1183456.000000,,51821.000000,0.000000,0.000000,0.000000,1579413.000000,1579413.000000,0.000000,12527413.000000,0.000000,15450596.000000,0.000000,0.000000,15450596.000000,-115531.000000,0.000000,-2807652.000000,0.000000,-2479112.000000,-2479112.000000,-2479112.000000,0.000000,0.000000,,2527940.000000,-2527940.000000,1487243.000000,0.000000,5.910000,-9.638000,-6.808000,235505.000000,0.000000,1.770000,,,0.000000,-13071881.000000,0.000000,0.000000,1700762.000000,,,,,0.000000,827178.000000,1.000000,49502083.000000,35411127.000000,35411127.000000,0.000000,16403671.000000,0.000000,0.000000,0.000000,0.463000
ARQ,2005-03-31,2005-05-13,2005-03-31,2005-Q1,11612469.000000,91857341.000000,2025-05-06,0.000000,13876818.000000,,13540424.000000,336394.000000,,0.241000,-130692.000000,13130312.000000,13130312.000000,0.000000,-3193077.000000,7.023000,0.161000,0.000000,0.000000,0.000000,0.000000,0.000000,50117.000000,0.000000,0.000000,0.000000,-3193077.000000,-3142960.000000,,-3142960.000000,-3193077.000000,-3193077.000000,-0.060000,-0.060000,-0.060000,11948863.000000,,11948863.000000,78727029.000000,-7.000000,-7.257000,-3188132.000000,-0.064000,1.000000,0.000000,,0.000000,0.000000,-1181449.000000,,47145.000000,0.000000,0.000000,0.000000,1927955.000000,1927955.000000,0.000000,-2877402.000000,0.000000,310730.000000,0.000000,0.000000,310730.000000,-130692.000000,0.000000,-3057440.000000,0.000000,-3193077.000000,-3193077.000000,-3193077.000000,0.000000,0.000000,,3270911.000000,-3270911.000000,1768517.000000,0.000000,7.688000,-8.351000,-7.667000,316081.000000,0.000000,1.840000,,,0.000000,-16264958.000000,0.000000,0.000000,2462290.000000,,,,,6952.000000,808621.000000,1.000000,49922468.000000,49575492.000000,49575492.000000,0.000000,13876818.000000,0.000000,0.000000,0.000000,0.280000
ARQ,2005-06-30,2005-08-09,2005-06-30,2005-Q2,8830839.000000,83436467.000000,2025-05-06,0.000000,10938292.000000,,10546252.000000,392040.000000,,0.185000,-116132.000000,10060276.000000,10060276.000000,21024.000000,-2868334.000000,6.148000,0.186000,0.000000,0.000000,0.000000,0.000000,0.000000,61020.000000,0.000000,0.000000,0.000000,-2868334.000000,-2807314.000000,-61.425000,-2807314.000000,-2868334.000000,-2868334.000000,-0.060000,-0.060000,-0.060000,9222879.000000,,9222879.000000,73376191.000000,-6.000000,-6.320000,-3072536.000000,-0.062000,1.000000,24679.000000,0.540000,0.000000,0.000000,-837397.000000,,31091.000000,0.000000,0.000000,0.000000,1715413.000000,1715413.000000,0.000000,-3070036.000000,0.000000,2500.000000,0.000000,0.000000,2500.000000,-116132.000000,0.000000,-2956404.000000,0.000000,-2868334.000000,-2868334.000000,-2868334.000000,0.000000,0.000000,-62.760000,2970337.000000,-2945658.000000,1413585.000000,0.000000,9.047000,-7.075000,-6.680000,371192.000000,0.000000,1.670000,1825.623000,1825.017000,67780.000000,-19133292.000000,45703.000000,45703.000000,2172949.000000,,,,,139850.000000,797388.000000,1.000000,49961956.000000,49945467.000000,49945467.000000,0.001000,10938292.000000,0.000000,0.000000,0.000000,0.219000
ARQ,2005-09-30,2005-11-14,2005-09-30,2005-Q3,5125743.000000,91583735.000000,2025-05-06,0.000000,7385228.000000,,6937253.000000,447975.000000,,0.112000,-96681.000000,6635623.000000,6635623.000000,10091.000000,-3700476.000000,3.830000,0.325000,0.000000,0.000000,0.000000,0.000000,0.000000,43933.000000,0.000000,0.000000,0.000000,-3700476.000000,-3656543.000000,-142.589000,-3656543.000000,-3700476.000000,-3700476.000000,-0.070000,-0.070000,-0.070000,5573718.000000,,5573718.000000,84948112.000000,-7.000000,-7.052000,-3475967.000000,-0.070000,1.000000,15553.000000,0.606000,0.000000,0.000000,-1061905.000000,,45354.000000,0.000000,0.000000,0.000000,1811510.000000,1811510.000000,0.000000,-3424653.000000,0.000000,51314.000000,0.000000,0.000000,51314.000000,-96681.000000,0.000000,-3379286.000000,0.000000,-3700476.000000,-3700476.000000,-3700476.000000,0.000000,0.000000,-144.302000,3781351.000000,-3765798.000000,1441144.000000,0.000000,16.431000,-7.482000,-7.625000,425140.000000,0.000000,1.830000,1283.638000,1281.917000,41274.000000,-22833767.000000,25644.000000,25644.000000,3173261.000000,,,,,0.000000,608090.000000,1.000000,50045757.000000,49978696.000000,49978696.000000,0.001000,7385228.000000,0.000000,0.000000,0.000000,0.148000
ARQ,2005-12-31,2006-03-24,2005-12-31,2005-Q4,17802804.000000,206228719.000000,2025-05-06,0.000000,20510255.000000,,20106172.000000,404083.000000,,0.352000,-7386.000000,19132194.000000,19132194.000000,20853.000000,-3513487.000000,8.729000,0.127000,0.000000,0.000000,0.000000,0.000000,254138.000000,51278.000000,0.000000,0.000000,0.000000,-3513487.000000,-3462209.000000,-61.978000,-3462209.000000,-3513487.000000,-3513487.000000,-0.060000,-0.060000,-0.060000,18206887.000000,,18206887.000000,187096525.000000,-14.000000,-14.316000,-3610485.000000,-0.070000,1.000000,35009.000000,0.627000,0.000000,0.000000,-925307.000000,,278958.000000,0.000000,0.000000,0.000000,2303368.000000,2303368.000000,0.000000,12496571.000000,0.000000,16107056.000000,0.000000,0.000000,16107056.000000,-7386.000000,0.000000,-3603099.000000,0.000000,-3513487.000000,-3513487.000000,-3513487.000000,0.000000,0.000000,-62.896000,3614060.000000,-3579051.000000,1379932.000000,0.000000,11.327000,-15.535000,-13.154000,381248.000000,0.000000,3.420000,1621.180000,1352.768000,413829.000000,-26347254.000000,55862.000000,55862.000000,2411579.000000,,,,,39600.000000,1202481.000000,1.000000,60300795.000000,51763999.000000,51763999.000000,0.001000,20510255.000000,0.000000,0.000000,0.000000,0.396000
