dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-03-31,1996-05-30,1996-04-28,1997-Q1,881890000.000000,24659951000.000000,2025-03-21,-1376000.000000,7829374000.000000,,2940424000.000000,4888950000.000000,,2.411000,-273687000.000000,48172000.000000,48172000.000000,3142285000.000000,195019000.000000,1.428000,0.503000,300022000.000000,2188000.000000,297834000.000000,300022000.000000,0.000000,52973000.000000,0.000000,0.004000,0.011000,322556000.000000,375529000.000000,0.086000,375529000.000000,322556000.000000,320759000.000000,0.091000,0.091000,0.091000,5209811000.000000,,5209811000.000000,24911801000.000000,,,351348000.000000,0.163000,1.000000,1219930000.000000,0.280000,87658000.000000,1797000.000000,5935032000.000000,,2530332000.000000,100899000.000000,27958000.000000,72941000.000000,2619563000.000000,2058534000.000000,561029000.000000,5097000.000000,0.000000,42499000.000000,-422393000.000000,-23894000.000000,-396875000.000000,-233228000.000000,38408000.000000,625035000.000000,-29000.000000,195019000.000000,195019000.000000,195019000.000000,0.000000,0.000000,0.045000,900968000.000000,318962000.000000,1232048000.000000,0.121000,4.733000,,,4667230000.000000,0.000000,11.444000,,,270647000.000000,2750184000.000000,4362215000.000000,4362215000.000000,0.000000,,,,,0.000000,888109000.000000,1.000000,2154753000.000000,2160841500.000000,2160841500.000000,2.019000,7741716000.000000,0.000000,125740000.000000,336136000.000000,3.583000
ARQ,1996-06-30,1996-08-27,1996-07-28,1997-Q2,939964000.000000,25934102724.000000,2025-03-21,-4787000.000000,7997552000.000000,,2916018000.000000,5081534000.000000,,2.519000,-248958000.000000,33224000.000000,33224000.000000,3856022000.000000,270174000.000000,1.476000,0.462000,277537000.000000,2148000.000000,275389000.000000,277537000.000000,0.000000,56359000.000000,0.000000,0.004000,0.013000,446792000.000000,503151000.000000,0.095000,503151000.000000,446792000.000000,444364000.000000,0.124000,0.124000,0.124000,5468552000.000000,,5468552000.000000,26178415724.000000,,,-12246000.000000,-0.006000,1.000000,1436895000.000000,0.271000,86416000.000000,2428000.000000,6179395000.000000,,2516349000.000000,66019000.000000,233000.000000,65786000.000000,2529000000.000000,1976054000.000000,552946000.000000,-25142000.000000,0.000000,13138000.000000,-32964000.000000,-28737000.000000,-39785000.000000,-211796000.000000,27724000.000000,236712000.000000,-79000.000000,270174000.000000,270174000.000000,270174000.000000,0.000000,0.000000,0.051000,994959000.000000,441936000.000000,1229334000.000000,0.105000,4.742000,,,4869195000.000000,0.000000,12.029000,,,305370000.000000,2991621000.000000,5292917000.000000,5292917000.000000,0.000000,,,,,0.000000,984816000.000000,1.000000,2155984893.000000,2171007000.000000,2171007000.000000,2.438000,7911136000.000000,0.000000,174190000.000000,264234000.000000,3.644000
ARQ,1996-06-30,1996-09-09,1996-07-28,1997-Q2,939964000.000000,26350926470.000000,2025-03-21,-4787000.000000,7997552000.000000,,2916018000.000000,5081534000.000000,,2.519000,-248958000.000000,33224000.000000,33224000.000000,3856022000.000000,270174000.000000,1.476000,0.462000,277537000.000000,2148000.000000,275389000.000000,277537000.000000,0.000000,56359000.000000,0.000000,0.003000,0.000000,446792000.000000,503151000.000000,0.095000,503151000.000000,446792000.000000,444364000.000000,0.124000,0.124000,0.124000,5468552000.000000,,5468552000.000000,26595239470.000000,,,-12246000.000000,-0.006000,1.000000,1436895000.000000,0.271000,86416000.000000,2428000.000000,6179395000.000000,,2516349000.000000,66019000.000000,233000.000000,65786000.000000,2529000000.000000,1976054000.000000,552946000.000000,-25142000.000000,0.000000,13138000.000000,-32964000.000000,-28737000.000000,-39785000.000000,-211796000.000000,27724000.000000,236712000.000000,-79000.000000,270174000.000000,270174000.000000,270174000.000000,0.000000,0.000000,0.051000,994959000.000000,441936000.000000,1229334000.000000,0.000000,4.819000,,,4869195000.000000,0.000000,12.222000,,,305370000.000000,2991621000.000000,5292917000.000000,5292917000.000000,0.000000,,,,,0.000000,984816000.000000,1.000000,2155984893.000000,2171007000.000000,2171007000.000000,2.438000,7911136000.000000,0.000000,174190000.000000,264234000.000000,3.644000
ARQ,1996-09-30,1996-11-22,1996-10-27,1997-Q3,1751576000.000000,25097151846.000000,2025-03-21,2618000.000000,9381316000.000000,,3874001000.000000,5507315000.000000,,2.601000,-334395000.000000,716700000.000000,716700000.000000,3583580000.000000,221371000.000000,1.825000,0.642000,1249748000.000000,2540000.000000,1247208000.000000,1249748000.000000,0.000000,59170000.000000,0.000000,0.004000,0.013000,367133000.000000,426303000.000000,0.087000,426303000.000000,367133000.000000,364111000.000000,0.102000,0.102000,0.102000,5711989000.000000,,5711989000.000000,25630199846.000000,,,-70675000.000000,-0.032000,1.000000,1338251000.000000,0.272000,87308000.000000,3022000.000000,7704631000.000000,,2657349000.000000,242660000.000000,65845000.000000,176815000.000000,3669327000.000000,2122425000.000000,1546902000.000000,683476000.000000,0.000000,37741000.000000,926240000.000000,-28752000.000000,940820000.000000,-521420000.000000,-188664000.000000,263720000.000000,356000.000000,221371000.000000,221371000.000000,221371000.000000,0.000000,0.000000,0.045000,977162000.000000,361089000.000000,1356748000.000000,0.127000,4.394000,,,5186908000.000000,0.000000,11.611000,,,379197000.000000,3184240000.000000,4921831000.000000,4921831000.000000,0.000000,,,,,0.000000,962524000.000000,1.000000,2161477192.000000,2195662500.000000,2195662500.000000,2.242000,9294008000.000000,0.000000,142740000.000000,255151000.000000,4.233000
ARQ,1996-12-31,1997-04-22,1997-02-02,1997-Q4,1867247000.000000,27745614118.000000,2025-03-21,2005000.000000,9341710000.000000,,3709373000.000000,5632337000.000000,,2.645000,-315607000.000000,146006000.000000,146006000.000000,3519536000.000000,251175000.000000,2.014000,0.569000,1249112000.000000,2519000.000000,1246593000.000000,1249112000.000000,0.000000,63838000.000000,0.000000,0.004000,0.013000,407778000.000000,471616000.000000,0.095000,471616000.000000,407778000.000000,405535000.000000,0.116000,0.116000,0.116000,5955186000.000000,,5955186000.000000,28848720118.000000,19.000000,16.238000,-340964000.000000,-0.151000,1.000000,1439004000.000000,0.290000,86540000.000000,2243000.000000,8516150000.000000,,2708283000.000000,460428000.000000,412430000.000000,47998000.000000,3386524000.000000,1842126000.000000,1544398000.000000,-570694000.000000,0.000000,11117000.000000,-646000.000000,-28823000.000000,-4083000.000000,-541160000.000000,-212425000.000000,-25357000.000000,-94000.000000,251175000.000000,251175000.000000,251175000.000000,0.000000,0.000000,0.051000,1027341000.000000,411663000.000000,1089736000.000000,0.112000,4.659000,29.588000,29.456000,5437046000.000000,0.000000,12.696000,1.420000,1.426000,388416000.000000,3406592000.000000,4958540000.000000,4958540000.000000,0.000000,,,,,0.000000,1010272000.000000,1.000000,2185458840.000000,2251246500.000000,2251246500.000000,2.203000,9255170000.000000,0.000000,154360000.000000,244032000.000000,4.111000
ARQ,1997-03-31,1997-06-02,1997-05-04,1998-Q1,1992846000.000000,30581006947.000000,2025-03-21,-7613000.000000,10548666000.000000,,4724122000.000000,5824544000.000000,,2.751000,-255955000.000000,614174000.000000,614174000.000000,4105480000.000000,258834000.000000,1.730000,0.693000,1261368000.000000,1834000.000000,1259534000.000000,1261368000.000000,0.000000,67394000.000000,0.000000,0.004000,0.013000,422773000.000000,490167000.000000,0.087000,490167000.000000,422773000.000000,423634000.000000,0.118000,0.118000,0.118000,6230223000.000000,,6230223000.000000,31228200947.000000,19.000000,16.512000,464489000.000000,0.205000,1.000000,1551794000.000000,0.274000,84246000.000000,-861000.000000,8380338000.000000,,3249236000.000000,452050000.000000,427366000.000000,24684000.000000,4318443000.000000,2731276000.000000,1587167000.000000,468168000.000000,0.000000,46013000.000000,-35807000.000000,-28862000.000000,-16658000.000000,-235224000.000000,20731000.000000,720444000.000000,-394000.000000,258834000.000000,258834000.000000,258834000.000000,0.000000,0.000000,0.046000,1125224000.000000,426570000.000000,1792742000.000000,0.110000,4.908000,30.534000,30.377000,5650445000.000000,0.000000,13.973000,1.468000,1.519000,348913000.000000,3639747000.000000,5657274000.000000,5657274000.000000,0.000000,,,,,0.000000,1112185000.000000,1.000000,2188526260.000000,2264481000.000000,2264481000.000000,2.498000,10464420000.000000,0.000000,164800000.000000,416735000.000000,4.621000
ARQ,1997-06-30,1997-08-28,1997-08-03,1998-Q2,2111873000.000000,34858732810.000000,2025-03-21,-7807000.000000,10662164000.000000,,4595371000.000000,6066793000.000000,,2.870000,-304453000.000000,473258000.000000,473258000.000000,4749517000.000000,357878000.000000,1.850000,0.622000,1266677000.000000,4497000.000000,1262180000.000000,1266677000.000000,0.000000,66809000.000000,0.000000,0.004000,0.017000,589131000.000000,655940000.000000,0.100000,655940000.000000,589131000.000000,585728000.000000,0.160000,0.160000,0.160000,6572921000.000000,,6572921000.000000,35652151810.000000,20.000000,17.442000,-93123000.000000,-0.041000,1.000000,1800704000.000000,0.275000,83554000.000000,3403000.000000,8888531000.000000,,3196919000.000000,461187000.000000,435090000.000000,26097000.000000,4089243000.000000,2483498000.000000,1605745000.000000,-140916000.000000,0.000000,17999000.000000,-873000.000000,-36482000.000000,-20018000.000000,-332235000.000000,-27782000.000000,211330000.000000,7000.000000,357878000.000000,357878000.000000,357878000.000000,0.000000,0.000000,0.055000,1213235000.000000,587469000.000000,1573822000.000000,0.106000,5.303000,32.002000,32.090000,5880003000.000000,0.000000,15.917000,1.578000,1.651000,399661000.000000,3961143000.000000,6550221000.000000,6550221000.000000,0.000000,,,,,0.000000,1199356000.000000,1.000000,2190077454.000000,2290542000.000000,2290542000.000000,2.860000,10578610000.000000,0.000000,227850000.000000,288634000.000000,4.618000
ARQ,1997-09-30,1997-12-02,1997-11-02,1998-Q3,2072950000.000000,42978207121.000000,2025-03-21,-15678000.000000,11214105000.000000,,4833601000.000000,6380504000.000000,,2.967000,-378603000.000000,458193000.000000,458193000.000000,4490920000.000000,235878000.000000,1.751000,0.646000,1293486000.000000,7905000.000000,1285581000.000000,1293486000.000000,0.000000,70534000.000000,0.000000,0.004000,0.033000,388822000.000000,459356000.000000,0.074000,459356000.000000,388822000.000000,386048000.000000,0.107000,0.107000,0.107000,6814227000.000000,,6814227000.000000,43813500121.000000,24.000000,21.094000,-162951000.000000,-0.071000,1.000000,1726125000.000000,0.278000,81661000.000000,2774000.000000,9207086000.000000,,3477625000.000000,329814000.000000,287501000.000000,42313000.000000,4399878000.000000,2760651000.000000,1639227000.000000,-15065000.000000,0.000000,41822000.000000,14527000.000000,-36516000.000000,23859000.000000,-254687000.000000,123916000.000000,215652000.000000,111000.000000,235878000.000000,235878000.000000,235878000.000000,0.000000,0.000000,0.038000,1339164000.000000,386961000.000000,1758277000.000000,0.308000,6.307000,38.938000,39.167000,6182848000.000000,0.000000,19.583000,1.838000,1.923000,532560000.000000,4160505000.000000,6217045000.000000,6217045000.000000,0.000000,,,,,0.000000,1219383000.000000,1.000000,2194631853.000000,2296680000.000000,2296680000.000000,2.707000,11132444000.000000,0.000000,150170000.000000,262293000.000000,4.847000
ARQ,1997-12-31,1998-04-23,1998-02-01,1998-Q4,2004000000.000000,51525191762.000000,2025-03-21,-28000000.000000,11229000000.000000,,4460000000.000000,6769000000.000000,,3.786000,-456989000.000000,172000000.000000,172000000.000000,4029083000.000000,307410000.000000,1.816000,0.582000,1311000000.000000,8000000.000000,1303000000.000000,1311000000.000000,0.000000,78263000.000000,0.000000,0.003000,0.017000,499274000.000000,577537000.000000,0.101000,577537000.000000,499274000.000000,502590000.000000,0.150000,0.137000,0.150000,7098000000.000000,,7098000000.000000,52664191762.000000,28.000000,24.125000,-575415000.000000,-0.307000,1.000000,1702377000.000000,0.297000,140000000.000000,-3316000.000000,9772000000.000000,,3602000000.000000,44000000.000000,2000000.000000,42000000.000000,4131000000.000000,2456000000.000000,1675000000.000000,-286187000.000000,0.000000,16166000.000000,-2847000.000000,-37140000.000000,-19183000.000000,-148854000.000000,308135000.000000,-118426000.000000,276000.000000,307410000.000000,307410000.000000,307410000.000000,0.000000,0.000000,0.054000,1191377000.000000,511000000.000000,1358000000.000000,0.113000,7.259000,44.418000,44.182000,6509000000.000000,0.000000,23.417000,2.133000,2.120000,556000000.000000,4430000000.000000,5731460000.000000,5731460000.000000,0.000000,,,,,0.000000,1169076000.000000,1.000000,2200364061.000000,1874646000.000000,2270646000.000000,3.057000,11089000000.000000,0.000000,195180000.000000,326000000.000000,5.915000
ARQ,1998-03-31,1998-06-01,1998-05-03,1999-Q1,1828000000.000000,58091731546.000000,2025-03-21,-24000000.000000,12477000000.000000,,5221000000.000000,7256000000.000000,,3.399000,-412000000.000000,578000000.000000,578000000.000000,5155000000.000000,337000000.000000,1.539000,0.669000,1318000000.000000,5000000.000000,1313000000.000000,1318000000.000000,0.000000,87000000.000000,0.000000,0.003000,0.000000,560000000.000000,647000000.000000,0.091000,647000000.000000,560000000.000000,556000000.000000,0.153000,0.150000,0.153000,7474000000.000000,,7474000000.000000,58831731546.000000,29.000000,25.144000,648000000.000000,0.295000,1.000000,1968000000.000000,0.276000,281000000.000000,4000000.000000,9543000000.000000,,4009000000.000000,41000000.000000,1000000.000000,40000000.000000,5003000000.000000,3393000000.000000,1610000000.000000,406000000.000000,-261000000.000000,47000000.000000,-4000000.000000,-36000000.000000,15000000.000000,-669000000.000000,4000000.000000,1060000000.000000,0.000000,337000000.000000,337000000.000000,337000000.000000,0.000000,0.000000,0.047000,1408000000.000000,560000000.000000,2071000000.000000,0.000000,7.773000,46.918000,46.234000,6853000000.000000,0.000000,26.353000,2.267000,2.262000,482000000.000000,4732000000.000000,7123000000.000000,7123000000.000000,0.000000,,,,,0.000000,1389000000.000000,1.000000,2204340939.000000,2199000000.000000,2307000000.000000,3.239000,12196000000.000000,0.000000,219000000.000000,544000000.000000,5.546000
