dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-28,1996-12-31,1996-Q4,2143000000.000000,20433356656.000000,2025-04-29,14000000.000000,12829000000.000000,,5839000000.000000,6990000000.000000,,7.390000,,1465000000.000000,1465000000.000000,,,1.580000,2.069000,1931000000.000000,614000000.000000,1317000000.000000,1931000000.000000,0.000000,,0.000000,0.013000,0.130000,,,,,,,,,,4180000000.000000,,4180000000.000000,20899356656.000000,12.000000,8.928000,,,1.000000,,,1418000000.000000,,8181000000.000000,,1946000000.000000,774000000.000000,301000000.000000,473000000.000000,8649000000.000000,3696000000.000000,4953000000.000000,,,,,,,,,,,,,,,,,,,1187000000.000000,,4.888000,20.033000,20.014000,4219000000.000000,,36.125000,1.463000,1.463000,1661000000.000000,3214000000.000000,,,,,,,,,,1.000000,565629250.000000,565629250.000000,,,11411000000.000000,0.000000,,610000000.000000,20.174000
ARQ,1997-03-31,1997-05-13,1997-03-31,1997-Q1,2239000000.000000,21259833946.000000,2025-04-29,-72000000.000000,12718000000.000000,,5795000000.000000,6923000000.000000,,7.403000,-140000000.000000,1265000000.000000,1265000000.000000,2605000000.000000,259000000.000000,1.630000,2.035000,1928000000.000000,672000000.000000,1256000000.000000,1928000000.000000,0.000000,150000000.000000,0.000000,0.012000,0.000000,432000000.000000,582000000.000000,0.175000,582000000.000000,432000000.000000,390000000.000000,0.460000,,0.460000,4190000000.000000,,4190000000.000000,21922833946.000000,,,-46000000.000000,-0.081000,1.000000,722000000.000000,0.217000,1400000000.000000,42000000.000000,8425000000.000000,,2050000000.000000,846000000.000000,400000000.000000,446000000.000000,8528000000.000000,3556000000.000000,4972000000.000000,-200000000.000000,0.000000,-55000000.000000,-3000000.000000,-72000000.000000,-63000000.000000,-231000000.000000,-91000000.000000,94000000.000000,0.000000,259000000.000000,259000000.000000,259000000.000000,0.000000,0.000000,0.078000,365000000.000000,357000000.000000,1135000000.000000,0.000000,5.074000,,,4163000000.000000,0.000000,37.560000,,,1636000000.000000,3401000000.000000,3327000000.000000,3327000000.000000,0.000000,,,,,0.000000,365000000.000000,1.000000,566023268.000000,566023268.000000,,5.878000,11318000000.000000,0.000000,131000000.000000,590000000.000000,19.996000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,2044000000.000000,24919622907.000000,2025-04-29,-106000000.000000,12912000000.000000,,5638000000.000000,7274000000.000000,,7.689000,-153000000.000000,1000000000.000000,1000000000.000000,2764000000.000000,305000000.000000,1.569000,1.967000,2094000000.000000,831000000.000000,1263000000.000000,2094000000.000000,0.000000,155000000.000000,0.000000,0.011000,0.130000,497000000.000000,652000000.000000,0.182000,652000000.000000,497000000.000000,458000000.000000,0.270000,,0.270000,4352000000.000000,,4352000000.000000,26013622907.000000,,,217000000.000000,0.383000,1.000000,814000000.000000,0.228000,1657000000.000000,39000000.000000,8755000000.000000,,2129000000.000000,924000000.000000,465000000.000000,459000000.000000,8560000000.000000,3594000000.000000,4966000000.000000,-265000000.000000,-348000000.000000,-134000000.000000,137000000.000000,-76000000.000000,-73000000.000000,-562000000.000000,-61000000.000000,370000000.000000,0.000000,305000000.000000,305000000.000000,305000000.000000,0.000000,0.000000,0.085000,386000000.000000,428000000.000000,1180000000.000000,0.481000,5.726000,,,4200000000.000000,0.000000,44.030000,,,1594000000.000000,3630000000.000000,3578000000.000000,3578000000.000000,0.000000,,,,,0.000000,386000000.000000,1.000000,565969178.000000,565969178.000000,,6.322000,11255000000.000000,0.000000,153000000.000000,638000000.000000,19.886000
ARQ,1997-09-30,1997-11-07,1997-09-30,1997-Q3,1370000000.000000,20093596668.000000,2025-04-29,-137000000.000000,13074000000.000000,,5228000000.000000,7846000000.000000,,7.834000,-147000000.000000,485000000.000000,485000000.000000,2840000000.000000,292000000.000000,1.355000,1.959000,2366000000.000000,1053000000.000000,1313000000.000000,2366000000.000000,0.000000,151000000.000000,0.000000,0.014000,0.130000,481000000.000000,632000000.000000,0.173000,632000000.000000,481000000.000000,431000000.000000,0.520000,,0.520000,4419000000.000000,,4419000000.000000,21974596668.000000,,,154000000.000000,0.273000,1.000000,817000000.000000,0.223000,2092000000.000000,50000000.000000,9005000000.000000,,2191000000.000000,969000000.000000,474000000.000000,495000000.000000,8655000000.000000,3858000000.000000,4797000000.000000,-515000000.000000,-471000000.000000,-210000000.000000,195000000.000000,-73000000.000000,-197000000.000000,-619000000.000000,-1000000.000000,301000000.000000,0.000000,292000000.000000,292000000.000000,292000000.000000,0.000000,0.000000,0.080000,394000000.000000,423000000.000000,1197000000.000000,0.250000,4.547000,,,4248000000.000000,0.000000,35.620000,,,1629000000.000000,3849000000.000000,3657000000.000000,3657000000.000000,0.000000,,,,,0.000000,394000000.000000,1.000000,564109957.000000,564109957.000000,,6.483000,10982000000.000000,0.000000,139000000.000000,538000000.000000,19.468000
ARQ,1997-12-31,1998-02-26,1997-12-31,1997-Q4,1137000000.000000,24231187385.000000,2025-04-29,-179000000.000000,13707000000.000000,,5573000000.000000,8134000000.000000,,7.749000,-210000000.000000,611000000.000000,611000000.000000,3272000000.000000,314000000.000000,1.256000,2.125000,2307000000.000000,1092000000.000000,1215000000.000000,2307000000.000000,0.000000,153000000.000000,0.000000,0.013000,0.280000,481000000.000000,634000000.000000,0.162000,634000000.000000,481000000.000000,437000000.000000,0.560000,,0.560000,4386000000.000000,,4386000000.000000,25927187385.000000,14.000000,10.371000,331000000.000000,0.585000,1.000000,638000000.000000,0.163000,2426000000.000000,44000000.000000,8541000000.000000,,2093000000.000000,910000000.000000,430000000.000000,480000000.000000,9321000000.000000,4436000000.000000,4885000000.000000,126000000.000000,296000000.000000,-236000000.000000,-234000000.000000,-74000000.000000,-544000000.000000,129000000.000000,18000000.000000,541000000.000000,0.000000,314000000.000000,314000000.000000,314000000.000000,0.000000,0.000000,0.080000,210000000.000000,428000000.000000,1345000000.000000,0.500000,5.525000,20.710000,20.681000,4251000000.000000,0.000000,42.810000,1.674000,1.674000,1886000000.000000,4089000000.000000,3910000000.000000,3910000000.000000,0.000000,,,,,0.000000,436000000.000000,1.000000,566016991.000000,566016991.000000,,6.908000,11281000000.000000,0.000000,123000000.000000,694000000.000000,19.930000
ARQ,1998-03-31,1998-05-12,1998-03-31,1998-Q1,1634000000.000000,24863058000.000000,2025-04-29,-221000000.000000,13608000000.000000,,5369000000.000000,8239000000.000000,,8.455000,-91000000.000000,483000000.000000,483000000.000000,2809000000.000000,300000000.000000,1.437000,1.852000,2049000000.000000,457000000.000000,1592000000.000000,2049000000.000000,0.000000,153000000.000000,0.000000,0.012000,0.000000,472000000.000000,625000000.000000,0.171000,625000000.000000,472000000.000000,438000000.000000,0.530000,0.520000,0.530000,4771000000.000000,,4771000000.000000,26429058000.000000,14.000000,10.393000,-5000000.000000,-0.009000,1.000000,837000000.000000,0.230000,2580000000.000000,34000000.000000,8859000000.000000,,2330000000.000000,532000000.000000,54000000.000000,478000000.000000,8837000000.000000,3735000000.000000,5102000000.000000,-128000000.000000,106000000.000000,-252000000.000000,-267000000.000000,-85000000.000000,-604000000.000000,390000000.000000,375000000.000000,86000000.000000,0.000000,300000000.000000,300000000.000000,300000000.000000,0.000000,0.000000,0.082000,398000000.000000,439000000.000000,1343000000.000000,0.000000,5.211000,20.531000,23.436000,4208000000.000000,0.000000,44.060000,1.681000,1.681000,1942000000.000000,4304000000.000000,3646000000.000000,3646000000.000000,0.000000,,,,,0.000000,398000000.000000,1.000000,564300000.000000,564300000.000000,,6.461000,11028000000.000000,0.000000,138000000.000000,628000000.000000,19.543000
ARQ,1998-06-30,1998-08-07,1998-06-30,1998-Q2,1394000000.000000,20834152383.000000,2025-04-29,-220000000.000000,13897000000.000000,,5312000000.000000,8585000000.000000,,8.593000,-138000000.000000,507000000.000000,507000000.000000,2949000000.000000,350000000.000000,1.356000,1.881000,2502000000.000000,864000000.000000,1638000000.000000,2502000000.000000,0.000000,149000000.000000,0.000000,0.015000,0.150000,543000000.000000,692000000.000000,0.179000,692000000.000000,543000000.000000,511000000.000000,0.620000,0.610000,0.620000,4823000000.000000,,4823000000.000000,22829152383.000000,12.000000,8.838000,274000000.000000,0.488000,1.000000,920000000.000000,0.238000,2881000000.000000,32000000.000000,9093000000.000000,,2409000000.000000,548000000.000000,22000000.000000,526000000.000000,9074000000.000000,3918000000.000000,5156000000.000000,24000000.000000,-220000000.000000,-276000000.000000,298000000.000000,-85000000.000000,-63000000.000000,-325000000.000000,33000000.000000,412000000.000000,0.000000,350000000.000000,350000000.000000,350000000.000000,0.000000,0.000000,0.090000,406000000.000000,514000000.000000,1386000000.000000,0.242000,4.320000,16.588000,16.646000,4197000000.000000,0.000000,37.120000,1.381000,1.381000,1809000000.000000,4569000000.000000,3869000000.000000,3869000000.000000,0.000000,,,,,0.000000,406000000.000000,1.000000,561264881.000000,561264881.000000,,6.893000,11016000000.000000,0.000000,161000000.000000,601000000.000000,19.627000
ARQ,1998-09-30,1998-11-10,1998-09-30,1998-Q3,1304000000.000000,22995656285.000000,2025-04-29,-169000000.000000,14024000000.000000,,5308000000.000000,8716000000.000000,,8.985000,-165000000.000000,566000000.000000,566000000.000000,2838000000.000000,329000000.000000,1.326000,1.787000,2459000000.000000,1000000000.000000,1459000000.000000,2459000000.000000,0.000000,151000000.000000,0.000000,0.014000,0.150000,518000000.000000,669000000.000000,0.179000,669000000.000000,518000000.000000,480000000.000000,0.590000,0.580000,0.590000,5032000000.000000,,5032000000.000000,24888656285.000000,12.000000,9.499000,155000000.000000,0.277000,1.000000,903000000.000000,0.241000,2988000000.000000,38000000.000000,8925000000.000000,,2446000000.000000,430000000.000000,0.000000,430000000.000000,8992000000.000000,4004000000.000000,4988000000.000000,59000000.000000,60000000.000000,-129000000.000000,35000000.000000,-84000000.000000,-178000000.000000,-83000000.000000,22000000.000000,320000000.000000,0.000000,329000000.000000,329000000.000000,329000000.000000,0.000000,0.000000,0.088000,396000000.000000,507000000.000000,1268000000.000000,0.254000,4.570000,17.785000,17.852000,4287000000.000000,0.000000,41.060000,1.516000,1.516000,1707000000.000000,4814000000.000000,3741000000.000000,3741000000.000000,0.000000,,,,,0.000000,396000000.000000,1.000000,560050080.000000,560050080.000000,,6.680000,11036000000.000000,0.000000,151000000.000000,655000000.000000,19.705000
ARQ,1998-12-31,1999-03-04,1998-12-31,1998-Q4,408000000.000000,24341044521.000000,2025-04-29,-70000000.000000,15560000000.000000,,5593000000.000000,9967000000.000000,,9.508000,-208000000.000000,712000000.000000,712000000.000000,2880000000.000000,352000000.000000,1.079000,1.938000,3487000000.000000,2011000000.000000,1476000000.000000,3487000000.000000,0.000000,156000000.000000,0.000000,0.014000,0.320000,572000000.000000,728000000.000000,0.188000,728000000.000000,572000000.000000,514000000.000000,0.630000,0.620000,0.630000,5297000000.000000,,5297000000.000000,27116044521.000000,13.000000,9.991000,169000000.000000,0.303000,1.000000,992000000.000000,0.256000,2999000000.000000,58000000.000000,10151000000.000000,,2332000000.000000,1488000000.000000,0.000000,1488000000.000000,10263000000.000000,5185000000.000000,5078000000.000000,146000000.000000,-852000000.000000,-117000000.000000,1031000000.000000,-84000000.000000,830000000.000000,-1061000000.000000,-1000000.000000,377000000.000000,0.000000,352000000.000000,352000000.000000,352000000.000000,0.000000,0.000000,0.091000,490000000.000000,502000000.000000,1423000000.000000,0.508000,4.595000,18.288000,18.435000,4397000000.000000,0.000000,43.690000,1.609000,1.609000,1993000000.000000,5082000000.000000,3872000000.000000,3872000000.000000,0.000000,,,,,0.000000,490000000.000000,1.000000,557130797.000000,557130797.000000,,6.950000,12561000000.000000,0.000000,162000000.000000,795000000.000000,22.546000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,433000000.000000,33404478797.000000,2025-04-29,-136000000.000000,15380000000.000000,,5517000000.000000,9863000000.000000,,9.584000,-82000000.000000,795000000.000000,795000000.000000,2709000000.000000,335000000.000000,1.085000,1.904000,3577000000.000000,2120000000.000000,1457000000.000000,3577000000.000000,0.000000,144000000.000000,0.000000,0.010000,0.000000,533000000.000000,677000000.000000,0.188000,677000000.000000,533000000.000000,489000000.000000,0.600000,0.590000,0.600000,5297000000.000000,,5297000000.000000,36186478797.000000,17.000000,13.083000,317000000.000000,0.574000,1.000000,887000000.000000,0.247000,2975000000.000000,44000000.000000,10103000000.000000,,2344000000.000000,1509000000.000000,0.000000,1509000000.000000,10083000000.000000,5084000000.000000,4999000000.000000,83000000.000000,61000000.000000,-285000000.000000,88000000.000000,-95000000.000000,-292000000.000000,-24000000.000000,-3000000.000000,399000000.000000,0.000000,335000000.000000,335000000.000000,335000000.000000,0.000000,0.000000,0.093000,381000000.000000,506000000.000000,1328000000.000000,0.000000,6.306000,24.454000,24.770000,4293000000.000000,0.000000,60.440000,2.215000,2.215000,1817000000.000000,5322000000.000000,3596000000.000000,3596000000.000000,0.000000,,,,,0.000000,381000000.000000,1.000000,552688266.000000,552688266.000000,,6.506000,12405000000.000000,0.000000,154000000.000000,806000000.000000,22.445000
