dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-07-01,2020-12-31,2020-Q4,2056539000.000000,,2025-05-02,473000.000000,10988474000.000000,,10872584000.000000,115890000.000000,,-0.245000,,6324653000.000000,6324653000.000000,,,1.233000,-160.227000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-55322000.000000,,-55322000.000000,,,,,,1.000000,,,0.000000,,-4152224000.000000,,0.000000,0.000000,0.000000,0.000000,8864057000.000000,8816045000.000000,48012000.000000,,,,,,,,,,,,,,,,,,,6001891000.000000,,,,,45834000.000000,,,,,3478643000.000000,-190103000.000000,,,,,,,,,,1.000000,835675280.000000,225748355.000000,,,10988474000.000000,0.000000,,0.000000,48.676000
ARQ,2021-03-31,2021-07-19,2021-03-31,2021-Q1,5658312000.000000,,2025-05-02,502000.000000,15104493000.000000,,14967248000.000000,137245000.000000,,-6.438000,-11362000.000000,7853902000.000000,7853902000.000000,41004000.000000,-1444803000.000000,1.608000,-9.702000,4675082000.000000,0.000000,4675082000.000000,4675082000.000000,0.000000,3821000.000000,0.000000,,0.000000,-1433024000.000000,-1429203000.000000,-2.737000,-1429203000.000000,-1433024000.000000,-1433024000.000000,-6.260000,-6.260000,-6.260000,-1485186000.000000,,-1485186000.000000,,,,-1893558000.000000,-8.208000,1.000000,481170000.000000,0.921000,0.000000,0.000000,2616737000.000000,,0.000000,0.000000,0.000000,0.000000,14409940000.000000,9308936000.000000,5101004000.000000,1664243000.000000,0.000000,5797000.000000,3551975000.000000,0.000000,3557772000.000000,-11362000.000000,0.000000,-1882196000.000000,29000.000000,-1444803000.000000,-1444803000.000000,-1444803000.000000,0.000000,0.000000,-2.767000,422784000.000000,58386000.000000,6072057000.000000,0.000000,,,,54223000.000000,0.000000,,,,5542535000.000000,-1634906000.000000,522174000.000000,522174000.000000,116858000.000000,,,,,8996000.000000,239362000.000000,1.000000,835675280.000000,230685464.000000,230685464.000000,2.264000,15104493000.000000,0.000000,11779000.000000,0.000000,65.477000
ARQ,2021-03-31,2021-08-05,2021-03-31,2021-Q1,5658312000.000000,42594369022.000000,2025-05-02,502000.000000,15104493000.000000,,14967248000.000000,137245000.000000,,-6.438000,-11362000.000000,7853902000.000000,7853902000.000000,41004000.000000,-1444803000.000000,1.608000,-9.702000,4675082000.000000,0.000000,4675082000.000000,4675082000.000000,0.000000,3821000.000000,0.000000,0.000000,0.000000,-1433024000.000000,-1429203000.000000,-2.737000,-1429203000.000000,-1433024000.000000,-1433024000.000000,-6.260000,-6.260000,-6.260000,-1485186000.000000,,-1485186000.000000,39415549022.000000,,,-1893558000.000000,-8.208000,1.000000,481170000.000000,0.921000,0.000000,0.000000,2616737000.000000,,0.000000,0.000000,0.000000,0.000000,14409940000.000000,9308936000.000000,5101004000.000000,1664243000.000000,0.000000,5797000.000000,3551975000.000000,0.000000,3557772000.000000,-11362000.000000,0.000000,-1882196000.000000,29000.000000,-1444803000.000000,-1444803000.000000,-1444803000.000000,0.000000,0.000000,-2.767000,422784000.000000,58386000.000000,6072057000.000000,0.000000,-28.679000,,,54223000.000000,0.000000,50.970000,,,5542535000.000000,-1634906000.000000,522174000.000000,522174000.000000,116858000.000000,,,,,8996000.000000,239362000.000000,1.000000,835675280.000000,230685464.000000,230685464.000000,2.264000,15104493000.000000,0.000000,11779000.000000,0.000000,65.477000
ARQ,2021-06-30,2021-08-18,2021-06-30,2021-Q2,5660611000.000000,42601078730.000000,2025-05-02,525000.000000,18088582000.000000,,17900887000.000000,187695000.000000,,-8.547000,-16500000.000000,10469619000.000000,10469619000.000000,37812000.000000,-501665000.000000,1.462000,-9.015000,5189783000.000000,0.000000,5189783000.000000,5189783000.000000,0.000000,4873000.000000,0.000000,0.000000,0.000000,-464158000.000000,-459285000.000000,-0.812000,-459285000.000000,-464158000.000000,-464158000.000000,-2.160000,-2.160000,-2.160000,-1984764000.000000,,-1984764000.000000,37321242730.000000,,,2264817000.000000,9.753000,1.000000,527521000.000000,0.933000,0.000000,0.000000,568470000.000000,,0.000000,0.000000,0.000000,0.000000,17893607000.000000,12240276000.000000,5653331000.000000,2265733000.000000,0.000000,893000.000000,0.000000,0.000000,893000.000000,-16500000.000000,0.000000,2281317000.000000,23000.000000,-501665000.000000,-501665000.000000,-501665000.000000,0.000000,0.000000,-0.887000,462917000.000000,64604000.000000,8061032000.000000,0.000000,-21.464000,,,71078000.000000,0.000000,49.800000,,,5633435000.000000,-2136571000.000000,565333000.000000,565333000.000000,156347000.000000,,,,,1138000.000000,205505000.000000,1.000000,855443348.000000,232223019.000000,232223019.000000,2.434000,18088582000.000000,0.000000,37507000.000000,0.000000,77.893000
ARQ,2021-06-30,2021-09-01,2021-06-30,2021-Q2,5660611000.000000,38127110020.000000,2025-05-02,525000.000000,18088582000.000000,,17900887000.000000,187695000.000000,,-8.547000,-16500000.000000,10469619000.000000,10469619000.000000,37812000.000000,-501665000.000000,1.462000,-9.015000,5189783000.000000,0.000000,5189783000.000000,5189783000.000000,0.000000,4873000.000000,0.000000,0.000000,0.000000,-464158000.000000,-459285000.000000,-0.812000,-459285000.000000,-464158000.000000,-464158000.000000,-2.160000,-2.160000,-2.160000,-1984764000.000000,,-1984764000.000000,32847274020.000000,,,2264817000.000000,9.753000,1.000000,527521000.000000,0.933000,0.000000,0.000000,568470000.000000,,0.000000,0.000000,0.000000,0.000000,17893607000.000000,12240276000.000000,5653331000.000000,2265733000.000000,0.000000,893000.000000,0.000000,0.000000,893000.000000,-16500000.000000,0.000000,2281317000.000000,23000.000000,-501665000.000000,-501665000.000000,-501665000.000000,0.000000,0.000000,-0.887000,462917000.000000,64604000.000000,8061032000.000000,0.000000,-19.210000,,,71078000.000000,0.000000,44.570000,,,5633435000.000000,-2136571000.000000,565333000.000000,565333000.000000,156347000.000000,,,,,1138000.000000,205505000.000000,1.000000,855443348.000000,232223019.000000,232223019.000000,2.434000,18088582000.000000,0.000000,37507000.000000,0.000000,77.893000
ARQ,2021-06-30,2021-10-08,2021-06-30,2021-Q2,5660611000.000000,35740423079.000000,2025-05-02,525000.000000,18088582000.000000,,17900887000.000000,187695000.000000,,-8.547000,-16500000.000000,10469619000.000000,10469619000.000000,37812000.000000,-501665000.000000,1.462000,-9.015000,5189783000.000000,0.000000,5189783000.000000,5189783000.000000,0.000000,4873000.000000,0.000000,0.000000,0.000000,-464158000.000000,-459285000.000000,-0.812000,-459285000.000000,-464158000.000000,-464158000.000000,-2.160000,-2.160000,-2.160000,-1984764000.000000,,-1984764000.000000,30460587079.000000,,,2264817000.000000,9.753000,1.000000,527521000.000000,0.933000,0.000000,0.000000,568470000.000000,,0.000000,0.000000,0.000000,0.000000,17893607000.000000,12240276000.000000,5653331000.000000,2265733000.000000,0.000000,893000.000000,0.000000,0.000000,893000.000000,-16500000.000000,0.000000,2281317000.000000,23000.000000,-501665000.000000,-501665000.000000,-501665000.000000,0.000000,0.000000,-0.887000,462917000.000000,64604000.000000,8061032000.000000,0.000000,-18.007000,,,71078000.000000,0.000000,41.780000,,,5633435000.000000,-2136571000.000000,565333000.000000,565333000.000000,156347000.000000,,,,,1138000.000000,205505000.000000,1.000000,855443348.000000,232223019.000000,232223019.000000,2.434000,18088582000.000000,0.000000,37507000.000000,0.000000,77.893000
ARQ,2021-09-30,2021-10-29,2021-09-30,2021-Q3,7051278000.000000,30063915568.000000,2025-05-02,383000.000000,19317368000.000000,,18849696000.000000,467672000.000000,,11.572000,-30864000.000000,10658776000.000000,10658776000.000000,44031000.000000,-1316697000.000000,1.598000,1.616000,0.000000,0.000000,0.000000,0.000000,0.000000,7040000.000000,0.000000,0.000000,0.000000,-1366941000.000000,-1359901000.000000,-3.727000,-1359901000.000000,-1366941000.000000,-1366941000.000000,-2.060000,-2.060000,-2.060000,7384582000.000000,,7384582000.000000,19405139568.000000,,,-1039126000.000000,-1.628000,1.000000,320892000.000000,0.879000,130791000.000000,0.000000,-3270617000.000000,,0.000000,0.000000,0.000000,0.000000,11932786000.000000,11798418000.000000,134368000.000000,490831000.000000,-119161000.000000,2062620000.000000,0.000000,0.000000,1650848000.000000,-151613000.000000,0.000000,-1008262000.000000,-142000.000000,-1316697000.000000,-1316697000.000000,-1316697000.000000,0.000000,0.000000,-3.608000,1664452000.000000,-1343560000.000000,7048316000.000000,0.000000,4.071000,,,114666000.000000,0.000000,34.970000,,,6224459000.000000,-3453268000.000000,364923000.000000,364923000.000000,679162000.000000,,,,,1242450000.000000,876953000.000000,1.000000,859705907.000000,638168188.000000,638168188.000000,0.572000,19186577000.000000,0.000000,-50244000.000000,0.000000,30.065000
ARQ,2021-12-31,2022-02-24,2021-12-31,2021-Q4,6936200000.000000,9990561620.000000,2025-05-02,405000.000000,19769179000.000000,,19283542000.000000,485637000.000000,,14.812000,-24927000.000000,10269669000.000000,10269669000.000000,29496000.000000,-423267000.000000,1.562000,1.711000,0.000000,0.000000,0.000000,0.000000,0.000000,9761000.000000,0.000000,0.000000,0.000000,-420309000.000000,-410548000.000000,-1.132000,-410548000.000000,-420309000.000000,-420309000.000000,1.360000,1.360000,1.360000,7293092000.000000,,7293092000.000000,-279107380.000000,0.000000,0.076000,-300559000.000000,-0.610000,1.000000,333217000.000000,0.919000,134628000.000000,0.000000,-2982460000.000000,,0.000000,27189000.000000,27189000.000000,0.000000,12476087000.000000,12347342000.000000,128745000.000000,-340107000.000000,-6265000.000000,4212000.000000,0.000000,0.000000,-6092000.000000,-58405000.000000,-27203000.000000,-275632000.000000,22000.000000,-423267000.000000,-423267000.000000,-423267000.000000,0.000000,0.000000,-1.167000,753652000.000000,-420435000.000000,6728041000.000000,0.000000,1.370000,-2.710000,-1.537000,146419000.000000,0.000000,11.510000,5.504000,3.122000,6727226000.000000,-3876535000.000000,362713000.000000,362713000.000000,280420000.000000,,,,,317802000.000000,376069000.000000,1.000000,867989715.000000,492381190.000000,492381190.000000,0.737000,19634551000.000000,0.000000,2958000.000000,0.000000,39.877000
ARQ,2022-03-31,2022-05-06,2022-03-31,2022-Q1,6774000000.000000,8822988952.000000,2025-05-02,0.000000,18872000000.000000,,18355000000.000000,517000000.000000,,8.218000,-21000000.000000,10673000000.000000,10673000000.000000,31000000.000000,-392000000.000000,1.585000,1.646000,183000000.000000,23000000.000000,160000000.000000,183000000.000000,0.000000,12000000.000000,0.000000,0.000000,0.000000,-391000000.000000,-379000000.000000,-1.268000,-379000000.000000,-391000000.000000,-391000000.000000,-0.450000,-0.450000,-0.450000,7131000000.000000,,7131000000.000000,-1667011048.000000,1.000000,0.639000,416000000.000000,0.479000,1.000000,268000000.000000,0.896000,132000000.000000,0.000000,-3331000000.000000,,0.000000,40000000.000000,40000000.000000,0.000000,11741000000.000000,11581000000.000000,160000000.000000,403000000.000000,0.000000,3000000.000000,0.000000,0.000000,0.000000,-34000000.000000,-13000000.000000,437000000.000000,0.000000,-392000000.000000,-392000000.000000,-392000000.000000,0.000000,0.000000,-1.311000,659000000.000000,-391000000.000000,7398000000.000000,0.000000,1.237000,-3.350000,-3.057000,321000000.000000,0.000000,10.120000,5.542000,5.516000,5339000000.000000,-4269000000.000000,299000000.000000,299000000.000000,266000000.000000,,,,,220000000.000000,302000000.000000,1.000000,871836853.000000,867769168.000000,867769168.000000,0.345000,18740000000.000000,0.000000,1000000.000000,0.000000,21.596000
ARQ,2022-06-30,2022-08-03,2022-06-30,2022-Q2,6646000000.000000,9076247489.000000,2025-05-02,0.000000,24548000000.000000,,24045000000.000000,503000000.000000,,8.021000,-12000000.000000,9404000000.000000,9404000000.000000,30000000.000000,-295000000.000000,1.382000,2.498000,154000000.000000,22000000.000000,132000000.000000,154000000.000000,0.000000,17000000.000000,0.000000,0.000000,0.000000,-294000000.000000,-277000000.000000,-0.871000,-277000000.000000,-294000000.000000,-294000000.000000,-0.340000,-0.340000,-0.340000,7017000000.000000,,7017000000.000000,-173752511.000000,0.000000,0.072000,-1275000000.000000,-1.457000,1.000000,288000000.000000,0.906000,130000000.000000,0.000000,-2231000000.000000,,0.000000,46000000.000000,46000000.000000,0.000000,17531000000.000000,17399000000.000000,132000000.000000,-1288000000.000000,0.000000,15000000.000000,-10000000.000000,0.000000,1000000.000000,-26000000.000000,-9000000.000000,-1263000000.000000,0.000000,-295000000.000000,-295000000.000000,-295000000.000000,0.000000,0.000000,-0.928000,580000000.000000,-292000000.000000,6038000000.000000,0.000000,1.293000,-3.740000,-6.919000,298000000.000000,0.000000,10.310000,6.750000,6.708000,4235000000.000000,-4564000000.000000,318000000.000000,318000000.000000,244000000.000000,,,,,164000000.000000,250000000.000000,1.000000,880334383.000000,874873301.000000,874873301.000000,0.363000,24418000000.000000,0.000000,1000000.000000,0.000000,27.910000
