dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-06-30,2014-10-06,2014-06-30,2014-Q2,-22094000.000000,,2025-05-08,-81000.000000,52105000.000000,,25804000.000000,26301000.000000,,-18.916000,,7560000.000000,7560000.000000,,,0.539000,-0.538000,5224000.000000,97000.000000,5127000.000000,5224000.000000,32403000.000000,,0.000000,,0.000000,,,,,,,,,,-106611000.000000,,-106611000.000000,,,,,,1.000000,,,13671000.000000,,-11800000.000000,,0.000000,0.000000,0.000000,0.000000,57396000.000000,47898000.000000,9498000.000000,,,,,,,,,,,,,,,,,,,2607000.000000,,,,,9892000.000000,,,,,9278000.000000,-123816000.000000,,,,,,,,,,1.000000,30361826.000000,5636000.000000,,,38434000.000000,0.000000,,0.000000,6.819000
ARQ,2014-09-30,2014-11-13,2014-09-30,2014-Q3,-17924000.000000,1151706915.000000,2025-05-08,-106000.000000,58938000.000000,,32008000.000000,26930000.000000,,-19.591000,-2526000.000000,12619000.000000,12619000.000000,9705000.000000,-10793000.000000,0.641000,-0.632000,18202000.000000,98000.000000,18104000.000000,18202000.000000,34672000.000000,1777000.000000,0.000000,0.000000,0.000000,-10655000.000000,-8878000.000000,-0.292000,-8878000.000000,-10655000.000000,-10793000.000000,-1.840000,-1.840000,-1.840000,-115078000.000000,,-115078000.000000,1157289915.000000,,,-8344000.000000,-1.420000,1.000000,20743000.000000,0.681000,14237000.000000,138000.000000,352000.000000,,0.000000,0.000000,0.000000,0.000000,72684000.000000,49932000.000000,22752000.000000,5077000.000000,0.000000,529000.000000,12978000.000000,0.000000,13507000.000000,-2526000.000000,0.000000,-5818000.000000,-86000.000000,-10793000.000000,-10806000.000000,-10806000.000000,0.000000,0.000000,-0.355000,31700000.000000,-10957000.000000,2187000.000000,0.000000,-10.008000,,,9874000.000000,13000.000000,36.690000,,,10504000.000000,-134605000.000000,30448000.000000,30448000.000000,4858000.000000,,,,,1266000.000000,26842000.000000,1.000000,31390213.000000,5874000.000000,5874000.000000,5.184000,44701000.000000,0.000000,0.000000,0.000000,7.610000
ARQ,2014-12-31,2015-03-05,2014-12-31,2014-Q4,90081000.000000,1242310937.000000,2025-05-08,-145000.000000,174858000.000000,,149509000.000000,25349000.000000,,9.574000,-2078000.000000,123951000.000000,123951000.000000,10523000.000000,-19696000.000000,2.516000,0.580000,178000.000000,100000.000000,78000.000000,178000.000000,41305000.000000,890000.000000,0.000000,0.000000,0.000000,-19725000.000000,-18835000.000000,-0.551000,-18835000.000000,-19725000.000000,-19788000.000000,0.800000,0.800000,0.800000,110699000.000000,,110699000.000000,1118537937.000000,-23.000000,-26.452000,-3830000.000000,-0.331000,1.000000,23633000.000000,0.692000,13852000.000000,63000.000000,-22195000.000000,,0.000000,0.000000,0.000000,0.000000,64159000.000000,59428000.000000,4731000.000000,111342000.000000,0.000000,133497000.000000,-18024000.000000,0.000000,115473000.000000,-2078000.000000,0.000000,-1752000.000000,-301000.000000,-19696000.000000,-19987000.000000,-19987000.000000,0.000000,0.000000,-0.585000,43585000.000000,-19952000.000000,2800000.000000,0.000000,11.222000,-25.583000,-9.390000,11381000.000000,291000.000000,39.440000,10.721000,3.935000,14270000.000000,-154301000.000000,34156000.000000,34156000.000000,11140000.000000,,,,,12844000.000000,32445000.000000,1.000000,31498756.000000,11562000.000000,11562000.000000,2.954000,161006000.000000,0.000000,-92000.000000,0.000000,13.925000
ARQ,2014-12-31,2015-03-13,2014-12-31,2014-Q4,90081000.000000,1241050986.000000,2025-05-08,-145000.000000,174858000.000000,,149509000.000000,25349000.000000,,9.574000,-2078000.000000,123951000.000000,123951000.000000,10523000.000000,-19696000.000000,2.516000,0.580000,178000.000000,100000.000000,78000.000000,178000.000000,41305000.000000,890000.000000,0.000000,0.000000,0.000000,-19725000.000000,-18835000.000000,-0.551000,-18835000.000000,-19725000.000000,-19788000.000000,0.800000,0.800000,0.800000,110699000.000000,,110699000.000000,1117277986.000000,-23.000000,-26.423000,-3830000.000000,-0.331000,1.000000,23633000.000000,0.692000,13852000.000000,63000.000000,-22195000.000000,,0.000000,0.000000,0.000000,0.000000,64159000.000000,59428000.000000,4731000.000000,111342000.000000,0.000000,133497000.000000,-18024000.000000,0.000000,115473000.000000,-2078000.000000,0.000000,-1752000.000000,-301000.000000,-19696000.000000,-19987000.000000,-19987000.000000,0.000000,0.000000,-0.585000,43585000.000000,-19952000.000000,2800000.000000,0.000000,11.211000,-25.557000,-9.381000,11381000.000000,291000.000000,39.400000,10.710000,3.931000,14270000.000000,-154301000.000000,34156000.000000,34156000.000000,11140000.000000,,,,,12844000.000000,32445000.000000,1.000000,31498756.000000,11562000.000000,11562000.000000,2.954000,161006000.000000,0.000000,-92000.000000,0.000000,13.925000
ARQ,2015-03-31,2015-05-07,2015-03-31,2015-Q1,98879000.000000,1584588666.000000,2025-05-08,-380000.000000,209072000.000000,,164176000.000000,44896000.000000,,4.400000,-1795000.000000,129580000.000000,129580000.000000,10465000.000000,-10858000.000000,2.514000,0.502000,154000.000000,101000.000000,53000.000000,154000.000000,46996000.000000,1747000.000000,0.000000,0.000000,0.000000,-10774000.000000,-9027000.000000,-0.237000,-9027000.000000,-10774000.000000,-10806000.000000,-0.340000,-0.340000,-0.340000,139208000.000000,,139208000.000000,1455162666.000000,,,-2610000.000000,-0.083000,1.000000,27701000.000000,0.726000,14177000.000000,32000.000000,172000.000000,,0.000000,25755000.000000,6717000.000000,19038000.000000,69864000.000000,65297000.000000,4567000.000000,5654000.000000,-600000.000000,35080000.000000,-24000.000000,0.000000,35056000.000000,-28179000.000000,-25784000.000000,-815000.000000,-408000.000000,-10858000.000000,-10858000.000000,-10858000.000000,0.000000,0.000000,-0.284000,39113000.000000,-11412000.000000,1544000.000000,0.000000,11.383000,,,11561000.000000,0.000000,47.900000,,,15458000.000000,-165159000.000000,38166000.000000,38166000.000000,7501000.000000,,,,,5142000.000000,31612000.000000,1.000000,33081183.000000,31636000.000000,31636000.000000,1.206000,194895000.000000,0.000000,52000.000000,0.000000,6.161000
ARQ,2015-06-30,2015-08-06,2015-06-30,2015-Q2,67046000.000000,1704954796.000000,2025-05-08,-458000.000000,208857000.000000,,140760000.000000,68097000.000000,,3.924000,-1180000.000000,74445000.000000,74445000.000000,11273000.000000,-11392000.000000,1.910000,0.603000,376000.000000,235000.000000,141000.000000,376000.000000,50246000.000000,1818000.000000,0.000000,0.000000,0.000000,-11276000.000000,-9458000.000000,-0.220000,-9458000.000000,-11276000.000000,-11355000.000000,-0.340000,-0.340000,-0.340000,130319000.000000,,130319000.000000,1630885796.000000,-31.000000,-35.302000,398000.000000,0.012000,1.000000,31668000.000000,0.737000,14159000.000000,79000.000000,46915000.000000,,0.000000,77933000.000000,35591000.000000,42342000.000000,78538000.000000,73714000.000000,4824000.000000,-55140000.000000,0.000000,4788000.000000,-25000.000000,0.000000,-3089000.000000,-53679000.000000,-52499000.000000,1578000.000000,50000.000000,-11392000.000000,-11392000.000000,-11392000.000000,0.000000,0.000000,-0.265000,42990000.000000,-11322000.000000,2415000.000000,0.000000,13.083000,-32.143000,-29.366000,11337000.000000,0.000000,50.510000,11.701000,11.511000,16217000.000000,-176551000.000000,42941000.000000,42941000.000000,8158000.000000,,,,,5641000.000000,34832000.000000,1.000000,33754797.000000,33208000.000000,33208000.000000,1.293000,194698000.000000,0.000000,37000.000000,0.000000,5.863000
ARQ,2015-09-30,2015-11-04,2015-09-30,2015-Q3,59243000.000000,1810871435.000000,2025-05-08,-544000.000000,207837000.000000,,137323000.000000,70514000.000000,,3.672000,-2332000.000000,59369000.000000,59369000.000000,12478000.000000,-13552000.000000,1.759000,0.674000,613000.000000,397000.000000,216000.000000,613000.000000,54998000.000000,1946000.000000,0.000000,0.000000,0.000000,-13345000.000000,-11399000.000000,-0.239000,-11399000.000000,-13345000.000000,-13376000.000000,-0.400000,-0.400000,-0.400000,124174000.000000,,124174000.000000,1752115435.000000,-32.000000,-35.964000,-6158000.000000,-0.182000,1.000000,35233000.000000,0.738000,14367000.000000,31000.000000,56634000.000000,,0.000000,89195000.000000,45697000.000000,43498000.000000,83663000.000000,78080000.000000,5583000.000000,-15426000.000000,0.000000,3057000.000000,-58000.000000,0.000000,2634000.000000,-14306000.000000,-11586000.000000,-3826000.000000,72000.000000,-13552000.000000,-13552000.000000,-13552000.000000,0.000000,0.000000,-0.284000,48523000.000000,-13290000.000000,2577000.000000,0.000000,14.583000,-32.459000,-189.679000,11840000.000000,0.000000,53.110000,11.111000,11.021000,19769000.000000,-190103000.000000,47711000.000000,47711000.000000,8128000.000000,,,,,4510000.000000,40395000.000000,1.000000,34096619.000000,33819000.000000,33819000.000000,1.411000,193470000.000000,0.000000,176000.000000,0.000000,5.721000
ARQ,2015-12-31,2016-02-24,2015-12-31,2015-Q4,54447000.000000,1267871295.000000,2025-05-08,-805000.000000,220379000.000000,,145754000.000000,74625000.000000,,3.560000,-7434000.000000,55943000.000000,55943000.000000,13707000.000000,-10251000.000000,1.596000,0.811000,819000.000000,542000.000000,277000.000000,819000.000000,65139000.000000,1832000.000000,0.000000,0.000000,0.000000,-10059000.000000,-8227000.000000,-0.155000,-8227000.000000,-10059000.000000,-10104000.000000,-0.300000,-0.300000,-0.300000,121708000.000000,,121708000.000000,1212747295.000000,-27.000000,-31.820000,-4794000.000000,-0.140000,1.000000,39419000.000000,0.742000,14528000.000000,45000.000000,59420000.000000,,0.000000,89538000.000000,48972000.000000,40566000.000000,98671000.000000,91307000.000000,7364000.000000,-3229000.000000,0.000000,2827000.000000,-99000.000000,0.000000,2338000.000000,-7940000.000000,-728000.000000,2640000.000000,-267000.000000,-10251000.000000,-10251000.000000,-10251000.000000,0.000000,0.000000,-0.193000,49868000.000000,-10449000.000000,2588000.000000,0.000000,10.417000,-27.531000,-26.281000,18161000.000000,0.000000,36.530000,6.969000,6.670000,25142000.000000,-200354000.000000,53126000.000000,53126000.000000,8670000.000000,,,,,6015000.000000,41198000.000000,1.000000,34707673.000000,34185000.000000,34185000.000000,1.554000,205851000.000000,0.000000,147000.000000,0.000000,6.022000
ARQ,2016-03-31,2016-05-04,2016-03-31,2016-Q1,51066000.000000,1616136968.000000,2025-05-08,-305000.000000,229992000.000000,,151738000.000000,78254000.000000,,3.486000,-8075000.000000,53400000.000000,53400000.000000,13971000.000000,-10154000.000000,1.507000,0.902000,934000.000000,649000.000000,285000.000000,934000.000000,73954000.000000,2201000.000000,0.000000,0.000000,0.000000,-10015000.000000,-7814000.000000,-0.133000,-7814000.000000,-10015000.000000,-10102000.000000,-0.290000,-0.290000,-0.290000,120952000.000000,,120952000.000000,1563670968.000000,-35.000000,-42.378000,-4897000.000000,-0.141000,1.000000,44989000.000000,0.763000,14935000.000000,87000.000000,61919000.000000,,0.000000,89746000.000000,54633000.000000,35113000.000000,109040000.000000,100672000.000000,8368000.000000,-2561000.000000,0.000000,2992000.000000,-142000.000000,0.000000,1892000.000000,-8169000.000000,-94000.000000,3178000.000000,538000.000000,-10154000.000000,-10154000.000000,-10154000.000000,0.000000,0.000000,-0.172000,54850000.000000,-9861000.000000,2674000.000000,0.000000,13.362000,-35.638000,-34.774000,26897000.000000,0.000000,46.250000,7.972000,7.914000,25072000.000000,-210508000.000000,58960000.000000,58960000.000000,9804000.000000,,,,,6231000.000000,45046000.000000,1.000000,34943502.000000,34692000.000000,34692000.000000,1.700000,215057000.000000,0.000000,52000.000000,0.000000,6.199000
ARQ,2016-06-30,2016-08-03,2016-06-30,2016-Q2,54723000.000000,1787458244.000000,2025-05-08,-446000.000000,236534000.000000,,161693000.000000,74841000.000000,,3.439000,-5706000.000000,59031000.000000,59031000.000000,15195000.000000,-11064000.000000,1.512000,0.964000,973000.000000,714000.000000,259000.000000,973000.000000,77182000.000000,3022000.000000,0.000000,0.000000,0.000000,-11031000.000000,-8009000.000000,-0.123000,-8009000.000000,-11031000.000000,-11124000.000000,-0.320000,-0.320000,-0.320000,120452000.000000,,120452000.000000,1729400244.000000,-39.000000,-48.786000,2937000.000000,0.084000,1.000000,49779000.000000,0.766000,14819000.000000,93000.000000,56687000.000000,,0.000000,89338000.000000,58831000.000000,30507000.000000,116082000.000000,106970000.000000,9112000.000000,5642000.000000,0.000000,3176000.000000,-177000.000000,0.000000,2615000.000000,-5380000.000000,326000.000000,8643000.000000,-236000.000000,-11064000.000000,-11064000.000000,-11064000.000000,0.000000,0.000000,-0.170000,60809000.000000,-11030000.000000,2707000.000000,0.000000,14.840000,-39.703000,-38.603000,28034000.000000,0.000000,50.570000,7.952000,7.880000,25643000.000000,-221572000.000000,64974000.000000,64974000.000000,11278000.000000,,,,,8474000.000000,49531000.000000,1.000000,35346218.000000,35023000.000000,35023000.000000,1.855000,221715000.000000,0.000000,-60000.000000,0.000000,6.331000
