dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-03-31,2011-07-11,2011-03-31,2011-Q1,-25172000.000000,,2023-08-08,4593000.000000,169580000.000000,,6576000.000000,163004000.000000,,64.826000,-41000.000000,2756000.000000,2756000.000000,1839000.000000,-7671000.000000,0.207000,0.751000,28917000.000000,19651000.000000,9266000.000000,28917000.000000,7798000.000000,1016000.000000,0.000000,,0.000000,-6568000.000000,-5552000.000000,-3.096000,-5552000.000000,-6568000.000000,-7853000.000000,-5.130000,-5.130000,-5.130000,96847000.000000,,96847000.000000,,,,-6539000.000000,-4.377000,1.000000,-46000.000000,-0.026000,41596000.000000,1285000.000000,122397000.000000,,155000.000000,0.000000,0.000000,0.000000,72733000.000000,31748000.000000,40985000.000000,-2828000.000000,0.000000,42000.000000,3772000.000000,0.000000,3679000.000000,-41000.000000,0.000000,-6498000.000000,32000.000000,-7671000.000000,-7671000.000000,-7671000.000000,0.000000,0.000000,-4.278000,6944000.000000,-6990000.000000,3865000.000000,0.000000,,,,2086000.000000,0.000000,,,,2594000.000000,-114723000.000000,1793000.000000,1793000.000000,2729000.000000,,,,,597000.000000,4215000.000000,1.000000,19146982.000000,1493962.000000,1493962.000000,1.200000,127984000.000000,0.000000,-182000.000000,26190000.000000,85.668000
ARQ,2011-06-30,2011-09-02,2011-06-30,2011-Q2,-24989000.000000,162081993.000000,2023-08-08,6941000.000000,172370000.000000,,6816000.000000,165554000.000000,,59.688000,5000.000000,5972000.000000,5972000.000000,2104000.000000,-11637000.000000,0.214000,0.930000,37098000.000000,17985000.000000,19113000.000000,37098000.000000,7493000.000000,1027000.000000,0.000000,0.000000,0.000000,-8638000.000000,-7611000.000000,-5.701000,-7611000.000000,-8638000.000000,-11823000.000000,-7.780000,-7.780000,-7.780000,89310000.000000,,89310000.000000,193207993.000000,,,-4143000.000000,-2.769000,1.000000,-769000.000000,-0.576000,41494000.000000,3185000.000000,130197000.000000,,531000.000000,0.000000,0.000000,0.000000,83060000.000000,31805000.000000,51255000.000000,3216000.000000,0.000000,0.000000,7280000.000000,0.000000,7178000.000000,5000.000000,0.000000,-4148000.000000,181000.000000,-11637000.000000,-11637000.000000,-11637000.000000,0.000000,0.000000,-8.717000,7979000.000000,-8748000.000000,5043000.000000,0.000000,1.815000,,,2030000.000000,0.000000,8.300000,,,14000.000000,-126361000.000000,1335000.000000,1335000.000000,3462000.000000,,,,,628000.000000,4517000.000000,1.000000,19527951.000000,1496278.000000,1496278.000000,0.892000,130876000.000000,0.000000,-186000.000000,26539000.000000,87.468000
ARQ,2011-09-30,2011-11-14,2011-09-30,2011-Q3,21946000.000000,157595996.000000,2023-08-08,964000.000000,189203000.000000,,36450000.000000,152753000.000000,,9.530000,-413000.000000,33447000.000000,33447000.000000,1249000.000000,-17231000.000000,2.513000,0.498000,19853000.000000,2386000.000000,17467000.000000,19853000.000000,7966000.000000,1028000.000000,0.000000,0.000000,0.000000,-16413000.000000,-15385000.000000,-56.355000,-15385000.000000,-16413000.000000,-17408000.000000,-1.300000,-1.300000,-1.300000,126331000.000000,,126331000.000000,144001996.000000,,,-16706000.000000,-1.260000,1.000000,-976000.000000,-3.575000,38295000.000000,995000.000000,122810000.000000,,1130000.000000,0.000000,0.000000,0.000000,62872000.000000,14504000.000000,48368000.000000,27225000.000000,0.000000,46038000.000000,-382000.000000,0.000000,44256000.000000,-663000.000000,0.000000,-16293000.000000,-75000.000000,-17231000.000000,-17231000.000000,-17231000.000000,0.000000,0.000000,-63.117000,14679000.000000,-15655000.000000,3723000.000000,0.000000,1.247000,,,2334000.000000,0.000000,8.070000,,,260000.000000,-143590000.000000,273000.000000,273000.000000,5346000.000000,,,,,602000.000000,9333000.000000,1.000000,19528624.000000,13256189.000000,13256189.000000,0.021000,150908000.000000,0.000000,-177000.000000,24895000.000000,11.384000
ARQ,2011-12-31,2012-03-23,2011-12-31,2011-Q4,1065000.000000,128746873.000000,2023-08-08,-3788000.000000,101078000.000000,,25046000.000000,76032000.000000,,5.093000,-1155000.000000,18716000.000000,18716000.000000,2076000.000000,-76727000.000000,1.044000,1.202000,19438000.000000,3604000.000000,15834000.000000,19438000.000000,8947000.000000,1128000.000000,0.000000,0.000000,0.000000,-90046000.000000,-88918000.000000,-25.218000,-88918000.000000,-90046000.000000,-90865000.000000,-5.870000,-5.870000,-5.870000,45912000.000000,,45912000.000000,129468873.000000,-1.000000,-1.102000,-15756000.000000,-1.748000,1.000000,1450000.000000,0.411000,35602000.000000,819000.000000,42217000.000000,,1195000.000000,0.000000,0.000000,0.000000,55166000.000000,23981000.000000,31185000.000000,-15031000.000000,0.000000,-1278000.000000,-320000.000000,0.000000,39000.000000,-1455000.000000,0.000000,-14601000.000000,986000.000000,-76727000.000000,-76727000.000000,-76727000.000000,0.000000,0.000000,-21.760000,90699000.000000,-89249000.000000,8170000.000000,0.000000,2.804000,-1.137000,-0.304000,3245000.000000,0.000000,3.820000,18.586000,4.971000,2372000.000000,-220317000.000000,3526000.000000,3526000.000000,3822000.000000,,,,,703000.000000,17256000.000000,1.000000,33703370.000000,9014968.000000,9014968.000000,0.391000,65476000.000000,0.000000,-14138000.000000,9561000.000000,7.263000
ARQ,2012-03-31,2012-05-10,2012-03-31,2012-Q1,68020000.000000,118298829.000000,2023-08-08,-2695000.000000,169648000.000000,,88720000.000000,80928000.000000,,3.392000,-133000.000000,81101000.000000,81101000.000000,2067000.000000,-23726000.000000,4.286000,1.074000,50351000.000000,0.000000,50351000.000000,50351000.000000,9932000.000000,1076000.000000,0.000000,0.000000,0.000000,-19339000.000000,-18263000.000000,-7.239000,-18263000.000000,-19339000.000000,-23890000.000000,-0.980000,-0.980000,-0.980000,81806000.000000,,81806000.000000,87548829.000000,-1.000000,-0.673000,-20923000.000000,-0.868000,1.000000,456000.000000,0.181000,35777000.000000,4551000.000000,82421000.000000,,2465000.000000,0.000000,0.000000,0.000000,87842000.000000,20700000.000000,67142000.000000,62385000.000000,0.000000,47581000.000000,35764000.000000,0.000000,83345000.000000,-133000.000000,0.000000,-20790000.000000,-37000.000000,-23726000.000000,-23726000.000000,-23726000.000000,0.000000,0.000000,-9.404000,20244000.000000,-19788000.000000,8752000.000000,0.000000,1.446000,-0.915000,-0.220000,3150000.000000,0.000000,3.510000,15.450000,11.055000,787000.000000,-244043000.000000,2523000.000000,2523000.000000,4069000.000000,,,,,1759000.000000,16175000.000000,1.000000,33703370.000000,24116490.000000,24116490.000000,0.105000,133871000.000000,0.000000,-164000.000000,9668000.000000,5.551000
ARQ,2012-06-30,2012-08-10,2012-06-30,2012-Q2,45765000.000000,157786131.000000,2023-08-08,-4620000.000000,148752000.000000,,72390000.000000,76362000.000000,,1.716000,-910000.000000,64210000.000000,64210000.000000,2855000.000000,-22782000.000000,2.719000,1.570000,51119000.000000,3978000.000000,47141000.000000,51119000.000000,11652000.000000,1064000.000000,0.000000,0.000000,0.000000,-19750000.000000,-18686000.000000,-4.865000,-18686000.000000,-19750000.000000,-22941000.000000,-0.680000,-0.680000,-0.680000,57873000.000000,,57873000.000000,144695131.000000,-1.000000,-1.024000,-16767000.000000,-0.497000,1.000000,986000.000000,0.257000,32893000.000000,3191000.000000,76143000.000000,,3157000.000000,0.000000,0.000000,0.000000,90879000.000000,26625000.000000,64254000.000000,-16891000.000000,0.000000,41000.000000,0.000000,0.000000,41000.000000,-910000.000000,0.000000,-15857000.000000,-165000.000000,-22782000.000000,-22782000.000000,-22782000.000000,0.000000,0.000000,-5.931000,19331000.000000,-18345000.000000,7890000.000000,0.000000,2.726000,-1.123000,-0.529000,3804000.000000,0.000000,4.670000,15.526000,15.493000,622000.000000,-266825000.000000,3841000.000000,3841000.000000,4233000.000000,,,,,731000.000000,15098000.000000,1.000000,33787180.000000,33715703.000000,33715703.000000,0.114000,115859000.000000,0.000000,-159000.000000,8948000.000000,3.436000
ARQ,2012-09-30,2012-11-13,2012-09-30,2012-Q3,105097000.000000,151497538.000000,2023-08-08,-4136000.000000,212343000.000000,,136105000.000000,76238000.000000,,3.570000,31000.000000,122126000.000000,122126000.000000,3810000.000000,-16953000.000000,4.389000,0.654000,47323000.000000,7957000.000000,39366000.000000,47323000.000000,12398000.000000,1508000.000000,0.000000,0.000000,0.000000,-18126000.000000,-16618000.000000,-2.548000,-16618000.000000,-18126000.000000,-21465000.000000,-0.470000,-0.470000,-0.470000,128417000.000000,,128417000.000000,76694538.000000,-1.000000,-0.538000,-22795000.000000,-0.634000,1.000000,2711000.000000,0.416000,68647000.000000,3339000.000000,37885000.000000,,3666000.000000,0.000000,0.000000,0.000000,83926000.000000,31008000.000000,52918000.000000,57866000.000000,0.000000,80766000.000000,34000.000000,0.000000,80800000.000000,-19000.000000,0.000000,-22826000.000000,-89000.000000,-16953000.000000,-16953000.000000,-16953000.000000,0.000000,0.000000,-2.600000,21425000.000000,-18714000.000000,6854000.000000,0.000000,1.180000,-1.081000,-0.307000,3620000.000000,0.000000,2.460000,9.231000,5.392000,5979000.000000,-283778000.000000,6521000.000000,6521000.000000,3796000.000000,,,,,1172000.000000,17629000.000000,1.000000,61584365.000000,35972657.000000,35972657.000000,0.181000,143696000.000000,0.000000,-4512000.000000,4615000.000000,3.995000
ARQ,2012-12-31,2013-03-18,2012-12-31,2012-Q4,79983000.000000,150531810.000000,2023-08-08,-3372000.000000,193984000.000000,,116918000.000000,77066000.000000,,2.726000,-324000.000000,104887000.000000,104887000.000000,3931000.000000,-24333000.000000,3.166000,0.830000,48801000.000000,11935000.000000,36866000.000000,48801000.000000,11784000.000000,1890000.000000,0.000000,0.000000,0.000000,-21225000.000000,-19335000.000000,-2.866000,-19335000.000000,-21225000.000000,-24669000.000000,-0.230000,-0.230000,-0.230000,105978000.000000,,105978000.000000,94445810.000000,-1.000000,-1.296000,-17492000.000000,-0.450000,1.000000,2816000.000000,0.417000,68892000.000000,3444000.000000,32071000.000000,,5245000.000000,0.000000,0.000000,0.000000,88006000.000000,36935000.000000,51071000.000000,-17239000.000000,0.000000,130000.000000,-8000.000000,0.000000,122000.000000,-324000.000000,0.000000,-17168000.000000,131000.000000,-24333000.000000,-24333000.000000,-24333000.000000,0.000000,0.000000,-3.606000,24842000.000000,-22026000.000000,5986000.000000,0.000000,1.420000,-1.715000,-1.075000,3725000.000000,0.000000,2.430000,7.668000,4.811000,3463000.000000,-308111000.000000,6747000.000000,6747000.000000,4739000.000000,,,,,999000.000000,20103000.000000,1.000000,61947247.000000,38871422.000000,38871422.000000,0.174000,125092000.000000,0.000000,-336000.000000,4408000.000000,3.218000
ARQ,2013-03-31,2013-05-10,2013-03-31,2013-Q1,58850000.000000,149452602.000000,2023-08-08,-4169000.000000,169860000.000000,,96811000.000000,73049000.000000,,1.358000,-225000.000000,81876000.000000,81876000.000000,4247000.000000,-22171000.000000,2.550000,1.020000,50316000.000000,15913000.000000,34403000.000000,50316000.000000,11818000.000000,1922000.000000,0.000000,0.000000,0.000000,-19449000.000000,-17527000.000000,-1.911000,-17527000.000000,-19449000.000000,-23052000.000000,-0.360000,-0.360000,-0.360000,84090000.000000,,84090000.000000,117892602.000000,-2.000000,-1.634000,-22994000.000000,-0.371000,1.000000,4924000.000000,0.537000,65208000.000000,3603000.000000,35131000.000000,,4367000.000000,0.000000,0.000000,0.000000,85770000.000000,37961000.000000,47809000.000000,-23011000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-225000.000000,0.000000,-22769000.000000,-17000.000000,-22171000.000000,-22171000.000000,-22171000.000000,0.000000,0.000000,-2.418000,23468000.000000,-18544000.000000,4942000.000000,0.000000,1.777000,-1.733000,-1.368000,3668000.000000,0.000000,2.380000,5.687000,5.609000,7650000.000000,-330282000.000000,9171000.000000,9171000.000000,2198000.000000,,,,,1079000.000000,21270000.000000,1.000000,62795211.000000,61939822.000000,61939822.000000,0.148000,104652000.000000,0.000000,-881000.000000,3437000.000000,1.690000
ARQ,2013-06-30,2013-08-09,2013-06-30,2013-Q2,43083000.000000,147688393.000000,2023-08-08,-3767000.000000,158517000.000000,,86634000.000000,71883000.000000,,1.118000,-120000.000000,70140000.000000,70140000.000000,3517000.000000,-18441000.000000,1.989000,1.254000,47851000.000000,15913000.000000,31938000.000000,47851000.000000,10861000.000000,1933000.000000,0.000000,0.000000,0.000000,-15350000.000000,-13417000.000000,-1.095000,-13417000.000000,-15350000.000000,-18792000.000000,-0.290000,-0.290000,-0.290000,70314000.000000,,70314000.000000,125399393.000000,-2.000000,-1.875000,-11019000.000000,-0.175000,1.000000,8737000.000000,0.713000,64544000.000000,3442000.000000,28133000.000000,,5787000.000000,0.000000,0.000000,0.000000,88203000.000000,43551000.000000,44652000.000000,-11736000.000000,0.000000,3243000.000000,-3978000.000000,0.000000,-735000.000000,-120000.000000,0.000000,-10899000.000000,18000.000000,-18441000.000000,-18441000.000000,-18441000.000000,0.000000,0.000000,-1.505000,24541000.000000,-15804000.000000,5624000.000000,0.000000,2.100000,-1.803000,-1.696000,3500000.000000,0.000000,2.290000,4.257000,4.150000,7340000.000000,-348723000.000000,12254000.000000,12254000.000000,2833000.000000,,,,,1021000.000000,21708000.000000,1.000000,64492748.000000,62872173.000000,62872173.000000,0.195000,93973000.000000,0.000000,-351000.000000,3148000.000000,1.495000
