dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2009-09-30,2009-11-16,2009-09-30,2010-Q1,,27693176.000000,2025-05-04,0.000000,7449970.000000,,3653787.000000,3796183.000000,,1369.694000,-209863.000000,3376995.000000,3376995.000000,0.000000,-561791.000000,,0.116000,0.000000,,,0.000000,0.000000,78436.000000,0.000000,0.000000,0.000000,-561191.000000,-482755.000000,,-482755.000000,-561191.000000,-561191.000000,-100.000000,-100.000000,-100.000000,6673387.000000,,6673387.000000,24316181.000000,,,-469300.000000,-96.323000,1.000000,0.000000,,3782262.000000,0.000000,290713.000000,,0.000000,0.000000,0.000000,0.000000,776583.000000,,,2337751.000000,0.000000,2807051.000000,0.000000,0.000000,2807051.000000,-209863.000000,0.000000,-259437.000000,0.000000,-561791.000000,-561791.000000,-561791.000000,0.000000,0.000000,,572419.000000,-572419.000000,0.000000,0.000000,4.150000,,,13921.000000,0.000000,4950.000000,,,205868.000000,-9246659.000000,0.000000,0.000000,104212.000000,,,,,14303.000000,468207.000000,1.000000,5595.000000,4872.000000,4872.000000,0.000000,3667708.000000,0.000000,600.000000,0.000000,752.787000
ARQ,2009-12-31,2010-02-16,2009-12-31,2010-Q2,1354554.000000,18377226.000000,2025-05-04,0.000000,7911990.000000,,4060377.000000,3851613.000000,,920.707000,-138536.000000,3001016.000000,3001016.000000,0.000000,-306671.000000,1.501000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,83106.000000,0.000000,0.000000,0.000000,-306071.000000,-222965.000000,,-222965.000000,-306071.000000,-306071.000000,-50.000000,-50.000000,-50.000000,5206167.000000,,5206167.000000,15376210.000000,,,-366402.000000,-64.798000,1.000000,0.000000,,3838649.000000,0.000000,-1633498.000000,,0.000000,0.000000,0.000000,0.000000,2705823.000000,2705823.000000,0.000000,-375979.000000,0.000000,-9577.000000,0.000000,0.000000,-9577.000000,-138536.000000,0.000000,-227866.000000,0.000000,-306671.000000,-306671.000000,-306671.000000,0.000000,0.000000,,756955.000000,-756955.000000,1965004.000000,0.000000,3.530000,,,12964.000000,0.000000,3250.000000,,,15245.000000,-9292505.000000,0.000000,0.000000,254172.000000,,,,,30076.000000,502783.000000,1.000000,5655.000000,5655.000000,5655.000000,0.000000,4073341.000000,0.000000,600.000000,0.000000,720.368000
ARQ,2010-03-31,2010-05-19,2010-03-31,2010-Q3,-328773.000000,29120835.000000,2025-05-04,0.000000,5476805.000000,,1550039.000000,3926766.000000,,636.303000,-161965.000000,1494976.000000,1494976.000000,0.000000,-1644279.000000,0.825000,0.522000,0.000000,0.000000,0.000000,0.000000,0.000000,86812.000000,0.000000,0.000000,0.000000,-1643679.000000,-1556867.000000,,-1556867.000000,-1643679.000000,-1643679.000000,-300.000000,-300.000000,-300.000000,3597993.000000,,3597993.000000,27625859.000000,,,-1504453.000000,-266.062000,1.000000,0.000000,,3914759.000000,0.000000,-1811742.000000,,0.000000,0.000000,0.000000,0.000000,1878812.000000,1878812.000000,0.000000,-1506040.000000,0.000000,-1587.000000,0.000000,0.000000,-1587.000000,-161965.000000,0.000000,-1342488.000000,0.000000,-1644279.000000,-1644279.000000,-1644279.000000,0.000000,0.000000,,1592643.000000,-1592643.000000,1079608.000000,0.000000,8.094000,,,12007.000000,0.000000,5150.000000,,,9405.000000,-10936784.000000,0.000000,0.000000,1055986.000000,,,,,38604.000000,536657.000000,1.000000,5655.000000,5655.000000,5655.000000,0.000000,1562046.000000,0.000000,600.000000,0.000000,276.247000
ARQ,2010-06-30,2010-10-13,2010-06-30,2010-Q4,-2828573.000000,62199841.000000,2025-05-04,0.000000,4930245.000000,,1025542.000000,3904703.000000,,190.337000,-66612.000000,909932.000000,909932.000000,0.000000,-2582708.000000,0.266000,3.581000,0.000000,0.000000,0.000000,0.000000,0.000000,88675.000000,0.000000,0.000000,0.000000,-2568999.000000,-2480324.000000,,-2480324.000000,-2568999.000000,-2582108.000000,-450.000000,-450.000000,-450.000000,1076130.000000,,1076130.000000,61289909.000000,-10.000000,-10.705000,-585044.000000,-103.478000,1.000000,0.000000,,3893653.000000,13109.000000,-3727455.000000,,0.000000,0.000000,0.000000,0.000000,3854115.000000,3854115.000000,0.000000,-585044.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-66612.000000,0.000000,-518432.000000,0.000000,-2582708.000000,-2582708.000000,-2582708.000000,0.000000,0.000000,,1665322.000000,-1665322.000000,2007166.000000,0.000000,57.800000,-10.234000,-10.000000,11050.000000,0.000000,11000.000000,,,47460.000000,-13519492.000000,0.000000,0.000000,1102990.000000,,,,,60845.000000,562332.000000,1.000000,5655.000000,5654.000000,5654.000000,0.000000,1036592.000000,0.000000,600.000000,0.000000,183.343000
ARQ,2010-09-30,2010-11-15,2010-09-30,2011-Q1,-4726187.000000,92234950.000000,2025-05-04,0.000000,4604080.000000,,722370.000000,3881710.000000,,-149.345000,0.000000,313826.000000,313826.000000,0.000000,-2817931.000000,0.133000,-6.452000,0.000000,0.000000,0.000000,0.000000,0.000000,92870.000000,0.000000,0.000000,0.000000,-2804206.000000,-2711336.000000,,-2711336.000000,-2804206.000000,-2817331.000000,-500.000000,-500.000000,-500.000000,-844477.000000,,-844477.000000,91921124.000000,-13.000000,-13.185000,-526229.000000,-93.063000,1.000000,0.000000,,3871617.000000,13125.000000,-5029920.000000,,0.000000,0.000000,0.000000,0.000000,5448557.000000,5448557.000000,0.000000,-596106.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-69877.000000,0.000000,-526229.000000,0.000000,-2817931.000000,-2817931.000000,-2817931.000000,0.000000,0.000000,,1370207.000000,-1370207.000000,2160684.000000,0.000000,-109.221000,-12.546000,-11.154000,10093.000000,0.000000,14500.000000,,,55590.000000,-16337423.000000,0.000000,0.000000,157543.000000,,,,,408767.000000,1212664.000000,1.000000,6361.000000,5655.000000,5655.000000,0.000000,732463.000000,0.000000,600.000000,0.000000,129.536000
ARQ,2010-12-31,2011-02-14,2010-12-31,2011-Q2,-1687358.000000,135921471.000000,2025-05-04,0.000000,10416268.000000,,6553572.000000,3862696.000000,,351.700000,0.000000,5768766.000000,5768766.000000,0.000000,-4710461.000000,0.795000,3.788000,0.000000,0.000000,0.000000,0.000000,0.000000,94717.000000,0.000000,0.000000,0.000000,-4696935.000000,-4602218.000000,,-4602218.000000,-4696935.000000,-4709861.000000,-750.000000,-750.000000,-750.000000,2175338.000000,,2175338.000000,130152705.000000,-11.000000,-11.466000,-1705001.000000,-275.658000,1.000000,0.000000,,3853560.000000,12926.000000,-7446988.000000,,0.000000,0.000000,0.000000,0.000000,8240930.000000,8240930.000000,0.000000,5454940.000000,0.000000,7235644.000000,0.000000,0.000000,7235644.000000,-75703.000000,0.000000,-1705001.000000,0.000000,-4710461.000000,-4710461.000000,-4710461.000000,0.000000,0.000000,,1864716.000000,-1864716.000000,1970127.000000,0.000000,62.483000,-11.562000,-10.500000,9136.000000,0.000000,21000.000000,,,60274.000000,-21047884.000000,0.000000,0.000000,619536.000000,,,,,290310.000000,1245180.000000,1.000000,6472.000000,6185.000000,6185.000000,0.000000,6562708.000000,0.000000,600.000000,0.000000,1061.033000
ARQ,2011-03-31,2011-05-18,2011-03-31,2011-Q3,-3192538.000000,93260434.000000,2025-05-04,0.000000,8049623.000000,,4228822.000000,3820801.000000,,97.138000,0.000000,3836142.000000,3836142.000000,0.000000,-3031326.000000,0.570000,11.813000,0.000000,0.000000,0.000000,0.000000,0.000000,96116.000000,0.000000,0.000000,0.000000,-3023634.000000,-2927518.000000,-16.634000,-2927518.000000,-3023634.000000,-3031326.000000,-450.000000,-450.000000,-450.000000,628263.000000,,628263.000000,89424292.000000,-7.000000,-7.029000,-2008403.000000,-310.527000,1.000000,175995.000000,1.000000,3812622.000000,7692.000000,-7020501.000000,,0.000000,0.000000,0.000000,0.000000,7421360.000000,7421360.000000,0.000000,-1932624.000000,0.000000,130000.000000,0.000000,0.000000,130000.000000,-54221.000000,0.000000,-2008403.000000,0.000000,-3031326.000000,-3031326.000000,-3031326.000000,0.000000,0.000000,-17.224000,3064461.000000,-2888466.000000,1101593.000000,0.000000,148.442000,-7.096000,-6.698000,8179.000000,0.000000,14400.000000,529.904000,529.192000,0.000000,-24079210.000000,175995.000000,175995.000000,1137435.000000,,,,,1057468.000000,1927026.000000,1.000000,6476.000000,6468.000000,6468.000000,27.211000,4237001.000000,0.000000,0.000000,0.000000,655.100000
ARQ,2011-06-30,2011-09-29,2011-06-30,2011-Q4,-2839009.000000,50516068.000000,2025-05-04,0.000000,7335829.000000,,4300178.000000,3035651.000000,,30.367000,0.000000,2843300.000000,2843300.000000,0.000000,-1582733.000000,0.602000,36.306000,0.000000,0.000000,0.000000,0.000000,0.000000,93107.000000,0.000000,0.000000,0.000000,-1565975.000000,-1472868.000000,-4.281000,-1472868.000000,-1565975.000000,-1582733.000000,-200.000000,-200.000000,-200.000000,196642.000000,,196642.000000,47672768.000000,-4.000000,-4.069000,-1098555.000000,-169.646000,1.000000,344085.000000,1.000000,3027239.000000,16758.000000,-5673897.000000,,0.000000,0.000000,0.000000,0.000000,7139187.000000,7139187.000000,0.000000,-992842.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105713.000000,0.000000,-1098555.000000,0.000000,-1582733.000000,-1582733.000000,-1582733.000000,0.000000,0.000000,-4.600000,3873501.000000,-3529416.000000,2895359.000000,0.000000,256.894000,-4.160000,-4.000000,8412.000000,0.000000,7800.000000,97.131000,92.892000,344085.000000,-25661943.000000,344085.000000,344085.000000,1169003.000000,,,,,1037117.000000,2704498.000000,1.000000,6476.000000,6476.000000,6476.000000,53.136000,4308590.000000,0.000000,0.000000,0.000000,665.359000
ARQ,2011-09-30,2011-11-14,2011-09-30,2012-Q1,-2161904.000000,55049562.000000,2025-05-04,0.000000,5576741.000000,,2528737.000000,3048004.000000,,136.819000,-92330.000000,1522652.000000,1522652.000000,0.000000,383143.000000,0.539000,5.294000,0.000000,0.000000,0.000000,0.000000,0.000000,79977.000000,0.000000,0.000000,0.000000,392719.000000,472696.000000,1.476000,472696.000000,392719.000000,383143.000000,50.000000,50.000000,50.000000,886100.000000,,886100.000000,53526910.000000,-6.000000,-6.275000,-1320648.000000,-203.916000,1.000000,320348.000000,1.000000,3040651.000000,9576.000000,-3677203.000000,,0.000000,0.000000,0.000000,0.000000,4690641.000000,4690641.000000,0.000000,-1320648.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-92330.000000,0.000000,-1228318.000000,0.000000,383143.000000,383143.000000,383143.000000,0.000000,0.000000,1.196000,2645374.000000,-2325026.000000,2980785.000000,0.000000,62.126000,-6.157000,-6.296000,7353.000000,0.000000,8500.000000,65.502000,65.502000,320348.000000,-25278800.000000,320348.000000,320348.000000,1456640.000000,,,,,338292.000000,1188734.000000,1.000000,6476.000000,6476.000000,6934.000000,49.464000,2536090.000000,0.000000,0.000000,0.000000,391.588000
ARQ,2011-12-31,2012-02-14,2011-12-31,2012-Q2,-2776606.000000,38213676.000000,2025-05-04,0.000000,5020236.000000,,1938151.000000,3082085.000000,,47.168000,0.000000,623452.000000,623452.000000,0.000000,-1597660.000000,0.411000,15.434000,0.000000,0.000000,0.000000,0.000000,0.000000,80999.000000,0.000000,0.000000,0.000000,-1580860.000000,-1499861.000000,-6.414000,-1499861.000000,-1580860.000000,-1597660.000000,-250.000000,-250.000000,-250.000000,305479.000000,,305479.000000,37590224.000000,-7.000000,-6.926000,-784120.000000,-121.073000,1.000000,233832.000000,1.000000,2990455.000000,16800.000000,-3308428.000000,,0.000000,0.000000,0.000000,0.000000,4714757.000000,4714757.000000,0.000000,-899200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-29744.000000,0.000000,-784120.000000,0.000000,-1597660.000000,-1597660.000000,-1597660.000000,0.000000,0.000000,-6.833000,2907476.000000,-2673644.000000,4041446.000000,0.000000,125.094000,-6.556000,-4.706000,6294.000000,0.000000,4000.000000,35.572000,24.115000,233832.000000,-26876460.000000,233832.000000,233832.000000,1162320.000000,,,,,1055814.000000,1745156.000000,1.000000,9553.000000,6476.000000,6476.000000,36.105000,2029781.000000,0.000000,0.000000,0.000000,313.411000
