dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-07-16,2014-12-31,2014-Q4,56968000.000000,,2025-05-12,0.000000,60828000.000000,,59373000.000000,1455000.000000,,7.085000,,59104000.000000,59104000.000000,,,24.687000,0.041000,265000.000000,265000.000000,0.000000,265000.000000,521000.000000,,0.000000,,0.000000,,,,,,,,,,58423000.000000,,58423000.000000,,,,,,1.000000,,,835000.000000,,-1251000.000000,,0.000000,249000.000000,0.000000,249000.000000,2405000.000000,2405000.000000,0.000000,,,,,,,,,,,,,,,,,,,1131000.000000,,,,,211000.000000,,,,,145000.000000,-12741000.000000,,,,,,,,,,1.000000,76963632.000000,8246028.000000,,,59993000.000000,0.000000,,0.000000,7.275000
ARQ,2015-06-30,2015-09-10,2015-06-30,2015-Q2,114831000.000000,1458924224.000000,2025-05-12,0.000000,132557000.000000,,120870000.000000,11687000.000000,,1.923000,,120437000.000000,120437000.000000,0.000000,-84581000.000000,20.015000,0.048000,0.000000,0.000000,0.000000,0.000000,241000.000000,,0.000000,0.000000,0.000000,-84566000.000000,,,,-84566000.000000,-84581000.000000,-1.290000,-1.290000,-1.290000,126518000.000000,,126518000.000000,1338487224.000000,,,,,1.000000,91000.000000,1.000000,7620000.000000,15000.000000,-1539000.000000,,0.000000,0.000000,0.000000,0.000000,6039000.000000,6039000.000000,0.000000,,,,,,,,,,,-84581000.000000,-84581000.000000,-84581000.000000,0.000000,0.000000,-929.462000,84174000.000000,-84083000.000000,3180000.000000,0.000000,11.531000,,,310000.000000,0.000000,17.980000,,,45000.000000,-130004000.000000,91000.000000,91000.000000,1745000.000000,,,,,,82429000.000000,1.000000,81141503.000000,65789041.000000,65789041.000000,0.001000,124937000.000000,0.000000,0.000000,0.000000,1.899000
ARQ,2015-09-30,2015-11-12,2015-09-30,2015-Q3,353604000.000000,1396990484.000000,2025-05-12,-50000.000000,370191000.000000,,360287000.000000,9904000.000000,,4.663000,-672000.000000,358616000.000000,358616000.000000,0.000000,-42649000.000000,53.911000,0.020000,0.000000,0.000000,0.000000,0.000000,235000.000000,25000.000000,0.000000,0.000000,0.000000,-42733000.000000,-42708000.000000,-4270.800000,-42708000.000000,-42733000.000000,-42649000.000000,-0.550000,-0.550000,-0.550000,362931000.000000,,362931000.000000,1038374484.000000,,,-4850000.000000,-0.062000,1.000000,10000.000000,1.000000,7164000.000000,-84000.000000,-2272000.000000,,0.000000,0.000000,0.000000,0.000000,7260000.000000,6683000.000000,577000.000000,238179000.000000,0.000000,245494000.000000,0.000000,0.000000,243079000.000000,-672000.000000,0.000000,-4178000.000000,-50000.000000,-42649000.000000,-42649000.000000,-42649000.000000,0.000000,0.000000,-4264.900000,42804000.000000,-42794000.000000,5557000.000000,0.000000,3.849000,,,1414000.000000,0.000000,17.200000,,,0.000000,-172723000.000000,10000.000000,10000.000000,3950000.000000,,,,,36103000.000000,38854000.000000,1.000000,81220377.000000,77837586.000000,77837586.000000,0.000000,363027000.000000,0.000000,0.000000,0.000000,4.664000
ARQ,2015-12-31,2016-03-30,2015-12-31,2015-Q4,291392000.000000,672653494.000000,2025-05-12,-192000.000000,366849000.000000,,297540000.000000,69309000.000000,,4.388000,-814000.000000,175908000.000000,175908000.000000,0.000000,-76821000.000000,48.396000,0.030000,0.000000,0.000000,0.000000,0.000000,228000.000000,405000.000000,0.000000,0.000000,0.000000,-77022000.000000,-76617000.000000,-5472.643000,-76617000.000000,-77022000.000000,-77123000.000000,-0.970000,-0.970000,-0.970000,355995000.000000,,355995000.000000,496745494.000000,-2.000000,-2.107000,-11899000.000000,-0.147000,1.000000,14000.000000,1.000000,7292000.000000,101000.000000,177501000.000000,,0.000000,173445000.000000,118310000.000000,55135000.000000,10854000.000000,6148000.000000,4706000.000000,-182708000.000000,0.000000,306000.000000,0.000000,0.000000,306000.000000,-171979000.000000,-171165000.000000,-11085000.000000,50000.000000,-76821000.000000,-76821000.000000,-76821000.000000,0.000000,0.000000,-5487.214000,79937000.000000,-79923000.000000,3437000.000000,0.000000,1.890000,-2.840000,-2.480000,5523000.000000,0.000000,8.210000,2850.227000,2488.037000,0.000000,-250376000.000000,14000.000000,14000.000000,5106000.000000,,,,,70554000.000000,74831000.000000,1.000000,81930998.000000,81130424.000000,81130424.000000,0.000000,359557000.000000,0.000000,-302000.000000,1165000.000000,4.432000
ARQ,2016-03-31,2016-05-16,2016-03-31,2016-Q1,217677000.000000,556625765.000000,2025-05-12,318000.000000,357428000.000000,,225535000.000000,131893000.000000,,4.223000,-1067000.000000,63250000.000000,63250000.000000,0.000000,-30650000.000000,28.701000,0.038000,0.000000,0.000000,0.000000,0.000000,203000.000000,485000.000000,0.000000,0.000000,0.000000,-30793000.000000,-30308000.000000,-5051.333000,-30308000.000000,-30793000.000000,-30793000.000000,-0.380000,-0.380000,-0.380000,344500000.000000,,344500000.000000,493375765.000000,-2.000000,,-9923000.000000,-0.122000,1.000000,6000.000000,1.000000,6844000.000000,0.000000,279476000.000000,,0.000000,274706000.000000,158509000.000000,116197000.000000,12928000.000000,7858000.000000,5070000.000000,-112658000.000000,0.000000,-1890000.000000,0.000000,0.000000,-1890000.000000,-101912000.000000,-100845000.000000,-8856000.000000,0.000000,-30650000.000000,-30650000.000000,-30650000.000000,0.000000,0.000000,-5108.333000,31595000.000000,-31589000.000000,2779000.000000,0.000000,1.616000,-2.372000,-2.129000,7156000.000000,0.000000,6.790000,4600.213000,4577.631000,0.000000,-281026000.000000,6000.000000,6000.000000,4944000.000000,,,,,20535000.000000,26651000.000000,1.000000,81977285.000000,81574709.000000,81574709.000000,0.000000,350584000.000000,0.000000,-143000.000000,1072000.000000,4.298000
ARQ,2016-06-30,2016-08-15,2016-06-30,2016-Q2,207914000.000000,624746289.000000,2025-05-12,424000.000000,342935000.000000,,217959000.000000,124976000.000000,,3.994000,-1056000.000000,38223000.000000,38223000.000000,0.000000,-33997000.000000,21.698000,0.048000,0.000000,0.000000,0.000000,0.000000,197000.000000,513000.000000,0.000000,0.000000,0.000000,-34225000.000000,-33712000.000000,-2809.333000,-33712000.000000,-34225000.000000,-34225000.000000,-0.410000,-0.410000,-0.410000,327357000.000000,,327357000.000000,586523289.000000,-3.000000,-3.199000,-9357000.000000,-0.114000,1.000000,12000.000000,1.000000,6396000.000000,0.000000,288271000.000000,,0.000000,283473000.000000,175540000.000000,107933000.000000,15578000.000000,10045000.000000,5533000.000000,-25027000.000000,0.000000,-6575000.000000,0.000000,0.000000,-6575000.000000,-10151000.000000,-9095000.000000,-8301000.000000,0.000000,-33997000.000000,-33997000.000000,-33997000.000000,0.000000,0.000000,-2833.083000,34977000.000000,-34965000.000000,5030000.000000,0.000000,1.908000,-3.393000,-3.286000,9507000.000000,0.000000,7.590000,14874.912000,14811.201000,0.000000,-324405000.000000,12000.000000,12000.000000,6389000.000000,,,,,23382000.000000,28588000.000000,1.000000,82311764.000000,81959248.000000,81959248.000000,0.000000,336539000.000000,0.000000,-228000.000000,969000.000000,4.106000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,204239000.000000,634291265.000000,2025-05-12,135000.000000,332411000.000000,,214471000.000000,117940000.000000,,3.784000,-3079000.000000,31404000.000000,31404000.000000,0.000000,-31897000.000000,20.961000,0.069000,2390000.000000,0.000000,2390000.000000,2390000.000000,192000.000000,770000.000000,0.000000,0.000000,0.000000,-31920000.000000,-31150000.000000,-2595.833000,-31150000.000000,-31920000.000000,-31949000.000000,-0.390000,-0.390000,-0.390000,310891000.000000,,310891000.000000,605277265.000000,-3.000000,-3.523000,-13762000.000000,-0.168000,1.000000,12000.000000,1.000000,5948000.000000,29000.000000,287217000.000000,,0.000000,272507000.000000,177852000.000000,94655000.000000,21520000.000000,10232000.000000,11288000.000000,-6819000.000000,0.000000,-2389000.000000,-10000.000000,0.000000,-2991000.000000,6855000.000000,9934000.000000,-10683000.000000,0.000000,-31897000.000000,-31897000.000000,-31897000.000000,0.000000,0.000000,-2658.083000,32787000.000000,-32775000.000000,4098000.000000,0.000000,2.040000,-3.659000,-3.581000,16475000.000000,0.000000,7.700000,14415.711000,14376.937000,0.000000,-358876000.000000,12000.000000,12000.000000,8364000.000000,,,,,18669000.000000,24423000.000000,1.000000,82375489.000000,82154219.000000,82154219.000000,0.000000,326463000.000000,0.000000,-52000.000000,883000.000000,3.974000
ARQ,2016-12-31,2017-03-15,2016-12-31,2016-Q4,192592000.000000,313550126.000000,2025-05-12,-284000.000000,317496000.000000,,205145000.000000,112351000.000000,,3.584000,-1358000.000000,8083000.000000,8083000.000000,0.000000,-24238000.000000,16.342000,0.082000,2025000.000000,0.000000,2025000.000000,2025000.000000,187000.000000,1839000.000000,0.000000,0.000000,0.000000,-24350000.000000,-22511000.000000,-1607.929000,-22511000.000000,-24350000.000000,-24387000.000000,-0.290000,-0.290000,-0.290000,293418000.000000,,293418000.000000,307492126.000000,-3.000000,-2.612000,-12111000.000000,-0.148000,1.000000,14000.000000,1.000000,5086000.000000,37000.000000,293799000.000000,,0.000000,278409000.000000,190838000.000000,87571000.000000,24078000.000000,12553000.000000,11525000.000000,-23321000.000000,0.000000,-3568000.000000,-22000.000000,0.000000,-4104000.000000,-8464000.000000,-7106000.000000,-10753000.000000,0.000000,-24238000.000000,-24238000.000000,-24238000.000000,0.000000,0.000000,-1731.286000,25158000.000000,-25144000.000000,5798000.000000,0.000000,1.069000,-2.595000,-2.592000,18906000.000000,0.000000,3.810000,7126.139000,7098.673000,1089000.000000,-387063000.000000,14000.000000,14000.000000,9445000.000000,,,,,11266000.000000,15713000.000000,1.000000,82296621.000000,81858411.000000,81858411.000000,0.000000,312410000.000000,0.000000,-149000.000000,996000.000000,3.816000
ARQ,2017-03-31,2017-05-08,2017-03-31,2017-Q1,181747000.000000,232501089.000000,2025-05-12,-240000.000000,303675000.000000,,195948000.000000,107727000.000000,,3.389000,-4509000.000000,13596000.000000,13596000.000000,0.000000,-24515000.000000,13.798000,0.091000,1955000.000000,0.000000,1955000.000000,1955000.000000,182000.000000,1162000.000000,0.000000,0.000000,0.000000,-24576000.000000,-23414000.000000,-2128.545000,-23414000.000000,-24576000.000000,-24613000.000000,-0.300000,-0.300000,-0.300000,278369000.000000,,278369000.000000,220860089.000000,-2.000000,-1.994000,-14566000.000000,-0.177000,1.000000,11000.000000,1.000000,4521000.000000,37000.000000,273312000.000000,,0.000000,257361000.000000,177374000.000000,79987000.000000,25306000.000000,14201000.000000,11105000.000000,5513000.000000,0.000000,104000.000000,-22000.000000,0.000000,-468000.000000,16038000.000000,20547000.000000,-10057000.000000,0.000000,-24515000.000000,-24515000.000000,-24515000.000000,0.000000,0.000000,-2228.636000,25475000.000000,-25464000.000000,6404000.000000,0.000000,0.835000,-2.028000,-2.036000,22558000.000000,0.000000,2.830000,4744.920000,4743.944000,82000.000000,-412628000.000000,11000.000000,11000.000000,9248000.000000,,,,,10018000.000000,16227000.000000,1.000000,82155862.000000,82138438.000000,82138438.000000,0.000000,299154000.000000,0.000000,-98000.000000,903000.000000,3.642000
ARQ,2017-06-30,2017-08-07,2017-06-30,2017-Q2,144679000.000000,475849793.000000,2025-05-12,-237000.000000,301620000.000000,,181557000.000000,120063000.000000,,3.106000,-8156000.000000,39039000.000000,39039000.000000,0.000000,-23452000.000000,4.923000,0.193000,16765000.000000,14880000.000000,1885000.000000,16765000.000000,0.000000,1374000.000000,0.000000,0.000000,0.000000,-23422000.000000,-22048000.000000,-1574.857000,-22048000.000000,-23422000.000000,-23576000.000000,-0.290000,-0.290000,-0.290000,252924000.000000,,252924000.000000,453575793.000000,-4.000000,-4.576000,-23106000.000000,-0.284000,1.000000,14000.000000,1.000000,3956000.000000,154000.000000,238512000.000000,,0.000000,192020000.000000,136466000.000000,55554000.000000,48696000.000000,36878000.000000,11818000.000000,25443000.000000,0.000000,-11369000.000000,-4898000.000000,0.000000,-16426000.000000,56819000.000000,64975000.000000,-14950000.000000,0.000000,-23452000.000000,-23452000.000000,-23452000.000000,0.000000,0.000000,-1675.143000,23834000.000000,-23820000.000000,6487000.000000,0.000000,1.881000,-4.571000,-4.717000,60218000.000000,0.000000,5.990000,9330.388000,9565.328000,79000.000000,-447486000.000000,14000.000000,14000.000000,9706000.000000,,,,,9381000.000000,14128000.000000,1.000000,79440700.000000,81440816.000000,81440816.000000,0.000000,297664000.000000,0.000000,-124000.000000,779000.000000,3.655000
