dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-14,1996-12-31,1997-Q2,-9259.000000,54032711.000000,2023-11-05,0.000000,6910180.000000,,2251286.000000,4658894.000000,,0.273000,,1828987.000000,1828987.000000,0.000000,-2468889.000000,0.996000,0.494000,109157.000000,109157.000000,0.000000,109157.000000,0.000000,,0.000000,0.000000,0.000000,-2462827.000000,,,,-2462827.000000,-2468689.000000,-0.150000,,-0.150000,4624280.000000,,4624280.000000,52312881.000000,,,,,1.000000,116891.000000,1.000000,0.000000,5862.000000,2929805.000000,,0.000000,1067633.000000,0.000000,1067633.000000,2285900.000000,2260545.000000,25355.000000,,,,,,,,,,,-2468889.000000,-2580621.000000,-2580621.000000,0.000000,0.000000,-22.077000,2579719.000000,-2462828.000000,985585.000000,0.000000,11.685000,,,3547561.000000,111732.000000,2.938000,,,0.000000,-130429527.000000,116891.000000,116891.000000,2031389.000000,,,,,,548330.000000,1.000000,18390984.000000,16960993.000000,,0.007000,6910180.000000,0.000000,200.000000,0.000000,0.407000
ARQ,1996-12-31,1997-04-08,1996-12-31,1997-Q2,-9259.000000,28745108.000000,2023-11-05,0.000000,6910180.000000,,2251286.000000,4658894.000000,,0.273000,-4458.000000,1828987.000000,1828987.000000,0.000000,-2468889.000000,0.996000,0.494000,109157.000000,109157.000000,0.000000,109157.000000,0.000000,371265.000000,0.000000,0.000000,0.000000,-2462827.000000,-2091562.000000,-17.893000,-2091562.000000,-2462827.000000,-2468689.000000,-0.180000,,-0.180000,4624280.000000,,4624280.000000,27025278.000000,-3.000000,-3.445000,-2085512.000000,-0.123000,1.000000,116891.000000,1.000000,0.000000,5862.000000,2929805.000000,,0.000000,1067633.000000,0.000000,1067633.000000,2285900.000000,2260545.000000,25355.000000,873390.000000,0.000000,3948.000000,-35046.000000,0.000000,2958902.000000,-4458.000000,0.000000,-2081054.000000,0.000000,-2468889.000000,-3021798.000000,-3021798.000000,0.000000,0.000000,-25.851000,2579719.000000,-2462828.000000,985585.000000,0.000000,6.216000,-1.828000,-1.595000,3547561.000000,552909.000000,1.563000,56.541000,52.077000,0.000000,-133249380.000000,116891.000000,116891.000000,2031389.000000,,,,,0.000000,548330.000000,1.000000,18390984.000000,16960993.000000,,0.007000,6910180.000000,0.000000,200.000000,0.000000,0.407000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q3,1016093.000000,24369343.000000,2023-11-05,0.000000,7315942.000000,,2960815.000000,4355127.000000,,0.293000,2000.000000,2469275.000000,2469275.000000,0.000000,-2341704.000000,1.522000,0.383000,73449.000000,73449.000000,0.000000,73449.000000,0.000000,332076.000000,0.000000,0.000000,0.000000,-2337991.000000,-2005915.000000,-15.423000,-2005915.000000,-2337991.000000,-2341504.000000,-0.230000,,-0.230000,5289494.000000,,5289494.000000,21973517.000000,,,-2345965.000000,-0.130000,1.000000,130059.000000,1.000000,0.000000,3513.000000,2975394.000000,,0.000000,1097943.000000,0.000000,1097943.000000,2026448.000000,1944722.000000,81726.000000,640288.000000,0.000000,60449.000000,-35708.000000,0.000000,2986253.000000,2000.000000,0.000000,-2347965.000000,0.000000,-2341704.000000,-4170930.000000,-4170930.000000,0.000000,0.000000,-32.070000,2468050.000000,-2337991.000000,708085.000000,0.000000,4.607000,,,3213484.000000,1829226.000000,1.281000,,,0.000000,-138039159.000000,130059.000000,130059.000000,1842053.000000,,,,,0.000000,625997.000000,1.000000,19023687.000000,18068402.000000,,0.007000,7315942.000000,0.000000,200.000000,0.000000,0.405000
ARQ,1997-06-30,1997-09-26,1997-06-30,1997-Q4,419050.000000,28724846.000000,2023-11-05,0.000000,6349890.000000,,2247547.000000,4102343.000000,,0.225000,-51511.000000,1669050.000000,1669050.000000,0.000000,-1959722.000000,1.229000,0.423000,37068.000000,37068.000000,0.000000,37068.000000,0.000000,346861.000000,0.000000,0.000000,0.000000,-1954933.000000,-1608072.000000,-6.567000,-1608072.000000,-1954933.000000,-1957846.000000,-0.120000,,-0.120000,4461957.000000,,4461957.000000,27092864.000000,-3.000000,-3.610000,-1763844.000000,-0.089000,1.000000,244872.000000,1.000000,0.000000,2913.000000,2889411.000000,,0.000000,1128910.000000,0.000000,1128910.000000,1887933.000000,1828497.000000,59436.000000,-800225.000000,0.000000,0.000000,-36381.000000,0.000000,963619.000000,-51511.000000,0.000000,-1712333.000000,0.000000,-1959722.000000,-2470247.000000,-2470247.000000,0.000000,0.000000,-10.088000,2199805.000000,-1954933.000000,612559.000000,0.000000,6.438000,-2.281000,-1.786000,2929733.000000,510525.000000,1.250000,45.592000,35.574000,0.000000,-140509406.000000,244872.000000,244872.000000,1598441.000000,,,,,0.000000,601364.000000,1.000000,22979877.000000,19790737.000000,,0.012000,6349890.000000,0.000000,1876.000000,0.000000,0.321000
ARQ,1997-09-30,1997-11-14,1997-09-30,1998-Q1,1574231.000000,25492084.000000,2023-11-05,0.000000,6833422.000000,,3030657.000000,3802765.000000,,0.201000,0.000000,1907581.000000,1907581.000000,0.000000,-1782900.000000,2.081000,0.507000,0.000000,0.000000,0.000000,0.000000,0.000000,326463.000000,0.000000,0.000000,0.000000,-1780739.000000,-1454276.000000,-11.778000,-1454276.000000,-1780739.000000,-1782294.000000,-0.080000,,-0.080000,4533230.000000,,4533230.000000,23584503.000000,-3.000000,-3.294000,-1470949.000000,-0.065000,1.000000,123469.000000,1.000000,0.000000,1555.000000,3469415.000000,,0.000000,1155795.000000,0.000000,1155795.000000,2300192.000000,1456426.000000,843766.000000,238531.000000,0.000000,0.000000,-37068.000000,0.000000,1709480.000000,0.000000,0.000000,-1470949.000000,0.000000,-1782900.000000,-1794449.000000,-1794449.000000,0.000000,0.000000,-14.534000,1931813.000000,-1808344.000000,589932.000000,0.000000,5.623000,-2.111000,-1.661000,2603270.000000,11549.000000,1.063000,41.431000,38.930000,0.000000,-142303855.000000,123469.000000,123469.000000,1552543.000000,,,,,0.000000,379270.000000,1.000000,23981264.000000,22533758.000000,,0.005000,6833422.000000,0.000000,606.000000,0.000000,0.303000
ARQ,1997-09-30,1997-11-24,1997-09-30,1998-Q1,1574231.000000,24724683.000000,2023-11-05,0.000000,6833422.000000,,3030657.000000,3802765.000000,,0.233000,0.000000,1907581.000000,1907581.000000,0.000000,-1782900.000000,2.081000,0.299000,0.000000,0.000000,0.000000,0.000000,0.000000,326463.000000,0.000000,0.000000,0.000000,-1780739.000000,-1454276.000000,-11.778000,-1454276.000000,-1780739.000000,-1782294.000000,-0.080000,,-0.080000,5260880.000000,,5260880.000000,22817102.000000,-3.000000,-3.187000,-1470949.000000,-0.065000,1.000000,123469.000000,1.000000,0.000000,1555.000000,3469415.000000,,0.000000,1155795.000000,0.000000,1155795.000000,1572542.000000,1456426.000000,116116.000000,238531.000000,0.000000,0.000000,-37068.000000,0.000000,1709480.000000,0.000000,0.000000,-1470949.000000,0.000000,-1782900.000000,-1794449.000000,-1794449.000000,0.000000,0.000000,-14.534000,1931813.000000,-1808344.000000,589932.000000,0.000000,4.700000,-2.047000,-1.611000,2603270.000000,11549.000000,1.031000,40.184000,37.758000,0.000000,-142303855.000000,123469.000000,123469.000000,1552543.000000,,,,,0.000000,379270.000000,1.000000,23981264.000000,22533758.000000,,0.005000,6833422.000000,0.000000,606.000000,0.000000,0.303000
ARQ,1997-12-31,1998-02-17,1997-12-31,1998-Q2,2105942.000000,48225822.000000,2023-11-05,0.000000,7025121.000000,,3758275.000000,3266846.000000,,0.218000,0.000000,2552833.000000,2552833.000000,0.000000,-1796403.000000,2.275000,0.332000,0.000000,0.000000,0.000000,0.000000,0.000000,298084.000000,0.000000,0.000000,0.000000,-1794269.000000,-1496185.000000,-15.200000,-1496185.000000,-1794269.000000,-1795683.000000,-0.090000,-0.090000,-0.090000,5244556.000000,,5244556.000000,45672989.000000,-6.000000,-6.958000,-1008860.000000,-0.042000,1.000000,98433.000000,1.000000,0.000000,1414.000000,2819955.000000,,0.000000,920860.000000,0.000000,920860.000000,1739312.000000,1652333.000000,86979.000000,775026.000000,0.000000,0.000000,0.000000,0.000000,1780986.000000,0.000000,0.000000,-1008860.000000,0.000000,-1796403.000000,-2196730.000000,-2196730.000000,0.000000,0.000000,-22.317000,1929984.000000,-1831551.000000,796026.000000,0.000000,9.195000,-4.536000,-3.727000,2302286.000000,400327.000000,1.938000,80.803000,78.035000,0.000000,-144500589.000000,98433.000000,98433.000000,1350530.000000,,,,,0.000000,579454.000000,1.000000,24884325.000000,24031944.000000,24031944.000000,0.004000,7025121.000000,0.000000,720.000000,0.000000,0.292000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q3,2471684.000000,41995746.000000,2023-11-05,0.000000,6453325.000000,,3768371.000000,2684954.000000,,0.203000,19300.000000,2270966.000000,2270966.000000,0.000000,-1529594.000000,2.906000,0.271000,0.000000,0.000000,0.000000,0.000000,0.000000,249165.000000,0.000000,0.000000,0.000000,-1527917.000000,-1278752.000000,-6.553000,-1278752.000000,-1527917.000000,-1528583.000000,-0.070000,-0.070000,-0.070000,5056114.000000,,5056114.000000,39724780.000000,-6.000000,-6.805000,-2064998.000000,-0.083000,1.000000,195131.000000,1.000000,0.000000,666.000000,2885672.000000,,0.000000,596474.000000,0.000000,596474.000000,1371131.000000,1296687.000000,74444.000000,-411641.000000,0.000000,49050.000000,0.000000,0.000000,1323357.000000,349300.000000,330000.000000,-2084298.000000,0.000000,-1529594.000000,-1723193.000000,-1723193.000000,0.000000,0.000000,-8.831000,1763511.000000,-1568380.000000,560520.000000,0.000000,8.306000,-5.131000,-4.600000,2044780.000000,193599.000000,1.656000,63.447000,62.393000,0.000000,-146223782.000000,195131.000000,195131.000000,1395879.000000,,,,,0.000000,367632.000000,1.000000,25359750.000000,24938749.000000,24938749.000000,0.008000,6453325.000000,0.000000,1011.000000,0.000000,0.259000
ARQ,1998-06-30,1998-09-29,1998-06-30,1998-Q4,2138112.000000,37341322.000000,2023-11-05,0.000000,5876692.000000,,3668658.000000,2208034.000000,,0.170000,-11975.000000,1741825.000000,1741825.000000,0.000000,-1630110.000000,2.397000,0.363000,0.000000,0.000000,0.000000,0.000000,0.000000,179729.000000,0.000000,0.000000,0.000000,-1624775.000000,-1445046.000000,-8.533000,-1445046.000000,-1624775.000000,-1629372.000000,-0.060000,-0.060000,-0.060000,4310970.000000,,4310970.000000,35599497.000000,-5.000000,-5.438000,-1416121.000000,-0.056000,1.000000,169355.000000,1.000000,0.000000,4597.000000,2604321.000000,,0.000000,272638.000000,0.000000,272638.000000,1565722.000000,1530546.000000,35176.000000,-529141.000000,0.000000,53820.000000,0.000000,0.000000,886980.000000,-11975.000000,0.000000,-1404146.000000,0.000000,-1630110.000000,-1630110.000000,-1630110.000000,0.000000,0.000000,-9.625000,1848304.000000,-1678949.000000,699418.000000,0.000000,8.662000,-4.545000,-4.321000,1891696.000000,0.000000,1.469000,63.680000,60.651000,1875473.000000,-148725822.000000,169355.000000,169355.000000,1445620.000000,,,,,0.000000,402684.000000,1.000000,25419552.000000,25361083.000000,25361083.000000,0.007000,5876692.000000,0.000000,738.000000,0.000000,0.232000
ARQ,1998-09-30,1998-11-12,1998-09-30,1999-Q1,3335759.000000,50989104.000000,2023-11-05,0.000000,6409706.000000,,4642345.000000,1767361.000000,,0.199000,3200.000000,2410929.000000,2410929.000000,0.000000,-1543678.000000,3.553000,0.261000,0.000000,0.000000,0.000000,0.000000,0.000000,168035.000000,0.000000,0.000000,0.000000,-1541310.000000,-1373275.000000,-7.788000,-1373275.000000,-1541310.000000,-1541310.000000,-0.100000,-0.100000,-0.100000,5081132.000000,,5081132.000000,48578175.000000,-7.000000,-7.514000,-1670026.000000,-0.066000,1.000000,176326.000000,1.000000,0.000000,0.000000,2692191.000000,,0.000000,0.000000,0.000000,0.000000,1328574.000000,1306586.000000,21988.000000,669104.000000,0.000000,0.000000,0.000000,0.000000,2339130.000000,3200.000000,0.000000,-1673226.000000,0.000000,-1543678.000000,-2461261.000000,-2461261.000000,0.000000,0.000000,-13.959000,1767873.000000,-1591547.000000,595798.000000,0.000000,10.035000,-5.740000,-5.714000,1723661.000000,917583.000000,2.000000,79.765000,79.729000,2129763.000000,-151187083.000000,176326.000000,176326.000000,1425214.000000,,,,,0.000000,344417.000000,1.000000,25494552.000000,25483139.000000,25483139.000000,0.007000,6409706.000000,0.000000,2368.000000,0.000000,0.252000
ARQ,1998-12-31,1999-02-16,1998-12-31,1999-Q2,2675139.000000,59760793.000000,2023-11-05,0.000000,5577918.000000,,3968679.000000,1609239.000000,,0.168000,-7500.000000,2040590.000000,2040590.000000,0.000000,-1637234.000000,3.068000,0.305000,0.000000,0.000000,0.000000,0.000000,0.000000,166622.000000,0.000000,0.000000,0.000000,-1637234.000000,-1470612.000000,-6.374000,-1470612.000000,-1637234.000000,-1637234.000000,-0.060000,-0.060000,-0.060000,4275578.000000,,4275578.000000,57720203.000000,-8.000000,-8.963000,-1471666.000000,-0.058000,1.000000,230710.000000,1.000000,0.000000,0.000000,2243788.000000,,0.000000,0.000000,0.000000,0.000000,1302340.000000,1293540.000000,8800.000000,-370339.000000,0.000000,0.000000,0.000000,0.000000,841327.000000,252500.000000,260000.000000,-1464166.000000,0.000000,-1637234.000000,-1637234.000000,-1637234.000000,0.000000,0.000000,-7.097000,1893567.000000,-1662857.000000,732850.000000,0.000000,13.977000,-7.180000,-7.325000,1565539.000000,0.000000,2.344000,77.458000,77.456000,1896991.000000,-152821949.000000,230710.000000,230710.000000,1420868.000000,,,,,13275.000000,472713.000000,1.000000,25495219.000000,25494552.000000,25494552.000000,0.009000,5577918.000000,0.000000,0.000000,0.000000,0.219000
ARQ,1999-03-31,1999-05-11,1999-03-31,1999-Q3,3009979.000000,61898577.000000,2023-11-05,0.000000,5987334.000000,,4450667.000000,1536667.000000,,0.177000,-10070.000000,2841445.000000,2841445.000000,0.000000,-664874.000000,3.089000,0.323000,27504.000000,7769.000000,19735.000000,27504.000000,0.000000,110146.000000,0.000000,0.000000,0.000000,-664874.000000,-554728.000000,-0.478000,-554728.000000,-664874.000000,-664874.000000,-0.030000,-0.030000,-0.030000,4526911.000000,,4526911.000000,59084636.000000,-11.000000,-12.198000,-490642.000000,-0.019000,1.000000,1161133.000000,1.000000,0.000000,0.000000,1732705.000000,,0.000000,0.000000,0.000000,0.000000,1460423.000000,1440688.000000,19735.000000,800855.000000,0.000000,99199.000000,0.000000,0.000000,941497.000000,339930.000000,350000.000000,-480572.000000,0.000000,-664874.000000,-664874.000000,-664874.000000,0.000000,0.000000,-0.573000,1850497.000000,-689364.000000,713728.000000,0.000000,13.673000,-9.682000,-9.688000,1492967.000000,0.000000,2.422000,35.625000,35.565000,1552503.000000,-153486823.000000,1161133.000000,1161133.000000,1417456.000000,,,,,0.000000,432287.000000,1.000000,25556803.000000,25514229.000000,25514229.000000,0.046000,5987334.000000,0.000000,0.000000,0.000000,0.235000
ARQ,1999-06-30,1999-09-28,1999-06-30,1999-Q4,3770337.000000,66730840.000000,2023-11-05,0.000000,7170653.000000,,5543603.000000,1627050.000000,,0.208000,-101653.000000,4225580.000000,4225580.000000,0.000000,-231542.000000,3.126000,0.346000,160131.000000,91911.000000,68220.000000,160131.000000,0.000000,110554.000000,0.000000,0.000000,0.000000,-226191.000000,-115637.000000,-0.055000,-115637.000000,-226191.000000,-231542.000000,-0.010000,-0.010000,-0.010000,5329167.000000,,5329167.000000,62665391.000000,-15.000000,-17.832000,-23124.000000,-0.001000,1.000000,2084089.000000,1.000000,0.000000,5351.000000,1331938.000000,,0.000000,0.000000,0.000000,0.000000,1841486.000000,1773266.000000,68220.000000,1384135.000000,0.000000,216088.000000,-1829.000000,0.000000,1057259.000000,248347.000000,350000.000000,78529.000000,0.000000,-231542.000000,-231542.000000,-231542.000000,0.000000,0.000000,-0.111000,2362132.000000,-278043.000000,869996.000000,0.000000,12.522000,-13.366000,-12.500000,1583350.000000,0.000000,2.500000,18.271000,17.472000,1260108.000000,-153718365.000000,2084089.000000,2084089.000000,1834331.000000,,,,,0.000000,530983.000000,1.000000,26692336.000000,25608695.000000,25608695.000000,0.081000,7170653.000000,0.000000,0.000000,0.000000,0.280000
