dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-12-31,2014-04-09,2013-12-31,2013-Q4,36409000.000000,,2025-05-16,96000.000000,46585000.000000,,43855000.000000,2730000.000000,,-3421.324000,,39149000.000000,39149000.000000,,,5.890000,-2.043000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-44657000.000000,,-44657000.000000,,,,,,1.000000,,,0.000000,,-10000.000000,,0.000000,0.000000,0.000000,0.000000,91242000.000000,7446000.000000,83796000.000000,,,,,,,,,,,,,,,,,,,1224000.000000,,,,,2467000.000000,,,,,0.000000,-103166000.000000,,,,,,,,,,1.000000,527892.000000,13053.000000,,,46585000.000000,0.000000,,0.000000,3569.034000
ARQ,2014-03-31,2014-05-28,2014-03-31,2014-Q1,43631000.000000,255169624.000000,2025-05-16,95000.000000,55608000.000000,,52264000.000000,3344000.000000,,-4113.253000,-809000.000000,47048000.000000,47048000.000000,0.000000,-10748000.000000,6.054000,-1.958000,0.000000,0.000000,0.000000,0.000000,0.000000,297000.000000,0.000000,0.000000,0.000000,-10748000.000000,-10451000.000000,,-10451000.000000,-10748000.000000,-10748000.000000,-979.600000,-979.600000,-979.600000,-58016000.000000,,-58016000.000000,208121624.000000,,,-10173000.000000,-721.252000,1.000000,0.000000,,0.000000,0.000000,-73000.000000,,0.000000,0.000000,0.000000,0.000000,113624000.000000,8633000.000000,104991000.000000,7855000.000000,0.000000,0.000000,0.000000,0.000000,18073000.000000,-853000.000000,0.000000,-9364000.000000,-1000.000000,-10748000.000000,-13818000.000000,-13818000.000000,0.000000,0.000000,,11876000.000000,-11876000.000000,1325000.000000,0.000000,-4.398000,,,3081000.000000,3070000.000000,468.400000,,,0.000000,-113914000.000000,0.000000,0.000000,9219000.000000,,,,,435000.000000,2657000.000000,1.000000,544769.000000,14105.000000,14105.000000,0.000000,55608000.000000,0.000000,0.000000,0.000000,3942.530000
ARQ,2014-06-30,2014-08-07,2014-06-30,2014-Q2,85928000.000000,457823552.000000,2025-05-16,95000.000000,97016000.000000,,93489000.000000,3527000.000000,,199.379000,-236000.000000,92074000.000000,92074000.000000,0.000000,-10167000.000000,12.365000,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000,246000.000000,0.000000,0.000000,0.000000,-10167000.000000,-9921000.000000,,-9921000.000000,-10167000.000000,-10167000.000000,-36.400000,-36.400000,-36.400000,89163000.000000,,89163000.000000,365749552.000000,,,-10114000.000000,-22.616000,1.000000,0.000000,,0.000000,0.000000,-2619000.000000,,0.000000,0.000000,0.000000,0.000000,7853000.000000,7561000.000000,292000.000000,44799000.000000,0.000000,55046000.000000,0.000000,0.000000,55140000.000000,-463000.000000,0.000000,-9878000.000000,0.000000,-10167000.000000,-16251000.000000,-16251000.000000,0.000000,0.000000,,11638000.000000,-11638000.000000,1461000.000000,0.000000,5.135000,,,3264000.000000,6084000.000000,840.400000,,,0.000000,-124080000.000000,0.000000,0.000000,9125000.000000,,,,,673000.000000,2513000.000000,1.000000,544769.000000,447204.000000,447204.000000,0.000000,97016000.000000,0.000000,0.000000,0.000000,216.939000
ARQ,2014-06-30,2014-09-30,2014-06-30,2014-Q2,85928000.000000,444749105.000000,2025-05-16,95000.000000,97016000.000000,,93489000.000000,3527000.000000,,384.586000,-236000.000000,92074000.000000,92074000.000000,0.000000,-10166000.000000,12.365000,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000,246000.000000,0.000000,0.000000,0.000000,-10166000.000000,-9920000.000000,,-9920000.000000,-10166000.000000,-10166000.000000,850.000000,850.000000,850.000000,89163000.000000,,89163000.000000,352675105.000000,-9.000000,-9.500000,-10114000.000000,-43.625000,1.000000,0.000000,,0.000000,0.000000,-2619000.000000,,0.000000,0.000000,0.000000,0.000000,7853000.000000,7561000.000000,292000.000000,44799000.000000,0.000000,55046000.000000,0.000000,0.000000,55140000.000000,-463000.000000,0.000000,-9878000.000000,0.000000,-10166000.000000,-16250000.000000,-16250000.000000,0.000000,0.000000,,11639000.000000,-11639000.000000,1461000.000000,0.000000,4.988000,-8.627000,-0.486000,3264000.000000,6084000.000000,816.400000,,,0.000000,-124080000.000000,0.000000,0.000000,9126000.000000,,,,,673000.000000,2513000.000000,1.000000,544769.000000,231842.000000,231842.000000,0.000000,97016000.000000,0.000000,0.000000,0.000000,418.458000
ARQ,2014-09-30,2014-11-13,2014-09-30,2014-Q3,74085000.000000,424921820.000000,2025-05-16,95000.000000,85831000.000000,,82583000.000000,3248000.000000,,141.642000,-320000.000000,80547000.000000,80547000.000000,0.000000,-12798000.000000,9.718000,0.114000,0.000000,0.000000,0.000000,0.000000,0.000000,310000.000000,0.000000,0.000000,0.000000,-12798000.000000,-12488000.000000,,-12488000.000000,-12798000.000000,-12798000.000000,-23.600000,-23.600000,-23.600000,77050000.000000,,77050000.000000,344374820.000000,,,-11510000.000000,-21.159000,1.000000,0.000000,,0.000000,0.000000,-3214000.000000,,0.000000,0.000000,0.000000,0.000000,8781000.000000,8498000.000000,283000.000000,-11749000.000000,0.000000,1000.000000,0.000000,0.000000,-18000.000000,-541000.000000,0.000000,-11190000.000000,0.000000,-12798000.000000,-12798000.000000,-12798000.000000,0.000000,0.000000,,12810000.000000,-12810000.000000,696000.000000,0.000000,5.515000,,,2985000.000000,0.000000,712.800000,,,0.000000,-136878000.000000,0.000000,0.000000,10244000.000000,,,,,657000.000000,2566000.000000,1.000000,596130.000000,543977.000000,543977.000000,0.000000,85831000.000000,0.000000,0.000000,0.000000,157.784000
ARQ,2014-12-31,2015-03-20,2014-12-31,2014-Q4,94538000.000000,596475651.000000,2025-05-16,89000.000000,108082000.000000,,104816000.000000,3266000.000000,,243.080000,-44000.000000,103830000.000000,103830000.000000,0.000000,-13955000.000000,10.198000,0.108000,0.000000,0.000000,0.000000,0.000000,0.000000,234000.000000,0.000000,0.000000,0.000000,-13955000.000000,-13721000.000000,,-13721000.000000,-13955000.000000,-13955000.000000,-14.400000,-14.400000,-14.400000,97563000.000000,,97563000.000000,492645651.000000,-10.000000,-10.576000,-10437000.000000,-26.004000,1.000000,0.000000,,0.000000,0.000000,-6026000.000000,,0.000000,0.000000,0.000000,0.000000,10519000.000000,10278000.000000,241000.000000,23147000.000000,0.000000,33704000.000000,0.000000,0.000000,33723000.000000,-183000.000000,0.000000,-10393000.000000,0.000000,-13955000.000000,-13955000.000000,-13955000.000000,0.000000,0.000000,,14017000.000000,-14017000.000000,1153000.000000,0.000000,6.114000,-10.497000,-7.023000,3068000.000000,0.000000,994.400000,,,0.000000,-150833000.000000,0.000000,0.000000,10890000.000000,,,,,745000.000000,3127000.000000,1.000000,599835.000000,401361.000000,401361.000000,0.000000,108082000.000000,0.000000,0.000000,0.000000,269.289000
ARQ,2015-03-31,2015-05-12,2015-03-31,2015-Q1,79672000.000000,588301668.000000,2025-05-16,90000.000000,94924000.000000,,90618000.000000,4306000.000000,,139.790000,-674000.000000,89790000.000000,89790000.000000,0.000000,-14758000.000000,8.279000,0.133000,0.000000,0.000000,0.000000,0.000000,0.000000,294000.000000,0.000000,0.000000,0.000000,-14758000.000000,-14464000.000000,,-14464000.000000,-14758000.000000,-14758000.000000,-24.800000,-24.800000,-24.800000,83778000.000000,,83778000.000000,498511668.000000,-10.000000,-9.853000,-14180000.000000,-23.660000,1.000000,0.000000,,0.000000,0.000000,-5812000.000000,,0.000000,0.000000,0.000000,0.000000,11146000.000000,10946000.000000,200000.000000,-13981000.000000,0.000000,139000.000000,0.000000,0.000000,139000.000000,-615000.000000,0.000000,-13506000.000000,1000.000000,-14758000.000000,-14758000.000000,-14758000.000000,0.000000,0.000000,,14817000.000000,-14817000.000000,1128000.000000,0.000000,7.022000,-10.185000,1.245000,4108000.000000,0.000000,980.000000,,,0.000000,-165590000.000000,0.000000,0.000000,11753000.000000,,,,,803000.000000,3064000.000000,1.000000,600308.000000,599315.000000,599315.000000,0.000000,94924000.000000,0.000000,0.000000,0.000000,158.387000
ARQ,2015-06-30,2015-08-06,2015-06-30,2015-Q2,65469000.000000,448614415.000000,2025-05-16,88000.000000,79872000.000000,,75446000.000000,4426000.000000,,116.243000,-1306000.000000,73363000.000000,73363000.000000,0.000000,-15106000.000000,7.562000,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000,328000.000000,0.000000,0.000000,0.000000,-15106000.000000,-14778000.000000,,-14778000.000000,-15106000.000000,-15106000.000000,-25.200000,-25.200000,-25.200000,69736000.000000,,69736000.000000,375251415.000000,-7.000000,-6.767000,-16423000.000000,-27.376000,1.000000,0.000000,,0.000000,0.000000,-3468000.000000,,0.000000,0.000000,0.000000,0.000000,10136000.000000,9977000.000000,159000.000000,-16311000.000000,0.000000,47000.000000,0.000000,0.000000,-4000.000000,-1190000.000000,0.000000,-15117000.000000,0.000000,-15106000.000000,-15106000.000000,-15106000.000000,0.000000,0.000000,,15078000.000000,-15078000.000000,920000.000000,0.000000,6.433000,-7.924000,-8.491000,4212000.000000,0.000000,747.200000,,,0.000000,-180697000.000000,0.000000,0.000000,11545000.000000,,,,,998000.000000,3533000.000000,1.000000,600394.000000,599913.000000,599913.000000,0.000000,79872000.000000,0.000000,0.000000,0.000000,133.139000
ARQ,2015-09-30,2015-11-05,2015-09-30,2015-Q3,54490000.000000,243101231.000000,2025-05-16,81000.000000,66943000.000000,,62609000.000000,4334000.000000,,97.693000,-312000.000000,60823000.000000,60823000.000000,0.000000,-12300000.000000,7.711000,0.141000,0.000000,0.000000,0.000000,0.000000,0.000000,325000.000000,0.000000,0.000000,0.000000,-12300000.000000,-11975000.000000,,-11975000.000000,-12300000.000000,-12300000.000000,-20.400000,-20.400000,-20.400000,58678000.000000,,58678000.000000,182278231.000000,-3.000000,-3.318000,-12350000.000000,-20.562000,1.000000,0.000000,,0.000000,0.000000,-1999000.000000,,0.000000,0.000000,0.000000,0.000000,8265000.000000,8119000.000000,146000.000000,-12192000.000000,0.000000,88000.000000,0.000000,0.000000,-182000.000000,36000.000000,0.000000,-12038000.000000,-8000.000000,-12300000.000000,-12300000.000000,-12300000.000000,0.000000,0.000000,,12335000.000000,-12335000.000000,549000.000000,0.000000,4.143000,-4.332000,-3.769000,4163000.000000,0.000000,319.600000,,,0.000000,-192996000.000000,0.000000,0.000000,9646000.000000,,,,,1142000.000000,2689000.000000,1.000000,760642.000000,600637.000000,600637.000000,0.000000,66943000.000000,0.000000,0.000000,0.000000,111.453000
ARQ,2015-12-31,2016-03-08,2015-12-31,2015-Q4,78433000.000000,267259462.000000,2025-05-16,80000.000000,89081000.000000,,85088000.000000,3993000.000000,,115.073000,-48000.000000,83949000.000000,83949000.000000,0.000000,-9859000.000000,12.786000,0.082000,0.000000,0.000000,0.000000,0.000000,0.000000,381000.000000,0.000000,0.000000,0.000000,-9859000.000000,-9478000.000000,,-9478000.000000,-9859000.000000,-9859000.000000,-12.400000,-12.400000,-12.400000,82325000.000000,,82325000.000000,183310462.000000,-4.000000,-3.616000,-9339000.000000,-13.054000,1.000000,0.000000,,0.000000,0.000000,-1523000.000000,,0.000000,0.000000,0.000000,0.000000,6756000.000000,6655000.000000,101000.000000,23662000.000000,0.000000,32430000.000000,0.000000,0.000000,32468000.000000,488000.000000,0.000000,-9291000.000000,-3000.000000,-9859000.000000,-9859000.000000,-9859000.000000,0.000000,0.000000,,9889000.000000,-9889000.000000,1221000.000000,0.000000,3.246000,-5.137000,-4.237000,3809000.000000,0.000000,350.800000,,,0.000000,-202856000.000000,0.000000,0.000000,6828000.000000,,,,,1086000.000000,3061000.000000,1.000000,761857.000000,715415.000000,715415.000000,0.000000,89081000.000000,0.000000,0.000000,0.000000,124.517000
