dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,22047000.000000,543864048.000000,2025-04-29,-73000.000000,66876000.000000,,43175000.000000,23701000.000000,,1.114000,,7628000.000000,7628000.000000,,,2.043000,0.478000,110000.000000,73000.000000,37000.000000,110000.000000,14878000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,45247000.000000,,45247000.000000,536346048.000000,-82.000000,-6704.326000,,,1.000000,,,0.000000,,38230000.000000,,0.000000,30622000.000000,30622000.000000,0.000000,21629000.000000,21128000.000000,501000.000000,,,,,,,,,,,,,,,,,,,4670000.000000,,12.020000,-80.441000,-77.381000,22936000.000000,,13.000000,13.016000,12.639000,2469000.000000,-36522000.000000,,,,,,,,,,1.000000,41835696.000000,40624000.000000,,,66876000.000000,0.000000,,0.000000,1.646000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,16951000.000000,563382829.000000,2025-04-29,-134000.000000,79609000.000000,,49822000.000000,29787000.000000,,1.010000,-4625000.000000,8008000.000000,8008000.000000,0.000000,981000.000000,1.516000,0.721000,77000.000000,49000.000000,28000.000000,77000.000000,25946000.000000,2238000.000000,0.000000,0.000000,0.000000,1033000.000000,3271000.000000,0.183000,3271000.000000,1033000.000000,1033000.000000,0.022000,,0.022000,46258000.000000,,46258000.000000,555451829.000000,,,323000.000000,0.007000,1.000000,17859000.000000,1.000000,0.000000,0.000000,38807000.000000,,0.000000,30539000.000000,30539000.000000,0.000000,33351000.000000,32871000.000000,480000.000000,380000.000000,0.000000,91000.000000,-33000.000000,0.000000,58000.000000,-4626000.000000,-1000.000000,4948000.000000,0.000000,981000.000000,981000.000000,981000.000000,0.000000,0.000000,0.055000,17304000.000000,555000.000000,3953000.000000,0.000000,12.179000,,,25346000.000000,0.000000,13.438000,,,8678000.000000,-35541000.000000,17859000.000000,17859000.000000,14730000.000000,,,,,0.000000,2574000.000000,1.000000,41926164.000000,45812000.000000,,0.390000,79609000.000000,0.000000,52000.000000,0.000000,1.738000
ARQ,1997-06-30,1997-07-30,1997-06-30,1997-Q2,17116000.000000,688462071.000000,2025-04-29,-30000.000000,76608000.000000,,43795000.000000,32813000.000000,,1.082000,-2814000.000000,11303000.000000,11303000.000000,0.000000,1942000.000000,1.642000,0.548000,57000.000000,34000.000000,23000.000000,57000.000000,18453000.000000,2409000.000000,0.000000,0.000000,0.000000,2048000.000000,4457000.000000,0.210000,4457000.000000,2048000.000000,2048000.000000,0.043000,,0.043000,49476000.000000,,49476000.000000,677216071.000000,,,3114000.000000,0.068000,1.000000,21192000.000000,1.000000,0.000000,0.000000,38683000.000000,,0.000000,31910000.000000,26597000.000000,5313000.000000,27132000.000000,26679000.000000,453000.000000,3295000.000000,0.000000,1172000.000000,-20000.000000,0.000000,1152000.000000,-3785000.000000,-971000.000000,5928000.000000,0.000000,1942000.000000,1942000.000000,1942000.000000,0.000000,0.000000,0.092000,19669000.000000,1523000.000000,3604000.000000,0.000000,13.915000,,,25768000.000000,0.000000,16.282000,,,3966000.000000,-33599000.000000,21192000.000000,21192000.000000,16764000.000000,,,,,0.000000,2905000.000000,1.000000,42282332.000000,45736000.000000,,0.463000,76608000.000000,0.000000,106000.000000,0.000000,1.675000
ARQ,1997-09-30,1997-11-13,1997-09-30,1997-Q3,94020000.000000,979075882.000000,2025-04-29,28000.000000,181058000.000000,,133518000.000000,47540000.000000,,2.846000,-7118000.000000,57286000.000000,57286000.000000,0.000000,3044000.000000,3.380000,0.283000,67000.000000,48000.000000,19000.000000,67000.000000,22629000.000000,2613000.000000,0.000000,0.000000,0.000000,3199000.000000,5812000.000000,0.256000,5812000.000000,3199000.000000,3199000.000000,0.060000,,0.060000,141136000.000000,,141136000.000000,921856882.000000,,,-771000.000000,-0.016000,1.000000,22662000.000000,1.000000,0.000000,0.000000,84341000.000000,,0.000000,79856000.000000,65006000.000000,14850000.000000,39922000.000000,39498000.000000,424000.000000,39983000.000000,0.000000,88558000.000000,10000.000000,0.000000,88568000.000000,-54932000.000000,-41814000.000000,6347000.000000,0.000000,3044000.000000,3044000.000000,3044000.000000,0.000000,0.000000,0.134000,20734000.000000,1928000.000000,4402000.000000,0.000000,6.937000,,,30199000.000000,0.000000,20.375000,,,9256000.000000,-30555000.000000,22662000.000000,22662000.000000,17482000.000000,,,,,0.000000,3252000.000000,1.000000,48052804.000000,49592000.000000,,0.457000,181058000.000000,0.000000,155000.000000,0.000000,3.651000
ARQ,1997-12-31,1998-03-30,1997-12-31,1997-Q4,91523000.000000,1267256689.000000,2025-04-29,56000.000000,193090000.000000,,138168000.000000,54922000.000000,,3.286000,-9883000.000000,57169000.000000,57169000.000000,0.000000,4441000.000000,2.962000,0.322000,0.000000,0.000000,0.000000,0.000000,27090000.000000,3152000.000000,0.000000,0.000000,0.000000,4827000.000000,7979000.000000,0.300000,7979000.000000,4827000.000000,4675000.000000,0.110000,,0.110000,146019000.000000,,146019000.000000,1210087689.000000,109.000000,56.231000,-8388000.000000,-0.189000,1.000000,26637000.000000,1.000000,0.000000,152000.000000,89276000.000000,,0.000000,72297000.000000,57497000.000000,14800000.000000,47071000.000000,46645000.000000,426000.000000,-117000.000000,0.000000,414000.000000,35000.000000,0.000000,449000.000000,-2058000.000000,7825000.000000,1495000.000000,-3000.000000,4441000.000000,4441000.000000,4441000.000000,0.000000,0.000000,0.167000,23355000.000000,3282000.000000,11503000.000000,0.000000,8.679000,121.758000,101.723000,36943000.000000,0.000000,23.905000,14.343000,12.021000,19851000.000000,-26114000.000000,26637000.000000,26637000.000000,19952000.000000,,,,,0.000000,3403000.000000,1.000000,53012202.000000,44430000.000000,,0.600000,193090000.000000,0.000000,234000.000000,0.000000,4.346000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,85450000.000000,989663756.000000,2025-04-29,-54000.000000,219097000.000000,,152190000.000000,66907000.000000,,2.859000,-9067000.000000,48726000.000000,48726000.000000,0.000000,3566000.000000,2.280000,0.448000,626000.000000,0.000000,626000.000000,626000.000000,44964000.000000,3515000.000000,0.000000,0.000000,0.000000,4146000.000000,7661000.000000,0.252000,7661000.000000,4146000.000000,4146000.000000,0.065000,0.060000,0.065000,151349000.000000,,151349000.000000,941563756.000000,66.000000,36.341000,22598000.000000,0.427000,1.000000,30379000.000000,1.000000,0.000000,0.000000,104257000.000000,,0.000000,108953000.000000,89713000.000000,19240000.000000,67748000.000000,66740000.000000,1008000.000000,-13150000.000000,0.000000,1734000.000000,-77000.000000,0.000000,1657000.000000,-46472000.000000,-37405000.000000,31665000.000000,0.000000,3566000.000000,3566000.000000,3566000.000000,0.000000,0.000000,0.117000,27470000.000000,2909000.000000,6663000.000000,0.000000,6.539000,76.169000,67.347000,43369000.000000,0.000000,18.655000,9.811000,9.791000,8626000.000000,-28307000.000000,30379000.000000,30379000.000000,21699000.000000,,,,,176000.000000,4600000.000000,1.000000,53050858.000000,52940000.000000,57832000.000000,0.574000,219097000.000000,0.000000,580000.000000,0.000000,4.139000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,86792000.000000,876697327.000000,2025-04-29,7000.000000,219188000.000000,,147196000.000000,71992000.000000,,2.966000,-6258000.000000,36944000.000000,36944000.000000,0.000000,5207000.000000,2.437000,0.388000,0.000000,0.000000,0.000000,0.000000,43213000.000000,3974000.000000,0.000000,0.000000,0.000000,6055000.000000,10029000.000000,0.303000,10029000.000000,6055000.000000,6055000.000000,0.100000,0.090000,0.100000,157876000.000000,,157876000.000000,839753327.000000,46.000000,26.675000,-4829000.000000,-0.091000,1.000000,33093000.000000,1.000000,0.000000,0.000000,121840000.000000,,0.000000,114820000.000000,93766000.000000,21054000.000000,61312000.000000,60404000.000000,908000.000000,-9504000.000000,0.000000,1189000.000000,-58000.000000,0.000000,1131000.000000,-12064000.000000,-5806000.000000,1429000.000000,0.000000,5207000.000000,5207000.000000,5207000.000000,0.000000,0.000000,0.157000,28842000.000000,4251000.000000,3527000.000000,0.000000,5.553000,53.924000,49.075000,45653000.000000,0.000000,16.440000,7.774000,7.759000,10970000.000000,-23100000.000000,33093000.000000,33093000.000000,23120000.000000,,,,,70000.000000,5722000.000000,1.000000,53327088.000000,53220000.000000,57334000.000000,0.622000,219188000.000000,0.000000,848000.000000,0.000000,4.119000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,81833000.000000,832407180.000000,2025-04-29,750000.000000,232959000.000000,,137553000.000000,95406000.000000,,3.276000,-6168000.000000,45350000.000000,45350000.000000,0.000000,-6786000.000000,2.469000,0.326000,0.000000,0.000000,0.000000,0.000000,34437000.000000,4177000.000000,0.000000,0.000000,0.000000,-6103000.000000,-1926000.000000,-0.056000,-1926000.000000,-6103000.000000,-6103000.000000,-0.125000,-0.125000,-0.125000,175729000.000000,,175729000.000000,787057180.000000,88.000000,33.149000,2716000.000000,0.051000,1.000000,34692000.000000,1.000000,17553000.000000,0.000000,114336000.000000,,0.000000,102166000.000000,80861000.000000,21305000.000000,57230000.000000,55720000.000000,1510000.000000,12406000.000000,-3977000.000000,355000.000000,-85000.000000,0.000000,270000.000000,3252000.000000,13397000.000000,8884000.000000,0.000000,-6786000.000000,-6786000.000000,-6786000.000000,0.000000,0.000000,-0.196000,42614000.000000,-7922000.000000,5650000.000000,0.000000,4.737000,129.497000,100.000000,50326000.000000,0.000000,15.000000,6.670000,6.447000,4079000.000000,-29886000.000000,34692000.000000,34692000.000000,24762000.000000,,,,,102000.000000,6874000.000000,1.000000,55493812.000000,53642000.000000,53642000.000000,0.647000,215406000.000000,0.000000,683000.000000,0.000000,4.016000
ARQ,1998-12-31,1999-03-25,1998-12-31,1998-Q4,81437000.000000,608526655.000000,2025-04-29,-10000.000000,230290000.000000,,131364000.000000,98926000.000000,,3.232000,-9217000.000000,50048000.000000,50048000.000000,0.000000,1485000.000000,2.631000,0.282000,796000.000000,0.000000,796000.000000,796000.000000,29054000.000000,6161000.000000,0.000000,0.000000,0.000000,1876000.000000,8037000.000000,0.219000,8037000.000000,1876000.000000,1726000.000000,0.030000,0.025000,0.030000,179567000.000000,,179567000.000000,559274655.000000,94.000000,23.498000,-14962000.000000,-0.269000,1.000000,36647000.000000,1.000000,16955000.000000,150000.000000,114156000.000000,,0.000000,81838000.000000,61185000.000000,20653000.000000,50723000.000000,49927000.000000,796000.000000,4698000.000000,0.000000,1471000.000000,-561000.000000,0.000000,926000.000000,9921000.000000,19138000.000000,-5745000.000000,-404000.000000,1485000.000000,1485000.000000,1485000.000000,0.000000,0.000000,0.041000,35853000.000000,794000.000000,8244000.000000,0.000000,3.389000,175.267000,167.769000,54429000.000000,0.000000,10.905000,4.514000,4.355000,14318000.000000,-28401000.000000,36647000.000000,36647000.000000,27611000.000000,,,,,-348000.000000,8242000.000000,1.000000,55802536.000000,55564000.000000,58674000.000000,0.660000,213335000.000000,0.000000,241000.000000,0.000000,3.839000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,76352000.000000,645612563.000000,2025-04-29,-562000.000000,250755000.000000,,148985000.000000,101770000.000000,,3.185000,-8927000.000000,83546000.000000,83546000.000000,0.000000,-1910000.000000,2.051000,0.412000,549000.000000,0.000000,549000.000000,549000.000000,53087000.000000,5337000.000000,0.000000,0.000000,0.000000,-1910000.000000,3427000.000000,0.091000,3427000.000000,-1910000.000000,-1910000.000000,-0.035000,-0.035000,-0.035000,177573000.000000,,177573000.000000,562615563.000000,-6861.000000,28.753000,22735000.000000,0.408000,1.000000,37630000.000000,1.000000,16358000.000000,0.000000,78767000.000000,,0.000000,69226000.000000,50184000.000000,19042000.000000,73182000.000000,72633000.000000,549000.000000,33498000.000000,0.000000,368000.000000,-289000.000000,0.000000,79000.000000,1907000.000000,10834000.000000,31662000.000000,-150000.000000,-1910000.000000,-1910000.000000,-1910000.000000,0.000000,0.000000,-0.051000,39623000.000000,-1993000.000000,6493000.000000,0.000000,3.636000,-322.162000,-385.500000,58616000.000000,0.000000,11.565000,4.545000,4.539000,9713000.000000,-30311000.000000,37630000.000000,37630000.000000,31244000.000000,,,,,100000.000000,8379000.000000,1.000000,55824692.000000,55758000.000000,55758000.000000,0.675000,234397000.000000,0.000000,0.000000,0.000000,4.204000
