dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-11-20,2017-12-31,2017-Q4,1589753.000000,,2025-05-08,32042.000000,18413470.000000,,1899470.000000,16514000.000000,,2.758000,,1370711.000000,1370711.000000,,,6.133000,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,18103753.000000,,18103753.000000,,,,,,1.000000,,,16514000.000000,,219042.000000,,0.000000,0.000000,0.000000,0.000000,309717.000000,309717.000000,0.000000,,,,,,,,,,,,,,,,,,,309717.000000,,,,,0.000000,,,,,109124.000000,-1157845.000000,,,,,,,,,,1.000000,9719441.000000,6564326.000000,,,1899470.000000,218484.000000,,0.000000,0.289000
ARQ,2018-12-31,2019-03-29,2018-12-31,2018-Q4,25576.000000,76461049.000000,2025-05-08,6529.000000,17363342.000000,,849342.000000,16514000.000000,,1.906000,,186204.000000,186204.000000,,,1.031000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,16539576.000000,,16539576.000000,76274845.000000,-6.000000,-6.131000,,,1.000000,,,16514000.000000,,-160628.000000,,0.000000,0.000000,0.000000,0.000000,823766.000000,823766.000000,0.000000,,,,,,,,,,,,,,,,,,,823766.000000,,4.623000,-6.146000,-5.490000,0.000000,,7.850000,,,17989.000000,-13597868.000000,,,,,,,,,,1.000000,9740261.000000,8676701.000000,,,849342.000000,629597.000000,,0.000000,0.098000
ARQ,2019-03-31,2019-05-15,2019-03-31,2019-Q1,6349650.000000,111450457.000000,2025-05-08,5807.000000,23644510.000000,,7130510.000000,16514000.000000,,2.435000,0.000000,6048922.000000,6048922.000000,0.000000,-1901045.000000,9.132000,0.034000,0.000000,0.000000,0.000000,0.000000,300000.000000,0.000000,0.000000,0.000000,0.000000,-1901045.000000,-1901045.000000,,-1901045.000000,-1901045.000000,-1901045.000000,-0.200000,-0.200000,-0.200000,22863650.000000,,22863650.000000,105401535.000000,,,-1387702.000000,-0.148000,1.000000,0.000000,,16514000.000000,0.000000,300728.000000,,0.000000,0.000000,0.000000,0.000000,780860.000000,780860.000000,0.000000,5862718.000000,0.000000,7251142.000000,0.000000,0.000000,7251142.000000,0.000000,0.000000,-1387702.000000,-722.000000,-1901045.000000,-1901045.000000,-1901045.000000,0.000000,0.000000,,1911087.000000,-1911087.000000,480860.000000,0.000000,4.875000,,,0.000000,0.000000,10.860000,,,34525.000000,-15498913.000000,0.000000,0.000000,101592.000000,,,,,974699.000000,1809495.000000,1.000000,10262473.000000,9388645.000000,9388645.000000,0.000000,7130510.000000,771289.000000,0.000000,0.000000,0.759000
ARQ,2019-06-30,2019-08-09,2019-06-30,2019-Q2,10290945.000000,71355196.000000,2025-05-08,-19207.000000,27529817.000000,,10806583.000000,16723234.000000,,2.644000,0.000000,9363964.000000,9363964.000000,0.000000,-392083.000000,20.958000,0.026000,184581.000000,7530.000000,177051.000000,184581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-392083.000000,-392083.000000,,-392083.000000,-392083.000000,-392083.000000,-0.040000,-0.040000,-0.040000,26837128.000000,,26837128.000000,62175813.000000,,,-1617823.000000,-0.159000,1.000000,0.000000,,16514000.000000,0.000000,1320796.000000,,0.000000,0.000000,0.000000,0.000000,692689.000000,515638.000000,177051.000000,3315042.000000,0.000000,4957879.000000,0.000000,0.000000,4957879.000000,0.000000,0.000000,-1617823.000000,-25014.000000,-392083.000000,-392083.000000,-392083.000000,0.000000,0.000000,,428423.000000,-428423.000000,508108.000000,0.000000,2.659000,,,209234.000000,0.000000,6.630000,,,49329.000000,-15890996.000000,0.000000,0.000000,293812.000000,,,,,974696.000000,1676611.000000,1.000000,10762473.000000,10150810.000000,10150810.000000,0.000000,11015817.000000,948384.000000,0.000000,0.000000,1.085000
ARQ,2019-09-30,2019-11-08,2019-09-30,2019-Q3,8167615.000000,48684685.000000,2025-05-08,-54749.000000,25396335.000000,,8683119.000000,16713216.000000,,2.296000,0.000000,7382661.000000,7382661.000000,0.000000,-3066966.000000,16.844000,0.028000,187670.000000,16155.000000,171515.000000,187670.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3066966.000000,-3066966.000000,,-3066966.000000,-3066966.000000,-3066966.000000,-0.280000,-0.280000,-0.280000,24709316.000000,,24709316.000000,41489694.000000,,,-1945761.000000,-0.181000,1.000000,0.000000,,16514000.000000,0.000000,1171840.000000,,0.000000,0.000000,0.000000,0.000000,687019.000000,515504.000000,171515.000000,-1981303.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1945761.000000,-35542.000000,-3066966.000000,-3066966.000000,-3066966.000000,0.000000,0.000000,,3084186.000000,-3084186.000000,499349.000000,0.000000,1.970000,,,199216.000000,0.000000,4.520000,,,0.000000,-18957962.000000,0.000000,0.000000,1167986.000000,,,,,974696.000000,1916200.000000,1.000000,10770948.000000,10762473.000000,10762473.000000,0.000000,8882335.000000,1059826.000000,0.000000,0.000000,0.825000
ARQ,2019-12-31,2020-03-11,2019-12-31,2019-Q4,7064399.000000,51585350.000000,2025-05-08,-8515.000000,24470321.000000,,7764778.000000,16705543.000000,,2.191000,0.000000,6995525.000000,6995525.000000,0.000000,-2318219.000000,11.087000,0.036000,168452.000000,8288.000000,160164.000000,168452.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2318219.000000,-2318219.000000,,-2318219.000000,-2318219.000000,-2318219.000000,-0.220000,-0.220000,-0.220000,23609778.000000,,23609778.000000,44758277.000000,-6.000000,-5.829000,-433370.000000,-0.040000,1.000000,0.000000,,16514000.000000,0.000000,428869.000000,,0.000000,0.000000,0.000000,0.000000,860543.000000,700379.000000,160164.000000,-387136.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-433370.000000,46234.000000,-2318219.000000,-2318219.000000,-2318219.000000,0.000000,0.000000,,2332305.000000,-2332305.000000,692091.000000,0.000000,2.185000,-6.718000,-6.400000,191543.000000,0.000000,4.800000,,,0.000000,-21276181.000000,0.000000,0.000000,866555.000000,,,,,1172447.000000,1465750.000000,1.000000,10746948.000000,10773539.000000,10773539.000000,0.000000,7956321.000000,645364.000000,0.000000,0.000000,0.739000
ARQ,2020-03-31,2020-05-14,2020-03-31,2020-Q1,5864407.000000,58001380.000000,2025-05-08,-29252.000000,23677979.000000,,6981299.000000,16696680.000000,,2.085000,0.000000,5930536.000000,5930536.000000,0.000000,-2070407.000000,6.251000,0.057000,172696.000000,18353.000000,154343.000000,172696.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2070407.000000,-2070407.000000,,-2070407.000000,-2070407.000000,-2070407.000000,-0.190000,-0.190000,-0.190000,22406744.000000,,22406744.000000,52243540.000000,-7.000000,-6.657000,-1034896.000000,-0.096000,1.000000,0.000000,,16514000.000000,0.000000,289247.000000,,0.000000,0.000000,0.000000,0.000000,1271235.000000,1116892.000000,154343.000000,-1064989.000000,0.000000,-9356.000000,0.000000,0.000000,-9356.000000,0.000000,0.000000,-1034896.000000,-20737.000000,-2070407.000000,-2070407.000000,-2070407.000000,0.000000,0.000000,,2092261.000000,-2092261.000000,798539.000000,0.000000,2.589000,-7.391000,-7.342000,182680.000000,0.000000,5.360000,,,0.000000,-23346588.000000,0.000000,0.000000,792787.000000,,,,,681705.000000,1299474.000000,1.000000,10821153.000000,10747300.000000,10747300.000000,0.000000,7163979.000000,784322.000000,0.000000,0.000000,0.667000
ARQ,2020-06-30,2020-08-05,2020-06-30,2020-Q2,5141649.000000,159627143.000000,2025-05-08,10126.000000,23047545.000000,,6358896.000000,16688649.000000,,2.008000,0.000000,4816561.000000,4816561.000000,0.000000,-2107804.000000,5.224000,0.063000,152380.000000,6950.000000,145430.000000,152380.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2107804.000000,-2107804.000000,,-2107804.000000,-2107804.000000,-2107804.000000,-0.200000,-0.200000,-0.200000,21684868.000000,,21684868.000000,154962962.000000,-16.000000,-16.204000,-1818198.000000,-0.168000,1.000000,0.000000,,16514000.000000,0.000000,652117.000000,,0.000000,0.000000,0.000000,0.000000,1362677.000000,1217247.000000,145430.000000,-1113975.000000,0.000000,664845.000000,0.000000,0.000000,664845.000000,0.000000,0.000000,-1818198.000000,39378.000000,-2107804.000000,-2107804.000000,-2107804.000000,0.000000,0.000000,,2107409.000000,-2107409.000000,848455.000000,0.000000,7.361000,-16.691000,-13.337000,174649.000000,0.000000,11.870000,,,0.000000,-25454392.000000,0.000000,0.000000,903043.000000,,,,,681705.000000,1204366.000000,1.000000,13447948.000000,10800708.000000,10800708.000000,0.000000,6533545.000000,1199843.000000,0.000000,0.000000,0.605000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,24662948.000000,113635161.000000,2025-05-08,-37735.000000,42816446.000000,,26137058.000000,16679388.000000,,3.188000,0.000000,24311153.000000,24311153.000000,0.000000,-4716662.000000,17.731000,0.039000,156226.000000,20183.000000,136043.000000,156226.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4716662.000000,-4716662.000000,,-4716662.000000,-4716662.000000,-4716662.000000,-0.360000,-0.360000,-0.360000,41206293.000000,,41206293.000000,89480234.000000,-8.000000,-7.980000,-3697839.000000,-0.286000,1.000000,0.000000,,16514000.000000,0.000000,673409.000000,,0.000000,0.000000,0.000000,0.000000,1610153.000000,1474110.000000,136043.000000,19494592.000000,0.000000,23240292.000000,0.000000,0.000000,23240292.000000,0.000000,0.000000,-3697839.000000,-47861.000000,-4716662.000000,-4716662.000000,-4716662.000000,0.000000,0.000000,,4819146.000000,-4819146.000000,1200218.000000,0.000000,2.758000,-10.134000,-8.711000,165388.000000,0.000000,8.450000,,,0.000000,-30171054.000000,0.000000,0.000000,2362880.000000,,,,,1045656.000000,2456266.000000,1.000000,13447948.000000,12926539.000000,12926539.000000,0.000000,26302446.000000,1609034.000000,0.000000,0.000000,2.035000
ARQ,2020-12-31,2021-03-04,2020-12-31,2020-Q4,22209460.000000,229514646.000000,2025-05-08,10708.000000,40655936.000000,,23985722.000000,16670214.000000,,2.878000,0.000000,21966883.000000,21966883.000000,0.000000,-3204286.000000,13.503000,0.049000,160159.000000,33873.000000,126286.000000,160159.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3204286.000000,-3204286.000000,-293.540000,-3204286.000000,-3204286.000000,-3204286.000000,-0.240000,-0.240000,-0.240000,38753388.000000,,38753388.000000,207707922.000000,-17.000000,-17.167000,-2392713.000000,-0.178000,1.000000,10916.000000,1.000000,16514000.000000,0.000000,558950.000000,,0.000000,0.000000,0.000000,0.000000,1902548.000000,1776262.000000,126286.000000,-2344270.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2392713.000000,48443.000000,-3204286.000000,-3204286.000000,-3204286.000000,0.000000,0.000000,-293.540000,3219776.000000,-3208860.000000,1551777.000000,0.000000,5.922000,-18.969000,-15.218000,156214.000000,0.000000,15.370000,21025.526000,16880.093000,0.000000,-33375340.000000,10916.000000,10916.000000,1858785.000000,,,,,702938.000000,1360991.000000,1.000000,14932638.000000,13463709.000000,13463709.000000,0.001000,24141936.000000,1798749.000000,0.000000,0.000000,1.793000
