dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-03-31,2000-07-17,2000-03-31,2000-Q1,4124000.000000,344926942.000000,2025-05-09,-12000.000000,6643000.000000,,5470000.000000,1173000.000000,,53.424000,-41000.000000,2615000.000000,2615000.000000,0.000000,-11301000.000000,4.064000,0.254000,0.000000,0.000000,0.000000,0.000000,0.000000,22000.000000,0.000000,0.000000,0.000000,-11301000.000000,-11279000.000000,-125.322000,-11279000.000000,-11301000.000000,-11301000.000000,-114.000000,-114.000000,-114.000000,5297000.000000,,5297000.000000,342311942.000000,,,-2524000.000000,-25.456000,1.000000,90000.000000,1.000000,0.000000,0.000000,2682000.000000,,0.000000,2812000.000000,2812000.000000,0.000000,1346000.000000,1346000.000000,0.000000,2298000.000000,0.000000,3318000.000000,0.000000,0.000000,3322000.000000,1459000.000000,1500000.000000,-2483000.000000,0.000000,-11301000.000000,-11301000.000000,-11301000.000000,0.000000,0.000000,-125.567000,11510000.000000,-11420000.000000,1144000.000000,0.000000,65.117000,,,261000.000000,0.000000,127.600000,,,0.000000,-34081000.000000,90000.000000,90000.000000,2441000.000000,,,,,8816000.000000,680000.000000,1.000000,2703189.000000,99150.000000,99150.000000,0.908000,6643000.000000,0.000000,0.000000,0.000000,66.999000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,34378000.000000,353539659.000000,2025-05-09,-9000.000000,51507000.000000,,38071000.000000,13436000.000000,,41.116000,-66000.000000,35139000.000000,35139000.000000,0.000000,-55514000.000000,10.309000,0.077000,0.000000,0.000000,0.000000,0.000000,0.000000,93000.000000,0.000000,0.000000,0.000000,-55514000.000000,-55421000.000000,,-55421000.000000,-55514000.000000,-55514000.000000,-47.700000,-47.700000,-47.700000,47814000.000000,,47814000.000000,318400659.000000,,,-4686000.000000,-4.030000,1.000000,0.000000,,12656000.000000,0.000000,19000.000000,,0.000000,2436000.000000,2436000.000000,0.000000,3693000.000000,3693000.000000,0.000000,32524000.000000,3613000.000000,33158000.000000,0.000000,0.000000,33220000.000000,3924000.000000,377000.000000,-4620000.000000,0.000000,-55514000.000000,-55514000.000000,-55514000.000000,0.000000,0.000000,,55601000.000000,-55601000.000000,3350000.000000,0.000000,7.394000,,,680000.000000,0.000000,130.600000,,,0.000000,-89595000.000000,0.000000,0.000000,4248000.000000,,,,,-4711000.000000,1745000.000000,1.000000,2707042.000000,1162900.000000,1162900.000000,0.000000,38851000.000000,0.000000,0.000000,0.000000,33.409000
ARQ,2000-06-30,2000-10-24,2000-06-30,2000-Q2,34378000.000000,348666984.000000,2025-05-09,-9000.000000,51507000.000000,,38071000.000000,13436000.000000,,63.330000,-66000.000000,35139000.000000,35139000.000000,0.000000,-55514000.000000,10.309000,0.077000,0.000000,0.000000,0.000000,0.000000,0.000000,93000.000000,0.000000,0.000000,0.000000,-55514000.000000,-55421000.000000,,-55421000.000000,-55514000.000000,-55514000.000000,25.500000,25.500000,25.500000,47814000.000000,,47814000.000000,313527984.000000,,,-4686000.000000,-6.207000,1.000000,0.000000,,12656000.000000,0.000000,19000.000000,,0.000000,2436000.000000,2436000.000000,0.000000,3693000.000000,3693000.000000,0.000000,32524000.000000,3613000.000000,33158000.000000,0.000000,0.000000,33220000.000000,3924000.000000,377000.000000,-4620000.000000,0.000000,-55514000.000000,-55514000.000000,-55514000.000000,0.000000,0.000000,,55601000.000000,-55601000.000000,3350000.000000,0.000000,7.292000,,,680000.000000,0.000000,128.800000,,,0.000000,-89595000.000000,0.000000,0.000000,4248000.000000,,,,,-4711000.000000,1745000.000000,1.000000,2707042.000000,755000.000000,755000.000000,0.000000,38851000.000000,0.000000,0.000000,0.000000,51.458000
ARQ,2000-09-30,2000-11-14,2000-09-30,2000-Q3,25943000.000000,326555220.000000,2025-05-09,-6000.000000,50150000.000000,,31405000.000000,18745000.000000,,15.820000,-1115000.000000,29374000.000000,29374000.000000,0.000000,-5147000.000000,5.750000,0.170000,0.000000,0.000000,0.000000,0.000000,1976000.000000,319000.000000,0.000000,0.000000,0.000000,-4947000.000000,-4628000.000000,-87.321000,-4628000.000000,-4947000.000000,-4947000.000000,-1.900000,-1.900000,-1.900000,42855000.000000,,42855000.000000,297181220.000000,,,-7897000.000000,-2.915000,1.000000,53000.000000,1.000000,16429000.000000,0.000000,-1115000.000000,,0.000000,499000.000000,499000.000000,0.000000,7295000.000000,5462000.000000,1833000.000000,-5765000.000000,0.000000,185000.000000,0.000000,0.000000,185000.000000,832000.000000,1947000.000000,-6782000.000000,0.000000,-5147000.000000,-5147000.000000,-5147000.000000,0.000000,0.000000,-97.113000,5598000.000000,-5545000.000000,4632000.000000,0.000000,7.620000,,,1702000.000000,0.000000,100.000000,,,1123000.000000,-94742000.000000,53000.000000,53000.000000,7919000.000000,,,,,0.000000,1678000.000000,1.000000,3265552.000000,2708900.000000,2708900.000000,0.020000,33721000.000000,0.000000,200000.000000,0.000000,12.448000
ARQ,2000-12-31,2001-03-22,2000-12-31,2000-Q4,80482000.000000,99474240.000000,2025-05-09,166000.000000,102718000.000000,,84620000.000000,18098000.000000,,52.831000,-72000.000000,71628000.000000,71628000.000000,0.000000,-7900000.000000,20.449000,0.061000,0.000000,0.000000,0.000000,0.000000,1941000.000000,355000.000000,0.000000,0.000000,0.000000,-7900000.000000,-7545000.000000,90.904000,-7545000.000000,-7900000.000000,-7900000.000000,7.400000,7.400000,7.400000,96782000.000000,,96782000.000000,27846240.000000,0.000000,-0.353000,-7603000.000000,-4.150000,1.000000,-83000.000000,1.000000,16220000.000000,0.000000,10732000.000000,,0.000000,11455000.000000,11455000.000000,0.000000,5936000.000000,4138000.000000,1798000.000000,42254000.000000,0.000000,60641000.000000,0.000000,0.000000,60641000.000000,-10856000.000000,-10784000.000000,-7531000.000000,0.000000,-7900000.000000,-7900000.000000,-7900000.000000,0.000000,0.000000,95.181000,8886000.000000,-8969000.000000,3391000.000000,0.000000,1.028000,-1.246000,-0.695000,1628000.000000,0.000000,30.310000,1657.904000,925.415000,1228000.000000,-102642000.000000,-83000.000000,-83000.000000,7000000.000000,,,,,1014000.000000,1886000.000000,1.000000,3281895.000000,1831900.000000,1831900.000000,-0.045000,86498000.000000,0.000000,0.000000,0.000000,47.218000
ARQ,2001-03-31,2001-05-03,2001-03-31,2001-Q1,70538000.000000,131046223.000000,2025-05-09,3000.000000,93239000.000000,,75465000.000000,17774000.000000,,26.371000,-41000.000000,72121000.000000,72121000.000000,0.000000,-10093000.000000,15.317000,0.077000,0.000000,0.000000,0.000000,0.000000,1905000.000000,22000.000000,0.000000,0.000000,0.000000,-10093000.000000,-10071000.000000,-100.710000,-10071000.000000,-10093000.000000,-10093000.000000,-3.100000,-3.100000,-3.100000,86550000.000000,,86550000.000000,58925223.000000,-1.000000,-0.759000,-2524000.000000,-0.769000,1.000000,100000.000000,1.000000,16011000.000000,0.000000,180000.000000,,0.000000,300000.000000,300000.000000,0.000000,6689000.000000,4927000.000000,1762000.000000,2298000.000000,0.000000,3318000.000000,0.000000,0.000000,3322000.000000,1459000.000000,1500000.000000,-2483000.000000,0.000000,-10093000.000000,-10093000.000000,-10093000.000000,0.000000,0.000000,-100.930000,11445000.000000,-11345000.000000,4262000.000000,0.000000,1.514000,-1.666000,1.430000,1513000.000000,0.000000,39.900000,1872.089000,1870.740000,2760000.000000,-112735000.000000,100000.000000,100000.000000,10359000.000000,,,,,8816000.000000,1086000.000000,1.000000,3284366.000000,3282000.000000,3282000.000000,0.030000,77228000.000000,0.000000,0.000000,0.000000,23.531000
ARQ,2001-06-30,2001-08-08,2001-06-30,2001-Q2,62163000.000000,147645128.000000,2025-05-09,0.000000,86366000.000000,,68899000.000000,17467000.000000,,23.716000,-45000.000000,66860000.000000,66860000.000000,0.000000,-8793000.000000,10.228000,0.109000,0.000000,0.000000,0.000000,0.000000,1869000.000000,695000.000000,0.000000,0.000000,0.000000,-8793000.000000,-8098000.000000,-117.362000,-8098000.000000,-8793000.000000,-8793000.000000,-2.700000,-2.700000,-2.700000,77904000.000000,,77904000.000000,80785128.000000,-3.000000,-2.662000,-13823000.000000,-4.208000,1.000000,69000.000000,1.000000,15802000.000000,0.000000,-3032000.000000,,0.000000,0.000000,0.000000,0.000000,8462000.000000,6736000.000000,1726000.000000,-7066000.000000,0.000000,-3239000.000000,0.000000,0.000000,-3243000.000000,9955000.000000,10000000.000000,-13778000.000000,0.000000,-8793000.000000,-8793000.000000,-8793000.000000,0.000000,0.000000,-127.435000,9698000.000000,-9629000.000000,5836000.000000,0.000000,1.895000,-4.624000,-149.667000,1415000.000000,0.000000,44.900000,1062.195000,1061.094000,1264000.000000,-121528000.000000,69000.000000,69000.000000,8171000.000000,,,,,-8721000.000000,1432000.000000,1.000000,3288310.000000,3284900.000000,3284900.000000,0.021000,70564000.000000,0.000000,0.000000,0.000000,21.481000
ARQ,2001-09-30,2001-11-08,2001-09-30,2001-Q3,54027000.000000,108296835.000000,2025-05-09,0.000000,77811000.000000,,60585000.000000,17226000.000000,,21.147000,-121000.000000,57339000.000000,57339000.000000,0.000000,-8371000.000000,9.238000,0.119000,0.000000,0.000000,0.000000,0.000000,1833000.000000,362000.000000,0.000000,0.000000,0.000000,-8371000.000000,-8009000.000000,-121.348000,-8009000.000000,-8371000.000000,-8371000.000000,-2.500000,-2.500000,-2.500000,69563000.000000,,69563000.000000,50957835.000000,-1.000000,-1.511000,-9551000.000000,-2.903000,1.000000,66000.000000,1.000000,15594000.000000,0.000000,-1680000.000000,,0.000000,0.000000,0.000000,0.000000,8248000.000000,6558000.000000,1690000.000000,-9521000.000000,0.000000,30000.000000,0.000000,0.000000,30000.000000,-121000.000000,0.000000,-9430000.000000,0.000000,-8371000.000000,-8371000.000000,-8371000.000000,0.000000,0.000000,-126.833000,9040000.000000,-8974000.000000,5372000.000000,0.000000,1.557000,-3.080000,-36.556000,1382000.000000,0.000000,32.900000,712.479000,712.004000,2863000.000000,-129899000.000000,66000.000000,66000.000000,8029000.000000,,,,,0.000000,1011000.000000,1.000000,3291697.000000,3289500.000000,3289500.000000,0.020000,62217000.000000,0.000000,0.000000,0.000000,18.914000
ARQ,2001-12-31,2002-03-25,2001-12-31,2001-Q4,44793000.000000,94900735.000000,2025-05-09,0.000000,71606000.000000,,55049000.000000,16557000.000000,,18.134000,-44000.000000,51250000.000000,51250000.000000,0.000000,-9912000.000000,5.367000,0.200000,0.000000,0.000000,0.000000,0.000000,1798000.000000,463000.000000,0.000000,0.000000,0.000000,-9912000.000000,-9449000.000000,-154.902000,-9449000.000000,-9912000.000000,-9912000.000000,-3.000000,-3.000000,-3.000000,59695000.000000,,59695000.000000,43650735.000000,-1.000000,-1.225000,-6133000.000000,-1.863000,1.000000,61000.000000,1.000000,15385000.000000,0.000000,-5285000.000000,,0.000000,0.000000,0.000000,0.000000,11911000.000000,10256000.000000,1655000.000000,-6089000.000000,0.000000,44000.000000,0.000000,0.000000,44000.000000,-44000.000000,0.000000,-6089000.000000,0.000000,-9912000.000000,-9912000.000000,-9912000.000000,0.000000,0.000000,-162.492000,10299000.000000,-10238000.000000,4427000.000000,0.000000,1.590000,-2.553000,-2.549000,1172000.000000,0.000000,28.800000,320.611000,319.826000,3521000.000000,-139811000.000000,61000.000000,61000.000000,8947000.000000,,,,,0.000000,1352000.000000,1.000000,3295164.000000,3291900.000000,3291900.000000,0.019000,56221000.000000,0.000000,0.000000,0.000000,17.079000
ARQ,2002-03-31,2002-05-14,2002-03-31,2002-Q1,38786000.000000,85740499.000000,2025-05-09,0.000000,62638000.000000,,46199000.000000,16439000.000000,,16.270000,0.000000,42365000.000000,42365000.000000,0.000000,-6107000.000000,6.232000,0.168000,0.000000,0.000000,0.000000,0.000000,1762000.000000,118000.000000,0.000000,0.000000,0.000000,-6107000.000000,-5989000.000000,-58.716000,-5989000.000000,-6107000.000000,-6107000.000000,-1.900000,-1.900000,-1.900000,53606000.000000,,53606000.000000,43375499.000000,-1.000000,-1.375000,-8903000.000000,-2.702000,1.000000,102000.000000,1.000000,15385000.000000,0.000000,-2525000.000000,,0.000000,0.000000,0.000000,0.000000,9032000.000000,7413000.000000,1619000.000000,-8885000.000000,0.000000,18000.000000,0.000000,0.000000,18000.000000,0.000000,0.000000,-8903000.000000,0.000000,-6107000.000000,-6107000.000000,-6107000.000000,0.000000,0.000000,-59.873000,6411000.000000,-6309000.000000,3241000.000000,0.000000,1.599000,-2.584000,-2.574000,1054000.000000,0.000000,26.000000,287.720000,287.466000,3659000.000000,-145918000.000000,102000.000000,102000.000000,5705000.000000,,,,,0.000000,706000.000000,1.000000,3297712.000000,3294800.000000,3294800.000000,0.031000,47253000.000000,0.000000,0.000000,0.000000,14.342000
