dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-25,1993-12-25,1993-Q4,3369000000.000000,29286618840.000000,2025-04-25,0.000000,11344000000.000000,,5802000000.000000,5542000000.000000,,1.063000,,1659000000.000000,1659000000.000000,,,2.385000,0.513000,923000000.000000,497000000.000000,426000000.000000,923000000.000000,200000000.000000,,0.000000,0.003000,0.003000,,,,,,,,,,7500000000.000000,,7500000000.000000,28550618840.000000,8.000000,6.644000,,,1.000000,,,0.000000,,8175000000.000000,,838000000.000000,2893000000.000000,1477000000.000000,1416000000.000000,3844000000.000000,2433000000.000000,1411000000.000000,,,,,,,,,,,,,,,,,,,427000000.000000,,3.905000,12.761000,13.413000,3996000000.000000,,4.359000,3.335000,3.503000,1448000000.000000,5306000000.000000,,,,,,,,,,1.000000,6718077440.000000,7056000000.000000,,,11344000000.000000,310000000.000000,,688000000.000000,1.608000
ARQ,1994-03-31,1994-05-16,1994-04-02,1994-Q1,3459000000.000000,24127000000.000000,2025-04-25,0.000000,11926000000.000000,,5820000000.000000,6106000000.000000,,1.151000,-538000000.000000,1422000000.000000,1422000000.000000,1124000000.000000,617000000.000000,2.465000,0.465000,826000000.000000,397000000.000000,429000000.000000,826000000.000000,223000000.000000,233000000.000000,0.000000,0.004000,0.003000,982000000.000000,1215000000.000000,0.457000,1215000000.000000,982000000.000000,971000000.000000,0.087000,0.087000,0.087000,8142000000.000000,,8142000000.000000,23531000000.000000,,,70000000.000000,0.010000,1.000000,1536000000.000000,0.577000,0.000000,11000000.000000,8969000000.000000,,989000000.000000,3101000000.000000,1465000000.000000,1636000000.000000,3784000000.000000,2361000000.000000,1423000000.000000,-237000000.000000,0.000000,14000000.000000,-102000000.000000,-21000000.000000,-99000000.000000,-746000000.000000,-208000000.000000,608000000.000000,0.000000,617000000.000000,617000000.000000,617000000.000000,0.000000,0.000000,0.232000,609000000.000000,927000000.000000,524000000.000000,0.034000,2.963000,,,4295000000.000000,0.000000,3.594000,,,1531000000.000000,5889000000.000000,2660000000.000000,2660000000.000000,265000000.000000,,,,,16000000.000000,344000000.000000,1.000000,6713600000.000000,7072000000.000000,7072000000.000000,0.376000,11926000000.000000,321000000.000000,354000000.000000,804000000.000000,1.686000
ARQ,1994-06-30,1994-08-15,1994-07-02,1994-Q2,2921000000.000000,25071525000.000000,2025-04-25,0.000000,12286000000.000000,,5526000000.000000,6760000000.000000,,1.191000,-603000000.000000,1012000000.000000,1012000000.000000,1156000000.000000,640000000.000000,2.121000,0.475000,842000000.000000,539000000.000000,303000000.000000,842000000.000000,246000000.000000,240000000.000000,0.000000,0.003000,0.004000,1018000000.000000,1258000000.000000,0.454000,1258000000.000000,1018000000.000000,1009000000.000000,0.091000,0.091000,0.091000,8328000000.000000,,8328000000.000000,24901525000.000000,,,150000000.000000,0.021000,1.000000,1614000000.000000,0.583000,0.000000,9000000.000000,9511000000.000000,,1197000000.000000,3255000000.000000,1308000000.000000,1947000000.000000,3958000000.000000,2605000000.000000,1353000000.000000,-410000000.000000,0.000000,-452000000.000000,12000000.000000,-21000000.000000,-406000000.000000,-757000000.000000,-154000000.000000,753000000.000000,0.000000,640000000.000000,640000000.000000,640000000.000000,0.000000,0.000000,0.231000,642000000.000000,972000000.000000,543000000.000000,0.044000,3.011000,,,4646000000.000000,0.000000,3.797000,,,1588000000.000000,6083000000.000000,2770000000.000000,2770000000.000000,279000000.000000,,,,,10000000.000000,363000000.000000,1.000000,6603200000.000000,6992000000.000000,6992000000.000000,0.396000,12286000000.000000,336000000.000000,369000000.000000,724000000.000000,1.757000
ARQ,1994-09-30,1994-11-10,1994-10-01,1994-Q3,3259000000.000000,25328128000.000000,2025-04-25,0.000000,13272000000.000000,,6055000000.000000,7217000000.000000,,1.304000,-540000000.000000,1186000000.000000,1186000000.000000,1273000000.000000,659000000.000000,2.166000,0.466000,1032000000.000000,640000000.000000,392000000.000000,1032000000.000000,264000000.000000,273000000.000000,0.000000,0.004000,0.004000,1054000000.000000,1327000000.000000,0.463000,1327000000.000000,1054000000.000000,1038000000.000000,0.095000,0.095000,0.095000,9052000000.000000,,9052000000.000000,25174128000.000000,,,-50000000.000000,-0.007000,1.000000,1590000000.000000,0.555000,0.000000,16000000.000000,10322000000.000000,,1378000000.000000,3218000000.000000,1105000000.000000,2113000000.000000,4220000000.000000,2796000000.000000,1424000000.000000,174000000.000000,0.000000,31000000.000000,183000000.000000,-25000000.000000,187000000.000000,-503000000.000000,37000000.000000,490000000.000000,0.000000,659000000.000000,659000000.000000,659000000.000000,0.000000,0.000000,0.230000,620000000.000000,970000000.000000,500000000.000000,0.042000,2.798000,,,4905000000.000000,0.000000,3.820000,,,1909000000.000000,6718000000.000000,2863000000.000000,2863000000.000000,282000000.000000,,,,,24000000.000000,338000000.000000,1.000000,6630400000.000000,6944000000.000000,6944000000.000000,0.412000,13272000000.000000,355000000.000000,379000000.000000,738000000.000000,1.911000
ARQ,1994-12-31,1995-03-28,1994-12-31,1994-Q4,3143000000.000000,36683250000.000000,2025-04-25,0.000000,13816000000.000000,,6167000000.000000,7649000000.000000,,1.335000,-760000000.000000,1180000000.000000,1180000000.000000,2023000000.000000,372000000.000000,2.039000,0.491000,909000000.000000,517000000.000000,392000000.000000,909000000.000000,269000000.000000,282000000.000000,0.000000,0.003000,0.004000,606000000.000000,888000000.000000,0.275000,888000000.000000,606000000.000000,585000000.000000,0.054000,0.054000,0.054000,9267000000.000000,,9267000000.000000,36412250000.000000,10.000000,7.767000,370000000.000000,0.053000,1.000000,1205000000.000000,0.373000,0.000000,21000000.000000,10521000000.000000,,1169000000.000000,3357000000.000000,1230000000.000000,2127000000.000000,4549000000.000000,3024000000.000000,1525000000.000000,-6000000.000000,0.000000,-101000000.000000,-126000000.000000,-25000000.000000,-239000000.000000,-897000000.000000,-137000000.000000,1130000000.000000,0.000000,372000000.000000,372000000.000000,372000000.000000,0.000000,0.000000,0.115000,687000000.000000,518000000.000000,575000000.000000,0.074000,3.958000,16.033000,16.864000,5367000000.000000,0.000000,5.531000,3.184000,3.357000,1978000000.000000,6961000000.000000,3228000000.000000,3228000000.000000,285000000.000000,,,,,11000000.000000,402000000.000000,1.000000,6632000000.000000,6944000000.000000,6944000000.000000,0.465000,13816000000.000000,552000000.000000,213000000.000000,818000000.000000,1.990000
ARQ,1995-03-31,1995-05-16,1995-04-01,1995-Q1,3548000000.000000,45087208000.000000,2025-04-25,0.000000,14910000000.000000,,6824000000.000000,8086000000.000000,,1.434000,-793000000.000000,1290000000.000000,1290000000.000000,1609000000.000000,889000000.000000,2.083000,0.490000,1043000000.000000,639000000.000000,404000000.000000,1043000000.000000,241000000.000000,305000000.000000,0.000000,0.002000,0.004000,1423000000.000000,1728000000.000000,0.486000,1728000000.000000,1423000000.000000,1416000000.000000,0.128000,0.128000,0.128000,10007000000.000000,,10007000000.000000,44840208000.000000,11.000000,8.621000,-35000000.000000,-0.005000,1.000000,1948000000.000000,0.548000,0.000000,7000000.000000,11387000000.000000,,1324000000.000000,3248000000.000000,1220000000.000000,2028000000.000000,4903000000.000000,3276000000.000000,1627000000.000000,110000000.000000,0.000000,-69000000.000000,129000000.000000,-25000000.000000,51000000.000000,-699000000.000000,94000000.000000,758000000.000000,0.000000,889000000.000000,889000000.000000,889000000.000000,0.000000,0.000000,0.250000,681000000.000000,1267000000.000000,714000000.000000,0.031000,4.506000,17.612000,18.492000,5824000000.000000,0.000000,6.805000,3.631000,3.823000,2340000000.000000,7683000000.000000,3557000000.000000,3557000000.000000,294000000.000000,,,,,21000000.000000,387000000.000000,1.000000,6625600000.000000,6976000000.000000,6976000000.000000,0.510000,14910000000.000000,524000000.000000,527000000.000000,1123000000.000000,2.137000
ARQ,1995-06-30,1995-08-15,1995-07-01,1995-Q2,3631000000.000000,53939250000.000000,2025-04-25,0.000000,15473000000.000000,,7004000000.000000,8469000000.000000,,1.502000,-821000000.000000,1023000000.000000,1023000000.000000,1805000000.000000,879000000.000000,2.076000,0.451000,918000000.000000,507000000.000000,411000000.000000,918000000.000000,294000000.000000,317000000.000000,0.000000,0.002000,0.005000,1409000000.000000,1726000000.000000,0.443000,1726000000.000000,1409000000.000000,1399000000.000000,0.124000,0.124000,0.124000,10667000000.000000,,10667000000.000000,53834250000.000000,12.000000,9.496000,-21000000.000000,-0.003000,1.000000,2089000000.000000,0.536000,0.000000,10000000.000000,11995000000.000000,,1527000000.000000,2885000000.000000,965000000.000000,1920000000.000000,4806000000.000000,3373000000.000000,1433000000.000000,-267000000.000000,0.000000,-461000000.000000,-148000000.000000,-25000000.000000,-634000000.000000,-433000000.000000,388000000.000000,800000000.000000,0.000000,879000000.000000,879000000.000000,879000000.000000,0.000000,0.000000,0.226000,763000000.000000,1326000000.000000,736000000.000000,0.040000,5.057000,19.271000,20.418000,6320000000.000000,0.000000,8.188000,3.983000,4.295000,2884000000.000000,8272000000.000000,3894000000.000000,3894000000.000000,316000000.000000,,,,,48000000.000000,447000000.000000,1.000000,6588000000.000000,7104000000.000000,7104000000.000000,0.548000,15473000000.000000,474000000.000000,520000000.000000,1162000000.000000,2.178000
ARQ,1995-09-30,1995-11-14,1995-09-30,1995-Q3,3862000000.000000,53484756000.000000,2025-04-25,0.000000,17002000000.000000,,8024000000.000000,8978000000.000000,,1.564000,-956000000.000000,1327000000.000000,1327000000.000000,2008000000.000000,931000000.000000,1.928000,0.528000,1328000000.000000,927000000.000000,401000000.000000,1328000000.000000,265000000.000000,363000000.000000,0.000000,0.002000,0.005000,1490000000.000000,1853000000.000000,0.444000,1853000000.000000,1490000000.000000,1483000000.000000,0.131000,0.131000,0.131000,11126000000.000000,,11126000000.000000,53485756000.000000,11.000000,8.634000,-294000000.000000,-0.041000,1.000000,2163000000.000000,0.519000,0.000000,7000000.000000,12841000000.000000,,2110000000.000000,2454000000.000000,627000000.000000,1827000000.000000,5876000000.000000,4162000000.000000,1714000000.000000,304000000.000000,0.000000,-258000000.000000,416000000.000000,-33000000.000000,173000000.000000,-531000000.000000,425000000.000000,662000000.000000,0.000000,931000000.000000,931000000.000000,931000000.000000,0.000000,0.000000,0.223000,774000000.000000,1389000000.000000,941000000.000000,0.038000,4.807000,17.416000,18.630000,6901000000.000000,0.000000,8.141000,3.602000,3.899000,3361000000.000000,8677000000.000000,4171000000.000000,4171000000.000000,334000000.000000,,,,,25000000.000000,440000000.000000,1.000000,6569600000.000000,7112000000.000000,7112000000.000000,0.586000,17002000000.000000,437000000.000000,552000000.000000,1345000000.000000,2.391000
ARQ,1995-12-31,1996-03-29,1995-12-30,1995-Q4,4478000000.000000,46500450000.000000,2025-04-25,0.000000,17504000000.000000,,8097000000.000000,9407000000.000000,,1.711000,-980000000.000000,1463000000.000000,1463000000.000000,2389000000.000000,867000000.000000,2.237000,0.442000,746000000.000000,346000000.000000,400000000.000000,746000000.000000,304000000.000000,386000000.000000,0.000000,0.003000,0.005000,1345000000.000000,1731000000.000000,0.378000,1731000000.000000,1345000000.000000,1340000000.000000,0.121000,0.121000,0.121000,12140000000.000000,,12140000000.000000,45783450000.000000,8.000000,6.505000,826000000.000000,0.116000,1.000000,2191000000.000000,0.478000,0.000000,5000000.000000,13168000000.000000,,2004000000.000000,2648000000.000000,995000000.000000,1653000000.000000,5364000000.000000,3619000000.000000,1745000000.000000,136000000.000000,0.000000,-54000000.000000,-580000000.000000,-33000000.000000,-646000000.000000,-1024000000.000000,-44000000.000000,1806000000.000000,0.000000,867000000.000000,867000000.000000,867000000.000000,0.000000,0.000000,0.189000,921000000.000000,1270000000.000000,864000000.000000,0.041000,3.830000,13.040000,14.044000,7471000000.000000,0.000000,7.078000,2.870000,3.090000,3116000000.000000,9557000000.000000,4580000000.000000,4580000000.000000,352000000.000000,,,,,22000000.000000,569000000.000000,1.000000,6569600000.000000,7096000000.000000,7096000000.000000,0.645000,17504000000.000000,408000000.000000,473000000.000000,1421000000.000000,2.467000
ARQ,1996-03-31,1996-05-14,1996-03-30,1996-Q1,5122000000.000000,59936512000.000000,2025-04-25,0.000000,18219000000.000000,,8632000000.000000,9587000000.000000,,1.833000,-832000000.000000,1955000000.000000,1955000000.000000,2421000000.000000,894000000.000000,2.459000,0.412000,824000000.000000,426000000.000000,398000000.000000,824000000.000000,326000000.000000,411000000.000000,0.000000,0.002000,0.005000,1381000000.000000,1792000000.000000,0.386000,1792000000.000000,1381000000.000000,1376000000.000000,0.128000,0.128000,0.128000,12901000000.000000,,12901000000.000000,58805512000.000000,10.000000,8.280000,753000000.000000,0.107000,1.000000,2223000000.000000,0.479000,0.000000,5000000.000000,13578000000.000000,,1544000000.000000,2900000000.000000,1470000000.000000,1430000000.000000,5318000000.000000,3510000000.000000,1808000000.000000,492000000.000000,0.000000,-141000000.000000,80000000.000000,-33000000.000000,-76000000.000000,-1017000000.000000,-185000000.000000,1585000000.000000,0.000000,894000000.000000,894000000.000000,894000000.000000,0.000000,0.000000,0.193000,918000000.000000,1305000000.000000,761000000.000000,0.039000,4.646000,16.784000,18.075000,7864000000.000000,0.000000,9.110000,3.467000,3.710000,3101000000.000000,10255000000.000000,4644000000.000000,4644000000.000000,401000000.000000,,,,,18000000.000000,517000000.000000,1.000000,6579200000.000000,7040000000.000000,7040000000.000000,0.660000,18219000000.000000,411000000.000000,482000000.000000,1597000000.000000,2.588000
ARQ,1996-06-30,1996-08-13,1996-06-29,1996-Q2,6112000000.000000,66150075000.000000,2025-04-25,0.000000,19300000000.000000,,9625000000.000000,9675000000.000000,,1.954000,-772000000.000000,2809000000.000000,2809000000.000000,2150000000.000000,1041000000.000000,2.740000,0.390000,640000000.000000,241000000.000000,399000000.000000,640000000.000000,306000000.000000,462000000.000000,0.000000,0.002000,0.006000,1604000000.000000,2066000000.000000,0.447000,2066000000.000000,1604000000.000000,1601000000.000000,0.146000,0.146000,0.146000,13884000000.000000,,13884000000.000000,63981075000.000000,11.000000,8.597000,1465000000.000000,0.206000,1.000000,2471000000.000000,0.535000,0.000000,3000000.000000,13618000000.000000,,1479000000.000000,3233000000.000000,1906000000.000000,1327000000.000000,5416000000.000000,3513000000.000000,1903000000.000000,854000000.000000,0.000000,-94000000.000000,-185000000.000000,-33000000.000000,-294000000.000000,-1089000000.000000,-317000000.000000,2237000000.000000,0.000000,1041000000.000000,1041000000.000000,1041000000.000000,0.000000,0.000000,0.225000,956000000.000000,1515000000.000000,756000000.000000,0.041000,4.764000,17.720000,19.071000,8142000000.000000,0.000000,10.031000,3.672000,3.955000,2900000000.000000,11137000000.000000,4621000000.000000,4621000000.000000,438000000.000000,,,,,44000000.000000,518000000.000000,1.000000,6594400000.000000,7104000000.000000,7104000000.000000,0.650000,19300000000.000000,417000000.000000,560000000.000000,1569000000.000000,2.717000
ARQ,1996-09-30,1996-11-12,1996-09-28,1996-Q3,7209000000.000000,101651825000.000000,2025-04-25,0.000000,21072000000.000000,,11215000000.000000,9857000000.000000,,2.114000,-630000000.000000,3513000000.000000,3513000000.000000,2201000000.000000,1312000000.000000,2.800000,0.408000,1111000000.000000,409000000.000000,702000000.000000,1111000000.000000,342000000.000000,496000000.000000,0.000000,0.001000,0.006000,2024000000.000000,2520000000.000000,0.490000,2520000000.000000,2024000000.000000,2018000000.000000,0.185000,0.185000,0.185000,14964000000.000000,,14964000000.000000,99249825000.000000,16.000000,12.239000,1034000000.000000,0.146000,1.000000,2941000000.000000,0.572000,0.000000,6000000.000000,14664000000.000000,,1370000000.000000,3714000000.000000,2307000000.000000,1407000000.000000,6108000000.000000,4006000000.000000,2102000000.000000,704000000.000000,0.000000,-507000000.000000,468000000.000000,-41000000.000000,-60000000.000000,-900000000.000000,-270000000.000000,1664000000.000000,0.000000,1312000000.000000,1312000000.000000,1312000000.000000,0.000000,0.000000,0.255000,1014000000.000000,1927000000.000000,790000000.000000,0.032000,6.793000,24.709000,26.697000,8258000000.000000,0.000000,15.484000,5.354000,5.774000,3488000000.000000,12134000000.000000,5142000000.000000,5142000000.000000,449000000.000000,,,,,36000000.000000,565000000.000000,1.000000,6564800000.000000,7080000000.000000,7080000000.000000,0.726000,21072000000.000000,430000000.000000,706000000.000000,1656000000.000000,2.976000
ARQ,1996-12-31,1997-03-28,1996-12-28,1996-Q4,8821000000.000000,113714250000.000000,2025-04-25,0.000000,23735000000.000000,,13684000000.000000,10051000000.000000,,2.343000,-790000000.000000,4165000000.000000,4165000000.000000,2392000000.000000,1910000000.000000,2.814000,0.407000,1117000000.000000,389000000.000000,728000000.000000,1117000000.000000,474000000.000000,519000000.000000,0.000000,0.001000,0.006000,2950000000.000000,3469000000.000000,0.539000,3469000000.000000,2950000000.000000,2939000000.000000,0.267000,0.267000,0.267000,16872000000.000000,,16872000000.000000,110666250000.000000,14.000000,11.239000,2467000000.000000,0.343000,1.000000,4048000000.000000,0.629000,0.000000,11000000.000000,15824000000.000000,,1293000000.000000,5182000000.000000,3829000000.000000,1353000000.000000,6863000000.000000,4863000000.000000,2000000000.000000,652000000.000000,0.000000,-299000000.000000,-3000000.000000,-41000000.000000,-343000000.000000,-2262000000.000000,-1472000000.000000,3257000000.000000,0.000000,1910000000.000000,1910000000.000000,1910000000.000000,0.000000,0.000000,0.297000,1242000000.000000,2806000000.000000,969000000.000000,0.022000,6.740000,22.050000,23.950000,8487000000.000000,0.000000,17.387000,5.455000,5.925000,3723000000.000000,13975000000.000000,6440000000.000000,6440000000.000000,520000000.000000,,,,,98000000.000000,722000000.000000,1.000000,6540000000.000000,7200000000.000000,7200000000.000000,0.894000,23735000000.000000,570000000.000000,1029000000.000000,1983000000.000000,3.297000
ARQ,1997-03-31,1997-05-13,1997-03-29,1997-Q1,9080000000.000000,124815600000.000000,2025-04-25,0.000000,25102000000.000000,,14581000000.000000,10521000000.000000,,2.376000,-789000000.000000,3824000000.000000,3824000000.000000,2307000000.000000,1983000000.000000,2.651000,0.467000,1194000000.000000,713000000.000000,481000000.000000,1194000000.000000,513000000.000000,521000000.000000,0.000000,0.001000,0.006000,3082000000.000000,3603000000.000000,0.559000,3603000000.000000,3082000000.000000,3075000000.000000,0.275000,0.275000,0.275000,17108000000.000000,,17108000000.000000,122185600000.000000,13.000000,10.481000,1433000000.000000,0.199000,1.000000,4141000000.000000,0.642000,0.000000,7000000.000000,16971000000.000000,,1373000000.000000,6148000000.000000,4675000000.000000,1473000000.000000,7994000000.000000,5501000000.000000,2493000000.000000,-341000000.000000,0.000000,-1039000000.000000,92000000.000000,-41000000.000000,-878000000.000000,-1685000000.000000,-896000000.000000,2222000000.000000,0.000000,1983000000.000000,1983000000.000000,1983000000.000000,0.000000,0.000000,0.308000,1274000000.000000,2867000000.000000,1044000000.000000,0.022000,7.296000,19.983000,21.796000,8732000000.000000,0.000000,19.050000,5.510000,6.055000,3984000000.000000,14112000000.000000,6448000000.000000,6448000000.000000,581000000.000000,,,,,51000000.000000,693000000.000000,1.000000,6552000000.000000,7200000000.000000,7200000000.000000,0.896000,25102000000.000000,581000000.000000,1092000000.000000,2441000000.000000,3.486000
ARQ,1997-06-30,1997-08-11,1997-06-28,1997-Q2,9554000000.000000,156980290000.000000,2025-04-25,0.000000,25147000000.000000,,14189000000.000000,10958000000.000000,,2.422000,-969000000.000000,4002000000.000000,4002000000.000000,2343000000.000000,1645000000.000000,3.061000,0.445000,649000000.000000,181000000.000000,468000000.000000,649000000.000000,550000000.000000,529000000.000000,0.000000,0.001000,0.007000,2557000000.000000,3086000000.000000,0.518000,3086000000.000000,2557000000.000000,2550000000.000000,0.230000,0.230000,0.230000,17406000000.000000,,17406000000.000000,153627290000.000000,14.000000,12.118000,942000000.000000,0.131000,1.000000,3617000000.000000,0.607000,0.000000,7000000.000000,17159000000.000000,,1443000000.000000,5510000000.000000,4055000000.000000,1455000000.000000,7741000000.000000,4635000000.000000,3106000000.000000,178000000.000000,0.000000,-904000000.000000,-532000000.000000,-41000000.000000,-1420000000.000000,-313000000.000000,656000000.000000,1911000000.000000,0.000000,1645000000.000000,1645000000.000000,1645000000.000000,0.000000,0.000000,0.276000,1279000000.000000,2338000000.000000,1022000000.000000,0.030000,9.019000,22.917000,25.086000,9172000000.000000,0.000000,24.032000,6.544000,7.201000,3950000000.000000,14405000000.000000,5960000000.000000,5960000000.000000,575000000.000000,,,,,66000000.000000,704000000.000000,1.000000,6532000000.000000,7188000000.000000,7188000000.000000,0.829000,25147000000.000000,591000000.000000,905000000.000000,1614000000.000000,3.498000
ARQ,1997-09-30,1997-11-10,1997-09-27,1997-Q3,9976000000.000000,122912680000.000000,2025-04-25,0.000000,27201000000.000000,,15140000000.000000,12061000000.000000,,2.775000,-1159000000.000000,4985000000.000000,4985000000.000000,2604000000.000000,1574000000.000000,2.932000,0.364000,683000000.000000,297000000.000000,386000000.000000,683000000.000000,517000000.000000,559000000.000000,0.000000,0.001000,0.007000,2446000000.000000,3005000000.000000,0.488000,3005000000.000000,2446000000.000000,2440000000.000000,0.220000,0.220000,0.220000,19946000000.000000,,19946000000.000000,118610680000.000000,11.000000,9.011000,1241000000.000000,0.173000,1.000000,3551000000.000000,0.577000,0.000000,6000000.000000,17735000000.000000,,1507000000.000000,5790000000.000000,3975000000.000000,1815000000.000000,7255000000.000000,5164000000.000000,2091000000.000000,983000000.000000,0.000000,-135000000.000000,36000000.000000,-49000000.000000,-90000000.000000,-1327000000.000000,-168000000.000000,2400000000.000000,0.000000,1574000000.000000,1574000000.000000,1574000000.000000,0.000000,0.000000,0.256000,1262000000.000000,2289000000.000000,1197000000.000000,0.032000,6.162000,17.282000,18.915000,9745000000.000000,0.000000,18.782000,4.916000,5.400000,3921000000.000000,16557000000.000000,6155000000.000000,6155000000.000000,586000000.000000,,,,,54000000.000000,676000000.000000,1.000000,6544000000.000000,7188000000.000000,7188000000.000000,0.856000,27201000000.000000,606000000.000000,866000000.000000,1934000000.000000,3.784000
