dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-14,1997-01-31,1997-Q2,308157000.000000,1046590808.000000,2025-03-17,-4700000.000000,751920000.000000,,638747000.000000,113173000.000000,,1.447000,,104859000.000000,104859000.000000,58621000.000000,115940000.000000,1.932000,0.818000,5080000.000000,0.000000,5080000.000000,5080000.000000,29595000.000000,,0.000000,0.000000,0.000000,146607000.000000,,,,146607000.000000,146607000.000000,0.407000,,0.407000,413543000.000000,,413543000.000000,946811808.000000,,,,,1.000000,207357000.000000,0.780000,21881000.000000,0.000000,299670000.000000,,4428000.000000,350524000.000000,350524000.000000,0.000000,338377000.000000,330590000.000000,7787000.000000,,,,,,,,,,,115940000.000000,115940000.000000,115940000.000000,-71240000.000000,0.000000,0.436000,133748000.000000,73609000.000000,63134000.000000,0.000000,2.531000,,,78924000.000000,0.000000,3.750000,,,146277000.000000,-133244000.000000,265978000.000000,265978000.000000,22930000.000000,,,,,,63953000.000000,1.000000,279090882.000000,285786000.000000,,0.931000,730039000.000000,28205000.000000,30667000.000000,80215000.000000,2.554000
ARQ,1997-03-31,1997-06-13,1997-04-30,1997-Q3,310386000.000000,1136961763.000000,2025-03-17,-6789000.000000,717898000.000000,,575610000.000000,142288000.000000,,1.457000,-2541000.000000,116649000.000000,116649000.000000,28917000.000000,488000.000000,2.170000,0.738000,34433000.000000,0.000000,34433000.000000,34433000.000000,24456000.000000,11077000.000000,0.000000,0.000000,0.000000,959000.000000,12036000.000000,0.088000,12036000.000000,959000.000000,959000.000000,0.002000,,0.002000,413170000.000000,,413170000.000000,1054745763.000000,,,22890000.000000,0.081000,1.000000,107409000.000000,0.788000,51354000.000000,0.000000,319104000.000000,,2756000.000000,356260000.000000,356260000.000000,0.000000,304728000.000000,265224000.000000,39504000.000000,11790000.000000,-33242000.000000,588000.000000,29353000.000000,0.000000,29941000.000000,-43582000.000000,-8711000.000000,25431000.000000,0.000000,488000.000000,488000.000000,488000.000000,0.000000,0.000000,0.004000,109256000.000000,-1847000.000000,33397000.000000,0.000000,2.752000,,,78434000.000000,0.000000,4.063000,,,67848000.000000,-132592000.000000,136326000.000000,136326000.000000,22393000.000000,,,,,0.000000,48933000.000000,1.000000,279810114.000000,283512000.000000,,0.481000,666544000.000000,29227000.000000,471000.000000,72509000.000000,2.351000
ARQ,1997-06-30,1997-10-15,1997-07-31,1997-Q4,243195000.000000,1533745005.000000,2025-03-17,19432000.000000,663676000.000000,,454777000.000000,208899000.000000,,1.454000,-11702000.000000,46780000.000000,46780000.000000,22698000.000000,-19816000.000000,2.149000,0.599000,36444000.000000,0.000000,36444000.000000,36444000.000000,22732000.000000,13884000.000000,0.000000,0.000000,0.000000,-29475000.000000,-15591000.000000,-0.166000,-15591000.000000,-29475000.000000,-29475000.000000,-0.070000,,-0.070000,415061000.000000,,415061000.000000,1523409005.000000,19.000000,10.904000,-50300000.000000,-0.176000,1.000000,71417000.000000,0.759000,46771000.000000,0.000000,394987000.000000,,3295000.000000,425035000.000000,349119000.000000,75916000.000000,248615000.000000,211582000.000000,37033000.000000,-69869000.000000,0.000000,4483000.000000,766000.000000,0.000000,5249000.000000,-36520000.000000,-25050000.000000,-38598000.000000,0.000000,-19816000.000000,-19816000.000000,-19816000.000000,0.000000,0.000000,-0.211000,104129000.000000,-32712000.000000,35688000.000000,0.000000,3.695000,22.453000,22.569000,83404000.000000,0.000000,5.417000,2.561000,2.575000,42190000.000000,-163231000.000000,94115000.000000,94115000.000000,25234000.000000,,,,,0.000000,37314000.000000,1.000000,283152924.000000,285426000.000000,,0.330000,616905000.000000,0.000000,-9659000.000000,31710000.000000,2.161000
ARQ,1997-09-30,1997-12-12,1997-10-31,1998-Q1,314902000.000000,1610823066.000000,2025-03-17,77606000.000000,759288000.000000,,568891000.000000,190397000.000000,,1.657000,-8694000.000000,63950000.000000,63950000.000000,22396000.000000,-12759000.000000,2.240000,0.622000,36520000.000000,0.000000,36520000.000000,36520000.000000,24218000.000000,11919000.000000,0.000000,0.000000,0.000000,-19254000.000000,-7335000.000000,-0.076000,-7335000.000000,-19254000.000000,-19254000.000000,-0.045000,,-0.045000,468254000.000000,,468254000.000000,1583393066.000000,16.000000,,-61557000.000000,-0.218000,1.000000,73562000.000000,0.767000,39963000.000000,0.000000,437906000.000000,,3888000.000000,475091000.000000,397679000.000000,77412000.000000,291034000.000000,253989000.000000,37045000.000000,17170000.000000,26350000.000000,5654000.000000,-865000.000000,0.000000,4789000.000000,65244000.000000,46829000.000000,-52863000.000000,0.000000,-12759000.000000,-12759000.000000,-12759000.000000,0.000000,0.000000,-0.133000,99167000.000000,-25605000.000000,37493000.000000,0.000000,3.440000,19.210000,19.340000,70909000.000000,0.000000,5.667000,2.719000,2.702000,88747000.000000,-175990000.000000,95958000.000000,95958000.000000,26144000.000000,,,,,0.000000,40458000.000000,1.000000,284262894.000000,282510000.000000,,0.340000,719325000.000000,0.000000,-6495000.000000,61172000.000000,2.546000
ARQ,1997-12-31,1998-03-13,1998-01-31,1998-Q2,452384000.000000,2312317195.000000,2025-03-17,117568000.000000,977081000.000000,,836470000.000000,140611000.000000,,1.967000,-5787000.000000,105532000.000000,105532000.000000,45479000.000000,41844000.000000,2.178000,0.740000,31253000.000000,0.000000,31253000.000000,31253000.000000,38602000.000000,12516000.000000,0.000000,0.000000,0.000000,67872000.000000,80388000.000000,0.338000,80388000.000000,67872000.000000,67872000.000000,0.147000,0.142000,0.147000,561442000.000000,,561442000.000000,2238038195.000000,111.000000,32.203000,66670000.000000,0.234000,1.000000,192034000.000000,0.809000,32866000.000000,0.000000,485850000.000000,,4811000.000000,571721000.000000,537228000.000000,34493000.000000,415639000.000000,384086000.000000,31553000.000000,41582000.000000,0.000000,7621000.000000,-2932000.000000,0.000000,4689000.000000,-35564000.000000,-31416000.000000,72457000.000000,0.000000,41844000.000000,41844000.000000,41844000.000000,0.000000,0.000000,0.176000,126403000.000000,65631000.000000,59535000.000000,0.000000,4.119000,236.991000,243.081000,70574000.000000,0.000000,8.022000,4.100000,4.059000,170277000.000000,-134146000.000000,237513000.000000,237513000.000000,26634000.000000,,,,,0.000000,56688000.000000,1.000000,288258948.000000,285360000.000000,296628000.000000,0.832000,944215000.000000,0.000000,26028000.000000,109387000.000000,3.309000
ARQ,1998-03-31,1998-06-12,1998-04-30,1998-Q3,523196000.000000,2857594261.000000,2025-03-17,169274000.000000,1073414000.000000,,920486000.000000,152928000.000000,,2.202000,-6070000.000000,63191000.000000,63191000.000000,29331000.000000,-2206000.000000,2.317000,0.686000,39173000.000000,0.000000,39173000.000000,39173000.000000,28820000.000000,10396000.000000,0.000000,0.000000,0.000000,-4205000.000000,6191000.000000,0.044000,6191000.000000,-4205000.000000,-4205000.000000,-0.008000,-0.008000,-0.008000,636834000.000000,,636834000.000000,2833576261.000000,190.000000,44.516000,48353000.000000,0.167000,1.000000,112665000.000000,0.793000,27903000.000000,0.000000,624203000.000000,,2015000.000000,755347000.000000,713294000.000000,42053000.000000,436580000.000000,397290000.000000,39290000.000000,-42341000.000000,0.000000,17678000.000000,-841000.000000,0.000000,-33163000.000000,-63601000.000000,-48448000.000000,54423000.000000,0.000000,-2206000.000000,-2206000.000000,-2206000.000000,0.000000,0.000000,-0.016000,119974000.000000,-7309000.000000,48218000.000000,0.000000,4.487000,404.586000,352.391000,69575000.000000,0.000000,8.105000,5.017000,4.116000,118676000.000000,-136352000.000000,141996000.000000,141996000.000000,25381000.000000,,,,,0.000000,64247000.000000,1.000000,352571778.000000,289254000.000000,289254000.000000,0.491000,1045511000.000000,0.000000,-1999000.000000,132549000.000000,3.615000
ARQ,1998-06-30,1998-10-06,1998-07-31,1998-Q4,605456000.000000,2345929615.000000,2025-03-17,182602000.000000,1498596000.000000,,980125000.000000,518471000.000000,,3.248000,-3985000.000000,138133000.000000,138133000.000000,23332000.000000,-39036000.000000,2.616000,0.377000,35566000.000000,0.000000,35566000.000000,35566000.000000,58560000.000000,-5923000.000000,0.000000,0.000000,0.000000,-64236000.000000,-70159000.000000,-0.598000,-70159000.000000,-64236000.000000,-64236000.000000,-0.133000,-0.130000,-0.133000,1088361000.000000,,1088361000.000000,2243362615.000000,-113.000000,246.930000,-9665000.000000,-0.029000,1.000000,93937000.000000,0.801000,371590000.000000,0.000000,649770000.000000,,3695000.000000,789509000.000000,743984000.000000,45525000.000000,410235000.000000,374669000.000000,35566000.000000,74942000.000000,-376638000.000000,470100000.000000,-160000.000000,0.000000,519940000.000000,-439318000.000000,-64104000.000000,-5680000.000000,0.000000,-39036000.000000,-39036000.000000,-39036000.000000,0.000000,0.000000,-0.333000,163236000.000000,-69299000.000000,44035000.000000,0.000000,2.155000,-192.969000,-164.333000,69413000.000000,0.000000,6.573000,3.958000,3.305000,59417000.000000,-175388000.000000,117269000.000000,117269000.000000,30445000.000000,,,,,0.000000,40160000.000000,1.000000,356885844.000000,335100000.000000,300144000.000000,0.350000,1127006000.000000,21006000.000000,-25200000.000000,123526000.000000,3.363000
ARQ,1998-09-30,1998-12-14,1998-10-31,1999-Q1,507740000.000000,3806072991.000000,2025-03-17,119244000.000000,1383148000.000000,,868883000.000000,514265000.000000,,2.754000,-13611000.000000,96275000.000000,96275000.000000,35215000.000000,-49190000.000000,2.406000,0.409000,39333000.000000,0.000000,39333000.000000,39333000.000000,68216000.000000,37034000.000000,0.000000,0.000000,0.000000,-64723000.000000,-27689000.000000,-0.247000,-27689000.000000,-64723000.000000,-64723000.000000,-0.138000,-0.138000,-0.138000,981781000.000000,,981781000.000000,3749130991.000000,-57.000000,-332.694000,-14529000.000000,-0.041000,1.000000,76753000.000000,0.685000,352152000.000000,0.000000,612911000.000000,,0.000000,715288000.000000,658289000.000000,56999000.000000,401367000.000000,361143000.000000,40224000.000000,-41858000.000000,0.000000,4444000.000000,0.000000,0.000000,4444000.000000,-45384000.000000,-24030000.000000,-918000.000000,0.000000,-49190000.000000,-49190000.000000,-49190000.000000,0.000000,0.000000,-0.439000,144824000.000000,-68071000.000000,48459000.000000,0.000000,3.877000,-78.334000,-79.737000,73803000.000000,0.000000,10.605000,6.252000,6.210000,64725000.000000,-224578000.000000,111968000.000000,111968000.000000,33668000.000000,,,,,0.000000,58559000.000000,1.000000,358894200.000000,356472000.000000,356472000.000000,0.314000,1030996000.000000,36214000.000000,-15533000.000000,82073000.000000,2.892000
ARQ,1998-12-31,1999-03-12,1999-01-31,1999-Q2,1113262000.000000,5388702681.000000,2025-03-17,549892000.000000,2344795000.000000,,1854103000.000000,490692000.000000,,4.325000,-11322000.000000,163030000.000000,163030000.000000,65815000.000000,89857000.000000,2.503000,0.499000,39276000.000000,0.000000,39276000.000000,39276000.000000,45979000.000000,25400000.000000,0.000000,0.000000,0.000000,119685000.000000,145085000.000000,0.419000,145085000.000000,119685000.000000,119685000.000000,0.248000,0.237000,0.248000,1563795000.000000,,1563795000.000000,5264948681.000000,-391.000000,98.543000,34741000.000000,0.096000,1.000000,280136000.000000,0.810000,329220000.000000,0.000000,1150980000.000000,,5865000.000000,1446156000.000000,1393219000.000000,52937000.000000,781000000.000000,740841000.000000,40159000.000000,66755000.000000,0.000000,35160000.000000,0.000000,0.000000,35160000.000000,-14468000.000000,-3627000.000000,46063000.000000,0.000000,89857000.000000,89857000.000000,89857000.000000,0.000000,0.000000,0.260000,174489000.000000,105647000.000000,69825000.000000,0.000000,3.446000,-9371.657000,-459.010000,77545000.000000,0.000000,14.688000,7.514000,7.405000,241276000.000000,-134721000.000000,345951000.000000,345951000.000000,36353000.000000,,,,,0.000000,75345000.000000,1.000000,366869580.000000,361572000.000000,380100000.000000,0.957000,2015575000.000000,21006000.000000,29828000.000000,367570000.000000,5.574000
ARQ,1999-03-31,1999-06-14,1999-04-30,1999-Q3,1195162000.000000,5010391404.000000,2025-03-17,544135000.000000,2469865000.000000,,1954809000.000000,515056000.000000,,4.531000,-21913000.000000,330225000.000000,330225000.000000,50070000.000000,72555000.000000,2.573000,0.476000,36043000.000000,0.000000,36043000.000000,36043000.000000,69237000.000000,31037000.000000,0.000000,0.000000,0.000000,109609000.000000,140646000.000000,0.587000,140646000.000000,109609000.000000,109609000.000000,0.197000,0.187000,0.197000,1673405000.000000,,1673405000.000000,4716209404.000000,47.000000,25.102000,170034000.000000,0.460000,1.000000,189631000.000000,0.791000,317169000.000000,0.000000,1098867000.000000,,2267000.000000,1508766000.000000,1430975000.000000,77791000.000000,796460000.000000,759647000.000000,36813000.000000,167195000.000000,0.000000,20808000.000000,0.000000,0.000000,20808000.000000,-45560000.000000,-15842000.000000,191947000.000000,0.000000,72555000.000000,72555000.000000,72555000.000000,0.000000,0.000000,0.303000,143962000.000000,45669000.000000,95368000.000000,0.000000,2.994000,67.538000,77.553000,91195000.000000,0.000000,13.417000,6.149000,6.081000,114188000.000000,-62166000.000000,239701000.000000,239701000.000000,34325000.000000,,,,,0.000000,58305000.000000,1.000000,373445322.000000,369318000.000000,388902000.000000,0.649000,2152696000.000000,21006000.000000,37054000.000000,362149000.000000,5.829000
