dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-10-28,2020-09-23,2020-Q3,-21000.000000,,2025-05-07,0.000000,70000.000000,,25000.000000,45000.000000,,0.004000,0.000000,25000.000000,25000.000000,0.000000,-1000.000000,0.543000,1.917000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-1000.000000,-1000.000000,,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,0.000000,24000.000000,,24000.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,-1000.000000,,0.000000,0.000000,0.000000,0.000000,46000.000000,46000.000000,0.000000,25000.000000,0.000000,25000.000000,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,-1000.000000,-1000.000000,-1000.000000,0.000000,0.000000,,1000.000000,-1000.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-1000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1000.000000,1.000000,31250000.000000,6250000.000000,6250000.000000,0.000000,70000.000000,0.000000,0.000000,0.000000,0.011000
ARQ,2020-09-30,2020-12-18,2020-09-23,2020-Q3,-261834.000000,407492188.000000,2025-05-07,0.000000,301720.000000,,25000.000000,276720.000000,,0.002000,0.000000,25000.000000,25000.000000,0.000000,-10114.000000,0.087000,19.269000,297.000000,297.000000,0.000000,297.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10114.000000,-10114.000000,,-10114.000000,-10114.000000,-10114.000000,0.000000,0.000000,0.000000,14886.000000,,14886.000000,407467484.000000,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,-9817.000000,,0.000000,0.000000,0.000000,0.000000,286834.000000,286834.000000,0.000000,25000.000000,0.000000,25000.000000,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,-10114.000000,-10114.000000,-10114.000000,0.000000,0.000000,,10114.000000,-10114.000000,32720.000000,,27374.190000,,,0.000000,0.000000,10.750000,,,0.000000,-10114.000000,0.000000,0.000000,0.000000,,,,,0.000000,1297.000000,1.000000,37906250.000000,7500000.000000,7500000.000000,0.000000,301720.000000,0.000000,0.000000,8817.000000,0.040000
ARQ,2020-12-31,2021-03-25,2020-12-31,2020-Q4,887575.000000,396000000.000000,2025-05-07,0.000000,302370589.000000,,2340024.000000,300030565.000000,,0.135000,,1569739.000000,1569739.000000,,,1.611000,2.390000,31366.000000,31366.000000,0.000000,31366.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000010.000000,,5000010.000000,394461627.000000,-627.000000,-626.854000,,,1.000000,,,0.000000,,299379767.000000,,0.000000,300030565.000000,0.000000,300030565.000000,11952449.000000,1452449.000000,10500000.000000,,,,,,,,,,,,,,,,,,,850442.000000,,79.200000,-629.299000,,0.000000,,10.560000,,,0.000000,-629272.000000,,,,,,,,,,1.000000,37500000.000000,37156250.000000,,,302370589.000000,0.000000,,58132.000000,8.138000
ARQ,2020-12-31,2021-06-04,2020-12-31,2020-Q4,887575.000000,378750000.000000,2025-05-07,0.000000,302370589.000000,,2340024.000000,300030565.000000,,0.135000,,1569739.000000,1569739.000000,,,1.611000,9.367000,31366.000000,31366.000000,0.000000,31366.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000010.000000,,5000010.000000,377211627.000000,-23.000000,-23.264000,,,1.000000,,,0.000000,,299379767.000000,,0.000000,300030565.000000,0.000000,300030565.000000,46837449.000000,1452449.000000,45385000.000000,,,,,,,,,,,,,,,,,,,850442.000000,,75.750000,-23.359000,,0.000000,,10.100000,,,0.000000,-16214598.000000,,,,,,,,,,1.000000,37500000.000000,37156250.000000,,,302370589.000000,0.000000,,58132.000000,8.138000
ARQ,2020-12-31,2021-08-05,2020-12-31,2020-Q4,36698000.000000,1921021298.000000,2025-05-07,0.000000,60478000.000000,,38579000.000000,21899000.000000,,-5.780000,,36120000.000000,36120000.000000,,,20.510000,-0.213000,4271000.000000,495000.000000,3776000.000000,4271000.000000,1358000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-31766000.000000,,-31766000.000000,1889172298.000000,-122.000000,-135.454000,,,1.000000,,,2687000.000000,,24061000.000000,,0.000000,0.000000,0.000000,0.000000,6775000.000000,1881000.000000,4894000.000000,,,,,,,,,,,,,,,,,,,538000.000000,,-60.474000,-124.548000,-3.552000,16284000.000000,,9.980000,,,390000.000000,-39605000.000000,,,,,,,,,,1.000000,192487104.000000,5496316.000000,,,57791000.000000,0.000000,,0.000000,10.514000
ARQ,2021-03-31,2021-08-11,2021-03-31,2021-Q1,33578000.000000,1924871040.000000,2025-05-07,0.000000,64437000.000000,,39686000.000000,24751000.000000,,-5.560000,-1972000.000000,35431000.000000,35431000.000000,181000.000000,-7335000.000000,6.497000,-0.409000,4279000.000000,532000.000000,3747000.000000,4279000.000000,1333000.000000,506000.000000,0.000000,0.000000,0.000000,-7335000.000000,-6829000.000000,-54.632000,-6829000.000000,-7335000.000000,-7335000.000000,-1.150000,-1.150000,-1.150000,-35603000.000000,,-35603000.000000,1893719040.000000,,,-5870000.000000,-0.917000,1.000000,-56000.000000,-0.448000,4449000.000000,0.000000,22728000.000000,,0.000000,0.000000,0.000000,0.000000,14571000.000000,6108000.000000,8463000.000000,-689000.000000,0.000000,5363.000000,0.000000,0.000000,5363000.000000,-2154000.000000,0.000000,-3898000.000000,0.000000,-7335000.000000,-7335000.000000,-7335000.000000,0.000000,0.000000,-58.680000,7282000.000000,-7338000.000000,2272000.000000,0.000000,-54.065000,,,17610000.000000,0.000000,10.000000,,,72000.000000,-46940000.000000,125000.000000,125000.000000,3654000.000000,,,,,1431000.000000,3183000.000000,1.000000,192487104.000000,6403694.000000,6403694.000000,0.020000,59988000.000000,0.000000,0.000000,0.000000,9.368000
ARQ,2021-06-30,2021-10-22,2021-06-30,2021-Q2,24458000.000000,1859425425.000000,2025-05-07,0.000000,60393000.000000,,32965000.000000,27428000.000000,,-6.435000,-1786000.000000,27692000.000000,27692000.000000,327000.000000,-9986000.000000,3.875000,-0.404000,4275000.000000,559000.000000,3716000.000000,4275000.000000,1633000.000000,563000.000000,0.000000,0.000000,0.000000,-9986000.000000,-9423000.000000,-101.323000,-9423000.000000,-9986000.000000,-9986000.000000,-1.530000,-1.530000,-1.530000,-42060000.000000,,-42060000.000000,1836008425.000000,,,-7709000.000000,-1.179000,1.000000,-234000.000000,-2.516000,5110000.000000,0.000000,23359000.000000,,0.000000,0.000000,0.000000,0.000000,16984000.000000,8507000.000000,8477000.000000,-7739000.000000,0.000000,5386637.000000,0.000000,0.000000,29000.000000,-1845000.000000,0.000000,-5923000.000000,0.000000,-9986000.000000,-9986000.000000,-9986000.000000,0.000000,0.000000,-107.376000,9754000.000000,-9988000.000000,4635000.000000,0.000000,-44.209000,,,19722000.000000,0.000000,9.660000,,,420000.000000,-56926000.000000,93000.000000,93000.000000,5477000.000000,,,,,2443000.000000,3775000.000000,1.000000,192487104.000000,6535917.000000,6535917.000000,0.014000,55283000.000000,0.000000,0.000000,0.000000,8.458000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,586778000.000000,3815094401.000000,2025-05-07,0.000000,626559000.000000,,597854000.000000,28705000.000000,,4.624000,-2742000.000000,587294000.000000,587294000.000000,234000.000000,-14781000.000000,53.977000,0.124000,4245000.000000,564000.000000,3681000.000000,4245000.000000,5442000.000000,658000.000000,0.000000,0.000000,0.000000,-14781000.000000,-14123000.000000,-60.614000,-14123000.000000,-14781000.000000,-14781000.000000,-0.120000,-0.120000,-0.120000,557667000.000000,,557667000.000000,3232045401.000000,,,-14772000.000000,-0.122000,1.000000,-1000.000000,-0.004000,5521000.000000,0.000000,26913000.000000,,0.000000,0.000000,0.000000,0.000000,68892000.000000,11076000.000000,57816000.000000,559602000.000000,0.000000,574547000.000000,0.000000,0.000000,574547000.000000,-2915000.000000,0.000000,-12030000.000000,0.000000,-14781000.000000,-14781000.000000,-14781000.000000,0.000000,0.000000,-63.438000,10523000.000000,-10524000.000000,6049000.000000,0.000000,6.841000,,,20827000.000000,0.000000,19.820000,,,0.000000,-71707000.000000,233000.000000,233000.000000,6180000.000000,,,,,2055000.000000,3747000.000000,1.000000,192487104.000000,120605457.000000,120605457.000000,0.002000,621038000.000000,0.000000,0.000000,0.000000,5.149000
ARQ,2021-12-31,2022-03-28,2021-12-31,2021-Q4,519926000.000000,2597403431.000000,2025-05-07,-148000.000000,642028000.000000,,529617000.000000,112411000.000000,,4.296000,-2904000.000000,399025000.000000,399025000.000000,298000.000000,-74084000.000000,54.650000,0.086000,4211000.000000,568000.000000,3643000.000000,4211000.000000,4963000.000000,821000.000000,0.000000,0.000000,0.000000,-74084000.000000,-73263000.000000,-44.456000,-73263000.000000,-74084000.000000,-74084000.000000,-0.500000,-0.500000,-0.500000,591230000.000000,,591230000.000000,2202589431.000000,-21.000000,-21.253000,-7590000.000000,-0.055000,1.000000,1350000.000000,0.819000,5841000.000000,0.000000,231682000.000000,,0.000000,203553000.000000,123443000.000000,80110000.000000,50798000.000000,9691000.000000,41107000.000000,-188269000.000000,0.000000,23288000.000000,0.000000,0.000000,23288000.000000,-206871000.000000,-203761000.000000,-4686000.000000,0.000000,-74084000.000000,-74084000.000000,-74084000.000000,0.000000,0.000000,-44.954000,12187000.000000,-10837000.000000,1882000.000000,0.000000,4.393000,-24.461000,-17.065000,22902000.000000,0.000000,13.140000,1237.448000,861.453000,707000.000000,-145791000.000000,1648000.000000,1648000.000000,4917000.000000,,,,,1819000.000000,6265000.000000,1.000000,197671494.000000,137609620.000000,137609620.000000,0.012000,636187000.000000,0.000000,0.000000,0.000000,4.623000
ARQ,2022-03-31,2022-05-16,2022-03-31,2022-Q1,410918000.000000,962962568.000000,2025-05-07,-4688000.000000,627451000.000000,,422303000.000000,205148000.000000,,3.006000,-3129000.000000,86751000.000000,86751000.000000,568000.000000,-4227000.000000,37.093000,0.064000,4173000.000000,573000.000000,3600000.000000,4173000.000000,3906000.000000,1266000.000000,0.000000,0.000000,0.000000,-4227000.000000,-2961000.000000,-1.516000,-2961000.000000,-4227000.000000,-4227000.000000,-0.020000,-0.020000,-0.020000,589783000.000000,,589783000.000000,880384568.000000,-9.000000,-8.824000,-11453000.000000,-0.058000,1.000000,1385000.000000,0.709000,6175000.000000,0.000000,527313000.000000,,0.000000,499617000.000000,329157000.000000,170460000.000000,37668000.000000,11385000.000000,26283000.000000,-312274000.000000,0.000000,148000.000000,0.000000,0.000000,148000.000000,-304098000.000000,-300835000.000000,-8324000.000000,0.000000,-4227000.000000,-4227000.000000,-4227000.000000,0.000000,0.000000,-2.164000,19669000.000000,-18284000.000000,1967000.000000,0.000000,1.633000,-9.342000,-2.240000,25095000.000000,0.000000,4.860000,245.216000,242.794000,569000.000000,-150018000.000000,1953000.000000,1953000.000000,7338000.000000,,,,,6672000.000000,11065000.000000,1.000000,198140446.000000,196183247.000000,196183247.000000,0.010000,621276000.000000,0.000000,0.000000,0.000000,3.167000
