dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-24,1996-12-31,1996-Q4,56300000.000000,424705211.000000,2025-04-30,178000.000000,101305000.000000,,79356000.000000,21949000.000000,,2.282000,,37082000.000000,37082000.000000,,,3.442000,0.735000,26102000.000000,6238000.000000,19864000.000000,26102000.000000,10204000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,58385000.000000,,58385000.000000,413725211.000000,-16.000000,-18.240000,,,1.000000,,,6157000.000000,,61112000.000000,,0.000000,40542000.000000,40542000.000000,0.000000,42920000.000000,23056000.000000,19864000.000000,,,,,,,,,,,,,,,,,,,2362000.000000,,7.274000,-16.014000,-15.565000,15334000.000000,,16.188000,15.976000,15.580000,0.000000,-123067000.000000,,,,,,,,,,1.000000,26235805.000000,25585000.000000,,,95148000.000000,0.000000,,0.000000,3.719000
ARQ,1997-03-31,1997-05-09,1997-03-31,1997-Q1,46152000.000000,418355732.000000,2025-04-30,198000.000000,97838000.000000,,73186000.000000,24652000.000000,,1.940000,-2678000.000000,26249000.000000,26249000.000000,0.000000,-8554000.000000,2.707000,0.919000,25780000.000000,5963000.000000,19817000.000000,25780000.000000,13837000.000000,0.000000,0.000000,0.000000,0.000000,-7920000.000000,-7920000.000000,-1.421000,-7920000.000000,-7920000.000000,-8554000.000000,-0.330000,,-0.330000,50987000.000000,,50987000.000000,417886732.000000,,,-6389000.000000,-0.243000,1.000000,5573000.000000,1.000000,6393000.000000,634000.000000,63942000.000000,,0.000000,45146000.000000,45146000.000000,0.000000,46851000.000000,27034000.000000,19817000.000000,-10833000.000000,0.000000,1136000.000000,-708000.000000,0.000000,428000.000000,-7550000.000000,-4604000.000000,-3711000.000000,0.000000,-8554000.000000,-8554000.000000,-8554000.000000,0.000000,0.000000,-1.535000,13493000.000000,-7920000.000000,2434000.000000,0.000000,8.205000,,,17791000.000000,0.000000,15.875000,,,0.000000,-131621000.000000,5573000.000000,5573000.000000,11786000.000000,,,,,0.000000,1707000.000000,1.000000,26353117.000000,26278000.000000,,0.212000,91445000.000000,0.000000,0.000000,0.000000,3.480000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,49088000.000000,370819582.000000,2025-04-30,162000.000000,99057000.000000,,72571000.000000,26486000.000000,,1.594000,-1178000.000000,35851000.000000,35851000.000000,0.000000,-9426000.000000,3.090000,1.356000,35131000.000000,1605000.000000,33526000.000000,35131000.000000,15658000.000000,0.000000,0.000000,0.000000,0.000000,-8869000.000000,-8869000.000000,-1.531000,-8869000.000000,-8869000.000000,-9426000.000000,-0.360000,,-0.360000,42048000.000000,,42048000.000000,370099582.000000,,,-9165000.000000,-0.347000,1.000000,5793000.000000,1.000000,6974000.000000,557000.000000,67880000.000000,,0.000000,34745000.000000,34745000.000000,0.000000,57009000.000000,23483000.000000,33526000.000000,9602000.000000,0.000000,523000.000000,9067000.000000,0.000000,9590000.000000,7999000.000000,10401000.000000,-7987000.000000,0.000000,-9426000.000000,-9426000.000000,-9426000.000000,0.000000,0.000000,-1.627000,8869000.000000,-3076000.000000,1381000.000000,0.000000,8.819000,,,18485000.000000,0.000000,14.000000,,,0.000000,-141047000.000000,5793000.000000,5793000.000000,6815000.000000,,,,,0.000000,2054000.000000,1.000000,26487113.000000,26381000.000000,,0.220000,92083000.000000,0.000000,0.000000,0.000000,3.491000
ARQ,1997-09-30,1997-10-28,1997-09-30,1997-Q3,48370000.000000,411156642.000000,2025-04-30,183000.000000,97268000.000000,,70209000.000000,27059000.000000,,1.560000,143000.000000,28860000.000000,28860000.000000,0.000000,-2190000.000000,3.215000,1.351000,35595000.000000,1539000.000000,34056000.000000,35595000.000000,13480000.000000,0.000000,0.000000,0.000000,0.000000,-1399000.000000,-1399000.000000,-0.102000,-1399000.000000,-1399000.000000,-2190000.000000,-0.080000,,-0.080000,41373000.000000,,41373000.000000,417891642.000000,,,-2525000.000000,-0.095000,1.000000,13774000.000000,1.000000,7063000.000000,791000.000000,75101000.000000,,0.000000,39657000.000000,39657000.000000,0.000000,55895000.000000,21839000.000000,34056000.000000,-6991000.000000,0.000000,1494000.000000,-452000.000000,0.000000,1042000.000000,-5365000.000000,-4912000.000000,-2668000.000000,0.000000,-2190000.000000,-2190000.000000,-2190000.000000,0.000000,0.000000,-0.159000,15173000.000000,-1399000.000000,1104000.000000,0.000000,9.938000,,,18493000.000000,0.000000,15.438000,,,0.000000,-143237000.000000,13774000.000000,13774000.000000,13368000.000000,,,,,0.000000,1805000.000000,1.000000,26632766.000000,26519000.000000,,0.519000,90205000.000000,0.000000,0.000000,0.000000,3.402000
ARQ,1997-12-31,1998-03-19,1997-12-31,1997-Q4,62573000.000000,398066037.000000,2025-04-30,165000.000000,117881000.000000,,89150000.000000,28731000.000000,,1.317000,259000.000000,38102000.000000,38102000.000000,0.000000,-10896000.000000,3.354000,2.382000,58704000.000000,2252000.000000,56452000.000000,58704000.000000,14893000.000000,3178000.000000,0.000000,0.000000,0.000000,-9293000.000000,-6115000.000000,-0.537000,-6115000.000000,-9293000.000000,-10896000.000000,-0.400000,,-0.400000,34852000.000000,,34852000.000000,418668037.000000,-15.000000,-17.227000,-5929000.000000,-0.224000,1.000000,11397000.000000,1.000000,7485000.000000,1603000.000000,104421000.000000,,0.000000,48684000.000000,48684000.000000,0.000000,83029000.000000,26577000.000000,56452000.000000,9242000.000000,0.000000,3934000.000000,21742000.000000,0.000000,25676000.000000,-10246000.000000,-9027000.000000,-6188000.000000,0.000000,-10896000.000000,-10896000.000000,-10896000.000000,0.000000,0.000000,-0.956000,26483000.000000,-15086000.000000,2843000.000000,0.000000,11.422000,-12.814000,-12.714000,18785000.000000,0.000000,14.875000,10.895000,10.771000,0.000000,-154133000.000000,11397000.000000,11397000.000000,23971000.000000,,,,,459000.000000,2512000.000000,1.000000,26760742.000000,26456000.000000,,0.431000,110396000.000000,0.000000,0.000000,0.000000,4.173000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,51861000.000000,405686335.000000,2025-04-30,389000.000000,101318000.000000,,71844000.000000,29474000.000000,,0.921000,-1071000.000000,27786000.000000,27786000.000000,0.000000,-11526000.000000,3.595000,3.112000,58935000.000000,2239000.000000,56696000.000000,58935000.000000,10705000.000000,0.000000,0.000000,0.000000,0.000000,-9822000.000000,-9822000.000000,-1.425000,-9822000.000000,-9822000.000000,-11526000.000000,-0.430000,-0.430000,-0.430000,24639000.000000,,24639000.000000,436835335.000000,-15.000000,-16.670000,-18253000.000000,-0.683000,1.000000,6895000.000000,1.000000,7959000.000000,1704000.000000,104525000.000000,,0.000000,41746000.000000,41746000.000000,0.000000,76679000.000000,19983000.000000,56696000.000000,-10316000.000000,0.000000,1090000.000000,231000.000000,0.000000,1321000.000000,5545000.000000,6938000.000000,-17182000.000000,0.000000,-11526000.000000,-11526000.000000,-11526000.000000,0.000000,0.000000,-1.672000,16717000.000000,-9822000.000000,1200000.000000,0.000000,16.465000,-11.919000,-11.909000,19093000.000000,0.000000,15.125000,10.716000,10.683000,0.000000,-165660000.000000,6895000.000000,6895000.000000,14859000.000000,,,,,0.000000,1858000.000000,1.000000,26822237.000000,26740000.000000,26740000.000000,0.258000,93359000.000000,0.000000,0.000000,0.000000,3.491000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,54164000.000000,306072619.000000,2025-04-30,266000.000000,117635000.000000,,87182000.000000,30453000.000000,,0.473000,-810000.000000,38852000.000000,38852000.000000,0.000000,-13847000.000000,2.640000,8.264000,74085000.000000,2166000.000000,71919000.000000,74085000.000000,22558000.000000,0.000000,0.000000,0.000000,0.000000,-11745000.000000,-11745000.000000,-2.014000,-11745000.000000,-11745000.000000,-13847000.000000,-0.520000,-0.520000,-0.520000,12698000.000000,,12698000.000000,341305619.000000,-11.000000,-11.736000,1260000.000000,0.047000,1.000000,5832000.000000,1.000000,8266000.000000,2102000.000000,111584000.000000,,0.000000,45515000.000000,45515000.000000,0.000000,104937000.000000,33018000.000000,71919000.000000,11066000.000000,0.000000,2030000.000000,12040000.000000,0.000000,14070000.000000,-5074000.000000,-3769000.000000,2070000.000000,0.000000,-13847000.000000,-13847000.000000,-13847000.000000,0.000000,0.000000,-2.374000,11745000.000000,-5913000.000000,2746000.000000,0.000000,24.104000,-7.958000,-7.955000,19787000.000000,0.000000,11.375000,8.076000,8.055000,0.000000,-179508000.000000,5832000.000000,5832000.000000,9484000.000000,,,,,0.000000,2261000.000000,1.000000,26907483.000000,26836000.000000,26836000.000000,0.217000,109369000.000000,0.000000,0.000000,0.000000,4.075000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,54588000.000000,297021659.000000,2025-04-30,312000.000000,106762000.000000,,75575000.000000,31187000.000000,,0.441000,-946000.000000,38002000.000000,38002000.000000,0.000000,-956000.000000,3.601000,8.008000,76157000.000000,2234000.000000,73923000.000000,76157000.000000,10269000.000000,0.000000,0.000000,0.000000,0.000000,2027000.000000,2027000.000000,0.097000,2027000.000000,2027000.000000,-956000.000000,-0.040000,-0.040000,-0.040000,11852000.000000,,11852000.000000,335176659.000000,-12.000000,-13.065000,-10483000.000000,-0.390000,1.000000,20877000.000000,1.000000,8579000.000000,2983000.000000,115351000.000000,,0.000000,35046000.000000,35046000.000000,0.000000,94910000.000000,20987000.000000,73923000.000000,-850000.000000,0.000000,63000.000000,-621000.000000,0.000000,-558000.000000,9245000.000000,10469000.000000,-9537000.000000,0.000000,-956000.000000,-956000.000000,-956000.000000,0.000000,0.000000,-0.046000,18850000.000000,2027000.000000,2787000.000000,0.000000,25.061000,-7.979000,-7.914000,20347000.000000,0.000000,11.000000,6.600000,6.568000,0.000000,-180463000.000000,20877000.000000,20877000.000000,16540000.000000,,,,,0.000000,2310000.000000,1.000000,27001969.000000,26868000.000000,26868000.000000,0.777000,98183000.000000,0.000000,0.000000,0.000000,3.654000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,40651000.000000,244526607.000000,2025-04-30,166000.000000,96074000.000000,,63187000.000000,32887000.000000,,-0.155000,-1607000.000000,27618000.000000,27618000.000000,0.000000,-16653000.000000,2.804000,-23.951000,81305000.000000,3581000.000000,77724000.000000,81305000.000000,10176000.000000,4258000.000000,0.000000,0.000000,0.000000,-14087000.000000,-9829000.000000,-2.259000,-9829000.000000,-14087000.000000,-16653000.000000,-0.620000,-0.620000,-0.620000,-4186000.000000,,-4186000.000000,298213607.000000,-9.000000,-10.154000,-11678000.000000,-0.432000,1.000000,4351000.000000,1.000000,9113000.000000,2566000.000000,118112000.000000,,0.000000,31230000.000000,31230000.000000,0.000000,100260000.000000,22536000.000000,77724000.000000,-10384000.000000,0.000000,761000.000000,-467000.000000,0.000000,294000.000000,-607000.000000,3816000.000000,-10071000.000000,0.000000,-16653000.000000,-16653000.000000,-16653000.000000,0.000000,0.000000,-3.827000,22588000.000000,-18237000.000000,2977000.000000,0.000000,-58.415000,-5.689000,-5.625000,21542000.000000,0.000000,9.000000,6.243000,6.174000,3466000.000000,-197116000.000000,4351000.000000,4351000.000000,14269000.000000,,,,,0.000000,3081000.000000,1.000000,27169623.000000,27047000.000000,27047000.000000,0.161000,86961000.000000,0.000000,0.000000,0.000000,3.215000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,29220000.000000,301850378.000000,2025-04-30,84000.000000,82872000.000000,,48852000.000000,34020000.000000,,-0.578000,-1849000.000000,20310000.000000,20310000.000000,0.000000,-12604000.000000,2.488000,-6.277000,82559000.000000,3614000.000000,78945000.000000,82559000.000000,8725000.000000,0.000000,0.000000,0.000000,0.000000,-9899000.000000,-9899000.000000,-1.505000,-9899000.000000,-9899000.000000,-12604000.000000,-0.460000,-0.460000,-0.460000,-15705000.000000,,-15705000.000000,364099378.000000,-11.000000,-12.365000,-15891000.000000,-0.585000,1.000000,6576000.000000,1.000000,9467000.000000,2705000.000000,116022000.000000,,0.000000,22547000.000000,22547000.000000,0.000000,98577000.000000,19632000.000000,78945000.000000,-14281000.000000,0.000000,1167000.000000,-670000.000000,0.000000,497000.000000,-736000.000000,1711000.000000,-14042000.000000,0.000000,-12604000.000000,-12604000.000000,-12604000.000000,0.000000,0.000000,-1.917000,17131000.000000,-10555000.000000,2729000.000000,0.000000,-19.220000,-6.851000,-6.517000,22374000.000000,0.000000,10.688000,8.020000,7.718000,5256000.000000,-209720000.000000,6576000.000000,6576000.000000,14316000.000000,,,,,0.000000,2815000.000000,1.000000,28241989.000000,27179000.000000,27179000.000000,0.242000,73405000.000000,0.000000,0.000000,0.000000,2.701000
