dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2008-03-31,2008-05-08,2008-03-31,2008-Q1,30572.000000,,2025-05-09,0.000000,35956.000000,,32400.000000,3556.000000,,0.674000,0.000000,32250.000000,32250.000000,0.000000,-26872.000000,17.724000,0.054000,0.000000,0.000000,0.000000,0.000000,0.000000,444.000000,0.000000,,0.000000,-26872.000000,-26428.000000,,-26428.000000,-26872.000000,-26872.000000,,,,34128.000000,,34128.000000,,,,-24750.000000,-0.489000,1.000000,0.000000,,3556.000000,0.000000,-1678.000000,,0.000000,0.000000,0.000000,0.000000,1828.000000,1828.000000,0.000000,32250.000000,0.000000,61000.000000,0.000000,0.000000,61000.000000,-4000.000000,0.000000,-24750.000000,0.000000,-26872.000000,-26872.000000,-26872.000000,0.000000,0.000000,,26872.000000,-26872.000000,1828.000000,,,,,0.000000,0.000000,,,,0.000000,-26872.000000,0.000000,0.000000,0.000000,,,,,0.000000,18058.000000,1.000000,50600.000000,50600.000000,,0.000000,32400.000000,0.000000,0.000000,0.000000,0.640000
ARQ,2008-06-30,2008-07-21,2008-06-30,2008-Q2,15870.000000,,2025-05-09,0.000000,21113.000000,,17890.000000,3223.000000,,0.377000,0.000000,17740.000000,17740.000000,0.000000,-40331.000000,8.856000,0.106000,0.000000,0.000000,0.000000,0.000000,0.000000,333.000000,0.000000,,0.000000,-40331.000000,-39998.000000,,-39998.000000,-40331.000000,-40331.000000,,,,19093.000000,,19093.000000,,,,-14510.000000,-0.287000,1.000000,0.000000,,3223.000000,0.000000,-1870.000000,,0.000000,0.000000,0.000000,0.000000,2020.000000,2020.000000,0.000000,-14510.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14510.000000,0.000000,-40331.000000,-40331.000000,-40331.000000,0.000000,0.000000,,40331.000000,-40331.000000,2020.000000,,,,,0.000000,0.000000,,,,0.000000,-41907.000000,0.000000,0.000000,0.000000,,,,,0.000000,21115.000000,1.000000,50600.000000,50600.000000,50600.000000,0.000000,17890.000000,0.000000,0.000000,0.000000,0.354000
ARQ,2008-09-30,2008-10-09,2008-09-30,2008-Q3,13732.000000,,2025-05-09,0.000000,19792.000000,,16902.000000,2890.000000,,0.328000,0.000000,16752.000000,16752.000000,0.000000,-42802.000000,5.332000,0.191000,0.000000,0.000000,0.000000,0.000000,0.000000,222.000000,0.000000,,0.000000,-42802.000000,-42580.000000,,-42580.000000,-42802.000000,-42802.000000,,,,16622.000000,,16622.000000,,,,-4196.000000,-0.083000,1.000000,0.000000,,2890.000000,0.000000,-3020.000000,,0.000000,0.000000,0.000000,0.000000,3170.000000,3170.000000,0.000000,-61196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4196.000000,0.000000,-42802.000000,-42802.000000,-42802.000000,0.000000,0.000000,,42802.000000,-42802.000000,3170.000000,,,,,0.000000,0.000000,,,,0.000000,-44378.000000,0.000000,0.000000,0.000000,,,,,0.000000,23253.000000,1.000000,50600.000000,50600.000000,50600.000000,0.000000,16902.000000,0.000000,0.000000,0.000000,0.334000
ARQ,2008-09-30,2008-10-20,2008-09-30,2008-Q3,13732.000000,,2025-05-09,0.000000,19792.000000,,16902.000000,2890.000000,,0.328000,0.000000,16752.000000,16752.000000,0.000000,-42802.000000,5.332000,0.191000,0.000000,0.000000,0.000000,0.000000,0.000000,222.000000,0.000000,,0.000000,-42802.000000,-42580.000000,,-42580.000000,-42802.000000,-42802.000000,,,,16622.000000,,16622.000000,,,,-4196.000000,-0.083000,1.000000,0.000000,,2890.000000,0.000000,-3020.000000,,0.000000,0.000000,0.000000,0.000000,3170.000000,3170.000000,0.000000,-61196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4196.000000,0.000000,-42802.000000,-42802.000000,-42802.000000,0.000000,0.000000,,42802.000000,-42802.000000,3170.000000,,,,,0.000000,0.000000,,,,0.000000,-44378.000000,0.000000,0.000000,0.000000,,,,,0.000000,23253.000000,1.000000,50600.000000,50600.000000,50600.000000,0.000000,16902.000000,0.000000,0.000000,0.000000,0.334000
ARQ,2008-12-31,2009-02-17,2008-12-31,2008-Q4,-273.000000,,2025-05-09,0.000000,5612.000000,,3055.000000,2557.000000,,0.045000,0.000000,2905.000000,2905.000000,0.000000,-12762.000000,0.918000,1.457000,0.000000,0.000000,0.000000,0.000000,0.000000,1331001.000000,0.000000,,0.000000,-12762.000000,1318239.000000,,1318239.000000,-12762.000000,-12762.000000,,,,2284.000000,,2284.000000,,,,-57259544.000000,-1131.612000,1.000000,0.000000,,2557.000000,0.000000,-3178.000000,,0.000000,0.000000,0.000000,0.000000,3328.000000,3328.000000,0.000000,-57259544.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57259544.000000,0.000000,-12762.000000,-12762.000000,-12762.000000,0.000000,0.000000,,12762.000000,-12762.000000,3328.000000,,,,,0.000000,0.000000,,,,0.000000,-58716.000000,0.000000,0.000000,0.000000,,,,,0.000000,1660.000000,1.000000,50600.000000,50600.000000,,0.000000,3055.000000,0.000000,0.000000,0.000000,0.060000
ARQ,2009-03-31,2009-05-04,2009-03-31,2009-Q1,-6552.000000,,2025-05-09,0.000000,3942.000000,,1718.000000,2224.000000,,-0.086000,0.000000,1568.000000,1568.000000,0.000000,-65328.000000,0.208000,-1.911000,0.000000,0.000000,0.000000,0.000000,0.000000,1776.000000,0.000000,,0.000000,-65328.000000,-63552.000000,,-63552.000000,-65328.000000,-65328.000000,,,,-4328.000000,,-4328.000000,,,,-55432.000000,-1.095000,1.000000,0.000000,,2224.000000,0.000000,-8120.000000,,0.000000,0.000000,0.000000,0.000000,8270.000000,8270.000000,0.000000,1568.000000,0.000000,61000.000000,0.000000,0.000000,61000.000000,-4000.000000,0.000000,-55432.000000,0.000000,-65328.000000,-65328.000000,-65328.000000,0.000000,0.000000,,65328.000000,-65328.000000,8270.000000,,,,,0.000000,0.000000,,,,0.000000,-65328.000000,0.000000,0.000000,0.000000,,,,,0.000000,32482.000000,1.000000,50600.000000,50600.000000,,0.000000,1718.000000,0.000000,0.000000,0.000000,0.034000
ARQ,2009-06-30,2009-07-27,2009-06-30,2009-Q2,-9564.000000,,2025-05-09,0.000000,3347.000000,,1456.000000,1891.000000,,-0.152000,0.000000,1154.000000,1154.000000,0.000000,-3345.000000,0.132000,-1.436000,0.000000,0.000000,0.000000,0.000000,0.000000,333.000000,0.000000,,0.000000,-3345.000000,-3012.000000,,-3012.000000,-3345.000000,-3345.000000,,,,-7673.000000,,-7673.000000,,,,-414.000000,-0.008000,1.000000,0.000000,,1891.000000,0.000000,-10718.000000,,0.000000,0.000000,0.000000,0.000000,11020.000000,11020.000000,0.000000,-414.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-414.000000,0.000000,-3345.000000,-3345.000000,-3345.000000,0.000000,0.000000,,3345.000000,-3345.000000,11020.000000,,,,,0.000000,0.000000,,,,0.000000,-68673.000000,0.000000,0.000000,0.000000,,,,,0.000000,3012.000000,1.000000,50600.000000,50600.000000,50600.000000,0.000000,1456.000000,0.000000,0.000000,0.000000,0.029000
ARQ,2009-09-30,2009-10-23,2009-09-30,2009-Q3,-12701.000000,,2025-05-09,0.000000,2477.000000,,919.000000,1558.000000,,-0.220000,0.000000,618.000000,618.000000,0.000000,-3470.000000,0.067000,-1.222000,0.000000,0.000000,0.000000,0.000000,0.000000,333.000000,0.000000,,0.000000,-3470.000000,-3137.000000,,-3137.000000,-3470.000000,-3470.000000,,,,-11143.000000,,-11143.000000,,,,-536.000000,-0.011000,1.000000,0.000000,,1558.000000,0.000000,-13319.000000,,0.000000,0.000000,0.000000,0.000000,13620.000000,13620.000000,0.000000,-536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-536.000000,0.000000,-3470.000000,-3470.000000,-3470.000000,0.000000,0.000000,,3470.000000,-3470.000000,13620.000000,,,,,0.000000,0.000000,,,,0.000000,-72143.000000,0.000000,0.000000,0.000000,,,,,0.000000,3137.000000,1.000000,50600.000000,50600.000000,50600.000000,0.000000,919.000000,0.000000,0.000000,0.000000,0.018000
ARQ,2009-12-31,2010-03-31,2009-12-31,2009-Q4,-14713.000000,,2025-05-09,0.000000,9632.000000,,8407.000000,1225.000000,,-0.011000,0.000000,8257.000000,8257.000000,0.000000,-2345.000000,0.364000,-1.714000,0.000000,0.000000,0.000000,0.000000,0.000000,1329558.000000,0.000000,,0.000000,-2345.000000,1327213.000000,,1327213.000000,-2345.000000,-2345.000000,,,,-13488.000000,,-13488.000000,,,,-14391618.000000,-11.851000,1.000000,0.000000,,1225.000000,0.000000,-22970.000000,,0.000000,0.000000,0.000000,0.000000,23120.000000,23120.000000,0.000000,5351382.000000,0.000000,-61000.000000,0.000000,0.000000,19739000.000000,4000.000000,0.000000,-14391618.000000,0.000000,-2345.000000,-2345.000000,-2345.000000,0.000000,0.000000,,2345.000000,-2345.000000,23120.000000,,,,,0.000000,0.000000,,,,0.000000,-74488.000000,0.000000,0.000000,0.000000,,,,,0.000000,2012.000000,1.000000,718600.000000,1214400.000000,1214400.000000,0.000000,8407.000000,0.000000,0.000000,0.000000,0.007000
ARQ,2010-03-31,2010-05-14,2010-03-31,2010-Q1,281751.000000,,2025-05-09,0.000000,536438.000000,,316949.000000,219489.000000,,0.443000,0.000000,311799.000000,311799.000000,0.000000,-67680.000000,9.005000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-67680.000000,-67680.000000,,-67680.000000,-67680.000000,-67680.000000,0.000000,0.000000,0.000000,501240.000000,,501240.000000,,,,-55619.000000,-0.049000,1.000000,0.000000,,219489.000000,0.000000,-30048.000000,,0.000000,0.000000,0.000000,0.000000,35198.000000,35198.000000,0.000000,303542.000000,0.000000,365000.000000,0.000000,0.000000,360017.000000,-856.000000,0.000000,-55619.000000,0.000000,-67680.000000,-67680.000000,-67680.000000,0.000000,0.000000,,67680.000000,-67680.000000,35198.000000,,,,,0.000000,0.000000,,,,0.000000,-142168.000000,0.000000,0.000000,0.000000,,,,,0.000000,67680.000000,1.000000,718600.000000,1131767.000000,1131767.000000,0.000000,316949.000000,0.000000,0.000000,0.000000,0.280000
