dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-03-31,2000-06-13,2000-03-31,2000-Q1,51726000.000000,,2025-04-23,-240000.000000,65081000.000000,,62002000.000000,3079000.000000,,2.086000,-755000.000000,39046000.000000,39046000.000000,2532000.000000,-5032000.000000,6.034000,0.244000,4252000.000000,1781000.000000,2471000.000000,4252000.000000,2102000.000000,385000.000000,0.000000,,0.000000,-4930000.000000,-4545000.000000,-1.550000,-4545000.000000,-4930000.000000,-5032000.000000,-0.200000,-0.200000,-0.200000,52334000.000000,,52334000.000000,,,,-6551000.000000,-0.261000,1.000000,401000.000000,0.137000,0.000000,102000.000000,20011000.000000,,3573000.000000,15585000.000000,15585000.000000,0.000000,12747000.000000,10276000.000000,2471000.000000,34940000.000000,0.000000,60000.000000,113000.000000,0.000000,34929000.000000,5807000.000000,6562000.000000,-5796000.000000,0.000000,-5032000.000000,-5032000.000000,-5032000.000000,0.000000,0.000000,-1.716000,5769000.000000,-5368000.000000,3455000.000000,0.000000,,,,3079000.000000,0.000000,,,,2780000.000000,-80179000.000000,2933000.000000,2933000.000000,2631000.000000,,,,,346000.000000,3138000.000000,1.000000,155147836.000000,25085228.000000,25085228.000000,0.117000,65081000.000000,0.000000,0.000000,0.000000,2.594000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,85184000.000000,499508926.000000,2025-04-23,-290000.000000,106572000.000000,,98435000.000000,8137000.000000,,1.024000,-3957000.000000,40484000.000000,40484000.000000,3503000.000000,-4490000.000000,7.428000,0.167000,3784000.000000,1746000.000000,2038000.000000,3784000.000000,2744000.000000,569000.000000,0.000000,0.000000,0.000000,-4372000.000000,-3803000.000000,-0.742000,-3803000.000000,-4372000.000000,-4490000.000000,-0.051000,-0.051000,-0.051000,91283000.000000,,91283000.000000,462808926.000000,,,-7896000.000000,-0.089000,1.000000,1624000.000000,0.317000,0.000000,118000.000000,56621000.000000,,4796000.000000,46856000.000000,46856000.000000,0.000000,15289000.000000,13251000.000000,2038000.000000,1438000.000000,0.000000,41123000.000000,-468000.000000,0.000000,40655000.000000,-35278000.000000,-31321000.000000,-3939000.000000,0.000000,-4490000.000000,-4490000.000000,-4490000.000000,0.000000,0.000000,-0.876000,6798000.000000,-5174000.000000,4825000.000000,0.000000,5.472000,,,3672000.000000,0.000000,3.111000,,,5285000.000000,-84669000.000000,5127000.000000,5127000.000000,2822000.000000,,,,,696000.000000,3976000.000000,1.000000,160556440.000000,89136000.000000,89136000.000000,0.058000,106572000.000000,0.000000,0.000000,0.000000,1.196000
ARQ,2000-09-30,2000-11-13,2000-09-30,2000-Q3,87594000.000000,472819121.000000,2025-04-23,-121000.000000,111067000.000000,,102947000.000000,8120000.000000,,0.606000,-565000.000000,25965000.000000,25965000.000000,4708000.000000,-4020000.000000,6.705000,0.176000,3182000.000000,1941000.000000,1241000.000000,3182000.000000,3727000.000000,582000.000000,0.000000,0.000000,0.000000,-3927000.000000,-3345000.000000,-0.426000,-3345000.000000,-3927000.000000,-4020000.000000,-0.027000,-0.027000,-0.027000,94473000.000000,,94473000.000000,450036121.000000,,,-5504000.000000,-0.035000,1.000000,3151000.000000,0.401000,0.000000,93000.000000,72931000.000000,,5256000.000000,61718000.000000,61718000.000000,0.000000,16594000.000000,15353000.000000,1241000.000000,-14519000.000000,0.000000,6280000.000000,-602000.000000,0.000000,5678000.000000,-15258000.000000,-14693000.000000,-4939000.000000,0.000000,-4020000.000000,-4020000.000000,-4020000.000000,0.000000,0.000000,-0.512000,8567000.000000,-5416000.000000,5225000.000000,0.000000,5.005000,,,3839000.000000,0.000000,2.944000,,,8373000.000000,-88689000.000000,7859000.000000,7859000.000000,3172000.000000,,,,,761000.000000,5395000.000000,1.000000,160580079.000000,155992500.000000,155992500.000000,0.050000,111067000.000000,0.000000,0.000000,0.000000,0.712000
ARQ,2000-12-31,2001-03-30,2000-12-31,2000-Q4,83836000.000000,174845247.000000,2025-04-23,134000.000000,112421000.000000,,103666000.000000,8755000.000000,,0.847000,-1278000.000000,22657000.000000,22657000.000000,7288000.000000,-4981000.000000,5.228000,0.239000,3880000.000000,2019000.000000,1861000.000000,3880000.000000,3552000.000000,643000.000000,0.000000,0.000000,0.000000,-4890000.000000,-4247000.000000,-0.397000,-4247000.000000,-4890000.000000,-4981000.000000,-0.022000,-0.022000,-0.022000,90730000.000000,,90730000.000000,156068247.000000,-9.000000,-9.791000,592000.000000,0.006000,1.000000,3418000.000000,0.319000,4086000.000000,91000.000000,69728000.000000,,6076000.000000,66784000.000000,66784000.000000,0.000000,21691000.000000,19830000.000000,1861000.000000,-3308000.000000,0.000000,213000.000000,698000.000000,0.000000,911000.000000,-6089000.000000,-4811000.000000,1870000.000000,0.000000,-4981000.000000,-4981000.000000,-4981000.000000,0.000000,0.000000,-0.465000,9736000.000000,-6318000.000000,7128000.000000,0.000000,1.927000,-9.439000,-6.268000,4669000.000000,0.000000,1.084000,6.567000,4.362000,6444000.000000,-93670000.000000,10706000.000000,10706000.000000,3110000.000000,,,,,770000.000000,6626000.000000,1.000000,161230248.000000,107082000.000000,107082000.000000,0.100000,108335000.000000,0.000000,0.000000,0.000000,1.012000
ARQ,2001-03-31,2001-05-14,2001-03-31,2001-Q1,80665000.000000,216523855.000000,2025-04-23,387000.000000,105006000.000000,,95311000.000000,9695000.000000,,0.558000,-1562000.000000,13670000.000000,13670000.000000,6563000.000000,-3407000.000000,6.508000,0.181000,3545000.000000,2072000.000000,1473000.000000,3545000.000000,2340000.000000,622000.000000,0.000000,0.000000,0.000000,-3407000.000000,-2785000.000000,-0.231000,-2785000.000000,-3407000.000000,-3407000.000000,-0.022000,-0.022000,-0.022000,88887000.000000,,88887000.000000,206398855.000000,-12.000000,-14.556000,-13137000.000000,-0.082000,1.000000,5516000.000000,0.457000,3892000.000000,0.000000,76343000.000000,,6523000.000000,63246000.000000,63246000.000000,0.000000,16119000.000000,14646000.000000,1473000.000000,-8987000.000000,0.000000,694000.000000,-335000.000000,0.000000,359000.000000,2229000.000000,3791000.000000,-11575000.000000,0.000000,-3407000.000000,-3407000.000000,-3407000.000000,0.000000,0.000000,-0.282000,10066000.000000,-4550000.000000,5540000.000000,0.000000,2.436000,-12.814000,-11.020000,5803000.000000,0.000000,1.344000,6.053000,5.987000,10266000.000000,-97077000.000000,12079000.000000,12079000.000000,3231000.000000,,,,,617000.000000,6835000.000000,1.000000,161050802.000000,159304500.000000,159304500.000000,0.076000,101114000.000000,0.000000,0.000000,0.000000,0.635000
ARQ,2001-06-30,2001-08-10,2001-06-30,2001-Q2,76187000.000000,326642443.000000,2025-04-23,225000.000000,103003000.000000,,92732000.000000,10271000.000000,,0.534000,-1327000.000000,23484000.000000,23484000.000000,6659000.000000,-4244000.000000,5.605000,0.202000,2882000.000000,2110000.000000,772000.000000,2882000.000000,2198000.000000,765000.000000,0.000000,0.000000,0.000000,-4244000.000000,-3479000.000000,-0.274000,-3479000.000000,-4244000.000000,-4244000.000000,-0.027000,-0.027000,-0.027000,85686000.000000,,85686000.000000,306040443.000000,-19.000000,-22.087000,-2415000.000000,-0.015000,1.000000,6061000.000000,0.476000,3697000.000000,0.000000,62159000.000000,,6791000.000000,50987000.000000,50987000.000000,0.000000,17317000.000000,16545000.000000,772000.000000,9814000.000000,0.000000,795000.000000,-663000.000000,0.000000,132000.000000,10770000.000000,12097000.000000,-1088000.000000,0.000000,-4244000.000000,-4244000.000000,-4244000.000000,0.000000,0.000000,-0.334000,11002000.000000,-4941000.000000,6935000.000000,0.000000,3.812000,-19.616000,-20.635000,6574000.000000,0.000000,2.022000,7.533000,7.482000,9686000.000000,-101320000.000000,12720000.000000,12720000.000000,3336000.000000,,,,,409000.000000,7666000.000000,1.000000,161526483.000000,160447500.000000,160447500.000000,0.079000,99306000.000000,0.000000,0.000000,0.000000,0.619000
ARQ,2001-09-30,2001-11-14,2001-09-30,2001-Q3,73106000.000000,342092618.000000,2025-04-23,756000.000000,100412000.000000,,90149000.000000,10263000.000000,,0.508000,-830000.000000,24619000.000000,24619000.000000,5750000.000000,-4798000.000000,5.290000,0.219000,2866000.000000,1903000.000000,963000.000000,2866000.000000,3434000.000000,835000.000000,0.000000,0.000000,0.000000,-4798000.000000,-3963000.000000,-0.365000,-3963000.000000,-4798000.000000,-4798000.000000,-0.029000,-0.029000,-0.029000,82406000.000000,,82406000.000000,320339618.000000,-18.000000,-22.132000,-11387000.000000,-0.070000,1.000000,5111000.000000,0.471000,3502000.000000,0.000000,58114000.000000,,7595000.000000,39655000.000000,39655000.000000,0.000000,18006000.000000,17043000.000000,963000.000000,1135000.000000,0.000000,675000.000000,-16000.000000,0.000000,659000.000000,11033000.000000,11863000.000000,-10557000.000000,0.000000,-4798000.000000,-4798000.000000,-4798000.000000,0.000000,0.000000,-0.442000,10945000.000000,-5834000.000000,6182000.000000,0.000000,4.151000,-19.627000,-21.000000,6761000.000000,0.000000,2.100000,7.378000,7.349000,15557000.000000,-106118000.000000,10861000.000000,10861000.000000,3493000.000000,,,,,312000.000000,7452000.000000,1.000000,162901246.000000,162252000.000000,162252000.000000,0.067000,96910000.000000,0.000000,0.000000,0.000000,0.597000
ARQ,2001-12-31,2002-04-01,2001-12-31,2001-Q4,67922000.000000,340085802.000000,2025-04-23,551000.000000,100361000.000000,,89219000.000000,11142000.000000,,0.481000,-1772000.000000,10487000.000000,10487000.000000,9246000.000000,-4252000.000000,4.189000,0.282000,2402000.000000,1631000.000000,771000.000000,2402000.000000,3870000.000000,893000.000000,0.000000,0.000000,0.000000,-3984000.000000,-3091000.000000,-0.193000,-3091000.000000,-3984000.000000,-4252000.000000,-0.027000,-0.027000,-0.027000,78293000.000000,,78293000.000000,332000802.000000,-20.000000,-24.931000,2895000.000000,0.018000,1.000000,6767000.000000,0.423000,3308000.000000,268000.000000,67671000.000000,,6182000.000000,56174000.000000,56174000.000000,0.000000,22068000.000000,21297000.000000,771000.000000,-14132000.000000,0.000000,85000.000000,-464000.000000,0.000000,-379000.000000,-18420000.000000,-16648000.000000,4667000.000000,0.000000,-4252000.000000,-4252000.000000,-4252000.000000,0.000000,0.000000,-0.266000,11826000.000000,-5059000.000000,8300000.000000,0.000000,4.344000,-20.364000,-19.979000,7834000.000000,0.000000,2.078000,6.581000,6.481000,13248000.000000,-110370000.000000,16013000.000000,16013000.000000,3791000.000000,,,,,259000.000000,8035000.000000,1.000000,163677658.000000,162666000.000000,162666000.000000,0.098000,97053000.000000,0.000000,0.000000,0.000000,0.597000
ARQ,2002-03-31,2002-05-14,2002-03-31,2002-Q1,60478000.000000,325953645.000000,2025-04-23,92000.000000,95488000.000000,,81251000.000000,14237000.000000,,0.449000,-3981000.000000,8335000.000000,8335000.000000,7507000.000000,-5617000.000000,3.911000,0.300000,2869000.000000,1587000.000000,1282000.000000,2869000.000000,3624000.000000,817000.000000,0.000000,0.000000,0.000000,-5617000.000000,-4800000.000000,-0.333000,-4800000.000000,-5617000.000000,-5617000.000000,-0.033000,-0.033000,-0.033000,73433000.000000,,73433000.000000,320487645.000000,-17.000000,-20.902000,-11040000.000000,-0.068000,1.000000,6902000.000000,0.479000,3113000.000000,0.000000,66136000.000000,,6242000.000000,48294000.000000,48294000.000000,0.000000,22055000.000000,20773000.000000,1282000.000000,-2152000.000000,0.000000,1000000.000000,467000.000000,0.000000,1467000.000000,3398000.000000,7379000.000000,-7059000.000000,42000.000000,-5617000.000000,-5617000.000000,-5617000.000000,0.000000,0.000000,-0.390000,13017000.000000,-6115000.000000,9184000.000000,0.000000,4.439000,-17.236000,-17.165000,11124000.000000,0.000000,1.991000,6.036000,6.024000,15492000.000000,-115987000.000000,14409000.000000,14409000.000000,4232000.000000,,,,,216000.000000,8785000.000000,1.000000,163704398.000000,163386000.000000,163386000.000000,0.088000,92375000.000000,0.000000,0.000000,0.000000,0.565000
ARQ,2002-06-30,2002-08-14,2002-06-30,2002-Q2,57477000.000000,284275727.000000,2025-04-23,660000.000000,93535000.000000,,79513000.000000,14022000.000000,,0.431000,-762000.000000,23872000.000000,23872000.000000,9225000.000000,-3740000.000000,3.608000,0.326000,1993000.000000,1022000.000000,971000.000000,1993000.000000,3706000.000000,982000.000000,0.000000,0.000000,0.000000,-3740000.000000,-2758000.000000,-0.142000,-2758000.000000,-3740000.000000,-3740000.000000,-0.022000,-0.022000,-0.022000,70528000.000000,,70528000.000000,262396727.000000,-14.000000,-17.958000,-1038000.000000,-0.006000,1.000000,10162000.000000,0.524000,2918000.000000,0.000000,46702000.000000,,7230000.000000,31499000.000000,31499000.000000,0.000000,23007000.000000,22036000.000000,971000.000000,15537000.000000,0.000000,88000.000000,-876000.000000,0.000000,-788000.000000,16692000.000000,17454000.000000,-276000.000000,-91000.000000,-3740000.000000,-3740000.000000,-3740000.000000,0.000000,0.000000,-0.193000,14429000.000000,-4267000.000000,8033000.000000,0.000000,4.031000,-15.444000,-15.616000,11104000.000000,0.000000,1.733000,4.686000,4.678000,15213000.000000,-119727000.000000,19387000.000000,19387000.000000,4645000.000000,,,,,179000.000000,9784000.000000,1.000000,164005227.000000,163723500.000000,163723500.000000,0.118000,90617000.000000,0.000000,0.000000,0.000000,0.553000
