dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-12-31,2013-02-08,2012-12-31,2012-Q4,,,2025-03-20,0.000000,9663.000000,,9663.000000,0.000000,,0.002000,,9663.000000,9663.000000,,,,0.000000,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,9663.000000,,9663.000000,,,,,,1.000000,,,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,-337.000000,,,,,,,,,,1.000000,5000000.000000,5000000.000000,,,9663.000000,0.000000,,0.000000,0.002000
ARQ,2012-12-31,2013-03-22,2012-12-31,2012-Q4,,,2025-03-20,0.000000,9663.000000,,9663.000000,0.000000,,0.002000,,9663.000000,9663.000000,,,,0.000000,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,9663.000000,,9663.000000,,,,,,1.000000,,,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,-337.000000,,,,,,,,,,1.000000,5000000.000000,5000000.000000,,,9663.000000,0.000000,,0.000000,0.002000
ARQ,2013-03-31,2013-07-16,2013-03-31,2013-Q4,-22100.000000,,2025-03-20,0.000000,4070.000000,,4070.000000,0.000000,,-0.006000,,4070.000000,4070.000000,,,0.156000,-1.184000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-22100.000000,,-22100.000000,,,,,,1.000000,,,0.000000,,-26170.000000,,0.000000,0.000000,0.000000,0.000000,26170.000000,26170.000000,0.000000,,,,,,,,,,,,,,,,,,,26170.000000,,,,,0.000000,,,,,0.000000,-32100.000000,,,,,,,,,,1.000000,5000000.000000,3720930.000000,,,4070.000000,0.000000,,0.000000,0.001000
ARQ,2013-06-30,2013-08-14,2013-06-30,2014-Q1,-32983.000000,,2025-03-20,0.000000,49.000000,,49.000000,0.000000,,-0.007000,0.000000,49.000000,49.000000,0.000000,-10883.000000,0.001000,-1.001000,9300.000000,9300.000000,0.000000,9300.000000,0.000000,0.000000,0.000000,,0.000000,-10818.000000,-10818.000000,,-10818.000000,-10818.000000,-10883.000000,0.000000,0.000000,0.000000,-32983.000000,,-32983.000000,,,,-9921.000000,-0.002000,1.000000,0.000000,,0.000000,65.000000,-23732.000000,,0.000000,0.000000,0.000000,0.000000,33032.000000,33032.000000,0.000000,-4021.000000,0.000000,0.000000,5900.000000,0.000000,5900.000000,0.000000,0.000000,-9921.000000,0.000000,-10883.000000,-10883.000000,-10883.000000,0.000000,0.000000,,10818.000000,-10818.000000,23732.000000,,,,,0.000000,0.000000,,,,0.000000,-42983.000000,0.000000,0.000000,0.000000,,,,,0.000000,10818.000000,1.000000,5000000.000000,5000000.000000,5000000.000000,0.000000,49.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2013-09-30,2013-11-05,2013-09-30,2014-Q2,39354929.000000,,2025-03-20,0.000000,47336046.000000,,47129591.000000,206455.000000,,3.358000,-33255.000000,46072012.000000,46072012.000000,0.000000,-4911620.000000,6.062000,0.197000,0.000000,0.000000,0.000000,0.000000,416682.000000,15821.000000,0.000000,,0.000000,-4779732.000000,-4763911.000000,-7.132000,-4763911.000000,-4779732.000000,-4911620.000000,-0.420000,-0.420000,-0.420000,39561384.000000,,39561384.000000,,,,-13981198.000000,-1.187000,1.000000,667955.000000,1.000000,0.000000,131888.000000,-6510628.000000,,0.000000,0.000000,0.000000,0.000000,7774662.000000,7774662.000000,0.000000,28436098.000000,0.000000,44368511.000000,-5900.000000,0.000000,40917296.000000,1466745.000000,1500000.000000,-13947943.000000,0.000000,-4911620.000000,-4911620.000000,-4911620.000000,0.000000,0.000000,-7.353000,5453313.000000,-4785358.000000,4027097.000000,0.000000,,,,75700.000000,0.000000,,,,251291.000000,-49523687.000000,667955.000000,667955.000000,4157742.000000,,,,,282450.000000,1295571.000000,1.000000,22134647.000000,11779745.000000,11779745.000000,0.057000,47336046.000000,0.000000,0.000000,0.000000,4.018000
ARQ,2013-12-31,2014-03-25,2013-12-31,2013-Q4,31415448.000000,547342033.000000,2025-03-20,0.000000,38449312.000000,,38249485.000000,199827.000000,,1.832000,0.000000,37150924.000000,37150924.000000,0.000000,-8040810.000000,5.597000,0.216000,0.000000,0.000000,0.000000,0.000000,0.000000,7428.000000,0.000000,0.000000,0.000000,-8014807.000000,-8007379.000000,-9.676000,-8007379.000000,-8014807.000000,-8022810.000000,0.870000,0.870000,0.870000,31615275.000000,,31615275.000000,510191109.000000,-19.000000,-19.463000,-8627808.000000,-0.500000,1.000000,827531.000000,1.000000,0.000000,8003.000000,-5535649.000000,,0.000000,0.000000,0.000000,0.000000,6834037.000000,6834037.000000,0.000000,-8921088.000000,0.000000,-83889.000000,100000.000000,0.000000,-293280.000000,0.000000,0.000000,-8627808.000000,0.000000,-8040810.000000,-8040810.000000,-8040810.000000,0.000000,0.000000,-9.717000,8860366.000000,-8032835.000000,3395067.000000,0.000000,17.313000,-20.371000,-12.006000,68272.000000,0.000000,18.730000,199.979000,118.120000,336318.000000,-57564497.000000,827531.000000,827531.000000,6129675.000000,,,,,108943.000000,2730691.000000,1.000000,29222746.000000,17260768.000000,17260768.000000,0.048000,38449312.000000,0.000000,18000.000000,0.000000,2.228000
ARQ,2014-03-31,2014-05-05,2014-03-31,2014-Q1,142459503.000000,455368267.000000,2025-03-20,0.000000,146636660.000000,,146371138.000000,265522.000000,,5.391000,-3120.000000,145618247.000000,145618247.000000,0.000000,-4543284.000000,37.419000,0.027000,0.000000,0.000000,0.000000,0.000000,0.000000,6317.000000,0.000000,0.000000,0.000000,-4538243.000000,-4531926.000000,-27.010000,-4531926.000000,-4538243.000000,-4543284.000000,-0.170000,-0.170000,-0.170000,142725025.000000,,142725025.000000,309750020.000000,-18.000000,-17.890000,-6985957.000000,-0.264000,1.000000,167787.000000,1.000000,0.000000,5041.000000,-2893222.000000,,0.000000,0.000000,0.000000,0.000000,3911635.000000,3911635.000000,0.000000,108467323.000000,0.000000,116191285.000000,0.000000,0.000000,115453280.000000,-3120.000000,0.000000,-6982837.000000,0.000000,-4543284.000000,-4543284.000000,-4543284.000000,0.000000,0.000000,-27.078000,4742250.000000,-4574463.000000,2142779.000000,0.000000,3.191000,-26.011000,55.643000,65075.000000,0.000000,15.580000,273.778000,248.002000,167787.000000,-62107781.000000,167787.000000,167787.000000,2829299.000000,,,,,199754.000000,1912951.000000,1.000000,29227745.000000,26475907.000000,26475907.000000,0.006000,146636660.000000,0.000000,0.000000,0.000000,5.538000
ARQ,2014-06-30,2014-08-12,2014-06-30,2014-Q2,138468762.000000,469599818.000000,2025-03-20,-47749.000000,141342810.000000,,141208016.000000,134794.000000,,4.735000,-5205.000000,91140138.000000,91140138.000000,0.000000,-4533539.000000,51.550000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,6430.000000,0.000000,0.000000,0.000000,-4531507.000000,-4525077.000000,-20.640000,-4525077.000000,-4531507.000000,-4533539.000000,-0.150000,-0.150000,-0.150000,138603556.000000,,138603556.000000,378459680.000000,-17.000000,-17.338000,-5202681.000000,-0.178000,1.000000,219238.000000,1.000000,0.000000,2032.000000,47463418.000000,,0.000000,49355284.000000,49355284.000000,0.000000,2739254.000000,2739254.000000,0.000000,-52478109.000000,0.000000,179891.000000,0.000000,0.000000,169358.000000,-47449991.000000,-47444786.000000,-5197476.000000,0.000000,-4533539.000000,-4533539.000000,-4533539.000000,0.000000,0.000000,-20.679000,4830822.000000,-4611584.000000,415791.000000,0.000000,3.388000,-21.317000,122.923000,63850.000000,0.000000,15.980000,249.454000,248.492000,219238.000000,-66641320.000000,219238.000000,219238.000000,2709702.000000,,,,,290461.000000,2121120.000000,1.000000,29386722.000000,29273357.000000,29273357.000000,0.007000,141342810.000000,0.000000,0.000000,0.000000,4.828000
ARQ,2014-09-30,2014-11-03,2014-09-30,2014-Q3,133903253.000000,445661082.000000,2025-03-20,-67389.000000,137609238.000000,,137480854.000000,128384.000000,,4.562000,1.000000,68915333.000000,68915333.000000,0.000000,-6415507.000000,38.428000,0.027000,0.000000,0.000000,0.000000,0.000000,0.000000,6409.000000,0.000000,0.000000,0.000000,-6415507.000000,-6409098.000000,-51.514000,-6409098.000000,-6415507.000000,-6415507.000000,-0.220000,-0.220000,-0.220000,134031637.000000,,134031637.000000,376745749.000000,-16.000000,-16.050000,-4420501.000000,-0.150000,1.000000,124414.000000,1.000000,0.000000,0.000000,65116304.000000,,0.000000,67066729.000000,67066729.000000,0.000000,3577601.000000,3577601.000000,0.000000,-22224805.000000,0.000000,29045.000000,0.000000,0.000000,29045.000000,-17833348.000000,-17833349.000000,-4420502.000000,0.000000,-6415507.000000,-6415507.000000,-6415507.000000,0.000000,0.000000,-51.566000,6628020.000000,-6503606.000000,503882.000000,0.000000,3.325000,-18.938000,45.939000,57440.000000,0.000000,15.160000,332.839000,332.635000,124414.000000,-73056827.000000,124414.000000,124414.000000,4046335.000000,,,,,1834183.000000,2581685.000000,1.000000,29397169.000000,29379156.000000,29379156.000000,0.004000,137609238.000000,0.000000,0.000000,0.000000,4.684000
ARQ,2014-12-31,2015-03-12,2014-12-31,2014-Q4,120429208.000000,808593016.000000,2025-03-20,-104633.000000,131111769.000000,,130986272.000000,125497.000000,,4.095000,-3438.000000,61325044.000000,61325044.000000,0.000000,-15199130.000000,12.407000,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000,6325.000000,0.000000,0.000000,0.000000,-15197530.000000,-15191205.000000,-230.652000,-15191205.000000,-15197530.000000,-15197530.000000,-0.520000,-0.520000,-0.520000,120554705.000000,,120554705.000000,747267972.000000,-24.000000,-24.375000,-6209773.000000,-0.211000,1.000000,65862.000000,1.000000,0.000000,0.000000,59229661.000000,,0.000000,68320672.000000,68320672.000000,0.000000,10557064.000000,10557064.000000,0.000000,-7590289.000000,0.000000,-684661.000000,0.000000,0.000000,63877.000000,-1447831.000000,-1444393.000000,-6206335.000000,0.000000,-15199130.000000,-15199130.000000,-15199130.000000,0.000000,0.000000,-230.772000,15362932.000000,-15297070.000000,2052765.000000,0.000000,6.707000,-26.346000,-21.636000,54553.000000,0.000000,23.150000,1400.644000,1148.879000,51603.000000,-88255957.000000,65862.000000,65862.000000,11641009.000000,,,,,1695565.000000,3721923.000000,1.000000,34928424.000000,29439886.000000,29439886.000000,0.002000,131111769.000000,0.000000,1600.000000,0.000000,4.454000
