dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-03-31,2021-08-02,2021-03-31,2021-Q1,66197000.000000,,2025-05-15,0.000000,94874000.000000,,94874000.000000,0.000000,,-0.957000,0.000000,91247000.000000,91247000.000000,0.000000,-38700000.000000,3.308000,-0.278000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-38700000.000000,-38700000.000000,,-38700000.000000,-38700000.000000,-38700000.000000,0.000000,0.000000,0.000000,-103362000.000000,,-103362000.000000,,,,-23741000.000000,-0.220000,1.000000,0.000000,,0.000000,0.000000,-25050000.000000,,0.000000,0.000000,0.000000,0.000000,28688000.000000,28677000.000000,11000.000000,-23741000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-23741000.000000,0.000000,-38700000.000000,-38700000.000000,-38700000.000000,0.000000,0.000000,,38709000.000000,-38709000.000000,11317000.000000,,,,,0.000000,0.000000,,,,0.000000,-104019000.000000,0.000000,0.000000,34032000.000000,,,,,587000.000000,3677000.000000,1.000000,108015660.000000,108015660.000000,,0.000000,94874000.000000,0.000000,0.000000,0.000000,0.878000
ARQ,2021-06-30,2021-09-20,2021-06-30,2021-Q2,358162000.000000,5143164242.000000,2025-05-15,0.000000,397992000.000000,,396059000.000000,1933000.000000,,-579.031000,0.000000,392509000.000000,392509000.000000,0.000000,-44673000.000000,10.451000,-0.262000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-44673000.000000,-44673000.000000,,-44673000.000000,-44673000.000000,-44673000.000000,-0.180000,-0.180000,-0.180000,-144624000.000000,,-144624000.000000,4750655242.000000,-32.000000,-31.950000,-33570000.000000,-134.404000,1.000000,0.000000,,0.000000,0.000000,-32414000.000000,,0.000000,0.000000,0.000000,0.000000,37905000.000000,37897000.000000,8000.000000,301262000.000000,0.000000,-432000.000000,0.000000,0.000000,334832000.000000,0.000000,0.000000,-33570000.000000,0.000000,-44673000.000000,-44673000.000000,-44673000.000000,0.000000,0.000000,,44691000.000000,-44691000.000000,10716000.000000,0.000000,-35.562000,-34.589000,-2.464000,0.000000,0.000000,46.230000,,,0.000000,-148692000.000000,0.000000,0.000000,35067000.000000,,,,,3342000.000000,7124000.000000,1.000000,111251660.000000,249769.000000,249769.000000,0.000000,397992000.000000,0.000000,0.000000,0.000000,1593.440000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,627106000.000000,2263971281.000000,2025-05-15,3000.000000,686270000.000000,,680155000.000000,6115000.000000,,10.330000,0.000000,478269000.000000,478269000.000000,0.000000,-60375000.000000,12.821000,0.084000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-60375000.000000,-60375000.000000,,-60375000.000000,-60375000.000000,-60375000.000000,-0.980000,-0.980000,-0.980000,633213000.000000,,633213000.000000,1785702281.000000,,,-54213000.000000,-0.884000,1.000000,0.000000,,0.000000,0.000000,154952000.000000,,0.000000,188053000.000000,188053000.000000,0.000000,53057000.000000,53049000.000000,8000.000000,85760000.000000,0.000000,328701000.000000,0.000000,0.000000,328600000.000000,0.000000,0.000000,-54213000.000000,0.000000,-60375000.000000,-60375000.000000,-60375000.000000,0.000000,0.000000,,60418000.000000,-60418000.000000,17564000.000000,0.000000,3.575000,,,0.000000,0.000000,20.350000,,,0.000000,-209067000.000000,0.000000,0.000000,45366000.000000,,,,,5979000.000000,11052000.000000,1.000000,111251660.000000,61297086.000000,61297086.000000,0.000000,686270000.000000,0.000000,0.000000,0.000000,11.196000
ARQ,2021-12-31,2022-03-31,2021-12-31,2021-Q4,554651000.000000,500118789.000000,2025-05-15,-8000.000000,620091000.000000,,616711000.000000,3380000.000000,,13.093000,-84000.000000,542224000.000000,542224000.000000,0.000000,-83042000.000000,9.937000,0.111000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-83042000.000000,-83041000.000000,,-83041000.000000,-83042000.000000,-83042000.000000,1.740000,1.740000,1.740000,558019000.000000,,558019000.000000,-42105211.000000,0.000000,0.186000,-73296000.000000,-1.720000,1.000000,0.000000,,0.000000,0.000000,15807000.000000,,0.000000,49194000.000000,49194000.000000,0.000000,62072000.000000,62060000.000000,12000.000000,63955000.000000,0.000000,-749000.000000,0.000000,0.000000,-749000.000000,137916000.000000,138000000.000000,-73212000.000000,0.000000,-83042000.000000,-83042000.000000,-83042000.000000,0.000000,0.000000,,83090000.000000,-83090000.000000,5783000.000000,0.000000,0.896000,-2.205000,-0.857000,83000.000000,0.000000,4.560000,,,0.000000,-292109000.000000,0.000000,0.000000,68426000.000000,,,,,7856000.000000,14664000.000000,1.000000,109675173.000000,42621265.000000,42621265.000000,0.000000,620091000.000000,0.000000,0.000000,0.000000,14.549000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,458767000.000000,298425271.000000,2025-05-15,0.000000,556273000.000000,,554301000.000000,1972000.000000,,4.259000,0.000000,532220000.000000,532220000.000000,0.000000,-100666000.000000,5.802000,0.211000,1659000.000000,315000.000000,1344000.000000,1659000.000000,0.000000,84000.000000,0.000000,0.000000,0.000000,-100666000.000000,-100582000.000000,,-100582000.000000,-100666000.000000,-100666000.000000,-0.930000,-0.930000,-0.930000,459392000.000000,,459392000.000000,-232135729.000000,1.000000,0.804000,-59049000.000000,-0.547000,1.000000,0.000000,,0.000000,0.000000,-69822000.000000,,0.000000,0.000000,0.000000,0.000000,96881000.000000,95534000.000000,1347000.000000,-10004000.000000,0.000000,45000.000000,0.000000,0.000000,45000.000000,49000000.000000,49000000.000000,-59049000.000000,0.000000,-100666000.000000,-100666000.000000,-100666000.000000,0.000000,0.000000,,100739000.000000,-100739000.000000,18682000.000000,0.000000,0.650000,-1.033000,-7.771000,1735000.000000,0.000000,2.720000,,,0.000000,-392775000.000000,0.000000,0.000000,92035000.000000,,,,,1983000.000000,8704000.000000,1.000000,109715173.000000,107869570.000000,107869570.000000,0.000000,556273000.000000,0.000000,0.000000,0.000000,5.157000
ARQ,2022-06-30,2022-08-15,2022-06-30,2022-Q2,413478000.000000,434233795.000000,2025-05-15,0.000000,484612000.000000,,481361000.000000,3251000.000000,,3.835000,-17000.000000,474885000.000000,474885000.000000,0.000000,-50990000.000000,7.091000,0.168000,2858000.000000,969000.000000,1889000.000000,2858000.000000,0.000000,136000.000000,0.000000,0.000000,0.000000,-50990000.000000,-50854000.000000,,-50854000.000000,-50990000.000000,-50990000.000000,-0.470000,-0.470000,-0.470000,414839000.000000,,414839000.000000,-37793205.000000,0.000000,0.128000,-57409000.000000,-0.531000,1.000000,0.000000,,0.000000,0.000000,-55298000.000000,,0.000000,0.000000,0.000000,0.000000,69773000.000000,67883000.000000,1890000.000000,-57335000.000000,0.000000,74000.000000,0.000000,0.000000,74000.000000,-17000.000000,0.000000,-57392000.000000,0.000000,-50990000.000000,-50990000.000000,-50990000.000000,0.000000,0.000000,,51749000.000000,-51749000.000000,14232000.000000,0.000000,1.047000,-1.472000,-6.234000,2952000.000000,0.000000,3.990000,,,0.000000,-443765000.000000,0.000000,0.000000,37129000.000000,,,,,6361000.000000,14620000.000000,1.000000,108830525.000000,108166890.000000,108166890.000000,0.000000,484612000.000000,0.000000,0.000000,0.000000,4.480000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,375470000.000000,387977348.000000,2025-05-15,46000.000000,424747000.000000,,421596000.000000,3151000.000000,,3.481000,-477000.000000,278152000.000000,278152000.000000,0.000000,-45087000.000000,9.140000,0.125000,1506000.000000,329000.000000,1177000.000000,1506000.000000,0.000000,36000.000000,0.000000,0.000000,0.000000,-45087000.000000,-45051000.000000,,-45051000.000000,-45087000.000000,-45087000.000000,-0.420000,-0.420000,-0.420000,377443000.000000,,377443000.000000,111331348.000000,0.000000,-0.398000,-56619000.000000,-0.522000,1.000000,0.000000,,0.000000,0.000000,101975000.000000,,0.000000,140517000.000000,140517000.000000,0.000000,47304000.000000,46126000.000000,1178000.000000,-196733000.000000,0.000000,246000.000000,0.000000,0.000000,246000.000000,-140837000.000000,-140360000.000000,-56142000.000000,0.000000,-45087000.000000,-45087000.000000,-45087000.000000,0.000000,0.000000,,47331000.000000,-47331000.000000,16770000.000000,0.000000,1.028000,-1.387000,-44.500000,2915000.000000,0.000000,3.560000,,,0.000000,-488852000.000000,0.000000,0.000000,30131000.000000,,,,,7399000.000000,13200000.000000,1.000000,108982401.000000,108420674.000000,108420674.000000,0.000000,424747000.000000,0.000000,0.000000,0.000000,3.918000
ARQ,2022-12-31,2023-03-23,2022-12-31,2022-Q4,351886000.000000,156141450.000000,2025-05-15,-272000.000000,383167000.000000,,376917000.000000,6250000.000000,,3.278000,-1211000.000000,92076000.000000,92076000.000000,0.000000,-44574000.000000,15.058000,0.076000,3724000.000000,1559000.000000,2165000.000000,3724000.000000,0.000000,206000.000000,0.000000,0.000000,0.000000,-44574000.000000,-44368000.000000,,-44368000.000000,-44574000.000000,-44574000.000000,-0.410000,-0.410000,-0.410000,355970000.000000,,355970000.000000,67789450.000000,0.000000,-0.281000,-48615000.000000,-0.448000,1.000000,0.000000,,0.000000,0.000000,269784000.000000,,0.000000,279915000.000000,279915000.000000,0.000000,27197000.000000,25031000.000000,2166000.000000,-186076000.000000,0.000000,141000.000000,0.000000,0.000000,141000.000000,-138813000.000000,-137602000.000000,-47404000.000000,0.000000,-44574000.000000,-44574000.000000,-44574000.000000,0.000000,0.000000,,30839000.000000,-30839000.000000,1517000.000000,0.000000,0.439000,-0.647000,-0.641000,6059000.000000,0.000000,1.430000,,,0.000000,-533426000.000000,0.000000,0.000000,19919000.000000,,,,,5905000.000000,10520000.000000,1.000000,109189825.000000,108609965.000000,108609965.000000,0.000000,383167000.000000,0.000000,0.000000,0.000000,3.528000
ARQ,2023-03-31,2023-05-11,2023-03-31,2023-Q1,322566000.000000,156558782.000000,2025-05-15,-115000.000000,350564000.000000,,344623000.000000,5941000.000000,,3.004000,-624000.000000,126473000.000000,126473000.000000,0.000000,-35321000.000000,15.624000,0.073000,3343000.000000,1585000.000000,1758000.000000,3343000.000000,0.000000,499000.000000,0.000000,0.000000,0.000000,-35321000.000000,-34822000.000000,,-34822000.000000,-35321000.000000,-35321000.000000,-0.320000,-0.320000,-0.320000,326749000.000000,,326749000.000000,33428782.000000,0.000000,-0.191000,-41805000.000000,-0.384000,1.000000,0.000000,,0.000000,0.000000,205377000.000000,,0.000000,206955000.000000,206955000.000000,0.000000,23815000.000000,22057000.000000,1758000.000000,34397000.000000,0.000000,542000.000000,0.000000,0.000000,542000.000000,75036000.000000,75660000.000000,-41181000.000000,0.000000,-35321000.000000,-35321000.000000,-35321000.000000,0.000000,0.000000,,39071000.000000,-39071000.000000,5913000.000000,0.000000,0.479000,-0.890000,-0.883000,5650000.000000,0.000000,1.430000,,,0.000000,-568747000.000000,0.000000,0.000000,27201000.000000,,,,,5400000.000000,11045000.000000,1.000000,109481666.000000,108785519.000000,108785519.000000,0.000000,350564000.000000,0.000000,0.000000,0.000000,3.223000
ARQ,2023-06-30,2023-08-10,2023-06-30,2023-Q2,277481000.000000,170121217.000000,2025-05-15,-22000.000000,315414000.000000,,309986000.000000,5428000.000000,,2.573000,9000.000000,121947000.000000,121947000.000000,0.000000,-50228000.000000,9.537000,0.120000,2957000.000000,1611000.000000,1346000.000000,2957000.000000,0.000000,505000.000000,0.000000,0.000000,0.000000,-50228000.000000,-49723000.000000,,-49723000.000000,-50228000.000000,-50228000.000000,-0.460000,-0.460000,-0.460000,281563000.000000,,281563000.000000,51131217.000000,0.000000,-0.294000,-37382000.000000,-0.342000,1.000000,0.000000,,0.000000,0.000000,163919000.000000,,0.000000,176483000.000000,176483000.000000,0.000000,33851000.000000,32505000.000000,1346000.000000,-4526000.000000,0.000000,270000.000000,0.000000,0.000000,270000.000000,32595000.000000,32586000.000000,-37391000.000000,0.000000,-50228000.000000,-50228000.000000,-50228000.000000,0.000000,0.000000,,53875000.000000,-53875000.000000,4112000.000000,0.000000,0.604000,-0.971000,-0.963000,5137000.000000,0.000000,1.550000,,,0.000000,-618975000.000000,0.000000,0.000000,43618000.000000,,,,,4677000.000000,10107000.000000,1.000000,109755624.000000,109450071.000000,109450071.000000,0.000000,315414000.000000,0.000000,0.000000,0.000000,2.882000
