dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-03-31,2021-06-07,2021-03-31,2021-Q1,64512000.000000,,2025-05-09,0.000000,71819000.000000,,71406000.000000,413000.000000,,-15.093000,-153000.000000,70769000.000000,70769000.000000,0.000000,-2284000.000000,10.358000,-0.670000,0.000000,0.000000,0.000000,0.000000,7996000.000000,9000.000000,0.000000,,0.000000,-2284000.000000,-2275000.000000,-5.987000,-2275000.000000,-2284000.000000,-2284000.000000,-2.060000,-2.060000,-2.060000,-16771000.000000,,-16771000.000000,,,,5410000.000000,4.869000,1.000000,380000.000000,1.000000,0.000000,0.000000,-5844000.000000,,0.000000,0.000000,0.000000,0.000000,11244000.000000,6894000.000000,4350000.000000,62956000.000000,0.000000,1546000.000000,0.000000,0.000000,57546000.000000,-153000.000000,0.000000,5563000.000000,0.000000,-2284000.000000,-2284000.000000,-2284000.000000,0.000000,0.000000,-6.011000,2664000.000000,-2284000.000000,857000.000000,0.000000,,,,156000.000000,0.000000,,,,375000.000000,-17023000.000000,380000.000000,380000.000000,1925000.000000,,,,,123000.000000,739000.000000,1.000000,38001510.000000,1111178.000000,1111178.000000,0.342000,71819000.000000,0.000000,0.000000,0.000000,64.633000
ARQ,2021-06-30,2021-08-10,2021-06-30,2021-Q2,387403000.000000,1336145586.000000,2025-05-09,17000.000000,396823000.000000,,396608000.000000,215000.000000,,38.352000,-79000.000000,251625000.000000,251625000.000000,0.000000,-6206000.000000,43.086000,0.031000,0.000000,0.000000,0.000000,0.000000,7888000.000000,13000.000000,0.000000,0.000000,0.000000,-6206000.000000,-6193000.000000,-12.849000,-6193000.000000,-6206000.000000,-6206000.000000,-0.620000,-0.620000,-0.620000,384795000.000000,,384795000.000000,1084520586.000000,,,-6283000.000000,-0.626000,1.000000,482000.000000,1.000000,0.000000,0.000000,135993000.000000,,0.000000,142570000.000000,142570000.000000,0.000000,12028000.000000,9205000.000000,2823000.000000,180856000.000000,0.000000,205110000.000000,0.000000,0.000000,329657000.000000,-142597000.000000,-142518000.000000,-6204000.000000,0.000000,-6206000.000000,-6206000.000000,-6206000.000000,0.000000,0.000000,-12.876000,6734000.000000,-6252000.000000,354000.000000,0.000000,3.472000,,,215000.000000,0.000000,32.110000,,,375000.000000,-23229000.000000,482000.000000,482000.000000,4737000.000000,,,,,1277000.000000,1997000.000000,1.000000,41611510.000000,10033328.000000,10033328.000000,0.048000,396823000.000000,0.000000,0.000000,0.000000,39.550000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,377117000.000000,940836241.000000,2025-05-09,24000.000000,391084000.000000,,389588000.000000,1496000.000000,,9.159000,-77000.000000,39389000.000000,39389000.000000,0.000000,-10766000.000000,31.240000,0.038000,235000.000000,212000.000000,23000.000000,235000.000000,7104000.000000,27000.000000,0.000000,0.000000,0.000000,-10766000.000000,-10739000.000000,-9.266000,-10739000.000000,-10766000.000000,-10766000.000000,-0.260000,-0.260000,-0.260000,376750000.000000,,376750000.000000,901682241.000000,,,-5931000.000000,-0.144000,1.000000,1159000.000000,1.000000,0.000000,0.000000,339459000.000000,,0.000000,348118000.000000,348118000.000000,0.000000,14334000.000000,12471000.000000,1863000.000000,-212236000.000000,0.000000,-843000.000000,0.000000,0.000000,-843000.000000,-205539000.000000,-205462000.000000,-5854000.000000,0.000000,-10766000.000000,-10766000.000000,-10766000.000000,0.000000,0.000000,-9.289000,12062000.000000,-10903000.000000,3613000.000000,0.000000,2.497000,,,1356000.000000,0.000000,22.610000,,,0.000000,-33995000.000000,1159000.000000,1159000.000000,8406000.000000,,,,,2566000.000000,3656000.000000,1.000000,41611510.000000,41134102.000000,41134102.000000,0.028000,391084000.000000,0.000000,0.000000,0.000000,9.508000
ARQ,2021-12-31,2022-03-18,2021-12-31,2021-Q4,364222000.000000,701763139.000000,2025-05-09,-270000.000000,379824000.000000,,377019000.000000,2805000.000000,,15.568000,-1173000.000000,36398000.000000,36398000.000000,0.000000,-13416000.000000,29.462000,0.037000,194000.000000,194000.000000,0.000000,194000.000000,5863000.000000,64000.000000,0.000000,0.000000,0.000000,-13416000.000000,-13352000.000000,-8.262000,-13352000.000000,-13416000.000000,-13416000.000000,-0.290000,-0.290000,-0.290000,366327000.000000,,366327000.000000,665559139.000000,-20.000000,-20.442000,-11654000.000000,-0.495000,1.000000,1616000.000000,1.000000,0.000000,0.000000,330823000.000000,,0.000000,339383000.000000,339383000.000000,0.000000,13497000.000000,12797000.000000,700000.000000,-2991000.000000,0.000000,164000.000000,0.000000,0.000000,164000.000000,7326000.000000,8499000.000000,-10481000.000000,0.000000,-13416000.000000,-13416000.000000,-13416000.000000,0.000000,0.000000,-8.302000,15106000.000000,-13490000.000000,2458000.000000,0.000000,1.916000,-21.479000,-12.129000,1597000.000000,0.000000,16.860000,192.951000,109.079000,0.000000,-47411000.000000,1616000.000000,1616000.000000,11169000.000000,,,,,2944000.000000,3937000.000000,1.000000,41622962.000000,23530252.000000,23530252.000000,0.069000,379824000.000000,0.000000,0.000000,0.000000,16.142000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,352139000.000000,425452131.000000,2025-05-09,-1567000.000000,368597000.000000,,364654000.000000,3943000.000000,,8.619000,-971000.000000,55945000.000000,55945000.000000,0.000000,-13410000.000000,29.137000,0.035000,153000.000000,153000.000000,0.000000,153000.000000,4649000.000000,81000.000000,0.000000,0.000000,0.000000,-13410000.000000,-13329000.000000,-8.388000,-13329000.000000,-13410000.000000,-13410000.000000,-0.320000,-0.320000,-0.320000,356082000.000000,,356082000.000000,369660131.000000,-8.000000,-8.476000,-12493000.000000,-0.302000,1.000000,1589000.000000,1.000000,0.000000,0.000000,300290000.000000,,0.000000,306071000.000000,306071000.000000,0.000000,12515000.000000,12515000.000000,0.000000,19547000.000000,0.000000,1000.000000,0.000000,0.000000,1000.000000,31068000.000000,32039000.000000,-11522000.000000,0.000000,-13410000.000000,-13410000.000000,-13410000.000000,0.000000,0.000000,-8.439000,15131000.000000,-13542000.000000,1939000.000000,0.000000,1.195000,-9.714000,-6.859000,2790000.000000,0.000000,10.220000,87.794000,87.133000,0.000000,-60821000.000000,1589000.000000,1589000.000000,10184000.000000,,,,,3958000.000000,4947000.000000,1.000000,41629367.000000,41315482.000000,41315482.000000,0.038000,368597000.000000,0.000000,0.000000,0.000000,8.922000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,345071000.000000,519121341.000000,2025-05-09,-1907000.000000,385365000.000000,,358065000.000000,27300000.000000,,8.295000,-898000.000000,59219000.000000,59219000.000000,0.000000,-16888000.000000,27.556000,0.121000,23356000.000000,88000.000000,23268000.000000,23356000.000000,10660000.000000,108000.000000,0.000000,0.000000,0.000000,-16888000.000000,-16780000.000000,-7.095000,-16780000.000000,-16888000.000000,-16888000.000000,-0.410000,-0.410000,-0.410000,343814000.000000,,343814000.000000,483258341.000000,-9.000000,-8.916000,-6971000.000000,-0.168000,1.000000,2365000.000000,1.000000,0.000000,0.000000,336508000.000000,,0.000000,295893000.000000,295893000.000000,0.000000,41551000.000000,12994000.000000,28557000.000000,3274000.000000,0.000000,308000.000000,0.000000,0.000000,308000.000000,9039000.000000,9937000.000000,-6073000.000000,0.000000,-16888000.000000,-16888000.000000,-16888000.000000,0.000000,0.000000,-7.141000,19626000.000000,-17261000.000000,3000000.000000,0.000000,1.510000,-9.529000,-9.734000,26277000.000000,0.000000,12.460000,77.147000,76.750000,0.000000,-77709000.000000,2365000.000000,2365000.000000,14086000.000000,,,,,4444000.000000,5540000.000000,1.000000,41663029.000000,41448743.000000,41448743.000000,0.057000,385365000.000000,0.000000,0.000000,0.000000,9.297000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,327995000.000000,706188342.000000,2025-05-09,-2277000.000000,375756000.000000,,344330000.000000,31426000.000000,,7.983000,-2520000.000000,65568000.000000,65568000.000000,0.000000,-16696000.000000,21.079000,0.133000,24092000.000000,0.000000,24092000.000000,24092000.000000,9722000.000000,249000.000000,0.000000,0.000000,0.000000,-16696000.000000,-16447000.000000,-9.072000,-16447000.000000,-16696000.000000,-16696000.000000,-0.400000,-0.400000,-0.400000,331513000.000000,,331513000.000000,664712342.000000,-11.000000,-11.096000,-15934000.000000,-0.384000,1.000000,1813000.000000,1.000000,0.000000,0.000000,317945000.000000,,0.000000,274008000.000000,274008000.000000,0.000000,44243000.000000,16335000.000000,27908000.000000,6349000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19763000.000000,22283000.000000,-13414000.000000,0.000000,-16696000.000000,-16696000.000000,-16696000.000000,0.000000,0.000000,-9.209000,19835000.000000,-18022000.000000,2866000.000000,0.000000,2.130000,-11.690000,-11.937000,29177000.000000,0.000000,16.950000,95.651000,95.337000,500000.000000,-94405000.000000,1813000.000000,1813000.000000,13737000.000000,,,,,4596000.000000,6098000.000000,1.000000,41663029.000000,41526524.000000,41526524.000000,0.044000,375756000.000000,0.000000,0.000000,0.000000,9.049000
ARQ,2022-12-31,2023-03-10,2022-12-31,2022-Q4,315932000.000000,589431408.000000,2025-05-09,-1535000.000000,364010000.000000,,332439000.000000,31571000.000000,,7.713000,-2056000.000000,52242000.000000,52242000.000000,0.000000,-16065000.000000,20.139000,0.135000,25305000.000000,763000.000000,24542000.000000,25305000.000000,7627000.000000,403000.000000,0.000000,0.000000,0.000000,-16065000.000000,-15662000.000000,-5.505000,-15662000.000000,-16065000.000000,-16065000.000000,-0.390000,-0.390000,-0.390000,320740000.000000,,320740000.000000,562494408.000000,-9.000000,-9.041000,-13969000.000000,-0.336000,1.000000,2845000.000000,1.000000,0.000000,0.000000,320566000.000000,,0.000000,275590000.000000,275590000.000000,0.000000,43270000.000000,16507000.000000,26763000.000000,-13326000.000000,0.000000,191000.000000,0.000000,0.000000,191000.000000,-1604000.000000,452000.000000,-11913000.000000,0.000000,-16065000.000000,-16065000.000000,-16065000.000000,0.000000,0.000000,-5.647000,21111000.000000,-18266000.000000,2159000.000000,0.000000,1.838000,-9.347000,-9.270000,29365000.000000,0.000000,14.090000,68.443000,67.848000,0.000000,-110470000.000000,2845000.000000,2845000.000000,15434000.000000,,,,,4205000.000000,5677000.000000,1.000000,41833315.000000,41585455.000000,41585455.000000,0.068000,364010000.000000,0.000000,0.000000,0.000000,8.753000
ARQ,2023-03-31,2023-05-09,2023-03-31,2023-Q1,305285000.000000,557219756.000000,2025-05-09,-739000.000000,352956000.000000,,321399000.000000,31557000.000000,,7.453000,-285000.000000,31171000.000000,31171000.000000,0.000000,-17459000.000000,19.945000,0.134000,25540000.000000,1356000.000000,24184000.000000,25540000.000000,6329000.000000,453000.000000,0.000000,0.000000,0.000000,-17459000.000000,-17006000.000000,-8.304000,-17006000.000000,-17459000.000000,-17459000.000000,-0.420000,-0.420000,-0.420000,311264000.000000,,311264000.000000,551588756.000000,-8.000000,-8.371000,-14196000.000000,-0.340000,1.000000,2048000.000000,1.000000,0.000000,0.000000,331211000.000000,,0.000000,286520000.000000,286520000.000000,0.000000,41692000.000000,16114000.000000,25578000.000000,-21071000.000000,0.000000,1580000.000000,0.000000,0.000000,1580000.000000,-8740000.000000,-8455000.000000,-13911000.000000,0.000000,-17459000.000000,-17459000.000000,-17459000.000000,0.000000,0.000000,-8.525000,22329000.000000,-20281000.000000,2051000.000000,0.000000,1.790000,-8.303000,-8.222000,29130000.000000,0.000000,13.320000,61.429000,61.327000,750000.000000,-127929000.000000,2048000.000000,2048000.000000,15865000.000000,,,,,5473000.000000,6464000.000000,1.000000,41833315.000000,41763971.000000,41763971.000000,0.049000,352956000.000000,0.000000,0.000000,0.000000,8.451000
ARQ,2023-06-30,2023-08-08,2023-06-30,2023-Q2,291398000.000000,547667675.000000,2025-05-09,-1060000.000000,341500000.000000,,309302000.000000,32198000.000000,,7.158000,-580000.000000,34519000.000000,34519000.000000,0.000000,-17508000.000000,17.276000,0.140000,25228000.000000,1408000.000000,23820000.000000,25228000.000000,5647000.000000,471000.000000,0.000000,0.000000,0.000000,-17508000.000000,-17037000.000000,-16.118000,-17037000.000000,-17508000.000000,-17508000.000000,-0.420000,-0.420000,-0.420000,299469000.000000,,299469000.000000,538376675.000000,-8.000000,-8.138000,-15634000.000000,-0.374000,1.000000,1057000.000000,1.000000,0.000000,0.000000,314305000.000000,,0.000000,269586000.000000,269586000.000000,0.000000,42031000.000000,17904000.000000,24127000.000000,3348000.000000,0.000000,528000.000000,0.000000,0.000000,528000.000000,17874000.000000,18454000.000000,-15054000.000000,0.000000,-17508000.000000,-17508000.000000,-17508000.000000,0.000000,0.000000,-16.564000,21805000.000000,-20748000.000000,1910000.000000,0.000000,1.829000,-8.086000,-7.282000,28949000.000000,0.000000,11.870000,70.548000,63.970000,0.000000,-145437000.000000,1057000.000000,1057000.000000,14924000.000000,,,,,5501000.000000,6881000.000000,1.000000,46138810.000000,41836238.000000,41836238.000000,0.025000,341500000.000000,0.000000,0.000000,0.000000,8.163000
