dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-03-31,2007-05-31,2007-03-31,2007-Q1,46673000.000000,,2025-05-07,0.000000,197910000.000000,,79266000.000000,118644000.000000,,-11.062000,-271000.000000,67942000.000000,67942000.000000,2003000.000000,-19584000.000000,2.432000,-2.013000,77533000.000000,3104000.000000,74429000.000000,77533000.000000,14902000.000000,2624000.000000,0.000000,,0.000000,-16316000.000000,-13692000.000000,-0.972000,-13692000.000000,-16316000.000000,-19584000.000000,-851.480000,-851.480000,-851.480000,-195420000.000000,,-195420000.000000,,,,-21185000.000000,-1.199000,1.000000,12085000.000000,0.858000,101452000.000000,3268000.000000,73456000.000000,,2303000.000000,12085000.000000,0.000000,12085000.000000,393330000.000000,32593000.000000,360737000.000000,-11281000.000000,0.000000,76000.000000,913000.000000,0.000000,989000.000000,8644000.000000,-85000.000000,-20914000.000000,0.000000,-19584000.000000,-19584000.000000,-19584000.000000,0.000000,0.000000,-1.390000,31568000.000000,-19483000.000000,3145000.000000,0.000000,,,,2116000.000000,0.000000,,,,6167000.000000,-197227000.000000,14088000.000000,14088000.000000,14867000.000000,,,,,940000.000000,14339000.000000,1.000000,24550554.000000,17666000.000000,17666000.000000,0.797000,96458000.000000,0.000000,0.000000,0.000000,5.460000
ARQ,2007-06-30,2007-08-10,2007-06-30,2007-Q2,129528000.000000,317438663.000000,2025-05-07,0.000000,276870000.000000,,161155000.000000,115715000.000000,,17.071000,-1242000.000000,148275000.000000,148275000.000000,1679000.000000,-39863000.000000,5.095000,1.145000,77756000.000000,3134000.000000,74622000.000000,77756000.000000,15064000.000000,2614000.000000,0.000000,0.000000,0.000000,-36549000.000000,-33935000.000000,-2.379000,-33935000.000000,-36549000.000000,-39863000.000000,-5.270000,-5.270000,-5.270000,129077000.000000,,129077000.000000,246919663.000000,,,-17987000.000000,-2.379000,1.000000,12585000.000000,0.882000,99165000.000000,3314000.000000,75559000.000000,,3216000.000000,12085000.000000,0.000000,12085000.000000,147793000.000000,31627000.000000,116166000.000000,80333000.000000,0.000000,98290000.000000,30000.000000,0.000000,98320000.000000,-1242000.000000,0.000000,-16745000.000000,0.000000,-39863000.000000,-39863000.000000,-39863000.000000,0.000000,0.000000,-2.795000,55338000.000000,-42753000.000000,4268000.000000,0.000000,2.459000,,,3025000.000000,0.000000,12.930000,,,6462000.000000,-237090000.000000,14264000.000000,14264000.000000,17407000.000000,,,,,1040000.000000,18175000.000000,1.000000,24550554.000000,7561000.000000,7561000.000000,1.887000,177705000.000000,0.000000,0.000000,0.000000,23.503000
ARQ,2007-09-30,2007-11-09,2007-09-30,2007-Q3,113618000.000000,329468435.000000,2025-05-07,1000.000000,258767000.000000,,144978000.000000,113789000.000000,,4.718000,-593000.000000,120276000.000000,120276000.000000,1938000.000000,-19359000.000000,4.623000,1.317000,77459000.000000,2597000.000000,74862000.000000,77459000.000000,14751000.000000,2620000.000000,0.000000,0.000000,0.000000,-15848000.000000,-13228000.000000,-0.616000,-13228000.000000,-15848000.000000,-19359000.000000,-0.820000,-0.820000,-0.820000,111690000.000000,,111690000.000000,286651435.000000,,,-15964000.000000,-0.674000,1.000000,19536000.000000,0.910000,96877000.000000,3511000.000000,87713000.000000,,3231000.000000,23024000.000000,10939000.000000,12085000.000000,147077000.000000,31360000.000000,115717000.000000,-28028000.000000,0.000000,-650000.000000,-537000.000000,0.000000,-1187000.000000,-11470000.000000,-10877000.000000,-15371000.000000,0.000000,-19359000.000000,-19359000.000000,-19359000.000000,0.000000,0.000000,-0.902000,37334000.000000,-17798000.000000,2872000.000000,0.000000,2.950000,,,3286000.000000,0.000000,13.420000,,,6566000.000000,-256449000.000000,21474000.000000,21474000.000000,16978000.000000,,,,,1793000.000000,18069000.000000,1.000000,24550554.000000,23671000.000000,23671000.000000,0.907000,161890000.000000,0.000000,0.000000,0.000000,6.839000
ARQ,2007-12-31,2008-03-31,2007-12-31,2007-Q4,79235000.000000,222096177.000000,2025-05-07,19000.000000,207554000.000000,,116091000.000000,91463000.000000,,3.977000,-1043000.000000,104884000.000000,104884000.000000,3283000.000000,-60020000.000000,3.150000,2.774000,78575000.000000,3459000.000000,75116000.000000,78575000.000000,13962000.000000,2668000.000000,0.000000,0.000000,0.000000,-56466000.000000,-53798000.000000,-3.476000,-53798000.000000,-56466000.000000,-60020000.000000,-2.540000,-2.540000,-2.540000,54992000.000000,,54992000.000000,195787177.000000,-2.000000,-1.708000,-29104000.000000,-2.105000,1.000000,12194000.000000,0.788000,74253000.000000,3554000.000000,70136000.000000,,2213000.000000,12000000.000000,0.000000,12000000.000000,152562000.000000,36856000.000000,115706000.000000,-17027000.000000,0.000000,767000.000000,862000.000000,0.000000,1629000.000000,9405000.000000,9298000.000000,-28061000.000000,0.000000,-60020000.000000,-60020000.000000,-60020000.000000,0.000000,0.000000,-3.878000,70938000.000000,-58744000.000000,2856000.000000,0.000000,4.039000,-1.600000,-0.898000,3941000.000000,0.000000,9.020000,3.401000,1.910000,5389000.000000,-316469000.000000,15477000.000000,15477000.000000,20540000.000000,,,,,2287000.000000,27957000.000000,1.000000,24622636.000000,13829000.000000,13829000.000000,1.119000,133301000.000000,0.000000,0.000000,0.000000,9.639000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,44523000.000000,196242409.000000,2025-05-07,12000.000000,239018000.000000,,119245000.000000,119773000.000000,,0.524000,-458000.000000,102769000.000000,102769000.000000,2298000.000000,-46710000.000000,1.596000,18.211000,116547000.000000,3180000.000000,113367000.000000,116547000.000000,13677000.000000,2645000.000000,0.000000,0.000000,0.000000,-42923000.000000,-40278000.000000,-2.752000,-40278000.000000,-42923000.000000,-46710000.000000,-1.970000,-1.970000,-1.970000,12442000.000000,,12442000.000000,210020409.000000,-1.000000,-1.487000,-38628000.000000,-1.627000,1.000000,12336000.000000,0.843000,113132000.000000,3787000.000000,64942000.000000,,2200000.000000,4410000.000000,4410000.000000,0.000000,226576000.000000,74722000.000000,151854000.000000,-2174000.000000,0.000000,2000.000000,38921000.000000,0.000000,38923000.000000,-2927000.000000,7531000.000000,-38170000.000000,0.000000,-46710000.000000,-46710000.000000,-46710000.000000,0.000000,0.000000,-3.192000,56156000.000000,-43820000.000000,8915000.000000,0.000000,15.773000,-1.183000,-0.752000,3875000.000000,0.000000,7.970000,2.980000,2.874000,5310000.000000,-363179000.000000,14634000.000000,14634000.000000,21243000.000000,,,,,2227000.000000,32780000.000000,1.000000,24622636.000000,23743000.000000,23743000.000000,0.616000,125886000.000000,0.000000,0.000000,0.000000,5.302000
ARQ,2008-06-30,2008-08-11,2008-06-30,2008-Q2,-107000.000000,244070121.000000,2025-05-07,0.000000,186591000.000000,,70196000.000000,116395000.000000,,-1.493000,-1151000.000000,53200000.000000,53200000.000000,2796000.000000,-51880000.000000,0.998000,-6.239000,119803000.000000,6099000.000000,113704000.000000,119803000.000000,15329000.000000,4472000.000000,0.000000,0.000000,0.000000,-46645000.000000,-42173000.000000,-2.714000,-42173000.000000,-46645000.000000,-51880000.000000,-2.170000,-2.170000,-2.170000,-35619000.000000,,-35619000.000000,310673121.000000,-2.000000,-2.078000,-45738000.000000,-1.917000,1.000000,12743000.000000,0.820000,109287000.000000,5235000.000000,73604000.000000,,6219000.000000,1500000.000000,1500000.000000,0.000000,222210000.000000,70303000.000000,151907000.000000,-49569000.000000,0.000000,974000.000000,2285000.000000,0.000000,3259000.000000,-8241000.000000,2910000.000000,-44587000.000000,0.000000,-51880000.000000,-51880000.000000,-51880000.000000,0.000000,0.000000,-3.339000,59837000.000000,-47094000.000000,8522000.000000,0.000000,-6.852000,-1.371000,-1.132000,4260000.000000,0.000000,8.490000,3.636000,3.018000,5221000.000000,-415058000.000000,15539000.000000,15539000.000000,21882000.000000,,,,,1875000.000000,34109000.000000,1.000000,28747953.000000,23858000.000000,23858000.000000,0.651000,77304000.000000,0.000000,0.000000,0.000000,3.240000
ARQ,2008-09-30,2008-11-14,2008-09-30,2008-Q3,3264000.000000,37407782.000000,2025-05-07,-3000.000000,179793000.000000,,69704000.000000,110089000.000000,,-1.414000,-56000.000000,51905000.000000,51905000.000000,5525000.000000,-28809000.000000,1.049000,-5.709000,116879000.000000,3265000.000000,113614000.000000,116879000.000000,24014000.000000,4097000.000000,0.000000,0.000000,0.000000,-23454000.000000,-19357000.000000,-1.091000,-19357000.000000,-23454000.000000,-28809000.000000,-1.070000,-1.070000,-1.070000,-38179000.000000,,-38179000.000000,102381782.000000,-1.000000,-0.658000,-28745000.000000,-1.065000,1.000000,12221000.000000,0.689000,103876000.000000,5355000.000000,74451000.000000,,6264000.000000,999000.000000,999000.000000,0.000000,217972000.000000,66440000.000000,151532000.000000,-1295000.000000,0.000000,24512000.000000,-3338000.000000,0.000000,21174000.000000,6220000.000000,501000.000000,-28689000.000000,0.000000,-28809000.000000,-28809000.000000,-28809000.000000,0.000000,0.000000,-1.623000,39965000.000000,-27744000.000000,6614000.000000,0.000000,-0.980000,-0.200000,-0.168000,3708000.000000,0.000000,1.300000,0.590000,0.554000,6686000.000000,-443868000.000000,17746000.000000,17746000.000000,12149000.000000,,,,,1688000.000000,24329000.000000,1.000000,28775217.000000,26994000.000000,26994000.000000,0.657000,75917000.000000,0.000000,0.000000,0.000000,2.812000
ARQ,2008-12-31,2009-03-26,2008-12-31,2008-Q4,-129492000.000000,28925352.000000,2025-05-07,4000.000000,117498000.000000,,43999000.000000,73499000.000000,,-3.321000,-74000.000000,26816000.000000,26816000.000000,3305000.000000,-56940000.000000,0.254000,-2.265000,122409000.000000,122409000.000000,0.000000,122409000.000000,23652000.000000,3812000.000000,0.000000,0.000000,0.000000,-51575000.000000,-47763000.000000,-2.438000,-47763000.000000,-51575000.000000,-56940000.000000,-2.070000,-2.070000,-2.070000,-92878000.000000,,-92878000.000000,124518352.000000,-1.000000,-0.833000,-18860000.000000,-0.674000,1.000000,16290000.000000,0.831000,70739000.000000,5365000.000000,-31139000.000000,,4788000.000000,1004000.000000,1004000.000000,0.000000,210376000.000000,173491000.000000,36885000.000000,-25004000.000000,0.000000,194000.000000,582000.000000,0.000000,776000.000000,-6994000.000000,80000.000000,-18786000.000000,0.000000,-56940000.000000,-56940000.000000,-56940000.000000,0.000000,0.000000,-2.906000,68009000.000000,-51719000.000000,5736000.000000,0.000000,-0.311000,-0.157000,-0.139000,2514000.000000,0.000000,1.000000,0.428000,0.380000,6643000.000000,-500808000.000000,19595000.000000,19595000.000000,14689000.000000,,,,,2316000.000000,20183000.000000,1.000000,28925352.000000,27965000.000000,27965000.000000,0.701000,46759000.000000,0.000000,0.000000,0.000000,1.672000
ARQ,2009-03-31,2009-05-07,2009-03-31,2009-Q1,-134986000.000000,21404760.000000,2025-05-07,0.000000,109937000.000000,,33544000.000000,76393000.000000,,-3.191000,-5000.000000,17790000.000000,17790000.000000,1943000.000000,-12988000.000000,0.199000,-2.191000,123970000.000000,123970000.000000,0.000000,123970000.000000,23650000.000000,2102000.000000,0.000000,0.000000,0.000000,-7194000.000000,-5092000.000000,-0.231000,-5092000.000000,-7194000.000000,-12988000.000000,-0.450000,-0.450000,-0.450000,-92296000.000000,,-92296000.000000,127584760.000000,-1.000000,-1.115000,-5155000.000000,-0.178000,1.000000,20133000.000000,0.912000,74007000.000000,5794000.000000,-26420000.000000,,4430000.000000,0.000000,0.000000,0.000000,202233000.000000,168530000.000000,33703000.000000,-7888000.000000,0.000000,0.000000,-3875000.000000,0.000000,-3875000.000000,1137000.000000,2142000.000000,-5150000.000000,0.000000,-12988000.000000,-12988000.000000,-12988000.000000,0.000000,0.000000,-0.588000,27356000.000000,-7223000.000000,4554000.000000,0.000000,-0.232000,-0.142000,-0.128000,2140000.000000,0.000000,0.740000,0.286000,0.286000,7012000.000000,-513796000.000000,22076000.000000,22076000.000000,11408000.000000,,,,,1082000.000000,14216000.000000,1.000000,28925352.000000,28925000.000000,28925000.000000,0.763000,35930000.000000,0.000000,0.000000,0.000000,1.242000
ARQ,2009-06-30,2009-08-14,2009-06-30,2009-Q2,-17483000.000000,206576737.000000,2025-05-07,0.000000,108574000.000000,,32725000.000000,75849000.000000,,-3.063000,-12000.000000,16847000.000000,16847000.000000,2575000.000000,2171000.000000,0.652000,-2.221000,129483000.000000,14638000.000000,114845000.000000,129483000.000000,13110000.000000,2191000.000000,0.000000,0.000000,0.000000,8027000.000000,10218000.000000,0.274000,10218000.000000,8027000.000000,2171000.000000,0.070000,0.070000,0.070000,-88898000.000000,,-88898000.000000,319212737.000000,-4.000000,-5.149000,-1070000.000000,-0.037000,1.000000,34705000.000000,0.931000,72185000.000000,5856000.000000,98817000.000000,,4193000.000000,0.000000,0.000000,0.000000,197472000.000000,50208000.000000,147264000.000000,-1243000.000000,0.000000,127000.000000,0.000000,0.000000,127000.000000,-312000.000000,-300000.000000,-1058000.000000,0.000000,2171000.000000,2171000.000000,2171000.000000,0.000000,0.000000,0.058000,26684000.000000,8021000.000000,4074000.000000,0.000000,-2.324000,-2.139000,-1.895000,1778000.000000,0.000000,6.670000,2.136000,2.002000,9197000.000000,-511625000.000000,37280000.000000,37280000.000000,11192000.000000,,,,,1114000.000000,13657000.000000,1.000000,30971025.000000,29021000.000000,29023000.000000,1.285000,36389000.000000,0.000000,0.000000,0.000000,1.254000
