dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-15,1996-11-30,1997-Q1,117390000.000000,797587587.000000,2025-04-08,0.000000,302189000.000000,,223288000.000000,78901000.000000,,0.881000,-13298000.000000,72419000.000000,72419000.000000,179978000.000000,8828000.000000,2.109000,1.263000,60206000.000000,2459000.000000,57747000.000000,60206000.000000,2297000.000000,5433000.000000,0.000000,0.000000,0.000000,14660000.000000,20093000.000000,0.099000,20093000.000000,14660000.000000,14002000.000000,0.059000,0.059000,0.059000,133548000.000000,,133548000.000000,785374587.000000,,,-750000.000000,-0.005000,1.000000,23092000.000000,0.114000,0.000000,658000.000000,184078000.000000,,67496000.000000,0.000000,0.000000,0.000000,168641000.000000,105898000.000000,62743000.000000,-900000.000000,0.000000,466000.000000,-616000.000000,0.000000,-150000.000000,-13298000.000000,0.000000,12548000.000000,0.000000,8828000.000000,8828000.000000,8828000.000000,0.000000,0.000000,0.043000,8432000.000000,14660000.000000,73994000.000000,0.000000,5.972000,,,78609000.000000,0.000000,5.577000,,,77923000.000000,76147000.000000,203070000.000000,203070000.000000,705000.000000,,,,,0.000000,7727000.000000,1.000000,143000912.000000,151536000.000000,151536000.000000,1.340000,302189000.000000,5142000.000000,5174000.000000,8860000.000000,1.994000
ARQ,1997-03-31,1997-04-14,1997-02-28,1997-Q2,116160000.000000,865146665.000000,2025-04-08,0.000000,333018000.000000,,239882000.000000,93136000.000000,,0.959000,-18363000.000000,65158000.000000,65158000.000000,195711000.000000,11059000.000000,1.939000,1.265000,59651000.000000,2459000.000000,57192000.000000,59651000.000000,2729000.000000,6014000.000000,0.000000,0.000000,0.000000,17754000.000000,23768000.000000,0.107000,23768000.000000,17754000.000000,17365000.000000,0.072000,0.072000,0.072000,147016000.000000,,147016000.000000,859639665.000000,,,-10030000.000000,-0.065000,1.000000,26476000.000000,0.119000,0.000000,389000.000000,203789000.000000,,78281000.000000,0.000000,0.000000,0.000000,186002000.000000,123722000.000000,62280000.000000,-7261000.000000,0.000000,2402000.000000,-555000.000000,0.000000,2769000.000000,-18363000.000000,0.000000,8333000.000000,0.000000,11059000.000000,11059000.000000,11059000.000000,0.000000,0.000000,0.050000,8722000.000000,17754000.000000,93372000.000000,0.000000,5.885000,,,91254000.000000,0.000000,5.938000,,,90838000.000000,87206000.000000,222187000.000000,222187000.000000,804000.000000,,,,,0.000000,7918000.000000,1.000000,145708912.000000,153304000.000000,153304000.000000,1.449000,333018000.000000,5142000.000000,6306000.000000,5505000.000000,2.172000
ARQ,1997-06-30,1997-07-15,1997-05-31,1997-Q3,101295000.000000,1747593764.000000,2025-04-08,0.000000,374221000.000000,,255273000.000000,118948000.000000,,1.054000,-44815000.000000,56431000.000000,56431000.000000,215603000.000000,14572000.000000,1.658000,1.311000,58550000.000000,5206000.000000,53344000.000000,58550000.000000,2276000.000000,10912000.000000,0.000000,0.000000,0.000000,22059000.000000,32971000.000000,0.133000,32971000.000000,22059000.000000,21653000.000000,0.095000,0.095000,0.095000,161933000.000000,,161933000.000000,1749712764.000000,,,-8417000.000000,-0.055000,1.000000,32034000.000000,0.129000,0.000000,406000.000000,222362000.000000,,96944000.000000,0.000000,0.000000,0.000000,212288000.000000,153978000.000000,58310000.000000,-9324000.000000,0.000000,811000.000000,-1718000.000000,0.000000,-907000.000000,-44815000.000000,0.000000,36398000.000000,0.000000,14572000.000000,14572000.000000,14572000.000000,0.000000,0.000000,0.059000,9975000.000000,22059000.000000,105526000.000000,0.000000,10.792000,,,116856000.000000,0.000000,11.969000,,,95196000.000000,101778000.000000,247637000.000000,247637000.000000,723000.000000,,,,,0.000000,9252000.000000,1.000000,146013056.000000,153568000.000000,153568000.000000,1.613000,374221000.000000,6216000.000000,7081000.000000,7631000.000000,2.437000
ARQ,1997-09-30,1997-12-01,1997-08-31,1997-Q4,97348000.000000,1846964222.000000,2025-04-08,0.000000,405903000.000000,,265998000.000000,139905000.000000,,1.171000,-16961000.000000,45457000.000000,45457000.000000,265953000.000000,18038000.000000,1.577000,1.237000,52475000.000000,2475000.000000,50000000.000000,52475000.000000,2105000.000000,2565000.000000,0.000000,0.000000,0.000000,27381000.000000,29946000.000000,0.098000,29946000.000000,27381000.000000,27222000.000000,0.118000,0.118000,0.118000,181485000.000000,,181485000.000000,1853982222.000000,23.000000,17.363000,-4880000.000000,-0.031000,1.000000,39255000.000000,0.129000,0.000000,159000.000000,244271000.000000,,96187000.000000,0.000000,0.000000,0.000000,224418000.000000,168650000.000000,55768000.000000,-10377000.000000,0.000000,-55000.000000,-5458000.000000,0.000000,-5497000.000000,-16961000.000000,0.000000,12081000.000000,0.000000,18038000.000000,18038000.000000,18038000.000000,0.000000,0.000000,0.059000,11874000.000000,27381000.000000,125741000.000000,0.000000,10.177000,35.182000,36.356000,139520000.000000,0.000000,12.470000,1.888000,1.955000,116987000.000000,119816000.000000,305208000.000000,305208000.000000,885000.000000,,,,,0.000000,10989000.000000,1.000000,148112608.000000,155040000.000000,155040000.000000,1.969000,405903000.000000,6591000.000000,9184000.000000,9849000.000000,2.618000
ARQ,1997-12-31,1998-01-13,1997-11-30,1998-Q1,91415000.000000,1261402972.000000,2025-04-08,0.000000,461085000.000000,,296134000.000000,164951000.000000,,1.297000,-31408000.000000,43151000.000000,43151000.000000,278167000.000000,19071000.000000,1.447000,1.298000,60000000.000000,10000000.000000,50000000.000000,60000000.000000,1902000.000000,7128000.000000,0.000000,0.000000,0.000000,29356000.000000,36484000.000000,0.114000,36484000.000000,29356000.000000,28643000.000000,0.122000,0.122000,0.122000,200640000.000000,,200640000.000000,1278251972.000000,13.000000,10.378000,-9915000.000000,-0.064000,1.000000,41345000.000000,0.129000,0.000000,713000.000000,273215000.000000,,111779000.000000,0.000000,0.000000,0.000000,260445000.000000,204719000.000000,55726000.000000,-2306000.000000,0.000000,84000.000000,7525000.000000,0.000000,7609000.000000,-31408000.000000,0.000000,21493000.000000,0.000000,19071000.000000,19071000.000000,19071000.000000,0.000000,0.000000,0.060000,11989000.000000,29356000.000000,149847000.000000,0.000000,6.287000,20.105000,20.870000,163989000.000000,0.000000,8.515000,1.152000,1.203000,134357000.000000,138887000.000000,319512000.000000,319512000.000000,912000.000000,,,,,0.000000,11077000.000000,1.000000,148138928.000000,154700000.000000,154700000.000000,2.065000,461085000.000000,6046000.000000,9572000.000000,18272000.000000,2.981000
ARQ,1998-03-31,1998-04-13,1998-02-28,1998-Q2,101839000.000000,1282357410.000000,2025-04-08,0.000000,455274000.000000,,272439000.000000,182835000.000000,,1.545000,-26949000.000000,55680000.000000,55680000.000000,286628000.000000,20139000.000000,1.597000,0.987000,50000000.000000,0.000000,50000000.000000,50000000.000000,1699000.000000,8175000.000000,0.000000,0.000000,0.000000,30323000.000000,38498000.000000,0.116000,38498000.000000,30323000.000000,29189000.000000,0.135000,0.130000,0.135000,229151000.000000,,229151000.000000,1276677410.000000,12.000000,9.258000,21271000.000000,0.143000,1.000000,44060000.000000,0.133000,0.000000,1134000.000000,278994000.000000,,90114000.000000,0.000000,0.000000,0.000000,226123000.000000,170600000.000000,55523000.000000,12529000.000000,0.000000,1258000.000000,-10000000.000000,0.000000,-8742000.000000,-26949000.000000,0.000000,48220000.000000,0.000000,20139000.000000,20139000.000000,20139000.000000,0.000000,0.000000,0.061000,13737000.000000,30323000.000000,126530000.000000,0.000000,5.596000,17.855000,18.351000,182465000.000000,0.000000,8.625000,1.066000,1.063000,119545000.000000,159026000.000000,330688000.000000,330688000.000000,879000.000000,,,,,0.000000,12858000.000000,1.000000,148679120.000000,148320000.000000,154256000.000000,2.230000,455274000.000000,6046000.000000,9050000.000000,13801000.000000,3.070000
ARQ,1998-06-30,1998-07-08,1998-05-31,1998-Q3,107452000.000000,1204051854.000000,2025-04-08,0.000000,445417000.000000,,258440000.000000,186977000.000000,,1.658000,-12177000.000000,43348000.000000,43348000.000000,269826000.000000,17281000.000000,1.712000,0.807000,50000000.000000,8333000.000000,41667000.000000,50000000.000000,2429000.000000,8242000.000000,0.000000,0.000000,0.000000,25767000.000000,34009000.000000,0.110000,34009000.000000,25767000.000000,25045000.000000,0.115000,0.113000,0.115000,246509000.000000,,246509000.000000,1210703854.000000,11.000000,8.714000,-12409000.000000,-0.083000,1.000000,39773000.000000,0.128000,0.000000,722000.000000,301081000.000000,,83651000.000000,0.000000,0.000000,0.000000,198908000.000000,150988000.000000,47920000.000000,-12332000.000000,0.000000,77000.000000,0.000000,0.000000,77000.000000,-12177000.000000,0.000000,-232000.000000,0.000000,17281000.000000,17281000.000000,17281000.000000,0.000000,0.000000,0.056000,14006000.000000,25767000.000000,100232000.000000,0.000000,4.884000,16.155000,16.520000,185880000.000000,0.000000,8.095000,0.952000,0.951000,123863000.000000,176307000.000000,309599000.000000,309599000.000000,1065000.000000,,,,,0.000000,12941000.000000,1.000000,148740192.000000,148668000.000000,154460000.000000,2.082000,445417000.000000,6046000.000000,7764000.000000,10995000.000000,2.996000
ARQ,1998-09-30,1998-12-07,1998-08-31,1998-Q4,103660000.000000,2391652997.000000,2025-04-08,0.000000,526703000.000000,,290379000.000000,236324000.000000,,1.668000,-26550000.000000,23139000.000000,23139000.000000,281026000.000000,442000.000000,1.555000,1.121000,90000000.000000,8333000.000000,81667000.000000,90000000.000000,2227000.000000,12157000.000000,0.000000,0.000000,0.000000,-342000.000000,11815000.000000,0.037000,11815000.000000,-342000.000000,-897000.000000,0.003000,0.005000,0.003000,248366000.000000,,248366000.000000,2458513997.000000,29.000000,20.351000,2417000.000000,0.016000,1.000000,36549000.000000,0.115000,0.000000,555000.000000,406845000.000000,,123097000.000000,0.000000,0.000000,0.000000,278337000.000000,186719000.000000,91618000.000000,-20209000.000000,-64990000.000000,1415000.000000,40000000.000000,0.000000,42364000.000000,-91540000.000000,0.000000,28967000.000000,0.000000,442000.000000,442000.000000,442000.000000,0.000000,0.000000,0.001000,36891000.000000,-342000.000000,132601000.000000,0.000000,9.630000,42.008000,41.860000,224680000.000000,0.000000,16.032000,1.872000,1.864000,126276000.000000,176749000.000000,317575000.000000,317575000.000000,928000.000000,,,,,0.000000,15138000.000000,1.000000,149175300.000000,148932000.000000,153784000.000000,2.132000,526703000.000000,16095000.000000,-1339000.000000,13049000.000000,3.537000
ARQ,1998-12-31,1999-01-14,1998-11-30,1999-Q1,102464000.000000,2661230369.000000,2025-04-08,0.000000,616309000.000000,,358408000.000000,257901000.000000,,1.796000,-33834000.000000,13016000.000000,13016000.000000,397366000.000000,19286000.000000,1.400000,1.301000,90000000.000000,8333000.000000,81667000.000000,90000000.000000,2421000.000000,11507000.000000,0.000000,0.000000,0.000000,31191000.000000,42698000.000000,0.095000,42698000.000000,31191000.000000,29671000.000000,0.130000,0.125000,0.130000,267793000.000000,,267793000.000000,2738214369.000000,31.000000,21.557000,-10659000.000000,-0.071000,1.000000,50575000.000000,0.113000,0.000000,1520000.000000,437349000.000000,,146272000.000000,0.000000,0.000000,0.000000,348516000.000000,255944000.000000,92572000.000000,-10123000.000000,0.000000,141000.000000,0.000000,0.000000,536000.000000,-33834000.000000,0.000000,23175000.000000,0.000000,19286000.000000,19286000.000000,19286000.000000,0.000000,0.000000,0.043000,19384000.000000,31191000.000000,192764000.000000,0.000000,9.938000,46.567000,46.547000,246496000.000000,0.000000,17.828000,1.893000,1.891000,180793000.000000,196035000.000000,447941000.000000,447941000.000000,1066000.000000,,,,,0.000000,18318000.000000,1.000000,149276700.000000,149132000.000000,155308000.000000,3.004000,616309000.000000,14960000.000000,10385000.000000,19392000.000000,4.133000
ARQ,1999-03-31,1999-04-14,1999-02-28,1999-Q2,130950000.000000,3772961511.000000,2025-04-08,0.000000,698930000.000000,,404318000.000000,294612000.000000,,1.959000,-53619000.000000,18088000.000000,18088000.000000,437850000.000000,21616000.000000,1.479000,1.384000,130000000.000000,8333000.000000,121667000.000000,130000000.000000,2208000.000000,16544000.000000,0.000000,0.000000,0.000000,34936000.000000,51480000.000000,0.104000,51480000.000000,34936000.000000,33266000.000000,0.145000,0.140000,0.145000,293199000.000000,,293199000.000000,3884873511.000000,42.000000,27.749000,-38060000.000000,-0.254000,1.000000,55513000.000000,0.113000,0.000000,1670000.000000,537474000.000000,,156546000.000000,0.000000,0.000000,0.000000,405731000.000000,273368000.000000,132363000.000000,5072000.000000,0.000000,3132000.000000,40000000.000000,0.000000,43132000.000000,-53619000.000000,0.000000,15559000.000000,0.000000,21616000.000000,21616000.000000,21616000.000000,0.000000,0.000000,0.044000,20577000.000000,34936000.000000,212870000.000000,0.000000,12.868000,64.358000,58.601000,283823000.000000,0.000000,23.030000,2.405000,2.198000,209092000.000000,217652000.000000,493363000.000000,493363000.000000,989000.000000,,,,,0.000000,19588000.000000,1.000000,163828116.000000,149696000.000000,156758000.000000,3.296000,698930000.000000,14515000.000000,11650000.000000,18984000.000000,4.669000
