dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-03-31,2001-05-14,2001-04-01,2001-Q1,9601000000.000000,136609799957.000000,2025-04-23,-564000000.000000,31875000000.000000,,16421000000.000000,15454000000.000000,,7.208000,-257000000.000000,3647000000.000000,3647000000.000000,2279000000.000000,1500000000.000000,2.408000,0.586000,2472000000.000000,901000000.000000,1571000000.000000,2472000000.000000,0.000000,391000000.000000,0.000000,0.011000,0.160000,2159000000.000000,2550000000.000000,0.327000,2550000000.000000,2159000000.000000,2140000000.000000,0.540000,0.530000,0.540000,20092000000.000000,,20092000000.000000,135434799957.000000,,,1371000000.000000,0.492000,1.000000,5512000000.000000,0.707000,7164000000.000000,19000000.000000,16716000000.000000,,2810000000.000000,2496000000.000000,2253000000.000000,243000000.000000,11783000000.000000,6820000000.000000,4963000000.000000,236000000.000000,2000000.000000,-179000000.000000,-535000000.000000,-447000000.000000,-1161000000.000000,-199000000.000000,78000000.000000,1628000000.000000,-32000000.000000,1500000000.000000,1500000000.000000,1500000000.000000,0.000000,0.000000,0.193000,3422000000.000000,2090000000.000000,1928000000.000000,0.296000,6.799000,,,6758000000.000000,0.000000,48.895000,,,4606000000.000000,20067000000.000000,7791000000.000000,7791000000.000000,701000000.000000,,,,,0.000000,2721000000.000000,1.000000,2793942120.000000,2787400000.000000,2829400000.000000,2.795000,24711000000.000000,1147000000.000000,640000000.000000,982000000.000000,8.865000
ARQ,2001-06-30,2001-08-15,2001-07-01,2001-Q2,10845000000.000000,177831025236.000000,2025-04-23,-552000000.000000,36101000000.000000,,18191000000.000000,17910000000.000000,,7.497000,-314000000.000000,4722000000.000000,4722000000.000000,2362000000.000000,1482000000.000000,2.476000,0.590000,3415000000.000000,924000000.000000,2491000000.000000,3415000000.000000,0.000000,413000000.000000,0.000000,0.010000,0.180000,2179000000.000000,2592000000.000000,0.311000,2592000000.000000,2179000000.000000,2129000000.000000,0.490000,0.480000,0.490000,22711000000.000000,,22711000000.000000,176524025236.000000,,,1984000000.000000,0.655000,1.000000,5980000000.000000,0.717000,7616000000.000000,50000000.000000,19832000000.000000,,2913000000.000000,3940000000.000000,2797000000.000000,1143000000.000000,13390000000.000000,7346000000.000000,6044000000.000000,208000000.000000,34000000.000000,-156000000.000000,-226000000.000000,-503000000.000000,-885000000.000000,-1186000000.000000,-859000000.000000,2298000000.000000,-19000000.000000,1482000000.000000,1482000000.000000,1482000000.000000,0.000000,0.000000,0.178000,3804000000.000000,2176000000.000000,2049000000.000000,0.367000,7.830000,,,7203000000.000000,0.000000,57.000000,,,4805000000.000000,20469000000.000000,8342000000.000000,8342000000.000000,829000000.000000,,,,,0.000000,2975000000.000000,1.000000,3119842548.000000,3029300000.000000,3110500000.000000,2.754000,28485000000.000000,1360000000.000000,647000000.000000,727000000.000000,9.403000
ARQ,2001-09-30,2001-11-13,2001-09-30,2001-Q3,11575000000.000000,181817551825.000000,2025-04-23,-494000000.000000,37053000000.000000,,19079000000.000000,17974000000.000000,,7.809000,-407000000.000000,5066000000.000000,5066000000.000000,2385000000.000000,1529000000.000000,2.543000,0.561000,2826000000.000000,639000000.000000,2187000000.000000,2826000000.000000,0.000000,437000000.000000,0.000000,0.010000,0.180000,2147000000.000000,2584000000.000000,0.314000,2584000000.000000,2147000000.000000,2108000000.000000,0.500000,0.490000,0.500000,23734000000.000000,,23734000000.000000,179577551825.000000,,,1735000000.000000,0.571000,1.000000,5853000000.000000,0.710000,7532000000.000000,39000000.000000,19777000000.000000,,3007000000.000000,4294000000.000000,3148000000.000000,1146000000.000000,13319000000.000000,7504000000.000000,5815000000.000000,344000000.000000,74000000.000000,-297000000.000000,-299000000.000000,-548000000.000000,-1144000000.000000,-702000000.000000,-384000000.000000,2142000000.000000,48000000.000000,1529000000.000000,1529000000.000000,1529000000.000000,0.000000,0.000000,0.186000,3793000000.000000,2060000000.000000,2173000000.000000,0.360000,7.661000,,,7338000000.000000,0.000000,59.650000,,,4960000000.000000,21441000000.000000,8238000000.000000,8238000000.000000,899000000.000000,,,,,0.000000,2894000000.000000,1.000000,3048072956.000000,3039200000.000000,3110900000.000000,2.711000,29521000000.000000,1461000000.000000,579000000.000000,1104000000.000000,9.713000
ARQ,2001-12-31,2002-03-20,2001-12-30,2001-Q4,10429000000.000000,196510540985.000000,2025-04-23,-530000000.000000,38488000000.000000,,18473000000.000000,20015000000.000000,,7.953000,-753000000.000000,3758000000.000000,3758000000.000000,2510000000.000000,1157000000.000000,2.296000,0.588000,2782000000.000000,565000000.000000,2217000000.000000,2782000000.000000,0.000000,364000000.000000,0.000000,0.011000,0.180000,1566000000.000000,1930000000.000000,0.224000,1930000000.000000,1566000000.000000,1521000000.000000,0.340000,0.340000,0.340000,24233000000.000000,,24233000000.000000,195534540985.000000,24.000000,20.250000,2043000000.000000,0.670000,1.000000,6123000000.000000,0.709000,9077000000.000000,45000000.000000,20391000000.000000,,2992000000.000000,5183000000.000000,4214000000.000000,969000000.000000,14255000000.000000,8044000000.000000,6211000000.000000,-1308000000.000000,-172000000.000000,-1424000000.000000,-88000000.000000,-549000000.000000,-2061000000.000000,-2006000000.000000,-1056000000.000000,2796000000.000000,-37000000.000000,1157000000.000000,1157000000.000000,1157000000.000000,0.000000,0.000000,0.134000,4669000000.000000,1454000000.000000,2838000000.000000,0.529000,8.109000,34.670000,34.487000,7719000000.000000,0.000000,64.490000,5.954000,5.954000,4630000000.000000,23066000000.000000,8633000000.000000,8633000000.000000,1162000000.000000,,,,,0.000000,3402000000.000000,1.000000,3047147480.000000,3047147480.000000,,2.833000,29411000000.000000,1480000000.000000,364000000.000000,537000000.000000,9.652000
ARQ,2002-03-31,2002-05-14,2002-03-31,2002-Q1,10114000000.000000,183803967361.000000,2025-04-23,-643000000.000000,38296000000.000000,,18415000000.000000,19881000000.000000,,7.798000,-350000000.000000,3437000000.000000,3437000000.000000,2457000000.000000,1834000000.000000,2.218000,0.614000,2894000000.000000,669000000.000000,2225000000.000000,2894000000.000000,0.000000,412000000.000000,0.000000,0.012000,0.180000,2655000000.000000,3067000000.000000,0.351000,3067000000.000000,2655000000.000000,2621000000.000000,0.590000,0.590000,0.590000,23723000000.000000,,23723000000.000000,183260967361.000000,21.000000,18.014000,1585000000.000000,0.521000,1.000000,6286000000.000000,0.719000,9061000000.000000,34000000.000000,20391000000.000000,,3103000000.000000,4913000000.000000,3976000000.000000,937000000.000000,14573000000.000000,8301000000.000000,6272000000.000000,-321000000.000000,-10000000.000000,-1735000000.000000,121000000.000000,-549000000.000000,-2163000000.000000,-84000000.000000,334000000.000000,1935000000.000000,-9000000.000000,1834000000.000000,1834000000.000000,1834000000.000000,0.000000,0.000000,0.210000,3674000000.000000,2612000000.000000,2358000000.000000,0.305000,7.748000,30.624000,31.792000,7655000000.000000,0.000000,61.040000,5.413000,5.468000,4740000000.000000,24059000000.000000,8743000000.000000,8743000000.000000,831000000.000000,,,,,0.000000,2843000000.000000,1.000000,3011205232.000000,3042000000.000000,3115400000.000000,2.874000,29235000000.000000,1562000000.000000,787000000.000000,1680000000.000000,9.610000
ARQ,2002-06-30,2002-08-12,2002-06-30,2002-Q2,8287000000.000000,162394034822.000000,2025-04-23,-646000000.000000,38351000000.000000,,18854000000.000000,19497000000.000000,,7.289000,-452000000.000000,2606000000.000000,2606000000.000000,2582000000.000000,1654000000.000000,1.784000,0.752000,4669000000.000000,2540000000.000000,2129000000.000000,4669000000.000000,0.000000,420000000.000000,0.000000,0.014000,0.205000,2472000000.000000,2892000000.000000,0.319000,2892000000.000000,2472000000.000000,2428000000.000000,0.540000,0.540000,0.540000,21891000000.000000,,21891000000.000000,164457034822.000000,19.000000,15.703000,1106000000.000000,0.368000,1.000000,6491000000.000000,0.715000,9265000000.000000,44000000.000000,20582000000.000000,,3352000000.000000,4427000000.000000,4251000000.000000,176000000.000000,16460000000.000000,10567000000.000000,5893000000.000000,-831000000.000000,-328000000.000000,-3293000000.000000,1853000000.000000,-614000000.000000,-2054000000.000000,-453000000.000000,482000000.000000,1558000000.000000,118000000.000000,1654000000.000000,1654000000.000000,1654000000.000000,0.000000,0.000000,0.182000,4138000000.000000,2353000000.000000,2883000000.000000,0.380000,7.418000,26.303000,27.706000,8048000000.000000,0.000000,54.580000,4.682000,4.726000,5408000000.000000,24813000000.000000,9073000000.000000,9073000000.000000,932000000.000000,,,,,0.000000,3017000000.000000,1.000000,2975339590.000000,3003400000.000000,3069300000.000000,3.021000,29086000000.000000,1420000000.000000,774000000.000000,1063000000.000000,9.684000
ARQ,2002-09-30,2002-11-12,2002-09-29,2002-Q3,8300000000.000000,178294298929.000000,2025-04-23,-714000000.000000,38663000000.000000,,19001000000.000000,19662000000.000000,,7.345000,-497000000.000000,3161000000.000000,3161000000.000000,2611000000.000000,1725000000.000000,1.776000,0.751000,4483000000.000000,2381000000.000000,2102000000.000000,4483000000.000000,0.000000,442000000.000000,0.000000,0.013000,0.205000,2432000000.000000,2874000000.000000,0.317000,2874000000.000000,2432000000.000000,2393000000.000000,0.570000,0.570000,0.570000,22085000000.000000,,22085000000.000000,179616298929.000000,20.000000,16.688000,2059000000.000000,0.685000,1.000000,6468000000.000000,0.712000,9273000000.000000,39000000.000000,20011000000.000000,,3255000000.000000,4267000000.000000,4084000000.000000,183000000.000000,16578000000.000000,10701000000.000000,5877000000.000000,555000000.000000,11000000.000000,-870000000.000000,-195000000.000000,-609000000.000000,-1674000000.000000,-303000000.000000,99000000.000000,2556000000.000000,-24000000.000000,1725000000.000000,1725000000.000000,1725000000.000000,0.000000,0.000000,0.190000,3958000000.000000,2510000000.000000,2503000000.000000,0.360000,8.073000,27.990000,29.422000,8175000000.000000,0.000000,60.020000,5.018000,5.080000,5395000000.000000,25804000000.000000,9079000000.000000,9079000000.000000,952000000.000000,,,,,0.000000,3006000000.000000,1.000000,2970581455.000000,3006900000.000000,3066000000.000000,3.019000,29390000000.000000,1483000000.000000,668000000.000000,1263000000.000000,9.774000
ARQ,2002-12-31,2003-03-18,2002-12-29,2002-Q4,7817000000.000000,168635030885.000000,2025-04-23,-842000000.000000,40556000000.000000,,19266000000.000000,21290000000.000000,,7.642000,-800000000.000000,2894000000.000000,2894000000.000000,2797000000.000000,1384000000.000000,1.683000,0.787000,4139000000.000000,2117000000.000000,2022000000.000000,4139000000.000000,0.000000,388000000.000000,0.000000,0.014000,0.205000,1892000000.000000,2280000000.000000,0.242000,2280000000.000000,1892000000.000000,1849000000.000000,0.500000,0.460000,0.500000,22697000000.000000,,22697000000.000000,169880030885.000000,18.000000,15.287000,1327000000.000000,0.447000,1.000000,6606000000.000000,0.703000,9246000000.000000,43000000.000000,21106000000.000000,,3303000000.000000,4702000000.000000,4581000000.000000,121000000.000000,17859000000.000000,11449000000.000000,6410000000.000000,-267000000.000000,5000000.000000,-250000000.000000,-203000000.000000,-609000000.000000,-1062000000.000000,-1357000000.000000,-485000000.000000,2127000000.000000,25000000.000000,1384000000.000000,1384000000.000000,1384000000.000000,0.000000,0.000000,0.147000,4592000000.000000,2014000000.000000,3621000000.000000,0.410000,7.430000,25.562000,25.809000,8710000000.000000,0.000000,56.780000,4.646000,4.646000,5399000000.000000,26571000000.000000,9403000000.000000,9403000000.000000,1242000000.000000,,,,,0.000000,3350000000.000000,1.000000,2969972365.000000,2969972365.000000,,3.166000,31310000000.000000,1655000000.000000,465000000.000000,710000000.000000,10.542000
ARQ,2003-03-31,2003-05-14,2003-03-30,2003-Q1,9014000000.000000,164324229453.000000,2025-04-23,-818000000.000000,41994000000.000000,,20471000000.000000,21523000000.000000,,8.097000,-408000000.000000,3061000000.000000,3061000000.000000,2722000000.000000,2070000000.000000,1.787000,0.747000,4107000000.000000,2103000000.000000,2004000000.000000,4107000000.000000,0.000000,446000000.000000,0.000000,0.015000,0.000000,2967000000.000000,3413000000.000000,0.348000,3413000000.000000,2967000000.000000,2929000000.000000,0.690000,0.690000,0.690000,24036000000.000000,,24036000000.000000,165370229453.000000,17.000000,14.431000,1398000000.000000,0.471000,1.000000,7099000000.000000,0.723000,9425000000.000000,38000000.000000,22158000000.000000,,3541000000.000000,4907000000.000000,4786000000.000000,121000000.000000,17958000000.000000,11457000000.000000,6501000000.000000,167000000.000000,-255000000.000000,-249000000.000000,79000000.000000,-609000000.000000,-779000000.000000,-897000000.000000,-217000000.000000,1806000000.000000,37000000.000000,2070000000.000000,2070000000.000000,2070000000.000000,0.000000,0.000000,0.211000,4207000000.000000,2892000000.000000,3077000000.000000,0.000000,6.837000,24.049000,24.065000,8799000000.000000,0.000000,55.350000,4.397000,4.396000,5836000000.000000,27852000000.000000,9821000000.000000,9821000000.000000,936000000.000000,,,,,0.000000,3253000000.000000,1.000000,2968820767.000000,2968400000.000000,3018500000.000000,3.309000,32569000000.000000,1674000000.000000,859000000.000000,1911000000.000000,10.972000
ARQ,2003-03-31,2003-05-15,2003-03-30,2003-Q1,9014000000.000000,164591423322.000000,2025-04-23,-818000000.000000,41994000000.000000,,20471000000.000000,21523000000.000000,,8.097000,-408000000.000000,3061000000.000000,3061000000.000000,2722000000.000000,2070000000.000000,1.787000,0.747000,4107000000.000000,2103000000.000000,2004000000.000000,4107000000.000000,0.000000,446000000.000000,0.000000,0.015000,0.000000,2967000000.000000,3413000000.000000,0.348000,3413000000.000000,2967000000.000000,2929000000.000000,0.690000,0.690000,0.690000,24036000000.000000,,24036000000.000000,165637423322.000000,17.000000,14.455000,1628000000.000000,0.548000,1.000000,7099000000.000000,0.723000,9425000000.000000,38000000.000000,22158000000.000000,,3541000000.000000,4907000000.000000,4786000000.000000,121000000.000000,17958000000.000000,11457000000.000000,6501000000.000000,167000000.000000,-255000000.000000,-249000000.000000,-151000000.000000,-609000000.000000,-1009000000.000000,-897000000.000000,-217000000.000000,2036000000.000000,37000000.000000,2070000000.000000,2070000000.000000,2070000000.000000,0.000000,0.000000,0.211000,4207000000.000000,2892000000.000000,3077000000.000000,0.000000,6.848000,24.088000,24.104000,8799000000.000000,0.000000,55.440000,4.404000,4.403000,5836000000.000000,27852000000.000000,9821000000.000000,9821000000.000000,936000000.000000,,,,,0.000000,3253000000.000000,1.000000,2968820767.000000,2968400000.000000,3018500000.000000,3.309000,32569000000.000000,1674000000.000000,859000000.000000,1911000000.000000,10.972000
