dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-25,1996-12-31,1996-Q4,,43865417877.000000,2025-05-02,-288000000.000000,336099000000.000000,,,,,15.677000,,22949000000.000000,22949000000.000000,,,,14.983000,83189000000.000000,,,83189000000.000000,0.000000,,180921000000.000000,0.022000,0.187000,,,,,,,,,,20994000000.000000,,20994000000.000000,104105417877.000000,29.000000,23.337000,,,1.000000,,,0.000000,,396339000000.000000,,0.000000,289011000000.000000,,,314555000000.000000,,,,,,,,,,,,,,,,,,,,,12309000000.000000,,2.089000,19.565000,20.273000,3642000000.000000,,33.917000,2.933000,3.037000,2276000000.000000,8627000000.000000,,,,,,,,,,1.000000,1293329274.000000,1339200000.000000,,,336099000000.000000,0.000000,,0.000000,250.970000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,,41384989812.000000,2025-05-02,-559000000.000000,340338000000.000000,,,,,16.225000,0.000000,17647000000.000000,17647000000.000000,0.000000,927000000.000000,,15.382000,83627000000.000000,,,83627000000.000000,0.000000,235000000.000000,176030000000.000000,0.024000,0.207000,1428000000.000000,1663000000.000000,0.423000,1663000000.000000,1428000000.000000,1428000000.000000,0.660000,0.657000,0.660000,20742000000.000000,,20742000000.000000,107364989812.000000,,,3447000000.000000,2.696000,1.000000,3930000000.000000,1.000000,0.000000,0.000000,406318000000.000000,,0.000000,298339000000.000000,,,319046000000.000000,,,-256000000.000000,0.000000,-861000000.000000,649000000.000000,-296000000.000000,-5586000000.000000,1863000000.000000,2035000000.000000,3447000000.000000,20000000.000000,872000000.000000,872000000.000000,872000000.000000,0.000000,55000000.000000,0.222000,2447000000.000000,1483000000.000000,13242000000.000000,0.314000,1.995000,,,3640000000.000000,0.000000,32.373000,,,2280000000.000000,9235000000.000000,3930000000.000000,3930000000.000000,0.000000,,,,,0.000000,1723000000.000000,1.000000,1278366654.000000,1278366654.000000,,3.074000,340338000000.000000,0.000000,556000000.000000,0.000000,266.229000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,,47137815815.000000,2025-05-02,-155000000.000000,352033000000.000000,,,,,16.367000,0.000000,20921000000.000000,20921000000.000000,0.000000,925000000.000000,,15.904000,87187000000.000000,,,87187000000.000000,0.000000,236000000.000000,183744000000.000000,0.021000,0.207000,1429000000.000000,1665000000.000000,0.421000,1665000000.000000,1429000000.000000,1429000000.000000,0.667000,0.667000,0.667000,20793000000.000000,,20793000000.000000,113403815815.000000,,,272000000.000000,0.214000,1.000000,3951000000.000000,1.000000,0.000000,0.000000,418299000000.000000,,0.000000,306181000000.000000,,,330690000000.000000,,,2530000000.000000,0.000000,-440000000.000000,5798000000.000000,-317000000.000000,12098000000.000000,-9834000000.000000,-9883000000.000000,272000000.000000,-6000000.000000,874000000.000000,874000000.000000,874000000.000000,0.000000,51000000.000000,0.221000,2471000000.000000,1480000000.000000,13053000000.000000,0.310000,2.267000,,,3676000000.000000,0.000000,37.103000,,,2102000000.000000,9846000000.000000,3951000000.000000,3951000000.000000,0.000000,,,,,0.000000,1715000000.000000,1.000000,1270446927.000000,1270446927.000000,,3.110000,352033000000.000000,0.000000,555000000.000000,0.000000,277.094000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,,43675542380.000000,2025-05-02,126000000.000000,366574000000.000000,,,,,16.740000,0.000000,18519000000.000000,18519000000.000000,0.000000,982000000.000000,,16.293000,94637000000.000000,,,94637000000.000000,0.000000,241000000.000000,181788000000.000000,0.023000,0.207000,1517000000.000000,1758000000.000000,0.417000,1758000000.000000,1517000000.000000,1517000000.000000,0.723000,0.720000,0.723000,21166000000.000000,,21166000000.000000,119793542380.000000,,,-411000000.000000,-0.325000,1.000000,4219000000.000000,1.000000,0.000000,0.000000,442692000000.000000,,0.000000,321576000000.000000,,,344858000000.000000,,,-2512000000.000000,0.000000,-347000000.000000,11582000000.000000,-303000000.000000,8860000000.000000,-11019000000.000000,-10664000000.000000,-411000000.000000,58000000.000000,941000000.000000,941000000.000000,941000000.000000,0.000000,41000000.000000,0.223000,2661000000.000000,1558000000.000000,14935000000.000000,0.286000,2.063000,,,3733000000.000000,0.000000,34.543000,,,2226000000.000000,10526000000.000000,4219000000.000000,4219000000.000000,0.000000,,,,,0.000000,1884000000.000000,1.000000,1264369653.000000,1264369653.000000,,3.337000,366574000000.000000,0.000000,576000000.000000,0.000000,289.926000
ARQ,1997-12-31,1998-03-30,1997-12-31,1997-Q4,,56460200609.000000,2025-05-02,95000000.000000,365521000000.000000,,,,,17.168000,0.000000,18590000000.000000,18590000000.000000,0.000000,874000000.000000,,15.786000,84577000000.000000,,,84577000000.000000,0.000000,239000000.000000,193688000000.000000,0.019000,0.207000,1354000000.000000,1593000000.000000,0.411000,1593000000.000000,1354000000.000000,1354000000.000000,0.717000,0.633000,0.717000,21742000000.000000,,21742000000.000000,122447200609.000000,21.000000,18.333000,2153000000.000000,1.700000,1.000000,3879000000.000000,1.000000,0.000000,0.000000,431508000000.000000,,0.000000,320889000000.000000,,,343229000000.000000,,,1337000000.000000,-4306000000.000000,30000000.000000,-12375000000.000000,-296000000.000000,-1091000000.000000,330000000.000000,4094000000.000000,2153000000.000000,-55000000.000000,839000000.000000,839000000.000000,839000000.000000,0.000000,35000000.000000,0.216000,2490000000.000000,1389000000.000000,12526000000.000000,0.289000,2.597000,16.013000,16.113000,3780000000.000000,0.000000,44.583000,3.533000,3.533000,1719000000.000000,11103000000.000000,3879000000.000000,3879000000.000000,0.000000,,,,,0.000000,1674000000.000000,1.000000,1266397023.000000,1266397023.000000,,3.063000,365521000000.000000,0.000000,515000000.000000,0.000000,288.631000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,,60594592728.000000,2025-05-02,134000000.000000,365715000000.000000,,,,,17.217000,0.000000,18371000000.000000,18371000000.000000,0.000000,725000000.000000,,15.568000,85036000000.000000,,,85036000000.000000,0.000000,242000000.000000,196096000000.000000,0.018000,0.240000,1116000000.000000,1358000000.000000,0.317000,1358000000.000000,1116000000.000000,1116000000.000000,0.547000,0.530000,0.547000,22041000000.000000,,22041000000.000000,127259592728.000000,23.000000,19.965000,-4347000000.000000,-3.396000,1.000000,4285000000.000000,1.000000,0.000000,0.000000,432380000000.000000,,0.000000,319125000000.000000,,,343124000000.000000,,,-798000000.000000,0.000000,264000000.000000,2004000000.000000,-295000000.000000,3683000000.000000,-148000000.000000,-234000000.000000,-4347000000.000000,14000000.000000,691000000.000000,691000000.000000,691000000.000000,0.000000,34000000.000000,0.161000,3135000000.000000,1150000000.000000,13581000000.000000,0.439000,2.749000,18.115000,17.841000,3841000000.000000,0.000000,47.333000,3.710000,3.710000,1398000000.000000,11471000000.000000,4285000000.000000,4285000000.000000,0.000000,,,,,0.000000,1876000000.000000,1.000000,1280167452.000000,1280167452.000000,,3.347000,365715000000.000000,0.000000,425000000.000000,0.000000,285.677000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,,55138721489.000000,2025-05-02,113000000.000000,366995000000.000000,,,,,17.600000,0.000000,21661000000.000000,21661000000.000000,0.000000,1074000000.000000,,15.207000,75976000000.000000,,,75976000000.000000,0.000000,316000000.000000,207091000000.000000,0.021000,0.240000,1681000000.000000,1997000000.000000,0.451000,1997000000.000000,1681000000.000000,1681000000.000000,0.827000,0.800000,0.827000,22610000000.000000,,22610000000.000000,109453721489.000000,19.000000,16.322000,772000000.000000,0.601000,1.000000,4427000000.000000,1.000000,0.000000,0.000000,421310000000.000000,,0.000000,312063000000.000000,,,343835000000.000000,,,785000000.000000,0.000000,250000000.000000,-5241000000.000000,-330000000.000000,5139000000.000000,-5104000000.000000,-4972000000.000000,772000000.000000,-22000000.000000,1050000000.000000,1050000000.000000,1050000000.000000,0.000000,24000000.000000,0.237000,2722000000.000000,1705000000.000000,13902000000.000000,0.290000,2.439000,15.660000,15.258000,3905000000.000000,0.000000,42.920000,3.280000,3.280000,1260000000.000000,12211000000.000000,4427000000.000000,4427000000.000000,0.000000,,,,,0.000000,1888000000.000000,1.000000,1284685962.000000,1284685962.000000,,3.446000,366995000000.000000,0.000000,631000000.000000,0.000000,285.669000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,,48945571469.000000,2025-05-02,701000000.000000,356450000000.000000,,,,,18.301000,0.000000,18462000000.000000,18462000000.000000,0.000000,837000000.000000,,14.329000,72902000000.000000,,,72902000000.000000,0.000000,278000000.000000,200319000000.000000,0.024000,0.240000,1277000000.000000,1555000000.000000,0.394000,1555000000.000000,1277000000.000000,1277000000.000000,0.640000,0.627000,0.640000,23218000000.000000,,23218000000.000000,103385571469.000000,19.000000,15.898000,5959000000.000000,4.697000,1.000000,3946000000.000000,1.000000,0.000000,0.000000,410890000000.000000,,0.000000,305878000000.000000,,,332682000000.000000,,,-1106000000.000000,0.000000,-351000000.000000,-2658000000.000000,-331000000.000000,-10175000000.000000,3104000000.000000,3176000000.000000,5959000000.000000,6000000.000000,815000000.000000,815000000.000000,815000000.000000,0.000000,22000000.000000,0.207000,2647000000.000000,1299000000.000000,14970000000.000000,0.375000,2.108000,14.417000,14.132000,3946000000.000000,0.000000,38.580000,2.960000,2.960000,1342000000.000000,12722000000.000000,3946000000.000000,3946000000.000000,0.000000,,,,,0.000000,1843000000.000000,1.000000,1268677332.000000,1268677332.000000,,3.110000,356450000000.000000,0.000000,462000000.000000,0.000000,280.962000
ARQ,1998-12-31,1999-03-11,1998-12-31,1998-Q4,,74451057867.000000,2025-05-02,392000000.000000,365875000000.000000,,,,,18.825000,0.000000,24280000000.000000,24280000000.000000,0.000000,1146000000.000000,,14.325000,76257000000.000000,,,76257000000.000000,0.000000,334000000.000000,212437000000.000000,0.016000,0.240000,1758000000.000000,2092000000.000000,0.450000,2092000000.000000,1758000000.000000,1758000000.000000,0.887000,0.873000,0.887000,23838000000.000000,,23838000000.000000,126428057867.000000,22.000000,18.056000,1208000000.000000,0.954000,1.000000,4649000000.000000,1.000000,0.000000,0.000000,417852000000.000000,,0.000000,309871000000.000000,,,341487000000.000000,,,2483000000.000000,-981000000.000000,-22000000.000000,1871000000.000000,-322000000.000000,13677000000.000000,-12412000000.000000,-10748000000.000000,1208000000.000000,10000000.000000,1128000000.000000,1128000000.000000,1128000000.000000,0.000000,18000000.000000,0.243000,2873000000.000000,1776000000.000000,14291000000.000000,0.271000,3.123000,20.209000,20.274000,4055000000.000000,0.000000,58.793000,4.300000,4.300000,1223000000.000000,13544000000.000000,4649000000.000000,4649000000.000000,0.000000,,,,,0.000000,1960000000.000000,1.000000,1266318027.000000,1266318027.000000,,3.671000,365875000000.000000,0.000000,630000000.000000,0.000000,288.928000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,,66463428501.000000,2025-05-02,-99000000.000000,361258000000.000000,,,,,18.352000,0.000000,21743000000.000000,21743000000.000000,0.000000,1173000000.000000,,14.502000,81416000000.000000,,,81416000000.000000,0.000000,340000000.000000,207641000000.000000,0.019000,0.273000,1800000000.000000,2140000000.000000,0.449000,2140000000.000000,1800000000.000000,1800000000.000000,0.913000,0.880000,0.913000,23268000000.000000,,23268000000.000000,126136428501.000000,19.000000,16.205000,-709000000.000000,-0.559000,1.000000,4763000000.000000,1.000000,0.000000,0.000000,420931000000.000000,,0.000000,306711000000.000000,,,337440000000.000000,,,1238000000.000000,-49000000.000000,-1090000000.000000,8123000000.000000,-323000000.000000,1875000000.000000,64000000.000000,-245000000.000000,-709000000.000000,8000000.000000,1155000000.000000,1155000000.000000,1155000000.000000,0.000000,18000000.000000,0.242000,2945000000.000000,1818000000.000000,12708000000.000000,0.299000,2.856000,16.023000,16.045000,4114000000.000000,0.000000,52.420000,3.737000,3.737000,987000000.000000,14351000000.000000,4763000000.000000,4763000000.000000,0.000000,,,,,0.000000,2100000000.000000,1.000000,1267902108.000000,1267902108.000000,,3.757000,361258000000.000000,0.000000,645000000.000000,0.000000,284.926000
