dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-12-31,2008-10-31,2007-12-31,2007-Q4,,,2025-05-09,9652000.000000,32842796000.000000,,,,,-132.905000,,731710000.000000,731710000.000000,,,,-0.095000,2020328000.000000,,,2020328000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-27232468000.000000,,-27232468000.000000,,,,,,1.000000,,,0.000000,,34131414000.000000,,0.000000,31818332000.000000,,,2575636000.000000,,,,,,,,,,,,,,,,,,,,,555308000.000000,,,,,0.000000,,,,,43969000.000000,,,,,,,,,,,1.000000,204902226.000000,204902226.000000,,,32842796000.000000,0.000000,,0.000000,160.285000
ARQ,2009-12-31,2010-06-16,2009-12-31,2009-Q4,,,2025-05-09,1193000.000000,30221111000.000000,,,,,4.948000,,901128000.000000,901128000.000000,,,,2.821000,2060185000.000000,,,2060185000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,1013849000.000000,,1013849000.000000,,,,,,1.000000,,,0.000000,,31380168000.000000,,0.000000,28972943000.000000,,,2859630000.000000,,,,,,,,,,,,,,,,,,,,,799445000.000000,,,,,0.000000,,,,,123988000.000000,,,,,,,,,,,1.000000,204902226.000000,204902226.000000,,,30221111000.000000,0.000000,,0.000000,147.490000
ARQ,2010-06-30,2010-08-12,2010-06-30,2010-Q2,,2061316394.000000,2025-05-09,557000.000000,33816937000.000000,,,,,5.431000,,1001973000.000000,1001973000.000000,0.000000,850160000.000000,,1.892000,1292639000.000000,,,1292639000.000000,0.000000,,0.000000,0.000000,0.000000,71324000.000000,,,,71324000.000000,61190000.000000,0.150000,0.150000,0.150000,1112841000.000000,,1112841000.000000,2351982394.000000,,,,,1.000000,87070000.000000,1.000000,0.000000,10134000.000000,34107603000.000000,,0.000000,32114939000.000000,,,2105586000.000000,,,,,,,,,,,,,29907000.000000,29907000.000000,29907000.000000,0.000000,820253000.000000,0.343000,430586000.000000,-343516000.000000,812947000.000000,0.000000,1.852000,,,0.000000,0.000000,10.060000,,,133366000.000000,,87070000.000000,87070000.000000,0.000000,,,,,,416177000.000000,1.000000,204902226.000000,204902226.000000,204902226.000000,0.425000,33816937000.000000,0.000000,31283000.000000,0.000000,165.039000
ARQ,2010-06-30,2010-09-16,2010-06-30,2010-Q2,,2090002705.000000,2025-05-09,557000.000000,33816937000.000000,,,,,5.431000,,1001973000.000000,1001973000.000000,0.000000,850160000.000000,,1.892000,1292639000.000000,,,1292639000.000000,0.000000,,0.000000,0.008000,0.080000,71324000.000000,,,,71324000.000000,61190000.000000,0.150000,0.150000,0.150000,1112841000.000000,,1112841000.000000,2380668705.000000,,,,,1.000000,87070000.000000,1.000000,0.000000,10134000.000000,34107603000.000000,,0.000000,32114939000.000000,,,2105586000.000000,,,,,,,,,,,,,29907000.000000,29907000.000000,29907000.000000,0.000000,820253000.000000,0.343000,430586000.000000,-343516000.000000,812947000.000000,0.533000,1.878000,,,0.000000,0.000000,10.200000,,,133366000.000000,,87070000.000000,87070000.000000,0.000000,,,,,,416177000.000000,1.000000,204902226.000000,204902226.000000,204902226.000000,0.425000,33816937000.000000,0.000000,31283000.000000,0.000000,165.039000
ARQ,2010-09-30,2010-11-09,2010-09-30,2010-Q3,,2668733584.000000,2025-05-09,2446000.000000,34863959000.000000,,,,,5.403000,-2695000.000000,1351009000.000000,1351009000.000000,0.000000,1354415000.000000,,2.287000,1738376000.000000,,,1738376000.000000,0.000000,0.000000,0.000000,0.018000,0.230000,35551000.000000,35551000.000000,0.370000,35551000.000000,35551000.000000,25119000.000000,0.040000,0.040000,0.040000,1107181000.000000,,1107181000.000000,3056100584.000000,,,1109237000.000000,5.413000,1.000000,96018000.000000,1.000000,0.000000,10432000.000000,35251326000.000000,,0.000000,33120796000.000000,,,2531791000.000000,,,563495000.000000,0.000000,0.000000,441820000.000000,-16405000.000000,-538432000.000000,-10005000.000000,-7310000.000000,1111932000.000000,0.000000,8856000.000000,8856000.000000,8856000.000000,0.000000,1345559000.000000,0.092000,449867000.000000,-353849000.000000,793415000.000000,5.750000,2.410000,,,0.000000,0.000000,12.760000,,,129033000.000000,,96018000.000000,96018000.000000,0.000000,,,,,238342000.000000,435553000.000000,1.000000,209148400.000000,204902226.000000,204902226.000000,0.469000,34863959000.000000,0.000000,16263000.000000,0.000000,170.149000
ARQ,2010-12-31,2011-03-07,2010-12-31,2010-Q4,,3708582686.000000,2025-05-09,1963000.000000,38391157000.000000,,,,,6.334000,-5657000.000000,1495077000.000000,1495077000.000000,0.000000,3178689000.000000,,1.803000,1486960000.000000,,,1486960000.000000,0.000000,0.000000,0.000000,0.030000,0.290000,213647000.000000,213647000.000000,1.461000,213647000.000000,213647000.000000,194941000.000000,0.880000,0.880000,0.880000,1326493000.000000,,1326493000.000000,3700465686.000000,8.000000,8.016000,-437522000.000000,-2.089000,1.000000,146267000.000000,1.000000,0.000000,18706000.000000,38383040000.000000,,0.000000,36449770000.000000,,,2391115000.000000,,,-316659000.000000,0.000000,0.000000,-251048000.000000,-31398000.000000,131804000.000000,-16598000.000000,-10941000.000000,-431865000.000000,0.000000,180579000.000000,180579000.000000,180579000.000000,0.000000,2998110000.000000,1.235000,418902000.000000,-272635000.000000,904155000.000000,0.330000,2.796000,11.131000,10.759000,0.000000,0.000000,17.430000,8.518000,8.248000,136556000.000000,,146267000.000000,146267000.000000,0.000000,,,,,107040000.000000,390624000.000000,1.000000,212770091.000000,209420050.000000,209450298.000000,0.698000,38391157000.000000,0.000000,14362000.000000,0.000000,183.321000
ARQ,2011-03-31,2011-05-05,2011-03-31,2011-Q1,,3818008941.000000,2025-05-09,2652000.000000,39871530000.000000,,,,,6.844000,-348000.000000,1370011000.000000,1370011000.000000,0.000000,2317441000.000000,,1.761000,1487012000.000000,,,1487012000.000000,0.000000,0.000000,0.000000,0.029000,0.290000,207600000.000000,207600000.000000,0.895000,207600000.000000,207600000.000000,190348000.000000,0.750000,0.750000,0.750000,1461044000.000000,,1461044000.000000,3935009941.000000,7.000000,,1579914000.000000,7.401000,1.000000,231843000.000000,1.000000,0.000000,17252000.000000,39988531000.000000,,0.000000,38032175000.000000,,,2573134000.000000,,,308855000.000000,0.000000,0.000000,0.000000,-62003000.000000,-1241298000.000000,-30109000.000000,-29761000.000000,1580262000.000000,0.000000,159565000.000000,159565000.000000,159565000.000000,0.000000,2157876000.000000,0.688000,423752000.000000,-191909000.000000,1086122000.000000,0.387000,2.613000,10.076000,9.698000,0.000000,0.000000,17.650000,6.803000,6.714000,149292000.000000,,231843000.000000,231843000.000000,0.000000,,,,,141982000.000000,414229000.000000,1.000000,216317787.000000,213479630.000000,213509630.000000,1.086000,39871530000.000000,0.000000,30783000.000000,0.000000,186.770000
ARQ,2011-06-30,2011-08-05,2011-06-30,2011-Q2,,2712660289.000000,2025-05-09,2651000.000000,40588171000.000000,,,,,6.954000,-769000.000000,1498522000.000000,1498522000.000000,0.000000,1182403000.000000,,1.809000,1530056000.000000,,,1530056000.000000,0.000000,0.000000,0.000000,0.060000,0.210000,82597000.000000,82597000.000000,0.702000,82597000.000000,82597000.000000,65226000.000000,0.180000,0.180000,0.180000,1524288000.000000,,1524288000.000000,2744194289.000000,5.000000,5.088000,618664000.000000,2.823000,1.000000,117612000.000000,1.000000,0.000000,17371000.000000,40619705000.000000,,0.000000,38578531000.000000,,,2757831000.000000,,,-114069000.000000,0.000000,0.000000,42992000.000000,-45430000.000000,-730184000.000000,-3318000.000000,-2549000.000000,619433000.000000,0.000000,39621000.000000,39621000.000000,39621000.000000,0.000000,1142782000.000000,0.337000,331286000.000000,-213674000.000000,1227775000.000000,1.167000,1.780000,6.980000,6.589000,0.000000,0.000000,12.190000,4.584000,4.515000,145701000.000000,,117612000.000000,117612000.000000,0.000000,,,,,120693000.000000,318147000.000000,1.000000,222531607.000000,219188351.000000,220213799.000000,0.537000,40588171000.000000,0.000000,25605000.000000,0.000000,185.175000
ARQ,2011-09-30,2011-11-08,2011-09-30,2011-Q3,,3141612352.000000,2025-05-09,603000.000000,38633762000.000000,,,,,5.681000,-3684000.000000,1352501000.000000,1352501000.000000,0.000000,-3196355000.000000,,2.149000,1565236000.000000,,,1565236000.000000,0.000000,0.000000,0.000000,0.054000,0.110000,-214125000.000000,-214125000.000000,-1.299000,-214125000.000000,-214125000.000000,-231867000.000000,-1.090000,-1.090000,-1.090000,1265239000.000000,,1265239000.000000,3354347352.000000,12.000000,11.578000,-1311265000.000000,-5.887000,1.000000,164808000.000000,1.000000,0.000000,17742000.000000,38846497000.000000,,0.000000,36357602000.000000,,,2719340000.000000,,,-111710000.000000,0.000000,0.000000,35128000.000000,-24635000.000000,1198243000.000000,-2372000.000000,1312000.000000,-1307581000.000000,0.000000,-243402000.000000,-243402000.000000,-243402000.000000,0.000000,-2952953000.000000,-1.477000,128830000.000000,35978000.000000,1154104000.000000,-0.101000,2.483000,23.039000,19.542000,0.000000,0.000000,14.070000,4.756000,4.744000,158417000.000000,,164808000.000000,164808000.000000,0.000000,,,,,123858000.000000,115205000.000000,1.000000,223284460.000000,222733648.000000,222733648.000000,0.740000,38633762000.000000,0.000000,11535000.000000,0.000000,173.453000
ARQ,2011-12-31,2012-02-27,2011-12-31,2011-Q4,,3378159843.000000,2025-05-09,-2189000.000000,40377645000.000000,,,,,5.894000,-13413000.000000,1863975000.000000,1863975000.000000,0.000000,572997000.000000,,2.027000,1564716000.000000,,,1564716000.000000,0.000000,0.000000,0.000000,0.071000,0.420000,87852000.000000,87852000.000000,0.420000,87852000.000000,87852000.000000,67459000.000000,0.210000,0.210000,0.210000,1328698000.000000,,1328698000.000000,3078900843.000000,19.000000,18.782000,-1114104000.000000,-4.942000,1.000000,209357000.000000,1.000000,0.000000,20393000.000000,40078386000.000000,,0.000000,37495360000.000000,,,2692995000.000000,,,21492000.000000,0.000000,0.000000,12928000.000000,-22397000.000000,1133944000.000000,-11761000.000000,1652000.000000,-1100691000.000000,0.000000,46137000.000000,46137000.000000,46137000.000000,0.000000,526860000.000000,0.220000,330137000.000000,-120780000.000000,1128279000.000000,2.000000,2.542000,1758.542000,1458.000000,0.000000,0.000000,14.580000,4.668000,4.437000,149605000.000000,,209357000.000000,209357000.000000,0.000000,,,,,83688000.000000,366424000.000000,1.000000,231698206.000000,225438555.000000,234573375.000000,0.929000,40377645000.000000,0.000000,21322000.000000,0.000000,179.107000
