dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-14,1993-12-31,1993-Q4,-737000000.000000,53930370182.000000,2025-05-02,-420000000.000000,12021000000.000000,,4434000000.000000,7587000000.000000,,0.880000,,998000000.000000,998000000.000000,,,0.857000,1.622000,3100000000.000000,1672000000.000000,1428000000.000000,3100000000.000000,0.000000,,0.000000,0.017000,0.049000,,,,,,,,,,4584000000.000000,,4584000000.000000,56032370182.000000,17.000000,15.140000,,,1.000000,,,549000000.000000,,8403000000.000000,,1049000000.000000,3422000000.000000,113000000.000000,3309000000.000000,7437000000.000000,5171000000.000000,2266000000.000000,,,,,,,,,,,,,,,,,,,2217000000.000000,,11.765000,24.784000,24.958000,3729000000.000000,,10.408000,3.864000,3.884000,1210000000.000000,9458000000.000000,,,,,,,,,,1.000000,5181875588.000000,5208000000.000000,,,11472000000.000000,0.000000,,1395000000.000000,2.203000
ARQ,1994-03-31,1994-05-06,1994-03-31,1994-Q1,-724000000.000000,52057857973.000000,2025-05-02,-315000000.000000,12409000000.000000,,4568000000.000000,7841000000.000000,,0.929000,-168000000.000000,959000000.000000,959000000.000000,1242000000.000000,521000000.000000,0.863000,1.577000,3325000000.000000,1885000000.000000,1440000000.000000,3325000000.000000,0.000000,91000000.000000,0.000000,0.017000,0.049000,803000000.000000,894000000.000000,0.267000,894000000.000000,803000000.000000,760000000.000000,0.100000,,0.100000,4816000000.000000,,4816000000.000000,54423857973.000000,,,175000000.000000,0.034000,1.000000,2110000000.000000,0.629000,550000000.000000,43000000.000000,8933000000.000000,,1071000000.000000,3641000000.000000,174000000.000000,3467000000.000000,7593000000.000000,5292000000.000000,2301000000.000000,-39000000.000000,-7000000.000000,-148000000.000000,216000000.000000,-187000000.000000,-119000000.000000,-265000000.000000,-104000000.000000,343000000.000000,2000000.000000,521000000.000000,521000000.000000,521000000.000000,0.000000,0.000000,0.155000,1349000000.000000,761000000.000000,2130000000.000000,0.490000,10.809000,,,3824000000.000000,0.000000,10.062000,,,1237000000.000000,9726000000.000000,3352000000.000000,3352000000.000000,0.000000,,,,,0.000000,1338000000.000000,1.000000,5173451724.000000,5184000000.000000,,0.647000,11859000000.000000,0.000000,239000000.000000,1407000000.000000,2.288000
ARQ,1994-06-30,1994-08-10,1994-06-30,1994-Q2,-545000000.000000,56747651884.000000,2025-05-02,-213000000.000000,13401000000.000000,,5293000000.000000,8108000000.000000,,1.009000,-169000000.000000,1221000000.000000,1221000000.000000,1667000000.000000,758000000.000000,0.907000,1.569000,3472000000.000000,2001000000.000000,1471000000.000000,3472000000.000000,0.000000,102000000.000000,0.000000,0.017000,0.049000,1157000000.000000,1259000000.000000,0.290000,1259000000.000000,1157000000.000000,1107000000.000000,0.147000,,0.147000,5216000000.000000,,5216000000.000000,58998651884.000000,,,744000000.000000,0.144000,1.000000,2675000000.000000,0.616000,568000000.000000,50000000.000000,9246000000.000000,,1166000000.000000,3730000000.000000,175000000.000000,3555000000.000000,8185000000.000000,5838000000.000000,2347000000.000000,262000000.000000,-144000000.000000,-213000000.000000,116000000.000000,-283000000.000000,-380000000.000000,-286000000.000000,51000000.000000,913000000.000000,15000000.000000,758000000.000000,758000000.000000,758000000.000000,0.000000,0.000000,0.175000,1619000000.000000,1056000000.000000,2496000000.000000,0.333000,10.880000,,,3985000000.000000,0.000000,11.000000,,,1494000000.000000,10231000000.000000,4342000000.000000,4342000000.000000,0.000000,,,,,0.000000,1605000000.000000,1.000000,5158877444.000000,5168000000.000000,,0.840000,12833000000.000000,0.000000,349000000.000000,1474000000.000000,2.483000
ARQ,1994-09-30,1994-11-14,1994-09-30,1994-Q3,-351000000.000000,66061320994.000000,2025-05-02,-160000000.000000,13950000000.000000,,5592000000.000000,8358000000.000000,,1.087000,-192000000.000000,1753000000.000000,1753000000.000000,1760000000.000000,708000000.000000,0.941000,1.489000,3277000000.000000,1795000000.000000,1482000000.000000,3277000000.000000,0.000000,98000000.000000,0.000000,0.015000,0.049000,1084000000.000000,1182000000.000000,0.265000,1182000000.000000,1084000000.000000,1033000000.000000,0.138000,,0.138000,5605000000.000000,,5605000000.000000,67585320994.000000,,,941000000.000000,0.183000,1.000000,2701000000.000000,0.605000,662000000.000000,51000000.000000,8869000000.000000,,1116000000.000000,3858000000.000000,158000000.000000,3700000000.000000,8345000000.000000,5943000000.000000,2402000000.000000,532000000.000000,-124000000.000000,-120000000.000000,-206000000.000000,-34000000.000000,-360000000.000000,-274000000.000000,80000000.000000,1133000000.000000,33000000.000000,708000000.000000,708000000.000000,708000000.000000,0.000000,0.000000,0.159000,1701000000.000000,1000000000.000000,2784000000.000000,0.355000,11.786000,,,3996000000.000000,0.000000,12.845000,,,1321000000.000000,10688000000.000000,4461000000.000000,4461000000.000000,0.000000,,,,,0.000000,1701000000.000000,1.000000,5142959984.000000,5156000000.000000,,0.865000,13288000000.000000,0.000000,325000000.000000,1490000000.000000,2.577000
ARQ,1994-12-31,1995-03-13,1994-12-31,1994-Q4,-972000000.000000,72376504430.000000,2025-05-02,-224000000.000000,13873000000.000000,,5205000000.000000,8668000000.000000,,1.022000,-240000000.000000,1386000000.000000,1386000000.000000,1498000000.000000,567000000.000000,0.843000,1.650000,3509000000.000000,2083000000.000000,1426000000.000000,3509000000.000000,0.000000,120000000.000000,0.000000,0.014000,0.104000,883000000.000000,1003000000.000000,0.250000,1003000000.000000,883000000.000000,828000000.000000,0.110000,,0.110000,5235000000.000000,,5235000000.000000,74499504430.000000,19.000000,17.174000,554000000.000000,0.108000,1.000000,2519000000.000000,0.627000,660000000.000000,55000000.000000,9159000000.000000,,1047000000.000000,4128000000.000000,200000000.000000,3928000000.000000,8638000000.000000,6177000000.000000,2461000000.000000,-367000000.000000,-36000000.000000,-642000000.000000,211000000.000000,-502000000.000000,-933000000.000000,-212000000.000000,27000000.000000,794000000.000000,-16000000.000000,567000000.000000,567000000.000000,567000000.000000,0.000000,0.000000,0.141000,1653000000.000000,866000000.000000,2564000000.000000,0.945000,13.826000,28.338000,28.727000,4080000000.000000,0.000000,14.220000,4.475000,4.537000,1470000000.000000,11006000000.000000,4017000000.000000,4017000000.000000,0.000000,,,,,0.000000,1653000000.000000,1.000000,5089768244.000000,5124000000.000000,,0.784000,13213000000.000000,0.000000,261000000.000000,1710000000.000000,2.579000
ARQ,1995-03-31,1995-05-11,1995-03-31,1995-Q1,-1264000000.000000,77165342408.000000,2025-05-02,-267000000.000000,13971000000.000000,,5337000000.000000,8634000000.000000,,1.009000,-206000000.000000,1276000000.000000,1276000000.000000,1445000000.000000,638000000.000000,0.809000,1.721000,3447000000.000000,2222000000.000000,1225000000.000000,3447000000.000000,0.000000,110000000.000000,0.000000,0.013000,0.055000,988000000.000000,1098000000.000000,0.285000,1098000000.000000,988000000.000000,931000000.000000,0.125000,,0.125000,5134000000.000000,,5134000000.000000,79336342408.000000,19.000000,17.467000,142000000.000000,0.028000,1.000000,2409000000.000000,0.625000,689000000.000000,57000000.000000,8852000000.000000,,1188000000.000000,4009000000.000000,204000000.000000,3805000000.000000,8837000000.000000,6601000000.000000,2236000000.000000,-110000000.000000,-15000000.000000,-417000000.000000,-113000000.000000,0.000000,-530000000.000000,6000000.000000,240000000.000000,348000000.000000,66000000.000000,638000000.000000,638000000.000000,638000000.000000,0.000000,0.000000,0.166000,1530000000.000000,879000000.000000,2837000000.000000,0.440000,15.030000,28.890000,29.269000,4140000000.000000,0.000000,15.220000,4.628000,4.644000,1461000000.000000,11361000000.000000,3854000000.000000,3854000000.000000,0.000000,,,,,0.000000,1530000000.000000,1.000000,5069996216.000000,5088000000.000000,,0.757000,13282000000.000000,0.000000,293000000.000000,1666000000.000000,2.610000
ARQ,1995-06-30,1995-08-11,1995-06-30,1995-Q2,-1523000000.000000,83238021966.000000,2025-05-02,-309000000.000000,15145000000.000000,,6370000000.000000,8775000000.000000,,1.047000,-225000000.000000,1638000000.000000,1638000000.000000,1876000000.000000,898000000.000000,0.807000,1.859000,4035000000.000000,3143000000.000000,892000000.000000,4035000000.000000,0.000000,109000000.000000,0.000000,0.013000,0.055000,1373000000.000000,1482000000.000000,0.300000,1482000000.000000,1373000000.000000,1304000000.000000,0.177000,,0.177000,5297000000.000000,,5297000000.000000,85635021966.000000,20.000000,17.972000,513000000.000000,0.101000,1.000000,3060000000.000000,0.620000,693000000.000000,69000000.000000,8956000000.000000,,1327000000.000000,4038000000.000000,215000000.000000,3823000000.000000,9848000000.000000,7893000000.000000,1955000000.000000,362000000.000000,-46000000.000000,-437000000.000000,565000000.000000,-280000000.000000,-152000000.000000,-244000000.000000,47000000.000000,738000000.000000,20000000.000000,898000000.000000,898000000.000000,898000000.000000,0.000000,0.000000,0.182000,1802000000.000000,1258000000.000000,3098000000.000000,0.311000,15.714000,29.612000,30.000000,4259000000.000000,0.000000,16.500000,4.820000,4.835000,1822000000.000000,11994000000.000000,4936000000.000000,4936000000.000000,0.000000,,,,,0.000000,1802000000.000000,1.000000,5044728604.000000,5060000000.000000,,0.975000,14452000000.000000,0.000000,406000000.000000,1797000000.000000,2.856000
ARQ,1995-09-30,1995-11-13,1995-09-30,1995-Q3,-1703000000.000000,92672295663.000000,2025-05-02,-359000000.000000,15094000000.000000,,6112000000.000000,8982000000.000000,,1.046000,-232000000.000000,1773000000.000000,1773000000.000000,1949000000.000000,802000000.000000,0.782000,1.866000,4018000000.000000,3138000000.000000,880000000.000000,4018000000.000000,0.000000,118000000.000000,0.000000,0.012000,0.055000,1234000000.000000,1352000000.000000,0.276000,1352000000.000000,1234000000.000000,1168000000.000000,0.160000,,0.160000,5267000000.000000,,5267000000.000000,94917295663.000000,21.000000,19.233000,983000000.000000,0.195000,1.000000,2946000000.000000,0.602000,672000000.000000,66000000.000000,8852000000.000000,,1203000000.000000,4298000000.000000,205000000.000000,4093000000.000000,9827000000.000000,7815000000.000000,2012000000.000000,135000000.000000,-46000000.000000,-501000000.000000,59000000.000000,-278000000.000000,-720000000.000000,-224000000.000000,64000000.000000,1215000000.000000,-136000000.000000,802000000.000000,802000000.000000,802000000.000000,0.000000,0.000000,0.164000,1940000000.000000,1006000000.000000,3075000000.000000,0.344000,17.595000,31.901000,32.234000,4217000000.000000,0.000000,18.470000,5.235000,5.254000,1648000000.000000,12507000000.000000,4895000000.000000,4895000000.000000,0.000000,,,,,0.000000,1940000000.000000,1.000000,5017449684.000000,5036000000.000000,,0.972000,14422000000.000000,0.000000,366000000.000000,1781000000.000000,2.864000
ARQ,1995-12-31,1996-03-14,1995-12-31,1995-Q4,-1898000000.000000,101623900950.000000,2025-05-02,-342000000.000000,15041000000.000000,,5450000000.000000,9591000000.000000,,1.078000,-230000000.000000,1167000000.000000,1167000000.000000,1670000000.000000,648000000.000000,0.742000,1.790000,4064000000.000000,2923000000.000000,1141000000.000000,4064000000.000000,0.000000,117000000.000000,0.000000,0.011000,0.062000,1005000000.000000,1122000000.000000,0.259000,1122000000.000000,1005000000.000000,925000000.000000,0.130000,,0.130000,5392000000.000000,,5392000000.000000,104520900950.000000,23.000000,20.681000,584000000.000000,0.117000,1.000000,2663000000.000000,0.615000,944000000.000000,80000000.000000,9646000000.000000,,1117000000.000000,4514000000.000000,203000000.000000,4311000000.000000,9649000000.000000,7348000000.000000,2301000000.000000,-606000000.000000,-231000000.000000,-355000000.000000,31000000.000000,-552000000.000000,-876000000.000000,-551000000.000000,-59000000.000000,814000000.000000,7000000.000000,648000000.000000,648000000.000000,648000000.000000,0.000000,0.000000,0.150000,1714000000.000000,949000000.000000,2894000000.000000,0.477000,18.847000,34.033000,34.254000,4336000000.000000,0.000000,20.312000,5.640000,5.691000,1695000000.000000,12882000000.000000,4333000000.000000,4333000000.000000,0.000000,,,,,0.000000,1714000000.000000,1.000000,5003022816.000000,5000000000.000000,,0.867000,14097000000.000000,0.000000,277000000.000000,1725000000.000000,2.819000
ARQ,1996-03-31,1996-05-10,1996-03-31,1996-Q1,-1781000000.000000,103276446323.000000,2025-05-02,-327000000.000000,15627000000.000000,,5964000000.000000,9663000000.000000,,1.107000,-129000000.000000,1582000000.000000,1582000000.000000,1530000000.000000,713000000.000000,0.770000,1.821000,4290000000.000000,3141000000.000000,1149000000.000000,4290000000.000000,0.000000,112000000.000000,0.000000,0.011000,0.062000,1105000000.000000,1217000000.000000,0.290000,1217000000.000000,1105000000.000000,1033000000.000000,0.140000,,0.140000,5540000000.000000,,5540000000.000000,105984446323.000000,22.000000,20.488000,524000000.000000,0.105000,1.000000,2664000000.000000,0.635000,963000000.000000,72000000.000000,9627000000.000000,,1190000000.000000,4630000000.000000,243000000.000000,4387000000.000000,10087000000.000000,7745000000.000000,2342000000.000000,415000000.000000,-98000000.000000,-274000000.000000,258000000.000000,0.000000,-16000000.000000,-196000000.000000,41000000.000000,653000000.000000,-26000000.000000,713000000.000000,713000000.000000,713000000.000000,0.000000,0.000000,0.170000,1631000000.000000,1033000000.000000,2920000000.000000,0.443000,18.642000,33.739000,34.025000,4313000000.000000,0.000000,20.688000,5.626000,5.641000,1737000000.000000,13282000000.000000,4194000000.000000,4194000000.000000,0.000000,,,,,0.000000,1631000000.000000,1.000000,4992214928.000000,5006000000.000000,,0.838000,14664000000.000000,0.000000,320000000.000000,1864000000.000000,2.929000
