dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-10-08,2020-06-30,2020-Q2,76353000.000000,,2025-05-08,164000.000000,120534000.000000,,82540000.000000,37994000.000000,,-6.589000,,39992000.000000,39992000.000000,,,13.341000,-0.938000,30675000.000000,2166000.000000,28509000.000000,30675000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-37981000.000000,,-37981000.000000,,,,,,1.000000,,,0.000000,,105030000.000000,,0.000000,43497000.000000,43497000.000000,0.000000,35608000.000000,6187000.000000,29421000.000000,,,,,,,,,,,,,,,,,,,2465000.000000,,,,,35269000.000000,,,,,0.000000,-39036000.000000,,,,,,,,,,1.000000,54197144.000000,5764389.000000,,,120534000.000000,0.000000,,0.000000,20.910000
ARQ,2020-09-30,2020-11-18,2020-09-30,2020-Q3,29289000.000000,1709021872.000000,2025-05-08,47000.000000,262556000.000000,,212893000.000000,49663000.000000,,-12.450000,-4165000.000000,158222000.000000,158222000.000000,0.000000,-39713000.000000,1.160000,-2.831000,204728000.000000,175244000.000000,29484000.000000,204728000.000000,0.000000,1174000.000000,0.000000,0.000000,0.000000,-35824000.000000,-34650000.000000,,-34650000.000000,-35824000.000000,-39713000.000000,-6.480000,-6.480000,-6.480000,-76280000.000000,,-76280000.000000,1755527872.000000,,,-14451000.000000,-2.359000,1.000000,0.000000,,0.000000,3889000.000000,125458000.000000,,0.000000,59843000.000000,55069000.000000,4774000.000000,215929000.000000,183604000.000000,32325000.000000,118230000.000000,0.000000,278000.000000,151267000.000000,0.000000,149297000.000000,-20781000.000000,-16616000.000000,-10286000.000000,0.000000,-39713000.000000,-39713000.000000,-39713000.000000,0.000000,0.000000,,20809000.000000,-20809000.000000,4443000.000000,0.000000,-22.405000,,,39656000.000000,0.000000,30.500000,,,0.000000,-78749000.000000,0.000000,0.000000,16755000.000000,,,,,1253000.000000,4054000.000000,1.000000,56033504.000000,6127146.000000,6127146.000000,0.000000,262556000.000000,0.000000,0.000000,0.000000,42.851000
ARQ,2020-12-31,2021-03-23,2020-12-31,2020-Q4,406946000.000000,1612491840.000000,2025-05-08,-19000.000000,511964000.000000,,419802000.000000,92162000.000000,,28.599000,-3682000.000000,250036000.000000,250036000.000000,0.000000,-33157000.000000,32.654000,0.100000,32057000.000000,937000.000000,31120000.000000,32057000.000000,0.000000,2333000.000000,0.000000,0.000000,0.000000,-33157000.000000,-30824000.000000,,-30824000.000000,-33157000.000000,-33157000.000000,3.960000,3.960000,3.960000,465519000.000000,,465519000.000000,1394512840.000000,-16.000000,-17.500000,-19312000.000000,-1.186000,1.000000,0.000000,,0.000000,0.000000,281129000.000000,,0.000000,214053000.000000,165052000.000000,49001000.000000,46445000.000000,12856000.000000,33589000.000000,91814000.000000,0.000000,263959000.000000,-8000.000000,0.000000,266199000.000000,-158755000.000000,-155073000.000000,-15630000.000000,0.000000,-33157000.000000,-33157000.000000,-33157000.000000,0.000000,0.000000,,21088000.000000,-21088000.000000,4550000.000000,0.000000,3.464000,-18.232000,-5.298000,40968000.000000,0.000000,28.770000,,,0.000000,-111906000.000000,0.000000,0.000000,13125000.000000,,,,,2019000.000000,7963000.000000,1.000000,56047683.000000,16277247.000000,16277247.000000,0.000000,511964000.000000,0.000000,0.000000,0.000000,31.453000
ARQ,2021-03-31,2021-05-11,2021-03-31,2021-Q1,393986000.000000,1372590026.000000,2025-05-08,-23000.000000,487961000.000000,,405271000.000000,82690000.000000,,8.222000,-1505000.000000,143474000.000000,143474000.000000,0.000000,-26086000.000000,35.912000,0.096000,30216000.000000,822000.000000,29394000.000000,30216000.000000,0.000000,905000.000000,0.000000,0.000000,0.000000,-26086000.000000,-25181000.000000,,-25181000.000000,-26086000.000000,-26086000.000000,-0.480000,-0.480000,-0.480000,445257000.000000,,445257000.000000,1259332026.000000,,,-20503000.000000,-0.379000,1.000000,0.000000,,0.000000,0.000000,363418000.000000,,0.000000,299160000.000000,257476000.000000,41684000.000000,42704000.000000,11285000.000000,31419000.000000,-106562000.000000,0.000000,590000.000000,-5000.000000,0.000000,585000.000000,-88149000.000000,-86644000.000000,-18998000.000000,0.000000,-26086000.000000,-26086000.000000,-26086000.000000,0.000000,0.000000,,26178000.000000,-26178000.000000,3586000.000000,0.000000,3.083000,,,38866000.000000,0.000000,24.480000,,,0.000000,-137992000.000000,0.000000,0.000000,17594000.000000,,,,,5238000.000000,8584000.000000,1.000000,56069854.000000,54152656.000000,54152656.000000,0.000000,487961000.000000,0.000000,0.000000,0.000000,9.011000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,411225000.000000,1095269040.000000,2025-05-08,6000.000000,471742000.000000,,424303000.000000,47439000.000000,,7.781000,-1351000.000000,187684000.000000,187684000.000000,0.000000,-29055000.000000,32.444000,0.112000,33976000.000000,1133000.000000,32843000.000000,33976000.000000,0.000000,1115000.000000,0.000000,0.000000,0.000000,-29055000.000000,-27940000.000000,,-27940000.000000,-29055000.000000,-29055000.000000,-0.530000,-0.530000,-0.530000,424107000.000000,,424107000.000000,941561040.000000,-8.000000,-7.939000,-21615000.000000,-0.397000,1.000000,0.000000,,0.000000,0.000000,304956000.000000,,0.000000,233596000.000000,231219000.000000,2377000.000000,47635000.000000,13078000.000000,34557000.000000,44210000.000000,0.000000,1444000.000000,0.000000,0.000000,1444000.000000,63030000.000000,64381000.000000,-20264000.000000,0.000000,-29055000.000000,-29055000.000000,-29055000.000000,0.000000,0.000000,,29141000.000000,-29141000.000000,3342000.000000,0.000000,2.583000,-8.556000,-5.516000,42924000.000000,0.000000,19.470000,,,0.000000,-167047000.000000,0.000000,0.000000,19802000.000000,,,,,6432000.000000,9339000.000000,1.000000,56254188.000000,54506195.000000,54506195.000000,0.000000,471742000.000000,0.000000,0.000000,0.000000,8.655000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,388053000.000000,968046373.000000,2025-05-08,7000.000000,447529000.000000,,402827000.000000,44702000.000000,,7.258000,-926000.000000,219019000.000000,219019000.000000,0.000000,-33603000.000000,27.266000,0.122000,34054000.000000,1728000.000000,32326000.000000,34054000.000000,0.000000,898000.000000,0.000000,0.000000,0.000000,-33603000.000000,-32705000.000000,,-32705000.000000,-33603000.000000,-33603000.000000,-0.610000,-0.610000,-0.610000,399023000.000000,,399023000.000000,783081373.000000,-6.000000,-6.713000,-21066000.000000,-0.383000,1.000000,0.000000,,0.000000,0.000000,247790000.000000,,0.000000,181389000.000000,181389000.000000,0.000000,48506000.000000,14774000.000000,33732000.000000,31335000.000000,0.000000,1381000.000000,0.000000,0.000000,1381000.000000,50094000.000000,51020000.000000,-20140000.000000,0.000000,-33603000.000000,-33603000.000000,-33603000.000000,0.000000,0.000000,,33673000.000000,-33673000.000000,3940000.000000,0.000000,2.426000,-7.941000,7.342000,42564000.000000,0.000000,17.180000,,,0.000000,-200650000.000000,0.000000,0.000000,24688000.000000,,,,,7137000.000000,8985000.000000,1.000000,56347286.000000,54977085.000000,54977085.000000,0.000000,447529000.000000,0.000000,0.000000,0.000000,8.140000
ARQ,2021-12-31,2022-02-24,2021-12-31,2021-Q4,333928000.000000,397345794.000000,2025-05-08,-39000.000000,391476000.000000,,347554000.000000,43922000.000000,,6.233000,-478000.000000,200296000.000000,200296000.000000,0.000000,-62334000.000000,25.507000,0.134000,33762000.000000,2109000.000000,31653000.000000,33762000.000000,0.000000,1163000.000000,0.000000,0.000000,0.000000,-62334000.000000,-61171000.000000,,-61171000.000000,-62334000.000000,-62334000.000000,-1.130000,-1.130000,-1.130000,345097000.000000,,345097000.000000,230811794.000000,-2.000000,-1.570000,-59000000.000000,-1.066000,1.000000,0.000000,,0.000000,0.000000,211316000.000000,,0.000000,141239000.000000,141239000.000000,0.000000,46379000.000000,13626000.000000,32753000.000000,-18723000.000000,0.000000,1050000.000000,0.000000,0.000000,1050000.000000,38749000.000000,39227000.000000,-58522000.000000,0.000000,-62334000.000000,-62334000.000000,-62334000.000000,0.000000,0.000000,,62406000.000000,-62406000.000000,998000.000000,0.000000,1.151000,-2.630000,-2.543000,41784000.000000,0.000000,7.020000,,,0.000000,-262984000.000000,0.000000,0.000000,50819000.000000,,,,,7404000.000000,11587000.000000,1.000000,56601965.000000,55365155.000000,55365155.000000,0.000000,391476000.000000,0.000000,0.000000,0.000000,7.071000
ARQ,2022-03-31,2022-05-04,2022-03-31,2022-Q1,293513000.000000,283661005.000000,2025-05-08,-170000.000000,365856000.000000,,310591000.000000,55265000.000000,,5.677000,-366000.000000,151005000.000000,151005000.000000,0.000000,-36263000.000000,18.187000,0.154000,33465000.000000,2502000.000000,30963000.000000,33465000.000000,0.000000,1091000.000000,0.000000,0.000000,0.000000,-36263000.000000,-35172000.000000,,-35172000.000000,-36263000.000000,-36263000.000000,-0.650000,-0.650000,-0.650000,317020000.000000,,317020000.000000,166121005.000000,-1.000000,-1.058000,-23850000.000000,-0.427000,1.000000,0.000000,,0.000000,0.000000,231238000.000000,,0.000000,166403000.000000,154157000.000000,12246000.000000,48836000.000000,17078000.000000,31758000.000000,-49291000.000000,0.000000,529000.000000,0.000000,0.000000,529000.000000,-26336000.000000,-25970000.000000,-23484000.000000,0.000000,-36263000.000000,-36263000.000000,-36263000.000000,0.000000,0.000000,,36365000.000000,-36365000.000000,4719000.000000,0.000000,0.895000,-1.759000,-1.712000,40880000.000000,0.000000,5.000000,,,0.000000,-299247000.000000,0.000000,0.000000,24438000.000000,,,,,7788000.000000,11927000.000000,1.000000,56732201.000000,55839336.000000,55839336.000000,0.000000,365856000.000000,0.000000,0.000000,0.000000,6.552000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,256544000.000000,307404628.000000,2025-05-08,-661000.000000,341220000.000000,,274774000.000000,66446000.000000,,5.208000,-86000.000000,88166000.000000,88166000.000000,0.000000,-32903000.000000,15.073000,0.168000,32961000.000000,2704000.000000,30257000.000000,32961000.000000,0.000000,1104000.000000,0.000000,0.000000,0.000000,-32903000.000000,-31799000.000000,,-31799000.000000,-32903000.000000,-32903000.000000,-0.590000,-0.590000,-0.590000,292243000.000000,,292243000.000000,252199628.000000,-2.000000,-1.568000,-22606000.000000,-0.403000,1.000000,0.000000,,0.000000,0.000000,267785000.000000,,0.000000,206242000.000000,181749000.000000,24493000.000000,48977000.000000,18230000.000000,30747000.000000,-62839000.000000,0.000000,410000.000000,0.000000,0.000000,410000.000000,-40729000.000000,-40643000.000000,-22520000.000000,0.000000,-32903000.000000,-32903000.000000,-32903000.000000,0.000000,0.000000,,33530000.000000,-33530000.000000,3289000.000000,0.000000,1.052000,-1.862000,-1.817000,39815000.000000,0.000000,5.415000,,,0.000000,-332150000.000000,0.000000,0.000000,22706000.000000,,,,,8207000.000000,10824000.000000,1.000000,56769091.000000,56116070.000000,56116070.000000,0.000000,341220000.000000,0.000000,0.000000,0.000000,6.081000
ARQ,2022-09-30,2022-11-08,2022-09-30,2022-Q3,244525000.000000,145659837.000000,2025-05-08,-1050000.000000,317668000.000000,,264630000.000000,53038000.000000,,4.753000,-73000.000000,69507000.000000,69507000.000000,0.000000,-32256000.000000,13.162000,0.187000,31765000.000000,2239000.000000,29526000.000000,31765000.000000,0.000000,1125000.000000,0.000000,0.000000,0.000000,-32256000.000000,-31131000.000000,,-31131000.000000,-32256000.000000,-32256000.000000,-0.570000,-0.570000,-0.570000,267687000.000000,,267687000.000000,107917837.000000,-1.000000,-0.678000,-22467000.000000,-0.399000,1.000000,0.000000,,0.000000,0.000000,259821000.000000,,0.000000,202860000.000000,190774000.000000,12086000.000000,49981000.000000,20105000.000000,29876000.000000,-18659000.000000,0.000000,628000.000000,0.000000,0.000000,628000.000000,3107000.000000,3180000.000000,-22394000.000000,0.000000,-32256000.000000,-32256000.000000,-32256000.000000,0.000000,0.000000,,33538000.000000,-33538000.000000,1462000.000000,0.000000,0.544000,-0.889000,-0.871000,38814000.000000,0.000000,2.560000,,,0.000000,-364406000.000000,0.000000,0.000000,23403000.000000,,,,,7461000.000000,10135000.000000,1.000000,56898374.000000,56318571.000000,56318571.000000,0.000000,317668000.000000,0.000000,0.000000,0.000000,5.641000
