dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-04-01,2019-12-31,2019-Q4,4441000.000000,,2025-05-07,0.000000,10955000.000000,,8927000.000000,2028000.000000,,-8.357000,,7135000.000000,7135000.000000,,,1.990000,-0.538000,1275000.000000,376000.000000,899000.000000,1275000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-19446000.000000,,-19446000.000000,,,,,,1.000000,,,0.000000,,609000.000000,,0.000000,0.000000,0.000000,0.000000,10460000.000000,4486000.000000,5974000.000000,,,,,,,,,,,,,,,,,,,2088000.000000,,,,,1913000.000000,,,,,922000.000000,-19650000.000000,,,,,,,,,,1.000000,18189391.000000,2326857.000000,,,10955000.000000,0.000000,,0.000000,4.708000
ARQ,2020-03-31,2020-05-22,2020-03-31,2020-Q1,49703000.000000,550259987.000000,2025-05-07,0.000000,60592000.000000,,58539000.000000,2053000.000000,,-10.011000,-176000.000000,54633000.000000,54633000.000000,0.000000,-11892000.000000,6.625000,-0.392000,1185000.000000,388000.000000,797000.000000,1185000.000000,0.000000,152000.000000,0.000000,0.000000,0.000000,-12868000.000000,-12716000.000000,,-12716000.000000,-12868000.000000,-12870000.000000,-5.110000,-5.110000,-5.110000,-24867000.000000,,-24867000.000000,496811987.000000,,,-8296000.000000,-3.340000,1.000000,0.000000,,0.000000,2000.000000,-1692000.000000,,0.000000,0.000000,0.000000,0.000000,9737000.000000,8836000.000000,901000.000000,47498000.000000,0.000000,13000.000000,0.000000,0.000000,55794000.000000,-176000.000000,0.000000,-8120000.000000,0.000000,-12698000.000000,-12698000.000000,-12698000.000000,0.000000,806000.000000,,10572000.000000,-10572000.000000,2426000.000000,0.000000,-22.128000,,,1938000.000000,0.000000,27.310000,,,805000.000000,-31542000.000000,0.000000,0.000000,8527000.000000,,,,,12000.000000,1977000.000000,1.000000,20148663.000000,2484057.000000,2484057.000000,0.000000,60592000.000000,0.000000,-172000.000000,0.000000,24.392000
ARQ,2020-06-30,2020-08-13,2020-06-30,2020-Q2,140223000.000000,787737921.000000,2025-05-07,0.000000,150438000.000000,,148517000.000000,1921000.000000,,8.021000,-28000.000000,144802000.000000,144802000.000000,0.000000,-10757000.000000,17.907000,0.064000,1092000.000000,400000.000000,692000.000000,1092000.000000,0.000000,159000.000000,0.000000,0.000000,0.000000,-10962000.000000,-10803000.000000,,-10803000.000000,-10962000.000000,-10963000.000000,-0.620000,-0.620000,-0.620000,141361000.000000,,141361000.000000,644027921.000000,,,-9955000.000000,-0.565000,1.000000,0.000000,,0.000000,1000.000000,-1566000.000000,,0.000000,0.000000,0.000000,0.000000,9077000.000000,8294000.000000,783000.000000,90169000.000000,0.000000,100132000.000000,0.000000,0.000000,100124000.000000,-28000.000000,0.000000,-9927000.000000,0.000000,-10963000.000000,-10963000.000000,-10963000.000000,0.000000,206000.000000,,10914000.000000,-10914000.000000,4852000.000000,0.000000,5.573000,,,1806000.000000,0.000000,39.050000,,,0.000000,-42299000.000000,0.000000,0.000000,7264000.000000,,,,,1139000.000000,3650000.000000,1.000000,20172546.000000,17623994.000000,17623994.000000,0.000000,150438000.000000,0.000000,0.000000,0.000000,8.536000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,129591000.000000,1143871968.000000,2025-05-07,0.000000,138246000.000000,,136416000.000000,1830000.000000,,6.481000,-30000.000000,133925000.000000,133925000.000000,0.000000,-12036000.000000,19.988000,0.057000,998000.000000,412000.000000,586000.000000,998000.000000,0.000000,121000.000000,0.000000,0.000000,0.000000,-12034000.000000,-11913000.000000,,-11913000.000000,-12034000.000000,-12036000.000000,-0.600000,-0.600000,-0.600000,130758000.000000,,130758000.000000,1010944968.000000,,,-10886000.000000,-0.540000,1.000000,0.000000,,0.000000,2000.000000,-1506000.000000,,0.000000,0.000000,0.000000,0.000000,7488000.000000,6825000.000000,663000.000000,-10877000.000000,0.000000,9000.000000,0.000000,0.000000,9000.000000,-30000.000000,0.000000,-10856000.000000,0.000000,-12036000.000000,-12036000.000000,-12036000.000000,0.000000,0.000000,,11948000.000000,-11948000.000000,1716000.000000,0.000000,8.748000,,,1715000.000000,0.000000,56.660000,,,0.000000,-54335000.000000,0.000000,0.000000,8395000.000000,,,,,1424000.000000,3553000.000000,1.000000,20188351.000000,20175883.000000,20175883.000000,0.000000,138246000.000000,0.000000,0.000000,0.000000,6.852000
ARQ,2020-12-31,2021-03-25,2020-12-31,2020-Q4,260542000.000000,1378091861.000000,2025-05-07,0.000000,269443000.000000,,267726000.000000,1717000.000000,,16.878000,-60000.000000,265991000.000000,265991000.000000,0.000000,-10676000.000000,37.267000,0.030000,899000.000000,423000.000000,476000.000000,899000.000000,0.000000,173000.000000,0.000000,0.000000,0.000000,-9663000.000000,-9490000.000000,,-9490000.000000,-9663000.000000,-9664000.000000,-0.280000,-0.280000,-0.280000,261721000.000000,,261721000.000000,1112999861.000000,-24.000000,-24.776000,-8051000.000000,-0.519000,1.000000,0.000000,,0.000000,1000.000000,-2833000.000000,,0.000000,0.000000,0.000000,0.000000,7722000.000000,7184000.000000,538000.000000,132066000.000000,0.000000,140537000.000000,0.000000,0.000000,140117000.000000,-60000.000000,0.000000,-7991000.000000,0.000000,-9664000.000000,-9664000.000000,-9664000.000000,0.000000,-1012000.000000,,13291000.000000,-13291000.000000,2149000.000000,0.000000,5.265000,-30.381000,-20.212000,1602000.000000,0.000000,59.220000,,,0.000000,-65011000.000000,0.000000,0.000000,9674000.000000,,,,,1522000.000000,3617000.000000,1.000000,23270717.000000,15506397.000000,15506397.000000,0.000000,269443000.000000,0.000000,0.000000,0.000000,17.376000
ARQ,2021-03-31,2021-05-06,2021-03-31,2021-Q1,247032000.000000,1266188146.000000,2025-05-07,0.000000,257730000.000000,,255982000.000000,1748000.000000,,10.692000,-210000.000000,255318000.000000,255318000.000000,0.000000,-15885000.000000,28.601000,0.038000,797000.000000,436000.000000,361000.000000,797000.000000,0.000000,179000.000000,0.000000,0.000000,0.000000,-15834000.000000,-15655000.000000,,-15655000.000000,-15834000.000000,-15835000.000000,-0.680000,-0.680000,-0.680000,248372000.000000,,248372000.000000,1011667146.000000,-21.000000,-21.138000,-10715000.000000,-0.461000,1.000000,0.000000,,0.000000,1000.000000,-5741000.000000,,0.000000,0.000000,0.000000,0.000000,9358000.000000,8950000.000000,408000.000000,-10673000.000000,0.000000,42000.000000,0.000000,0.000000,42000.000000,-210000.000000,0.000000,-10505000.000000,0.000000,-15885000.000000,-15885000.000000,-15885000.000000,0.000000,0.000000,,15834000.000000,-15834000.000000,3008000.000000,0.000000,5.098000,-26.081000,-24.931000,1633000.000000,0.000000,54.350000,,,0.000000,-80896000.000000,0.000000,0.000000,11495000.000000,,,,,2494000.000000,4274000.000000,1.000000,23296930.000000,23229794.000000,23229794.000000,0.000000,257730000.000000,0.000000,50000.000000,0.000000,11.095000
ARQ,2021-06-30,2021-08-05,2021-06-30,2021-Q2,233886000.000000,816125034.000000,2025-05-07,0.000000,243461000.000000,,241417000.000000,2044000.000000,,10.112000,-510000.000000,237228000.000000,237228000.000000,0.000000,-15622000.000000,32.056000,0.033000,691000.000000,449000.000000,242000.000000,691000.000000,0.000000,194000.000000,0.000000,0.000000,0.000000,-15621000.000000,-15427000.000000,-154.270000,-15427000.000000,-15621000.000000,-15622000.000000,-0.670000,-0.670000,-0.670000,235656000.000000,,235656000.000000,579588034.000000,-11.000000,-11.043000,-18147000.000000,-0.779000,1.000000,100000.000000,1.000000,0.000000,1000.000000,-607000.000000,,0.000000,0.000000,0.000000,0.000000,7805000.000000,7531000.000000,274000.000000,-18090000.000000,0.000000,57000.000000,0.000000,0.000000,57000.000000,-510000.000000,0.000000,-17637000.000000,0.000000,-15622000.000000,-15622000.000000,-15622000.000000,0.000000,0.000000,-156.220000,15641000.000000,-15541000.000000,1372000.000000,0.000000,3.463000,-15.339000,-15.682000,1929000.000000,0.000000,34.970000,8161.250000,8149.995000,100000.000000,-96518000.000000,100000.000000,100000.000000,9983000.000000,,,,,2849000.000000,5658000.000000,1.000000,23337862.000000,23305673.000000,23305673.000000,0.004000,243461000.000000,0.000000,0.000000,0.000000,10.446000
ARQ,2021-09-30,2021-11-04,2021-09-30,2021-Q3,215059000.000000,1242000714.000000,2025-05-07,0.000000,229962000.000000,,226074000.000000,3888000.000000,,9.352000,-145000.000000,222677000.000000,222677000.000000,0.000000,-20297000.000000,20.524000,0.053000,1296000.000000,843000.000000,453000.000000,1296000.000000,0.000000,223000.000000,0.000000,0.000000,0.000000,-20334000.000000,-20111000.000000,,-20111000.000000,-20334000.000000,-20335000.000000,-0.870000,-0.870000,-0.870000,218478000.000000,,218478000.000000,1020619714.000000,-17.000000,-16.819000,-14586000.000000,-0.624000,1.000000,0.000000,,0.000000,1000.000000,-2434000.000000,,0.000000,0.000000,0.000000,0.000000,11484000.000000,11015000.000000,469000.000000,-14551000.000000,0.000000,35000.000000,0.000000,0.000000,35000.000000,-145000.000000,0.000000,-14441000.000000,0.000000,-20297000.000000,-20297000.000000,-20297000.000000,0.000000,0.000000,,20197000.000000,-20197000.000000,2811000.000000,0.000000,5.685000,-20.206000,-21.232000,2560000.000000,0.000000,53.080000,12420.007000,12400.681000,0.000000,-116815000.000000,0.000000,0.000000,14832000.000000,,,,,3084000.000000,5365000.000000,1.000000,23398657.000000,23362237.000000,23362237.000000,0.000000,229962000.000000,0.000000,-38000.000000,0.000000,9.843000
ARQ,2021-12-31,2022-03-09,2021-12-31,2021-Q4,239594000.000000,1295064444.000000,2025-05-07,0.000000,255251000.000000,,251440000.000000,3811000.000000,,10.376000,-159000.000000,231369000.000000,231369000.000000,0.000000,-6940000.000000,21.226000,0.050000,1093000.000000,862000.000000,231000.000000,1093000.000000,0.000000,302000.000000,0.000000,0.000000,0.000000,-4940000.000000,-4638000.000000,-0.232000,-4638000.000000,-4940000.000000,-4941000.000000,-0.300000,-0.300000,-0.300000,243174000.000000,,243174000.000000,1064788444.000000,-19.000000,-19.072000,-19724000.000000,-0.842000,1.000000,20000000.000000,1.000000,0.000000,1000.000000,13129000.000000,,0.000000,0.000000,0.000000,0.000000,12077000.000000,11846000.000000,231000.000000,8692000.000000,0.000000,28416000.000000,0.000000,0.000000,28416000.000000,-159000.000000,0.000000,-19565000.000000,0.000000,-6940000.000000,-6940000.000000,-6940000.000000,0.000000,0.000000,-0.347000,24866000.000000,-4866000.000000,3645000.000000,0.000000,5.326000,-22.046000,-21.413000,2402000.000000,0.000000,53.960000,64.431000,62.642000,18000000.000000,-123755000.000000,20000000.000000,20000000.000000,18833000.000000,,,,,3295000.000000,6033000.000000,1.000000,24000453.000000,23436496.000000,23436496.000000,0.853000,255251000.000000,0.000000,1999000.000000,0.000000,10.891000
ARQ,2022-03-31,2022-05-05,2022-03-31,2022-Q1,219572000.000000,1213523313.000000,2025-05-07,0.000000,235142000.000000,,231220000.000000,3922000.000000,,9.315000,-147000.000000,229913000.000000,229913000.000000,0.000000,-24186000.000000,19.851000,0.052000,884000.000000,884000.000000,0.000000,884000.000000,0.000000,316000.000000,0.000000,0.000000,0.000000,-24185000.000000,-23869000.000000,,-23869000.000000,-24185000.000000,-24186000.000000,-1.010000,-1.010000,-1.010000,223494000.000000,,223494000.000000,984494313.000000,-15.000000,-15.372000,-1574000.000000,-0.066000,1.000000,0.000000,,0.000000,1000.000000,-5535000.000000,,0.000000,0.000000,0.000000,0.000000,11648000.000000,11648000.000000,0.000000,-1456000.000000,0.000000,118000.000000,0.000000,0.000000,118000.000000,-147000.000000,0.000000,-1427000.000000,0.000000,-24186000.000000,-24186000.000000,-24186000.000000,0.000000,0.000000,,24185000.000000,-24185000.000000,3064000.000000,0.000000,5.430000,-18.100000,-17.716000,2320000.000000,0.000000,50.490000,60.374000,60.271000,0.000000,-147941000.000000,0.000000,0.000000,18078000.000000,,,,,4388000.000000,6048000.000000,1.000000,24034924.000000,23993698.000000,23993698.000000,0.000000,235142000.000000,0.000000,0.000000,0.000000,9.800000
