dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-05-31,2018-12-31,2018-Q4,14400000.000000,,2024-03-14,0.000000,15857000.000000,,15596000.000000,261000.000000,,-7.481000,,9027000.000000,9027000.000000,,,13.040000,-0.127000,2516000.000000,0.000000,2516000.000000,2516000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-29922000.000000,,-29922000.000000,,,,,,1.000000,,,0.000000,,8150000.000000,,0.000000,4983000.000000,4983000.000000,0.000000,3814000.000000,1196000.000000,2618000.000000,,,,,,,,,,,,,,,,,,,269000.000000,,,,,138000.000000,,,,,0.000000,-31555000.000000,,,,,,,,,,1.000000,21372912.000000,4000000.000000,,,15857000.000000,0.000000,,0.000000,3.964000
ARQ,2019-03-31,2019-06-17,2019-03-31,2019-Q1,82967000.000000,,2024-03-14,0.000000,85400000.000000,,85132000.000000,268000.000000,,-14.481000,-17000.000000,84398000.000000,84398000.000000,0.000000,-12005000.000000,39.322000,-0.061000,0.000000,0.000000,0.000000,0.000000,0.000000,10000.000000,0.000000,,0.000000,-12016000.000000,-12006000.000000,,-12006000.000000,-12016000.000000,-12005000.000000,-4484.000000,-4484.000000,-4484.000000,-38765000.000000,,-38765000.000000,,,,-6131000.000000,-2.290000,1.000000,0.000000,,0.000000,-11000.000000,-1163000.000000,,0.000000,0.000000,0.000000,0.000000,2359000.000000,2165000.000000,194000.000000,75371000.000000,0.000000,58000.000000,1564000.000000,0.000000,76502000.000000,4983000.000000,5000000.000000,-6114000.000000,0.000000,-12005000.000000,-12005000.000000,-12005000.000000,0.000000,0.000000,,11573000.000000,-11573000.000000,854000.000000,0.000000,,,,145000.000000,0.000000,,,,0.000000,-43560000.000000,0.000000,0.000000,6967000.000000,,,,,3104000.000000,4606000.000000,1.000000,21372912.000000,2677000.000000,2677000.000000,0.000000,85400000.000000,0.000000,0.000000,0.000000,31.901000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,76773000.000000,437818500.000000,2024-03-14,71000.000000,79357000.000000,,79048000.000000,309000.000000,,-0.453000,-53000.000000,10618000.000000,10618000.000000,0.000000,-15140000.000000,34.746000,-0.052000,0.000000,0.000000,0.000000,0.000000,0.000000,12000.000000,0.000000,0.000000,0.000000,-15140000.000000,-15128000.000000,,-15128000.000000,-15140000.000000,-15140000.000000,-146.020000,-146.020000,-146.020000,-46989000.000000,,-46989000.000000,427200500.000000,,,-9626000.000000,-0.093000,1.000000,0.000000,,0.000000,0.000000,66464000.000000,,0.000000,64804000.000000,64804000.000000,0.000000,2454000.000000,2275000.000000,179000.000000,-73780000.000000,0.000000,4000.000000,1564000.000000,0.000000,314000.000000,-64521000.000000,-64468000.000000,-9573000.000000,0.000000,-15140000.000000,-15140000.000000,-15140000.000000,0.000000,0.000000,,15070000.000000,-15070000.000000,960000.000000,0.000000,-9.317000,,,186000.000000,0.000000,18.700000,,,0.000000,-58700000.000000,0.000000,0.000000,6784000.000000,,,,,6841000.000000,8286000.000000,1.000000,23412754.000000,103684000.000000,103684000.000000,0.000000,79357000.000000,0.000000,0.000000,0.000000,0.765000
ARQ,2019-09-30,2019-11-07,2019-09-30,2019-Q3,162395000.000000,415810511.000000,2024-03-14,50000.000000,164227000.000000,,163928000.000000,299000.000000,,7.095000,-5000.000000,54267000.000000,54267000.000000,0.000000,-9038000.000000,106.933000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,15000.000000,0.000000,0.000000,0.000000,-9038000.000000,-9023000.000000,,-9023000.000000,-9038000.000000,-9038000.000000,-0.390000,-0.390000,-0.390000,162530000.000000,,162530000.000000,361543511.000000,,,-8421000.000000,-0.368000,1.000000,0.000000,,0.000000,0.000000,108427000.000000,,0.000000,107461000.000000,107461000.000000,0.000000,1697000.000000,1533000.000000,164000.000000,43649000.000000,0.000000,93044000.000000,0.000000,0.000000,94243000.000000,-42178000.000000,-42173000.000000,-8416000.000000,0.000000,-9038000.000000,-9038000.000000,-9038000.000000,0.000000,0.000000,,9896000.000000,-9896000.000000,158000.000000,0.000000,2.558000,,,176000.000000,0.000000,17.760000,,,0.000000,-67738000.000000,0.000000,0.000000,5793000.000000,,,,,1642000.000000,4103000.000000,1.000000,23412754.000000,22907349.000000,22907349.000000,0.000000,164227000.000000,0.000000,0.000000,0.000000,7.169000
ARQ,2019-09-30,2019-11-18,2019-09-30,2019-Q3,162395000.000000,2247624384.000000,2024-03-14,50000.000000,164227000.000000,,163928000.000000,299000.000000,,7.095000,-5000.000000,54267000.000000,54267000.000000,0.000000,-9038000.000000,106.933000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,15000.000000,0.000000,0.000000,0.000000,-9038000.000000,-9023000.000000,,-9023000.000000,-9038000.000000,-9038000.000000,-0.390000,-0.390000,-0.390000,162530000.000000,,162530000.000000,2193357384.000000,,,-8421000.000000,-0.368000,1.000000,0.000000,,0.000000,0.000000,108427000.000000,,0.000000,107461000.000000,107461000.000000,0.000000,1697000.000000,1533000.000000,164000.000000,43649000.000000,0.000000,93044000.000000,0.000000,0.000000,94243000.000000,-42178000.000000,-42173000.000000,-8416000.000000,0.000000,-9038000.000000,-9038000.000000,-9038000.000000,0.000000,0.000000,,9896000.000000,-9896000.000000,158000.000000,0.000000,13.829000,,,176000.000000,0.000000,96.000000,,,0.000000,-67738000.000000,0.000000,0.000000,5793000.000000,,,,,1642000.000000,4103000.000000,1.000000,23412754.000000,22907349.000000,22907349.000000,0.000000,164227000.000000,0.000000,0.000000,0.000000,7.169000
ARQ,2019-12-31,2020-03-24,2019-12-31,2019-Q4,389748000.000000,1856009998.000000,2024-03-14,5000.000000,393024000.000000,,392706000.000000,318000.000000,,32.607000,-40000.000000,209052000.000000,209052000.000000,0.000000,-7774000.000000,132.761000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,21000.000000,0.000000,0.000000,0.000000,-7774000.000000,-7753000.000000,,-7753000.000000,-7774000.000000,-7774000.000000,0.990000,0.990000,0.990000,389916000.000000,,389916000.000000,1646957998.000000,-37.000000,-37.508000,-6860000.000000,-0.574000,1.000000,0.000000,,0.000000,0.000000,181014000.000000,,0.000000,180468000.000000,180468000.000000,0.000000,3108000.000000,2958000.000000,150000.000000,154785000.000000,0.000000,234224000.000000,0.000000,0.000000,234224000.000000,-72619000.000000,-72579000.000000,-6820000.000000,0.000000,-7774000.000000,-7774000.000000,-7774000.000000,0.000000,0.000000,,8866000.000000,-8866000.000000,547000.000000,0.000000,4.760000,-42.223000,-19.389000,195000.000000,0.000000,71.350000,,,0.000000,-75512000.000000,0.000000,0.000000,4992000.000000,,,,,981000.000000,3874000.000000,1.000000,26012754.000000,11958152.000000,11958152.000000,0.000000,393024000.000000,0.000000,0.000000,0.000000,32.867000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,384016000.000000,2183955430.000000,2024-03-14,1571000.000000,389718000.000000,,386668000.000000,3050000.000000,,14.781000,-76000.000000,190802000.000000,190802000.000000,0.000000,-8658000.000000,145.802000,0.012000,2749000.000000,624000.000000,2125000.000000,2749000.000000,0.000000,21000.000000,0.000000,0.000000,0.000000,-8658000.000000,-8637000.000000,,-8637000.000000,-8658000.000000,-8658000.000000,-0.330000,-0.330000,-0.330000,384941000.000000,,384941000.000000,1995902430.000000,-49.000000,-49.232000,-8417000.000000,-0.323000,1.000000,0.000000,,0.000000,0.000000,199013000.000000,,0.000000,192846000.000000,192846000.000000,0.000000,4777000.000000,2652000.000000,2125000.000000,-18250000.000000,0.000000,517000.000000,0.000000,0.000000,517000.000000,-10426000.000000,-10350000.000000,-8341000.000000,0.000000,-8658000.000000,-8658000.000000,-8658000.000000,0.000000,0.000000,,10055000.000000,-10055000.000000,603000.000000,0.000000,5.673000,-53.779000,-0.573000,2893000.000000,0.000000,83.580000,,,0.000000,-84170000.000000,0.000000,0.000000,4420000.000000,,,,,1634000.000000,5635000.000000,1.000000,26130120.000000,26042434.000000,26042434.000000,0.000000,389718000.000000,0.000000,0.000000,0.000000,14.965000
ARQ,2020-06-30,2020-08-05,2020-06-30,2020-Q2,370787000.000000,2236800908.000000,2024-03-14,897000.000000,377816000.000000,,374856000.000000,2960000.000000,,14.198000,-157000.000000,134030000.000000,134030000.000000,0.000000,-17046000.000000,92.125000,0.016000,2618000.000000,674000.000000,1944000.000000,2618000.000000,0.000000,33000.000000,0.000000,0.000000,0.000000,-17046000.000000,-17013000.000000,,-17013000.000000,-17046000.000000,-17046000.000000,-0.650000,-0.650000,-0.650000,371803000.000000,,371803000.000000,2105388908.000000,-50.000000,-49.625000,-15946000.000000,-0.609000,1.000000,0.000000,,0.000000,0.000000,242335000.000000,,0.000000,233712000.000000,233712000.000000,0.000000,6013000.000000,4069000.000000,1944000.000000,-56772000.000000,0.000000,1356000.000000,0.000000,0.000000,1072000.000000,-42055000.000000,-41898000.000000,-15789000.000000,0.000000,-17046000.000000,-17046000.000000,-17046000.000000,0.000000,0.000000,,17825000.000000,-17825000.000000,773000.000000,0.000000,6.016000,-52.611000,-221.158000,2803000.000000,0.000000,84.040000,,,0.000000,-101216000.000000,0.000000,0.000000,10819000.000000,,,,,3226000.000000,7006000.000000,1.000000,26615908.000000,26186493.000000,26186493.000000,0.000000,377816000.000000,0.000000,0.000000,0.000000,14.428000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,356101000.000000,2753838525.000000,2024-03-14,370000.000000,364436000.000000,,361220000.000000,3216000.000000,,13.399000,-104000.000000,44944000.000000,44944000.000000,0.000000,-18841000.000000,70.565000,0.020000,2885000.000000,827000.000000,2058000.000000,2885000.000000,0.000000,43000.000000,0.000000,0.000000,0.000000,-18841000.000000,-18798000.000000,,-18798000.000000,-18841000.000000,-18841000.000000,-0.710000,-0.710000,-0.710000,357259000.000000,,357259000.000000,2711779525.000000,-52.000000,-51.949000,-22885000.000000,-0.858000,1.000000,0.000000,,0.000000,0.000000,317258000.000000,,0.000000,300110000.000000,300110000.000000,0.000000,7177000.000000,5119000.000000,2058000.000000,-89086000.000000,0.000000,680000.000000,0.000000,0.000000,525000.000000,-66830000.000000,-66726000.000000,-22781000.000000,0.000000,-18841000.000000,-18841000.000000,-18841000.000000,0.000000,0.000000,,19529000.000000,-19529000.000000,1145000.000000,0.000000,7.708000,-52.636000,-146.757000,3059000.000000,0.000000,102.730000,,,0.000000,-120057000.000000,0.000000,0.000000,12585000.000000,,,,,4144000.000000,6944000.000000,1.000000,26806566.000000,26663968.000000,26663968.000000,0.000000,364436000.000000,0.000000,0.000000,0.000000,13.668000
ARQ,2020-12-31,2021-02-25,2020-12-31,2020-Q4,337746000.000000,3260475611.000000,2024-03-14,39000.000000,347625000.000000,,344599000.000000,3026000.000000,,12.606000,-82000.000000,53205000.000000,53205000.000000,0.000000,-24009000.000000,50.284000,0.026000,2685000.000000,844000.000000,1841000.000000,2685000.000000,0.000000,48000.000000,0.000000,0.000000,0.000000,-23966000.000000,-23918000.000000,,-23918000.000000,-23966000.000000,-23966000.000000,-0.900000,-0.900000,-0.900000,338931000.000000,,338931000.000000,3209955611.000000,-47.000000,-46.953000,-23027000.000000,-0.856000,1.000000,0.000000,,0.000000,0.000000,290252000.000000,,0.000000,269282000.000000,269282000.000000,0.000000,8694000.000000,6853000.000000,1841000.000000,8261000.000000,0.000000,1511000.000000,0.000000,0.000000,1545000.000000,29661000.000000,29743000.000000,-22945000.000000,0.000000,-24009000.000000,-24009000.000000,-24009000.000000,0.000000,0.000000,,24407000.000000,-24407000.000000,865000.000000,0.000000,9.620000,-47.561000,-46.645000,2869000.000000,0.000000,120.810000,,,0.000000,-144066000.000000,0.000000,0.000000,15584000.000000,,,,,4467000.000000,8823000.000000,1.000000,26988458.000000,26887117.000000,26887117.000000,0.000000,347625000.000000,0.000000,43000.000000,0.000000,12.929000
