dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-06-30,2017-09-14,2017-06-30,2017-Q2,-877000.000000,,2025-05-07,0.000000,3977000.000000,,3929000.000000,48000.000000,,-0.640000,,3518000.000000,3518000.000000,,,0.818000,-2.150000,4142000.000000,4142000.000000,0.000000,4142000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-2235000.000000,,-2235000.000000,,,,,,1.000000,,,0.000000,,-205000.000000,,0.000000,0.000000,0.000000,0.000000,4806000.000000,4806000.000000,0.000000,,,,,,,,,,,,,,,,,,,260000.000000,,,,,48000.000000,,,,,0.000000,-2403000.000000,,,,,,,,,,1.000000,8683247.000000,3490884.000000,,,3977000.000000,0.000000,,0.000000,1.139000
ARQ,2017-09-30,2017-11-13,2017-09-30,2017-Q3,50143000.000000,108142182.000000,2025-05-07,0.000000,52673000.000000,,52618000.000000,55000.000000,,12.000000,-12000.000000,52570000.000000,52570000.000000,0.000000,-5273000.000000,21.260000,0.049000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-2093000.000000,-2088000.000000,,-2088000.000000,-2093000.000000,-5273000.000000,-1.260000,-1.260000,-1.260000,50198000.000000,,50198000.000000,55572182.000000,,,-1110000.000000,-0.265000,1.000000,0.000000,,0.000000,3180000.000000,-2372000.000000,,0.000000,0.000000,0.000000,0.000000,2475000.000000,2475000.000000,0.000000,49052000.000000,0.000000,43162000.000000,0.000000,0.000000,50162000.000000,-12000.000000,0.000000,-1098000.000000,0.000000,-5273000.000000,-5273000.000000,-5273000.000000,0.000000,0.000000,,2093000.000000,-2093000.000000,550000.000000,0.000000,2.154000,,,55000.000000,0.000000,10.564000,,,0.000000,-7677000.000000,0.000000,0.000000,1355000.000000,,,,,53000.000000,738000.000000,1.000000,10237247.000000,4183075.000000,4183075.000000,0.000000,52673000.000000,0.000000,0.000000,0.000000,12.592000
ARQ,2017-12-31,2018-03-12,2017-12-31,2017-Q4,49274000.000000,101011021.000000,2025-05-07,0.000000,50114000.000000,,49914000.000000,200000.000000,,9.229000,-159000.000000,49591000.000000,49591000.000000,0.000000,-1393000.000000,77.991000,0.013000,0.000000,0.000000,0.000000,0.000000,0.000000,14000.000000,0.000000,0.000000,0.000000,-1498000.000000,-1484000.000000,,-1484000.000000,-1498000.000000,-1393000.000000,0.270000,0.270000,0.270000,49474000.000000,,49474000.000000,51420021.000000,-11.000000,-10.828000,-2286000.000000,-0.426000,1.000000,0.000000,,0.000000,-105000.000000,-117000.000000,,0.000000,0.000000,0.000000,0.000000,640000.000000,640000.000000,0.000000,-2979000.000000,0.000000,-693000.000000,0.000000,0.000000,-693000.000000,-159000.000000,0.000000,-2127000.000000,0.000000,-1393000.000000,-1393000.000000,-1393000.000000,0.000000,0.000000,,1498000.000000,-1498000.000000,193000.000000,0.000000,2.042000,-12.754000,-6.622000,200000.000000,0.000000,9.800000,,,0.000000,-9070000.000000,0.000000,0.000000,1088000.000000,,,,,58000.000000,410000.000000,1.000000,10307247.000000,5360536.000000,5360536.000000,0.000000,50114000.000000,0.000000,0.000000,0.000000,9.349000
ARQ,2018-03-31,2018-05-07,2018-03-31,2018-Q1,47217000.000000,106703484.000000,2025-05-07,0.000000,47851000.000000,,47669000.000000,182000.000000,,4.599000,0.000000,47228000.000000,47228000.000000,0.000000,-2150000.000000,105.462000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,18000.000000,0.000000,0.000000,0.000000,-2023000.000000,-2005000.000000,,-2005000.000000,-2023000.000000,-2150000.000000,-0.210000,-0.210000,-0.210000,47399000.000000,,47399000.000000,59475484.000000,,,-2369000.000000,-0.230000,1.000000,0.000000,,0.000000,127000.000000,171000.000000,,0.000000,0.000000,0.000000,0.000000,452000.000000,452000.000000,0.000000,-2363000.000000,0.000000,6000.000000,0.000000,0.000000,6000.000000,0.000000,0.000000,-2369000.000000,0.000000,-2150000.000000,-2150000.000000,-2150000.000000,0.000000,0.000000,,2277000.000000,-2277000.000000,89000.000000,0.000000,2.251000,,,182000.000000,0.000000,10.350000,,,0.000000,-11220000.000000,0.000000,0.000000,1520000.000000,,,,,65000.000000,757000.000000,1.000000,10309615.000000,10307379.000000,10307379.000000,0.000000,47851000.000000,0.000000,0.000000,0.000000,4.642000
ARQ,2018-06-30,2018-08-06,2018-06-30,2018-Q2,44951000.000000,165869734.000000,2025-05-07,-2000.000000,46030000.000000,,45710000.000000,320000.000000,,4.391000,-98000.000000,41813000.000000,41813000.000000,0.000000,-2276000.000000,60.224000,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,24000.000000,0.000000,0.000000,0.000000,-2103000.000000,-2079000.000000,,-2079000.000000,-2103000.000000,-2276000.000000,-0.220000,-0.220000,-0.220000,45271000.000000,,45271000.000000,124056734.000000,-16.000000,-16.204000,-1716000.000000,-0.166000,1.000000,0.000000,,0.000000,173000.000000,3458000.000000,,0.000000,3637000.000000,3637000.000000,0.000000,759000.000000,759000.000000,0.000000,-5415000.000000,0.000000,4000.000000,0.000000,0.000000,4000.000000,-3801000.000000,-3639000.000000,-1618000.000000,0.000000,-2276000.000000,-2276000.000000,-2276000.000000,0.000000,0.000000,,2449000.000000,-2449000.000000,214000.000000,0.000000,3.664000,-14.954000,-11.282000,256000.000000,0.000000,16.020000,,,0.000000,-13496000.000000,0.000000,0.000000,1525000.000000,,,,,147000.000000,924000.000000,1.000000,10353916.000000,10310101.000000,10310101.000000,0.000000,46030000.000000,0.000000,0.000000,0.000000,4.465000
ARQ,2018-09-30,2018-11-05,2018-09-30,2018-Q3,50905000.000000,320754803.000000,2025-05-07,1000.000000,54453000.000000,,52821000.000000,1632000.000000,,4.922000,-832000.000000,46667000.000000,46667000.000000,0.000000,-2755000.000000,27.568000,0.041000,0.000000,0.000000,0.000000,0.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-2972000.000000,-2934000.000000,,-2934000.000000,-2972000.000000,-2755000.000000,-0.260000,-0.260000,-0.260000,52292000.000000,,52292000.000000,274087803.000000,-32.000000,-32.238000,-2772000.000000,-0.261000,1.000000,0.000000,,0.000000,-217000.000000,5870000.000000,,0.000000,5627000.000000,5627000.000000,0.000000,2161000.000000,1916000.000000,245000.000000,4854000.000000,0.000000,9549000.000000,0.000000,0.000000,9549000.000000,-2755000.000000,-1987000.000000,-1940000.000000,0.000000,-2755000.000000,-2755000.000000,-2755000.000000,0.000000,0.000000,,2972000.000000,-2972000.000000,378000.000000,0.000000,6.134000,-37.410000,-52.929000,1632000.000000,0.000000,22.230000,,,0.000000,-16251000.000000,0.000000,0.000000,1914000.000000,,,,,278000.000000,1058000.000000,1.000000,14428916.000000,10624113.000000,10624113.000000,0.000000,54453000.000000,0.000000,0.000000,0.000000,5.125000
ARQ,2018-12-31,2019-03-12,2018-12-31,2018-Q4,110054000.000000,303776044.000000,2025-05-07,2000.000000,116116000.000000,,112650000.000000,3466000.000000,,10.107000,-1304000.000000,103670000.000000,103670000.000000,0.000000,-3708000.000000,43.394000,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,61000.000000,0.000000,0.000000,0.000000,-4219000.000000,-4158000.000000,,-4158000.000000,-4219000.000000,-3708000.000000,-0.280000,-0.280000,-0.280000,113226000.000000,,113226000.000000,200106044.000000,-17.000000,-16.994000,-4822000.000000,-0.430000,1.000000,0.000000,,0.000000,-511000.000000,9850000.000000,,0.000000,8091000.000000,8091000.000000,0.000000,2890000.000000,2596000.000000,294000.000000,57003000.000000,0.000000,64288000.000000,0.000000,0.000000,64288000.000000,-3767000.000000,-2463000.000000,-3518000.000000,0.000000,-3708000.000000,-3708000.000000,-3708000.000000,0.000000,0.000000,,4219000.000000,-4219000.000000,888000.000000,0.000000,2.683000,-27.898000,-21.701000,3014000.000000,0.000000,21.050000,,,0.000000,-19959000.000000,0.000000,0.000000,2802000.000000,,,,,302000.000000,1417000.000000,1.000000,14431166.000000,11203081.000000,11203081.000000,0.000000,116116000.000000,0.000000,0.000000,0.000000,10.365000
ARQ,2019-03-31,2019-05-07,2019-03-31,2019-Q1,104652000.000000,464794050.000000,2025-05-07,16000.000000,115704000.000000,,107894000.000000,7810000.000000,,7.594000,-1707000.000000,98013000.000000,98013000.000000,0.000000,-4111000.000000,33.280000,0.057000,3394000.000000,418000.000000,2976000.000000,3394000.000000,0.000000,199000.000000,0.000000,0.000000,0.000000,-4111000.000000,-3912000.000000,,-3912000.000000,-4111000.000000,-4111000.000000,-0.290000,-0.290000,-0.290000,109486000.000000,,109486000.000000,370175050.000000,-28.000000,-28.294000,-4922000.000000,-0.341000,1.000000,0.000000,,0.000000,0.000000,17843000.000000,,0.000000,8617000.000000,8617000.000000,0.000000,6218000.000000,3242000.000000,2976000.000000,-5657000.000000,0.000000,40000.000000,0.000000,0.000000,40000.000000,-2482000.000000,-512000.000000,-3215000.000000,0.000000,-4111000.000000,-4111000.000000,-4111000.000000,0.000000,0.000000,,4694000.000000,-4694000.000000,1126000.000000,0.000000,4.245000,-36.171000,-30.648000,7355000.000000,0.000000,32.180000,,,0.000000,-24070000.000000,0.000000,0.000000,3167000.000000,,,,,313000.000000,1527000.000000,1.000000,14443569.000000,14417649.000000,14417649.000000,0.000000,115704000.000000,0.000000,0.000000,0.000000,8.025000
ARQ,2019-06-30,2019-08-05,2019-06-30,2019-Q2,192263000.000000,739764676.000000,2025-05-07,18000.000000,205156000.000000,,196203000.000000,8953000.000000,,13.654000,-1238000.000000,186587000.000000,186587000.000000,0.000000,-5348000.000000,49.798000,0.035000,3364000.000000,438000.000000,2926000.000000,3364000.000000,0.000000,240000.000000,0.000000,0.000000,0.000000,-5348000.000000,-5108000.000000,,-5108000.000000,-5348000.000000,-5348000.000000,-0.370000,-0.370000,-0.370000,198290000.000000,,198290000.000000,556541676.000000,-33.000000,-34.542000,-5447000.000000,-0.375000,1.000000,0.000000,,0.000000,0.000000,17993000.000000,,0.000000,8879000.000000,8879000.000000,0.000000,6866000.000000,3940000.000000,2926000.000000,88574000.000000,0.000000,94019000.000000,0.000000,0.000000,94019000.000000,-1236000.000000,-261000.000000,-4209000.000000,0.000000,-5348000.000000,-5348000.000000,-5348000.000000,0.000000,0.000000,,5890000.000000,-5890000.000000,896000.000000,0.000000,3.731000,-46.462000,-35.633000,8867000.000000,0.000000,42.760000,,,0.000000,-29418000.000000,0.000000,0.000000,4216000.000000,,,,,325000.000000,1674000.000000,1.000000,17300390.000000,14522515.000000,14522515.000000,0.000000,205156000.000000,0.000000,0.000000,0.000000,14.127000
ARQ,2019-09-30,2019-11-04,2019-09-30,2019-Q3,200709000.000000,756030475.000000,2025-05-07,11000.000000,214232000.000000,,204435000.000000,9797000.000000,,12.009000,-1175000.000000,194806000.000000,194806000.000000,0.000000,-4272000.000000,54.867000,0.032000,3322000.000000,462000.000000,2860000.000000,3322000.000000,0.000000,259000.000000,0.000000,0.000000,0.000000,-4272000.000000,-4013000.000000,,-4013000.000000,-4272000.000000,-4272000.000000,-0.250000,-0.250000,-0.250000,207646000.000000,,207646000.000000,564546475.000000,-31.000000,-32.840000,-5418000.000000,-0.313000,1.000000,0.000000,,0.000000,0.000000,19022000.000000,,0.000000,8402000.000000,8402000.000000,0.000000,6586000.000000,3726000.000000,2860000.000000,8219000.000000,0.000000,13167000.000000,0.000000,0.000000,13167000.000000,-705000.000000,470000.000000,-4243000.000000,0.000000,-4272000.000000,-4272000.000000,-4272000.000000,0.000000,0.000000,,5342000.000000,-5342000.000000,1252000.000000,0.000000,3.641000,-43.353000,-36.706000,9659000.000000,0.000000,43.680000,,,0.000000,-33690000.000000,0.000000,0.000000,3885000.000000,,,,,278000.000000,1457000.000000,1.000000,17308390.000000,17291245.000000,17291245.000000,0.000000,214232000.000000,0.000000,0.000000,0.000000,12.390000
