dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-08-13,2019-12-31,2019-Q4,58275000.000000,,2025-05-11,6000.000000,116702000.000000,,92845000.000000,23857000.000000,,-27.467000,,76015000.000000,76015000.000000,,,2.686000,-1.102000,21193000.000000,3377000.000000,17816000.000000,21193000.000000,52991000.000000,,0.000000,,0.000000,,,,,,,,,,-74406000.000000,,-74406000.000000,,,,,,1.000000,,,0.000000,,27310000.000000,,0.000000,15942000.000000,15942000.000000,0.000000,82028000.000000,34570000.000000,47458000.000000,,,,,,,,,,,,,,,,,,,3276000.000000,,,,,22083000.000000,,,,,0.000000,-76456000.000000,,,,,,,,,,1.000000,41724092.000000,2708937.000000,,,116702000.000000,0.000000,,0.000000,43.080000
ARQ,2020-06-30,2020-08-17,2020-06-30,2020-Q2,115621000.000000,,2025-05-11,31000.000000,181109000.000000,,158301000.000000,22808000.000000,,-2.571000,,60971000.000000,60971000.000000,,,3.709000,-0.718000,19104000.000000,3705000.000000,15399000.000000,19104000.000000,46276000.000000,,0.000000,,0.000000,,,,,,,,,,-107289000.000000,,-107289000.000000,,,,,,1.000000,,,0.000000,,96562000.000000,,0.000000,94994000.000000,94994000.000000,0.000000,77066000.000000,42680000.000000,34386000.000000,,,,,,,,,,,,,,,,,,,3982000.000000,,,,,20285000.000000,,,,,0.000000,-108094000.000000,,,,,,,,,,1.000000,41724092.000000,41724092.000000,,,181109000.000000,0.000000,,0.000000,4.341000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,190078000.000000,1943300311.000000,2025-05-11,-164000.000000,507361000.000000,,297364000.000000,209997000.000000,,14.252000,-2409000.000000,54593000.000000,54593000.000000,0.000000,-7986000.000000,2.772000,0.722000,18504000.000000,3422000.000000,15082000.000000,18504000.000000,182319000.000000,490000.000000,0.000000,0.000000,0.000000,-7958000.000000,-7468000.000000,-0.514000,-7468000.000000,-7958000.000000,-7986000.000000,-0.390000,-0.390000,-0.390000,294685000.000000,,294685000.000000,1907211311.000000,,,129258000.000000,6.251000,1.000000,14533000.000000,1.000000,0.000000,28000.000000,363986000.000000,,0.000000,426712000.000000,239248000.000000,187464000.000000,212676000.000000,107286000.000000,105390000.000000,-6379000.000000,0.000000,196384000.000000,-109000.000000,0.000000,196275000.000000,-334321000.000000,-331912000.000000,131667000.000000,0.000000,-7986000.000000,-7986000.000000,-7986000.000000,0.000000,0.000000,-0.550000,22616000.000000,-8083000.000000,3979000.000000,0.000000,6.595000,,,20943000.000000,0.000000,43.710000,,,0.000000,-116080000.000000,14533000.000000,14533000.000000,15778000.000000,,,,,2328000.000000,6838000.000000,1.000000,44458941.000000,20677392.000000,20677392.000000,0.703000,507361000.000000,0.000000,0.000000,0.000000,24.537000
ARQ,2020-12-31,2021-03-11,2020-12-31,2020-Q4,191722000.000000,2656872946.000000,2025-05-11,-128000.000000,487175000.000000,,302339000.000000,184836000.000000,,16.363000,-1437000.000000,32593000.000000,32593000.000000,0.000000,-12685000.000000,2.733000,0.716000,17993000.000000,3261000.000000,14732000.000000,17993000.000000,170390000.000000,497000.000000,0.000000,0.000000,0.000000,-12658000.000000,-12161000.000000,-0.951000,-12161000.000000,-12658000.000000,-12685000.000000,1.960000,1.960000,1.960000,283888000.000000,,283888000.000000,2642272946.000000,-58.000000,-60.443000,-21505000.000000,-1.240000,1.000000,12785000.000000,1.000000,0.000000,27000.000000,361958000.000000,,0.000000,427729000.000000,265198000.000000,162531000.000000,203287000.000000,110617000.000000,92670000.000000,-23788000.000000,0.000000,422000.000000,-152000.000000,0.000000,270000.000000,-3990000.000000,-2553000.000000,-20068000.000000,0.000000,-12685000.000000,-12685000.000000,-12685000.000000,0.000000,0.000000,-0.992000,25567000.000000,-12782000.000000,4368000.000000,0.000000,9.359000,-48.622000,-18.822000,20686000.000000,0.000000,59.290000,78.065000,30.224000,577000.000000,-128765000.000000,12785000.000000,12785000.000000,20392000.000000,,,,,1827000.000000,5175000.000000,1.000000,44811485.000000,17349582.000000,17349582.000000,0.737000,487175000.000000,0.000000,0.000000,0.000000,28.080000
ARQ,2021-03-31,2021-05-06,2021-03-31,2021-Q1,230654000.000000,1845333252.000000,2025-05-11,-13000.000000,464552000.000000,,340791000.000000,123761000.000000,,6.165000,-164000.000000,54688000.000000,54688000.000000,0.000000,-13075000.000000,3.094000,0.688000,17470000.000000,3048000.000000,14422000.000000,17470000.000000,152566000.000000,485000.000000,0.000000,0.000000,0.000000,-13051000.000000,-12566000.000000,-0.672000,-12566000.000000,-13051000.000000,-13075000.000000,-0.290000,-0.290000,-0.290000,275247000.000000,,275247000.000000,1808115252.000000,,,-22987000.000000,-0.515000,1.000000,18702000.000000,1.000000,0.000000,24000.000000,317197000.000000,,0.000000,382078000.000000,280439000.000000,101639000.000000,189305000.000000,110137000.000000,79168000.000000,22095000.000000,0.000000,750000.000000,-155000.000000,0.000000,595000.000000,44323000.000000,44487000.000000,-22823000.000000,0.000000,-13075000.000000,-13075000.000000,-13075000.000000,0.000000,0.000000,-0.699000,31871000.000000,-13169000.000000,8348000.000000,0.000000,6.704000,,,20502000.000000,0.000000,40.980000,,,856000.000000,-141840000.000000,18702000.000000,18702000.000000,25962000.000000,,,,,3172000.000000,5909000.000000,1.000000,45030094.000000,44649572.000000,44649572.000000,0.419000,464552000.000000,0.000000,0.000000,0.000000,10.404000
ARQ,2021-06-30,2021-08-06,2021-06-30,2021-Q2,256121000.000000,3037379510.000000,2025-05-11,0.000000,434386000.000000,,364806000.000000,69580000.000000,,5.724000,-626000.000000,86492000.000000,86492000.000000,0.000000,-24660000.000000,3.357000,0.683000,18304000.000000,3463000.000000,14841000.000000,18304000.000000,134935000.000000,552000.000000,0.000000,0.000000,0.000000,-24632000.000000,-24080000.000000,-1.300000,-24080000.000000,-24632000.000000,-24660000.000000,-0.550000,-0.550000,-0.550000,258104000.000000,,258104000.000000,2969191510.000000,-51.000000,-52.762000,-31137000.000000,-0.690000,1.000000,18519000.000000,1.000000,0.000000,28000.000000,257513000.000000,,0.000000,319509000.000000,274204000.000000,45305000.000000,176282000.000000,108685000.000000,67597000.000000,31804000.000000,0.000000,1778000.000000,-186000.000000,0.000000,1592000.000000,60723000.000000,61349000.000000,-30511000.000000,0.000000,-24660000.000000,-24660000.000000,-24660000.000000,0.000000,0.000000,-1.332000,43249000.000000,-24730000.000000,8177000.000000,0.000000,11.768000,-52.005000,81.521000,21766000.000000,0.000000,59.510000,47.063000,41.580000,0.000000,-166500000.000000,18519000.000000,18519000.000000,35220000.000000,,,,,5726000.000000,8029000.000000,1.000000,51039817.000000,45094238.000000,45094238.000000,0.411000,434386000.000000,0.000000,0.000000,0.000000,9.633000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,449238000.000000,3280554762.000000,2025-05-11,-146000.000000,642453000.000000,,543731000.000000,98722000.000000,,9.527000,-306000.000000,158409000.000000,158409000.000000,0.000000,-28582000.000000,5.754000,0.330000,18442000.000000,3632000.000000,14810000.000000,18442000.000000,116173000.000000,671000.000000,0.000000,0.000000,0.000000,-28512000.000000,-27841000.000000,-1.369000,-27841000.000000,-28512000.000000,-28582000.000000,-0.560000,-0.560000,-0.560000,483135000.000000,,483135000.000000,3140587762.000000,-40.000000,-40.974000,-37566000.000000,-0.741000,1.000000,20336000.000000,1.000000,0.000000,70000.000000,407993000.000000,,0.000000,454259000.000000,379567000.000000,74692000.000000,159318000.000000,94493000.000000,64825000.000000,71917000.000000,0.000000,246391000.000000,-352000.000000,0.000000,246039000.000000,-136862000.000000,-136556000.000000,-37260000.000000,0.000000,-28582000.000000,-28582000.000000,-28582000.000000,0.000000,0.000000,-1.405000,48973000.000000,-28637000.000000,5033000.000000,0.000000,6.790000,-41.525000,114.000000,21724000.000000,0.000000,63.840000,46.637000,46.027000,0.000000,-195082000.000000,20336000.000000,20336000.000000,38306000.000000,,,,,7396000.000000,10667000.000000,1.000000,51387136.000000,50714846.000000,50714846.000000,0.401000,642453000.000000,0.000000,0.000000,0.000000,12.668000
ARQ,2021-12-31,2022-02-24,2021-12-31,2021-Q4,358731000.000000,2034017421.000000,2025-05-11,-660000.000000,605905000.000000,,451273000.000000,154632000.000000,,8.937000,-501000.000000,54092000.000000,54092000.000000,0.000000,-33900000.000000,4.876000,0.318000,17963000.000000,3599000.000000,14364000.000000,17963000.000000,101034000.000000,689000.000000,0.000000,0.000000,0.000000,-33849000.000000,-33160000.000000,-2.171000,-33160000.000000,-33849000.000000,-33900000.000000,-0.670000,-0.670000,-0.670000,459638000.000000,,459638000.000000,1997888421.000000,-20.000000,-20.461000,-38853000.000000,-0.755000,1.000000,15275000.000000,1.000000,0.000000,51000.000000,477234000.000000,,0.000000,519629000.000000,394442000.000000,125187000.000000,146267000.000000,92542000.000000,53725000.000000,-104317000.000000,0.000000,2210000.000000,-156000.000000,0.000000,2054000.000000,-68019000.000000,-67518000.000000,-38352000.000000,0.000000,-33900000.000000,-33900000.000000,-33900000.000000,0.000000,0.000000,-2.219000,49269000.000000,-33994000.000000,4005000.000000,0.000000,4.425000,-20.296000,-18.823000,21307000.000000,0.000000,39.340000,27.928000,25.921000,0.000000,-228982000.000000,15275000.000000,15275000.000000,37529000.000000,,,,,8678000.000000,11740000.000000,1.000000,51703544.000000,51431184.000000,51431184.000000,0.297000,605905000.000000,0.000000,0.000000,0.000000,11.781000
ARQ,2022-03-31,2022-05-03,2022-03-31,2022-Q1,343043000.000000,1286897574.000000,2025-05-11,-3216000.000000,563060000.000000,,431382000.000000,131678000.000000,,8.300000,-482000.000000,39845000.000000,39845000.000000,0.000000,-36684000.000000,4.883000,0.313000,17472000.000000,3567000.000000,13905000.000000,17472000.000000,92675000.000000,687000.000000,0.000000,0.000000,0.000000,-36643000.000000,-35956000.000000,-3.737000,-35956000.000000,-36643000.000000,-36684000.000000,-0.710000,-0.710000,-0.710000,428720000.000000,,428720000.000000,1264524574.000000,-10.000000,-10.447000,-40777000.000000,-0.789000,1.000000,9622000.000000,1.000000,0.000000,41000.000000,452348000.000000,,0.000000,489557000.000000,387079000.000000,102478000.000000,134340000.000000,88339000.000000,46001000.000000,-14247000.000000,0.000000,449000.000000,-264000.000000,0.000000,185000.000000,25863000.000000,26345000.000000,-40295000.000000,0.000000,-36684000.000000,-36684000.000000,-36684000.000000,0.000000,0.000000,-3.813000,46555000.000000,-36933000.000000,2567000.000000,0.000000,3.002000,-10.393000,-9.992000,21066000.000000,0.000000,24.880000,20.186000,20.157000,0.000000,-265666000.000000,9622000.000000,9622000.000000,35944000.000000,,,,,7873000.000000,10611000.000000,1.000000,51724179.000000,51651125.000000,51651125.000000,0.186000,563060000.000000,0.000000,0.000000,0.000000,10.901000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,315270000.000000,1574040806.000000,2025-05-11,-3983000.000000,523421000.000000,,402770000.000000,120651000.000000,,7.687000,-735000.000000,83027000.000000,83027000.000000,0.000000,-40257000.000000,4.603000,0.315000,17291000.000000,3656000.000000,13635000.000000,17291000.000000,83531000.000000,705000.000000,0.000000,0.000000,0.000000,-40216000.000000,-39511000.000000,-3.432000,-39511000.000000,-40216000.000000,-40257000.000000,-0.780000,-0.780000,-0.780000,397951000.000000,,397951000.000000,1508304806.000000,-11.000000,-11.052000,-39720000.000000,-0.767000,1.000000,11514000.000000,1.000000,0.000000,41000.000000,370185000.000000,,0.000000,405577000.000000,315395000.000000,90182000.000000,125470000.000000,87500000.000000,37970000.000000,43182000.000000,0.000000,633000.000000,-269000.000000,0.000000,364000.000000,81803000.000000,82538000.000000,-38985000.000000,0.000000,-40257000.000000,-40257000.000000,-40257000.000000,0.000000,0.000000,-3.496000,52324000.000000,-40810000.000000,2374000.000000,0.000000,3.955000,-11.290000,-11.158000,21929000.000000,0.000000,30.350000,27.738000,27.689000,0.000000,-305923000.000000,11514000.000000,11514000.000000,41293000.000000,,,,,9622000.000000,11031000.000000,1.000000,51862959.000000,51772440.000000,51772440.000000,0.222000,523421000.000000,0.000000,0.000000,0.000000,10.110000
