dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2023-03-10,2021-12-31,2021-Q4,489000.000000,,2025-03-21,621000.000000,11844000.000000,,8248000.000000,3596000.000000,,-1.507000,,2064000.000000,2064000.000000,,,1.063000,-1.873000,17393000.000000,320000.000000,17073000.000000,17393000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-13563000.000000,,-13563000.000000,,,,,,1.000000,,,5000.000000,,19409000.000000,,2710000.000000,0.000000,0.000000,0.000000,25407000.000000,7759000.000000,17648000.000000,,,,,,,,,,,,,,,,,,,7256000.000000,,,,,2662000.000000,,,,,2606000.000000,-23214000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,11839000.000000,847000.000000,,3000.000000,1.315000
ARQ,2022-06-30,2023-03-24,2022-06-30,2022-Q2,2794000.000000,,2025-03-21,612000.000000,14695000.000000,,10971000.000000,3724000.000000,,-1.512000,,2002000.000000,2002000.000000,,,1.342000,-2.080000,19841000.000000,305000.000000,19536000.000000,19841000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-13606000.000000,,-13606000.000000,,,,,,1.000000,,,3000.000000,,24354000.000000,,4189000.000000,0.000000,0.000000,0.000000,28301000.000000,8177000.000000,20124000.000000,,,,,,,,,,,,,,,,,,,7787000.000000,,,,,2574000.000000,,,,,3372000.000000,-23397000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,14692000.000000,1071000.000000,,0.000000,1.632000
ARQ,2022-12-31,2023-06-27,2022-12-31,2022-Q4,4804000.000000,139697072.000000,2025-03-21,775000.000000,21659000.000000,,15432000.000000,6227000.000000,,0.024000,,4057000.000000,4057000.000000,,,1.452000,101.165000,14121000.000000,3698000.000000,10423000.000000,14121000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,212000.000000,,212000.000000,149761072.000000,52.000000,45.548000,,,1.000000,,,1000.000000,,21094000.000000,,7510000.000000,0.000000,0.000000,0.000000,21447000.000000,10628000.000000,10819000.000000,,,,,,,,,,,,,,,,,,,6735000.000000,,658.948000,24.211000,3.959000,2161000.000000,,15.520000,6.022000,6.022000,2219000.000000,-17444000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,21658000.000000,3988000.000000,,47000.000000,2.406000
ARQ,2022-12-31,2023-07-26,2022-12-31,2022-Q4,4804000.000000,95321649.000000,2025-03-21,775000.000000,21659000.000000,,15432000.000000,6227000.000000,,0.024000,,4057000.000000,4057000.000000,,,1.452000,101.165000,14121000.000000,3698000.000000,10423000.000000,14121000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,212000.000000,,212000.000000,105385649.000000,37.000000,32.052000,,,1.000000,,,1000.000000,,21094000.000000,,7510000.000000,0.000000,0.000000,0.000000,21447000.000000,10628000.000000,10819000.000000,,,,,,,,,,,,,,,,,,,6735000.000000,,449.630000,16.520000,2.702000,2161000.000000,,10.590000,4.109000,4.109000,2219000.000000,-17444000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,21658000.000000,3988000.000000,,47000.000000,2.406000
ARQ,2022-12-31,2023-08-08,2022-12-31,2022-Q4,4804000.000000,100002221.000000,2025-03-21,775000.000000,21659000.000000,,15432000.000000,6227000.000000,,0.024000,,4057000.000000,4057000.000000,,,1.452000,101.165000,14121000.000000,3698000.000000,10423000.000000,14121000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,212000.000000,,212000.000000,110066221.000000,38.000000,33.475000,,,1.000000,,,1000.000000,,21094000.000000,,7510000.000000,0.000000,0.000000,0.000000,21447000.000000,10628000.000000,10819000.000000,,,,,,,,,,,,,,,,,,,6735000.000000,,471.709000,17.331000,2.834000,2161000.000000,,11.110000,4.311000,4.311000,2219000.000000,-17444000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,21658000.000000,3988000.000000,,47000.000000,2.406000
ARQ,2023-06-30,2023-09-11,2023-06-30,2023-Q2,6722000.000000,43205280.000000,2025-03-21,771000.000000,24077000.000000,,16363000.000000,7714000.000000,,-0.072000,,1860000.000000,1860000.000000,,,1.697000,-38.329000,15005000.000000,353000.000000,14652000.000000,15005000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-645000.000000,,-645000.000000,56350280.000000,23.000000,18.929000,,,1.000000,,,0.000000,,27581000.000000,,9334000.000000,0.000000,0.000000,0.000000,24722000.000000,9641000.000000,15081000.000000,,,,,,,,,,,,,,,,,,,9018000.000000,,-66.985000,8.508000,1.200000,3475000.000000,,4.800000,1.583000,1.583000,3471000.000000,-18318000.000000,,,,,,,,,,1.000000,9001100.000000,9001100.000000,,,24077000.000000,4157000.000000,,45000.000000,2.675000
ARQ,2023-06-30,2023-09-29,2023-06-30,2023-Q2,6722000.000000,18092412.000000,2025-03-21,771000.000000,24077000.000000,,16363000.000000,7714000.000000,,-0.072000,,1860000.000000,1860000.000000,,,1.697000,-38.329000,15005000.000000,353000.000000,14652000.000000,15005000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-645000.000000,,-645000.000000,31237412.000000,13.000000,10.493000,,,1.000000,,,0.000000,,27581000.000000,,9334000.000000,0.000000,0.000000,0.000000,24722000.000000,9641000.000000,15081000.000000,,,,,,,,,,,,,,,,,,,9018000.000000,,-28.050000,3.563000,0.502000,3475000.000000,,2.010000,0.663000,0.663000,3471000.000000,-18318000.000000,,,,,,,,,,1.000000,9001200.000000,9001200.000000,,,24077000.000000,4157000.000000,,45000.000000,2.675000
ARQ,2023-06-30,2024-02-05,2023-06-30,2023-Q2,6722000.000000,49097298.000000,2025-03-21,771000.000000,24077000.000000,,16363000.000000,7714000.000000,,-0.037000,,1860000.000000,1860000.000000,,,1.697000,-38.329000,15005000.000000,353000.000000,14652000.000000,15005000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-645000.000000,,-645000.000000,62242298.000000,25.000000,20.908000,,,1.000000,,,0.000000,,27581000.000000,,9334000.000000,0.000000,0.000000,0.000000,24722000.000000,9641000.000000,15081000.000000,,,,,,,,,,,,,,,,,,,9018000.000000,,-76.120000,9.669000,0.713000,3475000.000000,,2.850000,1.799000,1.799000,3471000.000000,-18318000.000000,,,,,,,,,,1.000000,17227122.000000,17227122.000000,,,24077000.000000,4157000.000000,,45000.000000,1.398000
ARQ,2023-12-31,2024-03-21,2023-12-31,2023-Q4,11550000.000000,29113836.000000,2025-03-21,784000.000000,27935000.000000,,20267000.000000,7668000.000000,,0.292000,,6895000.000000,6895000.000000,,,2.325000,4.553000,15375000.000000,1614000.000000,13761000.000000,15375000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5031000.000000,,5031000.000000,37593836.000000,-16.000000,-21.073000,,,1.000000,,,0.000000,,27698000.000000,,5231000.000000,0.000000,0.000000,0.000000,22904000.000000,8717000.000000,14187000.000000,,,,,,,,,,,,,,,,,,,6963000.000000,,5.787000,-8.909000,-8.048000,4508000.000000,,1.690000,0.969000,0.969000,5053000.000000,-20712000.000000,,,,,,,,,,1.000000,17227122.000000,17227122.000000,,,27935000.000000,3077000.000000,,2000.000000,1.622000
ARQ,2023-12-31,2024-09-12,2023-12-31,2023-Q4,11550000.000000,13477481.000000,2025-03-21,784000.000000,27935000.000000,,20267000.000000,7668000.000000,,0.179000,,6895000.000000,6895000.000000,,,2.325000,4.553000,15375000.000000,1614000.000000,13761000.000000,15375000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5031000.000000,,5031000.000000,21957481.000000,-9.000000,-12.308000,,,1.000000,,,0.000000,,27698000.000000,,5231000.000000,0.000000,0.000000,0.000000,22904000.000000,8717000.000000,14187000.000000,,,,,,,,,,,,,,,,,,,6963000.000000,,2.679000,-4.124000,-2.283000,4508000.000000,,0.479000,0.448000,0.448000,5053000.000000,-20712000.000000,,,,,,,,,,1.000000,28113227.000000,28113227.000000,,,27935000.000000,3077000.000000,,2000.000000,0.994000
