dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-03-08,2020-12-31,2020-Q4,52227000.000000,,2024-11-07,0.000000,56238000.000000,,55362000.000000,876000.000000,,-0.707000,,55316000.000000,55316000.000000,,,17.659000,-21.891000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-2692000.000000,,-2692000.000000,,,,,,1.000000,,,0.000000,,-2213000.000000,,0.000000,0.000000,0.000000,0.000000,58930000.000000,3135000.000000,55795000.000000,,,,,,,,,,,,,,,,,,,1213000.000000,,,,,0.000000,,,,,0.000000,-14400000.000000,,,,,,,,,,1.000000,16916990.000000,3808887.000000,,,56238000.000000,0.000000,,0.000000,14.765000
ARQ,2021-03-31,2021-05-10,2021-03-31,2021-Q1,119586000.000000,174735802.000000,2024-11-07,0.000000,123630000.000000,,123630000.000000,0.000000,,17.559000,0.000000,120851000.000000,120851000.000000,0.000000,-5699000.000000,30.571000,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5699000.000000,-5699000.000000,,-5699000.000000,-5699000.000000,-5699000.000000,-0.840000,-0.840000,-0.840000,119586000.000000,,119586000.000000,53884802.000000,,,-7746000.000000,-1.137000,1.000000,0.000000,,0.000000,0.000000,-1265000.000000,,0.000000,0.000000,0.000000,0.000000,4044000.000000,4044000.000000,0.000000,65535000.000000,0.000000,73282000.000000,0.000000,0.000000,73281000.000000,0.000000,0.000000,-7746000.000000,0.000000,-5699000.000000,-5699000.000000,-5699000.000000,0.000000,0.000000,,5703000.000000,-5703000.000000,2019000.000000,0.000000,1.461000,,,0.000000,0.000000,10.150000,,,0.000000,-20099000.000000,0.000000,0.000000,4398000.000000,,,,,333000.000000,1305000.000000,1.000000,17215350.000000,6810407.000000,6810407.000000,0.000000,123630000.000000,0.000000,0.000000,0.000000,18.153000
ARQ,2021-06-30,2021-08-09,2021-06-30,2021-Q2,117416000.000000,155798918.000000,2024-11-07,-34000.000000,120722000.000000,,120689000.000000,33000.000000,,6.980000,0.000000,90861000.000000,90861000.000000,0.000000,-6980000.000000,36.874000,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6980000.000000,-6980000.000000,,-6980000.000000,-6980000.000000,-6980000.000000,-0.410000,-0.410000,-0.410000,117449000.000000,,117449000.000000,64937918.000000,,,-5150000.000000,-0.306000,1.000000,0.000000,,0.000000,0.000000,26588000.000000,,0.000000,27980000.000000,27980000.000000,0.000000,3273000.000000,3273000.000000,0.000000,-29990000.000000,0.000000,3172000.000000,0.000000,0.000000,3172000.000000,0.000000,0.000000,-5150000.000000,0.000000,-6980000.000000,-6980000.000000,-6980000.000000,0.000000,0.000000,,6993000.000000,-6993000.000000,915000.000000,0.000000,1.327000,,,0.000000,0.000000,9.050000,,,0.000000,-27079000.000000,0.000000,0.000000,4915000.000000,,,,,512000.000000,2072000.000000,1.000000,17215350.000000,16827556.000000,16827556.000000,0.000000,120722000.000000,0.000000,0.000000,0.000000,7.174000
ARQ,2021-09-30,2021-11-04,2021-09-30,2021-Q3,111278000.000000,113965617.000000,2024-11-07,-24000.000000,115948000.000000,,115299000.000000,649000.000000,,6.620000,-13000.000000,75461000.000000,75461000.000000,0.000000,-6345000.000000,28.674000,0.038000,603000.000000,328000.000000,275000.000000,603000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6345000.000000,-6345000.000000,,-6345000.000000,-6345000.000000,-6345000.000000,-0.380000,-0.380000,-0.380000,111652000.000000,,111652000.000000,39107617.000000,,,-6147000.000000,-0.364000,1.000000,0.000000,,0.000000,0.000000,37069000.000000,,0.000000,37098000.000000,37098000.000000,0.000000,4296000.000000,4021000.000000,275000.000000,-15400000.000000,0.000000,-2000.000000,0.000000,0.000000,-2000.000000,-9264000.000000,-9251000.000000,-6134000.000000,0.000000,-6345000.000000,-6345000.000000,-6345000.000000,0.000000,0.000000,,6368000.000000,-6368000.000000,891000.000000,0.000000,1.021000,,,616000.000000,0.000000,6.620000,,,0.000000,-33424000.000000,0.000000,0.000000,4093000.000000,,,,,538000.000000,2262000.000000,1.000000,17215350.000000,16866900.000000,16866900.000000,0.000000,115948000.000000,0.000000,0.000000,0.000000,6.874000
ARQ,2021-12-31,2022-03-03,2021-12-31,2021-Q4,102940000.000000,75145003.000000,2024-11-07,-164000.000000,108952000.000000,,108384000.000000,568000.000000,,6.068000,-3000.000000,66346000.000000,66346000.000000,0.000000,-8773000.000000,19.909000,0.054000,524000.000000,339000.000000,185000.000000,524000.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-8773000.000000,-8772000.000000,,-8772000.000000,-8773000.000000,-8773000.000000,-0.520000,-0.520000,-0.520000,103323000.000000,,103323000.000000,9323003.000000,0.000000,-0.335000,-5678000.000000,-0.333000,1.000000,0.000000,,0.000000,0.000000,37686000.000000,,0.000000,40379000.000000,40379000.000000,0.000000,5629000.000000,5444000.000000,185000.000000,-9115000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3440000.000000,-3437000.000000,-5675000.000000,0.000000,-8773000.000000,-8773000.000000,-8773000.000000,0.000000,0.000000,,8797000.000000,-8797000.000000,1028000.000000,0.000000,0.727000,-2.703000,-2.262000,535000.000000,0.000000,4.365000,,,0.000000,-42197000.000000,0.000000,0.000000,6368000.000000,,,,,584000.000000,2426000.000000,1.000000,17215350.000000,17026634.000000,17026634.000000,0.000000,108952000.000000,0.000000,0.000000,0.000000,6.399000
ARQ,2022-03-31,2022-05-05,2022-03-31,2022-Q1,93475000.000000,79534917.000000,2024-11-07,-596000.000000,100643000.000000,,100159000.000000,484000.000000,,5.493000,0.000000,35037000.000000,35037000.000000,0.000000,-9597000.000000,14.985000,0.072000,444000.000000,350000.000000,94000.000000,444000.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-9597000.000000,-9596000.000000,,-9596000.000000,-9597000.000000,-9597000.000000,-0.560000,-0.560000,-0.560000,93865000.000000,,93865000.000000,44941917.000000,-1.000000,-1.418000,-10025000.000000,-0.587000,1.000000,0.000000,,0.000000,0.000000,59366000.000000,,0.000000,61087000.000000,61087000.000000,0.000000,6778000.000000,6684000.000000,94000.000000,-31309000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21284000.000000,-21284000.000000,-10025000.000000,0.000000,-9597000.000000,-9597000.000000,-9597000.000000,0.000000,0.000000,,9629000.000000,-9629000.000000,1357000.000000,0.000000,0.847000,-2.509000,-2.471000,451000.000000,0.000000,4.620000,,,0.000000,-51794000.000000,0.000000,0.000000,7121000.000000,,,,,571000.000000,2499000.000000,1.000000,17215350.000000,17086615.000000,17086615.000000,0.000000,100643000.000000,0.000000,0.000000,0.000000,5.890000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,82602000.000000,60942339.000000,2024-11-07,-784000.000000,90513000.000000,,90146000.000000,367000.000000,,4.843000,0.000000,27716000.000000,27716000.000000,0.000000,-11407000.000000,11.949000,0.091000,363000.000000,363000.000000,0.000000,363000.000000,0.000000,2000.000000,0.000000,0.000000,0.000000,-11407000.000000,-11405000.000000,,-11405000.000000,-11407000.000000,-11407000.000000,-0.670000,-0.670000,-0.670000,82969000.000000,,82969000.000000,33589339.000000,-1.000000,-0.930000,-8514000.000000,-0.497000,1.000000,0.000000,,0.000000,0.000000,55616000.000000,,0.000000,59702000.000000,59702000.000000,0.000000,7544000.000000,7544000.000000,0.000000,-7321000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1193000.000000,1193000.000000,-8514000.000000,0.000000,-11407000.000000,-11407000.000000,-11407000.000000,0.000000,0.000000,,11567000.000000,-11567000.000000,602000.000000,0.000000,0.735000,-1.687000,-1.662000,367000.000000,0.000000,3.540000,,,0.000000,-63201000.000000,0.000000,0.000000,8921000.000000,,,,,699000.000000,2646000.000000,1.000000,17215350.000000,17130307.000000,17130307.000000,0.000000,90513000.000000,0.000000,0.000000,0.000000,5.284000
ARQ,2022-09-30,2022-11-03,2022-09-30,2022-Q3,71639000.000000,70582935.000000,2024-11-07,-915000.000000,80659000.000000,,79792000.000000,867000.000000,,4.195000,0.000000,18745000.000000,18745000.000000,0.000000,-11596000.000000,9.787000,0.120000,829000.000000,360000.000000,469000.000000,829000.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-11596000.000000,-11595000.000000,,-11595000.000000,-11596000.000000,-11596000.000000,-0.680000,-0.680000,-0.680000,72037000.000000,,72037000.000000,52666935.000000,-1.000000,-1.273000,-9853000.000000,-0.574000,1.000000,0.000000,,0.000000,0.000000,54590000.000000,,0.000000,58574000.000000,58574000.000000,0.000000,8622000.000000,8153000.000000,469000.000000,-8971000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,882000.000000,882000.000000,-9853000.000000,0.000000,-11596000.000000,-11596000.000000,-11596000.000000,0.000000,0.000000,,11884000.000000,-11884000.000000,575000.000000,0.000000,0.980000,-1.706000,-1.687000,834000.000000,0.000000,4.100000,,,0.000000,-74797000.000000,0.000000,0.000000,9403000.000000,,,,,795000.000000,2481000.000000,1.000000,17215350.000000,17173838.000000,17173838.000000,0.000000,80659000.000000,0.000000,0.000000,0.000000,4.697000
ARQ,2022-12-31,2023-03-02,2022-12-31,2022-Q4,61074000.000000,120797741.000000,2024-11-07,-692000.000000,70616000.000000,,69838000.000000,778000.000000,,3.571000,0.000000,10775000.000000,10775000.000000,0.000000,-11345000.000000,7.969000,0.149000,740000.000000,358000.000000,382000.000000,740000.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-11345000.000000,-11344000.000000,,-11344000.000000,-11345000.000000,-11345000.000000,-0.660000,-0.660000,-0.660000,61470000.000000,,61470000.000000,110762741.000000,-3.000000,-2.521000,-9671000.000000,-0.562000,1.000000,0.000000,,0.000000,0.000000,51817000.000000,,0.000000,56814000.000000,56814000.000000,0.000000,9146000.000000,8764000.000000,382000.000000,-7970000.000000,0.000000,0.000000,0.000000,0.000000,-444000.000000,2145000.000000,2145000.000000,-9671000.000000,0.000000,-11345000.000000,-11345000.000000,-11345000.000000,0.000000,0.000000,,11727000.000000,-11727000.000000,1310000.000000,0.000000,1.965000,-2.749000,-2.055000,745000.000000,0.000000,5.260000,,,0.000000,-86142000.000000,0.000000,0.000000,9193000.000000,,,,,592000.000000,2534000.000000,1.000000,22965350.000000,17211909.000000,17211909.000000,0.000000,70616000.000000,0.000000,0.000000,0.000000,4.103000
ARQ,2023-03-31,2023-05-09,2023-03-31,2023-Q1,71721000.000000,217979264.000000,2024-11-07,-421000.000000,79684000.000000,,78960000.000000,724000.000000,,3.534000,0.000000,25121000.000000,25121000.000000,0.000000,-11456000.000000,10.908000,0.105000,683000.000000,371000.000000,312000.000000,683000.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,-11456000.000000,-11455000.000000,,-11455000.000000,-11456000.000000,-11456000.000000,-0.560000,-0.560000,-0.560000,72133000.000000,,72133000.000000,193541264.000000,-4.000000,-4.226000,-13097000.000000,-0.642000,1.000000,0.000000,,0.000000,0.000000,48007000.000000,,0.000000,51005000.000000,51005000.000000,0.000000,7551000.000000,7239000.000000,312000.000000,14346000.000000,0.000000,23000000.000000,0.000000,0.000000,21360000.000000,6083000.000000,6083000.000000,-13097000.000000,0.000000,-11456000.000000,-11456000.000000,-11456000.000000,0.000000,0.000000,,11972000.000000,-11972000.000000,283000.000000,0.000000,3.022000,-4.759000,-3.693000,689000.000000,0.000000,9.490000,,,0.000000,-97598000.000000,0.000000,0.000000,8530000.000000,,,,,697000.000000,3432000.000000,1.000000,22969364.000000,20409794.000000,20409794.000000,0.000000,79684000.000000,0.000000,0.000000,0.000000,3.904000
