dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-09-30,2018-11-09,2018-09-30,2018-Q3,,89006333985.000000,2025-05-02,132535.000000,8929551.000000,,8929551.000000,0.000000,,-0.020000,,104942.000000,104942.000000,0.000000,-4553926.000000,,-1.801000,13916212.000000,13916212.000000,,13916212.000000,0.000000,,0.000000,0.000000,0.000000,-4553926.000000,,,,-4553926.000000,-4553926.000000,-182.160000,-182.160000,-182.160000,-11151516.000000,,-11151516.000000,89020145255.000000,,,,,1.000000,0.000000,,0.000000,0.000000,22740821.000000,,0.000000,0.000000,0.000000,0.000000,20081067.000000,,,,,,,,,,,,,-4553926.000000,-4553926.000000,-4553926.000000,0.000000,0.000000,,4553926.000000,-4553926.000000,0.000000,0.000000,-7981.546000,,,0.000000,0.000000,161.520000,,,0.000000,-11279685.000000,0.000000,0.000000,0.000000,,,,,,0.000000,1.000000,551054569.000000,551054569.000000,,0.000000,8929551.000000,0.000000,0.000000,0.000000,0.016000
ARQ,2018-12-31,2019-03-18,2018-12-31,2018-Q4,4316000000.000000,95114062319.000000,2025-05-02,-4456000000.000000,93386000000.000000,,17272000000.000000,76114000000.000000,,156.162000,-1883000000.000000,4466000000.000000,4466000000.000000,,,1.333000,0.703000,15296000000.000000,3008000000.000000,12288000000.000000,15296000000.000000,9157000000.000000,1830000000.000000,0.000000,0.010000,0.875000,,,,,,,,,,51596000000.000000,,51596000000.000000,105944062319.000000,20.000000,14.653000,6560805000.000000,19.857000,1.000000,,,43097000000.000000,,48163000000.000000,,1651000000.000000,1838000000.000000,0.000000,1838000000.000000,36290000000.000000,12956000000.000000,23334000000.000000,3965920000.000000,7246000000.000000,-522000000.000000,-7720761000.000000,-1166000000.000000,-9810761000.000000,5363000000.000000,0.000000,8443805000.000000,-57124000.000000,,,,,,,,,3219000000.000000,,1.843000,21.711000,13.164000,29717000000.000000,,174.550000,6.383000,3.871000,4297000000.000000,16529000000.000000,,,,,,,,62000000.000000,,1.000000,544910125.000000,330401000.000000,,,50289000000.000000,0.000000,,657000000.000000,152.206000
ARQ,2019-03-31,2019-05-10,2019-03-31,2019-Q1,3948000000.000000,98560916800.000000,2025-05-02,-4235000000.000000,91641000000.000000,,15088000000.000000,76553000000.000000,,93.804000,-843000000.000000,5791000000.000000,5791000000.000000,4116000000.000000,554000000.000000,1.354000,0.684000,14146000000.000000,1956000000.000000,12190000000.000000,14146000000.000000,1719000000.000000,1223000000.000000,0.000000,0.009000,0.875000,680000000.000000,1903000000.000000,0.274000,1903000000.000000,680000000.000000,657000000.000000,0.950000,0.940000,0.950000,51175000000.000000,,51175000000.000000,106915916800.000000,,,225000000.000000,0.412000,1.000000,2828000000.000000,0.407000,42764000000.000000,23000000.000000,46092000000.000000,,1667000000.000000,0.000000,0.000000,0.000000,34994000000.000000,11140000000.000000,23854000000.000000,1335000000.000000,3303000000.000000,-697000000.000000,-1027000000.000000,-477000000.000000,-2211000000.000000,2460000000.000000,0.000000,1068000000.000000,8000000.000000,517000000.000000,517000000.000000,517000000.000000,0.000000,37000000.000000,0.074000,2237000000.000000,591000000.000000,3166000000.000000,0.921000,1.926000,,,29418000000.000000,0.000000,181.590000,,,4390000000.000000,16569000000.000000,6944000000.000000,6944000000.000000,46000000.000000,,,,,16000000.000000,879000000.000000,1.000000,542766214.000000,545554000.000000,549147000.000000,12.728000,48877000000.000000,0.000000,140000000.000000,0.000000,89.591000
ARQ,2019-06-30,2019-08-09,2019-06-30,2019-Q2,160000000.000000,103777348335.000000,2025-05-02,-4377000000.000000,87189000000.000000,,10681000000.000000,76508000000.000000,,93.203000,-865000000.000000,2686000000.000000,2686000000.000000,4280000000.000000,551000000.000000,1.015000,0.678000,13957000000.000000,1702000000.000000,12255000000.000000,13957000000.000000,1682000000.000000,1195000000.000000,0.000000,0.013000,0.875000,701000000.000000,1896000000.000000,0.263000,1896000000.000000,701000000.000000,691000000.000000,0.960000,0.960000,0.960000,50564000000.000000,,50564000000.000000,115048348335.000000,,,140000000.000000,0.258000,1.000000,2924000000.000000,0.406000,42751000000.000000,10000000.000000,45188000000.000000,,1708000000.000000,0.000000,0.000000,0.000000,34295000000.000000,10521000000.000000,23774000000.000000,-3099000000.000000,1246000000.000000,-498000000.000000,-250000000.000000,-474000000.000000,-4434000000.000000,381000000.000000,0.000000,1005000000.000000,-57000000.000000,522000000.000000,522000000.000000,522000000.000000,0.000000,29000000.000000,0.072000,2265000000.000000,659000000.000000,3358000000.000000,0.911000,2.052000,,,29540000000.000000,0.000000,191.970000,,,4483000000.000000,16555000000.000000,7204000000.000000,7204000000.000000,45000000.000000,,,,,22000000.000000,884000000.000000,1.000000,540591490.000000,542512000.000000,546395000.000000,13.279000,44438000000.000000,0.000000,169000000.000000,0.000000,81.912000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,-1071000000.000000,110529329028.000000,2025-05-02,-5600000000.000000,84394000000.000000,,9812000000.000000,74582000000.000000,,90.704000,-959000000.000000,2120000000.000000,2120000000.000000,4061000000.000000,738000000.000000,0.902000,0.676000,13201000000.000000,2634000000.000000,10567000000.000000,13201000000.000000,1597000000.000000,1095000000.000000,0.000000,0.017000,0.875000,1030000000.000000,2125000000.000000,0.304000,2125000000.000000,1030000000.000000,1033000000.000000,1.360000,1.350000,1.360000,48953000000.000000,,48953000000.000000,121610329028.000000,,,913000000.000000,1.692000,1.000000,2939000000.000000,0.420000,42097000000.000000,-3000000.000000,42495000000.000000,,1653000000.000000,0.000000,0.000000,0.000000,33086000000.000000,10883000000.000000,22203000000.000000,-569000000.000000,250000000.000000,-679000000.000000,-467000000.000000,-471000000.000000,-1652000000.000000,-709000000.000000,0.000000,1872000000.000000,-77000000.000000,735000000.000000,735000000.000000,735000000.000000,0.000000,3000000.000000,0.105000,2114000000.000000,825000000.000000,3071000000.000000,0.643000,2.258000,,,28460000000.000000,0.000000,205.760000,,,4238000000.000000,16810000000.000000,7000000000.000000,7000000000.000000,44000000.000000,,,,,26000000.000000,850000000.000000,1.000000,537175977.000000,539701000.000000,543979000.000000,12.970000,42297000000.000000,0.000000,298000000.000000,0.000000,78.371000
ARQ,2019-12-31,2020-03-02,2019-12-31,2019-Q4,-1808000000.000000,105605971688.000000,2025-05-02,-4814000000.000000,86612000000.000000,,10352000000.000000,76260000000.000000,,91.452000,-1015000000.000000,2700000000.000000,2700000000.000000,4187000000.000000,538000000.000000,0.851000,0.713000,13956000000.000000,3263000000.000000,10693000000.000000,13956000000.000000,8994000000.000000,1162000000.000000,0.000000,0.018000,0.875000,681000000.000000,1843000000.000000,0.260000,1843000000.000000,681000000.000000,673000000.000000,0.950000,0.940000,0.950000,49074000000.000000,,49074000000.000000,116861971688.000000,38.000000,15.046000,1159000000.000000,2.160000,1.000000,2893000000.000000,0.409000,43156000000.000000,8000000.000000,42552000000.000000,,1697000000.000000,2027000000.000000,0.000000,2027000000.000000,34977000000.000000,12160000000.000000,22817000000.000000,581000000.000000,72000000.000000,-712000000.000000,484000000.000000,-469000000.000000,-700000000.000000,-943000000.000000,0.000000,2174000000.000000,49000000.000000,511000000.000000,511000000.000000,511000000.000000,0.000000,27000000.000000,0.072000,2267000000.000000,626000000.000000,3266000000.000000,0.921000,2.152000,46.217000,46.955000,29064000000.000000,0.000000,198.150000,3.741000,3.798000,4322000000.000000,16842000000.000000,7080000000.000000,7080000000.000000,49000000.000000,,,,,31000000.000000,844000000.000000,1.000000,532959736.000000,536609000.000000,541159000.000000,13.194000,43456000000.000000,0.000000,162000000.000000,370000000.000000,80.983000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,-3977000000.000000,97048995098.000000,2025-05-02,-7388000000.000000,84369000000.000000,,11513000000.000000,72856000000.000000,,84.290000,-803000000.000000,4014000000.000000,4014000000.000000,3843000000.000000,608000000.000000,0.743000,0.829000,16875000000.000000,6854000000.000000,10021000000.000000,16875000000.000000,1854000000.000000,1142000000.000000,0.000000,0.019000,0.963000,762000000.000000,1904000000.000000,0.283000,1904000000.000000,762000000.000000,738000000.000000,1.070000,1.070000,1.070000,44776000000.000000,,44776000000.000000,109909995098.000000,35.000000,14.149000,544000000.000000,1.024000,1.000000,2896000000.000000,0.430000,41412000000.000000,24000000.000000,40328000000.000000,,1689000000.000000,0.000000,0.000000,0.000000,37126000000.000000,15490000000.000000,21636000000.000000,1314000000.000000,190000000.000000,-1815000000.000000,3112000000.000000,-511000000.000000,759000000.000000,-613000000.000000,0.000000,1347000000.000000,-179000000.000000,573000000.000000,573000000.000000,573000000.000000,0.000000,35000000.000000,0.085000,2178000000.000000,718000000.000000,2965000000.000000,0.900000,2.167000,41.456000,42.578000,27418000000.000000,0.000000,184.790000,3.463000,3.503000,4084000000.000000,16850000000.000000,6739000000.000000,6739000000.000000,44000000.000000,,,,,43000000.000000,861000000.000000,1.000000,525185319.000000,531215000.000000,534956000.000000,12.686000,42957000000.000000,0.000000,165000000.000000,0.000000,80.866000
ARQ,2020-06-30,2020-07-31,2020-06-30,2020-Q2,-3022000000.000000,128770997444.000000,2025-05-02,-6621000000.000000,85856000000.000000,,12073000000.000000,73783000000.000000,,86.653000,-783000000.000000,4941000000.000000,4941000000.000000,3619000000.000000,483000000.000000,0.800000,0.833000,17480000000.000000,6402000000.000000,11078000000.000000,17480000000.000000,1693000000.000000,1124000000.000000,0.000000,0.015000,0.963000,640000000.000000,1764000000.000000,0.277000,1764000000.000000,640000000.000000,622000000.000000,0.870000,0.870000,0.870000,45537000000.000000,,45537000000.000000,141309997444.000000,45.000000,18.506000,981000000.000000,1.867000,1.000000,2758000000.000000,0.432000,42084000000.000000,18000000.000000,41216000000.000000,,1715000000.000000,0.000000,0.000000,0.000000,37919000000.000000,15095000000.000000,22824000000.000000,927000000.000000,149000000.000000,12000000.000000,411000000.000000,-506000000.000000,-204000000.000000,-634000000.000000,0.000000,1764000000.000000,1000000.000000,458000000.000000,458000000.000000,458000000.000000,0.000000,25000000.000000,0.072000,2167000000.000000,591000000.000000,2816000000.000000,1.107000,2.828000,56.553000,57.673000,27693000000.000000,0.000000,245.110000,4.735000,4.736000,3994000000.000000,16782000000.000000,6377000000.000000,6377000000.000000,34000000.000000,,,,,32000000.000000,760000000.000000,1.000000,525360032.000000,525510000.000000,529054000.000000,12.135000,43772000000.000000,0.000000,164000000.000000,0.000000,83.294000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,-2527000000.000000,131088207144.000000,2025-05-02,-5973000000.000000,87209000000.000000,,12265000000.000000,74944000000.000000,,87.836000,-787000000.000000,5199000000.000000,5199000000.000000,3835000000.000000,731000000.000000,0.829000,0.836000,17803000000.000000,5844000000.000000,11959000000.000000,17803000000.000000,1714000000.000000,1168000000.000000,0.000000,0.015000,0.963000,1003000000.000000,2171000000.000000,0.317000,2171000000.000000,1003000000.000000,965000000.000000,1.330000,1.320000,1.330000,46175000000.000000,,46175000000.000000,143692207144.000000,47.000000,18.705000,1097000000.000000,2.087000,1.000000,3020000000.000000,0.441000,42970000000.000000,38000000.000000,42051000000.000000,,1733000000.000000,0.000000,0.000000,0.000000,38617000000.000000,14792000000.000000,23825000000.000000,258000000.000000,55000000.000000,-186000000.000000,-188000000.000000,-506000000.000000,-933000000.000000,-732000000.000000,0.000000,1884000000.000000,39000000.000000,700000000.000000,700000000.000000,700000000.000000,0.000000,31000000.000000,0.102000,2022000000.000000,998000000.000000,2903000000.000000,0.724000,2.839000,58.469000,59.185000,27945000000.000000,0.000000,249.760000,4.846000,4.854000,4033000000.000000,16927000000.000000,6855000000.000000,6855000000.000000,36000000.000000,,,,,29000000.000000,770000000.000000,1.000000,524856691.000000,525694000.000000,530415000.000000,13.040000,44239000000.000000,0.000000,265000000.000000,0.000000,84.154000
ARQ,2020-12-31,2021-03-01,2020-12-31,2020-Q4,-2816000000.000000,131488132523.000000,2025-05-02,-4690000000.000000,88229000000.000000,,10924000000.000000,77305000000.000000,,89.831000,-1027000000.000000,3754000000.000000,3754000000.000000,4086000000.000000,804000000.000000,0.795000,0.817000,16154000000.000000,4002000000.000000,12152000000.000000,16154000000.000000,9005000000.000000,1192000000.000000,0.000000,0.015000,0.963000,1058000000.000000,2250000000.000000,0.309000,2250000000.000000,1058000000.000000,1023000000.000000,1.480000,1.450000,1.480000,47317000000.000000,,47317000000.000000,143888132523.000000,42.000000,17.788000,1407000000.000000,2.671000,1.000000,3186000000.000000,0.438000,44385000000.000000,35000000.000000,42504000000.000000,,1729000000.000000,2061000000.000000,0.000000,2061000000.000000,38647000000.000000,13740000000.000000,24907000000.000000,-1445000000.000000,20000000.000000,-421000000.000000,-2022000000.000000,-505000000.000000,-2967000000.000000,-1007000000.000000,0.000000,2434000000.000000,95000000.000000,770000000.000000,770000000.000000,770000000.000000,0.000000,34000000.000000,0.106000,2110000000.000000,1076000000.000000,3095000000.000000,0.651000,2.779000,52.574000,52.945000,28711000000.000000,0.000000,251.490000,4.826000,4.862000,4167000000.000000,17178000000.000000,7272000000.000000,7272000000.000000,38000000.000000,,,,,29000000.000000,802000000.000000,1.000000,522836425.000000,526736000.000000,531157000.000000,13.806000,43844000000.000000,0.000000,253000000.000000,542000000.000000,83.237000
