dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-06-16,2014-12-31,2014-Q4,32707000.000000,,2025-05-07,-1630000.000000,249570000.000000,,81235000.000000,168335000.000000,,-9.056000,,19739000.000000,19739000.000000,,,1.674000,-2.043000,407280000.000000,8000000.000000,399280000.000000,407280000.000000,132000.000000,,0.000000,,0.000000,,,,,,,,,,-239270000.000000,,-239270000.000000,,,,,,1.000000,,,45326000.000000,,543257000.000000,,15582000.000000,0.000000,0.000000,0.000000,488840000.000000,48528000.000000,440312000.000000,,,,,,,,,,,,,,,,,,,15665000.000000,,,,,96014000.000000,,,,,41540000.000000,-344414000.000000,,,,,,,,,,1.000000,26422055.000000,26422055.000000,,,204244000.000000,831000.000000,,399000.000000,7.730000
ARQ,2015-06-30,2015-08-05,2015-06-30,2015-Q2,41445000.000000,208931516.000000,2025-05-07,-2004000.000000,233550000.000000,,78990000.000000,154560000.000000,,-6.337000,,22200000.000000,22200000.000000,40647000.000000,-24423000.000000,2.104000,-2.194000,354577000.000000,3650000.000000,350927000.000000,354577000.000000,0.000000,,0.000000,0.000000,0.000000,-9372000.000000,,,,-9372000.000000,-23248000.000000,-1.290000,-1.290000,-1.290000,-195582000.000000,,-195582000.000000,541308516.000000,,,,,1.000000,32667000.000000,0.446000,41912000.000000,13876000.000000,486470000.000000,,15396000.000000,0.000000,0.000000,0.000000,429132000.000000,37545000.000000,391587000.000000,,,,,,,,,,,-24423000.000000,-24423000.000000,-24423000.000000,0.000000,0.000000,-0.333000,27311000.000000,5356000.000000,14203000.000000,0.000000,-1.068000,,,92867000.000000,0.000000,6.770000,,,36817000.000000,-368462000.000000,73314000.000000,73314000.000000,2638000.000000,,,,,,24673000.000000,1.000000,30861376.000000,30861376.000000,,2.376000,191638000.000000,0.000000,1175000.000000,0.000000,6.210000
ARQ,2015-09-30,2015-11-04,2015-09-30,2015-Q3,49117000.000000,104172370.000000,2025-05-07,-2447000.000000,236132000.000000,,83435000.000000,152697000.000000,,-6.042000,-2307000.000000,21922000.000000,21922000.000000,40418000.000000,5386000.000000,2.431000,-2.242000,354017000.000000,3650000.000000,350367000.000000,354017000.000000,0.000000,4075000.000000,0.000000,0.000000,0.000000,13225000.000000,17300000.000000,0.233000,17300000.000000,13225000.000000,6125000.000000,0.180000,0.180000,0.180000,-190145000.000000,,-190145000.000000,436267370.000000,,,3110000.000000,0.099000,1.000000,33705000.000000,0.455000,40184000.000000,7100000.000000,493725000.000000,,16579000.000000,0.000000,0.000000,0.000000,426277000.000000,34318000.000000,391959000.000000,-278000.000000,0.000000,-1003000.000000,-932000.000000,0.000000,-3014000.000000,-2307000.000000,0.000000,5417000.000000,-374000.000000,5386000.000000,5386000.000000,5386000.000000,0.000000,0.000000,0.073000,20297000.000000,13408000.000000,10700000.000000,0.000000,-0.548000,,,92393000.000000,0.000000,3.310000,,,39724000.000000,-363076000.000000,74123000.000000,74123000.000000,2458000.000000,,,,,591000.000000,17839000.000000,1.000000,31472015.000000,31472015.000000,,2.355000,195948000.000000,0.000000,739000.000000,0.000000,6.226000
ARQ,2015-12-31,2016-03-02,2015-12-31,2015-Q4,54383000.000000,65159706.000000,2025-05-07,-1985000.000000,242379000.000000,,90101000.000000,152278000.000000,,-7.581000,-4732000.000000,28596000.000000,28596000.000000,37820000.000000,3916000.000000,2.523000,-2.308000,353508000.000000,3650000.000000,349858000.000000,353508000.000000,0.000000,3003000.000000,0.000000,0.000000,0.000000,12089000.000000,15092000.000000,0.212000,15092000.000000,12089000.000000,4973000.000000,0.230000,0.230000,0.230000,-185289000.000000,,-185289000.000000,390071706.000000,14.000000,8.373000,7894000.000000,0.323000,1.000000,33381000.000000,0.469000,45347000.000000,7116000.000000,486226000.000000,,15622000.000000,0.000000,0.000000,0.000000,427668000.000000,35718000.000000,391950000.000000,6674000.000000,0.000000,-104000.000000,-931000.000000,0.000000,-1042000.000000,-4732000.000000,0.000000,12626000.000000,-178000.000000,3916000.000000,3916000.000000,3916000.000000,0.000000,0.000000,0.055000,20993000.000000,12388000.000000,11657000.000000,0.000000,-0.352000,-4.419000,-3.450000,86517000.000000,0.000000,2.070000,0.222000,0.172000,37293000.000000,-359160000.000000,71201000.000000,71201000.000000,3066000.000000,,,,,478000.000000,17927000.000000,1.000000,31478119.000000,24439845.000000,,2.913000,197032000.000000,0.000000,1057000.000000,0.000000,8.062000
ARQ,2016-03-31,2016-05-03,2016-03-31,2016-Q1,68559000.000000,63485350.000000,2025-05-07,-1645000.000000,249263000.000000,,100038000.000000,149225000.000000,,-5.324000,7348000.000000,38880000.000000,38880000.000000,42773000.000000,10323000.000000,3.178000,-2.431000,352999000.000000,3650000.000000,349349000.000000,352999000.000000,0.000000,4586000.000000,0.000000,0.000000,0.000000,17731000.000000,22317000.000000,0.292000,22317000.000000,17731000.000000,10713000.000000,0.340000,0.340000,0.340000,-174219000.000000,,-174219000.000000,377604350.000000,11.000000,,11128000.000000,0.340000,1.000000,33701000.000000,0.441000,43564000.000000,7018000.000000,488339000.000000,,15541000.000000,0.000000,0.000000,0.000000,423482000.000000,31479000.000000,392003000.000000,10284000.000000,0.000000,0.000000,-933000.000000,0.000000,-944000.000000,7422000.000000,74000.000000,3780000.000000,26000.000000,10323000.000000,10323000.000000,10323000.000000,0.000000,0.000000,0.135000,16028000.000000,17673000.000000,12984000.000000,0.000000,-0.364000,-13.232000,-3.593000,85324000.000000,0.000000,1.940000,0.215000,0.215000,39896000.000000,-348837000.000000,76474000.000000,76474000.000000,3036000.000000,,,,,407000.000000,18820000.000000,1.000000,32724407.000000,32724407.000000,,2.337000,205699000.000000,0.000000,390000.000000,0.000000,6.286000
ARQ,2016-06-30,2016-08-04,2016-06-30,2016-Q2,78931000.000000,118208418.000000,2025-05-07,-1729000.000000,259267000.000000,,113023000.000000,146244000.000000,,-5.477000,-736000.000000,54851000.000000,54851000.000000,42215000.000000,7350000.000000,3.315000,-2.558000,352488000.000000,3650000.000000,348838000.000000,352488000.000000,0.000000,4772000.000000,0.000000,0.000000,0.000000,14575000.000000,19347000.000000,0.248000,19347000.000000,14575000.000000,7597000.000000,0.240000,0.240000,0.240000,-166368000.000000,,-166368000.000000,415845418.000000,7.000000,5.615000,16899000.000000,0.556000,1.000000,35751000.000000,0.459000,41784000.000000,6978000.000000,481028000.000000,,14433000.000000,0.000000,0.000000,0.000000,425635000.000000,34092000.000000,391543000.000000,15971000.000000,0.000000,0.000000,-928000.000000,0.000000,-928000.000000,-736000.000000,0.000000,17635000.000000,0.000000,7350000.000000,7350000.000000,7350000.000000,0.000000,0.000000,0.094000,21572000.000000,14179000.000000,12778000.000000,0.000000,-0.711000,4.382000,3.929000,84422000.000000,0.000000,3.890000,0.394000,0.394000,39457000.000000,-341487000.000000,77966000.000000,77966000.000000,2608000.000000,,,,,585000.000000,19081000.000000,1.000000,30387768.000000,30377562.000000,30542728.000000,2.567000,217483000.000000,0.000000,247000.000000,0.000000,7.159000
ARQ,2016-09-30,2016-11-01,2016-09-30,2016-Q3,71348000.000000,323309377.000000,2025-05-07,-1060000.000000,254969000.000000,,110465000.000000,144504000.000000,,-3.881000,-1047000.000000,53195000.000000,53195000.000000,39382000.000000,4220000.000000,2.824000,-3.104000,298232000.000000,3650000.000000,294582000.000000,298232000.000000,0.000000,3842000.000000,0.000000,0.000000,0.000000,11026000.000000,14868000.000000,0.203000,14868000.000000,11026000.000000,4240000.000000,0.140000,0.130000,0.140000,-121156000.000000,,-121156000.000000,568346377.000000,10.000000,7.935000,14399000.000000,0.461000,1.000000,33681000.000000,0.461000,39796000.000000,6786000.000000,421093000.000000,,16057000.000000,0.000000,0.000000,0.000000,376125000.000000,39117000.000000,337008000.000000,-1656000.000000,0.000000,41661000.000000,-55929000.000000,0.000000,-16086000.000000,-1047000.000000,0.000000,15446000.000000,31000.000000,4220000.000000,4220000.000000,4220000.000000,0.000000,0.000000,0.058000,21086000.000000,12595000.000000,13617000.000000,0.000000,-2.669000,12.527000,9.526000,84980000.000000,0.000000,9.050000,1.082000,0.946000,34844000.000000,-337267000.000000,73063000.000000,73063000.000000,2849000.000000,,,,,877000.000000,18797000.000000,1.000000,35724793.000000,31220877.000000,32402297.000000,2.340000,215173000.000000,0.000000,20000.000000,0.000000,6.892000
ARQ,2016-12-31,2017-02-23,2016-12-31,2016-Q4,66980000.000000,443923663.000000,2025-05-07,-947000.000000,255898000.000000,,110819000.000000,145079000.000000,,-2.942000,-2358000.000000,51178000.000000,51178000.000000,39703000.000000,4869000.000000,2.528000,-3.402000,278110000.000000,3650000.000000,274460000.000000,278110000.000000,0.000000,5063000.000000,0.000000,0.000000,0.000000,11580000.000000,16643000.000000,0.224000,16643000.000000,11580000.000000,5744000.000000,0.130000,0.110000,0.130000,-106516000.000000,,-106516000.000000,670855663.000000,12.000000,9.168000,10423000.000000,0.288000,1.000000,34647000.000000,0.466000,30832000.000000,5836000.000000,408159000.000000,,17640000.000000,0.000000,0.000000,0.000000,362414000.000000,43839000.000000,318575000.000000,-2017000.000000,0.000000,9470000.000000,-20939000.000000,0.000000,-12259000.000000,-2358000.000000,0.000000,12781000.000000,-181000.000000,4869000.000000,4869000.000000,4869000.000000,0.000000,0.000000,0.065000,22506000.000000,12141000.000000,18940000.000000,0.000000,-4.168000,16.588000,14.345000,94187000.000000,0.000000,12.050000,1.471000,1.279000,36818000.000000,-332398000.000000,74350000.000000,74350000.000000,3710000.000000,,,,,655000.000000,18676000.000000,1.000000,36840138.000000,36202747.000000,37475779.000000,2.054000,225066000.000000,0.000000,875000.000000,0.000000,6.217000
ARQ,2017-03-31,2017-05-02,2017-03-31,2017-Q1,67553000.000000,480698092.000000,2025-05-07,-951000.000000,249563000.000000,,106683000.000000,142880000.000000,,-2.742000,-4564000.000000,40882000.000000,40882000.000000,41597000.000000,4138000.000000,2.726000,-3.467000,269085000.000000,2750000.000000,266335000.000000,269085000.000000,0.000000,6160000.000000,0.000000,0.000000,0.000000,10343000.000000,16503000.000000,0.203000,16503000.000000,10343000.000000,4923000.000000,0.110000,0.110000,0.110000,-101160000.000000,,-101160000.000000,708901092.000000,15.000000,10.524000,960000.000000,0.026000,1.000000,39762000.000000,0.489000,30002000.000000,5420000.000000,408634000.000000,,19790000.000000,0.000000,0.000000,0.000000,350723000.000000,39130000.000000,311593000.000000,-10296000.000000,0.000000,632000.000000,-10238000.000000,0.000000,-11254000.000000,-4564000.000000,0.000000,5524000.000000,-2000.000000,4138000.000000,4138000.000000,4138000.000000,0.000000,0.000000,0.051000,27835000.000000,11927000.000000,17566000.000000,0.000000,-4.752000,23.361000,20.806000,92086000.000000,0.000000,12.900000,1.567000,1.551000,39927000.000000,-328260000.000000,81359000.000000,81359000.000000,5351000.000000,,,,,945000.000000,22484000.000000,1.000000,37263418.000000,36888718.000000,38601356.000000,2.206000,219561000.000000,0.000000,785000.000000,0.000000,5.952000
ARQ,2017-06-30,2017-08-01,2017-06-30,2017-Q2,82559000.000000,696591506.000000,2025-05-07,-971000.000000,267878000.000000,,125623000.000000,142255000.000000,,-2.341000,-2503000.000000,57154000.000000,57154000.000000,42890000.000000,13595000.000000,2.917000,-4.073000,268679000.000000,2750000.000000,265929000.000000,268679000.000000,0.000000,5111000.000000,0.000000,0.000000,0.000000,18449000.000000,23560000.000000,0.265000,23560000.000000,18449000.000000,14164000.000000,0.370000,0.350000,0.370000,-87180000.000000,,-87180000.000000,908116506.000000,18.000000,12.688000,18064000.000000,0.485000,1.000000,45947000.000000,0.517000,29170000.000000,4285000.000000,407169000.000000,,21151000.000000,0.000000,0.000000,0.000000,355058000.000000,43064000.000000,311994000.000000,16272000.000000,0.000000,446000.000000,-714000.000000,0.000000,-1827000.000000,-2503000.000000,0.000000,20567000.000000,35000.000000,13595000.000000,13595000.000000,13595000.000000,0.000000,0.000000,0.153000,28050000.000000,17897000.000000,17674000.000000,0.000000,-7.990000,25.971000,24.867000,91863000.000000,0.000000,18.650000,2.193000,2.186000,43246000.000000,-314665000.000000,88837000.000000,88837000.000000,5244000.000000,,,,,1162000.000000,22806000.000000,1.000000,37350751.000000,37235000.000000,38900000.000000,2.386000,238708000.000000,0.000000,569000.000000,0.000000,6.411000
ARQ,2017-09-30,2017-11-02,2017-09-30,2017-Q3,90524000.000000,847635510.000000,2025-05-07,-1086000.000000,281021000.000000,,136611000.000000,144410000.000000,,-2.084000,-3288000.000000,68077000.000000,68077000.000000,41414000.000000,8526000.000000,2.964000,-4.607000,268273000.000000,2750000.000000,265523000.000000,268273000.000000,0.000000,3748000.000000,0.000000,0.000000,0.000000,13730000.000000,17478000.000000,0.219000,17478000.000000,13730000.000000,9288000.000000,0.230000,0.220000,0.230000,-77916000.000000,,-77916000.000000,1047831510.000000,19.000000,14.125000,12312000.000000,0.329000,1.000000,38527000.000000,0.482000,28359000.000000,4442000.000000,406771000.000000,,23032000.000000,0.000000,0.000000,0.000000,358937000.000000,46087000.000000,312850000.000000,10923000.000000,0.000000,319000.000000,-714000.000000,0.000000,-1519000.000000,-3288000.000000,0.000000,15600000.000000,130000.000000,8526000.000000,8526000.000000,8526000.000000,0.000000,0.000000,0.107000,25705000.000000,12822000.000000,18756000.000000,0.000000,-10.879000,27.231000,26.905000,94516000.000000,0.000000,22.600000,2.612000,2.604000,41713000.000000,-306139000.000000,79941000.000000,79941000.000000,3554000.000000,,,,,1657000.000000,22151000.000000,1.000000,37505996.000000,37393000.000000,39121000.000000,2.138000,252662000.000000,0.000000,762000.000000,0.000000,6.757000
