dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-03-31,2001-06-15,2001-05-04,2002-Q1,1747570000.000000,27890434604.000000,2025-03-24,478000.000000,13059671000.000000,,5469172000.000000,7590499000.000000,,3.753000,-504702000.000000,999953000.000000,999953000.000000,3782836000.000000,225280000.000000,1.470000,1.264000,3443069000.000000,137635000.000000,3305434000.000000,3443069000.000000,0.000000,119495000.000000,0.000000,0.002000,0.009000,398914000.000000,518409000.000000,0.098000,518409000.000000,398914000.000000,357588000.000000,0.147000,0.145000,0.147000,5767862000.000000,,5767862000.000000,30333550604.000000,,,118534000.000000,0.077000,1.000000,1493529000.000000,0.283000,0.000000,41326000.000000,11781185000.000000,,3917667000.000000,70314000.000000,38173000.000000,32141000.000000,7291809000.000000,3721602000.000000,3570207000.000000,544295000.000000,0.000000,29419000.000000,452814000.000000,-13462000.000000,468771000.000000,-547712000.000000,-22713000.000000,623236000.000000,0.000000,225280000.000000,225280000.000000,225280000.000000,0.000000,0.000000,0.043000,1094615000.000000,398914000.000000,2473599000.000000,0.061000,4.835000,,,7421342000.000000,0.000000,18.095000,,,196529000.000000,3730174000.000000,5276365000.000000,5276365000.000000,0.000000,,,,,15463000.000000,939745000.000000,1.000000,1541333772.000000,1536836000.000000,1575020000.000000,3.433000,13059671000.000000,95006000.000000,132308000.000000,261580000.000000,8.498000
ARQ,2001-06-30,2001-09-14,2001-08-03,2002-Q2,1699140000.000000,24631791588.000000,2025-03-24,622000.000000,12867392000.000000,,4845071000.000000,8022321000.000000,,3.987000,-536228000.000000,629293000.000000,629293000.000000,4409018000.000000,329083000.000000,1.540000,1.091000,3435598000.000000,143993000.000000,3291605000.000000,3435598000.000000,0.000000,132044000.000000,0.000000,0.002000,0.010000,564961000.000000,697005000.000000,0.114000,697005000.000000,564961000.000000,522347000.000000,0.215000,0.210000,0.215000,6153254000.000000,,6153254000.000000,27438096588.000000,,,-347099000.000000,-0.225000,1.000000,1717708000.000000,0.280000,0.000000,42614000.000000,12527766000.000000,,3651191000.000000,67393000.000000,36408000.000000,30985000.000000,6714138000.000000,3145931000.000000,3568207000.000000,-370660000.000000,0.000000,38590000.000000,-20002000.000000,-15447000.000000,3141000.000000,-562930000.000000,3144000.000000,189129000.000000,0.000000,329083000.000000,329083000.000000,329083000.000000,0.000000,0.000000,0.054000,1152747000.000000,564961000.000000,1910317000.000000,0.047000,4.003000,,,7829205000.000000,0.000000,15.930000,,,213430000.000000,4043810000.000000,6126726000.000000,6126726000.000000,0.000000,,,,,8675000.000000,999706000.000000,1.000000,1546251826.000000,1543334000.000000,1590174000.000000,3.970000,12867392000.000000,98508000.000000,193264000.000000,273382000.000000,8.337000
ARQ,2001-09-30,2001-12-17,2001-11-02,2002-Q3,2029590000.000000,35502442565.000000,2025-03-24,807000.000000,13531973000.000000,,5061728000.000000,8470245000.000000,,4.150000,-598760000.000000,610543000.000000,610543000.000000,3863645000.000000,250497000.000000,1.669000,1.108000,3837471000.000000,50333000.000000,3787138000.000000,3837471000.000000,0.000000,138324000.000000,0.000000,0.002000,0.010000,441033000.000000,579357000.000000,0.106000,579357000.000000,441033000.000000,397614000.000000,0.160000,0.160000,0.160000,6419320000.000000,,6419320000.000000,38729370565.000000,,,-433540000.000000,-0.280000,1.000000,1590889000.000000,0.292000,0.000000,43419000.000000,13726763000.000000,,3905859000.000000,50643000.000000,24767000.000000,25876000.000000,7112653000.000000,3032138000.000000,4080515000.000000,-18750000.000000,0.000000,4829000.000000,392994000.000000,-15468000.000000,382355000.000000,-566325000.000000,17035000.000000,165220000.000000,0.000000,250497000.000000,250497000.000000,250497000.000000,0.000000,0.000000,0.046000,1149856000.000000,441033000.000000,1895822000.000000,0.062000,5.531000,,,8279838000.000000,0.000000,22.925000,,,197771000.000000,4278839000.000000,5454534000.000000,5454534000.000000,0.000000,,,,,1714000.000000,973036000.000000,1.000000,1548634354.000000,1546702000.000000,1591278000.000000,3.527000,13531973000.000000,93210000.000000,147117000.000000,290129000.000000,8.749000
ARQ,2001-12-31,2002-04-26,2002-02-01,2002-Q4,1903562000.000000,33300384291.000000,2025-03-24,690000.000000,13736219000.000000,,4920392000.000000,8815827000.000000,,4.296000,-517861000.000000,798839000.000000,798839000.000000,3687768000.000000,218402000.000000,1.631000,1.058000,3893270000.000000,159259000.000000,3734011000.000000,3893270000.000000,0.000000,144239000.000000,0.000000,0.002000,0.010000,392880000.000000,537119000.000000,0.102000,537119000.000000,392880000.000000,346702000.000000,0.145000,0.140000,0.145000,6674442000.000000,,6674442000.000000,36394815291.000000,20.000000,15.607000,117603000.000000,0.076000,1.000000,1565715000.000000,0.298000,0.000000,46178000.000000,13813820000.000000,,3610776000.000000,76049000.000000,54389000.000000,21660000.000000,7061777000.000000,3016830000.000000,4044947000.000000,188296000.000000,0.000000,43032000.000000,47674000.000000,-15507000.000000,75199000.000000,-522367000.000000,-25588000.000000,635464000.000000,0.000000,218402000.000000,218402000.000000,218402000.000000,0.000000,0.000000,0.042000,1172835000.000000,392880000.000000,1714776000.000000,0.069000,4.989000,32.543000,32.233000,8653439000.000000,0.000000,21.435000,1.506000,1.506000,165578000.000000,4481734000.000000,5253483000.000000,5253483000.000000,0.000000,,,,,9167000.000000,1000868000.000000,1.000000,1553551868.000000,1553551868.000000,,3.382000,13736219000.000000,92504000.000000,128300000.000000,304697000.000000,8.842000
ARQ,2002-03-31,2002-06-13,2002-05-03,2003-Q1,1943598000.000000,36429658795.000000,2025-03-24,537000.000000,15610540000.000000,,6441094000.000000,9169446000.000000,,4.544000,-497169000.000000,1475579000.000000,1475579000.000000,4547875000.000000,345811000.000000,1.432000,1.212000,3895441000.000000,159790000.000000,3735651000.000000,3895441000.000000,0.000000,149929000.000000,0.000000,0.002000,0.010000,599405000.000000,749334000.000000,0.116000,749334000.000000,599405000.000000,552414000.000000,0.225000,0.220000,0.225000,7057092000.000000,,7057092000.000000,38849520795.000000,19.000000,15.159000,676079000.000000,0.435000,1.000000,1922722000.000000,0.297000,0.000000,46991000.000000,13532906000.000000,,4360056000.000000,67441000.000000,48271000.000000,19170000.000000,8553448000.000000,4497496000.000000,4055952000.000000,676740000.000000,0.000000,23537000.000000,-6707000.000000,-15544000.000000,1286000.000000,-497794000.000000,8373000.000000,1173248000.000000,0.000000,345811000.000000,345811000.000000,345811000.000000,0.000000,0.000000,0.053000,1323317000.000000,599405000.000000,2740446000.000000,0.044000,5.162000,31.850000,31.416000,8991813000.000000,0.000000,23.405000,1.563000,1.560000,192567000.000000,4812001000.000000,6470597000.000000,6470597000.000000,0.000000,,,,,6269000.000000,1141096000.000000,1.000000,1556490442.000000,1553026000.000000,1596184000.000000,4.166000,15610540000.000000,97543000.000000,206603000.000000,313567000.000000,10.052000
ARQ,2002-06-30,2002-09-13,2002-08-02,2003-Q2,2243618000.000000,35094577027.000000,2025-03-24,546000.000000,15426617000.000000,,6011218000.000000,9415399000.000000,,4.880000,-397593000.000000,1486765000.000000,1486765000.000000,5285624000.000000,467072000.000000,1.596000,1.029000,3827357000.000000,94337000.000000,3733020000.000000,3827357000.000000,0.000000,157859000.000000,0.000000,0.002000,0.010000,792445000.000000,950304000.000000,0.127000,950304000.000000,792445000.000000,746122000.000000,0.300000,0.295000,0.300000,7602762000.000000,,7602762000.000000,37435169027.000000,17.000000,13.293000,57260000.000000,0.037000,1.000000,2202038000.000000,0.294000,0.000000,46323000.000000,13999609000.000000,,3986716000.000000,61808000.000000,47903000.000000,13905000.000000,7823855000.000000,3767600000.000000,4056255000.000000,11186000.000000,0.000000,43898000.000000,-72634000.000000,-15595000.000000,-44331000.000000,-399336000.000000,5647000.000000,454853000.000000,0.000000,467072000.000000,467072000.000000,467072000.000000,0.000000,0.000000,0.062000,1409593000.000000,792445000.000000,2105604000.000000,0.033000,4.616000,27.380000,27.090000,9259748000.000000,0.000000,22.485000,1.423000,1.420000,200803000.000000,5263478000.000000,7487662000.000000,7487662000.000000,0.000000,,,,,6480000.000000,1232899000.000000,1.000000,1560799512.000000,1557856000.000000,1600022000.000000,4.806000,15426617000.000000,106151000.000000,279050000.000000,312318000.000000,9.902000
ARQ,2002-09-30,2002-12-10,2002-11-01,2003-Q3,2237452000.000000,31706323639.000000,2025-03-24,446000.000000,15811202000.000000,,6024238000.000000,9786964000.000000,,5.098000,-525828000.000000,1305371000.000000,1305371000.000000,4449596000.000000,339214000.000000,1.591000,0.987000,3828033000.000000,89062000.000000,3738971000.000000,3828033000.000000,0.000000,163845000.000000,0.000000,0.002000,0.010000,585716000.000000,749561000.000000,0.117000,749561000.000000,585716000.000000,541877000.000000,0.220000,0.215000,0.220000,7957665000.000000,,7957665000.000000,34228985639.000000,14.000000,11.462000,-118944000.000000,-0.076000,1.000000,1965216000.000000,0.306000,0.000000,43839000.000000,14547078000.000000,,4150533000.000000,101283000.000000,91511000.000000,9772000.000000,7853537000.000000,3786786000.000000,4066751000.000000,-181394000.000000,0.000000,13610000.000000,-15190000.000000,-15617000.000000,-17197000.000000,-571081000.000000,-39630000.000000,406884000.000000,0.000000,339214000.000000,339214000.000000,339214000.000000,0.000000,0.000000,0.053000,1379500000.000000,585716000.000000,2046204000.000000,0.045000,3.984000,23.135000,22.809000,9647546000.000000,0.000000,20.300000,1.237000,1.237000,186851000.000000,5587075000.000000,6414812000.000000,6414812000.000000,0.000000,,,,,7297000.000000,1192670000.000000,1.000000,1561887864.000000,1561060000.000000,1601892000.000000,4.109000,15811202000.000000,110153000.000000,202663000.000000,318440000.000000,10.129000
ARQ,2002-12-31,2003-04-15,2003-01-31,2003-Q4,1990000000.000000,35426242766.000000,2025-03-24,1000000.000000,16109000000.000000,,5568000000.000000,10541000000.000000,,5.323000,-897410000.000000,853000000.000000,853000000.000000,4181905000.000000,318903000.000000,1.556000,0.940000,3815000000.000000,79000000.000000,3736000000.000000,3815000000.000000,0.000000,173367000.000000,0.000000,0.002000,0.013000,563434000.000000,736801000.000000,0.120000,736801000.000000,563434000.000000,518587000.000000,0.205000,0.200000,0.205000,8302000000.000000,,8302000000.000000,38388242766.000000,15.000000,12.049000,-236395000.000000,-0.152000,1.000000,1936024000.000000,0.316000,0.000000,44847000.000000,15493000000.000000,,3968000000.000000,302000000.000000,273000000.000000,29000000.000000,7807000000.000000,3578000000.000000,4229000000.000000,-452532000.000000,0.000000,33955000.000000,-18469000.000000,-19244000.000000,-3758000.000000,-1109789000.000000,-201390000.000000,661015000.000000,0.000000,318903000.000000,318903000.000000,318903000.000000,0.000000,0.000000,0.052000,1372590000.000000,563434000.000000,1943000000.000000,0.063000,4.267000,24.083000,24.037000,10352000000.000000,0.000000,22.715000,1.337000,1.337000,172000000.000000,5887000000.000000,6117929000.000000,6117929000.000000,0.000000,,,,,8954000.000000,1163335000.000000,1.000000,1559596864.000000,1559596864.000000,,3.923000,16109000000.000000,58000000.000000,199684000.000000,478000000.000000,10.329000
ARQ,2003-03-31,2003-06-13,2003-05-02,2004-Q1,2138000000.000000,34592453695.000000,2025-03-24,0.000000,17900000000.000000,,7053000000.000000,10847000000.000000,,5.578000,-373000000.000000,1600000000.000000,1600000000.000000,4973000000.000000,421000000.000000,1.435000,1.049000,3813000000.000000,80000000.000000,3733000000.000000,3813000000.000000,0.000000,184000000.000000,0.000000,0.002000,0.013000,725000000.000000,909000000.000000,0.126000,909000000.000000,725000000.000000,677000000.000000,0.270000,0.265000,0.270000,8735000000.000000,,8735000000.000000,36805453695.000000,14.000000,11.001000,673000000.000000,0.430000,1.000000,2238000000.000000,0.310000,0.000000,48000000.000000,15198000000.000000,,4864000000.000000,209000000.000000,77000000.000000,132000000.000000,9165000000.000000,4915000000.000000,4250000000.000000,747000000.000000,0.000000,28000000.000000,-7000000.000000,-20000000.000000,1000000.000000,-300000000.000000,89000000.000000,1046000000.000000,0.000000,421000000.000000,421000000.000000,421000000.000000,0.000000,0.000000,0.058000,1513000000.000000,725000000.000000,3069000000.000000,0.048000,3.960000,22.373000,22.186000,10545000000.000000,0.000000,22.075000,1.270000,1.269000,189000000.000000,6288000000.000000,7211000000.000000,7211000000.000000,0.000000,,,,,9000000.000000,1314000000.000000,1.000000,1567042070.000000,1566000000.000000,1604000000.000000,4.605000,17900000000.000000,72000000.000000,256000000.000000,499000000.000000,11.430000
ARQ,2003-06-30,2003-09-12,2003-08-01,2004-Q2,2358000000.000000,40427046850.000000,2025-03-24,0.000000,18074000000.000000,,6831000000.000000,11243000000.000000,,5.978000,-593000000.000000,1550000000.000000,1550000000.000000,6126000000.000000,597000000.000000,1.527000,0.928000,3757000000.000000,73000000.000000,3684000000.000000,3757000000.000000,0.000000,189000000.000000,0.000000,0.002000,0.013000,1004000000.000000,1193000000.000000,0.136000,1193000000.000000,1004000000.000000,959000000.000000,0.380000,0.375000,0.380000,9373000000.000000,,9373000000.000000,42634046850.000000,15.000000,11.881000,41000000.000000,0.026000,1.000000,2647000000.000000,0.302000,0.000000,45000000.000000,15808000000.000000,,4652000000.000000,253000000.000000,137000000.000000,116000000.000000,8701000000.000000,4473000000.000000,4228000000.000000,-50000000.000000,0.000000,45000000.000000,-60000000.000000,-19000000.000000,-34000000.000000,-650000000.000000,-45000000.000000,634000000.000000,0.000000,597000000.000000,597000000.000000,597000000.000000,0.000000,0.000000,0.068000,1643000000.000000,1004000000.000000,2612000000.000000,0.034000,4.313000,24.119000,23.930000,10955000000.000000,0.000000,25.725000,1.418000,1.414000,199000000.000000,6865000000.000000,8773000000.000000,8773000000.000000,0.000000,,,,,16000000.000000,1431000000.000000,1.000000,1571508138.000000,1568000000.000000,1608000000.000000,5.595000,18074000000.000000,67000000.000000,362000000.000000,524000000.000000,11.527000
