dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-12-31,2016-09-26,2015-12-31,2015-Q4,26638000.000000,,2025-05-14,0.000000,28149000.000000,,27917000.000000,232000.000000,,28.608000,,20966000.000000,20966000.000000,,,21.827000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,26870000.000000,,26870000.000000,,,,,,1.000000,,,0.000000,,5904000.000000,,0.000000,6607000.000000,6607000.000000,0.000000,1279000.000000,1279000.000000,0.000000,,,,,,,,,,,,,,,,,,,1279000.000000,,,,,232000.000000,,,,,344000.000000,-89301000.000000,,,,,,,,,,1.000000,939241.000000,939241.000000,,,28149000.000000,0.000000,,0.000000,29.970000
ARQ,2015-12-31,2016-11-02,2015-12-31,2015-Q4,26638000.000000,,2025-05-14,0.000000,28149000.000000,,27917000.000000,232000.000000,,28.608000,,20966000.000000,20966000.000000,,,21.827000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,26870000.000000,,26870000.000000,,,,,,1.000000,,,0.000000,,5904000.000000,,0.000000,6607000.000000,6607000.000000,0.000000,1279000.000000,1279000.000000,0.000000,,,,,,,,,,,,,,,,,,,1279000.000000,,,,,232000.000000,,,,,344000.000000,-89301000.000000,,,,,,,,,,1.000000,939241.000000,939241.000000,,,28149000.000000,0.000000,,0.000000,29.970000
ARQ,2015-12-31,2016-11-16,2015-12-31,2015-Q4,26638000.000000,,2025-05-14,0.000000,28149000.000000,,27917000.000000,232000.000000,,28.608000,,20966000.000000,20966000.000000,,,21.827000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,26870000.000000,,26870000.000000,,,,,,1.000000,,,0.000000,,5904000.000000,,0.000000,6607000.000000,6607000.000000,0.000000,1279000.000000,1279000.000000,0.000000,,,,,,,,,,,,,,,,,,,1279000.000000,,,,,232000.000000,,,,,344000.000000,-89301000.000000,,,,,,,,,,1.000000,939241.000000,939241.000000,,,28149000.000000,0.000000,,0.000000,29.970000
ARQ,2015-12-31,2016-11-22,2015-12-31,2015-Q4,26638000.000000,,2025-05-14,0.000000,28149000.000000,,27917000.000000,232000.000000,,28.608000,,20966000.000000,20966000.000000,,,21.827000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,26870000.000000,,26870000.000000,,,,,,1.000000,,,0.000000,,5904000.000000,,0.000000,6607000.000000,6607000.000000,0.000000,1279000.000000,1279000.000000,0.000000,,,,,,,,,,,,,,,,,,,1279000.000000,,,,,232000.000000,,,,,344000.000000,-89301000.000000,,,,,,,,,,1.000000,939241.000000,939241.000000,,,28149000.000000,0.000000,,0.000000,29.970000
ARQ,2016-12-31,2017-03-31,2016-12-31,2016-Q4,-32128000.000000,86222361.000000,2025-05-14,294000.000000,6457000.000000,,4029000.000000,2428000.000000,,-106.715000,,793000.000000,793000.000000,,,0.111000,-1.064000,30274000.000000,30274000.000000,0.000000,30274000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-100231000.000000,,-100231000.000000,115703361.000000,-5.000000,-4.747000,,,1.000000,,,0.000000,,-219000.000000,,0.000000,0.000000,0.000000,0.000000,106688000.000000,36157000.000000,70531000.000000,,,,,,,,,,,,,,,,,,,3225000.000000,,-0.860000,-3.364000,,119000.000000,,91.800000,,,3053000.000000,-100670000.000000,,,,,,,,,,1.000000,939241.000000,939241.000000,,,6457000.000000,0.000000,,0.000000,6.875000
ARQ,2017-03-31,2017-05-12,2017-03-31,2017-Q1,22674000.000000,67832014.000000,2025-05-14,-105000.000000,28779000.000000,,27286000.000000,1493000.000000,,34.795000,-65000.000000,23800000.000000,23800000.000000,0.000000,-9414000.000000,5.916000,0.191000,0.000000,0.000000,0.000000,0.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,-9293000.000000,-9268000.000000,,-9268000.000000,-9293000.000000,-9414000.000000,-13.900000,-13.900000,-13.900000,24167000.000000,,24167000.000000,44032014.000000,,,-6414000.000000,-9.235000,1.000000,0.000000,,0.000000,121000.000000,367000.000000,,0.000000,0.000000,0.000000,0.000000,4612000.000000,4612000.000000,0.000000,23007000.000000,0.000000,31165000.000000,750000.000000,0.000000,29848000.000000,-65000.000000,0.000000,-6349000.000000,-427000.000000,-9414000.000000,-9658000.000000,-9658000.000000,0.000000,0.000000,,10208000.000000,-10208000.000000,2793000.000000,0.000000,2.807000,,,159000.000000,244000.000000,72.220000,,,3564000.000000,-110084000.000000,0.000000,0.000000,6404000.000000,,,,,3623000.000000,3804000.000000,1.000000,939241.000000,694562.000000,694562.000000,0.000000,28779000.000000,0.000000,0.000000,0.000000,41.435000
ARQ,2017-06-30,2017-08-11,2017-06-30,2017-Q2,16348000.000000,57293501.000000,2025-05-14,331000.000000,22726000.000000,,20723000.000000,2003000.000000,,19.539000,-1000.000000,17171000.000000,17171000.000000,0.000000,-6905000.000000,4.737000,0.238000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6905000.000000,-6905000.000000,,-6905000.000000,-6905000.000000,-6905000.000000,-7.400000,-7.400000,-7.400000,18351000.000000,,18351000.000000,40122501.000000,,,-7063000.000000,-7.520000,1.000000,0.000000,,0.000000,0.000000,1180000.000000,,0.000000,0.000000,0.000000,0.000000,4375000.000000,4375000.000000,0.000000,-6629000.000000,0.000000,20000.000000,0.000000,0.000000,20000.000000,-1000.000000,0.000000,-7062000.000000,414000.000000,-6905000.000000,-6905000.000000,-6905000.000000,0.000000,0.000000,,7016000.000000,-7016000.000000,3088000.000000,0.000000,3.122000,,,160000.000000,0.000000,60.977000,,,4076000.000000,-116989000.000000,0.000000,0.000000,4881000.000000,,,,,633000.000000,2135000.000000,1.000000,939592.000000,939208.000000,939208.000000,0.000000,22726000.000000,0.000000,0.000000,0.000000,24.197000
ARQ,2017-09-30,2017-11-13,2017-09-30,2017-Q3,10507000.000000,58724500.000000,2025-05-14,-269000.000000,17579000.000000,,16501000.000000,1078000.000000,,12.330000,2000.000000,14203000.000000,14203000.000000,0.000000,-6815000.000000,2.753000,0.517000,0.000000,0.000000,0.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0.000000,-6834000.000000,-6824000.000000,,-6824000.000000,-6834000.000000,-6815000.000000,-7.300000,-7.300000,-7.300000,11585000.000000,,11585000.000000,44521500.000000,,,-2355000.000000,-2.506000,1.000000,0.000000,,0.000000,-19000.000000,-2618000.000000,,0.000000,0.000000,0.000000,0.000000,5994000.000000,5994000.000000,0.000000,-2968000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,0.000000,-2357000.000000,-613000.000000,-6815000.000000,-6815000.000000,-6815000.000000,0.000000,0.000000,,8582000.000000,-8582000.000000,2598000.000000,0.000000,5.069000,,,148000.000000,0.000000,62.500000,,,1894000.000000,-123804000.000000,0.000000,0.000000,6802000.000000,,,,,649000.000000,1780000.000000,1.000000,939592.000000,939592.000000,939592.000000,0.000000,17579000.000000,0.000000,0.000000,0.000000,18.709000
ARQ,2017-12-31,2018-02-23,2017-12-31,2017-Q4,21575000.000000,81412952.000000,2025-05-14,-268000.000000,29062000.000000,,27658000.000000,1404000.000000,,10.205000,0.000000,25737000.000000,25737000.000000,0.000000,-6593000.000000,4.547000,1.614000,0.000000,0.000000,0.000000,0.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-6632000.000000,-6619000.000000,,-6619000.000000,-6632000.000000,-6750000.000000,-5.500000,-5.900000,-5.500000,11117000.000000,,11117000.000000,55675952.000000,-2.000000,-1.874000,-6369000.000000,-5.846000,1.000000,0.000000,,0.000000,118000.000000,-2758000.000000,,0.000000,0.000000,0.000000,0.000000,17945000.000000,6083000.000000,11862000.000000,11534000.000000,0.000000,18000000.000000,0.000000,0.000000,17895000.000000,0.000000,0.000000,-6369000.000000,8000.000000,-6593000.000000,-6593000.000000,-6593000.000000,0.000000,0.000000,,6546000.000000,-6546000.000000,2622000.000000,0.000000,7.323000,-2.716000,-2.015000,135000.000000,0.000000,65.900000,,,1744000.000000,-130397000.000000,0.000000,0.000000,4416000.000000,,,,,695000.000000,2130000.000000,1.000000,1235401.000000,1089370.000000,1100067.000000,0.000000,29062000.000000,158000.000000,-157000.000000,0.000000,26.678000
ARQ,2018-03-31,2018-05-11,2018-03-31,2018-Q1,30818000.000000,109079053.000000,2025-05-14,-158000.000000,38686000.000000,,36663000.000000,2023000.000000,,12.955000,0.000000,35376000.000000,35376000.000000,0.000000,-10622000.000000,6.273000,1.399000,0.000000,0.000000,0.000000,0.000000,0.000000,12000.000000,0.000000,0.000000,0.000000,-10616000.000000,-10604000.000000,,-10604000.000000,-10616000.000000,-10622000.000000,-8.500000,-8.500000,-8.500000,16128000.000000,,16128000.000000,73703053.000000,-2.000000,-2.381000,-5478000.000000,-4.400000,1.000000,0.000000,,0.000000,6000.000000,-2535000.000000,,0.000000,0.000000,0.000000,0.000000,22558000.000000,5845000.000000,16713000.000000,9639000.000000,0.000000,15033000.000000,0.000000,0.000000,15005000.000000,0.000000,0.000000,-5478000.000000,112000.000000,-10622000.000000,-10622000.000000,-10622000.000000,0.000000,0.000000,,6344000.000000,-6344000.000000,4130000.000000,0.000000,6.763000,-3.526000,-2.585000,123000.000000,0.000000,74.200000,,,1630000.000000,-141019000.000000,0.000000,0.000000,4231000.000000,,,,,728000.000000,2113000.000000,1.000000,1470068.000000,1244942.000000,1244942.000000,0.000000,38686000.000000,157000.000000,0.000000,0.000000,31.075000
