dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-06-30,2021-08-20,2021-06-30,2021-Q2,,,2025-05-14,0.000000,480056.000000,,,,,0.000000,,0.000000,0.000000,,,,92.908000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5112.000000,,5112.000000,,,,,,1.000000,,,0.000000,,5112.000000,,0.000000,0.000000,,,474944.000000,474944.000000,0.000000,,,,,,,,,,,,,,,,,,,170506.000000,,,,,0.000000,,,,,0.000000,-19888.000000,,,,,,,,,,1.000000,37500000.000000,37500000.000000,,,480056.000000,0.000000,,0.000000,0.013000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,1022217.000000,408065625.000000,2025-05-14,0.000000,301553137.000000,,1113717.000000,300439420.000000,,0.494000,,636787.000000,636787.000000,0.000000,-21537.000000,12.172000,2.192000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-21537.000000,,,,-21537.000000,-21537.000000,0.000000,0.000000,0.000000,4831527.000000,,4831527.000000,407428838.000000,,,,,1.000000,0.000000,,0.000000,0.000000,300824850.000000,,0.000000,300000200.000000,0.000000,300000200.000000,10591500.000000,91500.000000,10500000.000000,,,,,,,,,,,-21537.000000,-21537.000000,-21537.000000,0.000000,0.000000,,21737.000000,-21737.000000,4500.000000,,84.459000,,,0.000000,0.000000,9.900000,,,0.000000,-41425.000000,0.000000,0.000000,0.000000,,,,,,21737.000000,1.000000,41218750.000000,9782609.000000,9782609.000000,0.000000,301553137.000000,0.000000,0.000000,0.000000,30.825000
ARQ,2021-12-31,2022-04-14,2021-12-31,2021-Q4,615689.000000,397760938.000000,2025-05-14,0.000000,330916972.000000,,835142.000000,330081830.000000,,0.195000,,359610.000000,359610.000000,0.000000,-274086.000000,3.806000,3.590000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-274086.000000,,,,-274086.000000,-274086.000000,-0.010000,-0.010000,-0.010000,3276159.000000,,3276159.000000,397401328.000000,-1260.000000,-1259.548000,,,1.000000,0.000000,,0.000000,0.000000,330337909.000000,,0.000000,329755798.000000,0.000000,329755798.000000,11760703.000000,219453.000000,11541250.000000,,,,,,,,,,,-274086.000000,-274086.000000,-274086.000000,0.000000,0.000000,,449716.000000,-449716.000000,1032.000000,0.000000,121.411000,-1260.688000,-482.500000,0.000000,0.000000,9.650000,,,0.000000,-315511.000000,0.000000,0.000000,0.000000,,,,,,449716.000000,1.000000,41218750.000000,16808260.000000,16808260.000000,0.000000,330916972.000000,0.000000,0.000000,0.000000,19.688000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,378548.000000,396936563.000000,2025-05-14,0.000000,330673683.000000,,675167.000000,329998516.000000,,0.072000,0.000000,163783.000000,163783.000000,0.000000,-320455.000000,2.276000,4.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-320455.000000,-320455.000000,,-320455.000000,-320455.000000,-320455.000000,-0.010000,-0.010000,-0.010000,2955704.000000,,2955704.000000,396772780.000000,,,-195827.000000,-0.005000,1.000000,0.000000,,0.000000,0.000000,330213281.000000,,0.000000,329783212.000000,0.000000,329783212.000000,11837869.000000,296619.000000,11541250.000000,-195827.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-195827.000000,0.000000,-320455.000000,-320455.000000,-320455.000000,0.000000,0.000000,,347869.000000,-347869.000000,0.000000,0.000000,134.295000,,,0.000000,0.000000,9.630000,,,0.000000,-635966.000000,0.000000,0.000000,0.000000,,,,,0.000000,347869.000000,1.000000,41218750.000000,41218750.000000,41218750.000000,0.000000,330673683.000000,0.000000,0.000000,0.000000,8.022000
ARQ,2022-06-30,2022-08-12,2022-06-30,2022-Q2,-86518.000000,401470625.000000,2025-05-14,0.000000,330843945.000000,,489043.000000,330354902.000000,,0.057000,0.000000,2632.000000,2632.000000,0.000000,-108680.000000,0.850000,5.166000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-108680.000000,-108680.000000,,-108680.000000,-108680.000000,-108680.000000,0.000000,0.000000,0.000000,2345468.000000,,2345468.000000,401467993.000000,-554.000000,-553.934000,-161151.000000,-0.004000,1.000000,0.000000,,0.000000,0.000000,330265752.000000,,0.000000,330251556.000000,0.000000,330251556.000000,12116811.000000,575561.000000,11541250.000000,-161151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-161151.000000,0.000000,-108680.000000,-108680.000000,-108680.000000,0.000000,0.000000,,577024.000000,-577024.000000,27500.000000,,171.169000,-553.937000,-487.000000,0.000000,0.000000,9.740000,,,0.000000,-744646.000000,0.000000,0.000000,0.000000,,,,,0.000000,577024.000000,1.000000,41218750.000000,41218750.000000,41218750.000000,0.000000,330843945.000000,0.000000,0.000000,0.000000,8.027000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,-1995115.000000,406829062.000000,2025-05-14,0.000000,332219900.000000,,477289.000000,331742611.000000,,0.008000,0.000000,19442.000000,19442.000000,0.000000,-520888.000000,0.193000,42.017000,125000.000000,125000.000000,0.000000,125000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-520888.000000,-520888.000000,,-520888.000000,-520888.000000,-520888.000000,-0.010000,-0.010000,-0.010000,333525.000000,,333525.000000,406934620.000000,-332.000000,,-108190.000000,-0.003000,1.000000,0.000000,,0.000000,0.000000,329853054.000000,,0.000000,331742611.000000,0.000000,331742611.000000,14013654.000000,2472404.000000,11541250.000000,16810.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-108190.000000,0.000000,-520888.000000,-520888.000000,-520888.000000,0.000000,0.000000,,2011943.000000,-2011943.000000,110000.000000,0.000000,1219.786000,-332.347000,-329.000000,0.000000,0.000000,9.870000,,,0.000000,-1265534.000000,0.000000,0.000000,0.000000,,,,,0.000000,2011943.000000,1.000000,41218750.000000,41218750.000000,41218750.000000,0.000000,332219900.000000,0.000000,0.000000,0.000000,8.060000
ARQ,2022-09-30,2023-01-20,2022-09-30,2022-Q3,-45896000.000000,436023441.000000,2025-05-14,0.000000,60898000.000000,,41756000.000000,19142000.000000,,-0.574000,0.000000,9014000.000000,9014000.000000,54688000.000000,-18398865.000000,0.476000,-1.866000,40866000.000000,8710000.000000,32156000.000000,40866000.000000,0.000000,783000.000000,0.000000,0.000000,0.000000,-17900865.000000,-17117865.000000,-0.357000,-17117865.000000,-17900865.000000,-18423865.000000,-0.140000,-0.140000,-0.140000,-70287000.000000,,-70287000.000000,467875441.000000,-9.000000,-8.987000,-28001022.000000,-0.229000,1.000000,-6729000.000000,-0.140000,0.000000,523000.000000,5098000.000000,,0.000000,0.000000,0.000000,0.000000,131185000.000000,87652000.000000,43533000.000000,-19980022.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-28001022.000000,0.000000,-18398865.000000,-18398865.000000,-18398865.000000,0.000000,0.000000,-0.384000,10862107.000000,-17591107.000000,8547000.000000,0.000000,-6.203000,-8.013000,-23.372000,19142000.000000,0.000000,10.050000,3.618000,10.216000,13710000.000000,-85010000.000000,47959000.000000,47959000.000000,0.000000,,,,,385000.000000,10079107.000000,1.000000,43385417.000000,122500108.000000,122500108.000000,0.392000,60898000.000000,0.000000,-25000.000000,0.000000,0.497000
ARQ,2022-12-31,2023-03-31,2022-12-31,2022-Q4,-54188000.000000,909063616.000000,2025-05-14,0.000000,67004000.000000,,40992000.000000,26012000.000000,,0.080000,-4255000.000000,25826000.000000,25826000.000000,20825000.000000,12423000.000000,0.431000,12.733000,44078000.000000,16823000.000000,27255000.000000,44078000.000000,0.000000,289000.000000,0.000000,0.000000,0.000000,12738000.000000,13027000.000000,0.343000,13027000.000000,12738000.000000,12425000.000000,0.100000,0.100000,0.100000,9787413.000000,,9787413.000000,927315616.000000,-166.000000,-205.158000,24887000.000000,0.203000,1.000000,17162000.000000,0.452000,0.000000,313000.000000,-9924000.000000,,0.000000,334589588.000000,0.000000,334589588.000000,124623000.000000,95180000.000000,29443000.000000,16812000.000000,0.000000,6000.000000,-8081000.000000,0.000000,-8075000.000000,-4255000.000000,0.000000,29142000.000000,0.000000,12423000.000000,12423000.000000,12423000.000000,0.000000,0.000000,0.327000,4153000.000000,13009000.000000,6523000.000000,0.000000,92.881000,-141.930000,-216.000000,26005000.000000,0.000000,10.800000,10.577000,15.394000,1302000.000000,-72587000.000000,37987000.000000,37987000.000000,0.000000,,,,,239000.000000,3864000.000000,1.000000,84172557.000000,122504640.000000,122504640.000000,0.310000,67004000.000000,7000.000000,2000.000000,0.000000,0.547000
ARQ,2023-03-31,2023-05-15,2023-03-31,2023-Q1,-42453000.000000,619023531.000000,2025-05-14,0.000000,99706000.000000,,65603000.000000,34103000.000000,,-58.021000,-8565000.000000,46863000.000000,46863000.000000,23126000.000000,-23447000.000000,0.607000,-0.250000,25627000.000000,16856000.000000,8771000.000000,25627000.000000,0.000000,296000.000000,0.000000,0.000000,0.000000,-5866000.000000,-5570000.000000,-0.305000,-5570000.000000,-5866000.000000,-6145000.000000,-0.640000,-0.640000,-0.640000,-883328000.000000,,-883328000.000000,597787531.000000,-54.000000,-61.189000,-27231000.000000,-1.789000,1.000000,-4890000.000000,-0.268000,0.000000,279000.000000,-29586000.000000,,0.000000,0.000000,0.000000,0.000000,220851000.000000,108056000.000000,112795000.000000,21037000.000000,0.000000,22000.000000,0.000000,0.000000,48268000.000000,-8565000.000000,0.000000,-18666000.000000,0.000000,-9360000.000000,-9688000.000000,-9688000.000000,0.000000,-14087000.000000,-0.531000,9073000.000000,-13963000.000000,18874000.000000,0.000000,-0.701000,-39.247000,-10.824000,34096000.000000,328000.000000,7.360000,5.942000,1.076000,2308000.000000,-870511000.000000,18236000.000000,18236000.000000,0.000000,,,,,207000.000000,8777000.000000,1.000000,84106458.000000,15224378.000000,15224378.000000,1.198000,99706000.000000,7000.000000,3215000.000000,0.000000,6.549000
ARQ,2023-03-31,2023-06-29,2023-03-31,2023-Q1,-42453000.000000,706494247.000000,2025-05-14,0.000000,99706000.000000,,65603000.000000,34103000.000000,,-58.021000,-8565000.000000,46863000.000000,46863000.000000,23126000.000000,-23447000.000000,0.607000,-0.250000,25627000.000000,16856000.000000,8771000.000000,25627000.000000,0.000000,296000.000000,0.000000,0.000000,0.000000,-5866000.000000,-5570000.000000,-0.305000,-5570000.000000,-5866000.000000,-6145000.000000,-0.640000,-0.640000,-0.640000,-883328000.000000,,-883328000.000000,685258247.000000,-62.000000,-70.142000,-27231000.000000,-1.789000,1.000000,-4890000.000000,-0.268000,0.000000,279000.000000,-29586000.000000,,0.000000,0.000000,0.000000,0.000000,220851000.000000,108056000.000000,112795000.000000,21037000.000000,0.000000,22000.000000,0.000000,0.000000,48268000.000000,-8565000.000000,0.000000,-18666000.000000,0.000000,-9360000.000000,-9688000.000000,-9688000.000000,0.000000,-14087000.000000,-0.531000,9073000.000000,-13963000.000000,18874000.000000,0.000000,-0.800000,-44.793000,-12.353000,34096000.000000,328000.000000,8.400000,6.781000,1.228000,2308000.000000,-870511000.000000,18236000.000000,18236000.000000,0.000000,,,,,207000.000000,8777000.000000,1.000000,84106458.000000,15224378.000000,15224378.000000,1.198000,99706000.000000,7000.000000,3215000.000000,0.000000,6.549000
