dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1999-12-31,2000-04-06,1999-12-31,1999-Q4,2021191.000000,,2025-05-15,0.000000,22294567.000000,,12624338.000000,9670229.000000,,-6.260000,,2025585.000000,2025585.000000,,,1.191000,-0.646000,4778604.000000,1201297.000000,3577307.000000,4778604.000000,8209574.000000,,0.000000,,0.000000,,,,,,,,,,-21936123.000000,,-21936123.000000,,,,,,1.000000,,,0.000000,,14444439.000000,,0.000000,7130848.000000,7130848.000000,0.000000,14180454.000000,10603147.000000,3577307.000000,,,,,,,,,,,,,,,,,,,1192276.000000,,,,,9388624.000000,,,,,3391648.000000,-28908633.000000,,,,,,,,,,1.000000,6787864.000000,3504347.000000,,,22294567.000000,0.000000,,0.000000,6.362000
ARQ,2000-03-31,2000-05-05,2000-03-31,2000-Q1,-541934.000000,700921741.000000,2025-05-15,0.000000,20919831.000000,,10242648.000000,10677183.000000,,-6.643000,-450863.000000,1703215.000000,1703215.000000,0.000000,-13418099.000000,0.950000,-0.603000,4466253.000000,1157692.000000,3308561.000000,4466253.000000,7656668.000000,552817.000000,0.000000,0.000000,0.000000,-13308350.000000,-12755533.000000,-3.820000,-12755533.000000,-13308350.000000,-13418099.000000,-3.850000,-3.850000,-3.850000,-23357402.000000,,-23357402.000000,703684779.000000,,,666163.000000,0.189000,1.000000,3338909.000000,1.000000,0.000000,109749.000000,12898287.000000,,0.000000,6926617.000000,6926617.000000,0.000000,14093143.000000,10784582.000000,3308561.000000,-322370.000000,0.000000,222366.000000,-312351.000000,0.000000,-1192764.000000,-246632.000000,204231.000000,1117026.000000,0.000000,-13418099.000000,-13551953.000000,-13551953.000000,0.000000,0.000000,-4.059000,16775101.000000,-13436192.000000,1970222.000000,0.000000,-30.009000,,,9286670.000000,133854.000000,103.250000,,,1553541.000000,-42326732.000000,3338909.000000,3338909.000000,3567936.000000,,,,,11908308.000000,1298857.000000,1.000000,6788588.000000,3516145.000000,3516145.000000,0.950000,20919831.000000,0.000000,0.000000,0.000000,5.950000
ARQ,2000-06-30,2000-07-28,2000-06-30,2000-Q2,202608753.000000,1784513353.000000,2025-05-15,0.000000,222043738.000000,,212162519.000000,9881219.000000,,31.423000,-899729.000000,49632521.000000,49632521.000000,0.000000,-3516704.000000,22.207000,0.057000,3321781.000000,901326.000000,2420455.000000,3321781.000000,6985612.000000,599544.000000,0.000000,0.000000,0.000000,-3387394.000000,-2787850.000000,-1.079000,-2787850.000000,-3387394.000000,-3516704.000000,-0.560000,-0.560000,-0.560000,210069517.000000,,210069517.000000,1738202613.000000,,,-1471561.000000,-0.220000,1.000000,2582620.000000,1.000000,0.000000,129310.000000,166179232.000000,,0.000000,161009285.000000,161009285.000000,0.000000,11974221.000000,9553766.000000,2420455.000000,47929306.000000,0.000000,203525228.000000,-1144472.000000,0.000000,203483535.000000,-154982397.000000,-154082668.000000,-571832.000000,0.000000,-3516704.000000,-3516704.000000,-3516704.000000,0.000000,0.000000,-1.362000,8892330.000000,-6309710.000000,1666828.000000,0.000000,8.495000,,,9586855.000000,0.000000,262.080000,,,1484082.000000,-45843436.000000,2582620.000000,2582620.000000,4129816.000000,,,,,3234305.000000,1528209.000000,1.000000,6809041.000000,6685161.000000,6685161.000000,0.386000,222043738.000000,0.000000,0.000000,0.000000,33.214000
ARQ,2000-09-30,2000-11-02,2000-09-30,2000-Q3,202026729.000000,1214977606.000000,2025-05-15,0.000000,221111039.000000,,208735582.000000,12375457.000000,,31.087000,-2814956.000000,23941651.000000,23941651.000000,0.000000,-1539880.000000,31.113000,0.042000,3083824.000000,874119.000000,2209705.000000,3083824.000000,3506339.000000,702086.000000,0.000000,0.000000,0.000000,-1440183.000000,-738097.000000,-0.131000,-738097.000000,-1440183.000000,-1539880.000000,-0.210000,-0.210000,-0.210000,212192481.000000,,212192481.000000,1194119779.000000,,,-4694861.000000,-0.688000,1.000000,5614160.000000,1.000000,0.000000,99697.000000,193544359.000000,,0.000000,182380882.000000,182380882.000000,0.000000,8918558.000000,6708853.000000,2209705.000000,-25690870.000000,0.000000,276045.000000,99543.000000,0.000000,375588.000000,-24186553.000000,-21371597.000000,-1879905.000000,0.000000,-1539880.000000,-1539880.000000,-1539880.000000,0.000000,0.000000,-0.274000,10504695.000000,-4890535.000000,2328395.000000,0.000000,5.726000,,,11699725.000000,0.000000,176.750000,,,2363648.000000,-47383316.000000,5614160.000000,5614160.000000,5521112.000000,,,,,3049299.000000,1934284.000000,1.000000,6873989.000000,6825777.000000,6825777.000000,0.822000,221111039.000000,0.000000,0.000000,0.000000,32.394000
ARQ,2000-12-31,2001-03-15,2000-12-31,2000-Q4,194801006.000000,460457143.000000,2025-05-15,0.000000,220692952.000000,,206031517.000000,14661435.000000,,34.922000,-3544032.000000,37811039.000000,37811039.000000,0.000000,-7519397.000000,18.346000,0.063000,2846228.000000,1012246.000000,1833982.000000,2846228.000000,4671818.000000,766522.000000,0.000000,0.000000,0.000000,-7436116.000000,-6669594.000000,-2.282000,-6669594.000000,-7436116.000000,-7519397.000000,-1.470000,-1.470000,-1.470000,207628459.000000,,207628459.000000,425492332.000000,-17.000000,-18.539000,-3710812.000000,-0.624000,1.000000,2922872.000000,1.000000,0.000000,83281.000000,174497630.000000,,0.000000,164869291.000000,164869291.000000,0.000000,13064493.000000,11230511.000000,1833982.000000,13869388.000000,0.000000,306205.000000,-237596.000000,0.000000,68609.000000,13967559.000000,17511591.000000,-166780.000000,0.000000,-7519397.000000,-7653251.000000,-7653251.000000,0.000000,0.000000,-2.618000,13763351.000000,-10840479.000000,2522722.000000,0.000000,2.218000,-17.623000,-15.079000,14477235.000000,133854.000000,66.500000,31.847000,27.345000,2814707.000000,-54902713.000000,2922872.000000,2922872.000000,18427985.000000,,,,,2649170.000000,13527278.000000,1.000000,6924168.000000,5945439.000000,5945439.000000,0.492000,220692952.000000,0.000000,0.000000,0.000000,37.120000
ARQ,2001-03-31,2001-05-14,2001-03-31,2001-Q1,187573226.000000,451859531.000000,2025-05-15,0.000000,214892929.000000,,198346227.000000,16546702.000000,,29.327000,-2496339.000000,79219332.000000,79219332.000000,0.000000,-8007649.000000,18.411000,0.061000,2609081.000000,1029935.000000,1579146.000000,2609081.000000,4843939.000000,954125.000000,0.000000,0.000000,0.000000,-7926634.000000,-6972509.000000,-2.106000,-6972509.000000,-7926634.000000,-8007649.000000,-1.190000,-1.190000,-1.190000,202540782.000000,,202540782.000000,375249280.000000,-19.000000,-21.857000,-10470786.000000,-1.516000,1.000000,3310957.000000,1.000000,0.000000,81015.000000,127509677.000000,,0.000000,112934723.000000,112934723.000000,0.000000,12352147.000000,10773001.000000,1579146.000000,41408293.000000,0.000000,181658.000000,-237147.000000,0.000000,-55489.000000,49438229.000000,51934568.000000,-7974447.000000,0.000000,-8007649.000000,-8007649.000000,-8007649.000000,0.000000,0.000000,-2.419000,14133482.000000,-10822525.000000,3136278.000000,0.000000,2.231000,-21.811000,-18.878000,16019449.000000,0.000000,64.750000,31.313000,30.988000,3747604.000000,-62910362.000000,3310957.000000,3310957.000000,9862342.000000,,,,,2738314.000000,4271140.000000,1.000000,6978526.000000,6906185.000000,6906185.000000,0.479000,214892929.000000,0.000000,0.000000,0.000000,31.116000
ARQ,2001-06-30,2001-08-14,2001-06-30,2001-Q2,182068556.000000,483746057.000000,2025-05-15,0.000000,221998485.000000,,203516914.000000,18481571.000000,,28.013000,-1898989.000000,43585316.000000,43585316.000000,0.000000,-9938657.000000,9.489000,0.135000,974368.000000,974368.000000,0.000000,974368.000000,17041994.000000,1062023.000000,0.000000,0.000000,0.000000,-9809640.000000,-8747617.000000,-2.498000,-8747617.000000,-9809640.000000,-9938657.000000,-1.400000,-1.400000,-1.400000,195550127.000000,,195550127.000000,441135109.000000,-17.000000,-19.074000,-6933886.000000,-0.993000,1.000000,3502438.000000,1.000000,0.000000,129017.000000,157939179.000000,,0.000000,140224465.000000,140224465.000000,0.000000,26448358.000000,21448358.000000,5000000.000000,-35634016.000000,0.000000,224325.000000,-1634713.000000,0.000000,-1410388.000000,-29188731.000000,-27289742.000000,-5034897.000000,0.000000,-9938657.000000,-9938657.000000,-9938657.000000,0.000000,0.000000,-2.838000,15738997.000000,-12236559.000000,6458185.000000,0.000000,2.474000,-17.824000,-15.295000,16856415.000000,0.000000,65.310000,31.514000,29.700000,16037920.000000,-72849019.000000,3502438.000000,3502438.000000,10693165.000000,,,,,2723677.000000,5045832.000000,1.000000,7406922.000000,6980753.000000,6980753.000000,0.502000,221998485.000000,0.000000,0.000000,0.000000,31.802000
ARQ,2001-09-30,2001-11-14,2001-09-30,2001-Q3,171371649.000000,467253441.000000,2025-05-15,0.000000,249680107.000000,,190286720.000000,59393387.000000,,30.849000,-3283971.000000,23066925.000000,23066925.000000,0.000000,-6220066.000000,10.060000,0.100000,526802.000000,467895.000000,58907.000000,526802.000000,14464959.000000,1392938.000000,0.000000,0.000000,0.000000,-6134589.000000,-4741651.000000,-0.351000,-4741651.000000,-6134589.000000,-6220066.000000,-0.840000,-0.840000,-0.840000,226956129.000000,,226956129.000000,444713318.000000,-14.000000,-16.391000,-5086137.000000,-0.691000,1.000000,13492769.000000,1.000000,31520581.000000,85477.000000,176704332.000000,,0.000000,153360767.000000,153360767.000000,0.000000,22723978.000000,18915071.000000,3808907.000000,-20518391.000000,0.000000,114259.000000,-1675606.000000,0.000000,-1561347.000000,-17154878.000000,-13136302.000000,-1802166.000000,0.000000,-6220066.000000,-6220066.000000,-6220066.000000,0.000000,0.000000,-0.461000,21447505.000000,-7954736.000000,4126426.000000,0.000000,2.059000,-14.684000,-12.857000,22725595.000000,0.000000,63.000000,20.115000,19.953000,7996613.000000,-79069085.000000,13492769.000000,13492769.000000,15008510.000000,,,,,2646367.000000,6438995.000000,1.000000,7416721.000000,7357087.000000,7357087.000000,1.834000,218159526.000000,0.000000,0.000000,0.000000,29.653000
ARQ,2001-12-31,2002-03-25,2001-12-31,2001-Q4,147663000.000000,467141795.000000,2025-05-15,-437000.000000,239990000.000000,,166442000.000000,73548000.000000,,29.411000,-5791701.000000,23048000.000000,23048000.000000,0.000000,-11005628.000000,8.863000,0.099000,0.000000,0.000000,0.000000,0.000000,13095000.000000,1810914.000000,0.000000,0.000000,0.000000,-10987137.000000,-9176223.000000,-0.893000,-9176223.000000,-10987137.000000,-11005628.000000,-1.470000,-1.470000,-1.470000,218372000.000000,,218372000.000000,444093795.000000,-13.000000,-14.984000,-8970191.000000,-1.208000,1.000000,10270836.000000,1.000000,31238000.000000,18491.000000,166925000.000000,,0.000000,143792000.000000,133394000.000000,10398000.000000,21618000.000000,18779000.000000,2839000.000000,-18886.000000,0.000000,197758.000000,-361534.000000,0.000000,-163776.000000,3323380.000000,9132476.000000,-3178490.000000,0.000000,-11005628.000000,-11005628.000000,-11005628.000000,0.000000,0.000000,-1.072000,22896016.000000,-12625180.000000,3168000.000000,0.000000,2.139000,-13.282000,-12.786000,26707000.000000,0.000000,62.650000,15.278000,14.698000,4544000.000000,-90075000.000000,10270836.000000,10270836.000000,17790983.000000,,,,,2661642.000000,5105033.000000,1.000000,7456373.000000,7424767.000000,7424767.000000,1.383000,208752000.000000,0.000000,0.000000,0.000000,28.116000
ARQ,2002-03-31,2002-05-14,2002-03-31,2002-Q1,130915000.000000,363168031.000000,2025-05-15,-759000.000000,226523000.000000,,149089000.000000,77434000.000000,,27.767000,-8735000.000000,47542000.000000,47542000.000000,0.000000,-14059000.000000,8.203000,0.096000,0.000000,0.000000,0.000000,0.000000,11343000.000000,1920000.000000,0.000000,0.000000,0.000000,-14057000.000000,-12137000.000000,-1.585000,-12137000.000000,-14057000.000000,-14059000.000000,-1.890000,-1.890000,-1.890000,206770000.000000,,206770000.000000,315626031.000000,-8.000000,-9.069000,-17965000.000000,-2.413000,1.000000,7656000.000000,1.000000,30938000.000000,2000.000000,129869000.000000,,0.000000,101279000.000000,91203000.000000,10076000.000000,19753000.000000,18174000.000000,1579000.000000,24493000.000000,0.000000,267000.000000,0.000000,0.000000,267000.000000,33456000.000000,42191000.000000,-9230000.000000,0.000000,-14059000.000000,-14059000.000000,-14059000.000000,0.000000,0.000000,-1.836000,22833000.000000,-15177000.000000,4046000.000000,0.000000,1.756000,-8.810000,-8.688000,33522000.000000,0.000000,48.650000,10.399000,10.374000,4282000.000000,-104133000.000000,7656000.000000,7656000.000000,16864000.000000,,,,,2589000.000000,5969000.000000,1.000000,7464913.000000,7446571.000000,7446571.000000,1.028000,195585000.000000,0.000000,0.000000,0.000000,26.265000
