dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-12-31,1995-04-20,1995-01-28,1995-Q4,2478376000.000000,3860623928.000000,2025-03-21,0.000000,12379712000.000000,,5190448000.000000,7189264000.000000,,9.960000,,206490000.000000,206490000.000000,,,1.914000,2.401000,4992262000.000000,463042000.000000,4529220000.000000,4992262000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,3639610000.000000,,3639610000.000000,8646395928.000000,15.000000,9.864000,,,1.000000,,,1006547000.000000,,13446865000.000000,,2480180000.000000,408134000.000000,0.000000,408134000.000000,8740102000.000000,2712072000.000000,6028030000.000000,,,,,,,,,,,,,,,,,,,2183711000.000000,,1.061000,20.577000,14.986000,5349912000.000000,,10.565000,0.464000,0.464000,2265651000.000000,,,,,,,,,,,1.000000,365416368.000000,365416368.000000,,,11373165000.000000,238127000.000000,,1058770000.000000,31.124000
ARQ,1995-03-31,1995-06-13,1995-04-29,1996-Q1,2521597000.000000,4775981144.000000,2025-03-21,0.000000,12365431000.000000,,5288113000.000000,7077318000.000000,,9.812000,-22191000.000000,150242000.000000,150242000.000000,1823921000.000000,-56999000.000000,1.911000,2.449000,5197932000.000000,671741000.000000,4526191000.000000,5197932000.000000,0.000000,114137000.000000,0.000000,0.000000,0.000000,22753000.000000,136890000.000000,0.046000,136890000.000000,22753000.000000,-86748000.000000,-0.155000,,-0.155000,3584869000.000000,,3584869000.000000,9823671144.000000,,,-231563000.000000,-0.634000,1.000000,1164085000.000000,0.390000,1037861000.000000,109501000.000000,13608744000.000000,,2667384000.000000,407293000.000000,0.000000,407293000.000000,8780562000.000000,2766516000.000000,6014046000.000000,-56248000.000000,0.000000,1136000.000000,174469000.000000,0.000000,175315000.000000,-22191000.000000,0.000000,-209372000.000000,0.000000,-56999000.000000,-56999000.000000,-56999000.000000,0.000000,0.000000,-0.019000,1153281000.000000,10804000.000000,2085154000.000000,0.000000,1.332000,,,5245346000.000000,0.000000,13.065000,,,2237598000.000000,,2988006000.000000,2988006000.000000,0.000000,,,,,1122000.000000,1069959000.000000,1.000000,365555388.000000,365364000.000000,,8.178000,11327570000.000000,232889000.000000,-29749000.000000,998849000.000000,31.004000
ARQ,1995-06-30,1995-09-08,1995-07-29,1996-Q2,2960829000.000000,5170763892.000000,2025-03-21,0.000000,12457324000.000000,,5395881000.000000,7061443000.000000,,9.638000,-123900000.000000,238173000.000000,238173000.000000,1862915000.000000,-66926000.000000,2.216000,2.535000,5381433000.000000,259988000.000000,5121445000.000000,5381433000.000000,0.000000,114075000.000000,0.000000,0.000000,0.000000,12684000.000000,126759000.000000,0.042000,126759000.000000,12684000.000000,-101373000.000000,-0.185000,,-0.185000,3524319000.000000,,3524319000.000000,10314023892.000000,,,-90474000.000000,-0.247000,1.000000,1184334000.000000,0.389000,1027033000.000000,114057000.000000,14138499000.000000,,2802073000.000000,407276000.000000,0.000000,407276000.000000,8933005000.000000,2435052000.000000,6497953000.000000,87931000.000000,0.000000,4929000.000000,177045000.000000,0.000000,178405000.000000,-123900000.000000,0.000000,33426000.000000,0.000000,-66926000.000000,-66926000.000000,-66926000.000000,0.000000,0.000000,-0.022000,1182491000.000000,1843000.000000,2139335000.000000,0.000000,1.467000,,,5261698000.000000,0.000000,14.125000,,,2157512000.000000,,3047249000.000000,3047249000.000000,0.000000,,,,,1447000.000000,1067887000.000000,1.000000,366071780.000000,365660000.000000,,8.334000,11430291000.000000,198123000.000000,-34447000.000000,909014000.000000,31.259000
ARQ,1995-09-30,1995-12-12,1995-10-28,1996-Q3,3259869000.000000,5597709852.000000,2025-03-21,0.000000,15354202000.000000,,7142210000.000000,8211992000.000000,,10.212000,-186883000.000000,158027000.000000,158027000.000000,2328577000.000000,-46395000.000000,1.840000,2.816000,6884848000.000000,941375000.000000,5943473000.000000,6884848000.000000,0.000000,132940000.000000,0.000000,0.000000,0.000000,116906000.000000,249846000.000000,0.067000,249846000.000000,116906000.000000,-25311000.000000,-0.120000,,-0.120000,4023840000.000000,,4023840000.000000,12324530852.000000,,,-531507000.000000,-1.349000,1.000000,1419792000.000000,0.379000,1160661000.000000,142217000.000000,17038021000.000000,,4025726000.000000,407209000.000000,0.000000,407209000.000000,11330362000.000000,3882341000.000000,7448021000.000000,-80146000.000000,15901000.000000,4515000.000000,453461000.000000,0.000000,435460000.000000,-170982000.000000,0.000000,-344624000.000000,0.000000,-46395000.000000,-46395000.000000,-46395000.000000,0.000000,0.000000,-0.012000,1314814000.000000,104978000.000000,2909517000.000000,0.000000,1.391000,,,6220895000.000000,0.000000,13.815000,,,2780861000.000000,,3748369000.000000,3748369000.000000,0.000000,,,,,1157000.000000,1275680000.000000,1.000000,405190724.000000,394034000.000000,,9.513000,14193541000.000000,177596000.000000,21084000.000000,942974000.000000,36.021000
ARQ,1995-12-31,1996-04-17,1996-02-03,1996-Q4,3262296000.000000,6856875000.000000,2025-03-21,0.000000,14295050000.000000,,6360365000.000000,7934685000.000000,,10.323000,-316522000.000000,172518000.000000,172518000.000000,3302371000.000000,244873000.000000,2.053000,2.345000,6365347000.000000,733115000.000000,5632232000.000000,6365347000.000000,0.000000,131129000.000000,0.000000,0.000000,0.000000,557648000.000000,688777000.000000,0.131000,688777000.000000,557648000.000000,415291000.000000,0.650000,,0.650000,4273686000.000000,,4273686000.000000,13049704000.000000,18.000000,10.854000,498555000.000000,1.204000,1.000000,1962518000.000000,0.373000,744689000.000000,142357000.000000,16645121000.000000,,3271259000.000000,415066000.000000,0.000000,415066000.000000,10021364000.000000,3098069000.000000,6923295000.000000,14491000.000000,361000.000000,4069000.000000,-487633000.000000,0.000000,-484425000.000000,-316161000.000000,0.000000,815077000.000000,0.000000,244873000.000000,244873000.000000,244873000.000000,0.000000,0.000000,0.047000,1417256000.000000,545262000.000000,2358543000.000000,0.000000,1.604000,91.973000,84.936000,6305167000.000000,0.000000,16.562000,0.456000,0.456000,2842077000.000000,,5264889000.000000,5264889000.000000,0.000000,,,,,904000.000000,1334805000.000000,1.000000,414000000.000000,414000000.000000,,12.717000,13550361000.000000,74511000.000000,170418000.000000,739347000.000000,32.730000
ARQ,1996-03-31,1996-06-18,1996-05-04,1997-Q1,3850033000.000000,7346104802.000000,2025-03-21,0.000000,14150735000.000000,,6592448000.000000,7558287000.000000,,10.526000,29978000.000000,195473000.000000,195473000.000000,2014648000.000000,-37946000.000000,2.404000,2.252000,6306527000.000000,537594000.000000,5768933000.000000,6306527000.000000,0.000000,132680000.000000,0.000000,0.000000,0.000000,66328000.000000,199008000.000000,0.060000,199008000.000000,66328000.000000,-57017000.000000,-0.090000,,-0.090000,4351516000.000000,,4351516000.000000,13457158802.000000,18.000000,10.643000,-20622000.000000,-0.050000,1.000000,1286017000.000000,0.390000,737868000.000000,123345000.000000,16781506000.000000,,3354589000.000000,210758000.000000,0.000000,210758000.000000,9799219000.000000,2742415000.000000,7056804000.000000,22955000.000000,0.000000,115132000.000000,-71149000.000000,0.000000,43577000.000000,29978000.000000,0.000000,-50600000.000000,0.000000,-37946000.000000,-37946000.000000,-37946000.000000,0.000000,0.000000,-0.011000,1230753000.000000,55264000.000000,2201922000.000000,0.000000,1.688000,78.479000,69.363000,6231782000.000000,0.000000,17.688000,0.478000,0.476000,2944595000.000000,,3300665000.000000,3300665000.000000,0.000000,,,,,644000.000000,1153065000.000000,1.000000,415327480.000000,413420000.000000,,7.984000,13412867000.000000,97791000.000000,-19071000.000000,734099000.000000,32.444000
ARQ,1996-06-30,1996-09-17,1996-08-03,1997-Q2,3663948000.000000,7221447957.000000,2025-03-21,0.000000,14032369000.000000,,6429091000.000000,7603278000.000000,,10.426000,-189327000.000000,134133000.000000,134133000.000000,1995573000.000000,-27193000.000000,2.325000,2.241000,6019887000.000000,375363000.000000,5644524000.000000,6019887000.000000,0.000000,132619000.000000,0.000000,0.000000,0.000000,87136000.000000,219755000.000000,0.067000,219755000.000000,87136000.000000,-39860000.000000,-0.065000,,-0.065000,4330130000.000000,,4330130000.000000,13107201957.000000,16.000000,9.656000,239576000.000000,0.577000,1.000000,1288655000.000000,0.392000,731047000.000000,126996000.000000,16421933000.000000,,3411000000.000000,204035000.000000,0.000000,204035000.000000,9702239000.000000,2765143000.000000,6937096000.000000,-61340000.000000,0.000000,5417000.000000,-295723000.000000,0.000000,-300916000.000000,-189327000.000000,0.000000,428903000.000000,0.000000,-27193000.000000,-27193000.000000,-27193000.000000,0.000000,0.000000,-0.008000,1212901000.000000,75754000.000000,2386569000.000000,0.000000,1.668000,54.159000,46.333000,6270870000.000000,0.000000,17.375000,0.463000,0.463000,2768417000.000000,,3284228000.000000,3284228000.000000,0.000000,,,,,690000.000000,1113984000.000000,1.000000,415622904.000000,415326000.000000,,7.908000,13301322000.000000,115541000.000000,-12667000.000000,733936000.000000,32.026000
ARQ,1996-09-30,1996-12-17,1996-11-02,1997-Q3,3601710000.000000,6654355552.000000,2025-03-21,0.000000,15096694000.000000,,7405704000.000000,7690990000.000000,,10.529000,-226727000.000000,152596000.000000,152596000.000000,2189903000.000000,41801000.000000,1.947000,2.450000,6365182000.000000,741117000.000000,5624065000.000000,6365182000.000000,0.000000,134981000.000000,0.000000,0.000000,0.000000,198461000.000000,333442000.000000,0.092000,333442000.000000,198461000.000000,73951000.000000,0.100000,,0.100000,4376257000.000000,,4376257000.000000,12866941552.000000,14.000000,8.929000,-399695000.000000,-0.962000,1.000000,1419245000.000000,0.393000,724225000.000000,124510000.000000,16781061000.000000,,4340392000.000000,204997000.000000,0.000000,204997000.000000,10720437000.000000,3803994000.000000,6916443000.000000,18463000.000000,0.000000,4031000.000000,414207000.000000,0.000000,418158000.000000,-226727000.000000,0.000000,-172968000.000000,0.000000,41801000.000000,41801000.000000,41801000.000000,0.000000,0.000000,0.012000,1231933000.000000,187312000.000000,3059327000.000000,0.000000,1.521000,30.037000,26.891000,6384812000.000000,0.000000,16.000000,0.430000,0.430000,2821833000.000000,,3609148000.000000,3609148000.000000,0.000000,,,,,295000.000000,1187629000.000000,1.000000,415897222.000000,415640000.000000,,8.683000,14372469000.000000,90883000.000000,32150000.000000,731322000.000000,34.579000
ARQ,1996-12-31,1997-04-17,1997-02-01,1997-Q4,2831603000.000000,6903614856.000000,2025-03-21,0.000000,14264143000.000000,,6427302000.000000,7836841000.000000,,11.203000,-263718000.000000,148794000.000000,148794000.000000,3154243000.000000,289202000.000000,1.787000,2.055000,5700473000.000000,1094557000.000000,4605916000.000000,5700473000.000000,0.000000,131124000.000000,0.000000,0.000000,0.000000,588126000.000000,719250000.000000,0.143000,719250000.000000,588126000.000000,464361000.000000,0.695000,,0.695000,4669154000.000000,,4669154000.000000,12455293856.000000,13.000000,8.465000,751434000.000000,1.803000,1.000000,1880715000.000000,0.374000,717404000.000000,123765000.000000,15502719000.000000,,3355674000.000000,204400000.000000,0.000000,204400000.000000,9594989000.000000,3595699000.000000,5999290000.000000,-3802000.000000,0.000000,3366000.000000,-758578000.000000,0.000000,-755236000.000000,-263718000.000000,0.000000,1015152000.000000,0.000000,289202000.000000,289202000.000000,289202000.000000,0.000000,0.000000,0.057000,1305846000.000000,574869000.000000,2492195000.000000,0.000000,1.479000,25.967000,25.883000,6524757000.000000,0.000000,16.565000,0.453000,0.453000,2834321000.000000,,5034958000.000000,5034958000.000000,0.000000,,,,,329000.000000,1526755000.000000,1.000000,416759122.000000,416759122.000000,,12.081000,13546739000.000000,88513000.000000,175159000.000000,839890000.000000,32.505000
ARQ,1997-03-31,1997-06-17,1997-05-03,1998-Q1,2896013000.000000,7894749421.000000,2025-03-21,0.000000,14100050000.000000,,6385377000.000000,7714673000.000000,,11.293000,-22155000.000000,152582000.000000,152582000.000000,2086865000.000000,24059000.000000,1.830000,1.998000,5573790000.000000,1059543000.000000,4514247000.000000,5573790000.000000,0.000000,145375000.000000,0.000000,0.000000,0.000000,158408000.000000,303783000.000000,0.089000,303783000.000000,158408000.000000,43683000.000000,0.060000,,0.060000,4703325000.000000,,4703325000.000000,13315957421.000000,13.000000,8.448000,79047000.000000,0.190000,1.000000,1322226000.000000,0.388000,710583000.000000,114725000.000000,15321311000.000000,,3483076000.000000,204248000.000000,0.000000,204248000.000000,9396725000.000000,3489364000.000000,5907361000.000000,3788000.000000,0.000000,9802000.000000,-84999000.000000,0.000000,-75259000.000000,-22155000.000000,0.000000,101202000.000000,0.000000,24059000.000000,24059000.000000,24059000.000000,0.000000,0.000000,0.007000,1174166000.000000,148060000.000000,2414056000.000000,0.000000,1.679000,24.079000,23.892000,6419547000.000000,0.000000,18.875000,0.515000,0.513000,2661052000.000000,,3409091000.000000,3409091000.000000,0.000000,,,,,309000.000000,1174166000.000000,1.000000,418264870.000000,416470000.000000,,8.186000,13389467000.000000,88667000.000000,19624000.000000,846972000.000000,32.150000
