dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-06-30,2002-08-14,2002-06-30,2002-Q2,543200000.000000,,2025-05-02,8410000.000000,2021264000.000000,,1282250000.000000,739014000.000000,,0.977000,,309402000.000000,309402000.000000,0.000000,36389000.000000,1.735000,1.069000,148049000.000000,67570000.000000,80479000.000000,148049000.000000,0.000000,,0.000000,,0.000000,58399000.000000,,,,58399000.000000,56312000.000000,0.050000,0.050000,0.050000,976863000.000000,,976863000.000000,,,,,,1.000000,448757000.000000,1.000000,418040000.000000,2087000.000000,702821000.000000,,0.000000,516969000.000000,516969000.000000,0.000000,1044195000.000000,739050000.000000,305145000.000000,,,,,,,,,,,36389000.000000,36389000.000000,36389000.000000,0.000000,0.000000,0.081000,396008000.000000,52749000.000000,114713000.000000,0.000000,,,,213157000.000000,0.000000,,,,193331000.000000,85000.000000,448757000.000000,448757000.000000,0.000000,,,,,,377079000.000000,1.000000,1000000000.000000,1000000000.000000,,0.449000,1603224000.000000,51475000.000000,19923000.000000,0.000000,1.603000
ARQ,2002-09-30,2002-11-14,2002-09-30,2002-Q3,581250000.000000,,2025-05-02,11252000.000000,2179874000.000000,,1404785000.000000,775089000.000000,,1.058000,-26311000.000000,269939000.000000,269939000.000000,0.000000,77930000.000000,1.706000,1.061000,80481000.000000,0.000000,80481000.000000,80481000.000000,0.000000,27593000.000000,0.000000,,0.000000,126177000.000000,153770000.000000,0.285000,153770000.000000,126177000.000000,123056000.000000,0.078000,0.078000,0.078000,1057635000.000000,,1057635000.000000,,,,16944000.000000,0.017000,1.000000,539435000.000000,1.000000,412020000.000000,3121000.000000,754861000.000000,,0.000000,512446000.000000,512446000.000000,0.000000,1122025000.000000,823535000.000000,298490000.000000,-39463000.000000,-35830000.000000,0.000000,-25191000.000000,0.000000,-25191000.000000,-57527000.000000,4228000.000000,43255000.000000,0.000000,77930000.000000,77930000.000000,77930000.000000,0.000000,0.000000,0.144000,412908000.000000,126527000.000000,104262000.000000,0.000000,,,,215839000.000000,0.000000,,,,200650000.000000,78015000.000000,539435000.000000,539435000.000000,0.000000,,,,,0.000000,385315000.000000,1.000000,1000000000.000000,1000000000.000000,,0.539000,1767854000.000000,53850000.000000,45126000.000000,0.000000,1.768000
ARQ,2002-12-31,2003-03-07,2002-12-31,2002-Q4,525894000.000000,,2025-05-02,28509000.000000,2260875000.000000,,1455638000.000000,805237000.000000,,1.023000,-36441000.000000,336474000.000000,336474000.000000,0.000000,-51486000.000000,1.566000,1.209000,80107000.000000,0.000000,80107000.000000,80107000.000000,0.000000,27565000.000000,0.000000,,0.000000,-102838000.000000,-75273000.000000,-0.148000,-75273000.000000,-102838000.000000,-105071000.000000,-0.071000,-0.071000,-0.071000,1023406000.000000,,1023406000.000000,,,,94895000.000000,0.095000,1.000000,509235000.000000,1.000000,438644000.000000,2233000.000000,636120000.000000,,0.000000,535450000.000000,535450000.000000,0.000000,1236825000.000000,929744000.000000,307081000.000000,66535000.000000,659000.000000,0.000000,-172000.000000,0.000000,-172000.000000,-65936000.000000,-20923000.000000,131336000.000000,1307000.000000,-51486000.000000,-51486000.000000,-51486000.000000,0.000000,0.000000,-0.101000,624838000.000000,-115603000.000000,172242000.000000,0.000000,,,,226720000.000000,0.000000,,,,198855000.000000,26529000.000000,509235000.000000,509235000.000000,0.000000,,,,,0.000000,597273000.000000,1.000000,1000000000.000000,1000000000.000000,,0.509000,1822231000.000000,41337000.000000,-53585000.000000,67445000.000000,1.822000
ARQ,2003-03-31,2003-05-14,2003-03-31,2003-Q1,408496000.000000,,2025-05-02,29523000.000000,2548011000.000000,,1342844000.000000,1205167000.000000,,0.599000,-52585000.000000,141219000.000000,141219000.000000,0.000000,-425391000.000000,1.437000,3.245000,229577000.000000,0.000000,229577000.000000,229577000.000000,0.000000,29789000.000000,0.000000,,0.000000,-654975000.000000,-625186000.000000,-1.221000,-625186000.000000,-654975000.000000,-660319000.000000,-0.425000,-0.425000,-0.425000,599029000.000000,,599029000.000000,,,,-201506000.000000,-0.202000,1.000000,512215000.000000,1.000000,457670000.000000,5344000.000000,1244351000.000000,,0.000000,684486000.000000,524320000.000000,160166000.000000,1944103000.000000,934348000.000000,1009755000.000000,-195255000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-47174000.000000,6746000.000000,-148921000.000000,840000.000000,-425391000.000000,-425391000.000000,-425391000.000000,0.000000,0.000000,-0.830000,1179975000.000000,-667760000.000000,129063000.000000,0.000000,,,,251089000.000000,0.000000,,,,202925000.000000,-398862000.000000,512215000.000000,512215000.000000,0.000000,,,,,0.000000,429186000.000000,1.000000,1000000000.000000,1000000000.000000,,0.512000,2090341000.000000,235352000.000000,-234928000.000000,68078000.000000,2.090000
ARQ,2003-06-30,2003-08-08,2003-06-30,2003-Q2,448633000.000000,,2025-05-02,48998000.000000,2757238000.000000,,1486244000.000000,1270994000.000000,,0.651000,-35112000.000000,305011000.000000,305011000.000000,0.000000,32327000.000000,1.432000,3.229000,229536000.000000,0.000000,229536000.000000,229536000.000000,0.000000,30593000.000000,0.000000,,0.000000,68730000.000000,99323000.000000,0.178000,99323000.000000,68730000.000000,49982000.000000,0.032000,0.032000,0.032000,650831000.000000,,650831000.000000,,,,161079000.000000,0.161000,1.000000,556893000.000000,1.000000,484898000.000000,18748000.000000,1159254000.000000,,0.000000,725228000.000000,532435000.000000,192793000.000000,2101787000.000000,1037611000.000000,1064176000.000000,163792000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35035000.000000,-786000.000000,196191000.000000,2636000.000000,32327000.000000,32327000.000000,32327000.000000,0.000000,0.000000,0.058000,506948000.000000,49945000.000000,146344000.000000,0.000000,,,,255638000.000000,0.000000,,,,210280000.000000,-366535000.000000,556893000.000000,556893000.000000,0.000000,,,,,0.000000,476355000.000000,1.000000,1000000000.000000,1000000000.000000,,0.557000,2272340000.000000,241615000.000000,17655000.000000,71150000.000000,2.272000
ARQ,2003-09-30,2003-11-07,2003-09-30,2003-Q3,533798000.000000,,2025-05-02,55702000.000000,2854998000.000000,,1570143000.000000,1284855000.000000,,0.732000,-21116000.000000,414636000.000000,414636000.000000,0.000000,74399000.000000,1.515000,2.894000,229546000.000000,0.000000,229546000.000000,229546000.000000,0.000000,28183000.000000,0.000000,,0.000000,130162000.000000,158345000.000000,0.266000,158345000.000000,130162000.000000,111440000.000000,0.074000,0.074000,0.074000,731934000.000000,,731934000.000000,,,,121980000.000000,0.122000,1.000000,594169000.000000,1.000000,482917000.000000,18722000.000000,1150646000.000000,,0.000000,730848000.000000,538462000.000000,192386000.000000,2118444000.000000,1036345000.000000,1082099000.000000,109625000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34061000.000000,-12744000.000000,143096000.000000,590000.000000,74399000.000000,74399000.000000,74399000.000000,0.000000,0.000000,0.125000,475269000.000000,118900000.000000,143930000.000000,0.000000,,,,250419000.000000,0.000000,,,,213497000.000000,-292136000.000000,594169000.000000,594169000.000000,0.000000,,,,,0.000000,447086000.000000,1.000000,1000000000.000000,1000000000.000000,,0.594000,2372081000.000000,256575000.000000,37041000.000000,70702000.000000,2.372000
ARQ,2003-12-31,2004-03-04,2003-12-31,2003-Q4,420992000.000000,,2025-05-02,89617000.000000,2900905000.000000,,1609850000.000000,1291055000.000000,,0.699000,-34657000.000000,374169000.000000,374169000.000000,0.000000,-67128000.000000,1.354000,3.145000,229574000.000000,0.000000,229574000.000000,229574000.000000,0.000000,30986000.000000,0.000000,,0.000000,-87552000.000000,-56566000.000000,-0.100000,-56566000.000000,-87552000.000000,-107674000.000000,-0.067000,-0.067000,-0.067000,698721000.000000,,698721000.000000,,,,-34578000.000000,-0.035000,1.000000,567574000.000000,1.000000,515511000.000000,20122000.000000,1051941000.000000,,0.000000,732482000.000000,536341000.000000,196141000.000000,2197564000.000000,1188858000.000000,1008706000.000000,-40467000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-45413000.000000,-9695000.000000,79000.000000,4867000.000000,-67128000.000000,-67128000.000000,-67128000.000000,0.000000,0.000000,-0.118000,670521000.000000,-102947000.000000,202604000.000000,0.000000,,,,258520000.000000,0.000000,,,,259429000.000000,-359264000.000000,567574000.000000,567574000.000000,0.000000,,,,,0.000000,597075000.000000,1.000000,1000000000.000000,1000000000.000000,,0.568000,2385394000.000000,223908000.000000,-40546000.000000,64125000.000000,2.385000
ARQ,2004-03-31,2004-05-10,2004-03-31,2004-Q1,499925000.000000,,2025-05-02,79482000.000000,2830966000.000000,,1552699000.000000,1278267000.000000,,0.762000,-10531000.000000,345121000.000000,345121000.000000,0.000000,73568000.000000,1.475000,2.708000,229603000.000000,0.000000,229603000.000000,229603000.000000,0.000000,31508000.000000,0.000000,,0.000000,131509000.000000,163017000.000000,0.274000,163017000.000000,131509000.000000,113780000.000000,0.074000,0.074000,0.074000,762154000.000000,,762154000.000000,,,,2388000.000000,0.002000,1.000000,594310000.000000,1.000000,517719000.000000,17729000.000000,1144955000.000000,,0.000000,734260000.000000,538537000.000000,195723000.000000,2064192000.000000,1052774000.000000,1011418000.000000,-29048000.000000,-18866000.000000,0.000000,0.000000,0.000000,0.000000,-39433000.000000,-4244000.000000,12919000.000000,-2534000.000000,73568000.000000,73568000.000000,73568000.000000,0.000000,0.000000,0.124000,475838000.000000,118472000.000000,166874000.000000,0.000000,,,,244933000.000000,0.000000,,,,230367000.000000,-285696000.000000,594310000.000000,594310000.000000,0.000000,,,,,0.000000,444330000.000000,1.000000,1000000000.000000,1000000000.000000,,0.594000,2313247000.000000,220190000.000000,40212000.000000,68913000.000000,2.313000
ARQ,2004-06-30,2004-08-05,2004-06-30,2004-Q2,564653000.000000,,2025-05-02,72549000.000000,2945153000.000000,,1665440000.000000,1279713000.000000,,0.821000,-11759000.000000,441928000.000000,441928000.000000,0.000000,65707000.000000,1.513000,2.582000,229515000.000000,0.000000,229515000.000000,229515000.000000,0.000000,31434000.000000,0.000000,,0.000000,106859000.000000,138293000.000000,0.214000,138293000.000000,106859000.000000,90175000.000000,0.066000,0.066000,0.066000,820928000.000000,,820928000.000000,,,,120251000.000000,0.120000,1.000000,647275000.000000,1.000000,520556000.000000,16684000.000000,1111397000.000000,,0.000000,731126000.000000,535403000.000000,195723000.000000,2119605000.000000,1100787000.000000,1018818000.000000,96807000.000000,-10995000.000000,0.000000,0.000000,0.000000,0.000000,-35915000.000000,-11139000.000000,132010000.000000,712000.000000,65707000.000000,65707000.000000,65707000.000000,0.000000,0.000000,0.102000,548814000.000000,98461000.000000,129996000.000000,0.000000,,,,237130000.000000,0.000000,,,,253303000.000000,-219989000.000000,647275000.000000,647275000.000000,0.000000,,,,,0.000000,513484000.000000,1.000000,1000000000.000000,1000000000.000000,,0.647000,2424597000.000000,225828000.000000,24468000.000000,58038000.000000,2.425000
ARQ,2004-09-30,2004-11-09,2004-09-30,2004-Q3,674642000.000000,,2025-05-02,80242000.000000,3177200000.000000,,1872429000.000000,1304771000.000000,,0.926000,-24284000.000000,578802000.000000,578802000.000000,0.000000,97515000.000000,1.563000,2.426000,237150000.000000,7642000.000000,229508000.000000,237150000.000000,0.000000,29177000.000000,0.000000,,0.000000,158507000.000000,187684000.000000,0.281000,187684000.000000,158507000.000000,140715000.000000,0.098000,0.098000,0.098000,926136000.000000,,926136000.000000,,,,124843000.000000,0.125000,1.000000,667841000.000000,1.000000,517587000.000000,17792000.000000,1120174000.000000,,0.000000,732721000.000000,537426000.000000,195295000.000000,2246444000.000000,1197787000.000000,1048657000.000000,136874000.000000,0.000000,0.000000,7642000.000000,0.000000,7642000.000000,-20761000.000000,135000.000000,149127000.000000,866000.000000,97515000.000000,97515000.000000,97515000.000000,0.000000,0.000000,0.146000,518290000.000000,149551000.000000,168777000.000000,0.000000,,,,232654000.000000,0.000000,,,,284944000.000000,-122474000.000000,667841000.000000,667841000.000000,0.000000,,,,,0.000000,475001000.000000,1.000000,1000000000.000000,1000000000.000000,,0.668000,2659613000.000000,248272000.000000,43200000.000000,67271000.000000,2.660000
