dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-09-30,2021-12-25,2021-Q4,1796000000.000000,,2025-04-25,5000000.000000,16655000000.000000,,2270000000.000000,14385000000.000000,,19.954000,,616000000.000000,616000000.000000,,,4.789000,0.048000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,15889000000.000000,,15889000000.000000,,,,,,1.000000,,,13966000000.000000,,1599000000.000000,,97000000.000000,1326000000.000000,1326000000.000000,0.000000,766000000.000000,474000000.000000,292000000.000000,,,,,,,,,,,,,,,,,,,323000000.000000,,,,,304000000.000000,,,,,155000000.000000,,,,,,,,,,,1.000000,796263158.000000,796263158.000000,,,2689000000.000000,0.000000,,181000000.000000,3.377000
ARQ,2022-06-30,2022-10-18,2022-07-02,2022-Q2,-2687000000.000000,,2025-04-25,-24000000.000000,16162000000.000000,,2043000000.000000,14119000000.000000,,14.064000,,774000000.000000,774000000.000000,,,0.432000,0.443000,3509000000.000000,3509000000.000000,0.000000,3509000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,11199000000.000000,,11199000000.000000,,,,,,1.000000,,,13684000000.000000,,483000000.000000,,98000000.000000,901000000.000000,901000000.000000,0.000000,4963000000.000000,4730000000.000000,233000000.000000,,,,,,,,,,,,,,,,,,,1111000000.000000,,,,,338000000.000000,,,,,214000000.000000,,,,,,,,,,,1.000000,796263158.000000,796263158.000000,,,2478000000.000000,0.000000,,172000000.000000,3.112000
ARQ,2022-09-30,2022-12-07,2022-10-01,2022-Q3,-2618000000.000000,25765429508.000000,2025-04-25,-18000000.000000,16164000000.000000,,2162000000.000000,14002000000.000000,,14.880000,-26000000.000000,871000000.000000,871000000.000000,233000000.000000,-45000000.000000,0.452000,0.448000,3520000000.000000,3520000000.000000,0.000000,3520000000.000000,0.000000,138000000.000000,0.000000,0.000000,0.000000,-19000000.000000,119000000.000000,0.264000,119000000.000000,-19000000.000000,-30000000.000000,-0.060000,-0.060000,-0.060000,11160000000.000000,,11160000000.000000,28414429508.000000,,,136000000.000000,0.181000,1.000000,217000000.000000,0.482000,13553000000.000000,11000000.000000,480000000.000000,,105000000.000000,901000000.000000,901000000.000000,0.000000,5004000000.000000,4780000000.000000,224000000.000000,98000000.000000,0.000000,0.000000,0.000000,0.000000,-36000000.000000,-25000000.000000,1000000.000000,162000000.000000,-3000000.000000,-45000000.000000,-45000000.000000,-45000000.000000,0.000000,0.000000,-0.100000,242000000.000000,-25000000.000000,1126000000.000000,0.000000,2.309000,,,354000000.000000,0.000000,32.130000,,,222000000.000000,,450000000.000000,450000000.000000,206000000.000000,,,,,36000000.000000,36000000.000000,1.000000,801911905.000000,750000000.000000,750000000.000000,0.600000,2611000000.000000,0.000000,15000000.000000,162000000.000000,3.481000
ARQ,2022-12-31,2023-03-09,2022-12-31,2022-Q4,1132000000.000000,32581680700.000000,2025-04-25,-9000000.000000,15441000000.000000,,1516000000.000000,13925000000.000000,,18.822000,-32000000.000000,1024000000.000000,1024000000.000000,265000000.000000,30000000.000000,3.948000,0.044000,0.000000,0.000000,0.000000,0.000000,0.000000,137000000.000000,0.000000,0.000000,0.000000,38000000.000000,175000000.000000,0.310000,175000000.000000,38000000.000000,34000000.000000,0.040000,0.040000,0.040000,14794000000.000000,,14794000000.000000,31557680700.000000,-3945.000000,56.454000,119000000.000000,0.151000,1.000000,300000000.000000,0.531000,13422000000.000000,4000000.000000,611000000.000000,,113000000.000000,0.000000,0.000000,0.000000,647000000.000000,384000000.000000,263000000.000000,153000000.000000,0.000000,1034000000.000000,-918000000.000000,-1000000.000000,-866000000.000000,868000000.000000,901000000.000000,151000000.000000,0.000000,30000000.000000,30000000.000000,30000000.000000,0.000000,0.000000,0.053000,276000000.000000,24000000.000000,262000000.000000,0.000000,2.202000,-397.338000,-369.364000,384000000.000000,0.000000,40.630000,17.433000,16.500000,269000000.000000,57000000.000000,565000000.000000,565000000.000000,224000000.000000,,,,,62000000.000000,52000000.000000,1.000000,801911905.000000,786000000.000000,786000000.000000,0.719000,2019000000.000000,0.000000,4000000.000000,162000000.000000,2.569000
ARQ,2023-03-31,2023-05-11,2023-04-01,2023-Q1,1237000000.000000,31194382363.000000,2025-04-25,0.000000,15462000000.000000,,1655000000.000000,13807000000.000000,,18.438000,-26000000.000000,1161000000.000000,1161000000.000000,251000000.000000,-79000000.000000,3.959000,0.046000,0.000000,0.000000,0.000000,0.000000,0.000000,140000000.000000,0.000000,0.000000,0.000000,-73000000.000000,67000000.000000,0.146000,67000000.000000,-73000000.000000,-73000000.000000,-0.100000,-0.100000,-0.100000,14787000000.000000,,14787000000.000000,30033382363.000000,,,145000000.000000,0.181000,1.000000,207000000.000000,0.452000,13289000000.000000,0.000000,594000000.000000,,173000000.000000,0.000000,0.000000,0.000000,675000000.000000,418000000.000000,257000000.000000,138000000.000000,0.000000,0.000000,0.000000,0.000000,-3000000.000000,-26000000.000000,0.000000,171000000.000000,-4000000.000000,-79000000.000000,-79000000.000000,-79000000.000000,0.000000,0.000000,-0.172000,288000000.000000,-81000000.000000,288000000.000000,0.000000,2.110000,,,401000000.000000,0.000000,38.900000,,,239000000.000000,-22000000.000000,458000000.000000,458000000.000000,235000000.000000,,,,,72000000.000000,53000000.000000,1.000000,801912143.000000,802000000.000000,802000000.000000,0.571000,2173000000.000000,0.000000,6000000.000000,159000000.000000,2.709000
ARQ,2023-06-30,2023-08-10,2023-07-01,2023-Q2,1336000000.000000,30913254393.000000,2025-04-25,0.000000,15430000000.000000,,1717000000.000000,13713000000.000000,,18.385000,-32000000.000000,1142000000.000000,1142000000.000000,230000000.000000,-28000000.000000,4.507000,0.043000,0.000000,0.000000,0.000000,0.000000,0.000000,126000000.000000,0.000000,0.000000,0.000000,-18000000.000000,108000000.000000,0.238000,108000000.000000,-18000000.000000,-18000000.000000,-0.040000,-0.040000,-0.040000,14800000000.000000,,14800000000.000000,29771254393.000000,-413.000000,63.478000,-6000000.000000,-0.007000,1.000000,224000000.000000,0.493000,13171000000.000000,0.000000,736000000.000000,,263000000.000000,0.000000,0.000000,0.000000,630000000.000000,381000000.000000,249000000.000000,-16000000.000000,0.000000,0.000000,0.000000,0.000000,-9000000.000000,-32000000.000000,0.000000,26000000.000000,-1000000.000000,-28000000.000000,-28000000.000000,-28000000.000000,0.000000,0.000000,-0.062000,257000000.000000,-33000000.000000,262000000.000000,0.000000,2.089000,-253.387000,-239.812000,422000000.000000,0.000000,38.370000,16.042000,16.029000,240000000.000000,-50000000.000000,454000000.000000,454000000.000000,211000000.000000,,,,,55000000.000000,46000000.000000,1.000000,805662090.000000,805000000.000000,805000000.000000,0.564000,2259000000.000000,0.000000,10000000.000000,152000000.000000,2.806000
ARQ,2023-09-30,2023-11-09,2023-09-30,2023-Q3,1517000000.000000,29134187058.000000,2025-04-25,0.000000,15505000000.000000,,1908000000.000000,13597000000.000000,,18.453000,-17000000.000000,1193000000.000000,1193000000.000000,258000000.000000,17000000.000000,4.880000,0.042000,0.000000,0.000000,0.000000,0.000000,0.000000,120000000.000000,0.000000,0.000000,0.000000,23000000.000000,143000000.000000,0.270000,143000000.000000,23000000.000000,23000000.000000,0.020000,0.020000,0.020000,14873000000.000000,,14873000000.000000,27941187058.000000,-931.000000,56.676000,71000000.000000,0.088000,1.000000,272000000.000000,0.513000,13060000000.000000,0.000000,861000000.000000,,354000000.000000,0.000000,0.000000,0.000000,632000000.000000,391000000.000000,241000000.000000,50000000.000000,0.000000,0.000000,0.000000,0.000000,-17000000.000000,-17000000.000000,0.000000,88000000.000000,-4000000.000000,17000000.000000,17000000.000000,17000000.000000,0.000000,0.000000,0.032000,264000000.000000,8000000.000000,265000000.000000,0.000000,1.959000,-485.570000,-451.750000,426000000.000000,0.000000,36.140000,14.516000,14.514000,281000000.000000,-33000000.000000,530000000.000000,530000000.000000,218000000.000000,,,,,63000000.000000,46000000.000000,1.000000,806147954.000000,806000000.000000,810000000.000000,0.658000,2445000000.000000,0.000000,6000000.000000,149000000.000000,3.033000
ARQ,2023-12-31,2024-02-23,2023-12-30,2023-Q4,1663000000.000000,19139933602.000000,2025-04-25,0.000000,15577000000.000000,,2066000000.000000,13511000000.000000,,18.470000,-23000000.000000,1212000000.000000,1212000000.000000,293000000.000000,63000000.000000,5.127000,0.044000,0.000000,0.000000,0.000000,0.000000,0.000000,127000000.000000,0.000000,0.000000,0.000000,84000000.000000,211000000.000000,0.331000,211000000.000000,84000000.000000,84000000.000000,0.080000,0.080000,0.080000,14924000000.000000,,14924000000.000000,17927933602.000000,1120.000000,33.890000,86000000.000000,0.106000,1.000000,344000000.000000,0.540000,12948000000.000000,0.000000,1014000000.000000,,391000000.000000,0.000000,0.000000,0.000000,653000000.000000,403000000.000000,250000000.000000,19000000.000000,0.000000,0.000000,0.000000,0.000000,-71000000.000000,-23000000.000000,0.000000,109000000.000000,4000000.000000,63000000.000000,63000000.000000,63000000.000000,0.000000,0.000000,0.099000,271000000.000000,73000000.000000,268000000.000000,0.000000,1.282000,-708.886000,-791.333000,447000000.000000,0.000000,23.740000,9.206000,9.192000,357000000.000000,30000000.000000,637000000.000000,637000000.000000,225000000.000000,,,,,62000000.000000,46000000.000000,1.000000,806231407.000000,808000000.000000,808000000.000000,0.788000,2629000000.000000,0.000000,21000000.000000,148000000.000000,3.254000
ARQ,2024-03-31,2024-05-08,2024-03-30,2024-Q1,1602000000.000000,23119529858.000000,2025-04-25,0.000000,15342000000.000000,,1931000000.000000,13411000000.000000,,18.316000,-22000000.000000,1223000000.000000,1223000000.000000,185000000.000000,-218000000.000000,5.869000,0.039000,0.000000,0.000000,0.000000,0.000000,0.000000,125000000.000000,0.000000,0.000000,0.000000,-221000000.000000,-96000000.000000,-0.402000,-96000000.000000,-221000000.000000,-221000000.000000,-0.270000,-0.270000,-0.270000,14763000000.000000,,14763000000.000000,21896529858.000000,-166.000000,59.827000,18000000.000000,0.022000,1.000000,54000000.000000,0.226000,12837000000.000000,0.000000,953000000.000000,,456000000.000000,0.000000,0.000000,0.000000,579000000.000000,329000000.000000,250000000.000000,12000000.000000,0.000000,0.000000,0.000000,0.000000,-4000000.000000,-22000000.000000,0.000000,40000000.000000,-2000000.000000,-218000000.000000,-218000000.000000,-218000000.000000,0.000000,0.000000,-0.912000,292000000.000000,-238000000.000000,205000000.000000,0.000000,1.566000,-139.274000,-136.524000,454000000.000000,0.000000,28.670000,12.430000,12.424000,120000000.000000,-188000000.000000,239000000.000000,239000000.000000,243000000.000000,,,,,62000000.000000,49000000.000000,1.000000,806401460.000000,806000000.000000,806000000.000000,0.297000,2505000000.000000,0.000000,-3000000.000000,142000000.000000,3.108000
ARQ,2024-06-30,2024-08-07,2024-06-29,2024-Q2,1661000000.000000,12165721905.000000,2025-04-25,0.000000,15307000000.000000,,2007000000.000000,13300000000.000000,,18.262000,-24000000.000000,1203000000.000000,1203000000.000000,230000000.000000,-86000000.000000,5.801000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,127000000.000000,0.000000,0.000000,0.000000,-81000000.000000,46000000.000000,0.105000,46000000.000000,-81000000.000000,-81000000.000000,-0.110000,-0.110000,-0.110000,14719000000.000000,,14719000000.000000,10962721905.000000,-56.000000,36.062000,6000000.000000,0.007000,1.000000,209000000.000000,0.476000,12726000000.000000,0.000000,1032000000.000000,,485000000.000000,0.000000,0.000000,0.000000,588000000.000000,346000000.000000,242000000.000000,-22000000.000000,0.000000,0.000000,0.000000,0.000000,-7000000.000000,-42000000.000000,-18000000.000000,30000000.000000,-3000000.000000,-86000000.000000,-86000000.000000,-86000000.000000,0.000000,0.000000,-0.196000,303000000.000000,-94000000.000000,224000000.000000,0.000000,0.827000,-54.311000,-53.571000,456000000.000000,0.000000,15.000000,6.594000,6.553000,204000000.000000,-274000000.000000,439000000.000000,439000000.000000,256000000.000000,,,,,62000000.000000,47000000.000000,1.000000,811048127.000000,806000000.000000,806000000.000000,0.545000,2581000000.000000,0.000000,5000000.000000,137000000.000000,3.202000
