dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,36484223.000000,133865149.000000,2025-05-14,-45656.000000,58396743.000000,,43752211.000000,14644532.000000,,36482.384000,,19921584.000000,19921584.000000,,,6.020000,0.681000,9471729.000000,1249127.000000,8222602.000000,9471729.000000,1859092.000000,,0.000000,0.000000,0.000000,,,,,,,,,,34747355.000000,,34747355.000000,123415294.000000,-9.000000,-10.760000,,,1.000000,,,0.000000,,40678900.000000,,0.000000,22685855.000000,22685855.000000,0.000000,23649388.000000,7267988.000000,16381400.000000,,,,,,,,,,,,,,,,,,,1850925.000000,,3.853000,-9.729000,-9.124000,10732102.000000,,131544.184000,18.843000,17.636000,0.000000,-72922674.000000,,,,,,,,,,1.000000,1018.000000,952.000000,,,58396743.000000,0.000000,,0.000000,61312.650000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,30343477.000000,96998558.000000,2025-05-14,-141376.000000,54781579.000000,,38440733.000000,16340846.000000,,30899.559000,-1772590.000000,14542789.000000,14542789.000000,0.000000,-4211609.000000,4.747000,0.744000,9070597.000000,1298058.000000,7772539.000000,9070597.000000,3109092.000000,476337.000000,0.000000,0.000000,0.000000,-4036098.000000,-3559761.000000,-1.917000,-3559761.000000,-4036098.000000,-4211609.000000,-4212.000000,-4212.000000,-4212.000000,31416849.000000,,31416849.000000,91526366.000000,,,-4553637.000000,-4478.660000,1.000000,1856622.000000,1.000000,0.000000,175511.000000,41212131.000000,,0.000000,22832604.000000,22832604.000000,0.000000,23364730.000000,8097256.000000,15267474.000000,-5378795.000000,-430973.000000,297651.000000,-282503.000000,0.000000,15148.000000,-2401920.000000,-198357.000000,-2781047.000000,-210976.000000,-4211609.000000,-4211609.000000,-4211609.000000,0.000000,0.000000,-2.268000,6445930.000000,-4589308.000000,3690106.000000,0.000000,3.087000,,,12055283.000000,0.000000,95256.133000,,,166824.000000,-77134283.000000,1856622.000000,1856622.000000,4649500.000000,,,,,15311.000000,1796430.000000,1.000000,1018.000000,1017.000000,1017.000000,1826.052000,54781579.000000,0.000000,0.000000,0.000000,53879.581000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,27274112.000000,82680946.000000,2025-05-14,-117847.000000,51301716.000000,,32586849.000000,18714867.000000,,31116.846000,-2729842.000000,12434980.000000,12434980.000000,0.000000,-667954.000000,6.134000,0.619000,8798373.000000,1167031.000000,7631342.000000,8798373.000000,20371.000000,491013.000000,0.000000,0.000000,0.000000,-597371.000000,-106358.000000,-0.021000,-106358.000000,-597371.000000,-667954.000000,-648.000000,-648.000000,-648.000000,31689956.000000,,31689956.000000,79044339.000000,,,-5796249.000000,-5691.424000,1.000000,5084864.000000,1.000000,0.000000,70583.000000,42352372.000000,,0.000000,18821289.000000,18821289.000000,0.000000,19611760.000000,5312737.000000,14299023.000000,-2107809.000000,-141603.000000,78174.000000,-255982.000000,0.000000,-177808.000000,1159636.000000,4031081.000000,-3066407.000000,-23230.000000,-667954.000000,-667954.000000,-667954.000000,0.000000,0.000000,-0.131000,6134644.000000,-1049780.000000,4125335.000000,0.000000,2.609000,,,14329002.000000,0.000000,81000.113000,,,162967.000000,-77802237.000000,5084864.000000,5084864.000000,4449727.000000,,,,,12102.000000,1684917.000000,1.000000,1021.000000,1018.000000,1018.000000,4992.905000,51301716.000000,0.000000,0.000000,0.000000,50373.929000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,20375997.000000,91205267.000000,2025-05-14,-118650.000000,49950030.000000,,28538905.000000,21411125.000000,,27191.145000,-1946528.000000,6394522.000000,6394522.000000,0.000000,-12147606.000000,3.496000,0.790000,8544245.000000,1080301.000000,7463944.000000,8544245.000000,1766592.000000,484862.000000,0.000000,0.000000,0.000000,-12096559.000000,-11611697.000000,-6.456000,-11611697.000000,-12096559.000000,-12147606.000000,-11826.000000,-11826.000000,-11826.000000,27911466.000000,,27911466.000000,93354990.000000,,,-4546619.000000,-4429.283000,1.000000,1798552.000000,1.000000,0.000000,51047.000000,43936845.000000,,0.000000,20224529.000000,20224529.000000,0.000000,22038564.000000,8162908.000000,13875656.000000,-6040458.000000,-38903.000000,201848.000000,-269192.000000,0.000000,-67344.000000,-3374965.000000,-1389534.000000,-2600091.000000,1942.000000,-12147606.000000,-12147606.000000,-12147606.000000,0.000000,0.000000,-6.754000,14326431.000000,-12527879.000000,5316015.000000,0.000000,3.268000,,,15832406.000000,0.000000,82944.116000,,,130294.000000,-89949843.000000,1798552.000000,1798552.000000,4636541.000000,,,,,12102.000000,1377468.000000,1.000000,1100.000000,1026.000000,1026.000000,1752.136000,49950030.000000,0.000000,0.000000,0.000000,48660.953000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,24975816.000000,61734191.000000,2025-05-14,-8877.000000,44301466.000000,,30179392.000000,14122074.000000,,27192.852000,6742760.000000,15941701.000000,15941701.000000,0.000000,-1086411.000000,5.800000,0.533000,5186106.000000,1078081.000000,4108025.000000,5186106.000000,16144.000000,516022.000000,0.000000,0.000000,0.000000,-945561.000000,-429539.000000,-0.229000,-429539.000000,-945561.000000,-1086411.000000,-810.000000,,-810.000000,28900155.000000,,28900155.000000,50978596.000000,-3.000000,-3.246000,1422527.000000,1338.490000,1.000000,1877405.000000,1.000000,0.000000,140850.000000,28342295.000000,,0.000000,13108497.000000,13108497.000000,0.000000,15401311.000000,5203576.000000,10197735.000000,9547179.000000,1329770.000000,1572886.000000,-1689172.000000,0.000000,-116286.000000,14933061.000000,6860531.000000,-5320233.000000,50637.000000,-1086411.000000,-1086411.000000,-1086411.000000,0.000000,0.000000,-0.579000,6198612.000000,-4321207.000000,867804.000000,0.000000,2.136000,-3.408000,-3.130000,7922751.000000,0.000000,54756.076000,5.814000,5.318000,0.000000,-91036254.000000,1877405.000000,1877405.000000,4867755.000000,,,,,70439.000000,1299595.000000,1.000000,1127.000000,1063.000000,,1766.496000,44301466.000000,0.000000,0.000000,0.000000,41684.316000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,21459707.000000,38748672.000000,2025-05-14,-4140.000000,39686764.000000,,25513217.000000,14173547.000000,,23516.589000,-267583.000000,14384717.000000,14384717.000000,0.000000,-3518537.000000,6.294000,0.503000,4945106.000000,1006161.000000,3938945.000000,4945106.000000,14862.000000,525620.000000,0.000000,0.000000,0.000000,-3409719.000000,-2884099.000000,-1.565000,-2884099.000000,-3409719.000000,-3518537.000000,-3078.000000,-3078.000000,-3078.000000,26397324.000000,,26397324.000000,29309061.000000,-2.000000,-1.950000,-4658228.000000,-4149.876000,1.000000,1842975.000000,1.000000,0.000000,108818.000000,26193643.000000,,0.000000,9771672.000000,9771672.000000,0.000000,13289440.000000,4053510.000000,9235930.000000,-1556984.000000,-153858.000000,156558.000000,-241000.000000,0.000000,-84442.000000,2918103.000000,3339544.000000,-4390645.000000,0.000000,-3518537.000000,-3518537.000000,-3518537.000000,0.000000,0.000000,-1.909000,5646668.000000,-3803693.000000,3032487.000000,0.000000,1.468000,-2.224000,-2.099000,7785061.000000,0.000000,34344.048000,3.654000,3.636000,186906.000000,-94554791.000000,1842975.000000,1842975.000000,4499662.000000,,,,,61686.000000,1147006.000000,1.000000,1128.000000,1122.000000,1122.000000,1641.851000,39686764.000000,0.000000,0.000000,0.000000,35355.755000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,17644026.000000,18277935.000000,2025-05-14,-3412.000000,39634956.000000,,24795359.000000,14839597.000000,,20055.773000,-959226.000000,12864589.000000,12864589.000000,0.000000,-4048373.000000,3.467000,0.759000,5981079.000000,1326079.000000,4655000.000000,5981079.000000,1758648.000000,513588.000000,0.000000,0.000000,0.000000,-3923496.000000,-3409908.000000,-1.788000,-3409908.000000,-3923496.000000,-4048373.000000,-3564.000000,-3564.000000,-3564.000000,22531638.000000,,22531638.000000,11394425.000000,-1.000000,-0.621000,-1600932.000000,-1425.015000,1.000000,1906588.000000,1.000000,0.000000,124877.000000,25600113.000000,,0.000000,10430726.000000,10430726.000000,0.000000,17103318.000000,7151333.000000,9951985.000000,-1520128.000000,-422730.000000,125887.000000,1035973.000000,0.000000,1161860.000000,-2040282.000000,-658326.000000,-641706.000000,0.000000,-4048373.000000,-4048373.000000,-4048373.000000,0.000000,0.000000,-2.123000,6181606.000000,-4275018.000000,4066606.000000,0.000000,0.811000,-0.879000,-0.840000,8346898.000000,0.000000,16200.023000,2.462000,2.451000,190455.000000,-98603164.000000,1906588.000000,1906588.000000,4917357.000000,,,,,56072.000000,1264249.000000,1.000000,1128.000000,1123.000000,1123.000000,1697.085000,39634956.000000,0.000000,0.000000,0.000000,35279.711000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,14011836.000000,32164112.000000,2025-05-14,10975.000000,33535113.000000,,18294970.000000,15240143.000000,,17620.891000,-874312.000000,9289600.000000,9289600.000000,0.000000,-2867680.000000,4.271000,0.687000,5381250.000000,1305000.000000,4076250.000000,5381250.000000,8448.000000,578286.000000,0.000000,0.000000,0.000000,-2742867.000000,-2164581.000000,-0.852000,-2164581.000000,-2742867.000000,-2867680.000000,-2592.000000,-2592.000000,-2592.000000,19878744.000000,,19878744.000000,28255762.000000,-3.000000,-3.179000,-5605732.000000,-4969.026000,1.000000,2539557.000000,1.000000,0.000000,124813.000000,25343629.000000,,0.000000,7596571.000000,7596571.000000,0.000000,13656369.000000,4283134.000000,9373235.000000,-3574989.000000,-119414.000000,-87582.000000,-599829.000000,0.000000,-687411.000000,1843842.000000,2837568.000000,-4731420.000000,0.000000,-2867680.000000,-2867680.000000,-2867680.000000,0.000000,0.000000,-1.129000,5563389.000000,-3023832.000000,2969686.000000,0.000000,1.618000,-2.792000,-2.823000,8766945.000000,0.000000,28350.040000,3.939000,3.916000,196908.000000,-101470844.000000,2539557.000000,2539557.000000,4282313.000000,,,,,287981.000000,1281076.000000,1.000000,1135.000000,1128.000000,1128.000000,2251.111000,33535113.000000,0.000000,0.000000,0.000000,29726.152000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,12886186.000000,22416419.000000,2025-05-14,-103669282.000000,32865682.000000,,18434010.000000,14431672.000000,,15682.533000,-52403.000000,7864788.000000,7864788.000000,0.000000,-2193240.000000,3.323000,0.836000,5078750.000000,1317083.000000,3761667.000000,5078750.000000,2500000.000000,626652.000000,0.000000,0.000000,0.000000,-2079348.000000,-1452696.000000,-0.578000,-1452696.000000,-2079348.000000,-2193240.000000,-1944.000000,-1944.000000,-1944.000000,17897408.000000,,17897408.000000,19630381.000000,-2.000000,-1.981000,475021.000000,416.235000,1.000000,2514043.000000,1.000000,0.000000,113892.000000,24531820.000000,,0.000000,9520939.000000,9520939.000000,0.000000,14968274.000000,5547824.000000,9420450.000000,-1424812.000000,295783.000000,34432.000000,-302499.000000,0.000000,-268067.000000,-1684169.000000,-1927549.000000,527424.000000,0.000000,-2193240.000000,-2193240.000000,-2193240.000000,0.000000,0.000000,-0.872000,4869625.000000,-2355582.000000,710622.000000,0.000000,1.252000,-1.775000,-1.768000,8356009.000000,0.000000,19764.028000,2.546000,2.535000,0.000000,-103664084.000000,2514043.000000,2514043.000000,3959198.000000,,,,,145270.000000,910427.000000,1.000000,1134.000000,1141.000000,1141.000000,2202.920000,32865682.000000,0.000000,0.000000,0.000000,28798.423000
ARQ,1999-03-31,1999-05-13,1999-03-31,1999-Q1,11035129.000000,18459391.000000,2025-05-14,-105609323.000000,28593972.000000,,14572976.000000,14020996.000000,,14186.407000,-41624.000000,3875229.000000,3875229.000000,0.000000,-1932695.000000,4.119000,0.770000,4750000.000000,1567083.000000,3182917.000000,4750000.000000,0.000000,580556.000000,0.000000,0.000000,0.000000,-1838870.000000,-1258314.000000,-0.503000,-1258314.000000,-1838870.000000,-1932695.000000,-1620.000000,-1620.000000,-1620.000000,16158757.000000,,16158757.000000,19334162.000000,-2.000000,-2.333000,-3225957.000000,-2832.194000,1.000000,2501035.000000,1.000000,0.000000,93825.000000,25930896.000000,,0.000000,9865706.000000,9865706.000000,0.000000,12435215.000000,3537847.000000,8897368.000000,-3989559.000000,-149043.000000,66428.000000,-328750.000000,0.000000,-262322.000000,-542904.000000,-352237.000000,-3184333.000000,0.000000,-1932695.000000,-1932695.000000,-1932695.000000,0.000000,0.000000,-0.773000,4562016.000000,-2060981.000000,1970764.000000,0.000000,1.142000,-1.672000,-1.667000,7946806.000000,0.000000,16200.023000,1.951000,1.950000,203538.000000,-105596779.000000,2501035.000000,2501035.000000,3566557.000000,,,,,134963.000000,995459.000000,1.000000,1139.000000,1139.000000,1139.000000,2195.757000,28593972.000000,0.000000,0.000000,0.000000,25103.770000
