dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-06-30,2017-10-17,2017-07-31,2018-Q2,29347000.000000,,2025-03-21,-241000.000000,157916000.000000,,139593000.000000,18323000.000000,,-23.771000,,40769000.000000,40769000.000000,,,1.266000,-0.408000,0.000000,0.000000,0.000000,0.000000,105266000.000000,,0.000000,,0.000000,,,,,,,,,,-318197000.000000,,-318197000.000000,,,,,,1.000000,,,3769000.000000,,3132000.000000,,0.000000,51682000.000000,51682000.000000,0.000000,129685000.000000,110246000.000000,19439000.000000,,,,,,,,,,,,,,,,,,,2507000.000000,,,,,5100000.000000,,,,,32661000.000000,-393170000.000000,,,,,,,,,,1.000000,48968305.000000,13386109.000000,,,154147000.000000,84000.000000,,140000.000000,11.515000
ARQ,2017-09-30,2017-12-15,2017-10-31,2018-Q3,221607000.000000,1488112849.000000,2025-03-21,-216000.000000,353995000.000000,,338859000.000000,15136000.000000,,12.237000,-88000.000000,242745000.000000,242745000.000000,11071000.000000,-24216000.000000,2.890000,0.661000,0.000000,0.000000,0.000000,0.000000,114773000.000000,929000.000000,0.000000,0.000000,0.000000,-23880000.000000,-22951000.000000,-0.553000,-22951000.000000,-23880000.000000,-23880000.000000,-1.390000,-1.390000,-1.390000,213185000.000000,,213185000.000000,1245367849.000000,,,-10388000.000000,-0.596000,1.000000,30417000.000000,0.733000,3548000.000000,0.000000,-9550000.000000,,0.000000,45810000.000000,45810000.000000,0.000000,140810000.000000,117252000.000000,23558000.000000,201978000.000000,0.000000,205292000.000000,0.000000,0.000000,206469000.000000,5787000.000000,5875000.000000,-10300000.000000,22000.000000,-24216000.000000,-24216000.000000,-24216000.000000,0.000000,0.000000,-0.584000,54467000.000000,-24050000.000000,3147000.000000,0.000000,6.980000,,,4430000.000000,0.000000,29.420000,,,35233000.000000,-417386000.000000,41488000.000000,41488000.000000,16588000.000000,,,,,5695000.000000,37879000.000000,1.000000,50581674.000000,17421642.000000,17421642.000000,2.381000,350447000.000000,102000.000000,336000.000000,259000.000000,20.116000
ARQ,2017-12-31,2018-03-30,2018-01-31,2018-Q4,200933000.000000,2194991673.000000,2025-03-21,-159000.000000,415196000.000000,,343550000.000000,71646000.000000,,8.158000,-421000.000000,61902000.000000,61902000.000000,12401000.000000,-26374000.000000,2.409000,1.146000,0.000000,0.000000,0.000000,0.000000,137430000.000000,914000.000000,0.000000,0.000000,0.000000,-25904000.000000,-24990000.000000,-0.555000,-24990000.000000,-25904000.000000,-25904000.000000,0.680000,0.680000,0.680000,193493000.000000,,193493000.000000,2133089673.000000,-22.000000,-23.348000,-8133000.000000,-0.343000,1.000000,32640000.000000,0.725000,3327000.000000,0.000000,207350000.000000,,0.000000,217072000.000000,217072000.000000,0.000000,221703000.000000,142617000.000000,79086000.000000,-180838000.000000,0.000000,-1311000.000000,0.000000,0.000000,-1311000.000000,-171924000.000000,-171503000.000000,-7712000.000000,109000.000000,-26374000.000000,-26374000.000000,-26374000.000000,0.000000,0.000000,-0.586000,59893000.000000,-27253000.000000,2261000.000000,0.000000,11.344000,-22.779000,-10.690000,59557000.000000,0.000000,43.400000,14.205000,6.662000,46872000.000000,-443760000.000000,45041000.000000,45041000.000000,16788000.000000,,,,,6169000.000000,43105000.000000,1.000000,50575845.000000,23718391.000000,23718391.000000,1.899000,411869000.000000,326000.000000,470000.000000,18000.000000,17.365000
ARQ,2018-03-31,2018-06-07,2018-04-30,2019-Q1,181063000.000000,2510308183.000000,2025-03-21,-274000.000000,400227000.000000,,325719000.000000,74508000.000000,,3.426000,-367000.000000,111617000.000000,111617000.000000,13749000.000000,-29164000.000000,2.252000,1.320000,0.000000,0.000000,0.000000,0.000000,141845000.000000,817000.000000,0.000000,0.000000,0.000000,-28697000.000000,-27880000.000000,-0.578000,-27880000.000000,-28697000.000000,-28697000.000000,-0.580000,-0.580000,-0.580000,172507000.000000,,172507000.000000,2398691183.000000,,,-8416000.000000,-0.167000,1.000000,34473000.000000,0.715000,3106000.000000,0.000000,140848000.000000,,0.000000,159371000.000000,159371000.000000,0.000000,227720000.000000,144656000.000000,83064000.000000,49712000.000000,0.000000,136000.000000,0.000000,0.000000,136000.000000,57633000.000000,58000000.000000,-8049000.000000,-8000.000000,-29164000.000000,-29164000.000000,-29164000.000000,0.000000,0.000000,-0.605000,63761000.000000,-29288000.000000,1429000.000000,0.000000,14.552000,,,63335000.000000,0.000000,49.580000,,,32475000.000000,-472924000.000000,48222000.000000,48222000.000000,18645000.000000,,,,,7508000.000000,45116000.000000,1.000000,50631468.000000,50350052.000000,50350052.000000,0.958000,397121000.000000,323000.000000,467000.000000,19000.000000,7.887000
ARQ,2018-06-30,2018-09-07,2018-07-31,2019-Q2,427470000.000000,4174138247.000000,2025-03-21,-340000.000000,663930000.000000,,583706000.000000,80224000.000000,,4.076000,-1194000.000000,122771000.000000,122771000.000000,16494000.000000,-31246000.000000,3.736000,2.182000,210553000.000000,0.000000,210553000.000000,210553000.000000,145761000.000000,806000.000000,0.000000,0.000000,0.000000,-29706000.000000,-28900000.000000,-0.503000,-28900000.000000,-29706000.000000,-31000000.000000,-0.610000,-0.610000,-0.610000,208624000.000000,,208624000.000000,4261920247.000000,-39.000000,-40.698000,-18046000.000000,-0.353000,1.000000,40996000.000000,0.713000,2885000.000000,1294000.000000,592591000.000000,,0.000000,399906000.000000,399906000.000000,0.000000,455306000.000000,156236000.000000,299070000.000000,11150000.000000,0.000000,13287000.000000,293161000.000000,0.000000,269738000.000000,-241661000.000000,-240467000.000000,-16852000.000000,-75000.000000,-31246000.000000,-31246000.000000,-31246000.000000,0.000000,0.000000,-0.544000,71564000.000000,-30568000.000000,2256000.000000,0.000000,20.008000,-37.605000,-42.074000,70374000.000000,0.000000,79.940000,21.713000,21.284000,38340000.000000,-504170000.000000,57490000.000000,57490000.000000,21430000.000000,,,,,9078000.000000,50134000.000000,1.000000,52215890.000000,51185258.000000,51185258.000000,1.123000,661045000.000000,300000.000000,246000.000000,39000.000000,12.915000
ARQ,2018-09-30,2018-12-06,2018-10-31,2019-Q3,415129000.000000,4863986308.000000,2025-03-21,-380000.000000,670670000.000000,,587464000.000000,83206000.000000,,3.743000,-2137000.000000,139490000.000000,139490000.000000,17758000.000000,-31320000.000000,3.409000,2.400000,213692000.000000,0.000000,213692000.000000,213692000.000000,153838000.000000,1711000.000000,0.000000,0.000000,0.000000,-26995000.000000,-25284000.000000,-0.389000,-25284000.000000,-26995000.000000,-31353000.000000,-0.590000,-0.590000,-0.590000,197245000.000000,,197245000.000000,4938188308.000000,-44.000000,-46.128000,-9745000.000000,-0.185000,1.000000,47227000.000000,0.727000,2665000.000000,4358000.000000,569872000.000000,,0.000000,382681000.000000,382681000.000000,0.000000,473425000.000000,172335000.000000,301090000.000000,16716000.000000,0.000000,9507000.000000,-2016000.000000,0.000000,7748000.000000,16594000.000000,18731000.000000,-7608000.000000,-18000.000000,-31320000.000000,-31320000.000000,-31320000.000000,0.000000,0.000000,-0.482000,76281000.000000,-29054000.000000,1942000.000000,0.000000,24.660000,-41.184000,-82.491000,73191000.000000,0.000000,90.740000,22.546000,22.167000,37497000.000000,-535490000.000000,64985000.000000,64985000.000000,23179000.000000,,,,,10264000.000000,53102000.000000,1.000000,53603552.000000,52702526.000000,52702526.000000,1.233000,668005000.000000,701000.000000,-33000.000000,42000.000000,12.675000
ARQ,2018-12-31,2019-04-01,2019-01-31,2019-Q4,401599000.000000,8135991981.000000,2025-03-21,-174000.000000,733476000.000000,,566236000.000000,167240000.000000,,4.913000,-3150000.000000,147831000.000000,147831000.000000,25567000.000000,-7281000.000000,3.439000,1.772000,216858000.000000,0.000000,216858000.000000,216858000.000000,137676000.000000,2458000.000000,0.000000,0.000000,0.000000,-6641000.000000,-4183000.000000,-0.043000,-4183000.000000,-6641000.000000,-11279000.000000,-0.120000,-0.120000,-0.120000,264566000.000000,,264566000.000000,8205018981.000000,-89.000000,-95.134000,-12630000.000000,-0.235000,1.000000,70752000.000000,0.735000,57772000.000000,4638000.000000,580094000.000000,,0.000000,318139000.000000,318139000.000000,0.000000,468910000.000000,164637000.000000,304273000.000000,8342000.000000,-55517000.000000,9519000.000000,0.000000,0.000000,10614000.000000,7155000.000000,65822000.000000,-9480000.000000,53000.000000,-7281000.000000,-7281000.000000,-7281000.000000,0.000000,0.000000,-0.076000,79607000.000000,-8855000.000000,2153000.000000,0.000000,30.752000,-82.173000,-77.868000,73664000.000000,0.000000,147.950000,30.470000,28.832000,72808000.000000,-488607000.000000,96319000.000000,96319000.000000,26600000.000000,,,,,10553000.000000,53007000.000000,1.000000,54991497.000000,53845321.000000,53845321.000000,1.789000,675704000.000000,1193000.000000,-3998000.000000,106000.000000,12.549000
ARQ,2019-03-31,2019-06-07,2019-04-30,2020-Q1,389022000.000000,9404212850.000000,2025-03-21,-103000.000000,734241000.000000,,567189000.000000,167052000.000000,,4.531000,-389000.000000,158060000.000000,158060000.000000,28172000.000000,-33240000.000000,3.183000,1.962000,233481000.000000,3575000.000000,229906000.000000,233481000.000000,143695000.000000,3317000.000000,0.000000,0.000000,0.000000,-28689000.000000,-25372000.000000,-0.284000,-25372000.000000,-28689000.000000,-33378000.000000,-0.610000,-0.610000,-0.610000,247868000.000000,,247868000.000000,9479633850.000000,-103.000000,-113.205000,2825000.000000,0.052000,1.000000,61216000.000000,0.685000,56101000.000000,4689000.000000,575394000.000000,,0.000000,318346000.000000,318346000.000000,0.000000,486373000.000000,178167000.000000,308206000.000000,10227000.000000,0.000000,6407000.000000,0.000000,0.000000,6407000.000000,587000.000000,976000.000000,3214000.000000,19000.000000,-33240000.000000,-33240000.000000,-33240000.000000,0.000000,0.000000,-0.372000,91793000.000000,-30577000.000000,2080000.000000,0.000000,37.940000,-91.226000,-88.067000,72687000.000000,0.000000,169.970000,30.515000,30.174000,61600000.000000,-525950000.000000,89388000.000000,89388000.000000,30868000.000000,,,,,14009000.000000,60925000.000000,1.000000,55328663.000000,54710746.000000,54710746.000000,1.634000,678140000.000000,1753000.000000,-138000.000000,109000.000000,12.395000
ARQ,2019-06-30,2019-09-05,2019-07-31,2020-Q2,344371000.000000,8472241924.000000,2025-03-21,-332000.000000,741597000.000000,,533373000.000000,208224000.000000,,4.301000,-1207000.000000,186684000.000000,186684000.000000,30202000.000000,-37336000.000000,2.822000,2.098000,236087000.000000,3729000.000000,232358000.000000,236087000.000000,150199000.000000,4700000.000000,0.000000,0.000000,0.000000,-35737000.000000,-31037000.000000,-0.312000,-31037000.000000,-35737000.000000,-40677000.000000,-0.670000,-0.670000,-0.670000,239343000.000000,,239343000.000000,8521644924.000000,-87.000000,-99.232000,-13800000.000000,-0.248000,1.000000,69166000.000000,0.696000,95586000.000000,4940000.000000,506412000.000000,,0.000000,249369000.000000,249369000.000000,0.000000,502254000.000000,189002000.000000,313252000.000000,28624000.000000,-38629000.000000,11306000.000000,0.000000,0.000000,11306000.000000,30163000.000000,69999000.000000,-12593000.000000,-252000.000000,-37336000.000000,-37336000.000000,-37336000.000000,0.000000,0.000000,-0.376000,106838000.000000,-37672000.000000,2658000.000000,0.000000,35.398000,-77.601000,-75.598000,71327000.000000,0.000000,150.440000,24.202000,23.915000,66783000.000000,-563286000.000000,99368000.000000,99368000.000000,37140000.000000,,,,,17662000.000000,69698000.000000,1.000000,56316418.000000,55647707.000000,55647707.000000,1.786000,646011000.000000,1897000.000000,-3341000.000000,114000.000000,11.609000
ARQ,2019-09-30,2019-12-10,2019-10-31,2020-Q3,321099000.000000,7330136439.000000,2025-03-21,189000.000000,734985000.000000,,525621000.000000,209364000.000000,,3.879000,-754000.000000,151307000.000000,151307000.000000,32191000.000000,-42383000.000000,2.570000,2.359000,239914000.000000,4180000.000000,235734000.000000,239914000.000000,152390000.000000,6844000.000000,0.000000,0.000000,0.000000,-37011000.000000,-30167000.000000,-0.276000,-30167000.000000,-37011000.000000,-41824000.000000,-0.750000,-0.750000,-0.750000,218835000.000000,,218835000.000000,7418743439.000000,-69.000000,-81.741000,-12297000.000000,-0.218000,1.000000,77250000.000000,0.706000,92466000.000000,4813000.000000,526604000.000000,,0.000000,274560000.000000,274560000.000000,0.000000,516150000.000000,204522000.000000,311628000.000000,-35376000.000000,0.000000,1929000.000000,-798000.000000,0.000000,1131000.000000,-25259000.000000,-24505000.000000,-11543000.000000,295000.000000,-42383000.000000,-42383000.000000,-42383000.000000,0.000000,0.000000,-0.387000,115964000.000000,-38714000.000000,2124000.000000,0.000000,33.496000,-60.963000,-60.084000,71569000.000000,0.000000,129.180000,18.580000,18.471000,67506000.000000,-605669000.000000,109441000.000000,109441000.000000,39387000.000000,,,,,19367000.000000,76577000.000000,1.000000,56743586.000000,56411779.000000,56411779.000000,1.940000,642519000.000000,2206000.000000,559000.000000,114000.000000,11.390000
