dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-12-31,2007-03-28,2006-12-31,2006-Q4,36081000.000000,288455018.000000,2025-05-02,2000.000000,54789000.000000,,47627000.000000,7162000.000000,,-2.746000,,34227000.000000,34227000.000000,,,4.125000,-8.424000,5500000.000000,2330000.000000,3170000.000000,5500000.000000,457000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-1747000.000000,,-1747000.000000,259728018.000000,-5.000000,-4.844000,,,1.000000,,,0.000000,,14516000.000000,,0.000000,13137000.000000,13137000.000000,0.000000,14716000.000000,11546000.000000,3170000.000000,,,,,,,,,,,,,,,,,,,2632000.000000,,-165.114000,-4.878000,-3.207000,6067000.000000,,298.550000,,,0.000000,-236558000.000000,,,,,,,,,,1.000000,966187.000000,636150.000000,,,54789000.000000,0.000000,,0.000000,86.126000
ARQ,2007-03-31,2007-05-07,2007-03-31,2007-Q1,67056000.000000,290145887.000000,2025-05-02,0.000000,85197000.000000,,79348000.000000,5849000.000000,,85.399000,-493000.000000,77416000.000000,77416000.000000,0.000000,-16355000.000000,6.455000,0.225000,5816000.000000,2448000.000000,3368000.000000,5816000.000000,457000.000000,798000.000000,0.000000,0.000000,0.000000,-16355000.000000,-15557000.000000,,-15557000.000000,-16355000.000000,-16355000.000000,-92.050000,-92.050000,-92.050000,69537000.000000,,69537000.000000,218545887.000000,,,-13671000.000000,-16.789000,1.000000,0.000000,,0.000000,0.000000,1305000.000000,,0.000000,1000000.000000,1000000.000000,0.000000,15660000.000000,12292000.000000,3368000.000000,43189000.000000,0.000000,44409000.000000,-594000.000000,0.000000,44725000.000000,11642000.000000,12135000.000000,-13178000.000000,0.000000,-16355000.000000,-74940000.000000,-74940000.000000,0.000000,0.000000,,17012000.000000,-17012000.000000,1822000.000000,0.000000,4.173000,,,5762000.000000,58585000.000000,300.300000,,,0.000000,-252913000.000000,0.000000,0.000000,13544000.000000,,,,,1412000.000000,3468000.000000,1.000000,966187.000000,814261.000000,814261.000000,0.000000,85197000.000000,0.000000,0.000000,0.000000,104.631000
ARQ,2007-06-30,2007-08-06,2007-06-30,2007-Q2,50053000.000000,272687516.000000,2025-05-02,0.000000,71600000.000000,,65924000.000000,5676000.000000,,54.990000,-331000.000000,64609000.000000,64609000.000000,0.000000,-16741000.000000,4.154000,0.365000,5708000.000000,2440000.000000,3268000.000000,5708000.000000,0.000000,848000.000000,0.000000,0.000000,0.000000,-16741000.000000,-15893000.000000,,-15893000.000000,-16741000.000000,-16741000.000000,-17.500000,-17.500000,-17.500000,52461000.000000,,52461000.000000,213786516.000000,,,-12898000.000000,-13.520000,1.000000,0.000000,,0.000000,0.000000,-3172000.000000,,0.000000,0.000000,0.000000,0.000000,19139000.000000,15871000.000000,3268000.000000,-12350000.000000,0.000000,0.000000,-696000.000000,0.000000,-452000.000000,669000.000000,1000000.000000,-12567000.000000,0.000000,-16741000.000000,-16741000.000000,-16741000.000000,0.000000,0.000000,,17466000.000000,-17466000.000000,1981000.000000,0.000000,5.198000,,,5589000.000000,0.000000,282.100000,,,0.000000,-269653000.000000,0.000000,0.000000,13613000.000000,,,,,1495000.000000,3853000.000000,1.000000,966634.000000,954002.000000,954002.000000,0.000000,71600000.000000,0.000000,0.000000,0.000000,75.052000
ARQ,2007-09-30,2007-11-13,2007-09-30,2007-Q3,36686000.000000,273419250.000000,2025-05-02,0.000000,56013000.000000,,50510000.000000,5503000.000000,,40.950000,-660000.000000,48422000.000000,48422000.000000,0.000000,-14875000.000000,3.654000,0.434000,5587000.000000,2468000.000000,3119000.000000,5587000.000000,0.000000,826000.000000,0.000000,0.000000,0.000000,-14875000.000000,-14049000.000000,,-14049000.000000,-14875000.000000,-14875000.000000,-15.750000,-15.750000,-15.750000,39070000.000000,,39070000.000000,230584250.000000,,,-16066000.000000,-16.839000,1.000000,0.000000,,0.000000,0.000000,-646000.000000,,0.000000,0.000000,0.000000,0.000000,16943000.000000,13824000.000000,3119000.000000,-16187000.000000,0.000000,0.000000,-656000.000000,0.000000,-121000.000000,-660000.000000,0.000000,-15406000.000000,0.000000,-14875000.000000,-14875000.000000,-14875000.000000,0.000000,0.000000,,15394000.000000,-15394000.000000,1970000.000000,0.000000,6.998000,,,5421000.000000,0.000000,282.450000,,,0.000000,-284529000.000000,0.000000,0.000000,11542000.000000,,,,,994000.000000,3852000.000000,1.000000,968027.000000,954090.000000,954090.000000,0.000000,56013000.000000,0.000000,0.000000,0.000000,58.708000
ARQ,2007-12-31,2008-03-20,2007-12-31,2007-Q4,96225000.000000,269294627.000000,2025-05-02,0.000000,122649000.000000,,116997000.000000,5652000.000000,,25.236000,-866000.000000,115660000.000000,115660000.000000,0.000000,-15524000.000000,5.632000,3.926000,5221000.000000,2406000.000000,2815000.000000,5221000.000000,79517000.000000,879000.000000,0.000000,0.000000,0.000000,-15524000.000000,-14645000.000000,-19.711000,-14645000.000000,-15524000.000000,-15524000.000000,-14.350000,-14.350000,-14.350000,24896000.000000,,24896000.000000,158855627.000000,-3.000000,-2.641000,67507000.000000,68.430000,1.000000,743000.000000,1.000000,0.000000,0.000000,-8562000.000000,,0.000000,0.000000,0.000000,0.000000,97753000.000000,20772000.000000,76981000.000000,67238000.000000,0.000000,97000.000000,-671000.000000,0.000000,-269000.000000,-866000.000000,0.000000,68373000.000000,0.000000,-15524000.000000,-15524000.000000,-15524000.000000,0.000000,0.000000,-20.894000,17086000.000000,-16343000.000000,2488000.000000,0.000000,10.817000,-2.206000,-2.114000,5576000.000000,0.000000,278.250000,362.442000,347.382000,0.000000,-300053000.000000,743000.000000,743000.000000,13334000.000000,,,,,1516000.000000,3752000.000000,1.000000,967815.000000,986511.000000,986511.000000,0.753000,122649000.000000,0.000000,0.000000,0.000000,124.326000
ARQ,2008-03-31,2008-05-14,2008-03-31,2008-Q1,80748000.000000,235422333.000000,2025-05-02,0.000000,106642000.000000,,101273000.000000,5369000.000000,,11.129000,-395000.000000,99289000.000000,99289000.000000,0.000000,-17650000.000000,4.934000,8.943000,4964000.000000,2401000.000000,2563000.000000,4964000.000000,78180000.000000,678000.000000,0.000000,0.000000,0.000000,-17650000.000000,-16972000.000000,-12.685000,-16972000.000000,-17650000.000000,-17650000.000000,-18.200000,-18.200000,-18.200000,10725000.000000,,10725000.000000,141097333.000000,-2.000000,-2.292000,-16115000.000000,-16.722000,1.000000,1338000.000000,1.000000,0.000000,0.000000,-8208000.000000,,0.000000,0.000000,0.000000,0.000000,95917000.000000,20525000.000000,75392000.000000,-16371000.000000,0.000000,0.000000,-636000.000000,0.000000,-256000.000000,-395000.000000,0.000000,-15720000.000000,0.000000,-17650000.000000,-17650000.000000,-17650000.000000,0.000000,0.000000,-13.191000,19783000.000000,-18445000.000000,4531000.000000,0.000000,21.951000,-3.634000,-3.697000,5293000.000000,0.000000,243.250000,113.129000,112.650000,0.000000,-317703000.000000,1338000.000000,1338000.000000,16150000.000000,,,,,2136000.000000,3633000.000000,1.000000,967820.000000,963721.000000,963721.000000,1.388000,106642000.000000,0.000000,0.000000,0.000000,110.657000
ARQ,2008-06-30,2008-08-07,2008-06-30,2008-Q2,60258000.000000,214887700.000000,2025-05-02,0.000000,87062000.000000,,80981000.000000,6081000.000000,,-10.594000,-596000.000000,79459000.000000,79459000.000000,0.000000,-22694000.000000,3.908000,-9.526000,5416000.000000,2573000.000000,2843000.000000,5416000.000000,76841000.000000,628000.000000,0.000000,0.000000,0.000000,-22694000.000000,-22066000.000000,34.970000,-22066000.000000,-22694000.000000,-22694000.000000,-23.450000,-23.450000,-23.450000,-10211000.000000,,-10211000.000000,140844700.000000,-2.000000,-2.079000,-19537000.000000,-20.270000,1.000000,-631000.000000,1.000000,0.000000,0.000000,-7704000.000000,,0.000000,0.000000,0.000000,0.000000,97273000.000000,20723000.000000,76550000.000000,-19830000.000000,0.000000,0.000000,-793000.000000,0.000000,-293000.000000,-596000.000000,0.000000,-18941000.000000,0.000000,-22694000.000000,-22694000.000000,-22694000.000000,0.000000,0.000000,35.965000,22316000.000000,-22947000.000000,3688000.000000,0.000000,-21.045000,-3.038000,-3.093000,6005000.000000,0.000000,221.900000,148.198000,147.497000,0.000000,-340397000.000000,-631000.000000,-631000.000000,18342000.000000,,,,,1758000.000000,3974000.000000,1.000000,968399.000000,963815.000000,963815.000000,-0.655000,87062000.000000,0.000000,0.000000,0.000000,90.331000
ARQ,2008-09-30,2008-11-13,2008-09-30,2008-Q3,57709000.000000,192663237.000000,2025-05-02,0.000000,90764000.000000,,84948000.000000,5816000.000000,,-35.906000,-444000.000000,58549000.000000,58549000.000000,0.000000,-26321000.000000,3.119000,-3.622000,4711000.000000,2410000.000000,2301000.000000,4711000.000000,99022000.000000,729000.000000,0.000000,0.000000,0.000000,-26321000.000000,-25592000.000000,-20.119000,-25592000.000000,-26321000.000000,-26321000.000000,-27.300000,-27.300000,-27.300000,-34610000.000000,,-34610000.000000,138825237.000000,-2.000000,-1.751000,-20274000.000000,-21.033000,1.000000,1272000.000000,1.000000,0.000000,0.000000,9687000.000000,,0.000000,0.000000,0.000000,0.000000,125374000.000000,27239000.000000,98135000.000000,-20978000.000000,0.000000,1000.000000,-705000.000000,0.000000,-704000.000000,-444000.000000,0.000000,-19830000.000000,0.000000,-26321000.000000,-26321000.000000,-26321000.000000,0.000000,0.000000,-20.693000,27723000.000000,-26451000.000000,5828000.000000,0.000000,-5.567000,-2.344000,-2.387000,5740000.000000,0.000000,198.800000,70.780000,70.398000,25000000.000000,-366718000.000000,1272000.000000,1272000.000000,24058000.000000,,,,,1922000.000000,3665000.000000,1.000000,969131.000000,963900.000000,963900.000000,1.320000,90764000.000000,0.000000,0.000000,0.000000,94.163000
ARQ,2008-12-31,2009-03-26,2008-12-31,2008-Q4,57898000.000000,63090426.000000,2025-05-02,15000.000000,97253000.000000,,91221000.000000,6032000.000000,,-60.983000,-749000.000000,52196000.000000,52196000.000000,0.000000,-25953000.000000,2.737000,-2.654000,4182000.000000,2170000.000000,2012000.000000,4182000.000000,127003000.000000,682000.000000,0.000000,0.000000,0.000000,-25464000.000000,-24782000.000000,-38.965000,-24782000.000000,-25464000.000000,-25953000.000000,-26.950000,-26.950000,-26.950000,-58791000.000000,,-58791000.000000,15076426.000000,0.000000,-0.169000,15803000.000000,16.392000,1.000000,636000.000000,1.000000,0.000000,489000.000000,15916000.000000,,0.000000,21518000.000000,21518000.000000,0.000000,156044000.000000,33323000.000000,122721000.000000,-6353000.000000,0.000000,0.000000,-653000.000000,0.000000,-653000.000000,-22252000.000000,-21503000.000000,16552000.000000,0.000000,-25953000.000000,-25953000.000000,-25953000.000000,0.000000,0.000000,-40.807000,26501000.000000,-25865000.000000,9625000.000000,0.000000,-1.073000,-0.681000,-0.676000,5929000.000000,0.000000,65.100000,24.126000,23.995000,16000000.000000,-392671000.000000,636000.000000,636000.000000,23031000.000000,,,,,1756000.000000,3470000.000000,1.000000,969131.000000,964057.000000,964057.000000,0.660000,97253000.000000,0.000000,0.000000,0.000000,100.879000
ARQ,2009-03-31,2009-05-07,2009-03-31,2009-Q1,43025000.000000,109899452.000000,2025-05-02,11000.000000,91755000.000000,,85976000.000000,5779000.000000,,-83.831000,-382000.000000,41306000.000000,41306000.000000,0.000000,-23499000.000000,2.002000,-2.131000,3590000.000000,1877000.000000,1713000.000000,3590000.000000,133457000.000000,693000.000000,0.000000,0.000000,0.000000,-23399000.000000,-22706000.000000,-5.035000,-22706000.000000,-23399000.000000,-23499000.000000,-24.150000,-24.150000,-24.150000,-81129000.000000,,-81129000.000000,72183452.000000,-1.000000,-0.759000,11844000.000000,12.238000,1.000000,4510000.000000,1.000000,0.000000,100000.000000,11088000.000000,,0.000000,43598000.000000,43598000.000000,0.000000,172884000.000000,42951000.000000,129933000.000000,-10890000.000000,0.000000,0.000000,-650000.000000,0.000000,-650000.000000,-22466000.000000,-22084000.000000,12226000.000000,0.000000,-23499000.000000,-23499000.000000,-23499000.000000,0.000000,0.000000,-5.210000,27945000.000000,-23435000.000000,19160000.000000,0.000000,-1.355000,-1.116000,-1.113000,5676000.000000,0.000000,113.400000,18.991000,18.964000,0.000000,-416170000.000000,4510000.000000,4510000.000000,22639000.000000,,,,,1165000.000000,4070000.000000,1.000000,969131.000000,967772.000000,967772.000000,4.660000,91755000.000000,0.000000,0.000000,0.000000,94.811000
