dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-12-31,2007-03-06,2006-12-31,2006-Q4,13262.000000,,2025-05-01,0.000000,13852.000000,,13852.000000,0.000000,,0.000000,,6352.000000,6352.000000,,,23.478000,3.246000,10000.000000,0.000000,10000.000000,10000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,3262.000000,,3262.000000,,,,,,1.000000,,,0.000000,,16910.000000,,0.000000,0.000000,0.000000,0.000000,10590.000000,590.000000,10000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,-1437604.000000,,,,,,,,,,1.000000,7407832.000000,7407832.000000,,,13852.000000,0.000000,,0.000000,0.002000
ARQ,2007-03-31,2007-05-10,2007-03-31,2007-Q1,-2897.000000,,2025-05-01,0.000000,5277.000000,,5277.000000,0.000000,,-0.002000,0.000000,1777.000000,1777.000000,0.000000,-32897.000000,0.646000,-1.409000,10000.000000,0.000000,10000.000000,10000.000000,0.000000,0.000000,0.000000,,0.000000,-32043.000000,-32043.000000,,-32043.000000,-32043.000000,-32897.000000,,,,-12897.000000,,-12897.000000,,,,-28223000.000000,-3.810000,1.000000,0.000000,,0.000000,854.000000,5326.000000,,0.000000,0.000000,0.000000,0.000000,18174.000000,8174.000000,10000.000000,1777000.000000,0.000000,20000000.000000,10000000.000000,0.000000,30000000.000000,-28223000.000000,0.000000,-28223000.000000,0.000000,-32897.000000,-32897.000000,-32897.000000,0.000000,0.000000,,-32043.000000,32043.000000,7320.000000,,,,,0.000000,0.000000,,,,0.000000,-1453763.000000,0.000000,0.000000,0.000000,,,,,0.000000,-32043.000000,1.000000,7407832.000000,7407832.000000,,0.000000,5277.000000,0.000000,0.000000,0.000000,0.001000
ARQ,2007-06-30,2007-08-14,2007-06-30,2007-Q2,-11872.000000,,2025-05-01,0.000000,14676.000000,,14676.000000,0.000000,,-0.003000,0.000000,14676.000000,14676.000000,0.000000,-8975.000000,0.553000,-1.671000,25000.000000,15000.000000,10000.000000,25000.000000,0.000000,0.000000,0.000000,,0.000000,-8501.000000,-8501.000000,,-8501.000000,-8501.000000,-8975.000000,0.000000,,0.000000,-21872.000000,,-21872.000000,,,,21547000.000000,2.909000,1.000000,0.000000,,0.000000,474.000000,-1548.000000,,0.000000,0.000000,0.000000,0.000000,36548.000000,26548.000000,10000.000000,6547000.000000,0.000000,-20000000.000000,5000000.000000,0.000000,-15000000.000000,0.000000,0.000000,21547000.000000,0.000000,-8975.000000,-8975.000000,-8975.000000,0.000000,0.000000,,-8501.000000,8501.000000,10220.000000,,,,,0.000000,0.000000,,,,0.000000,-1462738.000000,0.000000,0.000000,0.000000,,,,,0.000000,-8501.000000,1.000000,7407832.000000,7407832.000000,,0.000000,14676.000000,0.000000,0.000000,0.000000,0.002000
ARQ,2007-09-30,2007-11-08,2007-09-30,2007-Q3,-17518.000000,,2025-05-01,0.000000,1450.000000,,1450.000000,0.000000,,-0.004000,0.000000,1450.000000,1450.000000,0.000000,-5646.000000,0.076000,-1.053000,25000.000000,15000.000000,10000.000000,25000.000000,0.000000,0.000000,0.000000,,0.000000,-5006.000000,-5006.000000,,-5006.000000,-5006.000000,-5646.000000,0.000000,,0.000000,-27518.000000,,-27518.000000,,,,-14224000.000000,-1.920000,1.000000,0.000000,,0.000000,640.000000,6032.000000,,0.000000,0.000000,0.000000,0.000000,28968.000000,18968.000000,10000.000000,-13224000.000000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,-14224000.000000,0.000000,-5646.000000,-5646.000000,-5646.000000,0.000000,0.000000,,-5006.000000,5006.000000,1000.000000,,,,,0.000000,0.000000,,,,0.000000,-1468384.000000,0.000000,0.000000,0.000000,,,,,0.000000,-5006.000000,1.000000,7407832.000000,7407832.000000,,0.000000,1450.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2007-12-31,2008-01-23,2007-12-31,2007-Q4,-25598.000000,,2025-05-01,0.000000,184.000000,,184.000000,0.000000,,-0.005000,0.000000,184.000000,184.000000,0.000000,-8082.000000,0.007000,-1.005000,27500.000000,17500.000000,10000.000000,27500.000000,0.000000,0.000000,0.000000,,0.000000,-7409.000000,-7409.000000,,-7409.000000,-7409.000000,-8082.000000,0.000000,,0.000000,-35598.000000,,-35598.000000,,,,-2768000.000000,-0.374000,1.000000,0.000000,,0.000000,673.000000,1718.000000,,0.000000,0.000000,0.000000,0.000000,35782.000000,25782.000000,10000.000000,-1268000.000000,0.000000,0.000000,0.000000,0.000000,1500000.000000,0.000000,0.000000,-2768000.000000,0.000000,-8082.000000,-8082.000000,-8082.000000,0.000000,0.000000,,66209.000000,-66209.000000,5641.000000,,,,,0.000000,0.000000,,,,0.000000,-1476464.000000,0.000000,0.000000,0.000000,,,,,0.000000,66209.000000,1.000000,7407832.000000,7407832.000000,,0.000000,184.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2008-03-31,2008-06-27,2008-03-31,2008-Q4,5990384.000000,171497789.000000,2025-05-01,0.000000,15178481.000000,,6938862.000000,8239619.000000,,0.795000,0.000000,6896042.000000,6896042.000000,0.000000,-17960443.000000,7.316000,0.067000,0.000000,0.000000,0.000000,0.000000,0.000000,500262.000000,0.000000,0.000000,0.000000,-17963334.000000,-17463072.000000,,-17463072.000000,-17963334.000000,-17960443.000000,-0.970000,,-0.970000,14230003.000000,,14230003.000000,164601747.000000,-9.000000,-9.756000,-12691324.000000,-0.709000,1.000000,0.000000,,6640750.000000,-2891.000000,693211.000000,,0.000000,0.000000,0.000000,0.000000,948478.000000,948478.000000,0.000000,4237902.000000,0.000000,20002160.000000,-5500000.000000,0.000000,16335758.000000,0.000000,0.000000,-12691324.000000,0.000000,-17960443.000000,-17960443.000000,-17960443.000000,0.000000,0.000000,,18486934.000000,-18486934.000000,948478.000000,0.000000,12.052000,-9.872000,-4.742000,1452436.000000,0.000000,4.600000,,,0.000000,-18033844.000000,0.000000,0.000000,2126899.000000,,,,,808030.000000,9183035.000000,1.000000,37282128.000000,17909903.000000,,0.000000,8537731.000000,0.000000,0.000000,0.000000,0.477000
ARQ,2008-06-30,2008-08-14,2008-06-30,2009-Q1,3100785.000000,180818321.000000,2025-05-01,0.000000,12149661.000000,,3942683.000000,8206978.000000,,0.305000,-227672.000000,4025220.000000,4025220.000000,0.000000,-3151882.000000,4.683000,0.074000,0.000000,0.000000,0.000000,0.000000,0.000000,263994.000000,0.000000,0.000000,0.000000,-3151882.000000,-2887888.000000,,-2887888.000000,-3151882.000000,-3151882.000000,-0.090000,-0.090000,-0.090000,11307763.000000,,11307763.000000,176793101.000000,-8.000000,-8.682000,-2870822.000000,-0.077000,1.000000,0.000000,,6474046.000000,0.000000,808497.000000,,0.000000,0.000000,0.000000,0.000000,841898.000000,841898.000000,0.000000,-2874503.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-231353.000000,0.000000,-2643150.000000,0.000000,-3151882.000000,-3151882.000000,-3151882.000000,0.000000,0.000000,,3189867.000000,-3189867.000000,841898.000000,0.000000,15.991000,-8.559000,-4.575000,1582818.000000,0.000000,4.850000,,,0.000000,-21185726.000000,0.000000,0.000000,953546.000000,,,,,229642.000000,2236321.000000,1.000000,37282128.000000,37073595.000000,37073595.000000,0.000000,5675615.000000,0.000000,0.000000,0.000000,0.153000
ARQ,2008-09-30,2008-11-14,2008-09-30,2009-Q2,874018.000000,166564059.000000,2025-05-01,0.000000,10410847.000000,,2406072.000000,8004775.000000,,0.184000,-71749.000000,2496539.000000,2496539.000000,0.000000,-3586350.000000,1.570000,0.514000,0.000000,0.000000,0.000000,0.000000,0.000000,273140.000000,0.000000,0.000000,0.000000,-3586350.000000,-3313210.000000,,-3313210.000000,-3586350.000000,-3586350.000000,-0.130000,-0.130000,-0.130000,6876685.000000,,6876685.000000,164067520.000000,-7.000000,-6.931000,-2503681.000000,-0.067000,1.000000,0.000000,,6307342.000000,0.000000,74912.000000,,0.000000,0.000000,0.000000,0.000000,3534162.000000,1532054.000000,2002108.000000,-1527869.000000,0.000000,-1288.000000,0.000000,0.000000,975000.000000,-70937.000000,0.000000,-2431932.000000,0.000000,-3586350.000000,-5010173.000000,-5010173.000000,0.000000,0.000000,,3601519.000000,-3601519.000000,1532054.000000,0.000000,24.222000,-6.374000,-3.706000,1548131.000000,1423823.000000,4.410000,,,0.000000,-26195899.000000,0.000000,0.000000,1225809.000000,,,,,182380.000000,2375710.000000,1.000000,37769628.000000,37314628.000000,37314628.000000,0.000000,4103505.000000,0.000000,0.000000,0.000000,0.110000
ARQ,2008-12-31,2009-02-23,2008-12-31,2009-Q3,-317600.000000,30429702.000000,2025-05-01,0.000000,8633518.000000,,873089.000000,7760429.000000,,0.111000,-31825.000000,1014070.000000,1014070.000000,0.000000,-2309055.000000,0.733000,1.052000,0.000000,0.000000,0.000000,0.000000,0.000000,276171.000000,0.000000,0.000000,0.000000,-2309055.000000,-2032884.000000,,-2032884.000000,-2309055.000000,-2309055.000000,-0.080000,-0.080000,-0.080000,4206579.000000,,4206579.000000,29415632.000000,-1.000000,-1.145000,-2179975.000000,-0.058000,1.000000,0.000000,,6140638.000000,0.000000,288121.000000,,0.000000,0.000000,0.000000,0.000000,4426939.000000,1190689.000000,3236250.000000,-1482469.000000,0.000000,1672506.000000,0.000000,0.000000,697506.000000,-31825.000000,0.000000,-2148150.000000,0.000000,-2309055.000000,-3044055.000000,-3044055.000000,0.000000,0.000000,,2314758.000000,-2314758.000000,1190689.000000,0.000000,7.234000,-1.043000,-0.630000,1470489.000000,735000.000000,0.800000,,,0.000000,-29239954.000000,0.000000,0.000000,886270.000000,,,,,175585.000000,1428488.000000,1.000000,38037128.000000,37833267.000000,37833267.000000,0.000000,2492880.000000,0.000000,0.000000,0.000000,0.066000
ARQ,2009-03-31,2009-06-15,2009-03-31,2009-Q4,-1581556.000000,25040777.000000,2025-05-01,0.000000,7616813.000000,,117781.000000,7499032.000000,,0.056000,-22667.000000,184030.000000,184030.000000,0.000000,-2871984.000000,0.069000,2.532000,0.000000,0.000000,0.000000,0.000000,0.000000,278524.000000,0.000000,0.000000,0.000000,-2871984.000000,-2593460.000000,,-2593460.000000,-2871984.000000,-2871984.000000,-0.070000,-0.070000,-0.070000,2156226.000000,,2156226.000000,24856747.000000,-2.000000,-2.296000,-1355040.000000,-0.035000,1.000000,0.000000,,5973934.000000,0.000000,-240488.000000,,0.000000,0.000000,0.000000,0.000000,5460587.000000,1699337.000000,3761250.000000,-829940.000000,0.000000,525000.000000,0.000000,0.000000,525000.000000,-22567.000000,0.000000,-1332373.000000,0.000000,-2871984.000000,-2871984.000000,-2871984.000000,0.000000,0.000000,,2872678.000000,-2872678.000000,1699337.000000,0.000000,11.613000,-1.779000,-1.622000,1375896.000000,0.000000,0.600000,,,0.000000,-32111938.000000,0.000000,0.000000,957084.000000,,,,,821631.000000,1915594.000000,1.000000,41734628.000000,38549349.000000,38549349.000000,0.000000,1642879.000000,0.000000,0.000000,0.000000,0.043000
