dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-03-31,2012-05-16,2012-03-31,2012-Q1,3655000000.000000,,2025-05-02,-7000000.000000,6859000000.000000,,4694000000.000000,2165000000.000000,,2.466000,-453000000.000000,1282000000.000000,1282000000.000000,277000000.000000,205000000.000000,4.518000,0.301000,706000000.000000,302000000.000000,404000000.000000,706000000.000000,93000000.000000,110000000.000000,0.000000,,0.000000,395000000.000000,505000000.000000,0.477000,505000000.000000,395000000.000000,382000000.000000,0.100000,0.090000,0.100000,5272000000.000000,,5272000000.000000,,,,-12000000.000000,-0.006000,1.000000,781000000.000000,0.738000,189000000.000000,13000000.000000,5055000000.000000,,0.000000,2628000000.000000,2628000000.000000,0.000000,1587000000.000000,1039000000.000000,548000000.000000,-230000000.000000,-25000000.000000,5000000.000000,-9000000.000000,0.000000,50000000.000000,-720000000.000000,-241000000.000000,441000000.000000,-1000000.000000,205000000.000000,137000000.000000,137000000.000000,0.000000,0.000000,0.129000,400000000.000000,381000000.000000,307000000.000000,0.000000,,,,1855000000.000000,68000000.000000,,,,482000000.000000,1811000000.000000,1058000000.000000,1058000000.000000,153000000.000000,,,,,103000000.000000,247000000.000000,1.000000,2138085037.000000,2138085037.000000,,0.495000,6670000000.000000,0.000000,177000000.000000,0.000000,3.120000
ARQ,2012-06-30,2012-07-31,2012-06-30,2012-Q2,10933000000.000000,46510799988.000000,2025-05-02,-29000000.000000,14928000000.000000,,11967000000.000000,2961000000.000000,,7.083000,-413000000.000000,2098000000.000000,2098000000.000000,367000000.000000,-157000000.000000,11.574000,0.122000,706000000.000000,312000000.000000,394000000.000000,706000000.000000,85000000.000000,139000000.000000,0.000000,0.000000,0.000000,-755000000.000000,-616000000.000000,-0.520000,-616000000.000000,-755000000.000000,-765000000.000000,-0.080000,-0.080000,-0.080000,13309000000.000000,,13309000000.000000,45118799988.000000,,,-171000000.000000,-0.091000,1.000000,817000000.000000,0.690000,809000000.000000,10000000.000000,11693000000.000000,,0.000000,8090000000.000000,8090000000.000000,0.000000,1619000000.000000,1034000000.000000,585000000.000000,816000000.000000,-550000000.000000,6765000000.000000,-52000000.000000,0.000000,7040000000.000000,-6450000000.000000,-5485000000.000000,242000000.000000,-16000000.000000,-157000000.000000,-157000000.000000,-157000000.000000,0.000000,0.000000,-0.133000,1560000000.000000,-743000000.000000,196000000.000000,0.000000,3.495000,,,2105000000.000000,0.000000,21.710000,,,578000000.000000,1654000000.000000,1184000000.000000,1184000000.000000,705000000.000000,,,,,1106000000.000000,855000000.000000,1.000000,2142367572.000000,1879000000.000000,1879000000.000000,0.630000,14119000000.000000,567000000.000000,-608000000.000000,0.000000,7.514000
ARQ,2012-09-30,2012-10-24,2012-09-30,2012-Q3,11205000000.000000,50326106365.000000,2025-05-02,-6000000.000000,16038000000.000000,,12285000000.000000,3753000000.000000,,5.857000,-171000000.000000,2478000000.000000,2478000000.000000,322000000.000000,-59000000.000000,11.375000,0.132000,902000000.000000,372000000.000000,530000000.000000,902000000.000000,85000000.000000,176000000.000000,0.000000,0.000000,0.000000,383000000.000000,559000000.000000,0.443000,559000000.000000,383000000.000000,372000000.000000,-0.020000,-0.020000,-0.020000,14174000000.000000,,14174000000.000000,48750106365.000000,,,77000000.000000,0.032000,1.000000,940000000.000000,0.745000,1423000000.000000,11000000.000000,11959000000.000000,,0.000000,7974000000.000000,7974000000.000000,0.000000,1864000000.000000,1080000000.000000,784000000.000000,380000000.000000,-336000000.000000,-1000000.000000,35000000.000000,0.000000,507000000.000000,-389000000.000000,117000000.000000,248000000.000000,14000000.000000,-59000000.000000,-59000000.000000,-59000000.000000,0.000000,0.000000,-0.047000,563000000.000000,377000000.000000,214000000.000000,0.000000,3.551000,,,2289000000.000000,0.000000,23.230000,,,635000000.000000,1595000000.000000,1262000000.000000,1262000000.000000,244000000.000000,,,,,179000000.000000,319000000.000000,1.000000,2166427308.000000,2420000000.000000,2420000000.000000,0.521000,14615000000.000000,567000000.000000,431000000.000000,0.000000,6.039000
ARQ,2012-12-31,2013-02-01,2012-12-31,2012-Q4,10215000000.000000,70820846615.000000,2025-05-02,2000000.000000,15103000000.000000,,11267000000.000000,3836000000.000000,,4.956000,-198000000.000000,2384000000.000000,2384000000.000000,397000000.000000,64000000.000000,10.710000,0.285000,2356000000.000000,365000000.000000,1991000000.000000,2356000000.000000,30000000.000000,224000000.000000,0.000000,0.000000,0.000000,521000000.000000,745000000.000000,0.470000,745000000.000000,521000000.000000,505000000.000000,0.030000,0.020000,0.030000,11755000000.000000,,11755000000.000000,70792846615.000000,130.000000,59.290000,483000000.000000,0.204000,1.000000,1188000000.000000,0.750000,1388000000.000000,16000000.000000,12635000000.000000,,0.000000,7242000000.000000,7242000000.000000,0.000000,3348000000.000000,1052000000.000000,2296000000.000000,-94000000.000000,0.000000,8000000.000000,1361000000.000000,0.000000,-1314000000.000000,535000000.000000,733000000.000000,681000000.000000,4000000.000000,64000000.000000,43000000.000000,43000000.000000,0.000000,0.000000,0.027000,665000000.000000,523000000.000000,234000000.000000,0.000000,6.025000,2213.151000,1486.500000,2391000000.000000,21000000.000000,29.730000,13.916000,11.719000,719000000.000000,1659000000.000000,1585000000.000000,1585000000.000000,297000000.000000,,,,,184000000.000000,368000000.000000,1.000000,2382134094.000000,2372000000.000000,2166000000.000000,0.668000,13715000000.000000,451000000.000000,441000000.000000,0.000000,5.782000
ARQ,2013-03-31,2013-05-02,2013-03-31,2013-Q1,9979000000.000000,70046725956.000000,2025-05-02,-15000000.000000,15163000000.000000,,11042000000.000000,4121000000.000000,,4.956000,-327000000.000000,2325000000.000000,2325000000.000000,413000000.000000,219000000.000000,10.388000,0.282000,2258000000.000000,338000000.000000,1920000000.000000,2258000000.000000,30000000.000000,241000000.000000,0.000000,0.000000,0.000000,368000000.000000,609000000.000000,0.418000,609000000.000000,368000000.000000,353000000.000000,0.090000,0.090000,0.090000,11824000000.000000,,11824000000.000000,69979725956.000000,135.000000,53.955000,392000000.000000,0.164000,1.000000,1045000000.000000,0.717000,1501000000.000000,15000000.000000,12532000000.000000,,0.000000,7147000000.000000,7147000000.000000,0.000000,3339000000.000000,1063000000.000000,2276000000.000000,-59000000.000000,-99000000.000000,8000000.000000,-109000000.000000,0.000000,-444000000.000000,-326000000.000000,94000000.000000,719000000.000000,-8000000.000000,219000000.000000,217000000.000000,217000000.000000,0.000000,0.000000,0.149000,672000000.000000,373000000.000000,265000000.000000,0.000000,5.924000,1591.971000,1448.500000,2533000000.000000,2000000.000000,28.970000,12.761000,12.593000,659000000.000000,1878000000.000000,1458000000.000000,1458000000.000000,293000000.000000,,,,,167000000.000000,379000000.000000,1.000000,2417905625.000000,2386000000.000000,2499000000.000000,0.611000,13662000000.000000,426000000.000000,134000000.000000,0.000000,5.726000
ARQ,2013-06-30,2013-07-25,2013-06-30,2013-Q2,10341000000.000000,83677594135.000000,2025-05-02,-29000000.000000,15724000000.000000,,11421000000.000000,4303000000.000000,,5.130000,-268000000.000000,3001000000.000000,3001000000.000000,465000000.000000,333000000.000000,10.575000,0.273000,2167000000.000000,316000000.000000,1851000000.000000,2167000000.000000,32000000.000000,222000000.000000,0.000000,0.000000,0.000000,559000000.000000,781000000.000000,0.431000,781000000.000000,559000000.000000,545000000.000000,0.140000,0.130000,0.140000,12349000000.000000,,12349000000.000000,82843594135.000000,45.000000,30.751000,1054000000.000000,0.438000,1.000000,1348000000.000000,0.744000,1631000000.000000,14000000.000000,12179000000.000000,,0.000000,7251000000.000000,7251000000.000000,0.000000,3375000000.000000,1080000000.000000,2295000000.000000,676000000.000000,-122000000.000000,2000000.000000,-91000000.000000,0.000000,-149000000.000000,-498000000.000000,-106000000.000000,1322000000.000000,1000000.000000,333000000.000000,331000000.000000,331000000.000000,0.000000,0.000000,0.183000,786000000.000000,562000000.000000,227000000.000000,0.000000,6.776000,157.289000,143.167000,2577000000.000000,2000000.000000,34.360000,13.677000,13.518000,775000000.000000,2211000000.000000,1813000000.000000,1813000000.000000,344000000.000000,,,,,220000000.000000,442000000.000000,1.000000,2435319969.000000,2407000000.000000,2502000000.000000,0.753000,14093000000.000000,7000000.000000,212000000.000000,0.000000,5.855000
ARQ,2013-09-30,2013-11-01,2013-09-30,2013-Q3,9565000000.000000,122127699468.000000,2025-05-02,13000000.000000,14933000000.000000,,10549000000.000000,4384000000.000000,,5.370000,-284000000.000000,3100000000.000000,3100000000.000000,507000000.000000,425000000.000000,10.721000,0.144000,575000000.000000,288000000.000000,287000000.000000,575000000.000000,36000000.000000,274000000.000000,0.000000,0.000000,0.000000,747000000.000000,1021000000.000000,0.506000,1021000000.000000,747000000.000000,726000000.000000,0.170000,0.170000,0.170000,13048000000.000000,,13048000000.000000,119602699468.000000,54.000000,37.897000,666000000.000000,0.274000,1.000000,1509000000.000000,0.749000,1609000000.000000,21000000.000000,9815000000.000000,,0.000000,6228000000.000000,6228000000.000000,0.000000,1885000000.000000,984000000.000000,901000000.000000,99000000.000000,-16000000.000000,10000000.000000,-1591000000.000000,0.000000,-1599000000.000000,734000000.000000,1034000000.000000,950000000.000000,14000000.000000,425000000.000000,422000000.000000,422000000.000000,0.000000,0.000000,0.209000,773000000.000000,736000000.000000,207000000.000000,0.000000,9.360000,120.560000,115.698000,2685000000.000000,3000000.000000,49.750000,17.772000,17.592000,872000000.000000,2636000000.000000,2016000000.000000,2016000000.000000,369000000.000000,,,,,238000000.000000,404000000.000000,1.000000,2454828130.000000,2430000000.000000,2528000000.000000,0.830000,13324000000.000000,7000000.000000,301000000.000000,0.000000,5.483000
ARQ,2013-12-31,2014-01-31,2013-12-31,2013-Q4,11970000000.000000,159537406183.000000,2025-05-02,14000000.000000,17895000000.000000,,13070000000.000000,4825000000.000000,,6.299000,-483000000.000000,3323000000.000000,3323000000.000000,491000000.000000,523000000.000000,11.882000,0.157000,476000000.000000,239000000.000000,237000000.000000,476000000.000000,38000000.000000,274000000.000000,0.000000,0.000000,0.000000,1136000000.000000,1410000000.000000,0.545000,1410000000.000000,1136000000.000000,1130000000.000000,0.220000,0.210000,0.220000,15470000000.000000,,15470000000.000000,156690406183.000000,56.000000,41.008000,748000000.000000,0.305000,1.000000,2095000000.000000,0.810000,1722000000.000000,6000000.000000,12226000000.000000,,0.000000,8126000000.000000,8126000000.000000,0.000000,2425000000.000000,1100000000.000000,1325000000.000000,223000000.000000,-131000000.000000,1484000000.000000,-100000000.000000,0.000000,1525000000.000000,-2534000000.000000,-1905000000.000000,1231000000.000000,1000000.000000,523000000.000000,520000000.000000,520000000.000000,0.000000,0.000000,0.201000,963000000.000000,1132000000.000000,268000000.000000,0.000000,10.313000,107.000000,100.919000,2882000000.000000,3000000.000000,62.570000,20.266000,19.235000,1109000000.000000,3159000000.000000,2586000000.000000,2586000000.000000,409000000.000000,,,,,274000000.000000,554000000.000000,1.000000,2549742787.000000,2456000000.000000,2556000000.000000,1.053000,16173000000.000000,51000000.000000,607000000.000000,0.000000,6.585000
ARQ,2014-03-31,2014-04-25,2014-03-31,2014-Q1,13023000000.000000,148103895758.000000,2025-05-02,15000000.000000,19028000000.000000,,14060000000.000000,4968000000.000000,,6.576000,-363000000.000000,2998000000.000000,2998000000.000000,462000000.000000,642000000.000000,13.558000,0.137000,392000000.000000,201000000.000000,191000000.000000,392000000.000000,38000000.000000,264000000.000000,0.000000,0.000000,0.000000,1075000000.000000,1339000000.000000,0.535000,1339000000.000000,1075000000.000000,1075000000.000000,0.250000,0.250000,0.250000,16737000000.000000,,16737000000.000000,145497895758.000000,41.000000,31.971000,922000000.000000,0.362000,1.000000,2040000000.000000,0.815000,1682000000.000000,0.000000,13703000000.000000,,0.000000,9631000000.000000,9631000000.000000,0.000000,2291000000.000000,1037000000.000000,1254000000.000000,-325000000.000000,0.000000,1000000.000000,-84000000.000000,0.000000,262000000.000000,-1872000000.000000,-1508000000.000000,1285000000.000000,0.000000,642000000.000000,639000000.000000,639000000.000000,0.000000,0.000000,0.255000,965000000.000000,1075000000.000000,273000000.000000,0.000000,8.849000,77.460000,73.987000,3074000000.000000,3000000.000000,57.710000,16.609000,16.471000,1006000000.000000,3801000000.000000,2502000000.000000,2502000000.000000,455000000.000000,,,,,271000000.000000,510000000.000000,1.000000,2566347180.000000,2545000000.000000,2609000000.000000,0.983000,17346000000.000000,0.000000,433000000.000000,0.000000,6.816000
ARQ,2014-06-30,2014-07-24,2014-06-30,2014-Q2,14343000000.000000,194951868293.000000,2025-05-02,-5000000.000000,20769000000.000000,,15557000000.000000,5212000000.000000,,7.166000,-469000000.000000,4384000000.000000,4384000000.000000,473000000.000000,791000000.000000,12.815000,0.132000,326000000.000000,173000000.000000,153000000.000000,326000000.000000,53000000.000000,257000000.000000,0.000000,0.000000,0.000000,1386000000.000000,1643000000.000000,0.565000,1643000000.000000,1386000000.000000,1386000000.000000,0.310000,0.300000,0.310000,18346000000.000000,,18346000000.000000,190893868293.000000,44.000000,35.266000,872000000.000000,0.341000,1.000000,2437000000.000000,0.837000,1672000000.000000,0.000000,13825000000.000000,,0.000000,9572000000.000000,9572000000.000000,0.000000,2423000000.000000,1214000000.000000,1209000000.000000,1386000000.000000,-19000000.000000,1000000.000000,-66000000.000000,0.000000,470000000.000000,-422000000.000000,68000000.000000,1341000000.000000,-3000000.000000,791000000.000000,788000000.000000,788000000.000000,0.000000,0.000000,0.271000,1047000000.000000,1390000000.000000,322000000.000000,0.000000,10.626000,82.293000,78.926000,3334000000.000000,3000000.000000,74.980000,19.468000,19.168000,1190000000.000000,4592000000.000000,2910000000.000000,2910000000.000000,492000000.000000,,,,,309000000.000000,555000000.000000,1.000000,2600051591.000000,2560000000.000000,2615000000.000000,1.137000,19097000000.000000,0.000000,595000000.000000,0.000000,7.460000
