dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-06-30,2017-11-09,2017-06-30,2017-Q2,3289834.000000,,2025-05-14,0.000000,4292922.000000,,3492922.000000,800000.000000,,2.201000,,4281433.000000,4281433.000000,,,17.199000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,4089834.000000,,4089834.000000,,,,,,1.000000,,,0.000000,,-191599.000000,,0.000000,0.000000,0.000000,0.000000,203088.000000,203088.000000,0.000000,,,,,,,,,,,,,,,,,,,203088.000000,,,,,0.000000,,,,,0.000000,-2837262.000000,,,,,,,,,,1.000000,1858284.000000,1858284.000000,,,4292922.000000,0.000000,,0.000000,2.310000
ARQ,2017-09-30,2017-12-20,2017-09-30,2017-Q3,9459794.000000,,2025-05-14,0.000000,10597730.000000,,9797730.000000,800000.000000,,5.521000,0.000000,10587945.000000,10587945.000000,0.000000,-14876935.000000,28.993000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-14876935.000000,-14876935.000000,,-14876935.000000,-14876935.000000,-14876935.000000,-8.650000,-8.650000,-8.650000,10259794.000000,,10259794.000000,,,,-1194834.000000,-0.643000,1.000000,0.000000,,0.000000,0.000000,-328151.000000,,0.000000,0.000000,0.000000,0.000000,337936.000000,337936.000000,0.000000,6306512.000000,0.000000,2650604.000000,0.000000,0.000000,7501346.000000,0.000000,0.000000,-1194834.000000,0.000000,-14876935.000000,-14876935.000000,-14876935.000000,0.000000,0.000000,,14897531.000000,-14897531.000000,337936.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-17714197.000000,0.000000,0.000000,1180676.000000,,,,,43926.000000,215233.000000,1.000000,1858284.000000,1858284.000000,,0.000000,10597730.000000,0.000000,0.000000,0.000000,5.703000
ARQ,2017-09-30,2018-01-08,2017-09-30,2017-Q3,9459794.000000,,2025-05-14,0.000000,10597730.000000,,9797730.000000,800000.000000,,5.521000,0.000000,10587945.000000,10587945.000000,0.000000,-14876935.000000,28.993000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-14876935.000000,-14876935.000000,,-14876935.000000,-14876935.000000,-14876935.000000,-8.650000,-8.650000,-8.650000,10259794.000000,,10259794.000000,,,,-1194834.000000,-0.643000,1.000000,0.000000,,0.000000,0.000000,-328151.000000,,0.000000,0.000000,0.000000,0.000000,337936.000000,337936.000000,0.000000,6306512.000000,0.000000,2650604.000000,0.000000,0.000000,7501346.000000,0.000000,0.000000,-1194834.000000,0.000000,-14876935.000000,-14876935.000000,-14876935.000000,0.000000,0.000000,,14897531.000000,-14897531.000000,337936.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-17714197.000000,0.000000,0.000000,1180676.000000,,,,,43926.000000,215233.000000,1.000000,1858284.000000,1858284.000000,,0.000000,10597730.000000,0.000000,0.000000,0.000000,5.703000
ARQ,2017-12-31,2018-03-26,2017-12-31,2017-Q4,8819369.000000,,2025-05-14,0.000000,9931267.000000,,9131236.000000,800031.000000,,5.477000,0.000000,9781925.000000,9781925.000000,0.000000,-713583.000000,29.279000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-713583.000000,-713583.000000,,-713583.000000,-713583.000000,-713583.000000,-0.250000,-0.250000,-0.250000,9619400.000000,,9619400.000000,,,,-816021.000000,-0.465000,1.000000,0.000000,,0.000000,0.000000,-162525.000000,,0.000000,0.000000,0.000000,0.000000,311867.000000,311867.000000,0.000000,-806020.000000,0.000000,10000.000000,0.000000,0.000000,10001.000000,0.000000,0.000000,-816021.000000,0.000000,-713583.000000,-713583.000000,-713583.000000,0.000000,0.000000,,736800.000000,-736800.000000,311867.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-18427780.000000,0.000000,0.000000,-690685.000000,,,,,63189.000000,427485.000000,1.000000,1858284.000000,1756407.000000,,0.000000,9931267.000000,0.000000,0.000000,0.000000,5.654000
ARQ,2018-03-31,2018-05-11,2018-03-31,2018-Q1,8057548.000000,,2025-05-14,0.000000,9148176.000000,,8348145.000000,800031.000000,,4.767000,0.000000,8973076.000000,8973076.000000,0.000000,-876347.000000,28.728000,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-876347.000000,-876347.000000,,-876347.000000,-876347.000000,-876347.000000,-0.450000,-0.450000,-0.450000,8857579.000000,,8857579.000000,,,,-808849.000000,-0.435000,1.000000,0.000000,,0.000000,0.000000,-115497.000000,,0.000000,0.000000,0.000000,0.000000,290597.000000,290597.000000,0.000000,-808849.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-808849.000000,0.000000,-876347.000000,-876347.000000,-876347.000000,0.000000,0.000000,,897260.000000,-897260.000000,290597.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-19304127.000000,0.000000,0.000000,457141.000000,,,,,114526.000000,440119.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,9148176.000000,0.000000,0.000000,0.000000,4.923000
ARQ,2018-06-30,2018-08-09,2018-06-30,2018-Q2,7323599.000000,,2025-05-14,-1579.000000,8446693.000000,,7646662.000000,800031.000000,,4.372000,0.000000,8218641.000000,8218641.000000,0.000000,-820939.000000,23.669000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-820939.000000,-820939.000000,,-820939.000000,-820939.000000,-820939.000000,-0.450000,-0.450000,-0.450000,8123630.000000,,8123630.000000,,,,-752863.000000,-0.405000,1.000000,0.000000,,0.000000,0.000000,-95011.000000,,0.000000,0.000000,0.000000,0.000000,323063.000000,323063.000000,0.000000,-754435.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-752863.000000,-1572.000000,-820939.000000,-820939.000000,-820939.000000,0.000000,0.000000,,839997.000000,-839997.000000,323063.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-20125067.000000,0.000000,0.000000,492647.000000,,,,,88570.000000,347350.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,8446693.000000,0.000000,0.000000,0.000000,4.545000
ARQ,2018-09-30,2018-11-09,2018-09-30,2018-Q3,7575884.000000,,2025-05-14,-2385.000000,7887777.000000,,7887777.000000,0.000000,,4.077000,0.000000,7618265.000000,7618265.000000,0.000000,-640184.000000,25.290000,0.041000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-640184.000000,-640184.000000,,-640184.000000,-640184.000000,-640184.000000,-0.350000,-0.350000,-0.350000,7575884.000000,,7575884.000000,,,,-599563.000000,-0.323000,1.000000,0.000000,,0.000000,0.000000,-42381.000000,,0.000000,0.000000,0.000000,0.000000,311893.000000,311893.000000,0.000000,-600376.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-599563.000000,-813.000000,-640184.000000,-640184.000000,-640184.000000,0.000000,0.000000,,667532.000000,-667532.000000,311893.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-20765251.000000,0.000000,0.000000,303684.000000,,,,,93244.000000,363848.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,7887777.000000,0.000000,0.000000,0.000000,4.245000
ARQ,2018-12-31,2019-02-26,2018-12-31,2018-Q4,6918404.000000,,2025-05-14,-2396.000000,7317955.000000,,7317955.000000,0.000000,,3.723000,0.000000,6892772.000000,6892772.000000,0.000000,-890461.000000,18.315000,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-962076.000000,-962076.000000,,-962076.000000,-962076.000000,-962076.000000,-0.500000,-0.500000,-0.500000,6918404.000000,,6918404.000000,,,,-725482.000000,-0.390000,1.000000,0.000000,,0.000000,0.000000,25632.000000,,0.000000,0.000000,0.000000,0.000000,399551.000000,399551.000000,0.000000,-725493.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-725482.000000,-11.000000,-890461.000000,-890461.000000,-890461.000000,0.000000,0.000000,,997973.000000,-997973.000000,399551.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-21655712.000000,0.000000,0.000000,520982.000000,,,,,232992.000000,476991.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,7317955.000000,0.000000,-71615.000000,0.000000,3.938000
ARQ,2019-03-31,2019-05-10,2019-03-31,2019-Q1,5773818.000000,,2025-05-14,-4523.000000,6353804.000000,,6353804.000000,0.000000,,3.107000,0.000000,5881064.000000,5881064.000000,0.000000,-1376235.000000,10.955000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-1376235.000000,-1376235.000000,,-1376235.000000,-1376235.000000,-1376235.000000,-0.750000,-0.750000,-0.750000,5773818.000000,,5773818.000000,,,,-995972.000000,-0.536000,1.000000,0.000000,,0.000000,0.000000,-107246.000000,,0.000000,0.000000,0.000000,0.000000,579986.000000,579986.000000,0.000000,-1011708.000000,0.000000,0.000000,0.000000,0.000000,-13855.000000,0.000000,0.000000,-995972.000000,-1881.000000,-1376235.000000,-1376235.000000,-1376235.000000,0.000000,0.000000,,1407309.000000,-1407309.000000,579986.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-23031947.000000,0.000000,0.000000,835600.000000,,,,,233776.000000,571709.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,6353804.000000,0.000000,0.000000,0.000000,3.419000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,5126818.000000,,2025-05-14,-3456.000000,5595090.000000,,5595090.000000,0.000000,,2.759000,0.000000,5129828.000000,5129828.000000,0.000000,-905700.000000,11.948000,0.091000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-905700.000000,-905700.000000,,-905700.000000,-905700.000000,-905700.000000,-0.500000,-0.500000,-0.500000,5126818.000000,,5126818.000000,,,,-739735.000000,-0.398000,1.000000,0.000000,,0.000000,0.000000,-3010.000000,,0.000000,0.000000,0.000000,0.000000,468272.000000,468272.000000,0.000000,-751236.000000,0.000000,0.000000,0.000000,0.000000,-12322.000000,0.000000,0.000000,-739735.000000,821.000000,-905700.000000,-905700.000000,-905700.000000,0.000000,0.000000,,932109.000000,-932109.000000,468272.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-23937647.000000,0.000000,0.000000,329294.000000,,,,,257633.000000,602815.000000,1.000000,1858284.000000,1858284.000000,1858284.000000,0.000000,5595090.000000,0.000000,0.000000,0.000000,3.011000
