dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,-2707471.000000,9122868.000000,2025-05-09,60582.000000,16109073.000000,,4574151.000000,11534922.000000,,0.010000,,186931.000000,186931.000000,,,0.628000,0.825000,4941970.000000,4941970.000000,0.000000,4941970.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,8827451.000000,,8827451.000000,13877907.000000,15.000000,8.722000,,,1.000000,,,10459144.000000,,3123346.000000,,3111124.000000,70153.000000,0.000000,70153.000000,7281622.000000,7281622.000000,0.000000,,,,,,,,,,,,,,,,,,,2139050.000000,,1.033000,25.542000,,602272.000000,,0.010000,0.257000,0.259000,944227.000000,-2126100.000000,,,,,,,,,,1.000000,875795328.000000,884915040.000000,,,5649929.000000,0.000000,,0.000000,0.006000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,946951.000000,11978326.000000,2025-05-09,47165.000000,15711482.000000,,4239914.000000,11471568.000000,,0.010000,-40299.000000,57552.000000,57552.000000,4236246.000000,21155.000000,1.288000,0.778000,4707850.000000,1124520.000000,3583330.000000,4707850.000000,0.000000,52903.000000,0.000000,0.000000,0.000000,149448.000000,202351.000000,0.028000,202351.000000,149448.000000,23555.000000,0.000000,0.000000,0.000000,8835189.000000,,8835189.000000,16628624.000000,,,140905.000000,0.000000,1.000000,2883340.000000,0.405000,10809612.000000,125893.000000,6259205.000000,,2761841.000000,71671.000000,0.000000,71671.000000,6876293.000000,3292963.000000,3583330.000000,-129379.000000,-1518.000000,0.000000,-234736.000000,0.000000,-234736.000000,-62431.000000,0.000000,181204.000000,-13416.000000,21155.000000,21155.000000,21155.000000,0.000000,0.000000,0.003000,2735409.000000,147931.000000,2015392.000000,,1.356000,,,590285.000000,0.000000,0.014000,,,1009381.000000,-2104945.000000,7119586.000000,7119586.000000,0.000000,,,,,0.000000,2587765.000000,1.000000,875795328.000000,881075904.000000,881075904.000000,0.008000,4901870.000000,0.000000,2400.000000,0.000000,0.006000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,1376822.000000,13684302.000000,2025-05-09,-5752.000000,17632718.000000,,6113576.000000,11519142.000000,,0.011000,-111293.000000,288064.000000,288064.000000,6791491.000000,562563.000000,1.291000,0.887000,4963169.000000,1412041.000000,3551128.000000,4963169.000000,0.000000,71131.000000,0.000000,0.000000,0.000000,749054.000000,820185.000000,0.071000,820185.000000,749054.000000,600363.000000,0.001000,0.001000,0.001000,9344836.000000,,9344836.000000,18359407.000000,,,109025.000000,0.000000,1.000000,4704737.000000,0.409000,10816745.000000,148691.000000,6754324.000000,,3149496.000000,71322.000000,0.000000,71322.000000,8287882.000000,4736754.000000,3551128.000000,230512.000000,349.000000,0.000000,254689.000000,0.000000,254689.000000,-191577.000000,0.000000,220318.000000,-52918.000000,562563.000000,562563.000000,562563.000000,0.000000,0.000000,0.049000,3955683.000000,749054.000000,3076912.000000,0.000000,1.464000,,,631075.000000,0.000000,0.016000,,,2023713.000000,-1542381.000000,11496228.000000,11496228.000000,0.000000,,,,,0.000000,3809192.000000,1.000000,875795328.000000,884636352.000000,885028704.000000,0.013000,6815973.000000,0.000000,37800.000000,0.000000,0.008000
ARQ,1997-09-30,1997-11-13,1997-09-30,1997-Q3,2045844.000000,18245736.000000,2025-05-09,10006.000000,17891847.000000,,6525699.000000,11366148.000000,,0.011000,4155.000000,514569.000000,514569.000000,7924398.000000,501009.000000,1.457000,0.814000,4729267.000000,1178878.000000,3550389.000000,4729267.000000,0.000000,63988.000000,0.000000,0.000000,0.000000,641385.000000,705373.000000,0.052000,705373.000000,641385.000000,501009.000000,0.001000,0.001000,0.001000,9861603.000000,,9861603.000000,22460434.000000,,,503232.000000,0.001000,1.000000,5514497.000000,0.410000,10805080.000000,140376.000000,6821610.000000,,3432690.000000,67857.000000,0.000000,67857.000000,8030244.000000,4479855.000000,3550389.000000,226505.000000,3465.000000,0.000000,-234115.000000,0.000000,-234115.000000,-54215.000000,0.000000,499077.000000,15758.000000,501009.000000,501009.000000,501009.000000,0.000000,0.000000,0.037000,4873112.000000,641385.000000,2773443.000000,0.000000,1.850000,,,493211.000000,0.000000,0.021000,,,2100124.000000,-1041372.000000,13438895.000000,13438895.000000,0.000000,,,,,0.000000,4725864.000000,1.000000,875795328.000000,895209408.000000,912521952.000000,0.015000,7086767.000000,0.000000,0.000000,0.000000,0.008000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,2494674.000000,23110229.000000,2025-05-09,-67241.000000,16933359.000000,,6059430.000000,10873929.000000,,0.012000,-1188.000000,395231.000000,395231.000000,6270746.000000,165423.000000,1.700000,0.700000,3928659.000000,520835.000000,3407824.000000,3928659.000000,0.000000,82093.000000,0.000000,0.000000,0.000000,273793.000000,355886.000000,0.032000,355886.000000,273793.000000,165423.000000,0.000000,0.000000,0.000000,9960779.000000,,9960779.000000,26643657.000000,15.000000,12.795000,416751.000000,0.000000,1.000000,4731609.000000,0.430000,10393198.000000,108370.000000,6508833.000000,,3915983.000000,68235.000000,0.000000,68235.000000,6972580.000000,3564756.000000,3407824.000000,-119338.000000,-378.000000,11000.000000,-800608.000000,0.000000,-789608.000000,329578.000000,0.000000,417939.000000,-77247.000000,165423.000000,165423.000000,165423.000000,0.000000,0.000000,0.015000,4388071.000000,343538.000000,2277000.000000,,2.320000,18.486000,26.365000,412496.000000,0.000000,0.026000,0.537000,0.536000,1533748.000000,-875949.000000,11002355.000000,11002355.000000,0.000000,,,,,0.000000,4329368.000000,1.000000,876563424.000000,853798368.000000,829272672.000000,0.013000,6540161.000000,0.000000,0.000000,0.000000,0.008000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,2929552.000000,29134842.000000,2025-05-09,-66396.000000,17334608.000000,,6332359.000000,11002249.000000,,0.012000,-264441.000000,465919.000000,465919.000000,5613428.000000,705186.000000,1.861000,0.625000,3802651.000000,537660.000000,3264991.000000,3802651.000000,0.000000,76466.000000,0.000000,0.000000,0.000000,1284142.000000,1360608.000000,0.121000,1360608.000000,1284142.000000,1175309.000000,0.001000,0.001000,0.001000,10666810.000000,,10666810.000000,32471574.000000,11.000000,10.016000,209996.000000,0.000000,1.000000,5651428.000000,0.502000,10344415.000000,108833.000000,6924118.000000,,3492822.000000,57363.000000,0.000000,57363.000000,6667798.000000,3402807.000000,3264991.000000,70688.000000,10872.000000,0.000000,-360744.000000,0.000000,-126008.000000,-278586.000000,0.000000,474437.000000,845.000000,705186.000000,705186.000000,705186.000000,0.000000,0.000000,0.063000,4367286.000000,1284142.000000,1755775.000000,0.000000,2.731000,15.063000,16.604000,600471.000000,0.000000,0.033000,0.617000,0.617000,2196885.000000,-170763.000000,11264856.000000,11264856.000000,0.000000,,,,,0.000000,4278486.000000,1.000000,877335264.000000,876563424.000000,935065344.000000,0.013000,6990193.000000,0.000000,470123.000000,540590.000000,0.008000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,3672144.000000,55779012.000000,2025-05-09,-67241.000000,20142511.000000,,9180810.000000,10961701.000000,,0.013000,-46097.000000,2146543.000000,2146543.000000,7009343.000000,1015696.000000,1.667000,0.722000,3676614.000000,740660.000000,2935954.000000,3676614.000000,0.000000,24433.000000,0.000000,0.000000,0.000000,1568520.000000,1592953.000000,0.114000,1592953.000000,1568520.000000,1465696.000000,0.001000,0.001000,0.001000,11697891.000000,,11697891.000000,57309083.000000,15.000000,14.274000,1819094.000000,0.002000,1.000000,6941187.000000,0.498000,10293030.000000,102824.000000,5870886.000000,,3996739.000000,46536.000000,0.000000,46536.000000,8444620.000000,5508666.000000,2935954.000000,1680624.000000,10827.000000,0.000000,108699.000000,0.000000,-126037.000000,-57685.000000,0.000000,1865191.000000,-845.000000,1015696.000000,1015696.000000,1015696.000000,0.000000,0.000000,0.073000,5372667.000000,1568520.000000,2855444.000000,0.000000,4.768000,23.365000,20.833000,622135.000000,0.000000,0.062000,1.123000,1.104000,2873885.000000,861163.000000,13950530.000000,13950530.000000,0.000000,,,,,16229.000000,5283867.000000,1.000000,892464192.000000,877531008.000000,994682784.000000,0.016000,9849481.000000,0.000000,450000.000000,990590.000000,0.011000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,3975338.000000,58856892.000000,2025-05-09,-67241.000000,22434419.000000,,11521803.000000,10912616.000000,,0.014000,-25944.000000,4284121.000000,4284121.000000,8703684.000000,1132372.000000,1.527000,0.735000,3550547.000000,1593161.000000,1957386.000000,3550547.000000,0.000000,60860.000000,0.000000,0.000000,0.000000,1807012.000000,1867872.000000,0.113000,1867872.000000,1807012.000000,1756372.000000,0.001000,0.001000,0.001000,12930568.000000,,12930568.000000,58123318.000000,12.000000,11.227000,2255302.000000,0.003000,1.000000,7885684.000000,0.475000,10273116.000000,50640.000000,3881264.000000,,4207624.000000,30961.000000,0.000000,30961.000000,9503851.000000,7546465.000000,1957386.000000,2137578.000000,-21699.000000,75957.000000,-288656.000000,0.000000,-50110.000000,-93558.000000,29291.000000,2281246.000000,0.000000,1132372.000000,1132372.000000,1132372.000000,0.000000,0.000000,0.068000,6078672.000000,1807012.000000,3252039.000000,0.000000,4.552000,19.498000,20.618000,608539.000000,0.000000,0.062000,1.115000,1.052000,2503872.000000,2017883.000000,16589368.000000,16589368.000000,0.000000,,,,,24348.000000,5975153.000000,1.000000,951542880.000000,898253184.000000,1012798848.000000,0.018000,12161303.000000,0.000000,624000.000000,1614590.000000,0.014000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,4996907.000000,36597551.000000,2025-05-09,-67241.000000,21926732.000000,,11089028.000000,10837704.000000,,0.015000,-99356.000000,3806089.000000,3806089.000000,6005573.000000,709874.000000,1.820000,0.573000,3407785.000000,2072818.000000,1334967.000000,3407785.000000,0.000000,84735.000000,0.000000,0.000000,0.000000,2861745.000000,2946480.000000,0.244000,2946480.000000,2861745.000000,2736596.000000,0.001000,0.001000,0.001000,13942183.000000,,13942183.000000,36199247.000000,6.000000,5.779000,-349302.000000,0.000000,1.000000,6055968.000000,0.502000,10215320.000000,125149.000000,5220987.000000,,5211077.000000,20861.000000,0.000000,20861.000000,7984549.000000,6092121.000000,1892428.000000,-478032.000000,0.000000,0.000000,19827.000000,0.000000,-142762.000000,-85324.000000,10100.000000,-249946.000000,0.000000,709874.000000,709874.000000,709874.000000,0.000000,0.000000,0.059000,4755779.000000,1300189.000000,1870253.000000,0.000000,2.625000,10.271000,9.604000,601523.000000,0.000000,0.038000,0.679000,0.643000,1827544.000000,2752099.000000,12061541.000000,12061541.000000,0.000000,,,,,24342.000000,4680314.000000,1.000000,952647744.000000,951904512.000000,1038406752.000000,0.013000,11711412.000000,0.000000,2026722.000000,1826646.000000,0.012000
ARQ,1999-03-31,1999-05-10,1999-03-31,1999-Q1,5403771.000000,49692070.000000,2025-05-09,0.000000,21874532.000000,,10980647.000000,10893885.000000,,0.016000,-103270.000000,2076543.000000,2076543.000000,7821425.000000,908912.000000,1.969000,0.468000,1805209.000000,1111525.000000,693684.000000,1805209.000000,0.000000,64226.000000,0.000000,0.000000,0.000000,1573443.000000,1637669.000000,0.108000,1637669.000000,1573443.000000,1510412.000000,0.001000,0.001000,0.001000,14896136.000000,,14896136.000000,49420736.000000,6.000000,6.143000,-56385.000000,0.000000,1.000000,7407679.000000,0.486000,10242731.000000,63031.000000,5783591.000000,,5405772.000000,10587.000000,0.000000,10587.000000,6978396.000000,5576876.000000,1401520.000000,-1729546.000000,0.000000,20700.000000,-1602576.000000,0.000000,-1581876.000000,-194555.000000,10274.000000,46885.000000,0.000000,908912.000000,908912.000000,908912.000000,0.000000,0.000000,0.060000,5860395.000000,1547284.000000,3755346.000000,0.000000,3.336000,13.192000,13.021000,640567.000000,0.000000,0.052000,0.859000,0.858000,3156781.000000,3618111.000000,15229104.000000,15229104.000000,0.000000,,,,,24341.000000,5771247.000000,1.000000,954087744.000000,952793568.000000,1010086368.000000,0.016000,11631801.000000,0.000000,601500.000000,908146.000000,0.012000
