dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-19,1996-12-31,1996-Q4,2897400000.000000,110714288222.000000,2025-05-02,0.000000,24293100000.000000,,7726600000.000000,16566500000.000000,,4.947000,,1352400000.000000,1352400000.000000,,,1.600000,1.029000,1762000000.000000,606100000.000000,1155900000.000000,1762000000.000000,0.000000,,0.000000,0.017000,0.210000,,,,,,,,,,11970500000.000000,,11970500000.000000,111123888222.000000,20.000000,17.335000,,,1.000000,,,6736600000.000000,,13136900000.000000,,2148800000.000000,3328600000.000000,829200000.000000,2499400000.000000,12322600000.000000,4829200000.000000,7493400000.000000,,,,,,,,,,,,,,,,,,,2937800000.000000,,9.249000,28.525000,28.594000,5926700000.000000,,45.750000,5.584000,5.584000,2655900000.000000,14817700000.000000,,,,,,,,,,1.000000,2419984442.000000,2419984442.000000,,,17556500000.000000,0.000000,,4829900000.000000,7.255000
ARQ,1997-03-31,1997-05-13,1997-03-31,1997-Q1,3421900000.000000,111657989408.000000,2025-05-02,0.000000,24732400000.000000,,8216600000.000000,16515800000.000000,,5.142000,-261600000.000000,1736600000.000000,1736600000.000000,2786300000.000000,1020300000.000000,1.714000,0.989000,1709800000.000000,477500000.000000,1232300000.000000,1709800000.000000,0.000000,0.000000,0.000000,0.017000,0.210000,1488400000.000000,1488400000.000000,0.267000,1488400000.000000,1488400000.000000,1463400000.000000,0.420000,,0.420000,12432200000.000000,,12432200000.000000,111631189408.000000,,,1231400000.000000,0.509000,1.000000,2781600000.000000,0.500000,6689600000.000000,25000000.000000,13221300000.000000,,2088100000.000000,3270300000.000000,862300000.000000,2408000000.000000,12300200000.000000,4794700000.000000,7505500000.000000,384200000.000000,0.000000,-245300000.000000,-33300000.000000,-482700000.000000,-685800000.000000,-342300000.000000,-66600000.000000,1493000000.000000,-80700000.000000,1020300000.000000,1020300000.000000,1020300000.000000,0.000000,0.000000,0.183000,1429300000.000000,1352300000.000000,2787600000.000000,0.500000,8.981000,,,5973500000.000000,0.000000,46.250000,,,2721800000.000000,15316700000.000000,5567900000.000000,5567900000.000000,368700000.000000,,,,,0.000000,1060600000.000000,1.000000,2414226798.000000,2417800000.000000,,2.303000,18042800000.000000,0.000000,443100000.000000,5078000000.000000,7.462000
ARQ,1997-06-30,1997-08-13,1997-06-30,1997-Q2,3816000000.000000,111885463751.000000,2025-05-02,0.000000,25627900000.000000,,8419000000.000000,17208900000.000000,,5.307000,-312100000.000000,1587000000.000000,1587000000.000000,2944300000.000000,1154400000.000000,1.829000,0.999000,2223600000.000000,496800000.000000,1726800000.000000,2223600000.000000,0.000000,0.000000,0.000000,0.018000,0.210000,1663200000.000000,1663200000.000000,0.281000,1663200000.000000,1663200000.000000,1632300000.000000,0.480000,,0.480000,12821100000.000000,,12821100000.000000,112522063751.000000,,,902000000.000000,0.373000,1.000000,2964900000.000000,0.502000,6977900000.000000,30900000.000000,14683600000.000000,,2170800000.000000,3713400000.000000,1129400000.000000,2584000000.000000,12806800000.000000,4603000000.000000,8203800000.000000,-149600000.000000,0.000000,-502900000.000000,511800000.000000,-508200000.000000,-385400000.000000,-1012600000.000000,-703500000.000000,1214100000.000000,34300000.000000,1154400000.000000,1154400000.000000,1154400000.000000,0.000000,0.000000,0.195000,1440600000.000000,1524300000.000000,2709800000.000000,0.438000,8.727000,,,6135300000.000000,0.000000,46.315000,,,2697000000.000000,15981600000.000000,5909200000.000000,5909200000.000000,396400000.000000,,,,,0.000000,1044200000.000000,1.000000,2415750054.000000,2415800000.000000,,2.446000,18650000000.000000,0.000000,477900000.000000,5074200000.000000,7.720000
ARQ,1997-09-30,1997-11-13,1997-09-30,1997-Q3,2874800000.000000,105374827955.000000,2025-05-02,0.000000,25897800000.000000,,8209800000.000000,17688000000.000000,,5.322000,-415800000.000000,1281800000.000000,1281800000.000000,2991000000.000000,1197200000.000000,1.539000,1.018000,2276400000.000000,586600000.000000,1689800000.000000,2276400000.000000,0.000000,0.000000,0.000000,0.019000,0.225000,1728800000.000000,1728800000.000000,0.292000,1728800000.000000,1728800000.000000,1694900000.000000,0.495000,,0.495000,12834200000.000000,,12834200000.000000,106369427955.000000,,,1237700000.000000,0.513000,1.000000,2936700000.000000,0.495000,6851500000.000000,33900000.000000,14705900000.000000,,2226700000.000000,3759900000.000000,885100000.000000,2874800000.000000,13063600000.000000,5335000000.000000,7728600000.000000,-305200000.000000,910000000.000000,-778400000.000000,55600000.000000,-506900000.000000,-2215400000.000000,262200000.000000,-196800000.000000,1653500000.000000,-5500000.000000,1197200000.000000,1197200000.000000,1197200000.000000,0.000000,0.000000,0.202000,1473100000.000000,1463600000.000000,3062900000.000000,0.455000,8.210000,,,6296000000.000000,0.000000,43.970000,,,2966400000.000000,16627800000.000000,5927700000.000000,5927700000.000000,424700000.000000,,,,,0.000000,1048400000.000000,1.000000,2396516442.000000,2411600000.000000,,2.458000,19046300000.000000,0.000000,497700000.000000,5946700000.000000,7.898000
ARQ,1997-12-31,1998-03-25,1997-12-31,1997-Q4,2644400000.000000,155478084710.000000,2025-05-02,0.000000,25811900000.000000,,8213000000.000000,17598900000.000000,,5.273000,-459300000.000000,1125100000.000000,1125100000.000000,3068700000.000000,1242200000.000000,1.475000,1.046000,2249000000.000000,902500000.000000,1346500000.000000,2249000000.000000,0.000000,837100000.000000,0.000000,0.014000,0.225000,1711400000.000000,2548500000.000000,0.409000,2548500000.000000,1711400000.000000,1671700000.000000,0.520000,,0.520000,12613500000.000000,,12613500000.000000,156601984710.000000,24.000000,21.080000,1496700000.000000,0.626000,1.000000,3163400000.000000,0.508000,6780500000.000000,39700000.000000,14586700000.000000,,2145100000.000000,3717600000.000000,1184200000.000000,2533400000.000000,13198400000.000000,5568600000.000000,7629800000.000000,-156700000.000000,0.000000,-632900000.000000,-39700000.000000,-542100000.000000,-1572300000.000000,-510000000.000000,55600000.000000,1956000000.000000,-30400000.000000,1242200000.000000,1242200000.000000,1242200000.000000,0.000000,0.000000,0.199000,1639900000.000000,1523500000.000000,3268900000.000000,0.433000,12.326000,33.696000,33.943000,6609400000.000000,0.000000,65.000000,6.578000,6.625000,2876700000.000000,17319400000.000000,6232100000.000000,6232100000.000000,493900000.000000,,,,,0.000000,1146000000.000000,1.000000,2391970534.000000,2392200000.000000,,2.605000,19031400000.000000,0.000000,429500000.000000,5958500000.000000,7.956000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,3508200000.000000,140323446164.000000,2025-05-02,29600000.000000,26399900000.000000,,8386700000.000000,18013200000.000000,,5.500000,-315400000.000000,1596600000.000000,1596600000.000000,3235600000.000000,1164400000.000000,1.719000,1.008000,2502800000.000000,658200000.000000,1844600000.000000,2502800000.000000,0.000000,0.000000,0.000000,0.015000,0.225000,1674400000.000000,1674400000.000000,0.276000,1674400000.000000,1674400000.000000,1635200000.000000,0.485000,0.475000,0.485000,13146300000.000000,,13146300000.000000,141229646164.000000,21.000000,18.546000,1209400000.000000,0.506000,1.000000,2823200000.000000,0.466000,6722500000.000000,39200000.000000,15705100000.000000,,2078800000.000000,4031800000.000000,1212800000.000000,2819000000.000000,13253600000.000000,4878500000.000000,8375100000.000000,471500000.000000,0.000000,-328900000.000000,248800000.000000,-537500000.000000,-473900000.000000,-569000000.000000,-239400000.000000,1524800000.000000,-10400000.000000,1164400000.000000,1164400000.000000,1164400000.000000,0.000000,0.000000,0.192000,1383600000.000000,1439600000.000000,2979900000.000000,0.464000,10.674000,29.491000,29.646000,6744400000.000000,0.000000,58.700000,5.816000,5.815000,2574300000.000000,17917600000.000000,6058800000.000000,6058800000.000000,388500000.000000,,,,,0.000000,995100000.000000,1.000000,2390518674.000000,2390200000.000000,2454000000.000000,2.535000,19677400000.000000,0.000000,470800000.000000,6007500000.000000,8.233000
ARQ,1998-06-30,1998-08-12,1998-06-30,1998-Q2,2897300000.000000,149222067501.000000,2025-05-02,26500000.000000,27494000000.000000,,8897400000.000000,18596600000.000000,,5.717000,-457300000.000000,1424900000.000000,1424900000.000000,3383400000.000000,1316100000.000000,1.483000,1.012000,2894800000.000000,1550700000.000000,1344100000.000000,2894800000.000000,0.000000,0.000000,0.000000,0.014000,0.225000,1868700000.000000,1868700000.000000,0.289000,1868700000.000000,1868700000.000000,1826100000.000000,0.555000,0.535000,0.555000,13663600000.000000,,13663600000.000000,150691967501.000000,22.000000,19.269000,595800000.000000,0.249000,1.000000,3087000000.000000,0.477000,6664200000.000000,42600000.000000,16299600000.000000,,2328600000.000000,4188900000.000000,1368700000.000000,2820200000.000000,13830400000.000000,6000100000.000000,7830300000.000000,-171700000.000000,0.000000,-444300000.000000,381900000.000000,-538300000.000000,-528800000.000000,-663300000.000000,-189500000.000000,1053100000.000000,-32700000.000000,1316100000.000000,1316100000.000000,1316100000.000000,0.000000,0.000000,0.203000,1499800000.000000,1587200000.000000,3339500000.000000,0.405000,10.921000,30.330000,30.487000,7026800000.000000,0.000000,62.650000,6.044000,6.064000,2873700000.000000,18696400000.000000,6470400000.000000,6470400000.000000,441000000.000000,,,,,0.000000,1058800000.000000,1.000000,2381836672.000000,2389800000.000000,2451200000.000000,2.708000,20829800000.000000,0.000000,510000000.000000,5872900000.000000,8.716000
ARQ,1998-09-30,1998-11-12,1998-09-30,1998-Q3,4536100000.000000,173180522251.000000,2025-05-02,30800000.000000,31157000000.000000,,10332900000.000000,20824100000.000000,,5.285000,-524800000.000000,2429300000.000000,2429300000.000000,3544100000.000000,1367000000.000000,1.783000,1.480000,3593900000.000000,868000000.000000,2725900000.000000,3593900000.000000,0.000000,763000000.000000,0.000000,0.013000,0.270000,2772200000.000000,3535200000.000000,0.517000,3535200000.000000,2772200000.000000,2715300000.000000,0.575000,0.560000,0.575000,12560800000.000000,,12560800000.000000,174345122251.000000,22.000000,18.110000,961700000.000000,0.405000,1.000000,3294200000.000000,0.482000,8377600000.000000,56900000.000000,18147200000.000000,,2366500000.000000,4861800000.000000,1585200000.000000,3276600000.000000,18596200000.000000,5796800000.000000,12799400000.000000,1004400000.000000,2586200000.000000,-1997700000.000000,695900000.000000,-537300000.000000,-1764700000.000000,1237800000.000000,-1277600000.000000,1486500000.000000,44800000.000000,1367000000.000000,1367000000.000000,1367000000.000000,0.000000,0.000000,0.200000,2577100000.000000,717100000.000000,3339400000.000000,0.470000,13.787000,34.026000,34.052000,7324000000.000000,0.000000,72.700000,6.765000,6.750000,3086200000.000000,19423400000.000000,6838300000.000000,6838300000.000000,450400000.000000,,,,,0.000000,1087200000.000000,1.000000,2382125478.000000,2376800000.000000,2438200000.000000,2.877000,22779400000.000000,0.000000,1348300000.000000,7381400000.000000,9.584000
ARQ,1998-12-31,1999-03-24,1998-12-31,1998-Q4,4159700000.000000,194662856785.000000,2025-05-02,-21300000.000000,31853400000.000000,,10228500000.000000,21624900000.000000,,5.421000,-675900000.000000,2606200000.000000,2606200000.000000,3762300000.000000,1400700000.000000,1.685000,1.488000,3845000000.000000,624200000.000000,3220800000.000000,3845000000.000000,0.000000,252100000.000000,0.000000,0.013000,0.270000,2023300000.000000,2275400000.000000,0.302000,2275400000.000000,2023300000.000000,1956500000.000000,0.595000,0.580000,0.595000,12801800000.000000,,12801800000.000000,195901656785.000000,23.000000,20.944000,588000000.000000,0.249000,1.000000,3768400000.000000,0.500000,8287200000.000000,66800000.000000,18736200000.000000,,2623900000.000000,4357200000.000000,749500000.000000,3607700000.000000,19051600000.000000,6068800000.000000,12982800000.000000,176900000.000000,0.000000,-364500000.000000,255100000.000000,-640000000.000000,-1153500000.000000,-16900000.000000,650000000.000000,1263900000.000000,83400000.000000,1400700000.000000,1400700000.000000,1400700000.000000,0.000000,0.000000,0.186000,1911400000.000000,1857000000.000000,3682100000.000000,0.454000,15.206000,37.091000,37.276000,7843800000.000000,0.000000,82.380000,7.237000,7.285000,3374100000.000000,20186700000.000000,7530700000.000000,7530700000.000000,541200000.000000,,,,,0.000000,1370200000.000000,1.000000,2362986851.000000,2361400000.000000,2424000000.000000,3.189000,23566200000.000000,0.000000,555800000.000000,7182100000.000000,9.980000
ARQ,1999-03-31,1999-05-12,1999-03-31,1999-Q1,3810300000.000000,168921049668.000000,2025-05-02,-20000000.000000,32289100000.000000,,9615200000.000000,22673900000.000000,,5.649000,-476000000.000000,1792600000.000000,1792600000.000000,4154200000.000000,1299600000.000000,1.656000,1.420000,3848100000.000000,630500000.000000,3217600000.000000,3848100000.000000,0.000000,284900000.000000,0.000000,0.014000,0.270000,1914200000.000000,2199100000.000000,0.292000,2199100000.000000,1914200000.000000,1842800000.000000,0.550000,0.540000,0.550000,13342600000.000000,,13342600000.000000,170976549668.000000,20.000000,17.308000,1491600000.000000,0.632000,1.000000,3382500000.000000,0.449000,8193300000.000000,71400000.000000,20346400000.000000,,2485800000.000000,5668900000.000000,1303700000.000000,4365200000.000000,18946500000.000000,5804900000.000000,13141600000.000000,-813600000.000000,0.000000,-361600000.000000,3500000.000000,-637400000.000000,-867500000.000000,-1841000000.000000,-1361100000.000000,1967600000.000000,-72700000.000000,1299600000.000000,1299600000.000000,1299600000.000000,0.000000,0.000000,0.172000,1596100000.000000,1786400000.000000,3395400000.000000,0.491000,12.660000,31.378000,31.455000,8121200000.000000,0.000000,71.560000,5.953000,5.956000,3132500000.000000,20848200000.000000,7536700000.000000,7536700000.000000,441800000.000000,,,,,0.000000,1154300000.000000,1.000000,2360551281.000000,2361900000.000000,2424900000.000000,3.191000,24095800000.000000,0.000000,543200000.000000,7338400000.000000,10.202000
