dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-09-30,2018-12-04,2018-09-30,2018-Q3,931529000.000000,,2025-05-01,-922000.000000,1489160000.000000,,1117947000.000000,371213000.000000,,-2.334000,,167891000.000000,167891000.000000,,,5.997000,-0.545000,26892000.000000,0.000000,26892000.000000,26892000.000000,302565000.000000,,0.000000,,0.000000,,,,,,,,,,-757129000.000000,,-757129000.000000,,,,,,1.000000,,,0.000000,,1161743000.000000,,0.000000,1067030000.000000,905143000.000000,161887000.000000,412728000.000000,186418000.000000,226310000.000000,,,,,,,,,,,,,,,,,,,24356000.000000,,,,,206457000.000000,,,,,11557000.000000,-865201000.000000,,,,,,,,,,1.000000,324411226.000000,324411226.000000,,,1489160000.000000,0.000000,,0.000000,4.590000
ARQ,2018-12-31,2019-03-13,2018-12-31,2018-Q4,1340203000.000000,6570139366.000000,2025-05-01,-1320000.000000,1962149000.000000,,1563006000.000000,399143000.000000,,18.865000,-13637000.000000,658959000.000000,658959000.000000,0.000000,-141426000.000000,7.015000,0.282000,33489000.000000,0.000000,33489000.000000,33489000.000000,274408000.000000,7350000.000000,0.000000,0.000000,0.000000,-141258000.000000,-133908000.000000,-3.780000,-133908000.000000,-141258000.000000,-141258000.000000,-1.040000,-1.040000,-1.040000,1530241000.000000,,1530241000.000000,5944669366.000000,-15.000000,-16.534000,-104657000.000000,-1.290000,1.000000,35421000.000000,1.000000,0.000000,0.000000,1113876000.000000,,0.000000,1047585000.000000,863063000.000000,184522000.000000,431908000.000000,222803000.000000,209105000.000000,491304000.000000,0.000000,564093000.000000,11822000.000000,0.000000,575915000.000000,6409000.000000,19810000.000000,-91020000.000000,0.000000,-141426000.000000,-144099000.000000,-144099000.000000,0.000000,0.000000,-4.068000,188452000.000000,-153031000.000000,31210000.000000,0.000000,4.294000,-16.349000,-4.034000,211977000.000000,2673000.000000,19.970000,48.643000,11.993000,12585000.000000,-1006627000.000000,35421000.000000,35421000.000000,150429000.000000,,,,,31641000.000000,38023000.000000,1.000000,329000469.000000,81114183.000000,81114183.000000,0.437000,1962149000.000000,0.000000,168000.000000,0.000000,24.190000
ARQ,2019-03-31,2019-05-09,2019-03-31,2019-Q1,981668000.000000,7652616060.000000,2025-05-01,591000.000000,1806207000.000000,,1140827000.000000,665380000.000000,,4.398000,-7595000.000000,502934000.000000,502934000.000000,0.000000,-132657000.000000,7.168000,0.249000,33384000.000000,0.000000,33384000.000000,33384000.000000,230820000.000000,7328000.000000,0.000000,0.000000,0.000000,-132681000.000000,-125353000.000000,-7.822000,-125353000.000000,-132681000.000000,-132681000.000000,-0.400000,-0.400000,-0.400000,1446033000.000000,,1446033000.000000,7183066060.000000,,,-151522000.000000,-0.461000,1.000000,16025000.000000,1.000000,0.000000,0.000000,1177498000.000000,,0.000000,1055472000.000000,605990000.000000,449482000.000000,360174000.000000,159159000.000000,201015000.000000,-155734000.000000,0.000000,57000.000000,-105000.000000,0.000000,-48000.000000,-11759000.000000,-4164000.000000,-143927000.000000,0.000000,-132657000.000000,-132657000.000000,-132657000.000000,0.000000,0.000000,-8.278000,157858000.000000,-141833000.000000,38509000.000000,0.000000,5.292000,,,213460000.000000,0.000000,23.260000,,,6611000.000000,-1111300000.000000,16025000.000000,16025000.000000,130575000.000000,,,,,18497000.000000,27283000.000000,1.000000,329003270.000000,328809986.000000,328809986.000000,0.049000,1806207000.000000,0.000000,-24000.000000,0.000000,5.493000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,935431000.000000,4355103244.000000,2025-05-01,2741000.000000,1685279000.000000,,1097418000.000000,587861000.000000,,4.066000,-10586000.000000,151686000.000000,151686000.000000,0.000000,-135054000.000000,6.775000,0.259000,33588000.000000,0.000000,33588000.000000,33588000.000000,223324000.000000,7489000.000000,0.000000,0.000000,0.000000,-135378000.000000,-127889000.000000,-9.775000,-127889000.000000,-135378000.000000,-135378000.000000,-0.410000,-0.410000,-0.410000,1338554000.000000,,1338554000.000000,4237005244.000000,,,-122806000.000000,-0.373000,1.000000,13083000.000000,1.000000,0.000000,0.000000,1405194000.000000,,0.000000,1295516000.000000,918722000.000000,376794000.000000,346725000.000000,161987000.000000,184738000.000000,-351309000.000000,0.000000,3930000.000000,3882000.000000,0.000000,7812000.000000,-246901000.000000,-236315000.000000,-112220000.000000,0.000000,-135054000.000000,-135054000.000000,-135054000.000000,0.000000,0.000000,-10.323000,157019000.000000,-143936000.000000,29609000.000000,0.000000,3.254000,,,208509000.000000,0.000000,13.190000,,,4518000.000000,-1246354000.000000,13083000.000000,13083000.000000,128496000.000000,,,,,21495000.000000,28523000.000000,1.000000,330182202.000000,329176107.000000,329176107.000000,0.040000,1685279000.000000,0.000000,-324000.000000,0.000000,5.120000
ARQ,2019-09-30,2019-11-06,2019-09-30,2019-Q3,946624000.000000,5375324355.000000,2025-05-01,2830000.000000,1590899000.000000,,1094466000.000000,496433000.000000,,3.785000,-6711000.000000,174743000.000000,174743000.000000,0.000000,-123194000.000000,7.403000,0.271000,33801000.000000,0.000000,33801000.000000,33801000.000000,213629000.000000,7265000.000000,0.000000,0.000000,0.000000,-123372000.000000,-116107000.000000,-6.811000,-116107000.000000,-123372000.000000,-123372000.000000,-0.370000,-0.370000,-0.370000,1251807000.000000,,1251807000.000000,5234382355.000000,-10.000000,-10.401000,-113759000.000000,-0.344000,1.000000,17046000.000000,1.000000,0.000000,0.000000,1302115000.000000,,0.000000,1175480000.000000,884829000.000000,290651000.000000,339092000.000000,147842000.000000,191250000.000000,22086000.000000,0.000000,15554000.000000,213000.000000,0.000000,15767000.000000,113367000.000000,120078000.000000,-107048000.000000,0.000000,-123194000.000000,-123194000.000000,-123194000.000000,0.000000,0.000000,-7.227000,147903000.000000,-130857000.000000,11737000.000000,0.000000,4.294000,-10.047000,-7.266000,203688000.000000,0.000000,16.130000,65.894000,65.404000,8216000.000000,-1369548000.000000,17046000.000000,17046000.000000,119715000.000000,,,,,20804000.000000,28188000.000000,1.000000,333250115.000000,330769341.000000,330769341.000000,0.052000,1590899000.000000,0.000000,-178000.000000,0.000000,4.810000
ARQ,2019-12-31,2020-02-27,2019-12-31,2019-Q4,985689000.000000,9643689056.000000,2025-05-01,1804000.000000,1589422000.000000,,1128804000.000000,460618000.000000,,3.513000,-6662000.000000,236908000.000000,236908000.000000,0.000000,-123116000.000000,7.887000,0.353000,132364000.000000,0.000000,132364000.000000,132364000.000000,202305000.000000,8939000.000000,0.000000,0.000000,0.000000,-123285000.000000,-114346000.000000,-8.136000,-114346000.000000,-123285000.000000,-123285000.000000,-0.360000,-0.360000,-0.360000,1174810000.000000,,1174810000.000000,9539145056.000000,-19.000000,-19.721000,-102435000.000000,-0.306000,1.000000,14055000.000000,1.000000,0.000000,0.000000,1341763000.000000,,0.000000,1037902000.000000,867124000.000000,170778000.000000,414612000.000000,143115000.000000,271497000.000000,62165000.000000,0.000000,30609000.000000,-3019000.000000,0.000000,27590000.000000,130348000.000000,137010000.000000,-95773000.000000,0.000000,-123116000.000000,-123116000.000000,-123116000.000000,0.000000,0.000000,-8.760000,143149000.000000,-129094000.000000,7090000.000000,0.000000,8.209000,-18.761000,-16.877000,287909000.000000,0.000000,26.160000,160.170000,143.729000,5369000.000000,-1496454000.000000,14055000.000000,14055000.000000,117523000.000000,,,,,20326000.000000,25626000.000000,1.000000,368642548.000000,334431578.000000,334431578.000000,0.042000,1589422000.000000,0.000000,-169000.000000,0.000000,4.753000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,1115354000.000000,19745397379.000000,2025-05-01,-6127000.000000,2067541000.000000,,1249936000.000000,817605000.000000,,4.647000,-6223000.000000,392752000.000000,392752000.000000,0.000000,-124230000.000000,9.288000,0.260000,147849000.000000,0.000000,147849000.000000,147849000.000000,201831000.000000,7449000.000000,0.000000,0.000000,0.000000,-124164000.000000,-116715000.000000,-13.913000,-116715000.000000,-124164000.000000,-124164000.000000,-0.350000,-0.350000,-0.350000,1640874000.000000,,1640874000.000000,19500494379.000000,-39.000000,-41.049000,-112414000.000000,-0.318000,1.000000,8389000.000000,1.000000,0.000000,0.000000,1688056000.000000,,0.000000,1339251000.000000,825981000.000000,513270000.000000,426667000.000000,134582000.000000,292085000.000000,155844000.000000,0.000000,577812000.000000,241000.000000,0.000000,578053000.000000,-316018000.000000,-309795000.000000,-106191000.000000,0.000000,-124230000.000000,-124230000.000000,-124230000.000000,0.000000,0.000000,-14.809000,139251000.000000,-130862000.000000,11034000.000000,0.000000,12.033000,-39.054000,-35.698000,302599000.000000,0.000000,53.190000,375.581000,357.249000,7300000.000000,-1620684000.000000,8389000.000000,8389000.000000,115137000.000000,,,,,20413000.000000,24114000.000000,1.000000,371223865.000000,353105021.000000,353105021.000000,0.024000,2067541000.000000,0.000000,66000.000000,0.000000,5.855000
ARQ,2020-06-30,2020-08-06,2020-06-30,2020-Q2,2635097000.000000,29104726204.000000,2025-05-01,8256000.000000,3486006000.000000,,2796744000.000000,689262000.000000,,7.744000,-18632000.000000,1762661000.000000,1762661000.000000,0.000000,-116713000.000000,17.302000,0.183000,167772000.000000,0.000000,167772000.000000,167772000.000000,253722000.000000,7596000.000000,0.000000,0.000000,0.000000,-116565000.000000,-108969000.000000,-1.642000,-108969000.000000,-116565000.000000,-116565000.000000,-0.310000,-0.310000,-0.310000,2946885000.000000,,2946885000.000000,27509837204.000000,-56.000000,-60.310000,-42507000.000000,-0.112000,1.000000,66351000.000000,1.000000,0.000000,0.000000,1729470000.000000,,0.000000,1321091000.000000,955384000.000000,365707000.000000,539121000.000000,161647000.000000,377474000.000000,1369909000.000000,0.000000,1381501000.000000,-196000.000000,0.000000,1381305000.000000,12479000.000000,31111000.000000,-23875000.000000,0.000000,-116713000.000000,-116713000.000000,-116713000.000000,0.000000,0.000000,-1.759000,188478000.000000,-122127000.000000,18817000.000000,0.000000,9.876000,-59.732000,-53.065000,321985000.000000,0.000000,73.760000,274.985000,265.190000,33362000.000000,-1737397000.000000,66351000.000000,66351000.000000,151856000.000000,,,,,23923000.000000,36622000.000000,1.000000,394586852.000000,380531488.000000,380531488.000000,0.174000,3486006000.000000,0.000000,148000.000000,0.000000,9.161000
ARQ,2020-09-30,2020-10-30,2020-09-30,2020-Q3,2103650000.000000,26698560784.000000,2025-05-01,4784000.000000,4650873000.000000,,3577211000.000000,1073662000.000000,,6.992000,-19292000.000000,1506613000.000000,1506613000.000000,0.000000,-233636000.000000,2.428000,0.685000,207563000.000000,0.000000,207563000.000000,207563000.000000,1442274000.000000,8500000.000000,0.000000,0.000000,0.000000,-232772000.000000,-224272000.000000,-1.420000,-224272000.000000,-232772000.000000,-232772000.000000,-0.590000,-0.590000,-0.590000,2759798000.000000,,2759798000.000000,25399510784.000000,-43.000000,-45.010000,873456000.000000,2.213000,1.000000,157910000.000000,1.000000,0.000000,0.000000,1878262000.000000,,0.000000,2473743000.000000,1770721000.000000,703022000.000000,1891075000.000000,1473561000.000000,417514000.000000,-255786000.000000,0.000000,29732000.000000,-6000.000000,0.000000,29726000.000000,-1178260000.000000,-1158968000.000000,892748000.000000,0.000000,-233636000.000000,-233636000.000000,-233636000.000000,0.000000,0.000000,-1.480000,393027000.000000,-235117000.000000,20521000.000000,0.000000,9.674000,-44.669000,-41.907000,368593000.000000,0.000000,67.470000,108.221000,107.940000,190501000.000000,-1971033000.000000,157910000.000000,157910000.000000,344486000.000000,,,,,23206000.000000,48541000.000000,1.000000,395710105.000000,394682744.000000,394682744.000000,0.400000,4650873000.000000,0.000000,864000.000000,0.000000,11.784000
ARQ,2020-12-31,2021-02-26,2020-12-31,2020-Q4,1909071000.000000,61888328989.000000,2025-05-01,3004000.000000,7336750000.000000,,6297879000.000000,1038871000.000000,,6.455000,-23301000.000000,2624882000.000000,2624882000.000000,7933000.000000,-272485000.000000,1.435000,1.864000,207295000.000000,0.000000,207295000.000000,207295000.000000,4044612000.000000,69992000.000000,0.000000,0.000000,0.000000,-271012000.000000,-201020000.000000,-0.352000,-201020000.000000,-271012000.000000,-271012000.000000,-0.700000,-0.700000,-0.700000,2561375000.000000,,2561375000.000000,59470741989.000000,-80.000000,-91.356000,1240988000.000000,3.127000,1.000000,562812000.000000,0.986000,0.000000,0.000000,530355000.000000,,46527000.000000,2633659000.000000,1983758000.000000,649901000.000000,4775375000.000000,4388808000.000000,386567000.000000,1118269000.000000,0.000000,50363000.000000,-6254000.000000,0.000000,44109000.000000,-190129000.000000,-166828000.000000,1264289000.000000,0.000000,-272485000.000000,-272485000.000000,-272485000.000000,0.000000,0.000000,-0.477000,837850000.000000,-275038000.000000,18359000.000000,0.000000,24.162000,-82.842000,-78.985000,387090000.000000,0.000000,154.810000,77.034000,73.481000,1390560000.000000,-2243518000.000000,570745000.000000,570745000.000000,758860000.000000,,,,,25479000.000000,78990000.000000,1.000000,399769582.000000,396809387.000000,396809387.000000,1.438000,7336750000.000000,0.000000,1473000.000000,0.000000,18.489000
