dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-03-31,1996-05-15,1996-03-31,1996-Q1,,9610941843.000000,2025-05-05,0.000000,35342100000.000000,,,,,7.054000,0.000000,2934600000.000000,2934600000.000000,0.000000,245800000.000000,,6.194000,14203700000.000000,,,14203700000.000000,0.000000,19600000.000000,6003900000.000000,0.012000,0.055000,400400000.000000,420000000.000000,0.271000,420000000.000000,400400000.000000,400400000.000000,0.352000,0.352000,0.352000,4912700000.000000,,4912700000.000000,20880041843.000000,,,91500000.000000,0.131000,1.000000,1547500000.000000,1.000000,160200000.000000,0.000000,46451000000.000000,,0.000000,5181500000.000000,,,30429400000.000000,,,-533200000.000000,0.000000,-134900000.000000,-2727600000.000000,-26900000.000000,-3076600000.000000,2451900000.000000,2489200000.000000,91500000.000000,0.000000,245800000.000000,245800000.000000,245800000.000000,0.000000,0.000000,0.159000,1147100000.000000,400400000.000000,6010900000.000000,0.156000,1.956000,,,354500000.000000,0.000000,14.405000,,,23774400000.000000,2374600000.000000,1547500000.000000,1547500000.000000,0.000000,,,,,0.000000,1005500000.000000,1.000000,667194852.000000,696400000.000000,699200000.000000,2.222000,35181900000.000000,742800000.000000,154600000.000000,249700000.000000,50.520000
ARQ,1996-06-30,1996-08-14,1996-06-30,1996-Q2,,8542886716.000000,2025-05-05,0.000000,36061800000.000000,,,,,7.195000,0.000000,2914200000.000000,2914200000.000000,0.000000,238800000.000000,,6.280000,14716900000.000000,,,14716900000.000000,0.000000,20300000.000000,6390300000.000000,0.015000,0.055000,388100000.000000,408400000.000000,0.265000,408400000.000000,388100000.000000,388100000.000000,0.347000,0.347000,0.347000,4953300000.000000,,4953300000.000000,20345586716.000000,,,-96100000.000000,-0.140000,1.000000,1541700000.000000,1.000000,158600000.000000,0.000000,47705900000.000000,,0.000000,4913600000.000000,,,31108500000.000000,,,67200000.000000,0.000000,-169500000.000000,975900000.000000,-36400000.000000,1156400000.000000,-993100000.000000,-1005500000.000000,-96100000.000000,0.000000,238800000.000000,238800000.000000,238800000.000000,0.000000,0.000000,0.155000,1153600000.000000,388100000.000000,5962600000.000000,0.159000,1.725000,,,365300000.000000,0.000000,13.000000,,,24745700000.000000,2577000000.000000,1541700000.000000,1541700000.000000,0.000000,,,,,0.000000,1003900000.000000,1.000000,657145132.000000,688400000.000000,688400000.000000,2.240000,35903200000.000000,748100000.000000,149300000.000000,98300000.000000,52.155000
ARQ,1996-09-30,1996-11-13,1996-09-30,1996-Q3,,10307724028.000000,2025-05-05,0.000000,37191300000.000000,,,,,7.369000,0.000000,2904000000.000000,2904000000.000000,0.000000,239000000.000000,,6.471000,15046800000.000000,,,15046800000.000000,0.000000,18900000.000000,6598200000.000000,0.013000,0.055000,393000000.000000,411900000.000000,0.270000,411900000.000000,393000000.000000,393000000.000000,0.355000,0.352000,0.355000,4978200000.000000,,4978200000.000000,22450524028.000000,,,1571400000.000000,2.326000,1.000000,1526000000.000000,1.000000,161100000.000000,0.000000,49173000000.000000,,0.000000,5220200000.000000,,,32213100000.000000,,,103700000.000000,0.000000,-178900000.000000,-380500000.000000,-35100000.000000,-386600000.000000,-1081100000.000000,-1044200000.000000,1571400000.000000,0.000000,239000000.000000,239000000.000000,239000000.000000,0.000000,0.000000,0.157000,1133000000.000000,393000000.000000,6026200000.000000,0.155000,2.071000,,,376800000.000000,0.000000,16.030000,,,25531600000.000000,2780100000.000000,1526000000.000000,1526000000.000000,0.000000,,,,,0.000000,989700000.000000,1.000000,643027076.000000,675600000.000000,676800000.000000,2.259000,37030200000.000000,776600000.000000,154000000.000000,162800000.000000,54.811000
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,,11217257039.000000,2025-05-05,0.000000,42413600000.000000,,,,,7.717000,0.000000,4043700000.000000,4043700000.000000,0.000000,227800000.000000,,7.213000,18191900000.000000,,,18191900000.000000,0.000000,24500000.000000,7212600000.000000,0.013000,0.070000,363600000.000000,388100000.000000,0.240000,388100000.000000,363600000.000000,363600000.000000,0.343000,0.333000,0.343000,5164400000.000000,,5164400000.000000,25365457039.000000,16.000000,15.577000,641600000.000000,0.959000,1.000000,1614900000.000000,1.000000,0.000000,0.000000,56561800000.000000,,0.000000,9343500000.000000,,,37249200000.000000,,,897000000.000000,0.000000,-98100000.000000,2951100000.000000,-35600000.000000,3431800000.000000,-3176400000.000000,-3198400000.000000,641600000.000000,0.000000,227800000.000000,227800000.000000,227800000.000000,0.000000,0.000000,0.141000,1251300000.000000,363600000.000000,3433300000.000000,0.204000,2.172000,11.790000,12.502000,379700000.000000,0.000000,17.440000,1.800000,1.910000,25212000000.000000,2972700000.000000,1614900000.000000,1614900000.000000,0.000000,,,,,87100000.000000,1089700000.000000,1.000000,643191344.000000,669200000.000000,683600000.000000,2.413000,42413600000.000000,820300000.000000,135800000.000000,156800000.000000,63.380000
ARQ,1997-03-31,1997-04-30,1997-03-31,1997-Q1,,12435691514.000000,2025-05-05,0.000000,42260000000.000000,,,,,8.044000,0.000000,3336200000.000000,3336200000.000000,0.000000,276300000.000000,,6.740000,16454600000.000000,,,16454600000.000000,0.000000,22600000.000000,7138100000.000000,0.012000,0.070000,454500000.000000,477100000.000000,0.289000,477100000.000000,454500000.000000,454500000.000000,0.405000,0.405000,0.405000,5460300000.000000,,5460300000.000000,25554091514.000000,16.000000,15.161000,360700000.000000,0.531000,1.000000,1650400000.000000,1.000000,0.000000,0.000000,55378400000.000000,,0.000000,10947000000.000000,,,36799700000.000000,,,-814300000.000000,0.000000,-7400000.000000,-1877600000.000000,-34600000.000000,-1994100000.000000,819100000.000000,849700000.000000,360700000.000000,0.000000,276300000.000000,276300000.000000,276300000.000000,0.000000,0.000000,0.167000,1195900000.000000,454500000.000000,3175200000.000000,0.173000,2.277000,12.665000,13.190000,380600000.000000,0.000000,19.125000,1.964000,2.050000,24028100000.000000,3203600000.000000,1650400000.000000,1650400000.000000,0.000000,,,,,0.000000,1059500000.000000,1.000000,650232236.000000,678800000.000000,678800000.000000,2.431000,42260000000.000000,776100000.000000,178200000.000000,256200000.000000,62.257000
ARQ,1997-06-30,1997-07-15,1997-05-31,1997-Q2,,26966008162.000000,2025-05-05,-9000000.000000,269984000000.000000,,,,,10.159000,,10509000000.000000,10509000000.000000,0.000000,527000000.000000,,21.210000,192148000000.000000,,,192148000000.000000,0.000000,,7575000000.000000,0.014000,0.140000,883000000.000000,,,,883000000.000000,883000000.000000,0.425000,0.415000,0.425000,12156000000.000000,,12156000000.000000,208605008162.000000,,,,,1.000000,3520000000.000000,1.000000,0.000000,0.000000,451623000000.000000,,0.000000,208520000000.000000,,,257828000000.000000,,,,,,,,,,,,,527000000.000000,509000000.000000,509000000.000000,0.000000,0.000000,0.145000,2637000000.000000,883000000.000000,33901000000.000000,0.329000,2.218000,,,1655000000.000000,18000000.000000,22.970000,,,42591000000.000000,8039000000.000000,3520000000.000000,3520000000.000000,0.000000,,,,,,2272000000.000000,1.000000,1173966398.000000,1196565070.000000,1223449180.000000,2.942000,269984000000.000000,0.000000,356000000.000000,0.000000,225.633000
ARQ,1997-09-30,1997-10-14,1997-08-31,1997-Q3,,34786914790.000000,2025-05-05,-7000000.000000,282480000000.000000,,,,,10.693000,-40000000.000000,12868000000.000000,12868000000.000000,0.000000,678000000.000000,,21.091000,206996000000.000000,,,206996000000.000000,0.000000,0.000000,8511000000.000000,0.011000,0.070000,1106000000.000000,1106000000.000000,0.269000,1106000000.000000,1106000000.000000,1106000000.000000,0.555000,0.545000,0.555000,12787000000.000000,,12787000000.000000,228914914790.000000,,,4312000000.000000,3.606000,1.000000,4107000000.000000,1.000000,0.000000,0.000000,476608000000.000000,,0.000000,221109000000.000000,,,269693000000.000000,,,5055000000.000000,0.000000,46000000.000000,1592000000.000000,-140000000.000000,1498000000.000000,-795000000.000000,-688000000.000000,4352000000.000000,0.000000,678000000.000000,663000000.000000,663000000.000000,0.000000,0.000000,0.161000,3001000000.000000,1106000000.000000,28907000000.000000,0.126000,2.720000,,,1680000000.000000,15000000.000000,29.360000,,,39964000000.000000,8618000000.000000,4107000000.000000,4107000000.000000,0.000000,,,,,0.000000,2652000000.000000,1.000000,1184840422.000000,1195843706.000000,1220375788.000000,3.434000,282480000000.000000,0.000000,428000000.000000,0.000000,236.218000
ARQ,1997-12-31,1998-02-20,1997-11-30,1997-Q4,,41542180952.000000,2025-05-05,-9000000.000000,302287000000.000000,,,,,11.699000,-209000000.000000,15145000000.000000,15145000000.000000,0.000000,810000000.000000,,20.660000,213415000000.000000,,,213415000000.000000,0.000000,338000000.000000,8993000000.000000,0.011000,0.100000,1357000000.000000,1695000000.000000,0.454000,1695000000.000000,1357000000.000000,1357000000.000000,0.670000,0.655000,0.670000,13956000000.000000,,13956000000.000000,239812180952.000000,56.000000,51.997000,-4816000000.000000,-4.037000,1.000000,3732000000.000000,1.000000,0.000000,0.000000,500557000000.000000,,0.000000,227799000000.000000,,,288331000000.000000,,,-1131000000.000000,0.000000,116000000.000000,1223000000.000000,-97000000.000000,3355000000.000000,121000000.000000,239000000.000000,-4607000000.000000,0.000000,810000000.000000,796000000.000000,796000000.000000,0.000000,0.000000,0.213000,2375000000.000000,1357000000.000000,42153000000.000000,0.149000,2.977000,16.485000,16.146000,1705000000.000000,14000000.000000,34.310000,2.801000,2.749000,50260000000.000000,9330000000.000000,3732000000.000000,3732000000.000000,0.000000,,,,,374000000.000000,2062000000.000000,1.000000,1210789302.000000,1192952362.000000,1225099610.000000,3.128000,302287000000.000000,0.000000,547000000.000000,0.000000,253.394000
ARQ,1998-03-31,1998-04-13,1998-02-28,1998-Q1,,50736419544.000000,2025-05-05,-3000000.000000,345534000000.000000,,,,,12.377000,-85000000.000000,11249000000.000000,11249000000.000000,0.000000,691000000.000000,,22.791000,232426000000.000000,,,232426000000.000000,0.000000,0.000000,9199000000.000000,0.010000,0.200000,1133000000.000000,1133000000.000000,0.281000,1133000000.000000,1133000000.000000,1133000000.000000,0.575000,0.550000,0.575000,14524000000.000000,,14524000000.000000,271913419544.000000,61.000000,,-14316000000.000000,-12.199000,1.000000,4035000000.000000,1.000000,0.000000,0.000000,566711000000.000000,,0.000000,254011000000.000000,,,331010000000.000000,,,-2057000000.000000,0.000000,37000000.000000,12475000000.000000,-134000000.000000,12584000000.000000,-410000000.000000,-325000000.000000,-14231000000.000000,0.000000,691000000.000000,676000000.000000,676000000.000000,0.000000,0.000000,0.168000,2902000000.000000,1133000000.000000,43617000000.000000,0.348000,3.493000,19.189000,18.975000,1718000000.000000,15000000.000000,42.220000,3.296000,3.218000,70725000000.000000,9887000000.000000,4035000000.000000,4035000000.000000,0.000000,,,,,0.000000,2617000000.000000,1.000000,1201715290.000000,1173502680.000000,1232755124.000000,3.438000,345534000000.000000,0.000000,442000000.000000,0.000000,294.447000
ARQ,1998-06-30,1998-07-14,1998-05-31,1998-Q2,,55348209914.000000,2025-05-05,-16000000.000000,380665000000.000000,,,,,11.802000,-108000000.000000,17078000000.000000,17078000000.000000,0.000000,854000000.000000,,26.535000,249171000000.000000,,,249171000000.000000,0.000000,0.000000,9133000000.000000,0.008000,0.100000,1400000000.000000,1400000000.000000,0.304000,1400000000.000000,1400000000.000000,1400000000.000000,0.720000,0.685000,0.720000,13825000000.000000,,13825000000.000000,287441209914.000000,58.000000,53.888000,10859000000.000000,9.270000,1.000000,4599000000.000000,1.000000,0.000000,0.000000,612758000000.000000,,0.000000,285122000000.000000,,,366840000000.000000,,,3073000000.000000,0.000000,-1388000000.000000,-9235000000.000000,-131000000.000000,-10420000000.000000,2526000000.000000,2634000000.000000,10967000000.000000,0.000000,854000000.000000,840000000.000000,840000000.000000,0.000000,0.000000,0.183000,3199000000.000000,1400000000.000000,57099000000.000000,0.139000,4.003000,18.604000,18.750000,1760000000.000000,14000000.000000,47.250000,3.360000,3.360000,69220000000.000000,10607000000.000000,4599000000.000000,4599000000.000000,0.000000,,,,,0.000000,2877000000.000000,1.000000,1171390686.000000,1171390686.000000,,3.926000,380665000000.000000,0.000000,546000000.000000,0.000000,324.968000
