dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-02-14,1993-12-31,1994-Q2,2742000000.000000,22624782861.000000,2025-04-30,0.000000,4486000000.000000,,3482000000.000000,1004000000.000000,,0.385000,,2796000000.000000,2796000000.000000,185000000.000000,289000000.000000,4.705000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,438000000.000000,,,,438000000.000000,438000000.000000,0.030000,0.030000,0.030000,3746000000.000000,,3746000000.000000,19828782861.000000,,,,,1.000000,944000000.000000,0.836000,0.000000,0.000000,950000000.000000,,130000000.000000,0.000000,0.000000,0.000000,740000000.000000,740000000.000000,0.000000,,,,,,,,,,,289000000.000000,289000000.000000,289000000.000000,0.000000,0.000000,0.256000,529000000.000000,415000000.000000,242000000.000000,0.000000,6.040000,,,913000000.000000,0.000000,2.473000,,,460000000.000000,2514000000.000000,1129000000.000000,1129000000.000000,150000000.000000,,,,,,379000000.000000,1.000000,9150569408.000000,9728000000.000000,9728000000.000000,0.116000,4486000000.000000,0.000000,149000000.000000,211000000.000000,0.461000
ARQ,1994-03-31,1994-05-03,1994-03-31,1994-Q3,2998000000.000000,26923138000.000000,2025-04-30,0.000000,4926000000.000000,,3912000000.000000,1014000000.000000,,0.412000,-69000000.000000,3143000000.000000,3143000000.000000,208000000.000000,256000000.000000,4.280000,0.228000,0.000000,0.000000,0.000000,0.000000,0.000000,73000000.000000,0.000000,0.000000,0.000000,382000000.000000,455000000.000000,0.366000,455000000.000000,382000000.000000,382000000.000000,0.026000,0.026000,0.026000,4012000000.000000,,4012000000.000000,23780138000.000000,,,354000000.000000,0.036000,1.000000,1036000000.000000,0.833000,0.000000,0.000000,869000000.000000,,131000000.000000,0.000000,0.000000,0.000000,914000000.000000,914000000.000000,0.000000,196000000.000000,0.000000,-44000000.000000,0.000000,0.000000,1000000.000000,-228000000.000000,-146000000.000000,423000000.000000,5000000.000000,256000000.000000,256000000.000000,256000000.000000,0.000000,0.000000,0.206000,676000000.000000,360000000.000000,296000000.000000,0.000000,6.711000,,,918000000.000000,0.000000,2.922000,,,522000000.000000,2639000000.000000,1244000000.000000,1244000000.000000,156000000.000000,,,,,0.000000,400000000.000000,1.000000,9214336000.000000,9728000000.000000,9728000000.000000,0.128000,4926000000.000000,0.000000,126000000.000000,219000000.000000,0.506000
ARQ,1994-06-30,1994-09-27,1994-06-30,1994-Q4,3399000000.000000,32789541146.000000,2025-04-30,0.000000,5363000000.000000,,4312000000.000000,1051000000.000000,,0.452000,-87000000.000000,3614000000.000000,3614000000.000000,211000000.000000,362000000.000000,4.723000,0.205000,0.000000,0.000000,0.000000,0.000000,0.000000,76000000.000000,0.000000,0.000000,0.000000,540000000.000000,616000000.000000,0.476000,616000000.000000,540000000.000000,540000000.000000,0.037000,0.037000,0.037000,4450000000.000000,,4450000000.000000,29175541146.000000,17.000000,14.893000,418000000.000000,0.042000,1.000000,1082000000.000000,0.837000,0.000000,0.000000,836000000.000000,,102000000.000000,0.000000,0.000000,0.000000,913000000.000000,913000000.000000,0.000000,332000000.000000,0.000000,50000000.000000,0.000000,0.000000,92000000.000000,-265000000.000000,-146000000.000000,505000000.000000,-7000000.000000,362000000.000000,362000000.000000,362000000.000000,0.000000,0.000000,0.280000,580000000.000000,502000000.000000,324000000.000000,0.000000,7.368000,28.612000,30.182000,930000000.000000,0.000000,3.531000,7.053000,7.413000,475000000.000000,2950000000.000000,1293000000.000000,1293000000.000000,170000000.000000,,,,,0.000000,424000000.000000,1.000000,9285533776.000000,9856000000.000000,9856000000.000000,0.131000,5363000000.000000,0.000000,178000000.000000,305000000.000000,0.544000
ARQ,1994-09-30,1994-11-14,1994-09-30,1995-Q1,3550000000.000000,37563772838.000000,2025-04-30,0.000000,5637000000.000000,,4554000000.000000,1083000000.000000,,0.445000,-67000000.000000,3776000000.000000,3776000000.000000,186000000.000000,316000000.000000,4.536000,0.272000,0.000000,0.000000,0.000000,0.000000,0.000000,67000000.000000,0.000000,0.000000,0.000000,471000000.000000,538000000.000000,0.431000,538000000.000000,471000000.000000,471000000.000000,0.032000,0.032000,0.032000,4430000000.000000,,4430000000.000000,33787772838.000000,18.000000,,323000000.000000,0.032000,1.000000,1061000000.000000,0.851000,0.000000,0.000000,857000000.000000,,108000000.000000,0.000000,0.000000,0.000000,1207000000.000000,1004000000.000000,203000000.000000,-147000000.000000,0.000000,-161000000.000000,0.000000,0.000000,-122000000.000000,-415000000.000000,-313000000.000000,390000000.000000,-4000000.000000,316000000.000000,316000000.000000,316000000.000000,0.000000,0.000000,0.253000,626000000.000000,435000000.000000,354000000.000000,0.000000,8.479000,30.714000,32.250000,936000000.000000,0.000000,4.031000,7.646000,8.166000,527000000.000000,2824000000.000000,1247000000.000000,1247000000.000000,178000000.000000,,,,,0.000000,446000000.000000,1.000000,9318145200.000000,9952000000.000000,9952000000.000000,0.125000,5637000000.000000,0.000000,155000000.000000,369000000.000000,0.566000
ARQ,1994-09-30,1994-11-16,1994-09-30,1995-Q1,3550000000.000000,37633658926.000000,2025-04-30,0.000000,5637000000.000000,,4554000000.000000,1083000000.000000,,0.445000,-67000000.000000,3776000000.000000,3776000000.000000,186000000.000000,316000000.000000,4.536000,0.272000,0.000000,0.000000,0.000000,0.000000,0.000000,67000000.000000,0.000000,0.000000,0.000000,471000000.000000,538000000.000000,0.431000,538000000.000000,471000000.000000,471000000.000000,0.032000,0.032000,0.032000,4430000000.000000,,4430000000.000000,33857658926.000000,18.000000,,323000000.000000,0.032000,1.000000,1061000000.000000,0.851000,0.000000,0.000000,857000000.000000,,108000000.000000,0.000000,0.000000,0.000000,1207000000.000000,1004000000.000000,203000000.000000,-147000000.000000,0.000000,-161000000.000000,0.000000,0.000000,-122000000.000000,-415000000.000000,-313000000.000000,390000000.000000,-4000000.000000,316000000.000000,316000000.000000,316000000.000000,0.000000,0.000000,0.253000,626000000.000000,435000000.000000,354000000.000000,0.000000,8.495000,30.772000,32.310000,936000000.000000,0.000000,4.039000,7.660000,8.181000,527000000.000000,2824000000.000000,1247000000.000000,1247000000.000000,178000000.000000,,,,,0.000000,446000000.000000,1.000000,9318145200.000000,9952000000.000000,9952000000.000000,0.125000,5637000000.000000,0.000000,155000000.000000,369000000.000000,0.566000
ARQ,1994-12-31,1995-02-14,1994-12-31,1995-Q2,3600000000.000000,35966412711.000000,2025-04-30,0.000000,5961000000.000000,,4696000000.000000,1265000000.000000,,0.444000,-103000000.000000,3839000000.000000,3839000000.000000,222000000.000000,373000000.000000,4.285000,0.342000,0.000000,0.000000,0.000000,0.000000,0.000000,66000000.000000,0.000000,0.000000,0.000000,557000000.000000,623000000.000000,0.420000,623000000.000000,557000000.000000,557000000.000000,0.037000,0.037000,0.037000,4443000000.000000,,4443000000.000000,32127412711.000000,16.000000,14.394000,342000000.000000,0.034000,1.000000,1260000000.000000,0.850000,0.000000,0.000000,1026000000.000000,,117000000.000000,0.000000,0.000000,0.000000,1518000000.000000,1096000000.000000,422000000.000000,-405000000.000000,0.000000,-259000000.000000,0.000000,0.000000,-220000000.000000,-630000000.000000,-472000000.000000,445000000.000000,-4000000.000000,373000000.000000,373000000.000000,373000000.000000,0.000000,0.000000,0.252000,745000000.000000,515000000.000000,431000000.000000,0.000000,8.095000,27.518000,29.299000,977000000.000000,0.000000,3.868000,6.830000,7.344000,591000000.000000,2744000000.000000,1482000000.000000,1482000000.000000,199000000.000000,,,,,0.000000,541000000.000000,1.000000,9299654224.000000,10000000000.000000,10000000000.000000,0.148000,5961000000.000000,0.000000,184000000.000000,364000000.000000,0.596000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q3,4102000000.000000,47290447523.000000,2025-04-30,0.000000,6592000000.000000,,5287000000.000000,1305000000.000000,,0.492000,-102000000.000000,4465000000.000000,4465000000.000000,235000000.000000,396000000.000000,4.462000,0.337000,0.000000,0.000000,0.000000,0.000000,0.000000,70000000.000000,0.000000,0.000000,0.000000,592000000.000000,662000000.000000,0.417000,662000000.000000,592000000.000000,592000000.000000,0.039000,0.039000,0.039000,4930000000.000000,,4930000000.000000,42825447523.000000,20.000000,17.559000,541000000.000000,0.054000,1.000000,1352000000.000000,0.852000,0.000000,0.000000,942000000.000000,,87000000.000000,0.000000,0.000000,0.000000,1662000000.000000,1185000000.000000,477000000.000000,262000000.000000,0.000000,15000000.000000,0.000000,0.000000,60000000.000000,-441000000.000000,-338000000.000000,643000000.000000,26000000.000000,396000000.000000,396000000.000000,396000000.000000,0.000000,0.000000,0.250000,808000000.000000,544000000.000000,524000000.000000,0.000000,9.592000,32.682000,34.568000,1027000000.000000,0.000000,5.047000,8.431000,9.012000,580000000.000000,3068000000.000000,1587000000.000000,1587000000.000000,219000000.000000,,,,,0.000000,584000000.000000,1.000000,9370243472.000000,10016000000.000000,10016000000.000000,0.158000,6592000000.000000,0.000000,196000000.000000,385000000.000000,0.658000
ARQ,1995-06-30,1995-09-25,1995-06-30,1995-Q4,4273000000.000000,53231380870.000000,2025-04-30,0.000000,7210000000.000000,,5620000000.000000,1590000000.000000,,0.524000,-223000000.000000,4750000000.000000,4750000000.000000,234000000.000000,368000000.000000,4.172000,0.352000,0.000000,0.000000,0.000000,0.000000,0.000000,66000000.000000,0.000000,0.000000,0.000000,547000000.000000,613000000.000000,0.378000,613000000.000000,547000000.000000,547000000.000000,0.036000,0.036000,0.036000,5333000000.000000,,5333000000.000000,48481380870.000000,22.000000,19.902000,289000000.000000,0.028000,1.000000,1387000000.000000,0.856000,0.000000,0.000000,1113000000.000000,,88000000.000000,0.000000,0.000000,0.000000,1877000000.000000,1347000000.000000,530000000.000000,766000000.000000,0.000000,88000000.000000,0.000000,0.000000,144000000.000000,110000000.000000,472000000.000000,512000000.000000,-9000000.000000,368000000.000000,368000000.000000,368000000.000000,0.000000,0.000000,0.227000,859000000.000000,528000000.000000,563000000.000000,0.000000,9.982000,36.635000,38.892000,1192000000.000000,0.000000,5.639000,8.966000,9.529000,581000000.000000,3328000000.000000,1621000000.000000,1621000000.000000,264000000.000000,,,,,0.000000,591000000.000000,1.000000,9439234112.000000,10176000000.000000,10176000000.000000,0.159000,7210000000.000000,0.000000,179000000.000000,410000000.000000,0.709000
ARQ,1995-09-30,1995-11-14,1995-09-30,1996-Q1,4658000000.000000,55676754694.000000,2025-04-30,0.000000,8160000000.000000,,6417000000.000000,1743000000.000000,,0.560000,-116000000.000000,5064000000.000000,5064000000.000000,322000000.000000,499000000.000000,3.648000,0.422000,0.000000,0.000000,0.000000,0.000000,307000000.000000,69000000.000000,0.000000,0.000000,0.000000,770000000.000000,839000000.000000,0.416000,839000000.000000,770000000.000000,770000000.000000,0.049000,0.049000,0.049000,5739000000.000000,,5739000000.000000,50612754694.000000,21.000000,18.492000,384000000.000000,0.037000,1.000000,1694000000.000000,0.840000,0.000000,0.000000,1337000000.000000,,125000000.000000,0.000000,0.000000,0.000000,2421000000.000000,1759000000.000000,662000000.000000,-57000000.000000,0.000000,-31000000.000000,0.000000,0.000000,27000000.000000,-584000000.000000,-370000000.000000,500000000.000000,1000000.000000,499000000.000000,499000000.000000,499000000.000000,0.000000,0.000000,0.248000,990000000.000000,704000000.000000,621000000.000000,0.000000,9.701000,34.032000,36.265000,1265000000.000000,0.000000,5.875000,8.303000,8.971000,1052000000.000000,3567000000.000000,2016000000.000000,2016000000.000000,302000000.000000,,,,,0.000000,684000000.000000,1.000000,9476894416.000000,10240000000.000000,10240000000.000000,0.197000,8160000000.000000,0.000000,271000000.000000,522000000.000000,0.797000
ARQ,1995-12-31,1996-02-13,1995-12-31,1996-Q2,4862000000.000000,59174643912.000000,2025-04-30,0.000000,9106000000.000000,,7103000000.000000,2003000000.000000,,0.605000,-88000000.000000,6017000000.000000,6017000000.000000,330000000.000000,575000000.000000,3.170000,0.473000,0.000000,0.000000,0.000000,0.000000,495000000.000000,78000000.000000,0.000000,0.000000,0.000000,885000000.000000,963000000.000000,0.439000,963000000.000000,885000000.000000,885000000.000000,0.056000,0.056000,0.056000,6180000000.000000,,6180000000.000000,53157643912.000000,19.000000,17.276000,1313000000.000000,0.129000,1.000000,1865000000.000000,0.850000,0.000000,0.000000,848000000.000000,,108000000.000000,0.000000,0.000000,0.000000,2926000000.000000,2241000000.000000,685000000.000000,417000000.000000,0.000000,-268000000.000000,0.000000,0.000000,-255000000.000000,-729000000.000000,-536000000.000000,1401000000.000000,0.000000,575000000.000000,575000000.000000,575000000.000000,0.000000,0.000000,0.262000,1079000000.000000,786000000.000000,651000000.000000,0.000000,9.575000,32.195000,34.399000,1297000000.000000,0.000000,6.226000,7.976000,8.567000,771000000.000000,3895000000.000000,2195000000.000000,2195000000.000000,313000000.000000,,,,,0.000000,766000000.000000,1.000000,9504058448.000000,10208000000.000000,10208000000.000000,0.215000,9106000000.000000,0.000000,310000000.000000,680000000.000000,0.892000
