dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1997-03-31,1997-03-25,1997-02-27,1997-Q2,595600000.000000,8144686459.000000,2025-03-21,0.000000,4064200000.000000,,1288900000.000000,2775300000.000000,,6.220000,,582900000.000000,582900000.000000,657500000.000000,142700000.000000,1.859000,0.469000,405000000.000000,113700000.000000,291300000.000000,405000000.000000,10400000.000000,,0.000000,0.001000,0.000000,275700000.000000,,,,275700000.000000,273900000.000000,0.330000,0.330000,0.330000,2680900000.000000,,2680900000.000000,7966786459.000000,,,,,1.000000,218700000.000000,0.250000,41600000.000000,1800000.000000,3151400000.000000,,331700000.000000,6000000.000000,6000000.000000,0.000000,1257400000.000000,693300000.000000,564100000.000000,,,,,,,,,,,142700000.000000,142700000.000000,142700000.000000,0.000000,0.000000,0.163000,141700000.000000,77000000.000000,521600000.000000,0.000000,3.038000,,,2715400000.000000,0.000000,19.375000,,,304000000.000000,2209800000.000000,876200000.000000,876200000.000000,46800000.000000,,,,,,94900000.000000,1.000000,420370914.000000,431000000.000000,432400000.000000,2.033000,4022600000.000000,52300000.000000,131200000.000000,204100000.000000,9.333000
ARQ,1997-06-30,1997-06-18,1997-05-29,1997-Q3,690900000.000000,8532363136.000000,2025-03-21,0.000000,4154500000.000000,,1338200000.000000,2816300000.000000,,6.619000,-209300000.000000,433500000.000000,433500000.000000,,,2.067000,0.442000,394600000.000000,113400000.000000,281200000.000000,394600000.000000,13000000.000000,122400000.000000,0.000000,0.000000,0.000000,,,,,,,,,,2789100000.000000,,2789100000.000000,8493463136.000000,,,-121300000.000000,-0.288000,1.000000,,,51400000.000000,,3416900000.000000,,376600000.000000,87500000.000000,87500000.000000,0.000000,1232500000.000000,647300000.000000,585200000.000000,-149400000.000000,0.000000,3200000.000000,-20100000.000000,0.000000,59600000.000000,-297000000.000000,-80800000.000000,88000000.000000,0.000000,,,,,,,,,466100000.000000,,3.059000,,,2713000000.000000,,20.250000,,,367300000.000000,2306400000.000000,,,,,,,,0.000000,,1.000000,421351266.000000,421351266.000000,,,4103100000.000000,60000000.000000,,224600000.000000,9.738000
ARQ,1997-09-30,1997-10-08,1997-08-28,1997-Q4,1222500000.000000,7872713298.000000,2025-03-21,0.000000,4851300000.000000,,1972400000.000000,2878900000.000000,,6.601000,-141500000.000000,619500000.000000,619500000.000000,658900000.000000,72000000.000000,2.630000,0.635000,888900000.000000,126600000.000000,762300000.000000,888900000.000000,14500000.000000,111400000.000000,0.000000,0.000000,0.000000,122400000.000000,233800000.000000,0.247000,233800000.000000,122400000.000000,124800000.000000,0.165000,0.165000,0.165000,2883100000.000000,,2883100000.000000,8142113298.000000,14.000000,7.673000,25700000.000000,0.059000,1.000000,287300000.000000,0.304000,51100000.000000,-2400000.000000,4319700000.000000,,454200000.000000,368200000.000000,368200000.000000,0.000000,1831700000.000000,749900000.000000,1081800000.000000,186000000.000000,0.000000,15400000.000000,479400000.000000,0.000000,481400000.000000,-462600000.000000,-307400000.000000,167200000.000000,0.000000,72000000.000000,72000000.000000,72000000.000000,0.000000,0.000000,0.076000,163100000.000000,124200000.000000,546100000.000000,0.000000,2.731000,23.699000,24.188000,2761200000.000000,0.000000,18.625000,2.239000,2.292000,458900000.000000,2378200000.000000,946200000.000000,946200000.000000,62300000.000000,,,,,0.000000,100800000.000000,1.000000,422696016.000000,436800000.000000,439800000.000000,2.166000,4800200000.000000,62200000.000000,52800000.000000,239800000.000000,10.989000
ARQ,1997-12-31,1998-01-12,1997-11-27,1998-Q1,1107900000.000000,6058269874.000000,2025-03-21,0.000000,4902700000.000000,,1911500000.000000,2991200000.000000,,6.707000,-187900000.000000,342400000.000000,342400000.000000,744100000.000000,9600000.000000,2.379000,0.647000,850200000.000000,105700000.000000,744500000.000000,850200000.000000,6700000.000000,136300000.000000,0.000000,0.000000,0.000000,17400000.000000,153700000.000000,0.161000,153700000.000000,17400000.000000,16100000.000000,0.020000,0.020000,0.020000,2896200000.000000,,2896200000.000000,6566069874.000000,,,1300000.000000,0.003000,1.000000,210500000.000000,0.221000,67800000.000000,1300000.000000,4539100000.000000,,481400000.000000,585800000.000000,585800000.000000,0.000000,1873900000.000000,803600000.000000,1070300000.000000,-277100000.000000,0.000000,0.000000,-38000000.000000,0.000000,-51200000.000000,-415100000.000000,-210500000.000000,189200000.000000,0.000000,9600000.000000,9600000.000000,9600000.000000,0.000000,0.000000,0.010000,193000000.000000,17500000.000000,659700000.000000,0.000000,2.092000,,,2855100000.000000,0.000000,14.315000,,,436600000.000000,2387000000.000000,954600000.000000,954600000.000000,63900000.000000,,,,,0.000000,129100000.000000,1.000000,423211308.000000,431800000.000000,431800000.000000,2.211000,4834900000.000000,53400000.000000,6500000.000000,254700000.000000,11.197000
ARQ,1998-03-31,1998-04-03,1998-02-26,1998-Q2,1091100000.000000,6701214712.000000,2025-03-21,0.000000,4839100000.000000,,1829000000.000000,3010100000.000000,,6.787000,-193400000.000000,561100000.000000,561100000.000000,733100000.000000,-48100000.000000,2.479000,0.634000,849300000.000000,108600000.000000,740700000.000000,849300000.000000,4900000.000000,147200000.000000,0.000000,0.000000,0.000000,-58900000.000000,88300000.000000,0.117000,88300000.000000,-58900000.000000,-57000000.000000,-0.115000,-0.115000,-0.115000,2874800000.000000,,2874800000.000000,6989414712.000000,,,-256700000.000000,-0.606000,1.000000,22300000.000000,0.030000,92000000.000000,-1900000.000000,4297400000.000000,,448000000.000000,373800000.000000,373800000.000000,0.000000,1821400000.000000,737900000.000000,1083500000.000000,218700000.000000,235900000.000000,0.000000,-3100000.000000,0.000000,-2600000.000000,284600000.000000,218600000.000000,-63300000.000000,0.000000,-48100000.000000,-48100000.000000,-48100000.000000,0.000000,0.000000,-0.064000,229800000.000000,-207500000.000000,578900000.000000,0.000000,2.331000,,,2848300000.000000,0.000000,15.750000,,,353700000.000000,2340100000.000000,755400000.000000,755400000.000000,69900000.000000,,,,,0.000000,135700000.000000,1.000000,425473950.000000,423600000.000000,423600000.000000,1.783000,4747100000.000000,81500000.000000,-8900000.000000,284100000.000000,11.207000
ARQ,1998-06-30,1998-07-13,1998-05-28,1998-Q3,820100000.000000,6285966849.000000,2025-03-21,0.000000,4733300000.000000,,1571900000.000000,3161400000.000000,,6.545000,-151700000.000000,507900000.000000,507900000.000000,603600000.000000,-106200000.000000,2.091000,0.654000,819800000.000000,101800000.000000,718000000.000000,819800000.000000,5600000.000000,151200000.000000,0.000000,0.000000,0.000000,-174200000.000000,-23000000.000000,-0.038000,-23000000.000000,-174200000.000000,-173400000.000000,-0.245000,-0.245000,-0.245000,2773900000.000000,,2773900000.000000,6597866849.000000,-71.000000,14.571000,-153000000.000000,-0.361000,1.000000,6400000.000000,0.010000,89100000.000000,-800000.000000,4204300000.000000,,378700000.000000,200500000.000000,200500000.000000,0.000000,1814000000.000000,751800000.000000,1062200000.000000,-53200000.000000,0.000000,15200000.000000,-26900000.000000,0.000000,-33600000.000000,-18300000.000000,177200000.000000,-1300000.000000,0.000000,-106200000.000000,-106200000.000000,-106200000.000000,0.000000,0.000000,-0.174000,178600000.000000,-172200000.000000,527100000.000000,0.000000,2.266000,-86.464000,-84.286000,2995800000.000000,0.000000,14.750000,1.925000,1.914000,397800000.000000,2234000000.000000,610000000.000000,610000000.000000,66200000.000000,,,,,0.000000,104500000.000000,1.000000,426167244.000000,423800000.000000,423800000.000000,1.439000,4644200000.000000,77700000.000000,-67200000.000000,283200000.000000,10.958000
ARQ,1998-09-30,1998-11-02,1998-09-03,1998-Q4,758900000.000000,9845803269.000000,2025-03-21,0.000000,4688300000.000000,,1499200000.000000,3189100000.000000,,6.319000,-140700000.000000,558600000.000000,558600000.000000,650700000.000000,-89000000.000000,2.025000,0.684000,864700000.000000,107400000.000000,757300000.000000,864700000.000000,7500000.000000,171900000.000000,0.000000,0.000000,0.000000,-136800000.000000,35100000.000000,0.051000,35100000.000000,-136800000.000000,-138200000.000000,-0.210000,-0.210000,-0.210000,2693000000.000000,,2693000000.000000,10151903269.000000,-29.000000,39.952000,-76100000.000000,-0.179000,1.000000,41200000.000000,0.060000,84900000.000000,1400000.000000,4169200000.000000,,291100000.000000,90800000.000000,90800000.000000,0.000000,1843200000.000000,740300000.000000,1102900000.000000,50700000.000000,0.000000,5400000.000000,43400000.000000,0.000000,23300000.000000,-37200000.000000,111200000.000000,64600000.000000,0.000000,-89000000.000000,-89000000.000000,-89000000.000000,0.000000,0.000000,-0.129000,172600000.000000,-131400000.000000,456600000.000000,0.000000,3.656000,-42.130000,-36.309000,3030800000.000000,0.000000,19.970000,3.269000,2.814000,489500000.000000,2144800000.000000,691900000.000000,691900000.000000,71800000.000000,,,,,0.000000,98600000.000000,1.000000,493029708.000000,426200000.000000,426200000.000000,1.623000,4603400000.000000,61700000.000000,-49200000.000000,284200000.000000,10.801000
ARQ,1998-12-31,1999-01-13,1998-12-03,1999-Q1,1988000000.000000,17677741099.000000,2025-03-21,-200000.000000,6787600000.000000,,2849700000.000000,3937900000.000000,,7.807000,-117500000.000000,767700000.000000,767700000.000000,677700000.000000,-46200000.000000,3.307000,0.728000,1712100000.000000,114500000.000000,1597600000.000000,1712100000.000000,6200000.000000,189500000.000000,0.000000,0.000000,0.000000,-65900000.000000,123600000.000000,0.156000,123600000.000000,-65900000.000000,-73800000.000000,-0.095000,-0.095000,-0.095000,3836200000.000000,,3836200000.000000,18622141099.000000,-43.000000,83.135000,138100000.000000,0.281000,1.000000,115900000.000000,0.146000,219600000.000000,7900000.000000,6650700000.000000,,360400000.000000,1157100000.000000,1157100000.000000,0.000000,2793500000.000000,861700000.000000,1931800000.000000,208900000.000000,0.000000,519100000.000000,5700000.000000,0.000000,1134300000.000000,-1181000000.000000,-1062000000.000000,255600000.000000,0.000000,-46200000.000000,-46200000.000000,-46200000.000000,0.000000,0.000000,-0.058000,178500000.000000,-62600000.000000,627800000.000000,0.000000,4.608000,-61.063000,-53.669000,3602300000.000000,0.000000,35.690000,6.201000,6.152000,481600000.000000,2068100000.000000,793600000.000000,793600000.000000,67700000.000000,,,,,0.000000,103000000.000000,1.000000,495313564.000000,491400000.000000,491400000.000000,1.615000,6568000000.000000,67200000.000000,-27600000.000000,264500000.000000,13.366000
ARQ,1999-03-31,1999-04-07,1999-03-04,1999-Q2,2083100000.000000,12427148318.000000,2025-03-21,-1300000.000000,6771200000.000000,,2824800000.000000,3946400000.000000,,7.463000,-170100000.000000,428900000.000000,428900000.000000,745100000.000000,22400000.000000,3.809000,0.676000,1677300000.000000,102900000.000000,1574400000.000000,1677300000.000000,7500000.000000,219400000.000000,0.000000,0.000000,0.000000,50200000.000000,269600000.000000,0.263000,269600000.000000,50200000.000000,38500000.000000,0.040000,0.040000,0.040000,3945100000.000000,,3945100000.000000,13675548318.000000,-42.000000,33.742000,-47800000.000000,-0.090000,1.000000,280700000.000000,0.274000,215900000.000000,11700000.000000,7062000000.000000,,364900000.000000,1353700000.000000,1353700000.000000,0.000000,2665700000.000000,741700000.000000,1924000000.000000,-338800000.000000,0.000000,57600000.000000,-38000000.000000,0.000000,-58800000.000000,-402300000.000000,-228300000.000000,122300000.000000,0.000000,22400000.000000,22400000.000000,22400000.000000,0.000000,0.000000,0.022000,229400000.000000,51300000.000000,560200000.000000,0.000000,3.150000,-56.745000,-48.657000,3581600000.000000,0.000000,24.815000,3.981000,4.202000,591900000.000000,2090500000.000000,1025800000.000000,1025800000.000000,85500000.000000,,,,,0.000000,125500000.000000,1.000000,500791792.000000,528600000.000000,545800000.000000,1.941000,6555300000.000000,65400000.000000,16100000.000000,263900000.000000,12.401000
ARQ,1999-06-30,1999-07-16,1999-06-03,1999-Q3,1957500000.000000,14030490967.000000,2025-03-21,-1500000.000000,6785600000.000000,,2754800000.000000,4030800000.000000,,7.370000,-226200000.000000,350600000.000000,350600000.000000,674800000.000000,-27700000.000000,3.455000,0.687000,1658800000.000000,105200000.000000,1553600000.000000,1658800000.000000,13000000.000000,204000000.000000,0.000000,0.000000,0.000000,-30400000.000000,173600000.000000,0.201000,173600000.000000,-30400000.000000,-44800000.000000,-0.050000,-0.050000,-0.050000,3925500000.000000,,3925500000.000000,15338690967.000000,-84.000000,25.484000,-40100000.000000,-0.075000,1.000000,189000000.000000,0.219000,213800000.000000,14400000.000000,7082700000.000000,,441500000.000000,1309900000.000000,1309900000.000000,0.000000,2697200000.000000,797300000.000000,1899900000.000000,-78300000.000000,0.000000,7000000.000000,-27100000.000000,0.000000,-85200000.000000,-179200000.000000,38000000.000000,186100000.000000,0.000000,-27700000.000000,-27700000.000000,-27700000.000000,0.000000,0.000000,-0.032000,216800000.000000,-27800000.000000,597300000.000000,0.000000,3.574000,-99.861000,-83.540000,3644500000.000000,0.000000,26.315000,4.157000,4.153000,561500000.000000,2062900000.000000,863800000.000000,863800000.000000,81600000.000000,,,,,36900000.000000,124100000.000000,1.000000,533174652.000000,532600000.000000,532600000.000000,1.622000,6571800000.000000,72800000.000000,-17100000.000000,264300000.000000,12.339000
