dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-09-30,2007-12-19,2007-09-30,2007-Q3,-46312000.000000,,2020-10-12,0.000000,55896000.000000,,45236000.000000,10660000.000000,,-0.822000,,11485000.000000,11485000.000000,,,0.494000,-2.142000,8014000.000000,8014000.000000,0.000000,8014000.000000,73920000.000000,,0.000000,,0.000000,,,,,,,,,,-48930000.000000,,-48930000.000000,,,,,,1.000000,,,0.000000,,-39123000.000000,,0.000000,0.000000,0.000000,0.000000,104826000.000000,91548000.000000,13278000.000000,,,,,,,,,,,,,,,,,,,1129000.000000,,,,,6996000.000000,,,,,17901000.000000,,,,,,,,,,,1.000000,59510706.000000,59510706.000000,,,55896000.000000,0.000000,,0.000000,0.939000
ARQ,2007-12-31,2008-03-26,2007-12-31,2007-Q4,112126000.000000,1430017401.000000,2020-10-12,215000.000000,218777000.000000,,203125000.000000,15652000.000000,,11.365000,-1360000.000000,169408000.000000,169408000.000000,9583000.000000,-3282000.000000,2.232000,0.958000,0.000000,0.000000,0.000000,0.000000,76986000.000000,1030000.000000,0.000000,0.000000,0.000000,-2831000.000000,-1801000.000000,-0.057000,-1801000.000000,-2831000.000000,-3077000.000000,0.150000,0.150000,0.150000,111080000.000000,,111080000.000000,1260609401.000000,-56.000000,-66.569000,2341000.000000,0.240000,1.000000,22151000.000000,0.698000,0.000000,246000.000000,-41630000.000000,,0.000000,0.000000,0.000000,0.000000,106367000.000000,90999000.000000,15368000.000000,157923000.000000,0.000000,162745000.000000,-8415000.000000,0.000000,155395000.000000,-1360000.000000,0.000000,3701000.000000,187000.000000,-3282000.000000,-3282000.000000,-3282000.000000,0.000000,0.000000,-0.103000,25126000.000000,-2975000.000000,2788000.000000,0.000000,12.874000,-59.818000,-9.694000,12068000.000000,0.000000,23.750000,13.175000,2.139000,18698000.000000,-244891000.000000,31734000.000000,31734000.000000,4990000.000000,,,,,2440000.000000,20449000.000000,1.000000,60211259.000000,9774000.000000,9774000.000000,3.247000,218777000.000000,0.000000,205000.000000,0.000000,22.384000
ARQ,2008-03-31,2008-05-13,2008-03-31,2008-Q1,108879000.000000,1095068064.000000,2020-10-12,670000.000000,218216000.000000,,202203000.000000,16013000.000000,,1.848000,-1081000.000000,170239000.000000,170239000.000000,10115000.000000,-2029000.000000,2.167000,0.955000,0.000000,0.000000,0.000000,0.000000,76065000.000000,1206000.000000,0.000000,0.000000,0.000000,-1583000.000000,-377000.000000,-0.011000,-377000.000000,-1583000.000000,-1800000.000000,-0.030000,-0.030000,-0.030000,111067000.000000,,111067000.000000,924829064.000000,,,379000.000000,0.006000,1.000000,24003000.000000,0.704000,0.000000,217000.000000,-45347000.000000,,0.000000,0.000000,0.000000,0.000000,106067000.000000,93324000.000000,12743000.000000,831000.000000,0.000000,118000.000000,-423000.000000,0.000000,-305000.000000,-1081000.000000,0.000000,1460000.000000,757000.000000,-2029000.000000,-2029000.000000,-2029000.000000,0.000000,0.000000,-0.059000,27354000.000000,-3351000.000000,4648000.000000,0.000000,9.860000,,,12542000.000000,0.000000,18.180000,,,16245000.000000,-246920000.000000,34118000.000000,34118000.000000,4082000.000000,,,,,1609000.000000,23272000.000000,1.000000,60234767.000000,60093000.000000,60093000.000000,0.568000,218216000.000000,0.000000,229000.000000,0.000000,3.631000
ARQ,2008-06-30,2008-08-13,2008-06-30,2008-Q2,79500000.000000,1011476006.000000,2020-10-12,342000.000000,218026000.000000,,173815000.000000,44211000.000000,,1.827000,-1773000.000000,137370000.000000,137370000.000000,11665000.000000,-3128000.000000,1.843000,0.976000,0.000000,0.000000,0.000000,0.000000,78188000.000000,1278000.000000,0.000000,0.000000,0.000000,-2686000.000000,-1408000.000000,-0.039000,-1408000.000000,-2686000.000000,-2767000.000000,-0.050000,-0.050000,-0.050000,109929000.000000,,109929000.000000,874106006.000000,,,-3523000.000000,-0.059000,1.000000,24888000.000000,0.681000,27782000.000000,81000.000000,-41441000.000000,,0.000000,0.000000,0.000000,0.000000,107291000.000000,94315000.000000,12976000.000000,-32869000.000000,-28210000.000000,130000.000000,-360000.000000,0.000000,-790000.000000,-29983000.000000,0.000000,-1750000.000000,-346000.000000,-3128000.000000,-3128000.000000,-3128000.000000,0.000000,0.000000,-0.086000,28998000.000000,-4110000.000000,4639000.000000,0.000000,9.201000,,,12936000.000000,0.000000,16.760000,,,21478000.000000,-250048000.000000,36553000.000000,36553000.000000,4452000.000000,,,,,2048000.000000,24546000.000000,1.000000,60350597.000000,60160000.000000,60160000.000000,0.608000,190244000.000000,0.000000,361000.000000,0.000000,3.162000
ARQ,2008-09-30,2008-11-13,2008-09-30,2008-Q3,76216000.000000,504323012.000000,2020-10-12,273000.000000,215264000.000000,,169570000.000000,45694000.000000,,1.804000,-1808000.000000,133036000.000000,133036000.000000,13733000.000000,-6242000.000000,1.816000,0.968000,0.000000,0.000000,0.000000,0.000000,76196000.000000,1339000.000000,0.000000,0.000000,0.000000,-5956000.000000,-4617000.000000,-0.114000,-4617000.000000,-5956000.000000,-6021000.000000,-0.100000,-0.100000,-0.100000,109049000.000000,,109049000.000000,371287012.000000,-28.000000,-45.262000,-5210000.000000,-0.086000,1.000000,26671000.000000,0.660000,27759000.000000,65000.000000,-38885000.000000,,0.000000,0.000000,0.000000,0.000000,105610000.000000,93354000.000000,12256000.000000,-4334000.000000,-11000.000000,1649000.000000,-399000.000000,0.000000,860000.000000,-1819000.000000,0.000000,-3402000.000000,27000.000000,-6242000.000000,-6242000.000000,-6242000.000000,0.000000,0.000000,-0.154000,32703000.000000,-6032000.000000,5553000.000000,0.000000,4.625000,-34.352000,-276.333000,14309000.000000,0.000000,8.290000,3.531000,3.508000,22594000.000000,-256290000.000000,40404000.000000,40404000.000000,6056000.000000,,,,,3754000.000000,26647000.000000,1.000000,60835104.000000,60436000.000000,60436000.000000,0.669000,187505000.000000,0.000000,221000.000000,0.000000,3.103000
ARQ,2008-12-31,2009-03-13,2008-12-31,2008-Q4,73517000.000000,662802556.000000,2020-10-12,337000.000000,210334000.000000,,164061000.000000,46273000.000000,,1.791000,-2841000.000000,123638000.000000,123638000.000000,13069000.000000,-4465000.000000,1.812000,0.926000,0.000000,0.000000,0.000000,0.000000,73871000.000000,1507000.000000,0.000000,0.000000,0.000000,-4109000.000000,-2602000.000000,-0.063000,-2602000.000000,-4109000.000000,-4220000.000000,-0.070000,-0.070000,-0.070000,108992000.000000,,108992000.000000,539164556.000000,-38.000000,-59.881000,-8117000.000000,-0.133000,1.000000,28332000.000000,0.684000,26536000.000000,111000.000000,-30384000.000000,,0.000000,0.000000,0.000000,0.000000,100947000.000000,90544000.000000,10403000.000000,-9398000.000000,-504000.000000,-1177000.000000,-407000.000000,0.000000,-634000.000000,-3950000.000000,-330000.000000,-5276000.000000,462000.000000,-4465000.000000,-4465000.000000,-4465000.000000,0.000000,0.000000,-0.108000,33208000.000000,-4876000.000000,2893000.000000,0.000000,6.081000,-41.780000,-41.538000,15413000.000000,0.000000,10.800000,4.347000,4.277000,26675000.000000,-260755000.000000,41401000.000000,41401000.000000,6926000.000000,,,,,4363000.000000,26282000.000000,1.000000,61370607.000000,60850000.000000,60850000.000000,0.680000,183798000.000000,0.000000,245000.000000,0.000000,3.021000
ARQ,2009-03-31,2009-05-11,2009-03-31,2009-Q1,75340000.000000,687147467.000000,2020-10-12,275000.000000,202989000.000000,,158838000.000000,44151000.000000,,1.799000,-1621000.000000,119630000.000000,119630000.000000,13035000.000000,-3946000.000000,1.902000,0.841000,0.000000,0.000000,0.000000,0.000000,69564000.000000,1650000.000000,0.000000,0.000000,0.000000,-3482000.000000,-1832000.000000,-0.044000,-1832000.000000,-3482000.000000,-3544000.000000,-0.060000,-0.060000,-0.060000,110175000.000000,,110175000.000000,567517467.000000,-35.000000,-54.261000,-3819000.000000,-0.062000,1.000000,28532000.000000,0.686000,25912000.000000,62000.000000,-26051000.000000,,0.000000,0.000000,0.000000,0.000000,92621000.000000,83498000.000000,9123000.000000,-4008000.000000,-171000.000000,848000.000000,-396000.000000,0.000000,452000.000000,-2067000.000000,0.000000,-2198000.000000,-195000.000000,-3745000.000000,-3745000.000000,-3745000.000000,0.000000,-201000.000000,-0.090000,32495000.000000,-3963000.000000,2081000.000000,0.000000,6.237000,-39.087000,-39.714000,14285000.000000,0.000000,11.120000,4.297000,4.259000,25518000.000000,-264500000.000000,41567000.000000,41567000.000000,6788000.000000,,,,,4117000.000000,25707000.000000,1.000000,61793837.000000,61248000.000000,61248000.000000,0.679000,177077000.000000,0.000000,201000.000000,0.000000,2.891000
ARQ,2009-06-30,2009-08-10,2009-06-30,2009-Q2,71579000.000000,784123027.000000,2020-10-12,582000.000000,202108000.000000,,155233000.000000,46875000.000000,,1.776000,-941000.000000,116387000.000000,116387000.000000,13556000.000000,-5172000.000000,1.856000,0.840000,0.000000,0.000000,0.000000,0.000000,68529000.000000,1684000.000000,0.000000,0.000000,0.000000,-4728000.000000,-3044000.000000,-0.076000,-3044000.000000,-4728000.000000,-4777000.000000,-0.080000,-0.080000,-0.080000,109855000.000000,,109855000.000000,667736027.000000,-37.000000,-55.208000,437000.000000,0.007000,1.000000,26748000.000000,0.664000,28183000.000000,49000.000000,-26116000.000000,,0.000000,0.000000,0.000000,0.000000,92247000.000000,83654000.000000,8593000.000000,-3243000.000000,-3241000.000000,-354000.000000,-395000.000000,0.000000,-749000.000000,-3907000.000000,0.000000,1378000.000000,35000.000000,-4990000.000000,-4990000.000000,-4990000.000000,0.000000,-182000.000000,-0.124000,31751000.000000,-5003000.000000,2291000.000000,0.000000,7.138000,-40.331000,-40.806000,15152000.000000,0.000000,12.650000,4.791000,4.780000,25080000.000000,-269490000.000000,40304000.000000,40304000.000000,6770000.000000,,,,,4708000.000000,24981000.000000,1.000000,61986010.000000,61853000.000000,61853000.000000,0.652000,173925000.000000,0.000000,213000.000000,0.000000,2.812000
ARQ,2009-09-30,2009-11-09,2009-09-30,2009-Q3,51423000.000000,899344671.000000,2020-10-12,525000.000000,200812000.000000,,136620000.000000,64192000.000000,,1.731000,-2014000.000000,97768000.000000,97768000.000000,14493000.000000,-8276000.000000,1.604000,0.871000,0.000000,0.000000,0.000000,0.000000,69467000.000000,1837000.000000,0.000000,0.000000,0.000000,-7764000.000000,-5927000.000000,-0.142000,-5927000.000000,-7764000.000000,-7800000.000000,-0.130000,-0.130000,-0.130000,107499000.000000,,107499000.000000,801576671.000000,-40.000000,-59.797000,29000.000000,0.000000,1.000000,27212000.000000,0.652000,45377000.000000,36000.000000,-27530000.000000,,0.000000,0.000000,0.000000,0.000000,93585000.000000,85197000.000000,8388000.000000,-18619000.000000,-18518000.000000,221000.000000,-400000.000000,0.000000,-179000.000000,-20602000.000000,-70000.000000,2043000.000000,119000.000000,-8029000.000000,-8029000.000000,-8029000.000000,0.000000,-247000.000000,-0.193000,35170000.000000,-7958000.000000,2149000.000000,0.000000,8.366000,-42.364000,-42.412000,15302000.000000,0.000000,14.420000,5.451000,5.428000,24975000.000000,-277519000.000000,41705000.000000,41705000.000000,7369000.000000,,,,,5510000.000000,27801000.000000,1.000000,62367869.000000,62100000.000000,62100000.000000,0.672000,155435000.000000,0.000000,229000.000000,0.000000,2.503000
ARQ,2009-12-31,2010-03-15,2009-12-31,2009-Q4,49840000.000000,884015472.000000,2020-10-12,756000.000000,202224000.000000,,138779000.000000,63445000.000000,,1.676000,-1782000.000000,96355000.000000,96355000.000000,15021000.000000,-6718000.000000,1.560000,0.930000,0.000000,0.000000,0.000000,0.000000,72721000.000000,1936000.000000,0.000000,0.000000,0.000000,-6500000.000000,-4564000.000000,-0.106000,-4564000.000000,-6500000.000000,-6543000.000000,-0.110000,-0.110000,-0.110000,104833000.000000,,104833000.000000,787660472.000000,-35.000000,-51.257000,1753000.000000,0.028000,1.000000,27943000.000000,0.650000,45168000.000000,43000.000000,-28238000.000000,,0.000000,0.000000,0.000000,0.000000,97517000.000000,88939000.000000,8578000.000000,-1413000.000000,-282000.000000,700000.000000,-447000.000000,0.000000,-2747000.000000,-2151000.000000,-87000.000000,3535000.000000,-50000.000000,-6540000.000000,-6540000.000000,-6540000.000000,0.000000,-178000.000000,-0.152000,34541000.000000,-6598000.000000,1147000.000000,0.000000,8.433000,-37.934000,-36.789000,14731000.000000,0.000000,13.980000,5.308000,5.200000,25776000.000000,-284059000.000000,42964000.000000,42964000.000000,7650000.000000,,,,,6383000.000000,26891000.000000,1.000000,63234297.000000,62553000.000000,62553000.000000,0.687000,157056000.000000,0.000000,-3000.000000,0.000000,2.511000
