dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-11-20,2020-10-07,2020-Q3,-4961.000000,,2025-05-10,0.000000,45039.000000,,20039.000000,25000.000000,,0.008000,0.000000,0.000000,0.000000,0.000000,-4961.000000,0.802000,1.248000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-4961.000000,-4961.000000,,-5809.000000,-5809.000000,-4961.000000,0.000000,0.000000,0.000000,20039.000000,,23465.000000,,,,0.000000,0.000000,0.854000,0.000000,,0.000000,0.000000,20039.000000,,0.000000,0.000000,0.000000,0.000000,25000.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4961.000000,-4961.000000,-5809.000000,0.000000,0.000000,,4961.000000,-4961.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-4961.000000,0.000000,0.000000,0.000000,,,,,0.000000,4961.000000,1.000000,12925000.000000,2500000.000000,2500000.000000,0.000000,45039.000000,0.000000,0.000000,0.000000,0.018000
ARQ,2020-12-31,2021-03-26,2020-12-31,2020-Q4,1632256.000000,173959800.000000,2025-05-10,0.000000,139869628.000000,,1868777.000000,138000851.000000,,0.287000,0.000000,1365094.000000,1605993.000000,0.000000,-126807.000000,7.901000,1.013000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-126807.000000,-126807.000000,,-149185.000000,-149185.000000,-126807.000000,0.000000,0.000000,0.000000,5000007.000000,,5882361.000000,172353807.000000,,,-500000.000000,-0.029000,0.850000,0.000000,,0.000000,0.000000,138268013.000000,,0.000000,138000851.000000,0.000000,138000851.000000,5066521.000000,236521.000000,4830000.000000,1365094.000000,0.000000,143010000.000000,-82906.000000,0.000000,139865094.000000,-138000000.000000,-138000000.000000,-500000.000000,0.000000,-126807.000000,-126807.000000,-149185.000000,0.000000,0.000000,,127658.000000,-127658.000000,162478.000000,,29.573000,,,0.000000,0.000000,9.800000,,,0.000000,-126807.000000,0.000000,0.000000,0.000000,,,,,0.000000,127658.000000,1.000000,17751000.000000,17410884.000000,17410884.000000,0.000000,139869628.000000,0.000000,0.000000,0.000000,8.033000
ARQ,2021-03-31,2021-05-24,2021-03-31,2021-Q1,1395015.000000,172362210.000000,2025-05-10,0.000000,139643648.000000,,1638350.000000,138005298.000000,,0.282000,0.000000,1162636.000000,1400766.000000,0.000000,2818086.000000,6.733000,1.873000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2818086.000000,2818086.000000,,3395284.000000,3395284.000000,2818086.000000,0.710000,0.710000,0.855000,5000003.000000,,6024100.000000,170961444.000000,,,202458000.000000,11.405000,0.830000,0.000000,,0.000000,0.000000,138237677.000000,,0.000000,138005298.000000,0.000000,138005298.000000,9363635.000000,243335.000000,9120300.000000,-202458000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,202458000.000000,0.000000,2818086.000000,2818086.000000,3395284.000000,0.000000,0.000000,,237241.000000,-237241.000000,161561.000000,0.000000,28.612000,,,0.000000,0.000000,9.710000,,,0.000000,2859539.000000,0.000000,0.000000,0.000000,,,,,0.000000,237241.000000,1.000000,17751000.000000,17751000.000000,17751000.000000,0.000000,139643648.000000,0.000000,0.000000,0.000000,7.867000
ARQ,2021-06-30,2021-08-09,2021-06-30,2021-Q2,1089776.000000,172539720.000000,2025-05-10,0.000000,139219635.000000,,1207318.000000,138012317.000000,,0.282000,0.000000,789498.000000,928821.000000,0.000000,-1299290.000000,10.271000,2.048000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1299290.000000,-1299290.000000,,-1528576.000000,-1528576.000000,-1299290.000000,-0.330000,-0.330000,-0.388000,5000003.000000,,5882356.000000,171610899.000000,105.000000,105.167000,-203033596.000000,-11.438000,0.850000,0.000000,,0.000000,0.000000,138312595.000000,,0.000000,138012317.000000,0.000000,138012317.000000,10238912.000000,117542.000000,10121370.000000,201882404.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-203033596.000000,0.000000,-1299290.000000,-1299290.000000,-1528576.000000,0.000000,0.000000,,305239.000000,-305239.000000,65767.000000,0.000000,29.332000,105.736000,21.742000,0.000000,0.000000,9.720000,,,0.000000,1560249.000000,0.000000,0.000000,0.000000,,,,,0.000000,305239.000000,1.000000,17751000.000000,17751000.000000,17751000.000000,0.000000,139219635.000000,0.000000,0.000000,0.000000,7.843000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,720549.000000,173959800.000000,2025-05-10,0.000000,138980517.000000,,966424.000000,138014093.000000,,-0.411000,0.000000,635591.000000,734787.000000,0.000000,1730029.000000,3.931000,-1.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1730029.000000,1730029.000000,,2000034.000000,2000034.000000,1730029.000000,0.100000,0.100000,0.116000,-7289248.000000,,-8426876.000000,173225013.000000,48.000000,47.994000,-728927404.000000,-41.064000,0.865000,0.000000,,0.000000,0.000000,138099051.000000,,0.000000,138014093.000000,0.000000,138014093.000000,8269765.000000,245875.000000,8023890.000000,-728927404.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-728927404.000000,0.000000,1730029.000000,1730029.000000,2000034.000000,0.000000,0.000000,,369227.000000,-369227.000000,47443.000000,0.000000,-20.643000,48.198000,17.660000,0.000000,0.000000,9.800000,,,0.000000,-7289643.000000,0.000000,0.000000,0.000000,,,,,0.000000,369227.000000,1.000000,17751000.000000,17751000.000000,17751000.000000,0.000000,138980517.000000,0.000000,0.000000,0.000000,7.829000
ARQ,2021-09-30,2022-01-31,2021-09-30,2021-Q3,720549.000000,173959800.000000,2025-05-10,0.000000,138980517.000000,,966424.000000,138014093.000000,,-0.411000,0.000000,635591.000000,722262.000000,0.000000,1730029.000000,3.931000,-1.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1730029.000000,1730029.000000,,1965942.000000,1965942.000000,1730029.000000,0.100000,0.100000,0.114000,-7289248.000000,,-8283236.000000,173237538.000000,49.000000,48.830000,-728927404.000000,-41.064000,0.880000,0.000000,,0.000000,0.000000,138099051.000000,,0.000000,138014093.000000,0.000000,138014093.000000,8269765.000000,245875.000000,8023890.000000,-728927404.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-728927404.000000,0.000000,1730029.000000,1730029.000000,1965942.000000,0.000000,0.000000,,369227.000000,-369227.000000,47443.000000,0.000000,-21.001000,49.034000,17.967000,0.000000,0.000000,9.800000,,,0.000000,-7289643.000000,0.000000,0.000000,0.000000,,,,,0.000000,369227.000000,1.000000,17751000.000000,17751000.000000,17751000.000000,0.000000,138980517.000000,0.000000,0.000000,0.000000,7.829000
ARQ,2021-12-31,2022-03-25,2021-12-31,2021-Q4,1265975.000000,174492330.000000,2025-05-10,0.000000,139505058.000000,,1488049.000000,138017009.000000,,-0.358000,0.000000,1226716.000000,1348040.000000,0.000000,929702.000000,6.701000,-1.237000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,929702.000000,929702.000000,,1021651.000000,1021651.000000,929702.000000,0.060000,0.060000,0.066000,-6359546.000000,,-6988512.000000,173144290.000000,38.000000,37.707000,729364622.000000,41.089000,0.910000,0.000000,,0.000000,0.000000,138056268.000000,,0.000000,138017009.000000,0.000000,138017009.000000,7864604.000000,222074.000000,7642530.000000,729364622.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,729364622.000000,0.000000,929702.000000,929702.000000,1021651.000000,0.000000,0.000000,,454574.000000,-454574.000000,167324.000000,0.000000,-24.968000,38.001000,37.272000,0.000000,0.000000,9.830000,,,0.000000,-6359941.000000,0.000000,0.000000,0.000000,,,,,0.000000,454574.000000,1.000000,17751000.000000,17751000.000000,17751000.000000,0.000000,139505058.000000,0.000000,0.000000,0.000000,7.859000
ARQ,2021-12-31,2022-10-03,2021-12-31,2021-Q4,48994000.000000,772900306.000000,2025-05-10,0.000000,59782000.000000,,58874000.000000,908000.000000,,0.641000,0.000000,53092000.000000,53092000.000000,0.000000,-31847825.000000,5.959000,0.201000,164000.000000,164000.000000,0.000000,164000.000000,0.000000,14000.000000,0.000000,0.000000,0.000000,-31631825.000000,-31617825.000000,,-31617825.000000,-31631825.000000,-31847825.000000,-2.710000,-2.710000,-2.710000,49791000.000000,,49791000.000000,719972306.000000,-25.000000,-25.379000,704339000.000000,9.067000,1.000000,0.000000,,0.000000,216000.000000,-3026000.000000,,0.000000,718000.000000,0.000000,718000.000000,9991000.000000,9880000.000000,111000.000000,773309000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,704339000.000000,0.000000,-31847825.000000,-31847825.000000,-31847825.000000,0.000000,0.000000,,28923293.000000,-28923293.000000,9827000.000000,0.000000,15.523000,-27.025000,-3.933000,190000.000000,0.000000,9.950000,,,5782000.000000,-34676000.000000,0.000000,0.000000,25032000.000000,,,,,1049000.000000,3891293.000000,1.000000,77677642.000000,77677642.000000,,0.000000,59782000.000000,0.000000,0.000000,0.000000,0.770000
ARQ,2022-06-30,2022-10-13,2022-06-30,2022-Q2,191049000.000000,775999644.000000,2025-05-10,0.000000,217855000.000000,,216952000.000000,903000.000000,,2.374000,,89478000.000000,87723529.000000,,,8.376000,0.181000,151000.000000,61000.000000,90000.000000,148039.000000,21500000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,184422000.000000,,180805882.000000,688424153.000000,28.000000,28.262000,,,1.020000,,,0.000000,,102625000.000000,,0.000000,728000.000000,0.000000,728000.000000,33433000.000000,25903000.000000,7530000.000000,,,,,,,,,,,,,,,,,,,11782000.000000,,4.292000,32.446000,35.137000,175000.000000,,9.990000,8.465000,8.465000,127474000.000000,19837000.000000,,,,,,,,,,1.000000,77677642.000000,77677642.000000,,,217855000.000000,0.000000,,0.000000,2.805000
ARQ,2022-06-30,2022-11-28,2022-06-30,2022-Q2,191049000.000000,703759437.000000,2025-05-10,0.000000,217855000.000000,,216952000.000000,903000.000000,,2.374000,,89478000.000000,93206250.000000,,,8.376000,0.181000,151000.000000,61000.000000,90000.000000,157292.000000,21500000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,184422000.000000,,192106250.000000,610710478.000000,,,,,0.960000,,,0.000000,,102625000.000000,,0.000000,728000.000000,0.000000,728000.000000,33433000.000000,25903000.000000,7530000.000000,,,,,,,,,,,,,,,,,,,11782000.000000,,3.663000,,,175000.000000,,9.060000,,,127474000.000000,19837000.000000,,,,,,,,,,1.000000,77677642.000000,77677642.000000,,,217855000.000000,0.000000,,0.000000,2.805000
ARQ,2022-12-31,2023-03-31,2022-12-31,2022-Q4,412672000.000000,1081482683.000000,2025-05-10,0.000000,531583000.000000,,448133000.000000,83450000.000000,,5.941000,,438522000.000000,476654348.000000,,,12.637000,0.097000,118000.000000,62000.000000,56000.000000,128261.000000,17500000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,484521000.000000,,526653261.000000,604956596.000000,-7.000000,-7.162000,,,0.920000,,,83160000.000000,,-25442000.000000,,0.000000,0.000000,0.000000,0.000000,47062000.000000,35461000.000000,11601000.000000,,,,,,,,,,,,,,,,,,,18503000.000000,,2.054000,-12.747000,-12.708000,144000.000000,,13.260000,10.205000,10.205000,9611000.000000,-119361000.000000,,,,,,,,,,1.000000,81559780.000000,81559780.000000,,,448423000.000000,0.000000,,0.000000,5.498000
ARQ,2023-06-30,2023-08-07,2023-06-30,2023-Q2,350929000.000000,1042591457.000000,2025-05-10,-8879000.000000,471098000.000000,,389264000.000000,81834000.000000,,4.338000,,383495000.000000,430893258.000000,,,10.154000,0.116000,87000.000000,64000.000000,23000.000000,97753.000000,12613000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,422264000.000000,,474453933.000000,611795952.000000,-3.000000,-2.624000,,,0.890000,,,81629000.000000,,-32274000.000000,,0.000000,0.000000,0.000000,0.000000,48834000.000000,38335000.000000,10499000.000000,,,,,,,,,,,,,,,,,,,20854000.000000,,2.197000,-4.468000,-1.876000,112000.000000,,10.710000,68.420000,68.420000,5769000.000000,-194463000.000000,,,,,,,,,,1.000000,97347475.000000,97347475.000000,,,389469000.000000,0.000000,,0.000000,4.001000
ARQ,2023-12-31,2024-02-28,2023-12-31,2023-Q4,296894000.000000,2108478816.000000,2025-05-10,4422000.000000,347097000.000000,,346791000.000000,306000.000000,,3.231000,,340450000.000000,370054348.000000,,,6.950000,0.204000,60000.000000,60000.000000,0.000000,65217.000000,9961000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,288393000.000000,,313470652.000000,1738489686.000000,-9.000000,-9.043000,,,0.920000,,,170000.000000,,-43360000.000000,,0.000000,0.000000,0.000000,0.000000,58704000.000000,49897000.000000,8807000.000000,,,,,,,,,,,,,,,,,,,16923000.000000,,6.726000,-10.963000,-10.107000,101000.000000,,23.620000,137.672000,137.672000,6341000.000000,-316973000.000000,,,,,,,,,,1.000000,89266673.000000,89266673.000000,,,346927000.000000,0.000000,,0.000000,3.886000
ARQ,2024-03-31,2024-05-08,2024-03-31,2024-Q1,428096000.000000,1960588763.000000,2025-05-10,4422000.000000,488463000.000000,,487822000.000000,641000.000000,,4.577000,-385000.000000,481147000.000000,517362366.000000,0.000000,-93767000.000000,8.168000,0.186000,43000.000000,43000.000000,0.000000,46237.000000,8560000.000000,15000.000000,0.000000,0.000000,0.000000,-93767000.000000,-93752000.000000,-66.918000,-100808602.000000,-100824731.000000,-93767000.000000,-1.060000,-1.060000,-1.140000,411803000.000000,,442798925.000000,1443272634.000000,,,-54987000.000000,-0.611000,0.930000,1401000.000000,1.000000,486000.000000,0.000000,-52853000.000000,,0.000000,0.000000,0.000000,0.000000,76660000.000000,59726000.000000,16934000.000000,143193000.000000,0.000000,199169000.000000,0.000000,0.000000,198180000.000000,-385000.000000,0.000000,-54602000.000000,0.000000,-93767000.000000,-93767000.000000,-100824731.000000,0.000000,0.000000,-66.929000,56883000.000000,-55482000.000000,8536000.000000,0.000000,4.428000,,,139000.000000,0.000000,21.790000,,,6675000.000000,-410740000.000000,1401000.000000,1506452.000000,42430000.000000,,,,,7918000.000000,14453000.000000,1.000000,89976538.000000,89976538.000000,,0.017000,487977000.000000,0.000000,0.000000,0.000000,5.423000
ARQ,2024-06-30,2024-08-07,2024-06-30,2024-Q2,400045000.000000,1409640491.000000,2025-05-10,4422000.000000,446690000.000000,,445352000.000000,1338000.000000,,4.304000,-209000.000000,430708000.000000,468160870.000000,0.000000,-39007000.000000,9.830000,0.153000,562000.000000,234000.000000,328000.000000,610870.000000,6281000.000000,19000.000000,0.000000,0.000000,0.000000,-39007000.000000,-38988000.000000,-17.108000,-42378261.000000,-42398913.000000,-39007000.000000,-0.410000,-0.410000,-0.446000,387439000.000000,,421129348.000000,942090491.000000,-4.000000,-3.695000,-54188000.000000,-0.602000,0.920000,2279000.000000,1.000000,542000.000000,0.000000,-29305000.000000,,0.000000,0.000000,0.000000,0.000000,59251000.000000,45307000.000000,13944000.000000,-49530000.000000,0.000000,4658000.000000,0.000000,0.000000,4658000.000000,-209000.000000,0.000000,-53979000.000000,0.000000,-39007000.000000,-39007000.000000,-42398913.000000,0.000000,0.000000,-17.116000,54854000.000000,-52575000.000000,5275000.000000,0.000000,3.347000,-5.528000,-5.376000,788000.000000,0.000000,15.660000,158.001000,158.001000,14644000.000000,-449747000.000000,2279000.000000,2477174.000000,38379000.000000,,,,,8290000.000000,16475000.000000,1.000000,90015357.000000,90015357.000000,,0.028000,446148000.000000,0.000000,0.000000,0.000000,4.956000
ARQ,2024-09-30,2024-11-06,2024-09-30,2024-Q3,396619000.000000,2012164292.000000,2025-05-10,4422000.000000,439191000.000000,,437874000.000000,1317000.000000,,4.101000,-75000.000000,422729000.000000,454547312.000000,0.000000,-16647000.000000,10.614000,0.159000,506000.000000,240000.000000,266000.000000,544086.000000,4495000.000000,28000.000000,0.000000,0.000000,0.000000,-16648000.000000,-16620000.000000,-0.571000,-17870968.000000,-17901075.000000,-16648000.000000,-0.180000,-0.180000,-0.194000,378862000.000000,,407378495.000000,1558161066.000000,,,-12577000.000000,-0.136000,0.930000,29111000.000000,1.000000,593000.000000,0.000000,-24880000.000000,,0.000000,0.000000,0.000000,0.000000,60329000.000000,41255000.000000,19074000.000000,-12519000.000000,0.000000,58000.000000,0.000000,0.000000,58000.000000,-75000.000000,0.000000,-12502000.000000,0.000000,-16647000.000000,-16647000.000000,-17900000.000000,0.000000,0.000000,-0.572000,54114000.000000,-25003000.000000,7039000.000000,0.000000,4.939000,,,724000.000000,0.000000,21.780000,,,15145000.000000,-466394000.000000,29111000.000000,31302151.000000,35702000.000000,,,,,7996000.000000,18412000.000000,1.000000,92385872.000000,92385872.000000,,0.339000,438598000.000000,0.000000,-1000.000000,0.000000,4.747000
