dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2010-12-31,2011-05-19,2010-12-31,2010-Q4,57838000.000000,,2025-05-20,1628000.000000,138787000.000000,,90145000.000000,48642000.000000,,0.348000,,37081000.000000,37081000.000000,,,2.790000,0.312000,0.000000,0.000000,0.000000,0.000000,6050000.000000,,0.000000,,0.000000,,,,,,,,,,105765000.000000,,105765000.000000,,,,,,1.000000,,,8701000.000000,,60698000.000000,,0.000000,40326000.000000,36971000.000000,3355000.000000,33022000.000000,32307000.000000,715000.000000,,,,,,,,,,,,,,,,,,,19855000.000000,,,,,32813000.000000,,,,,9317000.000000,88308000.000000,,,,,,,,,,1.000000,321247458.000000,303817388.000000,,,130086000.000000,473000.000000,,6952000.000000,0.428000
ARQ,2011-06-30,2011-07-28,2011-06-30,2011-Q2,189761000.000000,12123879065.000000,2025-05-20,-1320000.000000,293062000.000000,,228041000.000000,65021000.000000,,0.810000,-12408000.000000,173855000.000000,173855000.000000,11374000.000000,12375000.000000,5.957000,0.160000,0.000000,0.000000,0.000000,0.000000,7029000.000000,4697000.000000,0.000000,0.000000,0.000000,15191000.000000,19888000.000000,0.398000,19888000.000000,15191000.000000,15191000.000000,0.040000,0.038000,0.040000,252648000.000000,,252648000.000000,11950024065.000000,,,7480000.000000,0.024000,1.000000,38577000.000000,0.772000,8514000.000000,0.000000,72413000.000000,,0.000000,33385000.000000,31251000.000000,2134000.000000,40414000.000000,38280000.000000,2134000.000000,139161000.000000,,126984000.000000,,,126731000.000000,-5962000.000000,6446000.000000,19888000.000000,-1496000.000000,12375000.000000,12375000.000000,12375000.000000,0.000000,0.000000,0.248000,23419000.000000,15158000.000000,24739000.000000,0.000000,47.987000,,,47762000.000000,0.000000,37.740000,,,10197000.000000,109703000.000000,49951000.000000,49951000.000000,8316000.000000,,,,,1056000.000000,10406000.000000,1.000000,321247458.000000,311822716.000000,325258051.000000,0.160000,284548000.000000,2651000.000000,2816000.000000,7370000.000000,0.913000
ARQ,2011-09-30,2011-10-27,2011-09-30,2011-Q3,135157000.000000,8911404485.000000,2025-05-20,18678000.000000,338778000.000000,,179300000.000000,159478000.000000,,0.904000,-18821000.000000,95183000.000000,95183000.000000,14234000.000000,18755000.000000,4.062000,0.160000,0.000000,0.000000,0.000000,0.000000,7975000.000000,5368000.000000,0.000000,0.000000,0.000000,24079000.000000,29447000.000000,0.519000,29447000.000000,24079000.000000,24079000.000000,0.058000,0.056000,0.058000,291962000.000000,,291962000.000000,8816221485.000000,,,4598000.000000,0.014000,1.000000,42515000.000000,0.749000,8448000.000000,0.000000,191004000.000000,,0.000000,139051000.000000,58146000.000000,80905000.000000,46816000.000000,44143000.000000,2673000.000000,-78672000.000000,0.000000,0.000000,,0.000000,0.000000,-116644000.000000,-97823000.000000,23419000.000000,14553000.000000,18755000.000000,18755000.000000,18755000.000000,0.000000,0.000000,0.330000,22924000.000000,19591000.000000,28600000.000000,0.000000,30.522000,,,62843000.000000,0.000000,27.740000,,,11407000.000000,128469000.000000,56749000.000000,56749000.000000,8712000.000000,,,,,550000.000000,8844000.000000,1.000000,321247458.000000,322991507.000000,335758197.000000,0.176000,330330000.000000,3091000.000000,5324000.000000,8877000.000000,1.023000
ARQ,2011-12-31,2012-02-22,2011-12-31,2011-Q4,107723000.000000,7269829975.000000,2025-05-20,20108000.000000,374836000.000000,,159555000.000000,215281000.000000,,0.985000,-19239000.000000,74536000.000000,74536000.000000,16335000.000000,23353000.000000,3.078000,0.177000,0.000000,0.000000,0.000000,0.000000,9900000.000000,6402000.000000,0.000000,0.000000,0.000000,29656000.000000,36058000.000000,0.509000,36058000.000000,29656000.000000,29656000.000000,0.072000,0.070000,0.072000,318483000.000000,,318483000.000000,7195293975.000000,,,10857000.000000,0.034000,1.000000,54494000.000000,0.769000,17798000.000000,0.000000,230670000.000000,,0.000000,164175000.000000,56859000.000000,107316000.000000,56353000.000000,51832000.000000,4521000.000000,-25641000.000000,-8085000.000000,979000.000000,,0.000000,924000.000000,-60093000.000000,-28006000.000000,30096000.000000,3432000.000000,23353000.000000,23353000.000000,23353000.000000,0.000000,0.000000,0.330000,25861000.000000,28633000.000000,31856000.000000,0.000000,22.826000,,,76703000.000000,0.000000,22.630000,,,15664000.000000,151811000.000000,70829000.000000,70829000.000000,9383000.000000,,,,,770000.000000,10076000.000000,1.000000,321247458.000000,323241474.000000,334864888.000000,0.219000,357038000.000000,3388000.000000,6303000.000000,12155000.000000,1.105000
ARQ,2011-12-31,2012-03-02,2011-12-31,2011-Q4,107723000.000000,7532488860.000000,2025-05-20,20108000.000000,374836000.000000,,159555000.000000,215281000.000000,,1.009000,,74536000.000000,74536000.000000,,,3.078000,0.177000,0.000000,0.000000,0.000000,0.000000,9900000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,318483000.000000,,318483000.000000,7457952860.000000,93.000000,73.759000,,,1.000000,,,17798000.000000,,230670000.000000,,0.000000,164175000.000000,56859000.000000,107316000.000000,56353000.000000,51832000.000000,4521000.000000,,,,,,,,,,,,,,,,,,,31856000.000000,,23.651000,118.616000,115.721000,76703000.000000,,23.260000,34.182000,33.306000,15664000.000000,151811000.000000,,,,,,,,,,1.000000,323838730.000000,315541639.000000,,,357038000.000000,3388000.000000,,12155000.000000,1.132000
ARQ,2012-03-31,2012-04-26,2012-03-31,2012-Q1,96338000.000000,7568111120.000000,2025-05-20,5258000.000000,374880000.000000,,146432000.000000,228448000.000000,,0.986000,-8437000.000000,68464000.000000,68464000.000000,16698000.000000,13838000.000000,2.923000,0.172000,0.000000,0.000000,0.000000,0.000000,8932000.000000,7271000.000000,0.000000,0.000000,0.000000,17622000.000000,24893000.000000,0.385000,24893000.000000,17622000.000000,17622000.000000,0.043000,0.041000,0.043000,319902000.000000,,319902000.000000,7499647120.000000,87.000000,68.002000,11660000.000000,0.036000,1.000000,47916000.000000,0.742000,17017000.000000,0.000000,239305000.000000,,0.000000,168795000.000000,49049000.000000,119746000.000000,54978000.000000,50094000.000000,4884000.000000,-5632000.000000,,1309000.000000,,,1309000.000000,-22869000.000000,-14432000.000000,20097000.000000,-4169000.000000,13838000.000000,13838000.000000,13838000.000000,0.000000,0.000000,0.214000,30767000.000000,17149000.000000,32406000.000000,0.000000,23.658000,110.773000,109.718000,76890000.000000,0.000000,23.370000,31.255000,31.313000,14509000.000000,165649000.000000,64614000.000000,64614000.000000,11726000.000000,,,,,891000.000000,11770000.000000,1.000000,323838730.000000,324444817.000000,335035919.000000,0.199000,357863000.000000,4730000.000000,3784000.000000,11132000.000000,1.103000
ARQ,2012-06-30,2012-07-31,2012-06-30,2012-Q2,111595000.000000,6227418778.000000,2025-05-20,23793000.000000,425601000.000000,,170764000.000000,254837000.000000,,1.110000,-7656000.000000,56540000.000000,56540000.000000,19239000.000000,21813000.000000,2.886000,0.176000,0.000000,0.000000,0.000000,0.000000,9581000.000000,7656000.000000,0.000000,0.000000,0.000000,27852000.000000,35508000.000000,0.475000,35508000.000000,27852000.000000,27852000.000000,0.067000,0.065000,0.067000,362054000.000000,,362054000.000000,6170878778.000000,62.000000,49.012000,24717000.000000,0.076000,1.000000,55572000.000000,0.743000,17655000.000000,0.000000,292237000.000000,,0.000000,221815000.000000,79783000.000000,142032000.000000,63547000.000000,59169000.000000,4378000.000000,-12463000.000000,,1276000.000000,,,1276000.000000,-51667000.000000,-44011000.000000,32373000.000000,5555000.000000,21813000.000000,21813000.000000,21813000.000000,0.000000,0.000000,0.292000,30877000.000000,24695000.000000,39457000.000000,0.000000,17.200000,80.086000,80.125000,78254000.000000,0.000000,19.230000,23.323000,23.491000,18040000.000000,187462000.000000,74811000.000000,74811000.000000,11649000.000000,,,,,814000.000000,11572000.000000,1.000000,323838730.000000,326161539.000000,335245767.000000,0.229000,407946000.000000,4994000.000000,6039000.000000,12848000.000000,1.251000
ARQ,2012-09-30,2012-10-30,2012-09-30,2012-Q3,124146000.000000,7470959501.000000,2025-05-20,13431000.000000,450274000.000000,,190003000.000000,260271000.000000,,1.160000,-16896000.000000,61952000.000000,61952000.000000,20295000.000000,25201000.000000,2.885000,0.188000,0.000000,0.000000,0.000000,0.000000,10164000.000000,8074000.000000,0.000000,0.000000,0.000000,32538000.000000,40612000.000000,0.508000,40612000.000000,32538000.000000,32538000.000000,0.077000,0.075000,0.077000,378928000.000000,,378928000.000000,7409007501.000000,69.000000,54.052000,17160000.000000,0.053000,1.000000,59708000.000000,0.746000,12672000.000000,0.000000,309793000.000000,,0.000000,216370000.000000,74008000.000000,142362000.000000,71346000.000000,65857000.000000,5489000.000000,17325000.000000,,770000.000000,,,770000.000000,-14894000.000000,2002000.000000,34056000.000000,-2607000.000000,25201000.000000,25201000.000000,25201000.000000,0.000000,0.000000,0.315000,31735000.000000,27973000.000000,30987000.000000,0.000000,19.716000,88.723000,89.073000,89309000.000000,0.000000,23.070000,25.739000,25.967000,16016000.000000,212663000.000000,80003000.000000,80003000.000000,11374000.000000,,,,,1166000.000000,12287000.000000,1.000000,323838730.000000,326705954.000000,335732348.000000,0.245000,437602000.000000,4642000.000000,7337000.000000,14817000.000000,1.339000
ARQ,2012-12-31,2013-02-19,2012-12-31,2012-Q4,126599000.000000,7451529177.000000,2025-05-20,10571000.000000,487135000.000000,,200101000.000000,287034000.000000,,1.244000,-10835000.000000,84029000.000000,84029000.000000,22836000.000000,29601000.000000,2.722000,0.195000,0.000000,0.000000,0.000000,0.000000,12012000.000000,9460000.000000,0.000000,0.000000,0.000000,38302000.000000,47762000.000000,0.492000,47762000.000000,38302000.000000,38302000.000000,0.090000,0.088000,0.090000,407517000.000000,,407517000.000000,7367500177.000000,63.000000,49.521000,29458000.000000,0.090000,1.000000,74173000.000000,0.765000,11803000.000000,0.000000,317801000.000000,,0.000000,223795000.000000,51755000.000000,172040000.000000,79618000.000000,73502000.000000,6116000.000000,17215000.000000,,616000.000000,,,616000.000000,-22660000.000000,-14234000.000000,40293000.000000,-1034000.000000,29601000.000000,29601000.000000,29601000.000000,0.000000,0.000000,0.305000,39996000.000000,34177000.000000,27643000.000000,0.000000,18.285000,82.380000,83.069000,89045000.000000,0.000000,23.010000,23.548000,23.815000,19437000.000000,242264000.000000,97009000.000000,97009000.000000,12265000.000000,,,,,1265000.000000,18271000.000000,1.000000,323838730.000000,327511749.000000,336211460.000000,0.296000,475332000.000000,5401000.000000,8701000.000000,20966000.000000,1.451000
ARQ,2012-12-31,2013-03-11,2012-12-31,2012-Q4,126599000.000000,8203834852.000000,2025-05-20,10571000.000000,487135000.000000,,200101000.000000,287034000.000000,,1.249000,-10835000.000000,84029000.000000,84029000.000000,22836000.000000,29601000.000000,2.722000,0.195000,0.000000,0.000000,0.000000,0.000000,12012000.000000,9460000.000000,0.000000,0.000000,0.000000,38302000.000000,47762000.000000,0.492000,47762000.000000,38302000.000000,38302000.000000,0.091000,0.088000,0.091000,407517000.000000,,407517000.000000,8119805852.000000,70.000000,54.578000,29458000.000000,0.090000,1.000000,74173000.000000,0.765000,11803000.000000,0.000000,317801000.000000,,0.000000,223795000.000000,51755000.000000,172040000.000000,79618000.000000,73502000.000000,6116000.000000,17215000.000000,,616000.000000,,,616000.000000,-22660000.000000,-14234000.000000,40293000.000000,-1034000.000000,29601000.000000,29601000.000000,29601000.000000,0.000000,0.000000,0.305000,39996000.000000,34177000.000000,27643000.000000,0.000000,20.131000,90.697000,90.361000,89045000.000000,0.000000,25.030000,25.926000,25.803000,19437000.000000,242264000.000000,97009000.000000,97009000.000000,12265000.000000,,,,,1265000.000000,18271000.000000,1.000000,327760082.000000,326210948.000000,335690596.000000,0.297000,475332000.000000,5401000.000000,8701000.000000,20966000.000000,1.457000
